$ tỉ	$ miljard	$ billion
morse	morse	(proper noun) morse, as in morse code
moscow	moskou	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambique	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	mevrouw	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	kopen	buy
much	veel	much
muhammad	mohammed	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	ebbehout	a vietnamese name
munich	münchen	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	willen	a large number; thousands (adj.)
muối	zout	salt
muốn	willen	want
muống	lepel	"(term should be ""rau muống"") water spinach (n.)"
muồi	laat	ripe
muỗi	mug	mosquito
muỗng	lepel	spoon
muội	zus	confusion
muộn	laat	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	mijn ruimte	(proper noun) myspace
mà	maar	also
mài	slijpen	tomorrow
màn	scherm	curtain (n.)
mành	jaloezieën	a bamboo screen (n.)
mào	kam	a comb or crest, as in the body part of a bird
màu	kleur	color
mày	u	sew
má	moeder	cheek
mác	label	a name (marx)
mách	tips	tell
máclênin	marxel	marxist-leninist
mái	dak	"entire term should be ""thoai mai""; means ""comfortable"""
mát	koel	cool
máu	bloed	blood
máy	machine	a machine (n.)
mâm	dienblad	tray
mân	rozenkrans	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	tegenstrijdig	contradiction
mây	wolk	cloud
mã	code	"(term should be ""la mã"") roman (adj.)"
mãi	voor altijd	forever (adv.)
mãimại	code	commerce
mãn	zelfgenoegzaam	satisfy
mãnh	sterk	intense
mão	kronen	cat
mè	sesam	sesame
mèo	kat	cat (n.)
mé	me	a border
méo	vervormd	alter
mép	rand	edge
mét	meter	meter
mênh	onthutsend	vast
mêtan	methaan	methane
mì	noedels	wheat
mình	jezelf	me
mía	riet	sugar cane (n.)
mò	onhandig	to grope (v.)
mòn	parcours	trail
móc	haak	"(term should be ""máy móc"") machinery (n.)"
món	eten	dish
mô	zakdoek	mo
môi	elk	lip
môn	onderwerpen	anus
mông	billen	mongolia
mônôxít	monoxide	monoxide
môt	een	"(term should be ""một"") one (n.)"
môtô	motorfiets	motorcycle
mù	blind	mu
mùa	seizoen	season
mùi	geur	smell
múa	dans	dance
mút	zuigen	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	bamboe schiet	bamboo shoot (n.)
mĩ	amerika	america
mũ	hoed	cap
mũi	neus-	nose
mơ	droom	vague
mơn	poten	caress
mưa	regen	rain
mưu	sluw	"(should be ""tham mưu"") advisors"
mươi	vijftig	tens
mương	afvoer	ditch
mướn	huur	hire
mướt	zijdezacht	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	lenen	borrow
mượt	glad	glossy (adj.)
mạc	woestijn	"(should be ""mộc mạc"") simple or natural"
mạch	stroomkring	vessel
mại	handel	commerce
mạn	kant	romantic
mạnh	sterk	strong
mạo	artikel	"(should be ""mạo hiểm"") to brave danger"
mạt	mijten	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	graven	tomb or grave (n.)
mải	druk	absorbedly
mảng	matrix	genre
mảnh	stuk	piece
mất	verloren	lose
mấu	tabblad	key
mấy	weinig	any
mầm	kiem	kindergarten
mầu	kleur	color
mẩu	stukken	piece
mận	pruim	plum
mập	vet	fat
mật	lieve schat	intimate
mậu	handel	mau
mắc	duur	get
mắm	vissaus	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	lucky	"(term should be ""may mắn"") fortunate (adj.)"
mắng	schelden	scold
mắt	oog	eye
mặc	slijtage	wear
mặn	zout	salt
mặt	gezicht	face
mẹ	mam	mother (n.)
mẹo	tips	trick
mẻ	partij	cool
mẽ	sterk	strong
mến	geachte	to adore or like greatly (v.)
mề	spiermaag	locket
mềm	zacht	soft
mệnh	lot	revolution
mệt	moe	tired
mỉ	nauwkeurig	meticulous
mỉa	sarcasme	ironic
mỉm	glimlach	smile
mịch	shit	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	glad	smooth
mịt	snuiven	dim
mọc	groeit	to grow (v.)
mọi	elk	every
mọn	bekrompen	lowly
mỏ	mijnen	mine
mỏi	moe	tired (adj.)
mỏng	dun	thin
mốc	muf	border
mối	termiet	relationship
mốt	mode	fashion or style (n.)
mồ	graf	"(term should be ""mồ hôi"") sweat (n.)"
mồi	aas	bait (n.)
mổ	chirurgie	to dissect or perform surgery (v.)
mỗi	elk	every
mộ	graf	admire
mộc	timmerwerk	simple
mộng	droom	dream
một	een	one
mới	nieuw	new (adj.)
mờ	wazig	dim
mời	nodig uit	invite
mở	open	open
mỡ	vet	fat or grease (n.)
mục	het voorwerp	purpose
mụn	acne	pimple
mức	niveau	level
mứt	jam	preserve
mừng	blij	to be happy
mửa	braken	to vomit (v.)
mực	inkt	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	noedel	noodles (n.)
mỹ	amerika	america
mỹcông	amerika	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	herten	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	mannetje	male
nambắc	noorden	nambac
namibia	namibië	namibia
namnam	nam nam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	follikel	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	hoektanden	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoleon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	natrium	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarra	navarre
nay	nu op	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	anker	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	netto	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	netwerken	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	nooitgedachtland	neverland
newcastle	newcastle	newcastle
newspaper	krant-	newspaper
newton	newton	newton
newtons	newton	(proper noun) newton's
next	de volgende	next
nga	rusland	russia
ngai	de troon	crown
ngang	horizontaal	horizontal
ngao	clam	clam (n.)
ngay	rechtsaf	even
nghe	luister	hear
nghinh	nghinh	welcome
nghiêm	ernstig	serious
nghiêng	geneigd zijn	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	squish	crush
nghiễm	jammer	serious
nghiệm	ervaring	experiment
nghiện	verslaafd	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	grimmig	adverse
nghành	industrie	faculty
nghèo	arm	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	welkom	support
nghìn	duizend	thousand
nghĩ	denken	think
nghĩa	middelen	meaning
nghẽn	congestie	jam
nghếch	luid	stupid
nghề	beroep	career
nghệquận	kunst	art district
nghỉ	vakantie	relaxation
nghị	aanbevelingen	think
ngo	sierlijk	ngo
ngoan	goede jongen	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	smakelijk	delicious
ngoài	uit	outside of
ngoại	buitenlands	external
ngoạn	adembenemend	spectacular
ngoặc	haakjes	bracket
ngoặt	beurt	landmark
ngu	slaap	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	origineel	reason
nguyền	vloek	curse
nguyện	gelofte	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	maan	moon
nguôi	rustgevend	fade away
nguồn	bron	source
nguời	mensen	people
nguỵ	dwazen	camouflage
ngà	ivoor	russian
ngàn	duizend	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	afdeling	sector
ngào	zoet	sweet
ngày	dag	day
ngách	niche	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	dom	chinese ethnic group living in the vietnamese highlands near the china border
ngán	verveeld	to be tired of
ngáng	ngáng	stop
ngát	flauwvallen	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bank	money
ngây	blank	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	koriander	coriander
ngó	kijken	to look (v.)
ngói	tegel	tile or shingle
ngón	vinger	a finger (n.)
ngót	krimp	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	taal	manifesto
ngông	gans	eccentric
ngõ	rijbaan	lane
ngùi	geur	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	gedeelte	prevent
ngũ	slaap	rank
ngơ	buiten beschouwing gelaten	ignored (adj.)
ngơi	rust uit	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	visser	fishermen
ngưng	hou op	stop
ngưu	os	buffalo
ngươi	u	an ancient form of address equivalent to thou or thee (n.)
người	mensen	people
ngưỡng	drempel	religious
ngược	omgekeerde	opposite
ngạc	verrast	surprise
ngạch	rang	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	bank	bank
ngạnh	weerhaken	self-willed
ngạo	verwaand	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	verstikking	stuffy
ngấm	doordrenkt	draw
ngất	flauw	unconscious
ngầm	impliciet	underground
ngần	aarzelen	hesitate
ngẩn	met stomheid geslagen	froze
ngẫm	nadenken	think
ngẫu	willekeurig	ngẫu nhiên= random
ngậm	zuigtabletten	keep
ngập	overstroomd	flood
ngắm	overwegen	to contemplate or look admiringly at something (v.)
ngắn	kort	short
ngặt	strak	strict
ngọ	middag	horse
ngọc	edelsteen	pearl
ngọn	top	top
ngọt	zoet	sweet (adj.)
ngồi	zitten	sit
ngộ	verlichting	ngo
ngột	abrupt	sudden
ngớ	dwaas	silly
ngời	mensen	bright
ngỡ	gedachte	surprised
ngợi	lof	praise
ngợm	ondeugend	naughty
ngục	gevangenis	dungeon
ngụm	slokje	sip
ngụy	wei	puppet
ngủ	slapen	sleep
ngủi	kort	"(should be ""ngắn ngủi"") short-lived"
ngứa	jeuk	itchy
ngừ	tonijn	tuna
ngừa	voorkomen	prevent
ngừng	ophouden	to cease (v.)
ngửa	gezicht omhoog	supine
ngửi	geur	to smell
ngữ	toespraak	term
ngự	wonen	defend
ngựa	paard	horse
ngực	borst	chest
nha	tandarts	dental
nhakẻ	kind	nha-ke
nham	lava	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	wierook	incense
nhanh	snel	fast
nhat	nhat	nhat
nhen	nieuw leven ingeblazen	rekindle
nhi	kinderen	junior
nhiên	cursus	tuy nhiên= however
nhiêu	veel	how many
nhiều	veel	numerous
nhiễm	besmet	infect
nhiễu	lawaai	noise
nhiệm	plicht	task
nhiệt	warmte	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	leuk vinden	demand
nhuận	winst	leap year
nhuệ	nhue	elite
nhuộm	kleurstof	dye
nhàn	inactief	leisure
nhàng	voorzichtig	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	kneden	to fall headlong
nhác	speling	coward
nhái	klonen	illegal copy
nhánh	afdeling	branch
nháp	droogte	draft
nháy	knippert	to flash or blink (v.)
nhâm	dompelen	leap
nhã	smaakvol	"(term should be ""thanh nhã"") elegant"
nhãn	label	"(term should be ""gán nhãn"") to affix a label"
nhét	zetten	put
nhì	tweede	second (adj.)
nhìn	kijken	to look (v.)
nhí	babbelen	children
nhím	egel	porcupine
nhòm	kijken	to peep (v.)
nhóc	kind	brat
nhóm	groep	group (n.)
nhô	uitstekend	emerge
nhôm	aluminium	aluminum (n.)
nhúng	dip	embed
nhút	verlegen	shy
nhăn	gerimpeld	wrinkle
nhĩ	atriaal	turkey
nhũ	emulsie	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	corruptie	bribery
nhơn	vermenigvuldigen	nhon
như	net zo	like
nhưng	maar	but
nhương	speeksel	(proper noun) vietnamese first name
nhường	gaf weg	yield
nhưỡng	vettig	soil
nhược	zwakheid	weak
nhượng	concessies	concession
nhạ	nhạ	nha
nhạc	muziek-	music
nhạn	slikken	bird
nhạo	spotten	ridicule
nhạt	bleek	light
nhạy	gevoelig	sensitive
nhảy	dans	jump
nhấc	optillen	lift
nhấm	nippen	rodent
nhấn	drukken	to press (v.)
nhất	het beste	most
nhầm	mis	misunderstand
nhầy	slijmerig	glutinous
nhẫn	ringen	patient
nhậm	gestempeld	inaugurate
nhập	importeren	penetrate
nhậu	drinken	drink
nhậy	gevoelig	sensitive
nhắc	prompt	to remind (v.)
nhắm	doel	aim
nhắn	de boodschap	message
nhằm	richten	for the purpose of (adv.)
nhẵn	glad	smooth
nhặt	kiezen	pickup
nhẹ	licht	light
nhẹn	behendig	nhanh nhẹn= fast/nimble
nhị	meeldraad	sensitive
nhịn	zich onthouden	fasting
nhọ	pech	smear
nhọn	scherp	sharp (adj.)
nhỏ	klein	small
nhỏ|cây	kleine | boom	small|tree
nhỏ|một	klein | een	small | one
nhỏ|phải|	klein | rechts |	small|right
nhỏ|phải|px|	klein | rechts | px |	small | have | px |
nhỏ|phải|px|bức	klein | rechts | px | foto&#39;s	grape / fade / px / buc
nhỏ|phải|px|cây	klein | rechts | px | boom	px spicy grape fade
nhỏ|phải|px|khu	kleine | rechter | px | zone	small|right|px|area
nhỏ|phải|px|michael	klein | rechts | px | michael	small|right|px|michael
nhỏ|phải|px|máy	kleine | juiste | px | machine	small | right|px|machine
nhỏ|phải|px|một	klein | rechts | px | één	small|right|px|one
nhỏ|phải|px|quân	small | right | px | force	small|right|px|army
nhỏ|px|	klein | px |	small
nhỏ|px|các	klein | px | de	small
nhỏ|px|phải|kiến	klein | px | rechts | mier	small | px | right | patience
nhỏ|quân	klein | kracht	small|army
nhỏ|trái|px|máy	kleine | linker | px | machine	small|left|px|plane
nhỏ|tượng	kleine beelden	small|statue
nhốt	opgesloten	confine
nhồi	gevuld	cram
nhổ	plukken	uproot
nhộn	hilarisch	busy
nhớ	geest	remember
nhớt	stroperig	viscid
nhờ	bedankt	by
nhờn	vettig	multiplication
nhở	herinneren	remind
nhụ	snuifje	nhu
nhục	vernederd	shame
nhủ	herinneringen	needs
nhức	pijn	pain
nhứt	eerste	first (n.)
nhừ	papperig	tender
những	deze	the
nhựa	plastic	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nikel	nickel
niken	nikkel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	nihil	nile
nile	nijl	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	veiligheid	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	stikstof	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	jaar	youth
niết	niet	nirvana
niềm	genoegen	trust
niệm	mindfulness	concept
niệu	diurese	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noach	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	zeggen	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	jong	mountain
nonpenetrative	niet penetrerend	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	norman	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	noorwegen	norway
nou	nou	nou
novak	novak	novak
now	nu	now
nowc	nowc	nowc
noãn	zaadknop	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubia	nubia
number	aantal	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	eten geven	feed
nuối	slikken	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	slikken	to swallow (v.)
nuớc	water	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	aandringen	pleading
nàn	geklaagd	poor
nành	soja	soy
nào	kom op	would
này	dit	this
ná	ná	a crossbow (n.)
nách	oksel	underarm (n.)
náo	rumoerig	riot
nát	verpletterd	ruin
náu	zich verstoppen	hide
nâng	verheffen	raise
nâu	bruin	brown
nã	nã	to track down (v.)
não	hersenen	brain
né	ontwijken	dodge
ném	werpen	to throw (v.)
nén	gecomprimeerd	compress
nét	beroertes	feature
nê	ne	ne
nên	kandelaar	should or ought to
nêu	vertellen	mention
nòi	ras	race
nòng	loop	barrel
nói	spreken	to say or speak (v.)
nón	hoed	cone
nóng	heet	hot
nô	slaaf	slave
nôbita	tobita	nobita
nôi	wieg	cradle
nôm	nôm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	braken	vomit
nông	oppervlakkig	farmer
nõn	pellen	peeled
nùng	nung	nung
núm	knop	nipple
núp	zich verstoppen	hide
nút	knoop	button
năm	jaar	year
năn	berouwvol	"(term should be ""ăn năn"") remorse (n.)"
năng	macht	"(term should be ""khả năng"") ability (n.)"
nơi	plaats	a place
nơtrino	neutino	neutrino
nước	land	country
nước 	land	water
nướng	gegrild	grill
nǎm	nǎm	year
nạ	masker	mask
nạc	slank	lean (adj.)
nại	klagen	complain
nạn	nood	a disaster (n.)
nạo	curettage	to scrape (v.)
nạp	geladen	tribute
nản	ontmoedigd	depressed
nảy	stuiteren	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	hik	a hiccup (n.)
nấp	zich verstoppen	hide
nấu	koken	cook
nấy	dit	this
nần	duwtje	debt
nầy	dit	this
nẩy	stuiteren	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n zon	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	heet	busy
nắm	houden	to grasp or hold (v.)
nắng	zonnig	sunlight
nắp	deksel	a lid or cover (n.)
nằm	liggen	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anoniem	heavy
nặn	knijpen	mould
nặng	zwaar	heavy
nẻo	een ander	turn
nếm	smaak	taste
nến	kaars	candle
nếp	kleverig	sticky rice (n.)
nếu	als	if (adv.)
nề	metselwerk	severe
nể	respect	respect
nện	beukende	ram
nỉ	voelde	beg
nịnh	vleien	flatter
nọ	de andere	the other
nọc	venijn	tadpole
nỏ	kruisboog	a crossbow (n.)
nối	verbonden	connection
nốt	notitie	to finish off (v.)
nồi	pot	pot
nồm	nek	humid (adj.)
nồng	heet	heavy
nổ	explosief	explode
nổi	drijvend	nổi tiếng= famous
nỗ	poging	affort
nỗi	dat	state
nộ	toorn	anger
nội	intern	on the paternal side (adj.)
nộn	vulling	non
nộp	gearchiveerd	submit
nới	maak los	ease
nở	bloeiend	bloom
nỡ	hartelijk	do you have a heart to
nợ	in de schulden	debt
nụy	stamper	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	kurk	a kind of bamboo (n.)
nứt	gebarsten	to crack
nửa	voor de helft	haft
nữa	opnieuw	moreover
oahu	oahu	(proper noun) oahu
oai	vrees	heroic
oakland	oakland	oakland
oan	onrecht	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	oktober	(proper noun) october
oda	o da	oda
oder	oder	oder
odyssey	odyssee	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	officier	officer
officers	officieren	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olympus	olympus
om	gestoofd	to simmer
omar	omar	a name
ong	bij	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	orgaan	organ
oricon	oricon	oricon
origin	oorsprong	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossetia	(proper noun) ossetia
oswald	oswald	oswald
other	andere	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	poef	(proper noun) ottoman, as in the ottoman empire
outstanding	uitstekend	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	zuurstof	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	wrok	"(term should be ""oán than"") to complain or whine"
oát	watt	a watt (n.)
oản	oàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestina	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	pan	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	pantheon	a name
paolo	paolo	paolo
paperback	paperback	paperback
papua	papoea	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	park	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	patriot	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	leeftijdsgenoten	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	cent	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	perry	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	perzisch	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pag	associate professor
pgđ	pgđ	associate professor
pha	gemengd	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	rem	expose
phao	vlotter	float
phaolô	paul	st. paul, the apostle
pharaoh	farao	pharaoh
pharaon	faraon	pharaoh
phay	frezen	mill
phe	factie	faction
phen	fen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	filippijnen	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	filter	coffee filter
phineas	phineas	(proper noun) phineas
phiên	sessie	trial
phiêu	avontuur	adventurous
phiếm	roddel	gossip
phiến	blad	"(should be ""nha phiến"") opium"
phiện	opium	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	feniks	(proper noun) phoenix
phong	kamer	movement
php	php	php
phrygian	frygisch	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	onbedekt	expose
phun	spuiten	to spray or spit (v.)
phà	veerboot	ferry
phàm	sterfelijk	superhuman
phàn	klagen	complain
phá	breken	destroy
phác	schetsen	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	ritme	manner (n.)
phái	sekte	a party
phán	rechter	judge
pháo	kanon	artillery
pháp	frankrijk	method
phát	uitzending	develop
phèn	aluin	alum
phèo	phèo	organs
phép	toegestaan	permit
phê	high worden	"(term should be ""phê bình"") to criticize (v.)"
phêrô	peter	peter
phì	vergroot	non-
phình	uitstulping	bulge
phí	in rekening brengen	non-
phía	kant	side
phích	thermosfles	a flask (n.)
phím	sleutel	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	kamer	office
phó	plaatsvervanger	second
phóng	lancering	to launch (v.)
phô	stad	display
phôi	embryo	embryo
phông	lettertype	font
phùng	bladerdeeg	phung
phúc	gezegend	good fortune (n.)
phúclộc	zegen	phuc-loc
phún	kont	"(term should be ""lún phún"") sparse (adj.)"
phúng	jammer	satire
phút	minuut	a minute (n.)
phăn	tobben	phan
phăng	phang	knock
phương	phuong	direction
phước	zegen	luck
phường	afdeling	ward
phượng	feniks	phoenix
phạn	sanskriet	sanskrit
phạt	straffen	punish
phả	stamboom	pedigree
phải	rechtsaf	must
phải 	rechtsaf	right
phản	teller	reaction
phảng	vlak	subtle
phần	een deel	part
phẩm	producten	food
phẩy	komma	a comma
phẫn	verontwaardigd	wrathful
phẫu	chirurgie	surgery
phận	lot	part
phật	boeddha	buddhist
phẳng	vliegtuig	flat (adj.)
phế	schroot	dismiss
phết	verspreiding	to spread or smear (v.)
phỉ	hazelaar	defame
phỏng	brandwond	interview
phố	stad	city
phối	coördineren	coordinate
phốt	fosfaat	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	opgeblazen	to swell (v.)
phổ	spectrum	popular
phổi	long	lung
phộng	pinda&#39;s	peanut
phới	vlotter	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	noedelsoep	pho
phục	kleding	convincing
phụng	dienen	worship
phụt	bladerdeeg	minute
phủ	gedekt	government
phức	complex	complex
picchu	picchu	a name
piccolo	piccolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	snoek	pike
pin	de batterij	battery
pinlus	pinlus	pinlus
pioneer	pionier	pioneer
pipes	pijpen	pipes
pisa	pisa	a name
piston	zuiger	piston
pitch	toonhoogte	pitch
pius	pius	pius
plaaf	plaaf	plaaf
plan	plan	plan
plasma	plasma	plasma
plate	bord	plate
plato	plato	plato
platon	platon	platon
player	speler	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	plus	plus
pluto	pluto	pluto
pm	p.m	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	polen	poland
pollack	pollak	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	knal	pop
portland	portland	portland
porto	porto	porto
pot	pot	pot
