$ tỉ	miljarder dollar	$ billion
muỗng	sked	spoon
muội	syster	confusion
muộn	sent	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	mitt utrymme	(proper noun) myspace
mà	men	also
mài	slipning	tomorrow
màn	skärm	curtain (n.)
mành	persienner	a bamboo screen (n.)
mào	vapen	a comb or crest, as in the body part of a bird
màu	färg	color
mày	du	sew
má	mor	cheek
mác	märka	a name (marx)
mách	tips	tell
máclênin	marxelenin	marxist-leninist
mái	tak	"entire term should be ""thoai mai""; means ""comfortable"""
mát	häftigt	cool
máu	blod	blood
máy	maskin	a machine (n.)
mâm	bricka	tray
mân	radband	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	motsägande	contradiction
mây	moln	cloud
mã	koda	"(term should be ""la mã"") roman (adj.)"
mãi	evigt	forever (adv.)
mãimại	koda	commerce
mãn	ro	satisfy
mãnh	stark	intense
mão	kronor	cat
mè	sesam	sesame
mèo	katt	cat (n.)
mé	mig	a border
méo	förvrängd	alter
mép	kant	edge
mét	meter	meter
mênh	förbluffande	vast
mêtan	metan	methane
mì	spaghetti	wheat
mình	själv	me
mía	sockerrör	sugar cane (n.)
mò	fumlade	to grope (v.)
mòn	spår	trail
móc	krok	"(term should be ""máy móc"") machinery (n.)"
món	mat	dish
mô	vävnad	mo
môi	varje	lip
môn	ämnen	anus
mông	rumpa	mongolia
mônôxít	monoxid	monoxide
môt	ett	"(term should be ""một"") one (n.)"
môtô	motorcykel	motorcycle
mù	blind	mu
mùa	säsong	season
mùi	odör	smell
múa	dansa	dance
mút	sugande	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	bambuskott	bamboo shoot (n.)
mĩ	amerika	america
mũ	hatt	cap
mũi	näsa	nose
mơ	dröm	vague
mơn	tassar	caress
mưa	regn	rain
mưu	listig	"(should be ""tham mưu"") advisors"
mươi	femtio	tens
mương	dränera	ditch
mướn	hyra	hire
mướt	silkig	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	låna	borrow
mượt	slät	glossy (adj.)
mạc	öken	"(should be ""mộc mạc"") simple or natural"
mạch	krets	vessel
mại	handel	commerce
mạn	sida	romantic
mạnh	stark	strong
mạo	artikel	"(should be ""mạo hiểm"") to brave danger"
mạt	kvalster	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	gravar	tomb or grave (n.)
mải	upptagen	absorbedly
mảng	array	genre
mảnh	bit	piece
mất	förlorat	lose
mấu	flik	key
mấy	få	any
mầm	bakterie	kindergarten
mầu	färg	color
mẩu	bitar	piece
mận	plommon	plum
mập	fett	fat
mật	honung	intimate
mậu	handel	mau
mắc	dyr	get
mắm	fisksås	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	tur-	"(term should be ""may mắn"") fortunate (adj.)"
mắng	skälla	scold
mắt	öga	eye
mặc	ha på sig	wear
mặn	salt	salt
mặt	ansikte	face
mẹ	mamma	mother (n.)
mẹo	tips	trick
mẻ	omgång	cool
mẽ	stark	strong
mến	kära	to adore or like greatly (v.)
mề	muskelmage	locket
mềm	mjuk	soft
mệnh	öde	revolution
mệt	trött	tired
mỉ	noggrann	meticulous
mỉa	sarkasm	ironic
mỉm	leende	smile
mịch	skit	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	slät	smooth
mịt	sniff	dim
mọc	växer	to grow (v.)
mọi	varje	every
mọn	ringa	lowly
mỏ	gruvor	mine
mỏi	trött	tired (adj.)
mỏng	tunn	thin
mốc	unken	border
mối	termit	relationship
mốt	mode	fashion or style (n.)
mồ	grav	"(term should be ""mồ hôi"") sweat (n.)"
mồi	bete	bait (n.)
mổ	kirurgi	to dissect or perform surgery (v.)
mỗi	varje	every
mộ	grav	admire
mộc	snickeri	simple
mộng	dröm	dream
một	ett	one
mới	ny	new (adj.)
mờ	suddig	dim
mời	bjuda	invite
mở	öppna	open
mỡ	fett	fat or grease (n.)
mục	saken	purpose
mụn	acne	pimple
mức	nivå	level
mứt	sylt	preserve
mừng	glad	to be happy
mửa	kräkningar	to vomit (v.)
mực	bläck	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	nudel	noodles (n.)
mỹ	amerika	america
mỹcông	amerika	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	rådjur	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	manlig	male
nambắc	norr	nambac
namibia	namibia	namibia
namnam	nam nam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	follikel	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	huggtänder	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoleon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	natrium	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	nu på	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	ankare	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	netto	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	nät	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	landet ingenstans	neverland
newcastle	newcastle	newcastle
newspaper	tidning	newspaper
newton	newton	newton
newtons	newton	(proper noun) newton's
next	nästa	next
nga	ryssland	russia
ngai	tronen	crown
ngang	horisontell	horizontal
ngao	mussla	clam (n.)
ngay	rätt	even
nghe	lyssna	hear
nghinh	nghinh	welcome
nghiêm	allvarligt	serious
nghiêng	lutande	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	squish	crush
nghiễm	medlidande	serious
nghiệm	erfarenhet	experiment
nghiện	beroende	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	dyster	adverse
nghành	industri	faculty
nghèo	fattig	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	välkommen	support
nghìn	tusen	thousand
nghĩ	tror	think
nghĩa	betyder att	meaning
nghẽn	trängsel	jam
nghếch	högt	stupid
nghề	yrke	career
nghệquận	konst	art district
nghỉ	semester	relaxation
nghị	rekommendationer	think
ngo	läcker	ngo
ngoan	duktig pojke	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	gott	delicious
ngoài	ut	outside of
ngoại	utländsk	external
ngoạn	hisnande	spectacular
ngoặc	parentes	bracket
ngoặt	sväng	landmark
ngu	sova	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	original-	reason
nguyền	förbanna	curse
nguyện	svära	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	måne	moon
nguôi	lugnande	fade away
nguồn	källa	source
nguời	människor	people
nguỵ	dårar	camouflage
ngà	elfenben	russian
ngàn	tusen	thousand
ngàng	ngang	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	gren	sector
ngào	ljuv	sweet
ngày	dag	day
ngách	nisch	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	dum	chinese ethnic group living in the vietnamese highlands near the china border
ngán	uttråkad	to be tired of
ngáng	ngang	stop
ngát	svimning	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bank	money
ngây	tom	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	koriander	coriander
ngó	se	to look (v.)
ngói	bricka	tile or shingle
ngón	finger	a finger (n.)
ngót	krympning	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	språk	manifesto
ngông	gås	eccentric
ngõ	körfält	lane
ngùi	lukt	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	avdelning	prevent
ngũ	sova	rank
ngơ	ignoreras	ignored (adj.)
ngơi	resten	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	fiskare	fishermen
ngưng	sluta	stop
ngưu	oxe	buffalo
ngươi	du	an ancient form of address equivalent to thou or thee (n.)
người	människor	people
ngưỡng	tröskel	religious
ngược	omvänd	opposite
ngạc	överraskad	surprise
ngạch	rang	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	bank	bank
ngạnh	hullingar	self-willed
ngạo	inbilsk	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	kvävning	stuffy
ngấm	infuserad	draw
ngất	svag	unconscious
ngầm	implicit	underground
ngần	tveka	hesitate
ngẩn	förstummad	froze
ngẫm	fundera	think
ngẫu	slumpmässig	ngẫu nhiên= random
ngậm	pastiller	keep
ngập	översvämmad	flood
ngắm	överväga	to contemplate or look admiringly at something (v.)
ngắn	kort	short
ngặt	tajt	strict
ngọ	middag	horse
ngọc	pärla	pearl
ngọn	topp	top
ngọt	ljuv	sweet (adj.)
ngồi	sitta	sit
ngộ	upplysning	ngo
ngột	tvärt	sudden
ngớ	dumbom	silly
ngời	människor	bright
ngỡ	trodde	surprised
ngợi	beröm	praise
ngợm	stygg	naughty
ngục	fängelse	dungeon
ngụm	smutta	sip
ngụy	wei	puppet
ngủ	att sova	sleep
ngủi	kort	"(should be ""ngắn ngủi"") short-lived"
ngứa	klåda	itchy
ngừ	tonfisk	tuna
ngừa	förhindra	prevent
ngừng	upphöra	to cease (v.)
ngửa	uppåt	supine
ngửi	lukt	to smell
ngữ	tal	term
ngự	bo	defend
ngựa	häst	horse
ngực	bröst	chest
nha	tandläkare	dental
nhakẻ	unge	nha-ke
nham	lava	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	rökelse	incense
nhanh	snabb	fast
nhat	nhat	nhat
nhen	rekindled	rekindle
nhi	barn	junior
nhiên	kurs	tuy nhiên= however
nhiêu	mycket	how many
nhiều	mycket	numerous
nhiễm	infekterad	infect
nhiễu	ljud	noise
nhiệm	plikt	task
nhiệt	värme	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	tycka om	demand
nhuận	vinst	leap year
nhuệ	nhue	elite
nhuộm	färga	dye
nhàn	på tomgång	leisure
nhàng	försiktigt	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	knåda	to fall headlong
nhác	slak	coward
nhái	kloner	illegal copy
nhánh	gren	branch
nháp	förslag	draft
nháy	blinkar	to flash or blink (v.)
nhâm	doppning	leap
nhã	smakfull	"(term should be ""thanh nhã"") elegant"
nhãn	märka	"(term should be ""gán nhãn"") to affix a label"
nhét	sätta	put
nhì	andra	second (adj.)
nhìn	se	to look (v.)
nhí	prat	children
nhím	igelkott	porcupine
nhòm	se	to peep (v.)
nhóc	unge	brat
nhóm	grupp	group (n.)
nhô	utstående	emerge
nhôm	aluminium	aluminum (n.)
nhúng	dopp	embed
nhút	blyg	shy
nhăn	rynkig	wrinkle
nhĩ	förmaks	turkey
nhũ	emulsion	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	korruption	bribery
nhơn	multiplicera	nhon
như	som	like
nhưng	men	but
nhương	saliv	(proper noun) vietnamese first name
nhường	gav vika	yield
nhưỡng	oljig	soil
nhược	svaghet	weak
nhượng	eftergifter	concession
nhạ	nha	nha
nhạc	musik	music
nhạn	svälja	bird
nhạo	hånfull	ridicule
nhạt	blek	light
nhạy	känslig	sensitive
nhảy	dansa	jump
nhấc	hiss	lift
nhấm	sipping	rodent
nhấn	brådskande	to press (v.)
nhất	bäst	most
nhầm	fel	misunderstand
nhầy	slemmig	glutinous
nhẫn	ringar	patient
nhậm	stansad	inaugurate
nhập	importera	penetrate
nhậu	dricka	drink
nhậy	känslig	sensitive
nhắc	prompt	to remind (v.)
nhắm	syfte	aim
nhắn	budskapet	message
nhằm	siktar	for the purpose of (adv.)
nhẵn	slät	smooth
nhặt	plocka	pickup
nhẹ	ljus	light
nhẹn	vig	nhanh nhẹn= fast/nimble
nhị	stamen	sensitive
nhịn	avstå	fasting
nhọ	olycklig	smear
nhọn	skarp	sharp (adj.)
nhỏ	små	small
nhỏ|cây	litet | träd	small|tree
nhỏ|một	liten | en	small | one
nhỏ|phải|	liten | höger |	small|right
nhỏ|phải|px|	liten | höger | px |	small | have | px |
nhỏ|phải|px|bức	små | höger | px | bilder	grape / fade / px / buc
nhỏ|phải|px|cây	liten | höger | px | träd	px spicy grape fade
nhỏ|phải|px|khu	liten | höger | px | zon	small|right|px|area
nhỏ|phải|px|michael	liten | höger | px | michael	small|right|px|michael
nhỏ|phải|px|máy	liten | höger | px | maskin	small | right|px|machine
nhỏ|phải|px|một	liten | höger | px | en	small|right|px|one
nhỏ|phải|px|quân	liten | höger | px | kraft	small|right|px|army
nhỏ|px|	liten | px |	small
nhỏ|px|các	liten | px | the	small
nhỏ|px|phải|kiến	liten | px | höger | ant	small | px | right | patience
nhỏ|quân	liten | kraft	small|army
nhỏ|trái|px|máy	liten | vänster | px | maskin	small|left|px|plane
nhỏ|tượng	små statyer	small|statue
nhốt	inlåst	confine
nhồi	fylld	cram
nhổ	plocka	uproot
nhộn	rolig	busy
nhớ	sinne	remember
nhớt	viskös	viscid
nhờ	tack	by
nhờn	oljig	multiplication
nhở	påminna	remind
nhụ	nypa	nhu
nhục	förödmjukad	shame
nhủ	påminnelser	needs
nhức	värk	pain
nhứt	först	first (n.)
nhừ	sörjig	tender
những	dessa	the
nhựa	plast	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nikel	nickel
niken	nickel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	noll	nile
nile	nile	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	säkerhet	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	kväve	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	år	youth
niết	niet	nirvana
niềm	nöje	trust
niệm	mindfulness	concept
niệu	diures	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noah	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	säga	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	ung	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	norman	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	norge	norway
nou	nej du	nou
novak	novak	novak
now	nu	now
nowc	nowc	nowc
noãn	fröämne	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubia	nubia
number	siffra	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	utfodra	feed
nuối	svälja	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	svälja	to swallow (v.)
nuớc	vatten	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	na	na
nài	insistera	pleading
nàn	klagade	poor
nành	soja	soy
nào	kom igen	would
này	detta	this
ná	na	a crossbow (n.)
nách	armhåla	underarm (n.)
náo	uproarious	riot
nát	krossad	ruin
náu	dölj	hide
nâng	upphöja	raise
nâu	brun	brown
nã	nã	to track down (v.)
não	hjärna	brain
né	undvika	dodge
ném	kasta	to throw (v.)
nén	komprimerad	compress
nét	stroke	feature
nê	ne	ne
nên	ljusstake	should or ought to
nêu	säga	mention
nòi	lopp	race
nòng	barreled	barrel
nói	att tala	to say or speak (v.)
nón	hatt	cone
nóng	varm	hot
nô	slav	slave
nôbita	tobita	nobita
nôi	spjälsäng	cradle
nôm	nom	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	kräkas	vomit
nông	grund	farmer
nõn	peeling	peeled
nùng	nung	nung
núm	knopp	nipple
núp	dölj	hide
nút	knut	button
năm	år	year
năn	ånger	"(term should be ""ăn năn"") remorse (n.)"
năng	kraft	"(term should be ""khả năng"") ability (n.)"
nơi	plats	a place
nơtrino	neutino	neutrino
nước	land	country
nước 	land	water
nướng	grillad	grill
nǎm	nǎm	year
nạ	mask	mask
nạc	mager	lean (adj.)
nại	klaga	complain
nạn	ångest	a disaster (n.)
nạo	skrapning	to scrape (v.)
nạp	lastad	tribute
nản	avskräckt	depressed
nảy	studsande	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	hicka	a hiccup (n.)
nấp	dölj	hide
nấu	laga mat	cook
nấy	detta	this
nần	knuff	debt
nầy	detta	this
nẩy	studsande	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n sol	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	varm	busy
nắm	håll	to grasp or hold (v.)
nắng	solig	sunlight
nắp	lock	a lid or cover (n.)
nằm	lögn	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonymt	heavy
nặn	pressa	mould
nặng	tung	heavy
nẻo	annan	turn
nếm	smak	taste
nến	ljus	candle
nếp	klibbig	sticky rice (n.)
nếu	om	if (adv.)
nề	murverk	severe
nể	respekt	respect
nện	bultande	ram
nỉ	känt	beg
nịnh	smickra	flatter
nọ	den andra	the other
nọc	gift	tadpole
nỏ	armborst	a crossbow (n.)
nối	ansluten	connection
nốt	notera	to finish off (v.)
nồi	pott	pot
nồm	nacke	humid (adj.)
nồng	varm	heavy
nổ	explosiv	explode
nổi	flytande	nổi tiếng= famous
nỗ	försök	affort
nỗi	det där	state
nộ	vrede	anger
nội	inre	on the paternal side (adj.)
nộn	fyllning	non
nộp	inlämnad	submit
nới	slappna av	ease
nở	blomning	bloom
nỡ	hearted	do you have a heart to
nợ	i skuld	debt
nụy	pistill	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	kork	a kind of bamboo (n.)
nứt	knäckt	to crack
nửa	halv	haft
nữa	om igen	moreover
oahu	oahu	(proper noun) oahu
oai	fruktan	heroic
oakland	oakland	oakland
oan	orätt	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	oktober	(proper noun) october
oda	o da	oda
oder	oder	oder
odyssey	odyssey	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	officer	officer
officers	kommenderar	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olympus	olympus
om	bräserad	to simmer
omar	omar	a name
ong	bi	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	organ	organ
oricon	oricon	oricon
origin	ursprung	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossetia	(proper noun) ossetia
oswald	oswald	oswald
other	övrig	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	ottoman	(proper noun) ottoman, as in the ottoman empire
outstanding	utestående	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	syre	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	förbittring	"(term should be ""oán than"") to complain or whine"
oát	watt	a watt (n.)
oản	oan	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestina	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	panorera	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	pocketbok	paperback
papua	papua	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	parkera	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	patriot	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	kamrater	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	penny	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	päronvin	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	persisk	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	blandad	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	broms	expose
phao	flyta	float
phaolô	paul	st. paul, the apostle
pharaoh	farao	pharaoh
pharaon	pharaon	pharaoh
phay	fräsning	mill
phe	fraktion	faction
phen	phen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	filippinerna	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	filtrera	coffee filter
phineas	phineas	(proper noun) phineas
phiên	session	trial
phiêu	äventyr	adventurous
phiếm	skvaller	gossip
phiến	blad	"(should be ""nha phiến"") opium"
phiện	opium	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	fågel fenix	(proper noun) phoenix
phong	rum	movement
php	php	php
phrygian	frygisk	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	otäckta	expose
phun	spray	to spray or spit (v.)
phà	färja	ferry
phàm	dödlig	superhuman
phàn	klaga	complain
phá	brytning	destroy
phác	skiss	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	slå	manner (n.)
phái	sekt	a party
phán	bedöma	judge
pháo	kanon	artillery
pháp	frankrike	method
phát	utsända	develop
phèn	alun	alum
phèo	pheo	organs
phép	tillåten	permit
phê	bli hög	"(term should be ""phê bình"") to criticize (v.)"
phêrô	peter	peter
phì	förstoras	non-
phình	utbuktning	bulge
phí	avgift	non-
phía	sida	side
phích	termos	a flask (n.)
phím	nyckel	key
phò	pho	"(term should be ""phò mã"") a prince consort"
phòng	rum	office
phó	vice	second
phóng	lansera	to launch (v.)
phô	stad	display
phôi	embryo	embryo
phông	font	font
phùng	puff	phung
phúc	välsignad	good fortune (n.)
phúclộc	välsignelse	phuc-loc
phún	luffare	"(term should be ""lún phún"") sparse (adj.)"
phúng	medlidande	satire
phút	minut	a minute (n.)
phăn	band	phan
phăng	phang	knock
phương	phuong	direction
phước	välsignelse	luck
phường	avdelning	ward
phượng	fågel fenix	phoenix
phạn	sanskrit	sanskrit
phạt	straffa	punish
phả	stamtavla	pedigree
phải	rätt	must
phải 	rätt	right
phản	disken	reaction
phảng	platt	subtle
phần	del	part
phẩm	produkter	food
phẩy	kommatecken	a comma
phẫn	indignerad	wrathful
phẫu	kirurgi	surgery
phận	öde	part
phật	buddha	buddhist
phẳng	plan	flat (adj.)
phế	skrot	dismiss
phết	sprida	to spread or smear (v.)
phỉ	hassel	defame
phỏng	bränna	interview
phố	stad	city
phối	samordna	coordinate
phốt	fosfat	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	uppblåst	to swell (v.)
phổ	spektrum	popular
phổi	lunga	lung
phộng	jordnötter	peanut
phới	flyta	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	nudelsoppa	pho
phục	kläder	convincing
phụng	tjäna	worship
phụt	puff	minute
phủ	täckt	government
phức	komplex	complex
picchu	picchu	a name
piccolo	piccolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	gädda	pike
pin	batteriet	battery
pinlus	pinlus	pinlus
pioneer	pionjär	pioneer
pipes	rör	pipes
pisa	pisa	a name
piston	kolv	piston
pitch	tonhöjd	pitch
pius	pius	pius
plaaf	plaaf	plaaf
plan	planen	plan
plasma	plasma	plasma
plate	tallrik	plate
plato	plato	plato
platon	platon	platon
player	spelare	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	plus	plus
pluto	pluto	pluto
pm	pm	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	polen	poland
pollack	lyrtorsk	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop-	pop
portland	portland	portland
porto	porto	porto
pot	pott	pot
potsdam	potsdam	(proper noun) potsdam
potter	krukmakare	(proper noun) potter, as in harry potter
pour	häll i	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	premiärminister	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	prins	prince
princeton	princeton	princeton
printemps	prin	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometheus	(proper noun) prometheus
protein	proteinet	protein
prôtêin	protein	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolemy	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	massa	pulp
punjab	punjab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pyreneerna	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	pec	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	styng	fansipan
pơ	po	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	qatar	qatar
qd	qd	quantum dots
