$ tỉ	miliarde de dolari	$ billion
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	abanos	a vietnamese name
munich	munchen	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	barabulă	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	vrei	a large number; thousands (adj.)
muối	sare	salt
muốn	vrei	want
muống	linguriţă	"(term should be ""rau muống"") water spinach (n.)"
muồi	târziu	ripe
muỗi	ţânţar	mosquito
muỗng	linguriţă	spoon
muội	soră	confusion
muộn	târziu	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	spatiul meu	(proper noun) myspace
mà	dar	also
mài	măcinare	tomorrow
màn	ecran	curtain (n.)
mành	jaluzele	a bamboo screen (n.)
mào	creastă	a comb or crest, as in the body part of a bird
màu	culoare	color
mày	tu	sew
má	mamă	cheek
mác	eticheta	a name (marx)
mách	sfaturi	tell
máclênin	marxelenin	marxist-leninist
mái	acoperiş	"entire term should be ""thoai mai""; means ""comfortable"""
mát	rece	cool
máu	sânge	blood
máy	mașinărie	a machine (n.)
mâm	tavă	tray
mân	mătănii	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	contradictoriu	contradiction
mây	nor	cloud
mã	cod	"(term should be ""la mã"") roman (adj.)"
mãi	pentru totdeauna	forever (adv.)
mãimại	cod	commerce
mãn	mulțumit de sine	satisfy
mãnh	puternic	intense
mão	coroane	cat
mè	susan	sesame
mèo	pisică	cat (n.)
mé	pe mine	a border
méo	deformat	alter
mép	margine	edge
mét	metru	meter
mênh	zguduitor	vast
mêtan	metan	methane
mì	tăiței	wheat
mình	tu	me
mía	baston	sugar cane (n.)
mò	scotoci	to grope (v.)
mòn	traseu	trail
móc	cârlig	"(term should be ""máy móc"") machinery (n.)"
món	alimente	dish
mô	țesut	mo
môi	fiecare	lip
môn	subiecți	anus
mông	fund	mongolia
mônôxít	monoxidului	monoxide
môt	unu	"(term should be ""một"") one (n.)"
môtô	motocicletă	motorcycle
mù	orb	mu
mùa	sezon	season
mùi	miros	smell
múa	dans	dance
mút	supt	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	muguri de bambus	bamboo shoot (n.)
mĩ	america	america
mũ	pălărie	cap
mũi	nas	nose
mơ	vis	vague
mơn	labe	caress
mưa	ploaie	rain
mưu	viclean	"(should be ""tham mưu"") advisors"
mươi	cincizeci	tens
mương	scurgere	ditch
mướn	chirie	hire
mướt	mătăsos	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	împrumuta	borrow
mượt	neted	glossy (adj.)
mạc	deşert	"(should be ""mộc mạc"") simple or natural"
mạch	circuit	vessel
mại	comerț	commerce
mạn	latură	romantic
mạnh	puternic	strong
mạo	articol	"(should be ""mạo hiểm"") to brave danger"
mạt	acarieni	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	morminte	tomb or grave (n.)
mải	ocupat	absorbedly
mảng	mulțime	genre
mảnh	bucată	piece
mất	pierdut	lose
mấu	fila	key
mấy	puțini	any
mầm	germene	kindergarten
mầu	culoare	color
mẩu	bucăți	piece
mận	prună	plum
mập	gras	fat
mật	miere	intimate
mậu	comerț	mau
mắc	scump	get
mắm	sos de pește	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	norocos	"(term should be ""may mắn"") fortunate (adj.)"
mắng	certa	scold
mắt	ochi	eye
mặc	purta	wear
mặn	sărat	salt
mặt	față	face
mẹ	mama	mother (n.)
mẹo	sfaturi	trick
mẻ	lot	cool
mẽ	puternic	strong
mến	dragă	to adore or like greatly (v.)
mề	pipotă	locket
mềm	moale	soft
mệnh	soartă	revolution
mệt	obosit	tired
mỉ	meticulos	meticulous
mỉa	sarcasm	ironic
mỉm	zâmbet	smile
mịch	rahat	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	neted	smooth
mịt	adulmeca	dim
mọc	dezvoltă	to grow (v.)
mọi	fiecare	every
mọn	mic	lowly
mỏ	mine	mine
mỏi	obosit	tired (adj.)
mỏng	subţire	thin
mốc	prăfuit	border
mối	termită	relationship
mốt	modă	fashion or style (n.)
mồ	mormânt	"(term should be ""mồ hôi"") sweat (n.)"
mồi	momeală	bait (n.)
mổ	interventie chirurgicala	to dissect or perform surgery (v.)
mỗi	fiecare	every
mộ	mormânt	admire
mộc	dulgherie	simple
mộng	vis	dream
một	unu	one
mới	nou	new (adj.)
mờ	pufos	dim
mời	a invita	invite
mở	deschis	open
mỡ	gras	fat or grease (n.)
mục	elementul	purpose
mụn	acnee	pimple
mức	nivel	level
mứt	gem	preserve
mừng	bucuros	to be happy
mửa	vărsături	to vomit (v.)
mực	cerneală	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	taitei	noodles (n.)
mỹ	america	america
mỹcông	america	my private
na	n / a	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	cerb	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	masculin	male
nambắc	nord	nambac
namibia	namibia	namibia
namnam	nam nam	male-male
namno	namno	nammo
nancy	întâmplat nimic!	nancy, as in nancy pelosi
nang	folicul	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	colti	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	sodiu	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	acum pe	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	ancoră	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	net	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	rețele	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	tara de nicaieri	neverland
newcastle	newcastle	newcastle
newspaper	ziar	newspaper
newton	newton	newton
newtons	newtoni	(proper noun) newton's
next	următor →	next
nga	rusia	russia
ngai	tronul	crown
ngang	orizontală	horizontal
ngao	scoică	clam (n.)
ngay	dreapta	even
nghe	asculta	hear
nghinh	nghinh	welcome
nghiêm	strict	serious
nghiêng	înclinat	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	squish	crush
nghiễm	milă	serious
nghiệm	experienţă	experiment
nghiện	dependent	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	rău	adverse
nghành	industrie	faculty
nghèo	sărac	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	bine ati venit	support
nghìn	mie	thousand
nghĩ	gândi	think
nghĩa	mijloace	meaning
nghẽn	congestionare	jam
nghếch	tare	stupid
nghề	profesie	career
nghệquận	artă	art district
nghỉ	concediu de odihna	relaxation
nghị	recomandări	think
ngo	plin de graţie	ngo
ngoan	băiat bun	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	gustos	delicious
ngoài	afară	outside of
ngoại	străin	external
ngoạn	îți taie răsuflarea	spectacular
ngoặc	paranteze	bracket
ngoặt	rândul său,	landmark
ngu	dormi	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	original	reason
nguyền	blestem	curse
nguyện	jurământ	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	lună	moon
nguôi	calmant	fade away
nguồn	sursă	source
nguời	oameni	people
nguỵ	proști	camouflage
ngà	fildeş	russian
ngàn	mie	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	ramură	sector
ngào	dulce	sweet
ngày	zi	day
ngách	nişă	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	prost	chinese ethnic group living in the vietnamese highlands near the china border
ngán	plictisit	to be tired of
ngáng	ngáng	stop
ngát	leșin	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bancă	money
ngây	gol	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	coriandru	coriander
ngó	uite	to look (v.)
ngói	ţiglă	tile or shingle
ngón	deget	a finger (n.)
ngót	contractare	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	limba	manifesto
ngông	gâscă	eccentric
ngõ	bandă	lane
ngùi	miros	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	compartiment	prevent
ngũ	dormi	rank
ngơ	ignorate	ignored (adj.)
ngơi	odihnă	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	pescar	fishermen
ngưng	stop	stop
ngưu	bou	buffalo
ngươi	tu	an ancient form of address equivalent to thou or thee (n.)
người	oameni	people
ngưỡng	prag	religious
ngược	verso	opposite
ngạc	uimit	surprise
ngạch	rang	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	bancă	bank
ngạnh	ghimpi	self-willed
ngạo	încrezut	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	asfixiere	stuffy
ngấm	perfuzată	draw
ngất	slab	unconscious
ngầm	implicit	underground
ngần	ezita	hesitate
ngẩn	înmărmurit	froze
ngẫm	cugeta	think
ngẫu	aleatoriu	ngẫu nhiên= random
ngậm	pastile	keep
ngập	inundate	flood
ngắm	contempla	to contemplate or look admiringly at something (v.)
ngắn	mic de statura	short
ngặt	strâmt	strict
ngọ	amiază	horse
ngọc	bijuterie	pearl
ngọn	top	top
ngọt	dulce	sweet (adj.)
ngồi	sta	sit
ngộ	iluminism	ngo
ngột	brusc	sudden
ngớ	prost	silly
ngời	oameni	bright
ngỡ	gând	surprised
ngợi	laudă	praise
ngợm	obraznic	naughty
ngục	închisoare	dungeon
ngụm	înghiţitură	sip
ngụy	wei	puppet
ngủ	a dormi	sleep
ngủi	mic de statura	"(should be ""ngắn ngủi"") short-lived"
ngứa	mâncărime	itchy
ngừ	ton	tuna
ngừa	împiedica	prevent
ngừng	înceta	to cease (v.)
ngửa	cu fața în sus	supine
ngửi	miros	to smell
ngữ	vorbire	term
ngự	locui	defend
ngựa	cal	horse
ngực	cufăr	chest
nha	dentist	dental
nhakẻ	copil	nha-ke
nham	lavă	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	tămâia	incense
nhanh	rapid	fast
nhat	nhat	nhat
nhen	reaprins	rekindle
nhi	copii	junior
nhiên	curs	tuy nhiên= however
nhiêu	mult	how many
nhiều	mult	numerous
nhiễm	infectat	infect
nhiễu	zgomot	noise
nhiệm	datorie	task
nhiệt	căldură	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	ca	demand
nhuận	profit	leap year
nhuệ	nhue	elite
nhuộm	colorant	dye
nhàn	inactiv	leisure
nhàng	cu blândețe	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	knead	to fall headlong
nhác	moale	coward
nhái	clone	illegal copy
nhánh	ramură	branch
nháp	proiect	draft
nháy	flash-uri	to flash or blink (v.)
nhâm	cufundare	leap
nhã	gustos	"(term should be ""thanh nhã"") elegant"
nhãn	eticheta	"(term should be ""gán nhãn"") to affix a label"
nhét	a pune	put
nhì	al doilea	second (adj.)
nhìn	uite	to look (v.)
nhí	pălăvrăgeală	children
nhím	arici	porcupine
nhòm	uite	to peep (v.)
nhóc	copil	brat
nhóm	grup	group (n.)
nhô	proeminente	emerge
nhôm	aluminiu	aluminum (n.)
nhúng	cufundare	embed
nhút	timid	shy
nhăn	încrețită	wrinkle
nhĩ	atrială	turkey
nhũ	emulsie	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	corupţie	bribery
nhơn	multiplica	nhon
như	la fel de	like
nhưng	dar	but
nhương	salivă	(proper noun) vietnamese first name
nhường	a cedat	yield
nhưỡng	gras	soil
nhược	slăbiciune	weak
nhượng	concesii	concession
nhạ	nha	nha
nhạc	muzică	music
nhạn	a inghiti	bird
nhạo	batjocoritor	ridicule
nhạt	palid	light
nhạy	sensibil	sensitive
nhảy	dans	jump
nhấc	lift	lift
nhấm	sorbindu	rodent
nhấn	presare	to press (v.)
nhất	cel mai bun	most
nhầm	gresit	misunderstand
nhầy	noroios	glutinous
nhẫn	inele	patient
nhậm	timbrat	inaugurate
nhập	import	penetrate
nhậu	băut	drink
nhậy	sensibil	sensitive
nhắc	prompt	to remind (v.)
nhắm	scop	aim
nhắn	mesajul	message
nhằm	cu scopul	for the purpose of (adv.)
nhẵn	neted	smooth
nhặt	alege	pickup
nhẹ	ușoară	light
nhẹn	agil	nhanh nhẹn= fast/nimble
nhị	stamină	sensitive
nhịn	abtinere	fasting
nhọ	ghinionist	smear
nhọn	ascuțit	sharp (adj.)
nhỏ	mic	small
nhỏ|cây	copac mic |	small|tree
nhỏ|một	mic | unul	small | one
nhỏ|phải|	mic | drept |	small|right
nhỏ|phải|px|	mic | drept | px |	small | have | px |
nhỏ|phải|px|bức	mic | dreapta | px | poze	grape / fade / px / buc
nhỏ|phải|px|cây	mic | dreapta | px | copac	px spicy grape fade
nhỏ|phải|px|khu	mică | dreapta | px | zonă	small|right|px|area
nhỏ|phải|px|michael	mic | drept | px | michael	small|right|px|michael
nhỏ|phải|px|máy	mic | dreapta | px | mașină	small | right|px|machine
nhỏ|phải|px|một	mic | drept | px | unu	small|right|px|one
nhỏ|phải|px|quân	mic | dreapta | px | forță	small|right|px|army
nhỏ|px|	mic | px |	small
nhỏ|px|các	mic | px |	small
nhỏ|px|phải|kiến	mic | px | dreapta | furnica	small | px | right | patience
nhỏ|quân	forță mică |	small|army
nhỏ|trái|px|máy	mașină mică | stânga | px |	small|left|px|plane
nhỏ|tượng	statui mici	small|statue
nhốt	închis	confine
nhồi	umplut	cram
nhổ	potroace	uproot
nhộn	vesel	busy
nhớ	minte	remember
nhớt	viscos	viscid
nhờ	mulțumiri	by
nhờn	gras	multiplication
nhở	reaminti	remind
nhụ	ciupi	nhu
nhục	umiliți	shame
nhủ	memento-uri	needs
nhức	durere	pain
nhứt	primul	first (n.)
nhừ	ca terciul	tender
những	aceste	the
nhựa	plastic	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicea	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nikel	nickel
niken	nichel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nicolaevici	nikolayevich
nil	zero	nile
nile	nilul	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	securitate	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	azot	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	an	youth
niết	niet	nirvana
niềm	plăcere	trust
niệm	sănătate mintală	concept
niệu	diureza	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noah	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	spune	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	tineri	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	normand	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	norvegia	norway
nou	nou	nou
novak	novak	novak
now	acum	now
nowc	nowc	nowc
noãn	ovul	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubia	nubia
number	număr	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	a hrani	feed
nuối	a inghiti	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	a inghiti	to swallow (v.)
nuớc	apă	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	n / a	na
nài	insista	pleading
nàn	plâns	poor
nành	soia	soy
nào	haide	would
này	acest	this
ná	n / a	a crossbow (n.)
nách	subsuoară	underarm (n.)
náo	zgomotos	riot
nát	zdrobit	ruin
náu	ascunde	hide
nâng	ridica	raise
nâu	maro	brown
nã	n / a	to track down (v.)
não	creier	brain
né	se eschiva	dodge
ném	arunca	to throw (v.)
nén	comprimat	compress
nét	accidente vasculare cerebrale	feature
nê	ne	ne
nên	sfeşnic	should or ought to
nêu	spune	mention
nòi	rasă	race
nòng	barreled	barrel
nói	a vorbi	to say or speak (v.)
nón	pălărie	cone
nóng	fierbinte	hot
nô	sclav	slave
nôbita	tobita	nobita
nôi	pat de copil	cradle
nôm	nom	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	vărsătură	vomit
nông	superficial	farmer
nõn	exfoliere	peeled
nùng	nung	nung
núm	mâner	nipple
núp	ascunde	hide
nút	nod	button
năm	an	year
năn	care se căiește	"(term should be ""ăn năn"") remorse (n.)"
năng	putere	"(term should be ""khả năng"") ability (n.)"
nơi	loc	a place
nơtrino	neutino	neutrino
nước	țară	country
nước 	țară	water
nướng	la grătar	grill
nǎm	nǎm	year
nạ	masca	mask
nạc	a se sprijini	lean (adj.)
nại	plânge	complain
nạn	suferință	a disaster (n.)
nạo	chiuretaj	to scrape (v.)
nạp	încărcat	tribute
nản	descurajat	depressed
nảy	viguros	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	sughiţ	a hiccup (n.)
nấp	ascunde	hide
nấu	bucătar	cook
nấy	acest	this
nần	ghiont	debt
nầy	acest	this
nẩy	viguros	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n soare	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	fierbinte	busy
nắm	așteptare	to grasp or hold (v.)
nắng	însorit	sunlight
nắp	capac	a lid or cover (n.)
nằm	minciună	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonim	heavy
nặn	stoarce	mould
nặng	greu	heavy
nẻo	un alt	turn
nếm	gust	taste
nến	lumânare	candle
nếp	lipicios	sticky rice (n.)
nếu	dacă	if (adv.)
nề	zidărie	severe
nể	respect	respect
nện	pounding	ram
nỉ	simțit	beg
nịnh	flata	flatter
nọ	celălalt	the other
nọc	venin	tadpole
nỏ	arbaletă	a crossbow (n.)
nối	conectat	connection
nốt	notă	to finish off (v.)
nồi	oală	pot
nồm	ceafă	humid (adj.)
nồng	fierbinte	heavy
nổ	exploziv	explode
nổi	plutitor	nổi tiếng= famous
nỗ	atentat, încercare	affort
nỗi	acea	state
nộ	mânie	anger
nội	intern	on the paternal side (adj.)
nộn	umplutură	non
nộp	depusă	submit
nới	relaxeaza-te	ease
nở	înflorit	bloom
nỡ	inimă	do you have a heart to
nợ	dator	debt
nụy	pistil	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	plută	a kind of bamboo (n.)
nứt	cracked	to crack
nửa	jumătate	haft
nữa	din nou	moreover
oahu	oahu	(proper noun) oahu
oai	a ii fii frica	heroic
oakland	oakland	oakland
oan	nedreptate	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	octombrie	(proper noun) october
oda	o da	oda
oder	oder	oder
odyssey	odiseea	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	ofiţer	officer
officers	ofiţerii	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olimp	olympus
om	fiert înăbușit	to simmer
omar	omar	a name
ong	albină	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	organ	organ
oricon	oricon	oricon
origin	origine	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	osetia	(proper noun) ossetia
oswald	oswald	oswald
other	alte	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	otoman	(proper noun) ottoman, as in the ottoman empire
outstanding	remarcabil	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	oxigen	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	resentiment	"(term should be ""oán than"") to complain or whine"
oát	wați	a watt (n.)
oản	oan	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestina	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	tigaie	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panteon	a name
paolo	paolo	paolo
paperback	carte broșată	paperback
papua	papua	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	parc	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	patriot	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	colegii	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	penny	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	cidru de pere	(proper noun) perry, as in elizabeth perry
persephone	persefona	presephone
pershing	pershing	pershing
persian	persană	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	amestecat	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	frână	expose
phao	pluti	float
phaolô	paul	st. paul, the apostle
pharaoh	faraon	pharaoh
pharaon	pharaon	pharaoh
phay	frezare	mill
phe	facţiune	faction
phen	phen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	filipine	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	filtru	coffee filter
phineas	phineas	(proper noun) phineas
phiên	sesiune	trial
phiêu	aventură	adventurous
phiếm	bârfă	gossip
phiến	lamă	"(should be ""nha phiến"") opium"
phiện	opiu	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	fenix	(proper noun) phoenix
phong	cameră	movement
php	php	php
phrygian	frigian	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	neacoperit	expose
phun	spray	to spray or spit (v.)
phà	bac	ferry
phàm	muritor	superhuman
phàn	plânge	complain
phá	spargere	destroy
phác	schiță	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	bate	manner (n.)
phái	sectă	a party
phán	judecător	judge
pháo	tun	artillery
pháp	franţa	method
phát	difuzare	develop
phèn	alaun	alum
phèo	phèo	organs
phép	permis	permit
phê	ajunge sus	"(term should be ""phê bình"") to criticize (v.)"
phêrô	petru	peter
phì	extinsă	non-
phình	umflătură	bulge
phí	încărca	non-
phía	latură	side
phích	termos	a flask (n.)
phím	cheie	key
phò	pho	"(term should be ""phò mã"") a prince consort"
phòng	cameră	office
phó	adjunct	second
phóng	lansa	to launch (v.)
phô	oraș	display
phôi	embrion	embryo
phông	font	font
phùng	sufla	phung
phúc	binecuvântat	good fortune (n.)
phúclộc	binecuvântare	phuc-loc
phún	vagabond	"(term should be ""lún phún"") sparse (adj.)"
phúng	milă	satire
phút	minut	a minute (n.)
phăn	toci	phan
phăng	phang	knock
phương	phuong	direction
phước	binecuvântare	luck
phường	cartier	ward
phượng	fenix	phoenix
phạn	sanscrit	sanskrit
phạt	pedepsi	punish
phả	origine	pedigree
phải	dreapta	must
phải 	dreapta	right
phản	tejghea	reaction
phảng	apartament	subtle
phần	parte	part
phẩm	produse	food
phẩy	virgulă	a comma
phẫn	indignat	wrathful
phẫu	interventie chirurgicala	surgery
phận	soartă	part
phật	buddha	buddhist
phẳng	avion	flat (adj.)
phế	resturi	dismiss
phết	răspândire	to spread or smear (v.)
phỉ	căprui	defame
phỏng	a arde	interview
phố	oraș	city
phối	coordona	coordinate
phốt	fosfat	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	umflat	to swell (v.)
phổ	spectru	popular
phổi	plămân	lung
phộng	arahide	peanut
phới	pluti	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	supă de tăiței	pho
phục	haine	convincing
phụng	servi	worship
phụt	sufla	minute
phủ	acoperit	government
phức	complex	complex
picchu	picchu	a name
piccolo	piculină	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	ştiucă	pike
pin	bateria	battery
pinlus	pinlus	pinlus
pioneer	pionier	pioneer
pipes	tevi	pipes
pisa	pisa	a name
piston	piston	piston
pitch	pas	pitch
pius	pius al	pius
plaaf	plaaf	plaaf
plan	plan	plan
plasma	plasmă	plasma
plate	farfurie	plate
plato	plato	plato
platon	platon	platon
player	jucător	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	la care se adauga	plus
pluto	pluton	pluto
pm	p.m	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	polonia	poland
pollack	pollack	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	oală	pot
potsdam	postdam	(proper noun) potsdam
potter	olar	(proper noun) potter, as in harry potter
pour	turna	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	premier	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	prinţ	prince
princeton	princeton	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
