$	ps	a sign of doller
સમજાય	entendido	to be understood
સમજાયું	dio cuenta	understood
સમજાવવા	para explicar	to convince
સમજાવવામાં	explicado	explain
સમજાવી	explicado	explain
સમજાવે	explica	explain
સમજાવ્યા	explicado	explain
સમજાવ્યું	explicado	tought
સમજી	entendido	understand
સમજે	entiende	understands
સમન્વય	sincronización	coordination
સમન્વિત	sincronizado	to include
સમભાવ	equilibrio	equality,
સમય	hora	time
સમયગાળા	período	duration
સમયગાળામાં	período	duration
સમયગાળો	duración	duration
સમયથી	de vez en cuando	for time
સમયના	de tiempo	time
સમયનાં	de tiempo	of the times
સમયની	de tiempo	time's
સમયનું	de tiempo	of the time
સમયને	hora	to time
સમયનો	hora	of time
સમયમાં	a tiempo	in the time of
સમયાંતરે	periódicamente	at an interval of time
સમયે	en el momento	in time
સમર્થ	poder	able
સમર્થક	seguidor	supporter
સમર્થન	apoyo	support
સમર્પણ	dedicación	surrendered
સમર્પિત	dedicado	contribute
સમસ્ત	todas	entire
સમસ્યા	problema	problem
સમસ્યાઓ	problemas	problem
સમાંતર	paralela	parallel
સમાચાર	noticias	news
સમાજ	sociedad	society
સમાજના	de la sociedad	society
સમાજની	de la sociedad	society
સમાજને	sociedad	soceity
સમાજમાં	en sociedad	in the society
સમાજવાદી	socialista	socialist
સમાધાન	compromiso	settlement
સમાધિ	samadhi	samadhi, an stage of link with holy soul, almighty,
સમાધી	samadhi	contemplation
સમાન	mismo	equal
સમાનતા	igualdad	equality
સમાનવ	equivalente	manned
સમાનાર્થી	sinónimos	synonyms
સમાપ્ત	terminado	ended
સમાપ્તિ	terminación	end
સમારંભ	ceremonia	ceremony
સમારંભમાં	en la ceremonia	ceremony
સમારકામ	refacción	repairing
સમાવિષ્ટ	contenido	to include
સમાવી	contiene	included
સમાવેશ	inclusión	include
સમિતિ	comité	committee
સમિતી	comité	committee
સમી	sami	just like
સમીકરણો	ecuaciones	equalization
સમીક્ષા	revisión	to review
સમુદાય	comunidad	crowd
સમુદાયો	comunidades	communities
સમુદ્ર	el mar	sea
સમુદ્રથી	del mar	from sea, by sea
સમુદ્રના	del mar	of sea, of ocean
સમુદ્રની	del mar	of sea
સમુદ્રમાં	en el mar	in sea
સમુદ્રી	marina	related to sea
સમુહ	grupo	group
સમૂહ	conjunto	group
સમૂહને	al conjunto	mass / collective / set
સમૃદ્ધ	rico	rich
સમૃદ્ધિ	prosperidad	prosprous
સમ્મિલિત	incluido	included
સમ્રાટ	emperador	emperor
સયાજીરાવ	sayajirao	sayajirao
સર	señor	sir
સરકાર	gobierno	government,
સરકારના	del gobierno	government
સરકારની	del gobierno	governent
સરકારનું	del gobierno	governent's
સરકારને	al gobierno	to government
સરકારનો	del gobierno	of the government
સરકારમાં	en el gobierno	in the government
સરકારી	gobierno	governmental / official
સરકારે	gobierno	by the government
સરકારો	gobiernos	goverment
સરકારોએ	gobiernos	by governments
સરખા	idéntico	equal, even
સરખામણી	comparación	comparison
સરખામણીએ	en comparación	than
સરખામણીમાં	en comparación	comparison
સરખાવવા	comparar	comparison
સરખી	similar	same / equal / similar
સરઘસ	procesión	rally
સરઘસમાં	en procesión	in the procession
સરદાર	sardar	adjective
સરદારના	de los jefes	adjective of person
સરદારની	del jefe	sardar
સરદારનું	del jefe	sardar's
સરદારને	al jefe	to sardar
સરદારનો	del jefe	sardar's
સરદારે	sardar	sardar
સરલ	sencillo	easy
સરળ	fácil	simple
સરળતા	facilitar	simple
સરળતાથી	fácilmente	easily
સરસ	agradable	fine
સરસ્વતી	saraswati	saraswati
સરહદ	frontera	border
સરહદે	al borde	at the border
સરહદો	fronteras	borders
સરાસરી	de media	average
સરેરાશ	promedio	average
સરોવર	lago	lake
સરોવરમાંથી	del lago	form lake
સરોવરો	lagos	lakes
સર્કિટ	circuito	circuit
સર્ચ	buscar	search
સર્જક	creador	maker
સર્જન	cirujano	creation
સર્જનની	de la creación	of creation
સર્જનાત્મક	creativo	creativeness
સર્જાતી	creado	becoming / happening
સર્જાય	surge	creates
સર્જી	sergey	create
સર્વ	todas	most
સર્વત્ર	en todas partes	throughout
સર્વધર્મ	interreligioso	all religions
સર્વપ્રથમ	ante todo	most first
સર્વર	servidor	all
સર્વશ્રેષ્ઠ	el mejor	the best of all
સર્વસામાન્ય	general	common
સર્વાધિક	más	overall
સર્વિસ	servicio	service
સર્વે	encuesta	all
સર્વેક્ષણ	encuesta	survey
સર્વેક્ષણમાં	en la encuesta	in the survey
સર્વોચ્ચ	supremo	supreme, superior,
સર્વોત્તમ	el mejor	the best
સલામત	seguro	secured
સલામતી	la seguridad	security
સલાહ	consejo	advice
સલાહકાર	tutor	adviser
સલ્તનત	sultanato	kingdom
સલ્ફર	azufre	sulphur
સળગાવી	quemado	lighted
સવંત	sabio	era
સવલતો	instalaciones	facilities
સવાર	por la mañana	morning
સવારથી	desde la mañana	selfish
સવારે	por la mañana	in the morning
સવાલ	pregunta	question
સવિનય	cumplidos	civil
સવિશેષ	especial	special, exceptionable,
સશક્ત	fuerte	athletic
સશસ્ત્ર	armado	weapon
સસ્તા	barato	cheep
સસ્તી	barato	cheap
સહ	co	co
સહકાર	cooperación	co operate
સહકારી	cooperativa	govenrmental
સહજ	natural	casual
સહજાનંદ	sahajananda	sahajanand
સહદેવ	sahadeva	sahadev
સહન	oso	suffer
સહભાગી	partícipe	partner
સહમત	de acuerdo	agreed
સહયોગ	colaboración	cooperation
સહયોગથી	en colaboración	with help
સહયોગી	colaborador	with the help of
સહાય	ayuda	assistance
સહાયક	secundario	coworker
સહાયતા	ayuda	help
સહિત	incluso	alongwith
સહિતના	incluso	including
સહિતની	incluso	including
સહી	firma	true
સહીત	incluso	with
સહુ	co	all
સહુથી	más	from all
સહેજ	ligeramente	slight
સાંકળવામાં	encadenado	chaining / attaching
સાંકળી	vinculado	recognize
સાંકેતિક	simbólico	symbolic
સાંજ	noche	evening
સાંજના	por la tarde	evening
સાંજે	por la tarde	in the evening
સાંપ્રત	actual	existing
સાંપ્રદાયિક	sectario	communal
સાંભળતા	escuchando	hearing
સાંભળવા	escuchar	to listen to
સાંભળી	escuchando	heard
સાંભળીને	escuchando	hearing
સાંસ્કૃતિક	cultural	related to civilization
સાઇટ	sitio	site
સાઇટ્સ	sitios	sites
સાઇન	firmar	sin
સાઇબેરીયન	siberiano	siberian
સાઈટ	sitio	site
સાઈન	firmar	sign
સાઉથ	sur	south
સાઉદી	saudita	saudi
સાકર	azúcar	sugar
સાકાર	realización	fulfill
સાક્ષરતા	literatura	literacy (rate)
સાક્ષાત્કાર	apocalipsis	interview
સાક્ષી	testigo	witnesser
સાક્સોન	sajón	saxon
સાગર	mar	sea
સાગરમાં	en el océano	in ocean
સાચવી	salvado	take care
સાચા	cierto	real
સાચી	cierto	right
સાચુ	cierto	true
સાચો	cierto	true
સાત	siete	seven
સાતત્યપૂર્ણ	consistente	realistic
સાતમા	séptimo	seventh
સાતમી	séptimo	7th
સાથ	acompañado	with
સાથી	compañero	partner
સાથીઓ	aliados	partners
સાથીઓએ	aliados	by the accomplices
સાથીઓના	de aliados	allies
સાથીઓની	aliados	of companions
સાથે	con	with
સાથેના	con	with
સાથેની	con	respect to
સાથેનું	con	with
સાથેનો	con	along / company
સાથેસાથે	juntos	togather
સાથોસાથ	simultaneamente	parallelly / simultaneously
સાદગી	sencillez	simple
સાદી	sencillo	simple
સાધક	pros	devotee
સાધન	herramienta	instrument
સાધના	sadhana	habituate
સાધનો	herramientas	instrument
સાધારણ	moderar	simple
સાધી	sencillo	able
સાધુ	monje	rishi
સાધુઓ	monjes	saints
સાધુઓએ	los monjes	by sadhus
સાધુઓની	de los monjes	of sages
સાધુઓને	a los monjes	to the monks
સાધુસંતો	monjes	saints and monks
સાન	san	san
સાપુતારા	saputara	saputara
સાપેક્ષ	relativo	relative
સાપેક્ષતા	relatividad	relativity
સાપેક્ષે	relativo	relative
સાપ્તાહિક	semanal	weekly
સાફ	limpiar	clean
સાબરકાંઠા	sabarkantha	sabarkantha
સાબરમતી	sabarmati	sabarmati
સાબિત	probar	proved
સામગ્રી	contenido	ingrediants
સામગ્રીના	de contenido	substance
સામનો	cara	faced
સામયિકો	revistas	periodicals
સામયિકોમાં	en revistas	in periodicals
સામાજિક	social	social
સામાજીક	social	social
સામાન	equipaje	goods
સામાન્ય	general	ordinary
સામાન્યતઃ	en general	comman
સામાન્યપણે	en general	generally / commonly
સામાયિક	revista	magazine
સામુહિક	colectivamente	geatherly
સામૂહિક	colectivo	collectively
સામે	en contra	against
સામેના	opuesto	in front
સામેની	opuesto	opposite
સામેલ	involucrado	involved
સામોઆ	samoa	samoa
સામ્ય	semejanza	compare
સામ્યતા	semejanza	similarity
સામ્યવાદી	comunista	communist
સામ્રાજ્ય	imperio	kingdom
સામ્રાજ્યના	del imperio	empire
સામ્રાજ્યની	del imperio	empire's
સામ્રાજ્યનું	del imperio	empire's
સામ્રાજ્યને	al imperio	to the empire
સામ્રાજ્યનો	del imperio	empire's
સામ્રાજ્યમાં	en el imperio	in kingdom
સામ્રાજ્યો	imperios	kingdom
સાયંસ	ciencias	science
સાયકલ	bicicleta	cycle
સાયન્સ	ciencias	science
સાર	resumen	conclusion,
સારંગપુર	sarangpur	sarangpur
સારથિ	sarathi	driver of chariot
સારવાર	tratamiento	nursing
સારા	bueno	good
સારાભાઇ	sarabhai	sarabhai
સારી	bueno	good
સારું	bueno	good
સારો	bueno	ample/ plenty
સાર્થક	significativo	fulfilled
સાર્વજનિક	público	public / common / general
સાર્વત્રિક	universal	universal
સાલ	sal	year
સાલમાં	en el año	in year
સાવ	absolutamente	totally
સાવચેત	ten cuidado	be aware
સાસણગીર	sasangir	sasangir
સાહસ	aventuras	adventure
સાહિત્ય	literatura	literature
સાહિત્યકાર	literario	writer
સાહિત્યકારો	gente literaria	literary persons
સાહિત્યના	de la literatura	of literature
સાહિત્યની	de la literatura	liteture
સાહિત્યનું	de la literatura	of literature
સાહિત્યને	literatura	literature
સાહિત્યનો	de la literatura	literature
સાહિત્યમાં	en la literatura	in literature
સાહિત્યિક	literario	literary
સાહેબ	señor	saheb
સિંગલ	soltero	single
સિંગાપુર	singapur	singapur
સિંગાપોર	singapur	singapore
સિંઘ	singh	singh
સિંઘે	singh	by singh
સિંચાઇ	irrigación	irigation
સિંધ	sindh	name
સિંધુ	indo	sindhu [river]
સિંહ	león	lion
સિંહાસન	trono	throne
સિંહોની	de leones	lions
સિકન્દર	alejandro	sikandar
સિક્કા	monedas	coins
સિક્કિમ	sikkim	sikkim
સિક્યુરિટી	seguridad	security
સિગ્નલ	señal	signal
સિગ્નેચર	firma	signature
સિટી	ciudad	city
સિડની	sydney	sydney
સિદ્ધ	logrado	fulfilled
સિદ્ધરાજ	siddharth	siddharaj
સિદ્ધરાજે	siddharaja	by siddhraj
સિદ્ધાંત	principio	principle
સિદ્ધાંતની	de principio	ethic
સિદ્ધાંતને	en principio	rules
સિદ્ધાંતો	principios	principles
સિદ્ધાન્ત	principio	theory
સિદ્ધાર્થ	siddharth	siddharth
સિદ્ધિ	logro	accomplishment
સિનેમા	cine	cinema
સિમ	sim	sim
સિરિયા	siria	country name
સિરિયાઈ	sirio	siriyai
સિરિયાની	sirio	syria
સિલિકોન	silicona	cilicon
સિવાય	excepto	instead
સિવાયના	excepto	except
સિવાયની	excepto	without
સિવિલ	civil	civil
સિસ્ટમ	sistema	system
સિસ્ટમની	del sistema	system's
સિસ્ટમનું	del sistema	system, belonging to the system
સિસ્ટમને	al sistema	to the system
સિસ્ટમમાં	en el sistema	in system
સિસ્ટમ્સ	sistemas	systems
સિસ્ટર	hermana	sister
સિહોર	sihor	sihor
સી	c	see
સીએચ	ch	ch
સીઓ	co	co
સીક્રેટ	secreto	secret
સીટી	connecticut	city
સીડી	escalera	ladder
સીતા	sita	sita
સીતાને	sita	to sita
સીધા	derecho	straight
સીધી	derecho	straight
સીધો	derecho	straight
સીપીયુ	upc	cpu
સીમા	perímetro	border
સીમાઓ	límites	boundaries
સીમાની	frontera	border
સીમિત	limitado	limited
સીરિયા	siria	syria
સીરીઝ	serie	series
સુંદર	hermoso	beautiful
સુંદરતા	belleza	beautyfullness
સુંદરી	sundari	beautiful woman
સુએઝ	suez	suez
સુખ	felicidad	fruition
સુગંધ	fragancia	fregrance
સુગમ	fácil	intelligible
સુચન	sugerencia	instruct
સુચનાઓ	instrucciones	instructions
સુચનાઓને	instrucciones	to the instructions
સુચવે	sugiere	suggests
સુત	sut	sut
સુદ	interesar	sud
સુદાન	sudán	sudan
સુધારણા	mejora	correction
સુધારવા	mejorar	to improve
સુધારા	actualizar	amendment
સુધારી	mejorado	improved
સુધારેલી	mejorado	ammended
સુધારો	actualizar	changes
સુધી	hasta	till
સુધીના	hasta	till
સુધીનાં	hasta	upto, untill
સુધીની	hasta	upto
સુધીનું	hasta	till that
સુધીનો	hasta	upto
સુધીમાં	por	till
સુનામી	tsunami	tsunami
સુનામીના	tsunami	tsunami
સુનામીની	tsunami	tsunami
સુનામીને	tsunami	tsunami
સુનામીનો	tsunami	tsunami's
સુનિશ્ચિત	programado	positive/ absolute
સુન્દર	hermoso	beautiful
સુન્દરમ્	sundaram	sundaram
સુન્ની	sunita	sunni
સુપર	súper	super
સુપ્રસિદ્ધ	legendario	popular
સુપ્રીમ	supremo	supreme
સુભદ્રા	subhadra	subhadra
સુભાષ	subhash	subhash
સુભાષચંદ્ર	subhash chandra	subhashchandra
સુભાષબાબુ	subhash babu	subhashbabu
સુભાષબાબૂ	subhash babu	subhashbabu
સુર	sur	voice
સુરક્ષા	seguridad	security
સુરક્ષિત	seguro	secured
સુરત	surat	surat
સુરતની	de surat	city name
સુરતનો	de surat	surat's
સુરતમાં	en surat	in surat
સુરેન્દ્રનગર	surendranagar	surendra nagar
સુરેશ	suresh	suresh
સુર્ય	el sol	sun
સુલતાન	sultán	king
સુલતાને	al sultán	by sultan
સુલેખન	caligrafía	calligraphy
સુવર્ણ	oro	golden
સુવર્ણચંદ્રક	medalla de oro	gold medal
સુવિધા	conveniencia	convenience
સુવિધાઓ	caracteristicas	facilities
સુવ્યવસ્થિત	aerodinámico	orderly
સુશોભિત	decoración	well-adorned
સુષુપ્ત	latente	dormant
સૂકા	seco	dry
સૂક્ષ્મ	sutil	micro
સૂચન	sugerencia	cant read gujarati word
સૂચના	notificación	notice
સૂચનાઓ	notificaciones	instructions
સૂચવવામાં	sugirió	suggested
સૂચવે	sugiere	indicates
સૂચિ	lista	list/index
સૂચિત	notificado	declared public place by government
સૂચી	lista	index
સૂત્ર	fórmula	formula
સૂર	sur	voice
સૂરએ	sur	sound of [urdu farsi word]
સૂરજ	el sol	sun
સૂરા	sura	line of the poem
સૂર્ય	el sol	the sun
સૂર્યકેન્દ્રી	heliocéntrico	sun central
સૂર્યથી	del sol	from sun
સૂર્યના	del sol	sun
સૂર્યની	del sol	sun's
સૂર્યનું	del sol	sun
સૂર્યને	al sol	to the sun
સૂર્યમંડળ	sistema solar	suryamandata
સૂર્યમંડળના	del sistema solar	universe
સૂર્યમંડળનો	del sistema solar	of solar system
સૂર્યમંડળમાં	en el sistema solar	in the solar system
સૂર્યાસ્ત	puesta de sol	sunset
સૃષ્ટિ	creación	cosmos
સે	segundo	from [hindi word written in gujarati script]
સેંકડો	cientos	many
સેંટ	s t	saint
સેઇન્ટ	s t.	saint
સેકન્ડ	segundo	second
સેક્સ	sexo	sex
સેક્સ્યુઅલ	sexual	sexual
સેટ	conjunto	set
સેટેલાઇટ	satélite	setelite
સેટેલાઈટ	satélite	satellite
સેન	senador	sen
સેના	ejército	army
સેનાના	del ejercito	for the army
સેનાની	combatiente	soldier
સેનાને	al ejercito	force / armour
સેનાપતિ	comandante	commander, general,
સેનેટ	senado	senate
સેનેટર	senador	senator
સેન્ટ	s t.	saint
સેન્ટર	centrar	center
સેન્ટ્રલ	central	central / middle
સેન્સસ	censo	census
સેમી	cm	cm / centimeter
સેમ્યુઅલ	samuel	samuel
સેલ	célula	cell
સેલ્ટિક	céltico	celtic
સેલ્યુલર	celular	cellular
સેલ્સ	ventas	cells
સેવ	salvar	save
સેવક	servidor	servant
સેવકો	servicio	servant
સેવા	servicio	service
સેવાઓ	servicios	services
સેવાઓના	de servicios	services
સેવાના	de servicio	of service
સેવાની	servicio	of service
સેવાનો	de servicio	of services
સૈદ્ધાંતિક	teórico	principally
સૈનિક	soldado	soldier
સૈનિકો	soldados	soldiers
સૈનિકોની	de soldados	of soldier
સૈનિકોને	a los soldados	to the soldiers
સૈન્ય	ejército	military
સૈન્યને	al ejercito	military
સૉફ્ટવેયર	software	software
સૉફ્ટવેર	software	software
સો	cien	hundred
સોંપણી	asignación	cession
સોંપવામાં	asignado	in handing over
સોંપી	asignar	assigned
સોના	oro	golden
સોનાની	de oro	golden
સોનિટ	soneto	sonnet
સોનિયા	sonia	sonia
સોનું	oro	gold
સોનેરી	rubia	golden
સોફ્ટવેર	software	software
સોમનાથ	somnath	somnath temple
સોમનાથના	de somnath	somnath's
સોમનાથને	somnath	to somnath
સોમવાર	lunes	monday
સોરઠ	sorath	sorath (a river)
સોરઠી	sorathi	sorathi
સોર્સ	fuente	source
સોલંકી	solanki	solanki, surname name of gujarati person
સોલાર	solar	solar
સોલોમન	salomón	solomon
સોળ	dieciséis	sixteen
સોવિયત	soviético	soviet
સોવિયેટ	soviético	soviet
સોવિયેત	soviético	soviet
સોવિયેતની	soviético	soviet's
સોવિયેતને	a los soviéticos	to soviet
સોવિયેતે	soviético	soviet
સોશિયલ	social	social
સોસાયટી	sociedad	society
સોસાયટીના	de la sociedad	of the society
સૌ	todas	all
સૌંદર્ય	belleza	beauty
સૌથી	lo mas	forefrunt
સૌને	todo el mundo	all
સૌપ્રથમ	ante todo	at first
સૌફ્ટવેર	software	software,
સૌર	solar	solar
સૌરાષ્ટ્ર	saurashtra	saurashtra
સૌરાષ્ટ્રના	de saurashtra	saurashtra's
સૌરાષ્ટ્રનાં	de saurashtra	of the saurashtra
સૌરાષ્ટ્રની	de saurashtra	saurashtra's
સૌરાષ્ટ્રનું	de saurashtra	saurashtra's
સૌરાષ્ટ્રમાં	en saurashtra	in saurashtra
સ્કંધમાં	en el hombro	in the chapters
સ્કાઈ	cielo	sky
સ્કાય	cielo	sky
સ્કુલ	colegio	school
સ્કૂલ	colegio	school
સ્કૂલમાં	en la escuela	in school
સ્કેટર્ડ	dispersado	scattered
સ્કેનર	escáner	scanner
સ્કેલ	escala	scale
સ્કોટલેન્ડ	escocia	skotland
સ્કોટલેન્ડની	de escocia	scotland's
સ્કોટલેન્ડમાં	en escocia	in scotland
સ્કોટિશ	escocés	scottish
સ્કોટ્ટીશ	escocés	scottish
સ્કોટ્સ	escocés	scots
સ્કોર	puntuación	score
સ્ક્રબર	depurador	scrubber
સ્ક્રિન	pantalla	screen
સ્ક્રીન	pantalla	screen
સ્ટડીઝ	estudios	અભ્યાસક્રમ
સ્ટબ	talón	stub
સ્ટાન્ડર્ડ	estándar	standard / unique
સ્ટાફ	personal	staff
સ્ટાર	estrella	star
સ્ટારડસ્ટ	stardust	stardust
સ્ટીફન	stephen	stephen
સ્ટીલ	acero	steel
સ્ટેટ	estado	state
સ્ટેટના	del estado	state's
સ્ટેટસ	estado	states
સ્ટેટ્સ	estados	status
સ્ટેટ્સના	estados	states
સ્ટેટ્સની	estados	of status
સ્ટેટ્સનું	estados	[united] state's
સ્ટેટ્સનો	estados	of the states
સ્ટેટ્સમાં	en los estados	in states
સ્ટેટ્સે	estados	states
સ્ટેડિયમ	estadio	statdium
સ્ટેડીયમ	estadio	stadium
સ્ટેશન	estación	station
સ્ટેશને	a la estación	at station
સ્ટેશનો	estaciones	stations
સ્ટેશન્સ	estaciones	stations
સ્ટોક	valores	stock,
સ્ટોન	roca	stone
સ્ટોર	tienda	store
સ્ટોરી	historia	story
સ્ટોલન	robado	stolen
સ્ટ્રાઈકર	huelguista	striker
સ્ટ્રીટ	calle	street
સ્તંભ	columna	column
સ્તર	nivel	layer
સ્તરના	nivel	of level
સ્તરની	nivel	of level
સ્તરને	nivel	of the layer, layer's
સ્તરમાં	en el nivel	in layer
સ્તરે	nivel	at the level of
સ્તરો	niveles	levels / stages
સ્તુતિ	alabanza	remembrance
સ્ત્રી	hembra	layer
સ્ત્રીઓ	mujer	ladies
સ્ત્રીઓને	a las mujeres	for ladies
સ્ત્રોત	fuente	independent
સ્ત્રોતો	fuentes	source
સ્થગિત	pospuesto	postponed
સ્થપાયેલ	establecido	established
સ્થપાયેલી	establecido	established
સ્થલ	sitio	place
સ્થળ	sitio	place
સ્થળની	del lugar	place
સ્થળનું	del lugar	from a place, belonging to a place
સ્થળને	al lugar	to thr place
સ્થળાંતર	migración	migration
સ્થળે	en su lugar	at he place, at the site
સ્થળો	lugares	spot / places / location / site
સ્થળોએ	en lugares	places,
સ્થળોની	de lugares	of places
સ્થળોમાં	en lugares	at place
સ્થાન	ubicación	place
સ્થાનક	local	center / station
સ્થાનકો	estaciones	religious spots
સ્થાનને	ubicación	place
સ્થાનિક	local	local
સ્થાનીક	local	topical
સ્થાનીય	local	local
સ્થાને	en su lugar	position
સ્થાનો	lugares	places
સ્થાનોં	lugares	places [hindi word]
સ્થાપક	fundador	founder
સ્થાપત્ય	arquitectura	antique
સ્થાપત્યો	arquitectura	established
સ્થાપન	instalación	establishment
સ્થાપના	establecido	found
સ્થાપવા	para establecer	established
સ્થાપવામાં	establecido	established
સ્થાપિત	instalado	established
સ્થાપી	fundador	established
સ્થાપ્યા	fundado	established
સ્થાયી	en pie	permanent
સ્થિત	situado	located
સ્થિતિ	estado	situation
સ્થિતિને	posición	to the state
સ્થિતિમાં	en posición	in state of
સ્થિતી	estado	position
સ્થિર	fijo	static
સ્થિરતા	estabilidad	static
સ્થીત	situado	located
સ્થૂળ	obeso	static
સ્નાતક	graduado	graduate
સ્નાન	bañera	bathe
સ્પર્ધા	competencia	compitition
સ્પર્ધાત્મક	competitivo	competitive
સ્પર્ધામાં	en competición	in the competition
સ્પર્શ	toque	touch
સ્પષ્ટ	claro	clear
સ્પષ્ટતા	claridad	clear
સ્પષ્ટપણે	claramente	clearly
સ્પામ	correo no deseado	spam
સ્પિન	girar	spin
સ્પીડ	velocidad	speed
સ્પેન	españa	spain
સ્પેનિશ	español	spanish
સ્પેલિંગ	ortografía	spelling
સ્પેશિયલ	especial	special
સ્પેસ	espacio	space
સ્પૈન્ડ્રલ	spindral	spandrel
સ્પોર્ટ્સ	deportes	sports
સ્પ્રે	rociar	spray
સ્ફોટક	explosivo	explosion
સ્મારક	monumento	stone
સ્મારકો	monumentos	monument
સ્મિથ	herrero	smith
સ્મૃતિ	memoria	memory
સ્રોત	fuente	hymn
સ્રોતઃ	fuente:	source
સ્રોતો	recursos	sources
સ્લોવાકિયા	eslovaquia	slovakia
સ્વ	tarde	self
સ્વતંત્ર	independiente	independent
સ્વતંત્રતા	libertad	independency
સ્વદેશી	indígena	something of one's own country
સ્વપ્ન	sueño	dream
સ્વભાવ	temperamento	nature
સ્વયં	yo	self
સ્વયંવરમાં	en swayamvara	svyanvar
સ્વયંસેવક	voluntario	self servant
સ્વયંસેવકો	voluntarios	volunteers
સ્વર	tono	voice
સ્વરાજ	swaraj	self government
સ્વરુપ	formar	form of
સ્વરુપમાં	en la forma	character / nature / complexion
સ્વરૂપ	formar	concept
સ્વરૂપની	de forma	type
સ્વરૂપને	formar	character/nature/structure/complexion
સ્વરૂપમાં	en forma	in form of
સ્વરૂપે	en forma	in form of
સ્વરૂપો	formas	forms
સ્વરો	vocales	pronunciations
સ્વર્ગ	cielo	heaven
સ્વર્ગની	del cielo	of heaven
સ્વર્ગારોહણ	ascensión	ride to heaven, forwarding to heaven
સ્વસ્થ	saludable	healthy
સ્વાગત	bienvenidos	welcome
સ્વાતંત્ર્ય	libertad	freedom
સ્વાતંત્ર્યના	de libertad	(of) freedom
સ્વાતંત્ર્યની	de libertad	of independence
સ્વાધ્યાય	ejercicio	exercise
સ્વામિ	swami	swami
સ્વામિનારાયણ	swaminarayan	swaminarayana
સ્વામિનારાયણે	swaminarayan	by swaminarayan
સ્વામી	swami	swami
સ્વામીએ	swami	swami
સ્વામીના	del señor	of the swami, swami's
સ્વામીનારાયણ	swaminarayan	swaminarayan
સ્વામીની	swami	of master
સ્વામીને	al señor	to swami
સ્વાયત્ત	autónomo	independent
સ્વાસ્થ્ય	salud	health
સ્વિકાર	aceptar	acceptance
સ્વિચિંગ	traspuesta	switching
સ્વિત્ઝરલેંડ	suiza	switzerland
સ્વિસ	suizo	swiss
સ્વીકાર	aceptación	acceptance
સ્વીકારવા	aceptar	to accept
સ્વીકારવામાં	aceptado	in accepting
સ્વીકારી	aceptar	accepting
સ્વીકારે	acepta	accepts
સ્વીકાર્યું	aceptado	acceptable
સ્વીકાર્યો	aceptado	accepted
સ્વીકૃત	aceptado	accepted
સ્વીકૃતિ	aceptación	acceptance
સ્વીચ	cambiar	switch
સ્વીડન	suecia	sweden
સ્‍થાન	ubicación	place
હંગેરી	hungría	hungary
હંમેશા	siempre	always
હંમેશાં	siempre	always
હંસ	hans	swan
હક	correcto	right
હકારાત્મક	positivo	positive
હકાલપટ્ટી	expulsión	removed
હકીકત	hecho	truth
હકીકતમાં	de hecho	in fact
હક્કો	derechos	rights
હજાર	mil	thousand
હજારો	miles	thousands
હજી	todavía	still
હજુ	todavía	till
હજૂ	todavía	till
હજ્જારો	miles	thousands
હટાવી	eliminado	take place
હતા	fueron	were there
હતાં	fueron	were
હતાઆ	fueron asesinados	was
હતી	estaba	was there
હતુ	estaba	was there
હતું	estaba	was
હતુંઆ	estaba	was this
હતો	estaba	was
હતોમાં	estaba en	was in
હત્યા	asesinato	assassination
હત્યાનો	de asesinato	of murder
હથિયાર	arma	weapon
હથિયારો	armas	weapons
હદ	límite	limit
હદમાં	en la medida	in border
હદે	en la medida	limit
હનુમાન	hanuman	hanuman
હનુમાનજી	hanumanji	hanumanji
હપતે	en cuotas	installments
હમ	tararear	we
હમણાં	ahora mismo	now
હમીરજી	hamirji	hamiraji
હમીરજીએ	hamirji	hamir
હમીરજીને	hamirji	hamiraji
હમેંશા	siempre	always
હમેશા	siempre	always
હયાત	sobreviviente	live/in real
હર	su	her [english word]
હરણ	ciervo	deer
હરણનું	de ciervos	deer's
હરદ્વાર	hardwar	hardwar
હરાવી	golpear	by defeating
હરાવીને	golpeando	by defeating
હરાવ્યા	derrotado	beated
હરાવ્યો	golpear	defeated
હરિ	hari	hari
હરિએ	hari	lord
હરિજન	harijan	harijana
હરિયાણા	hariana	hariyana
હરીપુરા	haripura	haripura village name
હરીફ	rival	compititors
હરે	liebre	hare
હરોળ	fila	row
હલ	cáscara	solce
હલકી	ligero	light
હલચલ	movimiento	movement
હળવા	encendedor	light weight
હવા	aire	air
હવાઇ	hawai	aeronautical
હવાઈ	hawai	hawaii
હવાઈના	hawai	hawaii's
હવાના	la habana	of air
હવાની	del aire	air
હવાનું	del aire	of air
હવામાં	en el aire	in the air
હવામાન	el clima	atmosphere
હવે	ahora	now, now onwards
હશે	estarán	may be
હસ્તક	ocupado	under control
હસ્તકના	poseído	in hands of
હસ્તક્ષેપ	intervención	interruption
હસ્તગત	adquirido	register
હસ્તાક્ષર	firma	handwriting
હસ્તિનાપુર	hastinapur	hastinapur name of the city, name of the state in mahabharta
હસ્તિનાપુરના	de hastinapur	hastinapur
હસ્તે	manualmente	by hands of
હા	si	yes
હાંકી	expulsado	to drive out
હાંસલ	lograr	obtained
હાઇ	alto	high
હાઇડ્રોજન	hidrógeno	hydrogen
હાઇપરટેક્સ્ટ	hipertexto	hipertext
હાઇવે	autopista	highway
હાઇસ્કુલ	escuela secundaria	highschool
હાઈ	alto	default
