$ tỉ	十亿美元	$ billion
minoa	米诺阿	minoa; the minoan civilization
miraflores	米拉弗洛雷斯	miraflores
mirage	海市rage楼	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	失配	misfits
mississippi	密西西比州	mississippi
missouri	密苏里州	(proper noun) the state of missouri
mitchel	米切尔	mitchel
mitsubishi	三菱	mitsubishi
miên	催眠	mien
miêu	猫	"(term should be ""miêu tả"") to describe (v.)"
miến	粉条	burma
miếng	件	a piece (n.)
miếu	庙宇	temple
miền	领域	area
miễn	免费的	to exempt (v.)
miện	冠	crown
miệng	嘴巴	mouth
mm	毫米	millimeter
mobile	流动的	mobile
mode	模式	mode
modul	模组	module
modula	模数	(proper noun) modula, as in modula-2
mohammad	穆罕默德	mohammad
mohammed	穆罕默德	mohammed
moi	新的	winkle
molecular	分子的	molecular
molotov	莫洛托夫	molotov
molypden	钼	the element molybdenum (n.)
mongolia	蒙古国	mongolia
monique	莫妮克	(proper name) monique, a french first name
mono	单声道	mono
monroe	门罗	monroe
mont	蒙特	(proper noun) mont
montaigne	蒙太尼	montaigne, as in michel de montaigne
montana	蒙大拿州	(proper noun) montana, as in the state
montenegro	黑山共和国	montenegro
montmartre	蒙马特	(proper noun) montmartre
montparnasse	蒙帕纳斯	montparnasse
montreal	蒙特利尔	(proper noun) montreal, quebec
moo	哞	(proper noun) moo, as in cha moo won
moong	g	moong
mora	莫拉	mora
moravia	摩拉维亚	moravia
morgan	摩根	(proper noun) morgan
mori	森	(proper noun) mori
moriarty	莫里亚蒂	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	莫雷	morley
morocco	摩洛哥	morocco
morris	莫里斯	morris
morrison	莫里森	(proper noun) morrison
morse	莫尔斯	(proper noun) morse, as in morse code
moscow	莫斯科	moscow
mosin	莫辛	mosin
moskva	莫斯科	moscow
motown	莫敦	motown
mourinho	穆里尼奥	mourinho
movie	电影	movie
mozambique	莫桑比克	(proper noun) mozambique
mozart	莫扎特	(proper noun) mozart, as in the composer
mp	mp	mp
ms	毫秒	metre per second
msdos	msdos	ms-dos
mtv	音乐电视	mtv
mu	亩	pubis
mua	买	buy
much	很多	much
muhammad	穆罕默德	(proper noun) muhammad, as in muhammad ali
mumbai	孟买	mumbai
mun	乌木	a vietnamese name
munich	慕尼黑	(proper noun) munich
murdoch	默多克	murdoch
muromachi	室町	(proper noun) muromachi
murphy	墨菲	murphy
murray	墨累	(proper noun) murray, as in dr. conrad murray
mustang	野马	mustang, as in the f-51 mustang
muta	突变	a name
muôn	想要	a large number; thousands (adj.)
muối	盐	salt
muốn	想	want
muống	汤匙	"(term should be ""rau muống"") water spinach (n.)"
muồi	晚了	ripe
muỗi	蚊子	mosquito
muỗng	汤匙	spoon
muội	姐姐	confusion
muộn	晚了	late (adv.)
myanma	缅甸	the country of myanmar
myanmar	缅甸	(proper noun) myanmar
myspace	myspace	(proper noun) myspace
mà	那	also
mài	打磨	tomorrow
màn	窗帘	curtain (n.)
mành	百叶窗	a bamboo screen (n.)
mào	波峰	a comb or crest, as in the body part of a bird
màu	颜色	color
mày	你	sew
má	脸颊	cheek
mác	标签	a name (marx)
mách	秘诀	tell
máclênin	马赛列宁	marxist-leninist
mái	屋顶	"entire term should be ""thoai mai""; means ""comfortable"""
mát	酷	cool
máu	鲜血	blood
máy	机器	a machine (n.)
mâm	托盘	tray
mân	念珠	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	矛盾的	contradiction
mây	云	cloud
mã	代号	"(term should be ""la mã"") roman (adj.)"
mãi	永远	forever (adv.)
mãimại	代号	commerce
mãn	自满的	satisfy
mãnh	强壮的	intense
mão	冠	cat
mè	芝麻	sesame
mèo	猫	cat (n.)
mé	梅	a border
méo	扭曲的	alter
mép	边缘	edge
mét	仪表	meter
mênh	广阔的	vast
mêtan	甲烷	methane
mì	面条	wheat
mình	你自己	me
mía	甘蔗	sugar cane (n.)
mò	摸索	to grope (v.)
mòn	破旧	trail
móc	勾子	"(term should be ""máy móc"") machinery (n.)"
món	食物	dish
mô	组织	mo
môi	嘴唇	lip
môn	科目	anus
mông	臀部	mongolia
mônôxít	一氧化碳	monoxide
môt	一个	"(term should be ""một"") one (n.)"
môtô	摩托车	motorcycle
mù	盲目的	mu
mùa	季节	season
mùi	气味	smell
múa	跳舞	dance
mút	吸吮	to suck (v.)
münchen	慕尼黑	(proper noun) munchen
măng	竹笋	bamboo shoot (n.)
mĩ	美国	america
mũ	瓶盖	cap
mũi	鼻子	nose
mơ	梦想	vague
mơn	爪子	caress
mưa	下雨	rain
mưu	狡猾	"(should be ""tham mưu"") advisors"
mươi	五十	tens
mương	沟渠	ditch
mướn	聘请	hire
mướt	顺利	smooth (adj.)
mường	孟	(proper noun) mường, a minority people in vietnam (n.)
mượn	借来的	borrow
mượt	顺利	glossy (adj.)
mạc	荒漠	"(should be ""mộc mạc"") simple or natural"
mạch	电路	vessel
mại	贸易	commerce
mạn	侧面	romantic
mạnh	强壮的	strong
mạo	文章	"(should be ""mạo hiểm"") to brave danger"
mạt	螨虫	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	坟墓	tomb or grave (n.)
mải	忙	absorbedly
mảng	数组	genre
mảnh	件	piece
mất	迷路了	lose
mấu	标签	key
mấy	几个	any
mầm	细菌	kindergarten
mầu	颜色	color
mẩu	件	piece
mận	李子	plum
mập	胖子	fat
mật	亲爱的	intimate
mậu	贸易	mau
mắc	贵的	get
mắm	鱼露	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	幸运的	"(term should be ""may mắn"") fortunate (adj.)"
mắng	责骂	scold
mắt	眼睛	eye
mặc	穿	wear
mặn	咸的	salt
mặt	面子	face
mẹ	妈	mother (n.)
mẹo	秘诀	trick
mẻ	批处理	cool
mẽ	强壮的	strong
mến	亲爱的	to adore or like greatly (v.)
mề	izz	locket
mềm	软的	soft
mệnh	平价	revolution
mệt	累了	tired
mỉ	一丝不苟	meticulous
mỉa	讽刺的	ironic
mỉm	微笑	smile
mịch	狗屎	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	顺利	smooth
mịt	嗅	dim
mọc	成长	to grow (v.)
mọi	每一个	every
mọn	小资	lowly
mỏ	地雷	mine
mỏi	累了	tired (adj.)
mỏng	薄	thin
mốc	发霉的	border
mối	白蚁	relationship
mốt	时尚	fashion or style (n.)
mồ	严重的	"(term should be ""mồ hôi"") sweat (n.)"
mồi	诱饵	bait (n.)
mổ	手术	to dissect or perform surgery (v.)
mỗi	每个	every
mộ	严重的	admire
mộc	木工	simple
mộng	梦想	dream
một	一个	one
mới	新的	new (adj.)
mờ	模糊的	dim
mời	被邀请	invite
mở	开	open
mỡ	胖子	fat or grease (n.)
mục	该项目	purpose
mụn	痤疮	pimple
mức	等级	level
mứt	卡纸	preserve
mừng	很高兴	to be happy
mửa	呕吐	to vomit (v.)
mực	墨水	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	面条	noodles (n.)
mỹ	很好	america
mỹcông	美国	my private
na	呐	"(term should be ""na uy"") the country of norway"
naadam	那达姆	naadam
nacional	国民	nacional
nagant	g	nagant
nagar	纳加尔	nagar, as in champa po nagar
nagasaki	长崎	(proper noun) the city of nagasaki, japan
nagoya	名古屋	a name
nagumo	mo	nagumo
nai	鹿	a deer
nairobi	内罗毕	nairobi, a city in kenya (n.)
nakajima	中岛	a japanese name
nalbandian	纳尔班迪安	a name
nam	男	male
nambắc	北	nambac
namibia	纳米比亚	namibia
namnam	南南	male-male
namno	南野	nammo
nancy	南希	nancy, as in nancy pelosi
nang	胶囊	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	fang牙	fang
nano	纳米	nano
naomi	直美	naomi, as in model naomi campbell
napoleon	拿破仑	(proper noun) napoleon
napoli	那不勒斯	(proper noun) napoli
napoléon	拿破仑	napoleon
nara	奈良	nara
nasa	美国航空航天局	(proper noun) nasa
nat	t	nat
nathan	内森	nathan
natri	钠盐	sodium
nauru	瑙鲁	a name
nava	导航	nava
navarre	纳瓦拉	navarre
nay	现在	this (adj.)
needham	李约瑟	needham
nelson	纳尔逊	(proper noun) nelson, as in nelson mandela
neo	锚点	"(term should be ""mỏ neo"") an anchor (n.)"
neon	霓虹灯	neon
nepal	尼泊尔	nepal
nepomuk	内波穆克	a name
nessie	内西	(noun) nessie, the nickname of the loch ness monster
net	网	net
netbook	上网本	netbook
netscape	网景	netscape
networks	网路	networks
neumann	纽曼	(proper noun) neumann
neutrino	中微子	neutrino
nevada	内华达州	nevada
neverland	梦幻岛	neverland
newcastle	纽卡斯尔	newcastle
newspaper	报纸	newspaper
newton	牛顿	newton
newtons	牛顿	(proper noun) newton's
next	下一个	next
nga	俄罗斯	russia
ngai	王位	crown
ngang	水平的	horizontal
ngao	蛤	clam (n.)
ngay	现在	even
nghe	听到	hear
nghinh	恩欣	welcome
nghiêm	严厉地	serious
nghiêng	倾斜的	inclined
nghiêu	恩吉厄	nghiêu, a vietnamese name
nghiền	压碎	crush
nghiễm	可惜	serious
nghiệm	经验	experiment
nghiện	沉迷	addiction
nghiệp	业力	karma/ sự nghiệp=career
nghiệt	冷酷	adverse
nghành	行业	faculty
nghèo	可怜的	poor
nghé	he	to glance out of the corner of one's eye (v.)
nghê	he	nghe khuong
nghênh	欢迎你	support
nghìn	一千	thousand
nghĩ	思想	think
nghĩa	意思	meaning
nghẽn	拥挤	jam
nghếch	大声	stupid
nghề	职业	career
nghệquận	艺术	art district
nghỉ	打破	relaxation
nghị	建议	think
ngo	精致的	ngo
ngoan	好孩子	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	好吃	delicious
ngoài	分开	outside of
ngoại	外来的	external
ngoạn	惊人的	spectacular
ngoặc	括号	bracket
ngoặt	转折点	landmark
ngu	愚蠢的	stupid
ngung	恩贡	(proper noun) a vietnamese first name
nguyen	阮	nguyen
nguyên	原始的	reason
nguyền	诅咒	curse
nguyện	发誓	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	月亮	moon
nguôi	镇定	fade away
nguồn	来源	source
nguời	人	people
nguỵ	傻瓜	camouflage
ngà	象牙色	russian
ngàn	一千	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	行业	sector
ngào	甜蜜的	sweet
ngày	日	day
ngách	利基市场	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	愚蠢的	chinese ethnic group living in the vietnamese highlands near the china border
ngán	无聊	to be tired of
ngáng	ngáng	stop
ngát	晕倒	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	银行	money
ngây	空白	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	义井	ngai
ngò	香菜	coriander
ngó	看	to look (v.)
ngói	瓦	tile or shingle
ngón	手指	a finger (n.)
ngót	收缩	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	语言	manifesto
ngông	鹅	eccentric
ngõ	车道	lane
ngùi	闻到	sad
ngút	恩古特	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	隔间	prevent
ngũ	五	rank
ngơ	被忽略	ignored (adj.)
ngơi	休息	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	渔民	fishermen
ngưng	停止	stop
ngưu	牛	buffalo
ngươi	你	an ancient form of address equivalent to thou or thee (n.)
người	人	people
ngưỡng	门槛	religious
ngược	向后	opposite
ngạc	惊讶的	surprise
ngạch	等级	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	银行	bank
ngạnh	倒钩	self-willed
ngạo	傲慢自大	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	窒息	stuffy
ngấm	注入	draw
ngất	晕倒	unconscious
ngầm	地下的	underground
ngần	犹豫	hesitate
ngẩn	傻眼了	froze
ngẫm	思考	think
ngẫu	随机的	ngẫu nhiên= random
ngậm	锭剂	keep
ngập	被淹	flood
ngắm	看	to contemplate or look admiringly at something (v.)
ngắn	短的	short
ngặt	紧	strict
ngọ	中午	horse
ngọc	珍珠色	pearl
ngọn	上衣	top
ngọt	甜蜜的	sweet (adj.)
ngồi	坐着	sit
ngộ	启蒙运动	ngo
ngột	突然	sudden
ngớ	傻的	silly
ngời	人	bright
ngỡ	思想	surprised
ngợi	赞美	praise
ngợm	顽皮的	naughty
ngục	地牢	dungeon
ngụm	s	sip
ngụy	木偶	puppet
ngủ	睡觉	sleep
ngủi	短的	"(should be ""ngắn ngủi"") short-lived"
ngứa	发痒	itchy
ngừ	金枪鱼	tuna
ngừa	防止	prevent
ngừng	停止	to cease (v.)
ngửa	面朝上	supine
ngửi	闻到	to smell
ngữ	演说	term
ngự	居住	defend
ngựa	马匹	horse
ngực	胸部	chest
nha	牙医	dental
nhakẻ	小子	nha-ke
nham	熔岩	"(actual term is ""dung nham"") lava"
nhan	han	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	香	incense
nhanh	快	fast
nhat	hat	nhat
nhen	重新点燃	rekindle
nhi	小孩儿	junior
nhiên	课程	tuy nhiên= however
nhiêu	很多	how many
nhiều	很多	numerous
nhiễm	被感染	infect
nhiễu	杂音	noise
nhiệm	职责	task
nhiệt	热度	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	喜欢	demand
nhuận	飞跃	leap year
nhuệ	hu	elite
nhuộm	染过的	dye
nhàn	闲置	leisure
nhàng	轻轻地	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	揉	to fall headlong
nhác	松弛	coward
nhái	克隆	illegal copy
nhánh	分行	branch
nháp	草稿	draft
nháy	眨眼	to flash or blink (v.)
nhâm	浸	leap
nhã	有品位	"(term should be ""thanh nhã"") elegant"
nhãn	标签	"(term should be ""gán nhãn"") to affix a label"
nhét	塞	put
nhì	第二	second (adj.)
nhìn	看	to look (v.)
nhí	不休	children
nhím	刺猬	porcupine
nhòm	看	to peep (v.)
nhóc	小子	brat
nhóm	组	group (n.)
nhô	突出的	emerge
nhôm	铝制	aluminum (n.)
nhúng	嵌入式的	embed
nhút	害羞的	shy
nhăn	皱纹的	wrinkle
nhĩ	心房的	turkey
nhũ	乳状液	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	腐败	bribery
nhơn	相乘	nhon
như	如	like
nhưng	但是	but
nhương	唾液	(proper noun) vietnamese first name
nhường	产量	yield
nhưỡng	油腻的	soil
nhược	弱点	weak
nhượng	优惠	concession
nhạ	ạ	nha
nhạc	乐曲	music
nhạn	吞下	bird
nhạo	嘲笑	ridicule
nhạt	苍白的	light
nhạy	敏感的	sensitive
nhảy	跳舞	jump
nhấc	升降机	lift
nhấm	饮	rodent
nhấn	紧迫	to press (v.)
nhất	最	most
nhầm	错的	misunderstand
nhầy	黏糊糊的	glutinous
nhẫn	戒指	patient
nhậm	盖章	inaugurate
nhập	进入	penetrate
nhậu	喝酒	drink
nhậy	敏感的	sensitive
nhắc	提示	to remind (v.)
nhắm	瞄准	aim
nhắn	讯息	message
nhằm	瞄准	for the purpose of (adv.)
nhẵn	顺利	smooth
nhặt	拿起	pickup
nhẹ	轻的	light
nhẹn	敏捷的	nhanh nhẹn= fast/nimble
nhị	雄蕊	sensitive
nhịn	弃权	fasting
nhọ	涂抹	smear
nhọn	尖的	sharp (adj.)
nhỏ	小	small
nhỏ|cây	小|树	small|tree
nhỏ|một	小|一	small | one
nhỏ|phải|	小|对|	small|right
nhỏ|phải|px|	小|右| px |	small | have | px |
nhỏ|phải|px|bức	小|右| px |图片	grape / fade / px / buc
nhỏ|phải|px|cây	小|右| px |树	px spicy grape fade
nhỏ|phải|px|khu	小|右| px |区域	small|right|px|area
nhỏ|phải|px|michael	小|右| px |迈克尔	small|right|px|michael
nhỏ|phải|px|máy	小|右| px |机器	small | right|px|machine
nhỏ|phải|px|một	小|右| px |个	small|right|px|one
nhỏ|phải|px|quân	小|右| px |力	small|right|px|army
nhỏ|px|	小| px |	small
nhỏ|px|các	小| px |的	small
nhỏ|px|phải|kiến	小| px |对|蚂蚁	small | px | right | patience
nhỏ|quân	小|力	small|army
nhỏ|trái|px|máy	小|左| px |机器	small|left|px|plane
nhỏ|tượng	小雕像	small|statue
nhốt	锁起来	confine
nhồi	塞满	cram
nhổ	吐	uproot
nhộn	搞笑	busy
nhớ	要记住	remember
nhớt	粘性的	viscid
nhờ	谢谢你	by
nhờn	油腻的	multiplication
nhở	提醒	remind
nhụ	捏	nhu
nhục	丢脸的	shame
nhủ	提醒	needs
nhức	疼痛	pain
nhứt	首先	first (n.)
nhừ	喜欢	tender
những	这些	the
nhựa	塑胶的	plastic
nhựt	努特	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	尼亚	a flat basket (n.)
nicaea	尼西亚	nicaea
nicaragua	尼加拉瓜	(proper noun) nicaragua
niccolò	尼科洛	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	尼古拉斯	(proper noun) nicolas, as in nicolas sarkozy
niels	尼尔斯	(proper noun) niels
nigeria	尼日利亚	nigeria
nikel	尼克尔	nickel
niken	镍	nickel
nikita	尼基塔	(proper noun) nikita, a first name
nikko	日光	(proper noun) nikko
nikolai	尼古拉	nikolai
nikolayevich	尼古拉耶维奇	nikolayevich
nil	无	nile
nile	尼罗河	(proper noun) the river nile
nimitz	尼米兹	(proper noun) nimitz, as in the ship uss nimitz
nin	宁	nin
ninh	安全性	ninh, as in bắc ninh
nintendo	任天堂	(proper noun) nintendo, the game company
nippon	日本	nippon
nitơ	氮	nitrogen (n.)
nixon	尼克松	(proper noun) nixon, as in former president richard nixon
niên	年份	youth
niết	尼特	nirvana
niềm	享乐	trust
niệm	正念	concept
niệu	利尿剂	urinary
nj	新泽西州	nj
nlf	nlf	nlf
nm	纳米	nano-meters
noah	诺亚	(proper noun) noah
nobel	诺贝尔奖	nobel
nobita	大雄	nobita
noel	诺埃尔	(proper noun) noel
noi	说	imitate
nokia	诺基亚	(proper noun) nokia, as in the nokia corporation
nol	诺尔	nol
nom	标称	look after
non	年轻的	mountain
nonpenetrative	非穿透性	nonpenetrative
norfolk	诺福克	norfolk
norge	挪威	norge
norma	规范	(proper noun) norma, a female first name
norman	诺曼	norman
normandie	诺曼底	normandile
northrop	诺斯罗普	northrop, as in the northrop f-5 freedom fighter
norton	诺顿	norton
norway	挪威	norway
nou	努	nou
novak	新星	novak
now	现在	now
nowc	现在	nowc
noãn	胚珠	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	努比亚	nubia
number	数	number
nupedia	ped	a name
nusa	努沙	nusa
nuôi	喂	feed
nuối	吞下	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	吞下	to swallow (v.)
nuớc	水	water
nxb	nxb	publisher
nynorsk	尼诺斯克	nynorsk
nà	à	na
nài	坚持	pleading
nàn	抱怨	poor
nành	黄豆	soy
nào	来吧	would
này	这个	this
ná	纳	a crossbow (n.)
nách	腋窝	underarm (n.)
náo	骚动的	riot
nát	压碎	ruin
náu	隐藏	hide
nâng	起重	raise
nâu	棕褐色	brown
nã	ã	to track down (v.)
não	脑子	brain
né	避开	dodge
ném	扔	to throw (v.)
nén	压缩的	compress
nét	中风	feature
nê	几内亚	ne
nên	应该	should or ought to
nêu	陈述	mention
nòi	种族	race
nòng	桶装的	barrel
nói	说过	to say or speak (v.)
nón	帽子	cone
nóng	热的	hot
nô	奴隶	slave
nôbita	bit田	nobita
nôi	婴儿床	cradle
nôm	ô	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	呕吐	vomit
nông	浅的	farmer
nõn	剥皮	peeled
nùng	嫩	nung
núm	旋钮	nipple
núp	遮盖	hide
nút	纽扣	button
năm	年份	year
năn	pent悔	"(term should be ""ăn năn"") remorse (n.)"
năng	威力	"(term should be ""khả năng"") ability (n.)"
nơi	地方	a place
nơtrino	中野	neutrino
nước	水	country
nước 	水	water
nướng	烤的	grill
nǎm	nǎm	year
nạ	面膜	mask
nạc	瘦	lean (adj.)
nại	抱怨	complain
nạn	苦恼	a disaster (n.)
nạo	刮宫	to scrape (v.)
nạp	已加载	tribute
nản	气	depressed
nảy	弹跳	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	打ic	a hiccup (n.)
nấp	隐藏	hide
nấu	做饭	cook
nấy	这个	this
nần	轻推	debt
nầy	这个	this
nẩy	弹跳	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	太阳	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	南	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	热的	busy
nắm	掌握	to grasp or hold (v.)
nắng	阳光明媚	sunlight
nắp	盖	a lid or cover (n.)
nằm	谎言	to lie (v.)
nẵng	ang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	匿名地	heavy
nặn	挤压	mould
nặng	沉重的	heavy
nẻo	另一个	turn
nếm	品尝	taste
nến	蜡烛	candle
nếp	粘性的	sticky rice (n.)
nếu	如果	if (adv.)
nề	石工	severe
nể	尊敬	respect
nện	猛击	ram
nỉ	感到	beg
nịnh	奉承	flatter
nọ	另一个	the other
nọc	毒液	tadpole
nỏ	长弓	a crossbow (n.)
nối	已连接	connection
nốt	注意	to finish off (v.)
nồi	锅	pot
nồm	颈背	humid (adj.)
nồng	专心	heavy
nổ	爆炸	explode
nổi	漂浮的	nổi tiếng= famous
nỗ	企图	affort
nỗi	那	state
nộ	愤怒	anger
nội	内部的	on the paternal side (adj.)
nộn	馅	non
nộp	提起	submit
nới	放松	ease
nở	盛开	bloom
nỡ	心地	do you have a heart to
nợ	债务	debt
nụy	雌蕊	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	软木塞	a kind of bamboo (n.)
nứt	破解	to crack
nửa	一半	haft
nữa	更多	moreover
oahu	瓦胡岛	(proper noun) oahu
oai	恐惧	heroic
oakland	奥克兰	oakland
oan	不公正	injustice
oanh	oanh	(with word liet) glorious
obama	奥巴马	obama
oblast	州	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	十月	(proper noun) october
oda	小田	oda
oder	奥德尔	oder
odyssey	奥德赛	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	军官	officer
officers	军官	officers
ohkawa	大川	ohkawa
okhotsk	鄂霍次克	okhotsk
oliver	奥利弗	oliver
olivier	奥利维尔	olivier
olympus	奥林巴斯	olympus
om	om	to simmer
omar	奥马尔	a name
ong	蜜蜂	bee
ontario	安大略省	ontario
oort	麦汁	oort
oprah	奥普拉	(proper noun) oprah, as in oprah winfrey
organ	器官	organ
oricon	oricon	oricon
origin	起源	origin
orion	猎户座	(proper noun) orion, the hunter
orleans	奥尔良	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	奥顿	orton
os	操作系统	os
osaka	大阪	(proper noun) osaka, a city in japan
osama	大ama	(proper noun) osama, as in osama bin laden
osamu	奥萨姆	(proper noun) osamu, a japanese first name
oscar	奥斯卡	oscar
osiris	奥西里斯	(proper noun) osiris, as in the egyptian god
oskar	奥斯卡	a name
oslo	奥斯陆	oslo
osment	os	osment
ospf	ospf	ospf
ossetia	奥塞梯	(proper noun) ossetia
oswald	奥斯瓦尔德	oswald
other	其他	other
otto	奥托	(proper noun) otto, as in otto von bismarck
ottoman	脚凳	(proper noun) ottoman, as in the ottoman empire
outstanding	杰出的	xuat sac
owen	欧文	(proper noun) owen, as in michael owen
oxford	牛津	oxford
oxy	氧气	oxygen
ozawa	小泽	(proper noun) ozawa, as in maria ozawa
oán	怨恨	"(term should be ""oán than"") to complain or whine"
oát	瓦特	a watt (n.)
oản	à	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	佩吉特	(proper noun) paget
pailin	拜林	pailin
pakistan	巴基斯坦	(proper noun) the country of pakistan
palais	宫	palais, as in grand palais
palawan	巴拉望	palawan
palenque	巴伦克	(proper noun) palenque
palestine	巴勒斯坦	a name
palgrave	帕尔格雷夫	palgrave
pali	巴利语	a name
pamir	帕米尔	pamir
pan	锅	pan, as in peter pan
panama	巴拿马	panama
panamax	巴拿马型	(proper noun) panamax
panduranga	潘杜兰加	(proper noun) panduranga
panthera	豹	(proper noun) panthera, a genus of felines
panthéon	万神殿	a name
paolo	保罗	paolo
paperback	平装本	paperback
papua	巴布亚	papua
paraguay	巴拉圭	(proper noun) paraguay
pari	帕里	pari
park	公园	park
parton	帕顿	parton
patel	tel	(proper noun) patel
patrick	帕特里克	patrick
patriot	爱国者	patriot
paul	保罗	paul
paula	保拉	paula
paulo	保罗	(proper noun) paulo
pavia	帕维亚	pavia
pbs	铅	pbs
pda	pda	pda
pdf	pdf格式	pdf
pedro	佩德罗	pedro
peers	同行	peers
pele	贝利	(proper noun) pele, as in the soccer player
penang	槟城	penang
penh	h	(proper noun) penh, as in phnom penh
pennsylvania	宾夕法尼亚州	pennsylvania
penny	一分钱	(proper noun) penny, an english first name
pereira	佩雷拉	pereira
perl	佩尔	(proper noun) perl
pero	佩罗	pero
perry	佩里	(proper noun) perry, as in elizabeth perry
persephone	波斯语电话	presephone
pershing	潘兴	pershing
persian	波斯语	persian
peru	秘鲁	peru, as in the south american country
peters	彼得	peter's, possessive of peter
petersburg	彼得斯堡	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	đ	associate professor
pha	混合的	to mix
phaethon	费森	phaethon
pham	范	pham
phanh	煞车	expose
phao	飘浮	float
phaolô	保罗	st. paul, the apostle
pharaoh	法老王	pharaoh
pharaon	法老	pharaoh
phay	铣削	mill
phe	派系	faction
phen	苯酚	time
phil	菲尔	(proper noun) phil, a first name
philip	菲利普	philip
philippe	菲利普	philippe
philippines	菲律宾人	(proper noun) philippines
phillip	菲利普	(proper noun) phillip
phillips	菲利普斯	philips
philosophiae	哲学家	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	电影	phim
phin	过滤器	coffee filter
phineas	披风	(proper noun) phineas
phiên	会议	trial
phiêu	冒险	adventurous
phiếm	八卦	gossip
phiến	刀刃	"(should be ""nha phiến"") opium"
phiện	鸦片	opium
phiệt	菲特	militarism
phnom	金边	phnom
phnôm	幽灵	phnôm pênh= phnom penh(cambodia's capital)
pho	河粉	part of a person's name, rat-pho, or ratford
phoenix	凤凰城	(proper noun) phoenix
phong	房间	movement
php	的php	php
phrygian	phr	phrygian
phu	富	"(term should be ""phu nhân"") wife (n.)"
phui	揭露的	expose
phun	喷	to spray or spit (v.)
phà	轮渡	ferry
phàm	凡人	superhuman
phàn	抱怨	complain
phá	破	destroy
phác	素描	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	拍子	manner (n.)
phái	宗派	a party
phán	评判	judge
pháo	大炮	artillery
pháp	法国	method
phát	广播的	develop
phèn	明矾	alum
phèo	è	organs
phép	允许的	permit
phê	咖啡	"(term should be ""phê bình"") to criticize (v.)"
phêrô	彼得	peter
phì	肥大	non-
phình	隆起	bulge
phí	收费	non-
phía	侧面	side
phích	热水瓶	a flask (n.)
phím	关键	key
phò	ò	"(term should be ""phò mã"") a prince consort"
phòng	房间	office
phó	副手	second
phóng	记者	to launch (v.)
phô	城市名	display
phôi	锭	embryo
phông	字形	font
phùng	泡芙	phung
phúc	有福	good fortune (n.)
phúclộc	有福	phuc-loc
phún	烧伤	"(term should be ""lún phún"") sparse (adj.)"
phúng	可惜	satire
phút	分钟	a minute (n.)
phăn	苦恼	phan
phăng	hang	knock
phương	丰	direction
phước	祝福	luck
phường	病房	ward
phượng	凤凰城	phoenix
phạn	梵文	sanskrit
phạt	罚款	punish
phả	血统书	pedigree
phải	是的	must
phải 	是的	right
phản	柜台	reaction
phảng	平的	subtle
phần	部分	part
phẩm	产品展示	food
phẩy	逗号	a comma
phẫn	愤慨	wrathful
phẫu	手术	surgery
