$ tỉ	$ biliwn	$ billion
miroku	miroku	(proper noun) miroku, a japanese name
misfits	misfits	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hypnosis	mien
miêu	cath	"(term should be ""miêu tả"") to describe (v.)"
miến	vermicelli	burma
miếng	darnau	a piece (n.)
miếu	deml	temple
miền	parth	area
miễn	am ddim	to exempt (v.)
miện	goron	crown
miệng	ceg	mouth
mm	mm	millimeter
mobile	symudol	mobile
mode	modd	mode
modul	modiwl	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohammed	mohammed
moi	newydd	winkle
molecular	moleciwlaidd	molecular
molotov	molotov	molotov
molypden	molybdenwm	the element molybdenum (n.)
mongolia	mongolia	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	moes	mora
moravia	moravia	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	moroco	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	mosgow	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	ffilm	movie
mozambique	mozambique	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	ms	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	prynu	buy
much	llawer	much
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	eboni	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	eisiau	a large number; thousands (adj.)
muối	halen	salt
muốn	hoffwn	want
muống	llwy	"(term should be ""rau muống"") water spinach (n.)"
muồi	hwyr	ripe
muỗi	mosgito	mosquito
muỗng	llwy	spoon
muội	chwaer	confusion
muộn	hwyr	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	myspace	(proper noun) myspace
mà	hynny	also
mài	malu	tomorrow
màn	llen	curtain (n.)
mành	bleindiau	a bamboo screen (n.)
mào	cribog	a comb or crest, as in the body part of a bird
màu	lliw	color
mày	ti	sew
má	bochau	cheek
mác	label	a name (marx)
mách	awgrymiadau	tell
máclênin	marxelenin	marxist-leninist
mái	to	"entire term should be ""thoai mai""; means ""comfortable"""
mát	cŵl	cool
máu	gwaed	blood
máy	y peiriant	a machine (n.)
mâm	hambwrdd	tray
mân	rosari	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	gwrthgyferbyniol	contradiction
mây	cwmwl	cloud
mã	cod	"(term should be ""la mã"") roman (adj.)"
mãi	am byth	forever (adv.)
mãimại	cod	commerce
mãn	hunanfodlon	satisfy
mãnh	cryf	intense
mão	coronau	cat
mè	sesame	sesame
mèo	cath	cat (n.)
mé	mi	a border
méo	ystumio	alter
mép	ymyl	edge
mét	metr	meter
mênh	helaeth	vast
mêtan	methan	methane
mì	nwdls	wheat
mình	eich hun	me
mía	ffon	sugar cane (n.)
mò	fumbled	to grope (v.)
mòn	wedi gwisgo allan	trail
móc	bachyn	"(term should be ""máy móc"") machinery (n.)"
món	bwyd	dish
mô	meinwe	mo
môi	gwefusau	lip
môn	pynciau	anus
mông	pen-ôl	mongolia
mônôxít	monocsid	monoxide
môt	un	"(term should be ""một"") one (n.)"
môtô	beic modur	motorcycle
mù	dall	mu
mùa	tymor	season
mùi	yr arogl	smell
múa	dawns	dance
mút	sugno	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	egin bambŵ	bamboo shoot (n.)
mĩ	america	america
mũ	capiau	cap
mũi	trwyn	nose
mơ	breuddwyd	vague
mơn	pawennau	caress
mưa	glaw	rain
mưu	cyfrwys	"(should be ""tham mưu"") advisors"
mươi	hanner cant	tens
mương	ffos	ditch
mướn	llogi	hire
mướt	llyfn	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	benthyg	borrow
mượt	llyfn	glossy (adj.)
mạc	anialwch	"(should be ""mộc mạc"") simple or natural"
mạch	cylched	vessel
mại	masnach	commerce
mạn	ochr	romantic
mạnh	cryf	strong
mạo	erthygl	"(should be ""mạo hiểm"") to brave danger"
mạt	gwiddon	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	beddau	tomb or grave (n.)
mải	yn brysur	absorbedly
mảng	arae	genre
mảnh	darn	piece
mất	ar goll	lose
mấu	tab	key
mấy	ychydig	any
mầm	germ	kindergarten
mầu	lliw	color
mẩu	darn	piece
mận	eirin	plum
mập	braster	fat
mật	mêl	intimate
mậu	masnach	mau
mắc	drud	get
mắm	saws pysgod	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	lwcus	"(term should be ""may mắn"") fortunate (adj.)"
mắng	scold	scold
mắt	llygaid	eye
mặc	gwisgo	wear
mặn	hallt	salt
mặt	wyneb	face
mẹ	mam	mother (n.)
mẹo	awgrymiadau	trick
mẻ	swp	cool
mẽ	cryf	strong
mến	annwyl	to adore or like greatly (v.)
mề	gizzard	locket
mềm	meddal	soft
mệnh	par	revolution
mệt	wedi blino	tired
mỉ	manwl	meticulous
mỉa	eironi	ironic
mỉm	gwenu	smile
mịch	cachu	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	llyfn	smooth
mịt	sniff	dim
mọc	yn tyfu	to grow (v.)
mọi	bob	every
mọn	mân	lowly
mỏ	mwyngloddiau	mine
mỏi	wedi blino	tired (adj.)
mỏng	tenau	thin
mốc	musty	border
mối	termite	relationship
mốt	fad	fashion or style (n.)
mồ	bedd	"(term should be ""mồ hôi"") sweat (n.)"
mồi	abwyd	bait (n.)
mổ	llawdriniaeth	to dissect or perform surgery (v.)
mỗi	yr un	every
mộ	bedd	admire
mộc	gwaith saer	simple
mộng	breuddwyd	dream
một	un	one
mới	newydd	new (adj.)
mờ	niwlog	dim
mời	gwahoddwyd	invite
mở	agored	open
mỡ	braster	fat or grease (n.)
mục	yr eitem	purpose
mụn	acne	pimple
mức	lefel	level
mứt	jam	preserve
mừng	falch	to be happy
mửa	chwydu	to vomit (v.)
mực	inc	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	nwdls	noodles (n.)
mỹ	iawn	america
mỹcông	america	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	ceirw	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	gwryw	male
nambắc	gogledd	nambac
namibia	namibia	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	ffoliglau	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	fangs	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	sodiwm	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	nawr	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	angor	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	net	net
netbook	llyfr net	netbook
netscape	netscape	netscape
networks	rhwydweithiau	networks
neumann	neumann	(proper noun) neumann
neutrino	niwtrino	neutrino
nevada	nevada	nevada
neverland	byth gwlad	neverland
newcastle	castell newydd	newcastle
newspaper	papur newydd	newspaper
newton	newton	newton
newtons	newtons	(proper noun) newton's
next	nesaf	next
nga	rwsia	russia
ngai	gorsedd	crown
ngang	llorweddol	horizontal
ngao	clam	clam (n.)
ngay	ar unwaith	even
nghe	clywed	hear
nghinh	nghinh	welcome
nghiêm	yn ddifrifol	serious
nghiêng	tueddu	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	wedi&#39;i falu	crush
nghiễm	trueni	serious
nghiệm	profiad	experiment
nghiện	yn gaeth	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	grim	adverse
nghành	diwydiant	faculty
nghèo	druan	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	croeso	support
nghìn	mil	thousand
nghĩ	meddwl	think
nghĩa	ystyr	meaning
nghẽn	tagfeydd	jam
nghếch	uchel	stupid
nghề	proffesiwn	career
nghệquận	celf	art district
nghỉ	egwyl	relaxation
nghị	argymhellion	think
ngo	cain	ngo
ngoan	bachgen da	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	blasus	delicious
ngoài	ar wahân	outside of
ngoại	tramor	external
ngoạn	syfrdanol	spectacular
ngoặc	cromfachau	bracket
ngoặt	trobwynt	landmark
ngu	dwp	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	gwreiddiol	reason
nguyền	melltith	curse
nguyện	adduned	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	lleuad	moon
nguôi	tawelu	fade away
nguồn	ffynhonnell	source
nguời	bobl	people
nguỵ	ffyliaid	camouflage
ngà	ifori	russian
ngàn	mil	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	diwydiant	sector
ngào	melys	sweet
ngày	dydd	day
ngách	arbenigol	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	dwp	chinese ethnic group living in the vietnamese highlands near the china border
ngán	diflasu	to be tired of
ngáng	ngáng	stop
ngát	llewygu	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	banc	money
ngây	yn wag	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	cilantro	coriander
ngó	edrych	to look (v.)
ngói	teils	tile or shingle
ngón	bys	a finger (n.)
ngót	crebachu	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	iaith	manifesto
ngông	gwydd	eccentric
ngõ	lôn	lane
ngùi	arogli	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	adran	prevent
ngũ	pump	rank
ngơ	anwybyddu	ignored (adj.)
ngơi	gorffwys	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	pysgotwr	fishermen
ngưng	stopio	stop
ngưu	ych	buffalo
ngươi	ti	an ancient form of address equivalent to thou or thee (n.)
người	bobl	people
ngưỡng	trothwy	religious
ngược	yn ôl	opposite
ngạc	synnu	surprise
ngạch	rheng	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	banc	bank
ngạnh	barbiau	self-willed
ngạo	trahaus	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	asphyxiation	stuffy
ngấm	trwytho	draw
ngất	llewygu	unconscious
ngầm	dan ddaear	underground
ngần	petruso	hesitate
ngẩn	dumbfounded	froze
ngẫm	myfyrio	think
ngẫu	ar hap	ngẫu nhiên= random
ngậm	lozenges	keep
ngập	llifogydd	flood
ngắm	gwylio	to contemplate or look admiringly at something (v.)
ngắn	byr	short
ngặt	yn dynn	strict
ngọ	hanner dydd	horse
ngọc	perlog	pearl
ngọn	topiau	top
ngọt	melys	sweet (adj.)
ngồi	eistedd	sit
ngộ	goleuedigaeth	ngo
ngột	yn sydyn	sudden
ngớ	gwirion	silly
ngời	bobl	bright
ngỡ	meddwl	surprised
ngợi	canmoliaeth	praise
ngợm	drwg	naughty
ngục	dungeon	dungeon
ngụm	sipian	sip
ngụy	wei	puppet
ngủ	i gysgu	sleep
ngủi	byr	"(should be ""ngắn ngủi"") short-lived"
ngứa	cosi	itchy
ngừ	tiwna	tuna
ngừa	atal	prevent
ngừng	stopio	to cease (v.)
ngửa	wyneb i fyny	supine
ngửi	arogli	to smell
ngữ	araith	term
ngự	trigo	defend
ngựa	ceffylau	horse
ngực	frest	chest
nha	deintydd	dental
nhakẻ	plentyn	nha-ke
nham	lafa	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	arogldarth	incense
nhanh	yn gyflym	fast
nhat	nhat	nhat
nhen	ailgynnau	rekindle
nhi	plant	junior
nhiên	cwrs	tuy nhiên= however
nhiêu	llawer	how many
nhiều	llawer	numerous
nhiễm	heintiedig	infect
nhiễu	sŵn	noise
nhiệm	dyletswydd	task
nhiệt	gwres	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	fel	demand
nhuận	naid	leap year
nhuệ	nhue	elite
nhuộm	lliwio	dye
nhàn	segur	leisure
nhàng	yn ysgafn	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	penlinio	to fall headlong
nhác	llac	coward
nhái	clonau	illegal copy
nhánh	cangen	branch
nháp	drafft	draft
nháy	amrantu	to flash or blink (v.)
nhâm	trochi	leap
nhã	chwaethus	"(term should be ""thanh nhã"") elegant"
nhãn	label	"(term should be ""gán nhãn"") to affix a label"
nhét	tucked	put
nhì	yn ail	second (adj.)
nhìn	edrych	to look (v.)
nhí	sgwrsiwr	children
nhím	draenog	porcupine
nhòm	edrych	to peep (v.)
nhóc	plentyn	brat
nhóm	grŵp	group (n.)
nhô	ymwthio allan	emerge
nhôm	alwminiwm	aluminum (n.)
nhúng	gwreiddio	embed
nhút	swil	shy
nhăn	wrinkled	wrinkle
nhĩ	atrïaidd	turkey
nhũ	emwlsiwn	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	llygredd	bribery
nhơn	lluosi	nhon
như	megis	like
nhưng	ond	but
nhương	poer	(proper noun) vietnamese first name
nhường	cynnyrch	yield
nhưỡng	seimllyd	soil
nhược	gwendid	weak
nhượng	consesiynau	concession
nhạ	nhạ	nha
nhạc	cerddoriaeth	music
nhạn	llyncu	bird
nhạo	gwatwar	ridicule
nhạt	gwelw	light
nhạy	sensitif	sensitive
nhảy	dawns	jump
nhấc	lifft	lift
nhấm	sipping	rodent
nhấn	pwyso	to press (v.)
nhất	y mwyaf	most
nhầm	anghywir	misunderstand
nhầy	llysnafeddog	glutinous
nhẫn	modrwyau	patient
nhậm	wedi&#39;i stampio	inaugurate
nhập	mynd i mewn	penetrate
nhậu	yfed	drink
nhậy	sensitif	sensitive
nhắc	yn brydlon	to remind (v.)
nhắm	nod	aim
nhắn	y neges	message
nhằm	anelu	for the purpose of (adv.)
nhẵn	llyfn	smooth
nhặt	codi	pickup
nhẹ	ysgafn	light
nhẹn	ystwyth	nhanh nhẹn= fast/nimble
nhị	stamen	sensitive
nhịn	ymatal	fasting
nhọ	arogli	smear
nhọn	pwyntiedig	sharp (adj.)
nhỏ	bach	small
nhỏ|cây	bach | coeden	small|tree
nhỏ|một	bach | un	small | one
nhỏ|phải|	bach | iawn |	small|right
nhỏ|phải|px|	bach | iawn | px |	small | have | px |
nhỏ|phải|px|bức	bach | dde | px | lluniau	grape / fade / px / buc
nhỏ|phải|px|cây	bach | dde | px | coeden	px spicy grape fade
nhỏ|phải|px|khu	bach | dde | px | parth	small|right|px|area
nhỏ|phải|px|michael	bach | iawn | px | michael	small|right|px|michael
nhỏ|phải|px|máy	bach | iawn | px | peiriant	small | right|px|machine
nhỏ|phải|px|một	bach | iawn | px | un	small|right|px|one
nhỏ|phải|px|quân	bach | dde | px | llu	small|right|px|army
nhỏ|px|	bach | px |	small
nhỏ|px|các	bach | px | yr	small
nhỏ|px|phải|kiến	bach | px | iawn | ant	small | px | right | patience
nhỏ|quân	bach | llu	small|army
nhỏ|trái|px|máy	bach | chwith | px | peiriant	small|left|px|plane
nhỏ|tượng	cerfluniau bach	small|statue
nhốt	dan glo	confine
nhồi	stwffio	cram
nhổ	poeri	uproot
nhộn	doniol iawn	busy
nhớ	i gofio	remember
nhớt	gludiog	viscid
nhờ	diolch	by
nhờn	seimllyd	multiplication
nhở	atgoffa	remind
nhụ	pinsiad	nhu
nhục	bychanu	shame
nhủ	nodiadau atgoffa	needs
nhức	poenau	pain
nhứt	yn gyntaf	first (n.)
nhừ	fel	tender
những	rhain	the
nhựa	plastig	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nikel	nickel
niken	nicel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	dim	nile
nile	nile	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	diogelwch	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	nitrogen	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	flwyddyn	youth
niết	niet	nirvana
niềm	pleser	trust
niệm	ymwybyddiaeth ofalgar	concept
niệu	diuresis	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noah	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	dywedwch	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	ifanc	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	norman	norman
normandie	normandie	normandile
northrop	gogleddrop	northrop, as in the northrop f-5 freedom fighter
norton	gogleddon	norton
norway	norway	norway
nou	nou	nou
novak	novak	novak
now	nawr	now
nowc	nowc	nowc
noãn	ofwl	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubia	nubia
number	rhif	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	bwydo	feed
nuối	llyncu	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	llyncu	to swallow (v.)
nuớc	dwr	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	mynnu	pleading
nàn	cwyno	poor
nành	soi	soy
nào	dewch ymlaen	would
này	hyn	this
ná	ná	a crossbow (n.)
nách	ceseiliau	underarm (n.)
náo	uproarious	riot
nát	wedi&#39;i falu	ruin
náu	cuddio	hide
nâng	codi	raise
nâu	brown	brown
nã	nã	to track down (v.)
não	ymennydd	brain
né	osgoi	dodge
ném	taflu	to throw (v.)
nén	cywasgedig	compress
nét	strôc	feature
nê	ne	ne
nên	dylai	should or ought to
nêu	nodwyd	mention
nòi	ras	race
nòng	barreled	barrel
nói	meddai	to say or speak (v.)
nón	hetiau	cone
nóng	poeth	hot
nô	caethwas	slave
nôbita	tobita	nobita
nôi	crib	cradle
nôm	nôm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	chwydu	vomit
nông	bas	farmer
nõn	plicio	peeled
nùng	nung	nung
núm	bwlyn	nipple
núp	gorchudd	hide
nút	botwm	button
năm	flwyddyn	year
năn	edifeiriol	"(term should be ""ăn năn"") remorse (n.)"
năng	pwer	"(term should be ""khả năng"") ability (n.)"
nơi	lle	a place
nơtrino	niwtino	neutrino
nước	dwr	country
nước 	dwr	water
nướng	pobi	grill
nǎm	nǎm	year
nạ	mwgwd	mask
nạc	heb lawer o fraster	lean (adj.)
nại	cwyno	complain
nạn	trallod	a disaster (n.)
nạo	curettage	to scrape (v.)
nạp	wedi&#39;i lwytho	tribute
nản	digalonni	depressed
nảy	bownsio	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	hiccup	a hiccup (n.)
nấp	cuddio	hide
nấu	coginio	cook
nấy	hyn	this
nần	noethlymun	debt
nầy	hyn	this
nẩy	bownsio	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n haul	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	poeth	busy
nắm	gafael	to grasp or hold (v.)
nắng	heulog	sunlight
nắp	caead	a lid or cover (n.)
nằm	celwyddau	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	yn ddienw	heavy
nặn	gwasgfa	mould
nặng	trwm	heavy
nẻo	un arall	turn
nếm	blasu	taste
nến	canhwyllau	candle
nếp	gludiog	sticky rice (n.)
nếu	os	if (adv.)
nề	gwaith maen	severe
nể	parch	respect
nện	puntio	ram
nỉ	teimlo	beg
nịnh	mwy gwastad	flatter
nọ	y llall	the other
nọc	gwenwyn	tadpole
nỏ	bwa croes	a crossbow (n.)
nối	cysylltiedig	connection
nốt	nodyn	to finish off (v.)
nồi	pot	pot
nồm	nape	humid (adj.)
nồng	crynodiad	heavy
nổ	ffrwydro	explode
nổi	fel y bo&#39;r angen	nổi tiếng= famous
nỗ	ymgais	affort
nỗi	hynny	state
nộ	digofaint	anger
nội	mewnol	on the paternal side (adj.)
nộn	stwffin	non
nộp	ffeilio	submit
nới	llacio i fyny	ease
nở	blodeuo	bloom
nỡ	galon	do you have a heart to
nợ	dyled	debt
nụy	pistil	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	corc	a kind of bamboo (n.)
nứt	wedi cracio	to crack
nửa	hanner	haft
nữa	mwy	moreover
oahu	oahu	(proper noun) oahu
oai	dread	heroic
oakland	tir derw	oakland
oan	anghyfiawnder	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	hydref	(proper noun) october
oda	oda	oda
oder	aroglau	oder
odyssey	odyssey	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	swyddog	officer
officers	swyddogion	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olympus	olympus
om	om	to simmer
omar	omar	a name
ong	gwenyn	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	organ	organ
oricon	oricon	oricon
origin	tarddiad	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossetia	(proper noun) ossetia
oswald	oswald	oswald
other	arall	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	ottoman	(proper noun) ottoman, as in the ottoman empire
outstanding	rhagorol	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	ocsigen	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	drwgdeimlad	"(term should be ""oán than"") to complain or whine"
oát	wat	a watt (n.)
oản	oàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestine	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	sosban	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	clawr meddal	paperback
papua	papua	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	parc	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	gwladgarwr	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	cyfoedion	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	ceiniog	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	perry	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	persian	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	tud	associate professor
pgđ	tud	associate professor
pha	cymysg	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	brêc	expose
phao	arnofio	float
phaolô	paul	st. paul, the apostle
pharaoh	pharaoh	pharaoh
pharaon	pharaon	pharaoh
phay	melino	mill
phe	carfan	faction
phen	phen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	philippines	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	ffilm	phim
phin	hidlydd	coffee filter
phineas	phineas	(proper noun) phineas
phiên	sesiwn	trial
phiêu	antur	adventurous
phiếm	clecs	gossip
phiến	llafn	"(should be ""nha phiến"") opium"
phiện	opiwm	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	ffenics	(proper noun) phoenix
phong	ystafell	movement
php	php	php
phrygian	phrygian	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	dadorchuddio	expose
phun	chwistrell	to spray or spit (v.)
phà	fferi	ferry
phàm	marwol	superhuman
phàn	cwyno	complain
phá	torri	destroy
phác	braslun	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	curo	manner (n.)
phái	sect	a party
phán	barnwr	judge
pháo	canon	artillery
pháp	ffrainc	method
phát	darlledu	develop
phèn	alwm	alum
phèo	phèo	organs
phép	caniateir	permit
phê	coffi	"(term should be ""phê bình"") to criticize (v.)"
phêrô	pedr	peter
phì	hypertrophy	non-
phình	chwydd	bulge
phí	arwystl	non-
phía	ochr	side
phích	thermos	a flask (n.)
phím	allwedd	key
phò	pò	"(term should be ""phò mã"") a prince consort"
phòng	ystafell	office
phó	dirprwy	second
phóng	gohebydd	to launch (v.)
phô	dinas	display
phôi	ingot	embryo
phông	ffont	font
phùng	pwff	phung
phúc	bendigedig	good fortune (n.)
phúclộc	bendigedig	phuc-loc
