$	usd	(dollar sign)
régulier	regulāri	regular
réguliers	regulāri	regular
régulière	regulāri	regular
régulièrement	regulāri	frequently
régulières	regulāri	regular
réhabilitation	rehabilitācija	rehabilitaton
rémunération	atalgojums	salary
rénovation	atjaunošana	renovation
répand	izplatās	spreading
répandu	plaši izplatīts	widespread
répandue	plaši izplatīts	widespread
réparties	izplatība	spread
répartis	izplatīts	divided
répartition	dalīšana	distribution
répertoire	direktoriju	directory
réplique	kopija	respond
répond	atbildi	answered
répondent	atbildi	answer
répondre	atbildi	answer
répondu	atbildēja	answered
réponse	atbildi	answer
réponses	atbildes	responses
répression	represijas	repression
républicain	republikas	republican
républicaine	republikas	republican
républicains	republikāņi	republicans
république	republika	republic
républiques	republikas	republics
réputation	reputācija	renown
réputé	uzskatīts	famous
réputée	uzskatīts	famous
répétition	atkārtojums	repetition
réseau	tīkls	network
réseaux	tīkli	networks
réserve	rezerve	backup
réserves	atrunas	reserves
réservé	rezerve	reserved
réservée	rezervēts	spared
réside	dzīvo	lives
résidence	dzīvesvieta	residence
résidences	dzīvojamās mājas	residences
résidents	iedzīvotāji	residents
résistance	pretestība	resistence
résistances	pretestības	resistance
résistants	izturīgs	resistant
résiste	pretoties	resists
résister	pretoties	resist
résolution	izšķirtspēja	resolution
résonance	rezonanse	resonance
résoudre	atrisināt	resolve
résultant	rezultātā	as a result off...
résultat	rezultāts	result
résultats	rezultāti	results
résulte	rezultāti	results
résume	abstrakts	summarizes
résumé	abstrakts	summary
résurrection	augšāmcelšanās	resurrection
rétablir	atjaunot	restore
réunification	atkalapvienošanās	reunification
réunion	sapulce	reunion island
réunions	sapulces	meetings
réunir	atkalapvienoties	reunite
réunis	vienoti	reunis
réunissant	apvienojot	gathering
réunissent	apvienoties	meet
réunit	apvieno	gathers
réussi	veiksme	successful
réussir	izdodas	succeed
réussissent	izdodas	successful
réussit	izdodas	successful
réussite	veiksme	success
révision	revīzija	review
révolte	sacelšanās	revolt
révoltes	sacelšanās	revolts
révolution	revolūcija	revolution
révolutionnaire	revolucionārs	revolutionary
révolutionnaires	revolucionārs	revolutionnaires
révèle	atklāj	reveals
révèlent	atklāt	reveal
révélation	atklāsme	revelation
révéler	atklāt	reveal
révélé	atklāts	revealed
révélée	atklāts	revealed or disclosed
réédition	atkārtoti izsniegt	reprint
réélu	pārvēlēts	reelected
rêve	sapnis	dream
rêves	sapņi	dreams
rôle	lomu	role
rôles	lomas	role
s	s	s
sa	viņu	his
sable	smiltis	sand
sac	soma	bag
saccompagne	biedrs	is accompanied
saccordent	piekrītu	agree
sachant	zinot	knowing
sachève	pabeigts	ends
sacre	svēts	coronation
sacrifice	upurēšana	sacrifice
sacré	svēts	sacred
sacrée	svēts	sacred
sadapter	adaptēties	to adapte
saffrontent	stāties pretī viens otram	encounter
saga	sāga	saga
sage	gudrs	wise
sagesse	gudrība	wisdom
sagir	tēlot	be
sagissait	bija	was about
sagisse	būt	is about
sagit	ir	is
sahara	sahara	sahara
saint	svētais	st.
saintdenis	st denis	saint-denis
saintdomingue	santodomingo	saint-domingue
sainte	svēts	saint
saintempire	svētā impērija	holy empire
saintjean	svētais žans	saint-jean
saintlaurent	sentlaurena	st. lawrence
saintlouis	sentluisa	saint louis
saintpierre	sentpjērs	saint-pierre
saints	svētie	saints
saintétienne	svētā etjēna	saint-etienne
saisir	greifers	its
saison	gada sezonu	season
saisons	gadalaiki	seasons
sait	zini	knows
sajoute	pievienot	add oneself
sajoutent	pievienot	add
salaire	alga	salary
salaires	algas	wages
salariés	darbiniekiem	employees
sale	netīrs	dirty
salle	istaba	room
salles	istabas	room
salomon	salamans	salomon
salon	dzīvojamā istaba	living room
salons	atpūtas zāles	add salt
salut	sveiki	salvation
salvador	salvadora	salvador
sam	sēdēja	sam
samedi	sestdien	saturday
samuel	samuels	samuel
san	san	(part of a place name)
sanction	sankcija	sanction
sanctions	sankcijas	sanctions
sanctuaire	svētnīca	sanctuary
sand	smiltis	sand
sang	asinis	blood
sanguin	asinis	blood
sanguine	asinis	blood
sanguins	asinis	blood
sanitaire	sanitārie	sanitary
sanitaires	sanitārie	health
sans	bez	without
santa	santa	santa
santiago	santiago	santiago
santé	veselība	health
saoudite	saūda	arabia
sappelle	tiek saukts	named
sapplique	attiecas	applies
sappuie	paļaujas	relies
sappuyant	tieksme	based
sarah	sāra	sarah
sarrête	apstāties	stopped
sartre	sartre	sartre
sassurer	pārliecinies	to ensure
sasuke	sasuke	sasuke
satellite	satelīts	satellite
satellites	satelīti	satellites
satisfaction	gandarījums	satisfaction
satisfaire	apmierināts	satisfaction
satisfait	apmierināts	satisfy
sattache	sattache	attach
sauf	izņemot	with the exception of
saut	lēkt	jump
sauvage	savvaļas	wild
sauvages	savvaļas	wild
sauve	droši	saves
sauver	saglabāt	save
sauvetage	glābšana	rescue
sauvé	droši	saved
savait	zināja	knew
savant	iemācījies	learned
savants	zinātnieki	scholars
savent	zini	know
savoie	savojs	savoie
savoir	zini	that is
savère	pierāda	if proven
saône	saône	saône
scandale	skandāls	scandal
scandinaves	skandināvu	scandinavians
sceau	ronis	seal
sceaux	roņi	seal
schengen	schengen	schengen
schizophrénie	šizofrēnija	schizophrenia
schneider	schneider	schneider
school	skola	school
schwarzenegger	švarcenegers	schwarzenegger
schéma	diagramma	scheme
science	zinātne	science
sciencefiction	zinātniskā fantastika	scifi
sciences	zinātne	science
scientifique	zinātnieks	scientific
scientifiques	zinātnieki	scientists
scolaire	skola	academic
scolaires	skola	scolar
scolarité	skolas gaitas	schooling
score	rezultāts	score
scott	skots	scott
screen	ekrāns	screen
script	skripts	script
scrubs	skrubji	scrubs
scrutin	balsošana	ballot
sculpteur	tēlnieks	sculpture
sculpture	skulptūra	sculpture
sculptures	skulptūras	sculptures
scène	skatuves	scene
scènes	ainas	scenes
scénario	scenārijs	scenario
scénarios	scenāriji	scenarios
scénariste	scenārija autors	scenarist
scénaristes	rakstnieki	screenwriters
se	gūt	oneself
sean	sean	sean
seattle	sietla	seattle
sebastian	sebastian	sebastian
sec	sausa	dry
second	otrais	second
secondaire	sekundārā	middle school
secondaires	sekundārā	secondary
seconde	otrais	second
secondes	sekundes	seconds
secours	glābšana	help / safety
secret	slepeni	secret
secrets	noslēpumi	secrets
secrète	slepeni	secretes
secrètement	slepeni	secretly
secrétaire	sekretāre	secretary
secs	sausa	dry
secteur	sektors	sector
secteurs	nozares	sectors
section	sadaļa	section
sections	sadaļas	sections
seffectue	uzstājas	is carried out
sefforce	cenšas	shall endeavour
segment	segmentā	segment
segments	segmenti	segments
seigneur	kungs	lord
seigneurs	kungi	lords
sein	krūts	within
seine	sēne	seine
seize	sešpadsmit	sixteen
sel	sāls	salt
selon	saskaņā ar	according to
semaine	nedēļā	week
semaines	nedēļas	weeks
semblable	līdzīgi	similar
semblables	līdzīgi	similar
semblait	likās	seemed
semble	šķiet	seems to
semblent	šķiet	seem
semblerait	liktos	would seem
sempare	sempare	take possession
semparer	sagrābt	take over
sen	sen	of it
sengage	apņemas	join up
sengager	izdarīt	sengager
sens	nozīme	meaning
sensation	sensācija	sensations
sensations	sensācijas	sensations
sensibilité	jutīgums	circulent
sensible	jūtīgs	sensitive
sensiblement	manāmi	sensibly
sensibles	jūtīgs	sensitive
sensuit	juteklisks	then
sent	smaržo	feel
sentiment	sajūta	feeling
sentiments	jūtas	sentiments
sentir	jūt	feel
sept	septiņi	seven
septembre	septembrī	september
septième	septītais	seventh
sera	būs	will be
seraient	gribētu	would
serait	būtu	will be
serbe	serbu	serbian
serbes	serbu	serbians
serbie	serbija	serbia
serge	seržs	serge
series	sērijas	series
serment	zvērests	serment
seront	būs	will
serpent	čūska	snake
serre	saspringts	greenhouse
sert	kalpo	is used
servant	pasniegšana	being used
servent	pasniegt	are used
serveur	serveris	server
serveurs	viesmīļi	servers
servi	pasniedz	served
service	apkalpošana	service
services	pakalpojumi	services
servir	kalpot	serve as
ses	viņa	his
session	sesija	session
sessions	sesijas	sessions
sest	tā	is oneself
set	komplekts	set
sets	komplekti	sets
seuil	slieksnis	threshold
seul	tikai	alone
seule	vienatnē	the only
seulement	tikai	only
seules	vienatnē	alone
seuls	vienatnē	only
sex	dzimums	sex
sexe	dzimums	gender
sexes	dzimumi	gender
sexplique	skaidro	explains
sexprime	sexprime	express oneself
sexprimer	runā	to express
sexualité	seksualitāte	sexuality
sexuel	seksuāls	sexual
sexuelle	seksuāls	sexual
sexuelles	seksuāls	sexuals
sexuels	seksuāls	sexual
sgt	sgt	sgt
shah	šahs	shah
shakespeare	šekspīrs	(name)
shakur	shakur	shakur
shanghai	šanhaja	shanghai
shawn	shawn	shawn
sherlock	šerloks	sherlock
shippuden	shippuden	shippuden
shippūden	shippūden	shippuden
shoah	shoah	holocaust
shows	šovi	show
shâh	šahs	shah
si	ja	you
sicile	sicīlija	sicilia
sida	aids	sida
side	pusē	side
sierra	sierra	sierra
sigmund	zigmunds	sigmud
signal	signāls	signal
signaler	ziņot	point out
signature	paraksts	signature (and signing)
signaux	signāli	signals
signe	parakstīt	signs
signent	parakstīt	sign
signer	parakstīt	sign
signes	zīmes	signs
signifiant	kas apzīmē	meaning
significatif	nozīmīgs	significant
signification	nozīme	signification
significative	nozīmīgs	significant
signifie	nozīmē	means
signé	parakstīt	signed
signée	parakstīts	agreed
signés	parakstīts	signed
sil	ja	if it is
silence	klusums	silence
sils	ja viņi	if they
silverlight	sudraba gaisma	silverlight
silvio	silvio	silvio
similaire	līdzīgi	similar
similaires	līdzīgi	similar
simmons	simmons	simmons
simon	saimons	simon
simone	simone	simone
simple	vienkārši	simple
simplement	vienkārši	simply
simples	vienkārši	simple
simplicité	vienkāršība	simplicity
simpose	simulēt	simpose
simposer	simulēt	to impose
simpson	simpsons	simpson
simpsons	simpsoniem	simpsons
simultanément	vienlaicīgi	simultaneously
sin	grēks	sin
sincline	priekšgala	bows
singapour	singapūra	singapour
singer	dziedātājs	(surname)
single	viens	single
singles	singli	singles
singulier	vienskaitlis	la singulie'r
sinon	ja nē	or
sinscrit	abonēja	has registered itself
sinspirant	iedvesmojošs	sin-spirant
sinspire	smelties iedvesmu	inspires
sinstalle	instalē	settles
sinstallent	apmesties	move to
sinstaller	uzstādīt	install oneself
sintitule	sintitle	is titled
sintéresse	ir ieinteresēts	show interrest
sintéresser	ieinteresēt	take an interest
sionisme	cionisms	zionism
sir	kungs	sir
sismique	seismisks	sismic
site	vietne	website
sites	vietne (s)	sites
situation	situāciju	situation
situations	situācijas	situations
situe	atrod	is
situent	atrast	situated
situé	atrodas	located
située	atrodas	located
situées	atrodas	located
situés	atrodas	located
six	seši	six
sixième	sestais	sixth
siècle	gadsimtā	century
siècles	gadsimtos	centuries
siège	sēdeklis	head office
sièges	sēdekļi	seating
ski	slēpot	ski
sky	debesis	sky
slam	slam	slam
slave	slāvu	slavic
slaves	slāvu	slavic
slogan	sauklis	motto
slovaquie	slovākija	slovakia
slovénie	slovēnija	slovenia
smackdown	izsmiekls	smackdown
smith	kalējs	smith
snoop	šņukstēt	snoop
so	tātad	so
soccer	futbols	soccer
soccupe	rūpēties	manages
soccuper	rūpēties	soccuper
social	sabiedriskā	social
sociale	sabiedriskā	social
sociales	sabiedriskā	social
socialisme	sociālisms	socialism
socialiste	sociālists	socialist
socialistes	sociālisti	socialists
sociaux	sabiedriskā	social
sociologie	socioloģija	sociology
sociologique	socioloģiskā	sociological
société	sabiedrībā	society
sociétés	kompānijas	companies
socle	pagrabs	pedestal
socrate	sokrāts	socrates
sodomie	sodomija	sodomy
soi	sevi	self
soie	zīds	silk
soient	būt	be
soigner	dziedēt	heal
soin	aprūpi	care
soins	aprūpi	medical care
soir	vakarā	evening
soirée	vakarā	party
soirées	vakaros	evenings
soit	ir	whether
soixante	sešdesmit	sixty
sol	zemes	soil
solaire	saules	solar
solaires	saules	solar
soldat	kareivis	soldier
soldats	kareivji	soldiers
solde	līdzsvars	discount
soleil	saule	sun
solidarité	solidaritāte	solidarity
solide	ciets	solid
solides	ciets	solid
solitaire	vientuļnieks	solitary
solo	solo	solo
sols	augsnes	soil
solution	risinājums	solution
solutions	risinājumi	solutions
sombre	tumšs	dark
sombres	tumšs	dark
somme	summa	sum
sommeil	gulēt	sleep
sommes	ir	sum, or amount
sommet	kalnu virsotne	top
sommets	virsotnes	highs
son	viņa	his
sonate	sonāte	sonata
sonates	sonātes	sonatas
sondage	aptauja	poll
sondages	aptaujas	polls
sonde	zonde	modul
songe	sapnis	dream
sonny	dēliņš	sonny
sonore	skaņu	sound
sonores	skaņu	sound
sonorités	skaņas	sounds
sons	skaņas	sounds
sont	ir	are
sony	sony	sony
sophie	sophie	sophie
soppose	mērķtiecīgs	opposes
sopposent	iebilst	set against
sopposer	iebilst	oppose
sorbonne	dūmu skapis	sorbonne
sorciers	burvji	probed
sort	liktenis	is released
sortant	izejošie	outgoing
sorte	tātad	kind
sortent	nāc ārā	released
sortes	veida	kind
sorti	tika ārā	out
sortie	izeja	release
sorties	izejas	come out
sortir	ej ārā	to leave
sortira	iznāks	will be released
sortis	nāc ārā	released
souche	celms	strain
souches	celmi	strain
souci	uztraukties	worry
soucieux	bažas	concerned
soudan	sudāna	sudan
souffert	cieta	suffered
souffle	elpa	breath
souffrance	sāpes	suffering
souffrant	ciešanas	suffering
souffre	cieš	suffers
soufre	sērs	sulfur
souhaitait	vēlējās	wished
souhaite	vēlēšanās	wish
souhaitent	vēlēšanās	wish
soul	piedzēries	drunk
souligne	izcelts	highlights
soulignent	uzsvērt	highlight
souligner	pasvītrot	accentuate
soulève	paaugstina	uprises
soulèvement	sacelšanās	uprising
soumettre	iesniegt	submit
soumis	iesniegts	submissive
soumise	pakļāvīgs	submitted
soumission	iesniegšana	surrender
source	avots	source
sources	avoti	sources
sourire	smaidi	smile
souris	pele	mouse
sous	zem	under
soussol	pagrabs	underground
soutenir	atbalstu	to support
soutenu	atbalstīts	helped
soutenue	noturīgs	sustained
soutien	atbalstu	support
soutiennent	strīdēties	support
soutient	balsti	support
souvenir	atmiņa	recollection
souvenirs	atmiņas	memories
souvent	bieži	frequently
souverain	suverēns	sovereign
souveraineté	suverenitāte	sovereignty
souverains	karaļi	sovereigns
souvre	atceries	sopen
soviétique	padomju	soviet
soviétiques	padomju	soviet
spatial	telpiskā	space
spatiale	telpiskā	spatial
spears	šķēpi	spears
spectacle	šovs	spactacle
spectacles	šovi	shows
spectaculaire	iespaidīgs	spectacular
spectaculaires	iespaidīgs	spectacular
spectateur	skatītājs	spectator
spectateurs	skatītājiem	spectators
spectre	spektrs	specter
spencer	spencer	spencer
sphère	sfēra	sphere
spielberg	spīlberga	spielberg
spin	spin	spin
spirale	spirāle	spiral
spirit	gars	spirit
spirituel	garīgais	spiritual
spirituelle	garīgais	spiritual
spontanément	spontāni	spontaneously
sporozoïte	sporozoīts	sporozoit
sport	sports	sport
sportif	atlētisks	sportsman
sportifs	sportisti	sport
sportive	atlētisks	sport
sportives	sports	sports
sports	sports	sports
spécial	īpašs	special
spéciale	īpašs	special
spécialement	speciāli	specially
spéciales	īpašs	special
spécialiste	speciālists	specialist
spécialistes	speciālisti	specialists
spécialisé	specializēta	competent
spécialisée	specializēta	specialised
spécialisées	specializēta	specialised
spécialisés	specializēta	specialised
spécialités	specialitātes	specialities
spéciaux	īpašs	special
spécificité	specifiskums	specificity
spécifique	konkrēts	specific
spécifiquement	konkrēti	specifically
spécifiques	konkrēts	specific
sq	kv	sq
square	kvadrāts	square
sr	sr	sr ( sir )
sri	sīrija	sri
ss	ss	ss
st	st	st
stabilité	stabilitāte	stability
stable	stabils	stable
stade	stadions	stadium
stades	stadionos	stadiums
stadium	stadions	stadium
staline	staļins	stalin
stallone	stallone	stallone
standard	standarta	standard
standards	standartiem	norms
stanley	stallis	stanley
starr	zvaigznīte	celebrity
stars	zvaigznes	stars
state	valsts	state
states	štatos	states
station	stacija	station
stations	stacijas	stations
statistique	statistikas	statistics
statistiques	statistika	statistics
statue	statuja	statue
statues	statujas	statues
statut	statusu	our
statuts	statūti	status
stefan	stefans	stefan
stendhal	stendhal	stendhal
stephen	stefans	stephen
stephenie	stefānija	stephenie
steve	stīvs	steve
steven	stīvens	steven
stewart	stjuarts	stewart
stimulation	stimulēšana	stimulation
stockage	glabāšana	storage
stocker	veikalā	to store
stockholm	stockholm	stockholm
stoker	stokeris	stoker
stopper	apstāties	halt
story	stāsts	story
strasbourg	strasbūra	strasbourg
stratégie	stratēģija	strategy
stratégies	stratēģijas	strategies
stratégique	stratēģiskā	strategical
stratégiques	stratēģiskā	strategic
stravinski	stravinskis	stravinski
street	ielas	street
stress	stresa	stress
strict	stingri	strict
stricte	stingri	strict
strictement	stingri	strictly
structure	struktūra	structure
structures	struktūras	structure
stuart	stuart	stuart
studio	studija	studio
studios	studijas	studios
style	stils	style
styles	stili	styles
stéphane	stéphane	(man's name)
su	su	knew
subdivisions	apakšnodaļas	subdivisions
subi	cieta	sustained
subir	iziet	undergo
subissent	iziet	subisssent
subit	iziet	undergoes
subsistance	iztika	subsistence
subsiste	pastāv	remains
subsistent	pastāvēt	remain
substance	viela	substance
substances	vielas	material
subventions	subsīdijas	subsidies
successeur	pēctecis	successor
successeurs	pārņēmēji	successors
successifs	secīgi	subsequent
succession	pēctecība	succession
successivement	secīgi	successively
successives	secīgi	successive
succède	izdodas	succeed
succèdent	izdodas	follow
succès	veiksme	success
succédé	izdevās	followed(for michael j) succeeded (for the others)
sucre	cukurs	sugar
sud	dienvidi	south
sudafricain	dienvidāfrikānis	south-african
sudest	dienvidaustrumi	south east
sudouest	dienvidrietumi	south west
suez	sviedri	suez
suffisamment	pietiekami	sufficiently
suffisant	pietiekams	sufficient
suffisante	pietiekams	sufficient
suffit	pietiekami	sufficient
suffrage	balso	vote
suggère	ieteikt	suggests
suggèrent	ieteikt	suggest
suggéré	ieteikts	suggested
suicidaire	pašnāvības	suicidal
suicide	pašnāvība	suicide
suis	esmu	am
suisse	šveices	switzerland
suisses	šveice	swiss
suit	seko	follow
suite	pēc	following
suites	apartamenti	following
suivant	sekojošs	following
suivante	nākamais	following
suivantes	sekojošs	following
suivants	sekojošs	following
suivent	sekot	follow
suivi	uzraudzība	followed
suivie	sekoja	followed
suivies	sekoja	followed
suivis	sekoja	followed by
suivre	sekot	follow
sujet	priekšmets	topic
sujets	tēmas	topics
sullivan	sullivan	sullivan
sultan	sultāns	sultan
summerslam	summerslam	summerslam
sunday	svētdiena	sunday
super	lieliski	super
supercoupe	super kauss	supercup
superficie	platība	area
superhéros	super varonis	superhero
superman	supermens	superman
superstar	super zvaigzne	superstar
supplémentaire	papildu	additional
supplémentaires	papildu	additional
support	atbalstu	support
supporte	atbalstu	support
supporter	atbalstu	support
supporters	atbalstītājiem	supporters
supports	balsti	media
suppose	pieņemts	assume
supposé	pieņemts	supposed
supposée	domājams	supposed
suppression	dzēšana	suppression
supprimer	noņemt	delete
supprimé	izdzēsts	deleted
suprême	augstākā	supreme
supérieur	pārāks	superior
supérieure	pārāks	superior
supérieures	pārāks	superior
supérieurs	priekšniecība	superiors
supériorité	pārākums	superiority
sur	protams	on
surcroît	papildus	addition
surface	platība	surface
surfaces	virsmām	malls(for 1st) supermarket(for 2nd) building plots (for the 3rd)
surnom	segvārds	nickname
surnommé	iesauku	dubbed
surnommée	iesauku	known
surprise	pārsteigums	surprise
surréalisme	sirreālisms	surrealism
surréaliste	sirreālists	surrealiste
surréalistes	sirreāls	surrealist
surtout	pārsvarā	especially
surveillance	uzraudzība	monitoring
survie	izdzīvošana	survival
survient	notiek	occurs
survivants	izdzīvojušie	survivors
survivor	izdzīvojušais	survivor
survivre	lai izdzīvotu	survive
survécu	izdzīvoja	survived
susan	sūzana	susan
susceptible	uzņēmīgi	susceptible
susceptibles	uzņēmīgi	susceptible
suscite	pamodina	raises
suscité	pamudināja	generated
suspendu	apturēts	suspended
suspendus	karājas	suspended
suspension	balstiekārta	suspension
suède	zviedrija	sweden
suédois	zviedru	swedish
swift	ātri	swift
sy	sy	there
sydney	sidneja	sydney
sylvester	sylvester	sylvester
sylvie	silvija	sylvie
symbole	simbolu	symbol
symboles	simboli	symbols
symbolique	simboliska	symbolic
symboliques	simboliska	symbolic
symbolise	simbolizē	symbolize
symbolisme	simbolika	symbolism
sympathie	līdzjūtība	sympathy
symphonie	simfonija	symphonia
symphonique	simfoniski	symphonic
symphyles	simfonijas	symphyllia
symptômes	simptomi	symptoms
syndicat	savienība	union
syndicats	arodbiedrības	unions
syndrome	sindroms	syndrome
synonyme	sinonīms	synonymous
synopsis	konspekts	synopsis
synthèse	sintēze	integration
synthétique	sintētisks	synthetic
syphilis	sifiliss	syphilis
syrie	sīrija	syria
système	sistēma	system
systèmes	sistēmas	systems
systématique	sistemātiska	systematic
systématiquement	sistemātiski	systematically
são	são	sao
sèche	žāvēts	dry
séance	sapulce	cession
séances	sesijas	sessions
sébastien	sebastiens	sebastian
sécession	atdalīšanās	secession
sécheresse	sausums	drought
sécurité	drošība	security
ségrégation	segregācija	segregation
séisme	zemestrīce	earthquake
séismes	zemestrīces	earthquake
séjour	palikt	resident
séjours	paliek	stay
sélection	atlase	selection
sélectionné	atlasīts	selected
sélections	atlases	selection
sélève	pieceļās	amounts
sémantique	semantika	semantic
sénat	senāts	senate
sénateur	senators	senator
sénateurs	senatori	senators
sénégal	senegāla	senegal
séparation	atdalīšana	break-up
sépare	atsevišķi	separated
séparent	atsevišķi	divide
séparer	atdalīt	mercy
séparé	atsevišķi	separated
séparée	atsevišķi	separated
séparées	atdalīts	separated
séparés	atdalīts	split
séquence	secība	sequence
séquences	sekvences	sequences
série	sērijas	series
séries	sērijas	series
sérieusement	nopietni	seriously
sérieux	nopietni	serious
sétablit	nodibina	is established
sétaient	bija	had (in the context of this exemple)
sétait	klusē	became (in this context)
sétant	būtne	having
sétend	stiepjas	stretches
sétendant	stiepjas	extending
sétendent	stiept	extended
séville	sevilja	seville
sévère	smaga	strict
sévèrement	smagi	severely
sévères	smaga	severe
sêtre	būt	having
sûr	protams	sure
sûreté	drošība	security
sœur	māsa	sister
sœurs	māsas	sisters
t	t	t
tabac	tabaka	tabacco
table	tabula	table
tableau	dēlis	table
tableaux	gleznas	tables
tables	galdi	tables
tablier	priekšauts	apron
taches	traipi	tasks
tactique	taktisko	tactic
tag	birka	tag
tahiti	taiti	tahiti
taille	griezt	size
tailles	izmēri	size
talent	talants	talent
talents	talanti	talents
tandis	kamēr	whereas
tanger	tankeris	tangier
tant	tik daudz	as
tante	tante	aunt
tantôt	dažreiz	some times
tarantino	tarantino	tarantino
tard	vēlu	late
tardif	vēlu	late
tardive	vēlu	late
tardivement	bēdīgi	late
taurine	taurīns	taurine
taux	likme	rate
taxe	nodoklis	tax
taxes	nodokļi	taxes
taylor	teilors	taylor
taïwan	taivāna	taiwan
tchernobyl	černobiļa	tchernobyl
tchèque	čehu	czech
tchécoslovaquie	čehoslovākija	czechoslovakia
te	tu	you
team	komanda	equipe
technique	tehnisks	technical
techniques	tehnikas	technical
technologie	tehnoloģija	technology
technologies	tehnoloģijas	technologies
technologique	tehnoloģiskā	technology
technologiques	tehnoloģiskā	technological
ted	ted	ted
tel	tālr	such
television	televīzija	television
telle	tāds	such
tellement	tik daudz	so
telles	tāds	such
tels	tāds	such
temple	templis	temple
temples	deniņi	temples
templiers	tempļi	knight templar
temporaire	īslaicīgs	temporarily
temporaires	īslaicīgs	temporary
temps	laiks	time
température	temperatūra	temperature
températures	temperatūras	temperatures
tempéré	mērens	temperate
tempête	vētra	storm
tempêtes	vētras	storms
tenait	notika	held
tenant	saimniecība	holder
tend	tendence	tend
tendance	tendence	trend
tendances	tendences	trend
tendent	tendence	tend
teneur	saturs	content
tenir	turēt	to hold
tennis	teniss	tennis
tension	spriegums	tension
tensions	spriedzi	tensions
tentation	kārdinājums	tentation
tentatives	mēģinājumi	attempts
tente	mēģināja	tries
tentent	cenšamies	attempt
tenter	mēģiniet	try
tenté	mēģināja	attempted
tenu	smalks	held
tenue	apģērbs	held
tenues	tērpiem	tenues
terme	jēdziens	term
termes	termini	termes
terminator	terminators	terminator
termine	pabeigts	ends
terminer	pabeigt	finish
terminologie	terminoloģija	terminology
terminé	pabeigts	ended
terminée	pāri	terminated
terrain	zemes	ground
terrains	zeme	terrains
terre	zeme	earth
terres	zeme	land
terrestre	zemes	terrestrial
terrestres	virszemes	terrestrial
terreur	terors	terror
terrible	briesmīgi	dreadful
terrier	terjers	terrier
territoire	teritorija	territory
territoires	teritorijas	territories
territorial	teritoriālais	territorial
territoriale	teritoriālais	territorial
territoriales	teritoriālais	territorial
terrorisme	terorisms	terrorism
terroristes	teroristi	terrorists
terry	frotē	terry
tertiaire	terciārā	tertiary
tesla	tu esi šeit	tesla
test	pārbaude	test
testament	būs	testament
tester	pārbaude	to test
tests	testi	tests
texas	teksasā	texas
texte	teksts	text
textes	tekstus	texts
textile	tekstils	textile
tf	tf	tf
tgv	tgv	vhs (very high speed train)
th	th	th
thalès	thalès	thales
that	ka	that
thaïlande	taizeme	thailand
the	tēja	the
theo	teo	theo
there	tur	there
thermique	termisks	themique
thermiques	termisks	thermal
thierry	thierry	thierry
this	šo	this
thomas	thomas	thomas
thompson	tompsons	thompson
threat	draudi	threat
thumb|carte	īkšķis | karte	thumb | map
thumb|left|la	kreisais	thumlleftlla
thumb|les	īkšķis | viņiem	thumbles
thème	tēma	themes
thèmes	tēmas	themes
thèse	disertācija	thesis
thèses	tēzes	theses
thé	tēja	tea
thématique	tematisks	thematic
thématiques	tematisks	thematic
théologie	teoloģija	theology
théorie	teorija	theory
théories	teorijas	theory
théorique	teorētiski	theoretical
théoriquement	teorētiski	theoretically
théoriques	teorētiski	theoretical
théorème	teorēma	proposition
thérapeutique	terapeitiskā	therapeutic
thérapeutiques	terapeitiskā	therapeutic
thérèse	tur	therese
théâtrale	teātra	theatrical
théâtre	teātris	theater
théâtres	teātri	theaters
tiennent	turēt	hold
tient	turas	is
tiers	trešais	third party
till	līdz	till
tillend	tillend	tillend
tim	tim	tim
time	laiks	time
times	reizes	(newspaper name)
timonier	stūrmanis	used both for quartermaster & helmsman
tir	šaut	shoot
tirage	drukāt	draw
tire	uzzīmēts	draw
tirer	šaut	drawn
tirs	šāvieni	fire
tiré	uzzīmēts	shoot
tirée	velk	drawn
tissu	audi	tissue
tissus	audumi	tissue
titanic	titānisks	titanic
titre	nosaukums	title
titres	vērtspapīriem	securities
titré	ar nosaukumu	titled
titulaire	turētājs	holder
tld	tld	tld
tlemcen	tlemcen	tlemcen
tna	tna	tna
todd	todd	todd
toi	tu	you
toile	audekls	web
toiles	audekli	paintings
toit	jumts	roof
tokyo	tokyo	tokyo
tolkien	tolkians	tolkien
tolérance	iecietība	tolerance
tom	tom	tom
tombe	kapu	tomb
tombeau	kapenes	tomb
tombent	kritums	fall
tomber	kritums	to fall
tombes	nokritis	graves
tombé	kapu	fallen
tome	apjoma	volume
tomes	apjomi	volumes
tommy	tomijs	name of a person
ton	tavs	tone
tony	tonijs	tony
top	tops	top
toponymie	toponīmija	geographical names
torah	tora	torah
toronto	toronto	toronto
tort	nepareizi	wrong
torture	spīdzināšana	torture
total	kopā	total
totale	kopā	total
totalement	pilnīgi	completely
totalité	visiem	whole
touchant	aizkustinošs	affecting
touche	pieskarties	receive
touchent	pieskarties	touch
toucher	pieskarties	touch
touché	pieskarties	reached
touchée	pieskārās	affected
touchés	skarto	affected
toujours	vienmēr	always
toulouse	tulūza	toulouse
tour	tornis	tour
tourisme	tūrisms	tourism
touristes	tūristi	tourists
touristique	tūristu	tourist
touristiques	tūrists	tourist
tournage	filmēšana	filming
tournant	pagriešanās	at the turn of
tourne	pagriezās	turns
tournent	pagriezties	turn
tourner	pagrieziens	turn
