$	dollar təşkil edib	dollarsign
status	status	status
stauffenberg	stauffenberg	stauffenberg
ste	ste	th
stedelijk	şəhər	urban
stedelijke	şəhər	urban
steden	şəhərlər	cities
stedenbanden	şəhər əkizliyi	city relationships
steeds	həmişə	always
steeg	gül	rose
steek	dikiş	lurch
steekt	bıçaqlamaq	stings
steen	daş	stone
steenkool	kömür	coal
stefan	stefan	stefan
stein	çalmaq	steinsek
steken	bıçaqlamaq	to cross
stel	təsəvvür edin	couple
stelde	soruşdu	put
stelden	soruşdu	put
stelen	oğurlamaq	to steal
stellen	dəsti	pacify - 1st sentence, secure - 8th sentence
stelling	raf	triangle
stellingen	tezislər	positions
stelsel	sistemi	system
stelt	dövlətlər	places
stem	səs	voice
stemde	razılaşdı	agreed
stemmen	səs vermək	vote
stemming	əhval	vote
stempel	möhür	stamp
stemrecht	səs hüququ	voting right
stenen	daşlar	rocks
stephen	ögey	stephen
ster	ulduz	star
sterft	ölür	dies
sterfte	ölüm	deathtoll / mortality
sterftecijfer	ölüm nisbəti	mortality rate
sterilisatie	sterilizasiya	sterilization
sterk	güclü	strongly
sterke	güclü	strong
sterker	daha güclü	stronger
sterkere	daha güclü	stronger
sterkste	ən güclü	strongest
sterkte	tezliklə sağal	strength
sterktes	güclü tərəflər	strengths
sterktezwakteanalyse	güc zəifliyi təhlili	strength and weaknesses analysis
sterren	ulduzlar	stars
sterrenbeeld	bürc işarəsi	constellation
sterrenstelsels	qalaktikalar	galaxies
sterven	ölmək	die
steun	dəstək	support
steunblaadje	ləçək	little support leaf
steunde	dəstəklənir	supported
steunden	dəstəklənir	supported
steunen	dəstək	support
steunt	dəstəkləyir	supports
steve	stiv	steve
stevig	möhkəm	solid
stewart	stüard	stewart
stichten	tapdı	found
stichter	qurucusu	founder
stichting	təməli	foundation
stichtte	quruldu	founded
stichtten	quruldu	founded
stierf	ölmüş	died
stierven	ölmüş	died
stig	ləkə	stig
stijgen	qalxmaq	increase
stijgende	yüksələn	increase
stijging	artırmaq	increase
stijgt	yüksəlir	rises - 1st sentence, increases - 3rd and 5th sentence
stijl	tərzi	style
stijlen	üslubları	styles
stil	sakit	shut
stille	səssiz	quiet
stimulatie	stimullaşdırma	stimulation
stimuleren	stimullaşdırmaq	stimulate
stockholm	stokholm	stockholm
stoel	stul	chair
stof	toz	dust
stoffen	parçalar	materials
stok	çubuq	stick
stond	dururdu	stood
stonden	dayandı	stood
stone	daş	stone
stonehenge	daşqalaq	stonehenge
stones	daşlar	stones
stoornis	pozğunluq	disorder
stoornissen	iğtişaşlar	disorders
stop	dayan	stop
stoppen	dur	stop
stopt	dayanır	quits
stopte	dayandı	stopped
storm	fırtına	storm
stormen	fırtınalar	storms
stort	çökür	landfill
stortte	yıxıldı	poured out
story	hekayə	verhaal
stoten	bükülmə	penetrate
straal	ray	radius
straat	küçə	street
straf	cəza	punishment
strafbaar	cəzalandırılır	punishable
straffen	cəzalandırmaq	punish
strafschop	cərimə zərbəsi	penalty
stralen	parlaq	rays
straling	radiasiya	radiation
strand	çimərlik	beach
stranden	çimərliklər	beaches
strategie	strategiya	strategy
strategisch	strateji	strategic
strategische	strateji	strategic
straten	küçələr	streets
streden	yarışdı	fought
streefde	istəyirdilər	strived
streeft	səy göstərir	aims
streek	bölgə	region
street	küçə	street
streken	şahzadələr	regions
strekt	uzanır	extends
streng	sərt	strict
strenge	sərt	strict
stress	stres	stress
streven	səy göstərmək	strive to
strijd	mübarizə	struggle
strijden	mübarizə	battle/ fight
strijdkrachten	silahlı qüvvələr	military forces
strikt	sərt	strictly
strikte	sərt	strict
stromen	axın	flow
stroming	cərəyan	current
stromingen	cərəyanlar	sections
stroom	axın	current
stroomgebied	çay hövzəsi	river basin
stroomt	axır	flows
structuren	strukturları	structures
structuur	quruluşu	structure
stuart	stuart	stuart
studeerde	oxudu	studied
student	tələbə	student
studenten	tələbələr	students
studeren	təhsil almaq	study
studie	öyrənmək	study
studies	tədqiqatlar	studies
studio	studiya	studio
studioalbum	studiya albomu	studio album
studios	studiyaları	studios
stuk	hissə	considerably
stukje	hissə	piece
stukjes	ədəd	pieces
stukken	ədəd	pieces
sturen	göndər	send
stuurde	göndərdi	sent
stuurgroep	idarə heyəti	steering committee
stuurman	ər	mate
stuurt	göndərir	sends
subtropisch	subtropik	subtropical
subtropische	subtropik	subtropical
succes	uğurlar	success
successen	uğurlar	successes
succesvol	uğurlu	successful
succesvolle	uğurlu	successful
succesvolste	ən uğurlu	most successful
sucre	sukre	sucre (proper noun - surname)
suggereert	təklif edir	suggests
suiker	şəkər	sugar
suikers	şəkər	sugars
suikerziekte	şəkərli diabet	diabetes
sultan	sultan	sultan
sumatra	sumatra	sumatra
summer	yay	summer
sun	günəş	sun
super	super	super
supermarkt	rahatlıq mağazası	supermarket
supporters	tərəfdarları	supporters
surinaamse	surinam	surinamese
surrealisme	sürrealizm	surrealism
surrealisten	sürrealistlər	surrealists
susan	susan	sysan
suárez	suarez	suarez
sweet	şirin	sweet
sydney	sidney	sydney
syfilis	sifilis	syphilis
symbolen	simvollar	symbols
symboliek	simvolizm	symbolism
symbolisch	simvolik	symbolic
symbolische	simvolik	symbolical
symbool	simvolu	symbol
symfonie	simfoniya	symphony
sympathie	rəğbət	sympathy
symptomen	simptomlar	symptoms
synagoge	sinaqoq	synagogue
syndroom	sindromu	syndrome
synoniem	sinonim	synonym
synoniemen	sinonimlər	synonyms
synthese	sintez	synthesis
syrië	suriya	syria
systeem	sistemi	system
system	sistemi	system
systematisch	sistemli olaraq	systematically
systematische	sistemli	systematic
systemen	sistemləri	systems
são	são	sao - proper noun - spanish!
t	t	it
taak	tapşırıq	task
taal	dil	language
taalgebied	dil sahəsi	language area
taalgebruik	dil istifadəsi	use of language
taalgrens	dil sərhədi	language border
taalkundig	linqvistik olaraq	linguistic
taaltalen	dil dilləri	languages
tabak	tütün	tabaco
tabel	masa	table
taboe	tabu	taboo
tachtig	səksən	eighty
tachtigjarige	oktogenar	eigthy years
tactiek	taktika	tactic
tafel	masa	table
taiwan	tayvan	taiwan
tak	filial	branch
take	götürmək	take
taken	vəzifələr	responsibilities
takken	filiallar	branches
tal	çoxsaylı	amount
talen	dillərdə	languages
talent	istedad	talent
talenten	istedadlar	talents
talloze	saysız	numerous
talrijke	çoxsaylı	numerous
tamelijk	ədalətlə	rather
tanden	dişlər	teeth
tank	tank	tank
tanks	tanklar	tanks
tante	xala	aunt
tanzania	tanzaniya	tanzania
tarief	dərəcəsi	rate
tarwe	buğda	wheat
taxi	kabinə	taxi
taxis	taksilər	taxi services
taxonomie	taksonomiya	taxonomy
taylor	taylor	taylor
taíno	taíno	taíno people
tbc	vərəm	tbc
te	üçün	too
team	komanda	team
teams	komandalar	teams
techniek	texniki	technique
technieken	texnikalar	techniques
technisch	texniki	technical
technische	texniki	technical
technologie	texnologiya	technology
technologische	texnoloji	technological
teek	gənə	tick
teen	ayaq	tiener (1st sentence) toe (2nd sentence)
tegelijk	eyni vaxtda	simultaneously
tegelijkertijd	eyni vaxtda	at the same time
tegen	əleyhinə	against
tegengestelde	əksinə	contradict
tegenhanger	asqı	counterpart
tegenover	əksinə	contradict
tegenovergestelde	əksinə	contradiction
tegenstand	müxalifət	opposition
tegenstander	rəqib	opponent
tegenstanders	əleyhdarları	opponents
tegenstelling	əksinə	opposition
tegenstellingen	əkslər	differences
tegenwoordig	indiki vaxtda	nowadays
tegenwoordige	indiki	present
teheran	tehran	tehran
teken	işarəsi	draw
tekende	imzalanıb	drew
tekenen	çəkmək	appear
tekening	rəsm	drawings
tekeningen	təsvirlər	drawings
tekens	simvol	characters
tekort	çatışmazlıq	shortcomings
tekst	mətn	text
teksten	mətnlər	texts
tel	tel	tel.
telde	sayılır	"in this context you do not translate with ""counts"", you just say ""is"" or ""has"""
telefoon	telefon	phone
telefoonnummer	telefon nömrəsi	phone number
telefoons	telefonlar	phones
telegraaf	teleqraf	telegraph
telescoop	teleskop	telescope
teleurgesteld	məyus	disappointed
televisie	televiziya	television
televisiefilm	televiziya filmi	tv-movie
televisieprogramma	televiziya proqramı	television show
televisieserie	televiziya serialları	television
televisieseries	televiziya serialları	soaps
television	televiziya	televisie
telkens	hər zaman	every time
tell	söylə	tell
tellen	saymaq	count
telling	saymaq	count
telt	sayır	count
tempel	məbəd	temple
tempeliers	cəngavərlər	knight templars
tempels	məbədlər	temples
temperaturen	temperatur	temperatures
temperatuur	temperatur	temparature
tempo	tempi	pace
ten	on	at
tenach	tenach	tanakh
tendens	trend	trend
teneinde	üçün	at the end
tenen	ayaq barmaqları	toes
tenerife	tenerife	tenerife
tenminste	ən azı	at least
tennessee	tennessi	tennessee
tenslotte	və son, lakin ən azı	eventually
tentoonstelling	sərgi	exhibition
tentoonstellingen	sərgilər	exhibitions
tenue	forma	outfit
tenzij	istisna olmaqla	unless
tepel	məmə	nipple
tepels	məmə	nipples
ter	ter	to
terecht	ədalətlə	rightly
terechtgekomen	başa çatdı	end up
terechtkomen	bitmək	end up
terlouw	terlouw	terlouw (proper noun - surname)
term	müddət	term
termen	şərtləri	terms
termijn	müddət	term
terminal	terminal	terminal
terminologie	terminologiya	terminology
terra	terra	earth (in this context it refers to the name terra australis)
terrein	ərazi	field
terreinen	sahələr	fields
terreur	terror	terror
territoria	ərazilər	territories
territoriale	ərazi	territorial
territorium	ərazi	territory
terrorisme	terrorizm	terrorism
terroristische	terrorçu	terrorist
terry	terri	terry
terug	geri	back
teruggaat	geri qayıdır	goes back
teruggetrokken	geri çəkildi	withdrawn
teruggevonden	sağaldı	found
terugkeer	qayıtmaq	return
terugkeren	qayıtmaq	return
terugkerende	qayıdır	returning
terugkomen	geriyə dönüş	return
terugtrekken	çəkilmək	draw back
terwijl	isə	while
tesla	tesla	tesla
test	test	test
testament	edəcək	testament
testen	sınamaq	test
testpiet	testpiet	test pete
tests	testlər	tests
teveel	həddindən artıq çox	too many
tevens	həmçinin	also
tevergeefs	boş yerə	in vain
tevoorschijn	ortaya çıxmaq	come forth
tevoren	əvvəlcədən	before
tevreden	məmnun	satisfied
texas	texas	texas
texel	texel	texel
text	mətn	text
textiel	toxuculuq	textile
textielindustrie	toxuculuq sənayesi	textile industry
tezamen	birlikdə	together
tfrac	tfrac	tfrac
thai	tayland	thai
thailand	tayland	thailand
thaise	tay	thai
than	daha çox	than
thans	i̇ndi	at present
that	ki	dat
thats	ki	that's
theater	teatr	theater
theaters	teatrlar	theatres
thee	çay	tea
thema	tema	theme
themas	mövzular	themes
theo	teo	theo
theodosius	teodosius	theodosius (proper noun, first name)
theologie	ilahiyyat	theology
theologische	teoloji	theological
theoloog	ilahiyyatçı	theologian
theoretisch	nəzəri cəhətdən	theoretical
theoretische	nəzəri	theoretical
theorie	nəzəriyyə	theory
theorieën	nəzəriyyələr	theories
theory	nəzəriyyə	<english word> theory
therapie	terapiya	therapy
there	orada	there
thing	şey	gebeurtenis
think	düşün	think
this	bu	this
thomas	tomas	thomas
thora	torah	torah
thriller	triller	thriller
thuis	ev	at home
thuisbasis	ev bazası	home
thuishaven	ev limanı	home port
thuiswedstrijden	ev oyunları	home game
thumb|de	baş barmaq | de	thumb/the
thumb|een	baş barmaq | a	thumb|one
thumb|het	baş barmaq | bu	thumb it
thumb|left|de	baş barmağı | sol | de	thumb / left / the
thumb|left|px|de	baş barmaq | sol | px | de	thumb
thumb|links|px|de	baş barmağı | sol | px | de	thumb links px de
thumb|px|	baş barmaq | px |	thumb
thumb|px|de	baş barmaq | px | de	thumb px de
thumb|px|een	baş barmaq | px | a	thumb pixel one
thumb|px|het	baş barmaq | px | it	thumb[px]the
thumb|px|right|de	baş barmaq | px | sağ | de	thumb px right de
thumb|rechts|px|de	baş barmaq | sağ | px | de	thumb
thumb|rechts|px|het	baş barmaq | sağ | px | it	thumb|right|px|it
thumb|right|de	baş barmaq | sağ | de	thumb right the
thumb|right|px|de	baş barmaq | sağ | px | de	thumb
thumb|right|px|het	baş barmaq | sağ | px | it	thumb right px het
tibet	tibet	tibet
tibetaans	tibet	tibetan
tibetaanse	tibetan	tibetan
tien	on	ten
tiende	onuncu	tenth
tienduizenden	on minlərlə	tens of thousands
tieners	yeniyetmələr	teens
tientallen	onlarla	dozens of
tijd	vaxt	time
tijde	vaxt	at the time
tijdelijk	müvəqqəti	temporarily
tijdelijke	müvəqqəti	temporal
tijden	dəfə	times
tijdens	isə	during
tijdgenoten	müasirləri	contemporaries
tijdje	isə	a while
tijdlijn	qrafiki	timeline
tijdperk	dövrü	era
tijdschrift	jurnal	magazine
tijdschriften	jurnallar	magazines
tijdstip	günün vaxtı	time
tijger	pələng	tiger
tijgers	pələnglər	tigers
tilburg	tilburg	tilburg
till	qədər	till
tillend	qaldırma	tillend
tim	tim	tim
timberlake	ağac tökmə	timberlake
time	vaxt	time
timeaxis	vaxtaxis	timeaxis
times	dəfə	times
tin	qalay	tin
tina	tina	tina
tinnitus	tinnitus	tinnitus
titanic	titanik	titanic
titel	başlıq	title
titels	başlıqlar	titles
titelsong	başlıq mahnısı	title-song
titiaan	titian	titian (name)
titus	titus	titus
tm	tm	up to and including
tmf	tmf	tmf
to	üçün	to
toch	lakin	still
tocht	tur	tour
toe	üçün	to
toedoen	etmək	action
toegang	giriş	access
toegankelijk	əlçatan	accessible
toegediend	idarə olunur	administered
toegekend	verilmişdir	awarded
toegelaten	icazə verilir	admitted/accepted
toegenomen	artdı	increase
toegepast	tətbiq olunur	applied
toegepaste	tətbiq olunur	applied
toegeschreven	aiddir	attributed
toegestaan	i̇cazəli	permitted
toegevoegd	əlavə etdi	add
toegewezen	təyin edilmişdir	assigned
toekomst	gələcək	future
toekomstige	gələcək	future
toen	sonra	then
toenadering	yaxınlaşma	approach
toenam	gül	increased
toename	artırmaq	increase
toeneemt	artır	increases
toenemen	artırmaq	increase
toenemende	artan	growing
toenmalig	sonra	then
toenmalige	keçmiş	then
toentertijd	vaxtında	in those days
toepassen	tətbiq etmək	apply
toepassing	tətbiqi	application
toepassingen	tətbiqlər	applications
toerisme	turizm	tourism
toeristen	turistlər	tourists
toeristische	turist	tourist
toernooi	turnir	tournament
toernooien	turnirlər	tournaments
toeschouwers	tamaşaçılar	spectators
toespraak	nitq	speech
toespraken	çıxışlar	speeches
toestand	status	situation
toestel	cihaz	plane
toestellen	qurğular	crafts
toestemming	icazə	permission
toetanchamon	tutankhamun	tutanchamon
toetreding	qoşulma	acces/ joining
toeval	təsadüf	by accident
toevallig	təsadüfən	by accident
toevoegen	əlavə edin	add
toevoeging	əlavə	addition
toezicht	nəzarət	supervision
tokio	tokyo	tokyo
tol	ödəmək	toll
tolerantie	dözümlülük	tolerance
tom	tom	tom
tome	mənə	tome
tommy	tommy	tommy
ton	ton təşkil edib	ton
toneel	teatr	stage
toneelstuk	oynamaq	play
tonen	şou	to show
tong	dil	tongue
tony	tony	tony
toon	şou	tone
toonde	göstərdi	showed
toont	göstərir	shows
toor	toor	office
top	üst	top
topografie	topoqrafiya	topography
toppen	qönçələr	summits
topscorer	top qolkiper	top player
toren	qüllə	tower
torens	qüllələr	towers
toronto	toronto	toronto
torres	torres	torres
tot	qədər	to
totaal	ümumi	total
totale	ümumi	total
totdat	qədər	till
tournee	tur	tour
tournees	turlar	tours
tov	nisbi	in relation to
tower	qüllə	tower
towers	qüllələr	towers
town	qəsəbə	stad
tracht	cəhd edin	attempts
trachtte	çalışdı	attempted
track	track	track
trad	ticarət	performed
trade	ticarət	trade
traden	ticarət	acted
traditie	ənənə	tradition
tradities	adətləri	traditions
traditioneel	ənənəvi	traditional
traditionele	ənənəvi	traditional
trainen	qatar	to train
trainer	məşqçi	trainer
trainers	təlimçilər	trainers
training	təlim	training
trams	tramvaylar	trams
transfer	köçürmə	transfer
transfervrij	pulsuz köçürmə	transfer free
transport	nəqliyyat	transport
trap	pilləkənlər	stairs
traumatische	travmatik	traumatic
treden	addımlar	stepping
tree	ağac	tree
treedt	addımlar	shall enter into
treffen	vurdu	hit
treft	vurur	will
trein	qatar	train
treinen	qatarlar	trains
treinstation	dəmiryolu stansiyası	railway station
trek	çəkmək	popular
trekken	çəkmək	to pull / excentricities
trekt	çəkir	pulls
trillingen	titrəmələri	tremors
trilogie	üçlük	trilogy
trio	üçlük	threesome
trivia	trivia	trivia
troepen	qoşunlar	troops
trof	vurdu	found
troje	troy	troy
trok	çəkdi	pulled
trokken	çəkdi	moved
troon	taxt	throne
tropisch	tropik	tropical
tropische	tropik	tropical
tros	dəstə	tros
trots	qürur	proud
trouw	sadiq	"""trouw"" (fidelity/ honesty)"
trouwde	evli	married
trouwe	sadiq	loyal
trouwen	evlənmək	marry
trouwens	bundan başqa	moreover
true	doğru	true
tsaar	çar	tsar
tsjechisch	çex	czech
tsjechische	çex	czech
tsjechië	çexiya respublikası	czechia
tsjechoslowakije	çexoslovakiya	czechoslovakia
tsjernobyl	çernobıl	tsjernobyl
tsunami	sunami	tsunami
tu	tu	tu (latin!) - you
tuberculose	vərəm	tuberculosis
tuin	bağ	garden
tuinen	bağlar	gardens
tunesië	tunis	tunisia
tunnel	tunel	tunnel
tunnels	tunellər	tunnels
turken	türklər	turks (people from turkey)
turkije	türkiyə	turkey
turks	türk	turkish
turkse	türk	turkish
turner	gimnast	turner
tussen	arasında	between
tv	tv	tv
twaalf	on iki	twelve
twaalfde	on ikinci	12th
twee	iki	two
tweede	ikinci	second
tweeling	əkiz	twins
tweelingen	əkizlər	twins
tweemaal	iki dəfə	twice
tweetal	iki	two
tweeën	ikiqat	twain
twente	iyirmi	twente
twijfel	şübhə	doubt
twilight	alacakaranlıq	twilight
twin	əkiz	twin
twintig	iyirmi	twenty
twintigste	iyirminci	twentieth
twitter	twitter	twitter
two	iki	two
type	növü	type
typen	yazaraq	type
types	növləri	santiago
typisch	tipik	typical
typische	tipik	typical
u	sən	you
uit	dən	out
uitblijven	uzaq dur	failing to / failure
uitbraak	yayılma	outbreach
uitbreiden	genişləndirmək	to expand
uitbreiding	uzadılması	expansion
uitbreidingen	uzantılar	expansions
uitbreken	çıxmaq	outbreak
uitbrengen	çıxartmaq	cast
uitdaging	meydan	challenge
uitdrukkelijk	açıq şəkildə	explicit
uitdrukking	ifadəsi	expression
uitdrukkingen	ifadələri	expressions
uiteen	ayrı	apart
uiteenlopende	rəngarəng	different
uiteenvallen	dağılmaq	collapse
uiteinde	son	end
uiteindelijk	sonda	eventually
uiteindelijke	son	final
uiten	ifadə edin	express
uiteraard	əlbəttə	naturally
uiterlijk	görünüşü	appearence
uiterlijke	zahiri	pageant
uitermate	son dərəcə	extremely
uiterst	son dərəcə	extremely
uiterste	həddindən artıq	extreme
uitg	ed	"publishing company (short for: ""uitgeverij"")"
uitgaan	çölə çıxmaq	go out
uitgaansleven	gecə həyatı	nightlife
uitgaat	çıxır	takes as point of departure
uitgangspunt	başlanqıc nöqtəsi	starting point
uitgave	nəşr	edition
uitgaven	xərc	expenditure
uitgebracht	sərbəst buraxıldı	released
uitgebrachte	sərbəst buraxıldı	released
uitgebreid	genişdir	extensive
uitgebreide	genişdir	extensive
uitgedrukt	dilə gətirdi	expressed
uitgegaan	çıxdı	assumed
uitgegeven	verilmişdir	issued
uitgegroeid	yetişdi	developed
uitgekomen	həyata keçmək	released
uitgelegd	izah etdi	explained
uitgenodigd	dəvət	invited
uitgeoefend	təsir göstərdi	exerted
uitgeput	tükənmiş	exhausted
uitgereikt	təltif edilmişdir	awarded
uitgeroeid	məhv oldu	destroyed
uitgeroepen	elan etdi	declared
uitgerust	təchiz olunmuşdur	equiped - 1st sentence, rested - 3rd sentence, equiped - 4th sentence.
uitgeschakeld	söndürüldü	disabled
uitgesloten	xaric	excluted
uitgesproken	tələffüz edir	explicitly
uitgesteld	təxirə salındı	postponed
uitgestorven	sönmüş	extinct
uitgestrekte	bahalı	extended
uitgeverij	nəşriyyatı	publisher
uitgevoerd	edam edildi	performed
uitgevonden	icad edib	invented
uitgewerkt	işlənib hazırlanmışdır	developed
uitgezonden	yayımlanır	broadcast
uitgezonderd	istisna olmaqla	excepted
uitgroeien	böyümək	grow out
uiting	nitq	expression
uitingen	ifadələri	expressions
uitkomen	lyuk	to lead out
uitkomst	nəticə	outcome
uitkwam	gerçəkləşdi	released
uitleg	izahat	explanation
uitmaakt	məsələlər	being (part of)
uitmaken	parçalanmaq	constitute
uitoefenen	məşq	to practice
uitrusting	avadanlıqlar	equipment
uitslag	səfeh	result
uitsluitend	müstəsna olaraq	exclusively
uitsluiting	təcrid	exclusion
uitspraak	ifadəsi	judgment
uitspraken	tələffüzlər	statements
uitspreken	tələffüz etmək	pronounce
uitstek	mükəmməllik	pre-eminently
uitstekend	əla	excellent
uitstekende	əla	excellent
uitstraling	görünüşü	appearance
uitte	söylədi	expressed
uitvaart	cənazə	ceremony
uitverkocht	ehtiyat yoxdur	used up
uitvinder	ixtiraçı	inventer
uitvinding	ixtira	invention
uitvindingen	ixtiralar	inventions
uitvoer	çıxış	export
uitvoeren	həyata keçirmək	conduct
uitvoerende	icraçı	executive
uitvoering	performans	implementation
uitvoeringen	tamaşalar	performances
uitwendige	xarici	external
uitwerking	işlənmə	development
uitwisseling	mübadilə	exchange
uitzending	yayımlanır	broadcast
uitzendingen	verilişləri	broadcasts
uitzicht	görünüşü	view
uitzondering	istisna	exception
uitzonderingen	istisnalar	exceptions
uitzonderlijk	müstəsna	exceptionally
uitzonderlijke	müstəsna	unique
uk	uk	united kingdom
ulcerosa	ülseroza	ulcerative
ultieme	son	ultimate
un	un	un
und	und	und
under	altında	onder
underground	yeraltı	underground
unesco	unesco	unesco
unie	birlik	union
uniek	unikal	unique
unieke	unikal	unique
uniform	forma	uniform
union	birlik	union
united	birləşdi	united
unityear	birlik	unit year
universal	universaldır	universal
universeel	universaldır	universal
universele	universaldır	universal
universitair	universitet	academic
universitaire	universitet	university
universiteit	universitet	university
universiteiten	universitetlər	universities
university	universitet	university
universum	kainat	universe
up	yuxarı	"""up"" as in ""up-town"" does not exist in dutch"
upper	yuxarı	upper
uren	saat	hours
urine	sidik	urine
uruguay	uruqvay	uruguay
us	bizi	united states
usa	abş	usa
usb	usb	usb
uss	uss	uss
ussr	ussr	old sovjet political government
ut	ut	university twente
utc	utc	utc
utc+	utc +	utc +
utrecht	utrecht	utrecht
utrechtse	utrechtse	utrecht
uur	saat	hour
uw	sənin	your
v	v	v
vaag	qeyri-müəyyən	vague
vaak	tez-tez	often
vaardigheden	bacarıqlar	skills
vaart	sürət	speed
vaatziekten	damar xəstəlikləri	vascular diseases
vacant	boşdur	vacant
vaccin	peyvənd	vaccine
vaccinatie	aşılama	vaccination
vacht	palto	coat
vacuüm	vakuum	vacuum
vader	ata	father
vaderland	doğma ölkə	homeland
vaders	atalar	fathers
vagant	boşgöz	extravagant
vagina	vajina	vagina
vaginale	vaginal	vaginal
vak	sahə	section
vakbonden	həmkarlar ittifaqları	unions
vaker	daha tez-tez	more often
val	düşmək	fall
valencia	valensiya	valencia
vallei	dərə	valley
valleien	dərələr	valleys
vallen	düşmək	to fall
valley	dərə	valley
valse	yalan	false
valt	düşür	comes - in these particular sentences
valuergb	qiymətləndirici	rgb value
van	dən	of
vanaf	dən	from
vandaag	bu gün	today
vandaan	dən	"come ( always in connection with another word: ""vandaan komen"": come from"
vandaar	deməli	on that account
vanessa	vanessa	vanessa
vangen	tutmaq	catch
vanouds	köhnə	traditionally
vanuit	dən	out of
vanwege	çünki	because of
vanzelf	özlüyündə	as a matter of course
vanzelfsprekend	təbii olaraq	obvious
varen	yelkən	to navigate
variant	variant	variant
varianten	variantlar	variaties
variatie	dəyişkənlik	variation
variaties	dəyişmələr	variaties
varieert	dəyişir	varies
variëren	dəyişmək	vary
variërend	dəyişən	varying
variëteiten	növlər	variations
varkens	donuzlar	pigs
varkensgriep	donuz qripi	swine-flu
vast	sabit	solid
vaste	sabit	solid
vasteland	materik	mainland
vasten	oruc tutmaq	fasting
vastgehouden	keçirilib	held
vastgelegd	əsir	defined
vastgesteld	quruldu	located
vasthouden	tutmaq	to hold on to
vaststellen	müəyyənləşdirin	identify
vat	barel	barrel
vaticaan	vatikan	vatican
vaticaans	vatikan	vatican
vaticaanstad	vatikan şəhəri	vatican city
vb	məsələn	eg
vchr	b.c	b.c.
vecht	mübarizə	vecht (proper name - river - 2nd and 4th sentence), fight (6th sentence)
vechten	mübarizə	to fight
vee	mal-qara	cattle
veel	çoxlu	many
veelal	tez-tez	often,  e.g.: the products are often sweets...etc.
veelgebruikte	tez-tez istifadə olunur	commonly used
veelvuldig	tez-tez	multiple
veen	torf	veen
veertien	on dörd	fourteen
veertiende	on dördüncü	fourteenth
veertig	qırx	forty
veeteelt	maldarlıq	livestock farming
vegas	veqaslar	vegas
vegetatie	bitki örtüyü	vegetation
veilig	təhlükəsiz	safe
veilige	təhlükəsiz	safe
veiligheid	təhlükəsizlik	security
veiligheidsraad	təhlükəsizlik şurası	security council
veld	sahə	field
velde	sahə	velde - proper noun - surname
velden	sahələr	fields
veldtocht	kampaniya	campaign
veldzuring	otqulağı	dock
vele	çoxu	many
velen	çoxu	many <referring to people>
veluwe	veluwe	veluwe
venetië	venesiya	venice (place)
venezuela	venesuela	venezuela (proper noun - country)
venlo	venlo	seattle
venus	venera	venus
ver	uzaqda	far
veranderd	dəyişdi	changed
veranderde	dəyişdi	changed
veranderden	dəyişdi	changed
veranderen	dəyişmək	to change
verandering	dəyişmək	change
veranderingen	dəyişir	changes
verandert	dəyişir	changes
verantwoordelijk	cavabdehdir	responsible
verantwoordelijkheden	vəzifələri	responsibilities
verantwoordelijkheid	məsuliyyət	responsibility
verantwoording	hesabatlılıq	responsiblity
verband	bandaj	connection
verbannen	qadağan olunmuşdur	to expel
verbeelding	təxəyyül	imagination
verbergen	gizlət	hide
verbeterd	təkmilləşdirilmiş	improved
verbeterde	təkmilləşdirilmiş	improved
verbeteren	yaxşılaşdırmaq	improve
verbetering	təkmilləşdirilməsi	improvement
verbeteringen	irəliləyişlər	improvements
verbieden	yasaqlamaq	prohibit
verbinden	qoşulmaq	link
verbinding	link	connection
verbindingen	əlaqələri	connections
verbindt	bağlayır	binds
verbleef	qaldı	stayed
verblijf	yaşayış yeri	residence
verblijven	qalmaq	staying - 1st sentence, stay - 3rd and 5th sentence
verbod	qadağan	prohibition
verboden	qadağandır	forbidden
verbond	əhd	covenant
verbonden	əlaqədar	connected
verbood	qadağandır	forbid
verborgen	gizli	hidden
verbouwd	yenidən qurulub	rebuilt
verbrand	yandı	burned
verbranden	yandırmaq	incinerate
verbranding	yanma	burn
verbroken	qırıq	terminated
verdacht	şübhəli	suspicious
verdedigd	müdafiə etdi	defended
verdedigde	müdafiə etdi	defended
verdedigen	müdafiə etmək	defend
verdediger	müdafiəçi	defender
verdedigers	müdafiəçilər	defenders
verdediging	müdafiə	defence
verdeeld	bölünmüşdür	divided
verdeeldheid	bölmə	division
verdelen	bölmək	divided
verdeling	paylanması	distribution
verder	daha	further
verdere	daha	further
verdiende	layiqdir	earned
verdienen	qazanmaq	earn
verdieping	mərtəbə	floor
verdiepingen	mərtəbələr	deepenings
verdoving	anesteziya	anesthetic
verdrag	razılaşma	treaty
verdragen	dözmək	treaties
verdreven	qovulub	expelled
verdriet	qəm	sorrow/ sadness
verdrijven	qovmaq	to expel
verdrongen	repressiya olunur	repressed
verduren	dözmək	endure
verdween	yoxa çıxdı	disappeared
verdwenen	yoxa çıxdı	disappeared
verdwijnen	yox olmaq	disappear
verdwijnt	yox olur	disappears
vereerd	fəxri	honored
vereist	zəruri	required
vereiste	tələb olunur	required
veren	lələkləri	feathers
verenigd	birləşdi	united
verenigde	birləşdi	united
verenigen	birləşmək	to unite
vereniging	dərnək	union
verenigingen	dərnəklər	associations
verering	ibadət etmək	worshipping
verf	çəkmək	paint
