$ tỉ	милиард долара	$ billion
sứ	керамичен	embassy
sứa	медуза	jellyfish (n.)
sức	сила	strength
sứt	бичен	cleft
sừng	рог	sừng sững= huge
sử	история	"(term should be ""sử dụng"") to use (v.)"
sửa	ремонт	repair
sửng	шокиран	startling
sửu	вол	cow
sữa	мляко	milk
sự	на	situation
ta	та	us or our
tae	тае	(proper noun) tae
tag	свободен край	tag
tai	ухо	ear
taiji	тайдзи	(proper noun) taiji
taipei	тайпе	taipei
taiwan	тайван	taiwan
taj	тадж	taj, as in taj mahal
tajikistan	таджикистан	tajikistan
tajima	таджима	tajima
tajiri	tajiri	tajiri
takahashi	такахаши	(proper noun) takahashi
taklamakan	такламакан	taklamakan
tali	тали	thallium
taliban	талибански	taliban
talmud	талмуд	talmud
tam	tam	three (n.)
tamoxifen	тамоксифен	tamoxifen
tanaka	танака	tanaka
tang	траур	funeral
tanh	съмнителен	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	танзания	tanzania
tao	аз	(proper noun) tao, a chinese name
tarim	тарим	tarim
task	задача	task
tasman	тасман	tasman, as in abel tasman
tasmania	тасмания	tasmania, a place
tau	тау	tau
taxi	такси	taxi
tay	ръка	hand
taylor	тейлър	taylor
tbt	tbt	tbt
tchad	чад	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	технически	technical
ted	пластя	(proper noun) ted
teddy	плюшено	teddy, as in teddy lupin, a character in the harry potter series
telecom	телеком	telecom
telekom	telekom	telekom
telex	телекс	telex
telnet	телнет	telnet
tem	печат	stamp
temple	храм	temple
temujin	темуджин	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	картел	tensor
teo	атрофичен	atrophy
terengganu	теренгану	(proper noun) terengganu
territories	територии	territories
terry	хавлиени	terry
terumbu	terumbu	(proper noun) terumbu
tet	тет	tet
texas	тексас	(proper noun) the state of texas
tgv	tgv	tgv
tha	извинение	to forgive (v.)
thai	бременна	pregnant
thailand	тайланд	thailand
tham	лакомия	involved
thames	темза	thames
than	дървени въглища	coal
thang	стълба	ladder
thanh	бар	youth
thani	тогава аз	thani
thao	спортен	sport
thau	месинг	a basin (n.)
thay	вместо	change
thcn	thcn	vocational school
thcs	thcs	secondary
thdq	thdq	thdq
thebes	тива	thebes
their	техен	their
them	тях	plus
then	тогава	key
theo	според	according to
theory	теория	thẻoy
theravada	тхеравада	theravada
theres	терес	there
theseus	тезей	theseus, the greek hero
thi	изпит	competition (n.)
thich	като	explanation
thien	тиен	sky
third	трета	thỉd
thiu	изхабен	buồn thiu= sad/boring
thiêm	thiem	thiem
thiêng	свещен	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	калай	tin
thiến	среден род	castrate
thiếp	карта	concubine
thiết	комплект	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	къс	lack
thiềm	сърп	crescent
thiền	медитация	buddhist (adj.)
thiển	шоу	superficial
thiểu	незначителен	minimum
thiện	добре	good
thiệp	карта	intervene
thiệt	наистина ли	damage
thiệu	въведение	"(term should be ""giới thiệu"") to introduce (v.)"
tho	тхо	tho
thoa	потупване	combination
thoai	thoai	gentle
thomas	томас	thomas
thompson	томпсън	thompson
thong	ремък	(proper noun) thong, as in ang thong
those	тези	those
thoái	регресивен	deterioration
thoán	предполагам	usurpation
thoáng	ефирен	"(term should be ""thoáng qua"") to pass quickly"
thoát	изход	drainage
thoại	телефон	telephone
thoạt	на пръв поглед	just (adv.)
thoả	сделка	compromise
thoải	комфортен	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	от време на време	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	бърз	suddenly
thpt	thpt	high school
thriller	трилър	thriller
thskts	thskts	phd- architect
thua	губя	defeat
thumb|các	палец |	thumb|many
thunderbolt	гръм от ясно небе	thunderbolt
thung	долина	valley
thuyên	изместване	a name
thuyết	теория	theory
thuyền	лодка	boat
thuê	наемам	employ
thuần	чист	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	конфликт	support
thuận	професионалисти	favourable
thuật	изкуство	term
thuế	данък	tax
thuốc	лекарство	medicine (n.)
thuộc	принадлежат	belong
thuớc	вода	"(term should be ""kích thước"") dimensions of an object"
thuờng	обикновено	usually
thuở	детство	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	туй	water
thvn	thvn	vietnam television
thy	твоята	thy
thà	бих предпочел	honest
thành	форт	"(term should be ""hình thành"") to take shape"
thày	учител	teacher
thác	каскада	harvest
thách	предизвикателство	challenge
thái	тайландски	attitude
thám	детектив	to spy (v.)
tháng	месец	month (n.)
thánh	st	a holy person; a saint (n.)
tháo	премахване	"(term should be ""tháo chạy"") to run with abandon"
tháp	кула	tower
thâm	дълбок	penetrate
thâu	залепил	to collect (v.)
thây	виждам	body
thãi	лайна	superabundant
thèm	пожелавам	desire
thép	стомана	steel
thét	изкрещя	shout
thê	на	category
thêm	повече ▼	more
thêu	под наем	to embroider (v.)
thìa	лъжица	spoon
thìn	тогава	(proper noun) thìn, the year of the dragon
thình	внезапно	"(term should be ""thình lình"") suddenly"
thí	експерименти	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	мушна	tho
thòi	недостатък	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	оризище	grain (n.)
thói	навик	a habit (n.)
thô	груб	rough, old-fashioned
thôi	хайде	only
thông	информиран	"(term should be ""thông thường"") usual (adj.)"
thù	феод	"entire term should be ""ke thu""; means ""enemy"""
thùng	кофа за боклук	barrel
thùy	лоб	thuy
thú	интересен	"(should be ""thích thú"") pleasurable"
thúc	край	push
thúy	thuy	thuy
thăm	посещение	visit
thăng	насърчавани	helicopter
thơm	ароматен	aromatic
thư	писма	"(term should be ""ung thư"") cancer (n.)"
thưa	скъп	sparse
thương	любов	love
thước	владетел	ruler
thường	често	usually (adv.)
thưởng	награда	to reward (v.)
thược	тупване	(proper noun) thược
thượng	горен	upper
thạc	майстори	master
thạch	желе	rock or stone (n.)
thạnh	thanh	thanh
thạo	експерт	fluent
thả	изпускайте	"(term should be ""thả lỏng"") to let loose (v.)"
thải	отпадъци	waste
thảm	килим	carpet or rug (n.)
thản	ведър	calmly
thảo	красив	"(term should be ""hội thảo"") a workshop (n.)"
thấp	къс	low (adj.)
thấu	проникващ	penetrate
thầm	тихо	"(term should be ""thì thầm"") to whisper (v.)"
thần	бог	"entire term should be ""tinh than""; means ""of the mind"""
thầy	учител	teacher (n.)
thẩm	съдебни заседатели	osmotic/leak
thẫm	тъмен	dark
thận	бъбрек	careful
thập	кръст	tens
thật	реален	true (adj.)
thắm	венчелистче	tham
thắn	откровено	frank
thắng	спечелени	win
thắngthua	спечелване	win-lose
thắp	светлина	light
thắt	завръзвам	tense
thằn	гущер	"entire term should be ""than lan""; means ""lizard"""
thằng	човек	a derogatory term for a man (n.)
thẳm	дълбок	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	направо	horizontal
thặng	излишък	surplus
thẹn	засрамен	shameful
thẻ	карта	card
thế	така	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	стомана	steel
thề	закълни се	swear
thềm	рафт	shelf
thể	бъда	maybe
thỉnh	каня	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	мода	prosperous
thịt	месо	meat (n.)
thọ	дълголетие	phu tho
thọc	пробождане	jab
thỏ	заек	rabbit
thỏa	съгласие	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	блок	a bar (n.)
thối	гнил	smelly
thốt	гласност	scream
thồ	опаковат	to transport via horse (v.)
thổ	земя	"(term should be ""lãnh thổ"") territory (n.)"
thổi	удар	blow
thớt	дъска за рязане	sparse
thời	път	period
thở	дъх	breathe
thợ	работник	craftman
thụ	рецептор	"(term should be ""thụ thai"") to become pregnant"
thục	шу	(proper noun) a vietnamese first name
thụt	назъбен	clyster
thủ	основен	masturbate
thủa	туа	during childhood
thủng	перфориране	having holes
thứ	вещи	no.
thức	буден	way
thừa	излишен	redundant
thừng	въже	"(term should be ""thẳng thừng"") mercilessly"
thử	да пробвам	try
thửa	колет	square
thự	вила	mansion
thực	реален	perform
ti	ти	titov
tia	лъч	ray
tiananmen	тянанмън	tiananmen
tiara	диадема	tiara
tibet	тибет	(proper noun) tibet
tigris	тигър	tigris
tiliaceus	tiliaceus	hoa dam but
tim	сърце	heart
timor	тимор	timor
timothy	тимотейка	timothy
tin	вярвам	believe
tinbắc	съобщение	file bac
tincầu	калай мост	file bridge
tinh	планета	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	новини	file river
tinthị	tinthị	file: town
tirol	тирол	tirol
tisdale	тисдейл	tisdale
tish	тиш	(proper noun) tish
tissa	тиса	(proper noun) tissa, as in moggaliputta tissa
tivi	телевизия	television
tizard	тизард	(proper noun) tizard
tiên	първи	first
tiêu	пипер	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	разкайвам се	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	обиден	seize
tiến	нагоре	operate
tiếng	език	language
tiết	секреция	abstinence/intensity
tiếu	шантав	"(should be ""đàm tiếu"") to sneer"
tiềm	потенциал	potential
tiền	пари	money (n.)
tiều	лайна	(proper noun) the name of a poet
tiểu	пикая	tiểu sử= biography
tiễu	господин лю	patrol
tiệc	пир	party
tiệm	магазин	shop
tiện	удобен	mean
tiệp	чешки	gustav franck
tiệt	шибан	sterilize
tncs	тнк	communist youth union
tngt	tngt	traffic accidents
tnhh	ограничен	limited
toang	toang	fast
tobago	тобаго	tobago
toei	toei	toei
tokugawa	токугава	tokugawa
tokyo	токио	tokyo, the capital of japan
tokyopop	tokyopop	tokyopop
tomas	tomas	(proper noun) tomas
tommy	гаечен ключ	tommy
tomoyo	tomoyo	tomoyo
tony	шик	tony
toonami	toonami	(proper noun) toonami
top	връх	top
torino	торино	torino, as in the italian city
toriyama	торияма	(proper noun) toriyama
tottenham	t тотнъм	tottenham
tourism	туризъм	tourism
tourist	турист	tourist
toyama	тояма	toyama
toyota	toyota	(proper noun) toyota
toà	съдебна зала	office
toàn	сейф	entire or whole (adj.)
toán	математика	team
toát	добре	to exude or emit, as in sweat (v.)
toạ	координати	locate
toại	при	satisfaction
toả	излъчва	spread
tp	тр	city
tphcm	tphcm	ho chi minh city
tphồ	град	city ho
tpvĩnh	град	vinh city
tqlc	tqlc	marine
trafalgar	трафалгар	(proper noun) trafalgar
trafford	трафорд	trafford in greater manchester
trai	миди	boy
trang	страница	a page (n.)
tranh	снимки	to compete (v.)
trao	раздава	reward
trau	trau	polish
tre	бамбук	bamboo (n.)
treo	вися	hang
tri	tri	tri
tribune	трибуна	a name
trinh	девица	"(should be ""trinh bạch"") virtuous"
trinidad	тринидад	trinidad
trinity	триединство	trinity
tristan	тристан	tristan
triết	философия	philosophy
triền	триен	"(should be ""triền miên"") endless"
triều	сезон	court
triện	тюлен	stamp
triệt	старателно	completely
triệu	милион	a million
tro	пепел	ashes
troia	троя	troy
trondheim	трондхайм	trondheim
trong	в	inside (adv.)
true	вярно	true
truman	труман	(proper noun) truman
trung	среден	"(term should be ""trung gian"") agent (n.)"
trungnhật	честност	china-japan
truong	truong	truong
truyên	truyen	story
truyện	история	story
truân	truân	arduous
truất	хулителите	cancel
truởng	главен	leader (n.)
truỵ	лъжа	depraved
trà	чай	tea (n.)
tràm	cajuput	melaleuca
tràng	дебело черво	"entire term should be ""truc trang""; means ""rectum"""
trào	изригване	movement
trác	trac	trac
trách	вина	blame
trái	наляво	against
trán	чело	forehead
tráng	покрит	to coat (v.)
tránh	да се избегне	to avoid (v.)
tráo	чрез измама	tráo trở= liar/betrayal/treacherous
tráp	кутия	casket
trát	съдебна заповед	pile
trâm	брошка	a type of elegant hairpin (n.)
trân	с най-добри пожелания	respect
trâu	бивол	a last name
trãi	разпръснат	trai
trèo	изкачвам се	climb
trên	на	above
trình	изпращане	process
trí	ум	intellectual
trích	откъс	to extract (v.)
trò	трик	role
tròn	кръгъл	rounding
trói	завързан	tie
trôi	плаващи	afloat
trông	външност	look
trùm	шеф	cover
trùng	съвпада	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	пансион	residence
trúc	бамбук	structure
trăm	сто	hundred
trăn	питон	"(term should be ""trăn trở"") to ponder (v.)"
trăng	луна	moon
trĩ	хемороиди	hemorrhoids
trũng	потъналия	medium
trơ	инертен	bare
trơn	хлъзгав	slippery (adj.)
trư	tru	a pig (n.)
trưa	по обяд	noon (n.)
trưng	реквизиция	symbolic
trưngcông	проявяват	truongcong
trương	truong	policy
trước	преди	front
trước 	преди	front
trướng	експанзия	expand
trườn	пълзене	crawl
trường	училище	case
trượng	кадуцей	a unit of length used in vietnam equal to 4 meters (n.)
trượt	да се плъзга	slide
trạch	trach	ze
trại	лагер	camp
trạm	станция	station
trạng	състояние	situation
trạo	тао	trao
trả	заплащане	to return
trải	покрийте	spread
trảm	cajuput	beheaded
trảo	мачете	trao
trấn	град	town
trấu	оризова обвивка	rice skin
trầm	дълбок	depression
trần	гол	tran
trầu	индийски пипер	trầu
trầy	почеса	scratch
trẩy	подскачане	pilgrimage
trẫm	аз съм	i
trận	съвпадението	battle
trật	извадено	order
trắc	биометрични данни	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	бял	white
trặc	хълцане	"entire phrase is ""truc trac""; means ""problem"""
trẻ	млад	youth
trễ	късен	late
trệ	застоял	bamboo
trị	лечение	cure
trịnh	зигзаг	trịnh, a vietnamese last name
trọ	кръчма	motel
trọn	пълен	whole
trọng	важно	serious
trỏ	указатели	index
trối	финал	last words
trốn	крия	to hide
trống	изпразни	in
trồi	нововъзникващите	to emerge (v.)
trồng	растат	plant
trổ	шоу	to burst open or display
trỗi	появяване	rise
trội	доминантен	better
trộm	крадци	theft
trớn	ласка	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	бог	sun
trợ	поддържа	support
trụ	офис	universe
trục	ос	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	гол	"(term should be ""trơ trụi"") bare (adj.)"
trứ	tru	famous
trứng	яйце	egg
trừ	минус	except
trừng	ослепителен блясък	punish
trừu	овца	abstract
trữ	съхранение	reserve
trực	на смяна	direct
ts	ts	phd
tt	tt	news
tua	пипало	fringe
tucker	изтощавам	tucker, an english last name
tudor	от епохата на тюдорите	(proper noun) tudor, as in the tudor family
tukhachevsky	тухачевски	(proper noun) tukhachevsky
tulip	лале	tulip
tum	tum	tum
tung	хвърляне на чоп	release
tupolev	туполев	tupolev, as in alexei tupolev
tuscan	тоскански	(proper noun) tuscan
tutsi	тутси	(proper noun) tutsi
tuvalu	тувалу	(proper noun) tuvalu, a polynesian island nation
tuy	въпреки това	however
tuyên	декларират	"(should be ""tuyên ngôn"") a declaration"
tuyết	сняг	snow (n.)
tuyền	tuyen	tuyen
tuyển	подбор на персонал	recruit
tuyệt	страхотен	excellent (adj.)
tuân	подчинявам се	comply
tuông	промиване	jealous
tuý	tuyý	drug
tuần	седмица	week
tuế	рибки	years
tuệ	мъдрост	intelligence
tuốc	скубане	turbine
tuổi	годишен	age
tuộc	октопод	octopus
tuột	изхлузвам	slip
tuỳ	по избор	depend
tv	телевизия	tv
tvb	tvb	tvb
twin	близнак	twin
twitter	кикотене	twitter
ty	тай	company
type	тип	type
typhon	тифон	typhon
tà	зло	we
tài	щастие	talent (n.)
tàn	пепел	dying
tàng	музей	"(should be ""bảo tàng"") a museum"
tành	tanh	shatter
tàu	кораб	ship
tá	дузина	"(term should be ""thiếu tá"") major (n.)"
tách	чаша	to separate
tái	ре	return
tám	осем	eight
tán	навес	support
tánh	tanh	life
táp	кран	to lap at (v.)
táu	виновен	ashton
tâm	център	tâm
tâu	господарю	peach
tây	западно	western
tâynam	westnam	"(should be ""tây-nam"") southwest"
tã	пелени	diaper
tét	писък	tet
tê	вцепенен	numb
tên	име	name (n.)
tì	далак	to lean on (v.)
tìm	намирам	find
tìmdiệt	търсене	find-kill
tình	любов	sex
tía	лилаво	dad
tích	продукт	"(term should be ""tích cực"") to be zealous (adv.)"
tím	виолетов	purple
tín	кредити	"(entire term should be ""tín dụng"") credit"
tít	заглавие	"(term should be ""tít mù"") very far away (adv.)"
tò	любопитство	curious
tòa	съдебна зала	a court
tòi	материя	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	китайско дружество	tòng, a last name
tóm	компендиум	summary
tô	купа	car
tôi	аз	i
tôm	скарида	shrimp
tôn	велпапе	venerate
tông	картон	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	затвор	prison
tùng	резервен	tung
tùy	по избор	depend on
túc	достатъчност	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	ръчна чанта	pocket
túm	заграбване	catch
túng	непохватен	confuse
túp	хижа	hut
túy	лекарство	"(term should be ""thuần túy"") pure (adj.)"
tý	плъх	mouse, as in year of the mouse
tăm	клечка за зъби	"(term should be ""tiếng tăm"") reputation"
tăng	нараства	increase
tĩnh	статичен	calm
tơi	аз	ragged
tư	от	posture
tưng	съмнителен	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	прясно	fresh
tương	подобен	"(term should be ""tương tự"") to be similar to"
tước	оголване	title (n.)
tưới	поливане	irrigation
tướng	общ	prime minister (thu tuong)
tường	стена	"a common vietnamese first name; means ""wall"""
tạ	мряна	weight
tạc	извайвам	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	в	survival
tạm	временен	temporary
tạo	създавам	create
tạp	списание	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	описание	describe
tản	разсейване	disperse
tảng	платформа	platform
tấc	инч	inch
tấm	плаки	mirror
tấn	тон	tan
tấp	изтегли	crowded
tất	чорапи	all
tấu	инструментален	tau
tầm	игри	range or extent (n.)
tần	честота	"(term should be ""tần số"") frequency (n.)"
tầng	етаж	layer
tầu	влак	ship
tẩm	напоена	soak
tẩy	гума	to bleach
tận	край	dedicated
tật	инвалидност	disease
tắc	превключватели	priciple
tắm	душ	bathing
tắt	изключи	initial
tặc	хакери	"(term should be ""hải tặc"") a pirate (n.)"
tặng	дарят	donate
tẻ	мрачен	lẻ tẻ= scattered
tết	tet	(proper noun) the vietnamese new year
tếxã	икономично	economy - society
tề	чи	tidy
tể	господин	lord
tệ	лошо	bad
tệp	досие	file
tỉa	подреден	"(term should be ""bắn tỉa"") to snipe"
tỉnh	провинциалният	province
tị	завист	refugee
tịch	президент	"(""chủ tịch"") president or chairman"
tọa	координати	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	изразена	to
tỏa	излъчва	radiate
tỏi	чесън	garlic
tốc	скорост	speed
tốn	цена	to cost (v.)
tống	ескорт	dispose
tốp	група	top
tốt	добре	good
tồi	лошо	bad
tồn	съществуват	exist
tổn	боли	damage
tổng	обща сума	president
tộc	клан	"(term should be ""dân tộc"") a race or people"
tội	грях	crime
tột	екстремни	extreme
tớ	мен	servant
tới	следващия	to the point
tờ	лист	paper/document
tởm	отвратителен	disgusting
tục	скверен	"(term should be ""tập tục"") customs or practices"
tụy	панкреас	"(term should be ""tận tụy"") devoted (adj.)"
tủ	шкафове	shelf
tủi	лошо	humiliated
tủy	костен мозък	spine
tức	миг	i.e.
từ	от	from
từng	някога	each
tử	смърт	lion (su tu)
tửu	толерантност към алкохол	wine
tự	себе си	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	заглавие	lean
tựu	постиженията	achievement
tỵ	змия	the han name for the year of the snake, according to the chinese zodiac
tỷ	милиард	billion
u	ф	tumor
ua	украйна	ua
uae	оае	uae
ubuntu	ubuntu	ubuntu
uc	uc	uc
uchiha	учиха	uchiha
uefa	уефа	uefa
uh	ъ-ъ	uh
uk	великобритания	uk
ukiyoe	укийо-е	ukiyoe
ukraina	ukraina	ukraine
ulsan	улсан	ulsan
umm	хмм	umm
un	оон	(proper noun) un, as in chung un chan of korea
und	унд	und
under	при	under
unesco	юнеско	unesco
ung	гнил	cancer
unicorn	еднорог	unicorn
unit	мерна единица	unit
unix	unix	unix
up	ups	up
ural	урал	ural, as in the ural mountains
urani	уран	uranium
uri	uri	uri, a former political party in south korea
uruguay	уругвай	uruguay
usagi	usagi	usagi
usb	usb	usb
uss	uss	uss
utah	юта	utah
utrecht	утрехт	(proper noun) utrecht
uy	uy	"(term should be ""uy lực"") power (n.)"
uyghur	уйгурски	(proper noun) uyghur
uygur	uygur	uygur
uyên	uyen	scholarly
uyển	евфемизъм	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	узбекистан	uzbekistan
uông	uong	uong
uất	uat	busy
uốn	кърлинг	to curl (v.)
uống	да пия	to drink
uổng	загуба	vain
v	v	v
va	ва	collide
vaccine	ваксина	vaccine
vai	рамо	shoulder
valencia	валенсия	valencia
valentine	свети валентин	valentine
valley	долина	valley
van	клапан	"(term should be ""van xin"") to beg (v.)"
vanessa	ванеса	vanessa
vargas	варгас	(proper noun) vargas
vasari	вазари	vasari
vay	взимам на заем	borrow
vectơ	вектор	vector
ven	заедно	"(term should be ""ven biển"") coastal (adj.)"
vendôme	вандом	vendome
venezia	венеция	venice
venus	венера	venus
verdun	вердюн	verdun
vermont	върмонт	vermont
verona	верона	(proper noun) the city of verona
versailles	версай	(proper noun) versailles
vhs	vhs	vhs
vi	защото	behavior
viagra	виагра	viagra
victor	победител	(proper noun) victor
victoria	виктория	victoria, a province of australia
vienna	виена	(proper noun) vienna, austria
viet	виет	vietnamese
vietnam	виетнам	vietnam
viettel	viettel	viettel
viii	viii	eighth
vijaya	vijaya	(proper noun) vijaya
viking	викинг	viking
villa	вила	villa
villeneuve	вилньов	(proper noun) villeneuve, a french last name
vinagame	vinagame	vinagame
vinashin	vinashin	vinashin
vince	винс	(proper noun) vince, as in vince mcmahon
vincennes	vincennes	vincennes
vincent	винсент	vincent
vinpearl	vinpearl	vinepeal
viqr	viqr	viqr
virginia	вирджиния	(proper noun) virginia, as in the state
virus	вирус	virus
virút	вирус	virus
vissarionovich	vissarionovich	vissarionovich
vista	перспектива	vista, as in windows vista
vitamin	витамин	vitamin
vitruvius	витрувий	vitruvius
viz	а именно	(proper noun) viz
viêm	възпаление	inflammation
viên	таблетки	member
viêng	viang	vientiane
viêt	писане	vietnam
viếng	посещение	visit
viết	пиши	write
việc	работа	thing
viện	институт	institute
việt	виетнам	viet
việtmường	виетнамски muong	muong
việtnga	vietnga	vietnam-russia
việttrung	viettrung	vietnam-china
vn	vn	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	vo	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	слонове	elephant
voip	voip	voip
voldemort	волдемор	(proper noun) voldemort, the villain from the harry potter series
von	фон	compare
vonfram	волфрам	wolfram
vong	пострадали	injured
voyager	пътник	voyager
voọc	langurs	a langur (n.)
vtc	цпо	vtc
vu	ву	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	цар	king
vui	шега	happy
vulcan	вулкан	vulcan
vuông	квадрат	square
vuốt	нокът	stroke
vv	и т.н.	etc.
vy	vy	vy
vyacheslav	вячеслав	vyacheslav
và	и	and
vài	малцина	several
vàm	vm	the mouth of a rivulet (n.)
vàng	жълт	gold
vành	ръб	coronary
vào	в	into
vá	кръпка	patchy
vác	балансовата	to shoulder (v.)
vách	стена	wall
vái	да	some
ván	дъска	game
váng	измет	film
váy	рокля	skirt
vân	скоро	"(term should be ""vân vân"") et cetera"
vây	перка	encircle
vã	втурнаха	rush
vãi	лайна	to release
vãn	фургон	save
vè	пикая	to glance slyly (v.)
vé	билет	ticket
vét	драга	plunder
vê	относно	tremolo
vì	защото	because
ví	портфейл	example
vía	портфейл	soul
vít	винт	screw
vò	смачкана	jar
vòi	маркуч	tap
vòm	покрив	upper jaw
vòng	пръстен	around
vó	hoooo	hooves
vóc	размер	"(should be ""vóc sương"") dew-like or delicate"
vô	не	"(term should be ""vô số"") countless (adj.)"
vôi	вар	limestone
võ	военен	martial arts (n.)
võng	хамак	hammock
vùi	погребан	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	област	region
vú	гърди	breast (n.)
vút	покачващите	"entire term should be ""cong vut""; extreme curling"
văn	литература	culture
văng	плисък	a name
vĩ	страхотен	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	постоянно	ving
vũ	ву	armed
vũng	локва	vung
vơ	безпомощен	lost
vơi	с	ullage
vưu	vưu	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	достигнат	reach
vương	цар	kingdom
vướng	заплете	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	градина	garden
vượn	маймуни	gibbon
vượt	минавам	to overcome
vạ	така	unfortunate problem
vạc	котел	cauldron
vạch	бар	bar
vại	буркан	jar
vạn	десет хиляди	thousand
vạng	полумрак	twilight
vả	смокиня	hard
vải	плат	fabric
vảy	везни	scale
vấn	съвет	vấn đề= problem
vấp	спъвам се	stumble
vất	изхвърлям	hard
vần	рима	spell
vầng	ореол	moon (vang trang)
vẩn	все още	wander
vẩy	люспи	scale
vẫn	все още	still
vẫy	къдрене	wave
vận	щастие	active
vắc	ваксина	vaccine
vắcxin	ваксина	vaccine
vắn	къс	short
vắng	отсъстващ	absent
vặn	винт	to twist (v.)
vặt	обяви	odd
vẹn	интегритет	complete
vẹt	папагали	parrots
vẽ	живопис	draw
vết	кръпка	wound
vểnh	костур	warping
vệ	отбрана	"(term should be ""bảo vệ"") to defend (v.)"
vệt	ивици	streak
vỉa	шевове	"(term should be ""vỉa hè"") sidewalk"
vịnh	залив	bay
vịt	патица	duck
vọng	надежда	"(term should be ""hy vọng"") hope (n.)"
vọt	ракета	to spurt out (v.)
vỏ	кора	shell
vồ	мачкам	"(term should be ""gạch vồ"") a type of brick"
vỗ	потупване	to clap
vội	бързам	hurriedly (adv.)
vớ	чорапи	"(term should be ""vớ vẩn"") silly (adj.)"
với	с	to
vớt	риба	salvage
vờ	преструвам се	"(term should be ""giả vờ"") to pretend (v.)"
vời	страхотен	wonderful
vở	тетрадка	"(term should be ""vở kịch"") a play"
vỡ	разбито	break
vợ	съпруга	wife
vụn	чипс	debris
vụng	непохватен	covert
vứt	изхвърлям	throw away
vừa	годни	just (adv.)
vừng	сусам	sesame (n.)
vững	твърд	firm (adj.)
vực	поле	place
vựng	лексика	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	така	majestic
w	w	w
wa	уа	wa
walt	уолт	(proper noun) walt, as in walt disney
walter	уолтър	walter
walther	walther	walther
wan	изнурен	wan
wang	уан	wang
wankel	ванкелов	(proper noun) wankel
wanna	искам	wanna
warren	лабиринт от гъсто населени къщи	a name
warsaw	варшава	warsaw
warszawa	warszawa	(proper noun) warsaw
washington	вашингтон	(proper noun) washington
wat	уот	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	врата на шлюз	watergate
waterloo	ватерло	(proper noun) waterloo
waters	води	waters
wayne	уейн	wayne
wcdma	wcdma	w-cdma
weasley	уизли	weasley, as in ron weasley in the harry potter series
weblog	уеблог	weblog
webmail	уеб-базирана поща	ưebmail
weimar	ваймар	(proper noun) weimar
wellington	уелингтън	wellington
wells	ямки	wells, as in author orson wells
welsh	уелски	(proper noun) welsh, as in the welsh language
wembley	уембли	wembley, as in wembley stadium
werner	вернер	werner
westermarck	westermarck	westermarck
western	уестърн	western
westlife	westlife	westlife
westview	уествю	westview, as in westview press
wheeler	процепен кон	a name
widener	widener	widener
wien	wien	wien
wiener	кренвирш	wiener
wifi	wifi	wi-fi, a technology term
wiki	уики	wiki
wikia	wikia	a name
wikibooks	уикикниги	(proper noun) wikibooks
wikimapia	wikimapia	wikimapia
wikimedia	wikimedia	wikimedia
wikitravel	wikitravel	a name
wild	див	wild
