$ tỉ	$ अरब	$ billion
thomas	थॉमस	thomas
thompson	थॉम्पसन	thompson
thong	पेटी	(proper noun) thong, as in ang thong
those	những	those
thoái	छोड़ना	deterioration
thoán	thoan	usurpation
thoáng	हवादार	"(term should be ""thoáng qua"") to pass quickly"
thoát	निकास	drainage
thoại	फ़ोन	telephone
thoạt	पहली नज़र में	just (adv.)
thoả	सहमति	compromise
thoải	आरामदायक	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	कभी कभी	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	thoát	suddenly
thpt	thpt	high school
thriller	थ्रिलर	thriller
thskts	thskts	phd- architect
thua	खोया	defeat
thumb|các	अंगूठा |	thumb|many
thunderbolt	वज्र	thunderbolt
thung	thung	valley
thuyên	विस्थापन	a name
thuyết	सिद्धांत	theory
thuyền	नाव	boat
thuê	किराए	employ
thuần	विशुद्ध	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	विरोधाभासों	support
thuận	सुविधाजनक	favourable
thuật	कला	term
thuế	कर	tax
thuốc	दवा	medicine (n.)
thuộc	की	belong
thuớc	दवा	"(term should be ""kích thước"") dimensions of an object"
thuờng	अक्सर	usually
thuở	जवानी	period
thuỵ	thuỵ	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	हाइड्रो	water
thvn	thvn	vietnam television
thy	तेरा	thy
thà	बल्कि होगा	honest
thành	सफलता	"(term should be ""hình thành"") to take shape"
thày	शिक्षक	teacher
thác	झरना	harvest
thách	चुनौती	challenge
thái	स्थिति	attitude
thám	जासूसी	to spy (v.)
tháng	माह	month (n.)
thánh	संत	a holy person; a saint (n.)
tháo	निकालें	"(term should be ""tháo chạy"") to run with abandon"
tháp	मीनार	tower
thâm	गहरा	penetrate
thâu	इकट्ठा	to collect (v.)
thây	देखना	body
thãi	शहरी अपवाह	superabundant
thèm	cravings	desire
thép	इस्पात	steel
thét	thet	shout
thê	मार्था	category
thêm	अधिक	more
thêu	कढ़ाई	to embroider (v.)
thìa	चम्मच	spoon
thìn	पतला	(proper noun) thìn, the year of the dragon
thình	अचानक	"(term should be ""thình lình"") suddenly"
thí	प्रतियोगियों	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	चिपचिपा	tho
thòi	वंचित	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	धान	grain (n.)
thói	आदतों	a habit (n.)
thô	असभ्य	rough, old-fashioned
thôi	चलो	only
thông	सूचना	"(term should be ""thông thường"") usual (adj.)"
thù	सामंत	"entire term should be ""ke thu""; means ""enemy"""
thùng	टोकरा	barrel
thùy	भाग	thuy
thú	दिलचस्प	"(should be ""thích thú"") pleasurable"
thúc	समाप्त होता है	push
thúy	thuy	thuy
thăm	यात्रा	visit
thăng	ascend	helicopter
thơm	सुगंधित	aromatic
thư	पत्र	"(term should be ""ung thư"") cancer (n.)"
thưa	श्रीमान	sparse
thương	प्यार	love
thước	आकार	ruler
thường	अक्सर	usually (adv.)
thưởng	बोनस	to reward (v.)
thược	thuốc	(proper noun) thược
thượng	छत	upper
thạc	मास्टर्स	master
thạch	जेली	rock or stone (n.)
thạnh	थान	thanh
thạo	विशेषज्ञ	fluent
thả	ड्रॉप	"(term should be ""thả lỏng"") to let loose (v.)"
thải	बर्बाद	waste
thảm	गलीचा	carpet or rug (n.)
thản	आराम	calmly
thảo	कार्यशाला	"(term should be ""hội thảo"") a workshop (n.)"
thấp	कम	low (adj.)
thấu	लेंस	penetrate
thầm	चुपचाप	"(term should be ""thì thầm"") to whisper (v.)"
thần	देवता	"entire term should be ""tinh than""; means ""of the mind"""
thầy	शिक्षक	teacher (n.)
thẩm	सक्षम	osmotic/leak
thẫm	अंधेरा	dark
thận	गुर्दा	careful
thập	सभा	tens
thật	असली	true (adj.)
thắm	पत्ती	tham
thắn	खुलकर	frank
thắng	प्रबल	win
thắngthua	thangthua	win-lose
thắp	ज्योतिर्मय	light
thắt	बाँध लेना	tense
thằn	छिपकली	"entire term should be ""than lan""; means ""lizard"""
thằng	पुरुष	a derogatory term for a man (n.)
thẳm	रसातल	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	सीधे	horizontal
thặng	अतिरिक्त	surplus
thẹn	धमकी से	shameful
thẻ	कार्ड	card
thế	कैसे	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	ढेरों	steel
thề	कसम खाओ	swear
thềm	शेल्फ	shelf
thể	कर सकते हैं	maybe
thỉnh	आमंत्रण	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	समृद्धि	prosperous
thịt	मांस	meat (n.)
thọ	जीवन	phu tho
thọc	जोर	jab
thỏ	ख़रगोश	rabbit
thỏa	सौदा	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	सिल्लियां	a bar (n.)
thối	सड़ांध	smelly
thốt	उगल दिया	scream
thồ	पैक	to transport via horse (v.)
thổ	वेश्यालय	"(term should be ""lãnh thổ"") territory (n.)"
thổi	उड़ाने के लिए	blow
thớt	काटने का बोर्ड	sparse
thời	समय	period
thở	साँस लेना	breathe
thợ	शिल्पकार	craftman
thụ	रिसेप्टर	"(term should be ""thụ thai"") to become pregnant"
thục	स्वतंत्र	(proper noun) a vietnamese first name
thụt	एनीमा	clyster
thủ	मुख्य	masturbate
thủa	भूखंडों	during childhood
thủng	वेध	having holes
thứ	तरह	no.
thức	जाग	way
thừa	अतिरिक्त	redundant
thừng	रस्सी	"(term should be ""thẳng thừng"") mercilessly"
thử	कोशिश	try
thửa	भूखंडों	square
thự	विला	mansion
thực	असली	perform
ti	ti	titov
tia	रे	ray
tiananmen	त्यानआनमेन	tiananmen
tiara	टिअरा	tiara
tibet	तिब्बत	(proper noun) tibet
tigris	tigris	tigris
tiliaceus	tiliaceus	hoa dam but
tim	दिल	heart
timor	तिमोर	timor
timothy	टिमोथी	timothy
tin	मानना	believe
tinbắc	tinbac	file bac
tincầu	टिन का पुल	file bridge
tinh	परिष्कृत	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinnha	folder: house
tinsông	tinsong	file river
tinthị	tinthi	file: town
tirol	टिरोल	tirol
tisdale	tisdale	tisdale
tish	टिश	(proper noun) tish
tissa	टिस्सा	(proper noun) tissa, as in moggaliputta tissa
tivi	टीवी	television
tizard	tizard	(proper noun) tizard
tiên	पहले	first
tiêu	काली मिर्च	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	खेद	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	usurping	seize
tiến	प्रगति	operate
tiếng	घंटा	language
tiết	अधिक	abstinence/intensity
tiếu	नासमझ	"(should be ""đàm tiếu"") to sneer"
tiềm	संभावित	potential
tiền	पैसा	money (n.)
tiều	tiểu	(proper noun) the name of a poet
tiểu	प्राथमिक	tiểu sử= biography
tiễu	श्री लियू	patrol
tiệc	दावत	party
tiệm	दुकान	shop
tiện	सुविधा	mean
tiệp	आकर्षण	gustav franck
tiệt	स्टेरिलाइज़र्स	sterilize
tncs	जवानी	communist youth union
tngt	दुर्घटनाओं	traffic accidents
tnhh	लि	limited
toang	दराज	fast
tobago	टोबैगो	tobago
toei	toei	toei
tokugawa	तोकुगावा	tokugawa
tokyo	टोक्यो	tokyo, the capital of japan
tokyopop	टोक्योपोप	tokyopop
tomas	टॉमस	(proper noun) tomas
tommy	मामूली सिपाही	tommy
tomoyo	tomoyo	tomoyo
tony	टोनी	tony
toonami	तूनामी	(proper noun) toonami
top	चोटी	top
torino	टोरिनो	torino, as in the italian city
toriyama	तोरियामा	(proper noun) toriyama
tottenham	टी टॉटनहम	tottenham
tourism	पर्यटन	tourism
tourist	पर्यटक	tourist
toyama	तोयामा	toyama
toyota	टोयोटा	(proper noun) toyota
toà	कोर्ट	office
toàn	पूर्ण	entire or whole (adj.)
toán	लेखांकन	team
toát	exudes	to exude or emit, as in sweat (v.)
toạ	अंदर	locate
toại	संतोष	satisfaction
toả	radiating	spread
tp	tp	city
tphcm	tphcm	ho chi minh city
tphồ	tpho	city ho
tpvĩnh	tpvinh	vinh city
tqlc	मरीन	marine
trafalgar	ट्राफलगर	(proper noun) trafalgar
trafford	ट्रैफर्ड	trafford in greater manchester
trai	क्लैम	boy
trang	पेज	a page (n.)
tranh	चित्रों	to compete (v.)
trao	प्रदान करना	reward
trau	में सुधार	polish
tre	बांस	bamboo (n.)
treo	लटकना	hang
tri	त्रि	tri
tribune	ट्रिब्यून	a name
trinh	रों	"(should be ""trinh bạch"") virtuous"
trinidad	त्रिनिदाद	trinidad
trinity	त्रिमूर्ति	trinity
tristan	ट्रिस्टन	tristan
triết	दर्शन	philosophy
triền	ढलानों	"(should be ""triền miên"") endless"
triều	वंश	court
triện	टिकटों	stamp
triệt	बिलकुल	completely
triệu	दस लाख	a million
tro	एश	ashes
troia	troia	troy
trondheim	ट्रॉनहैम	trondheim
trong	में	inside (adv.)
true	सच	true
truman	ट्रूमैन	(proper noun) truman
trung	मध्य	"(term should be ""trung gian"") agent (n.)"
trungnhật	trungnhat	china-japan
truong	truong	truong
truyên	हस्तांतरण	story
truyện	कहानी	story
truân	संकट	arduous
truất	कमी	cancel
truởng	खंड सिर	leader (n.)
truỵ	truỵ	depraved
trà	चाय	tea (n.)
tràm	melaleuca	melaleuca
tràng	पेट	"entire term should be ""truc trang""; means ""rectum"""
trào	आंदोलन	movement
trác	zhuo	trac
trách	जवाबदेही	blame
trái	बाएं	against
trán	माथा	forehead
tráng	लेपित	to coat (v.)
tránh	से बचने	to avoid (v.)
tráo	कपट	tráo trở= liar/betrayal/treacherous
tráp	seabream	casket
trát	वारंट	pile
trâm	ब्रोच	a type of elegant hairpin (n.)
trân	सबसे अच्छा संबंध है	respect
trâu	भैंस	a last name
trãi	बिखरे	trai
trèo	चढ़ाई	climb
trên	पर	above
trình		process
trí	मन	intellectual
trích	उद्धरण	to extract (v.)
trò	खेल	role
tròn	दौर	rounding
trói	बंधा हुआ	tie
trôi	अभिप्राय	afloat
trông	दिखता है	look
trùm	नकाबपोश	cover
trùng	संयोग	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	ठहरने	residence
trúc	संरचनाओं	structure
trăm	सौ	hundred
trăn	अजगर	"(term should be ""trăn trở"") to ponder (v.)"
trăng	चंद्रमा	moon
trĩ	बवासीर	hemorrhoids
trũng	धँसा	medium
trơ	निष्क्रिय	bare
trơn	फिसलाऊ	slippery (adj.)
trư	विद्यालय	a pig (n.)
trưa	दोपहर	noon (n.)
trưng	जनमत-संग्रह	symbolic
trưngcông	trungcong	truongcong
trương	नीति	policy
trước	से पहले	front
trước 	से पहले	front
trướng	फैलावट	expand
trườn	क्रॉल	crawl
trường	स्कूलों	case
trượng	लाठी	a unit of length used in vietnam equal to 4 meters (n.)
trượt	फिसलन	slide
trạch	trach	ze
trại	शिविर	camp
trạm	स्टेशन	station
trạng	शर्त	situation
trạo	trao	trao
trả	वेतन	to return
trải	विस्तार	spread
trảm	मौत की सजा दी	beheaded
trảo	प्रदान करना	trao
trấn	शहर	town
trấu	भूसी	rice skin
trầm	गहरा	depression
trần	नंगा	tran
trầu	पान	trầu
trầy	खरोंच	scratch
trẩy	तीर्थयात्रा	pilgrimage
trẫm	मैं हूं	i
trận	मैच	battle
trật	कमी	order
trắc	निगरानी	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	सफेद	white
trặc	मुसीबत	"entire phrase is ""truc trac""; means ""problem"""
trẻ	युवा	youth
trễ	देर से आना	late
trệ	देरी	bamboo
trị	इलाज	cure
trịnh	समारोह	trịnh, a vietnamese last name
trọ	निवास	motel
trọn	संपूर्ण	whole
trọng	भार	serious
trỏ	इशारा	index
trối	स्वर्ग	last words
trốn	छिपाने	to hide
trống	ड्रम	in
trồi	protruded	to emerge (v.)
trồng	लगाए	plant
trổ	भालू	to burst open or display
trỗi	उद्भव	rise
trội	एक्सेल	better
trộm	चोरी	theft
trớn	गति	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	स्वर्ग	sun
trợ	सरल उपयोग	support
trụ	स्तंभ	universe
trục	अक्ष	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	नंगा	"(term should be ""trơ trụi"") bare (adj.)"
trứ	ट्रू	famous
trứng	अंडे	egg
trừ	ऋण	except
trừng	दंडित	punish
trừu	भेड़	abstract
trữ	रिज़र्व	reserve
trực	कर्तव्य पर	direct
ts	ts	phd
tt	टीटी	news
tua	मूंछ	fringe
tucker	टकर	tucker, an english last name
tudor	ट्यूडर	(proper noun) tudor, as in the tudor family
tukhachevsky	tukhachevsky	(proper noun) tukhachevsky
tulip	ट्यूलिप	tulip
tum	tum	tum
tung	का शुभारंभ किया	release
tupolev	टुपोलेव	tupolev, as in alexei tupolev
tuscan	टस्कन	(proper noun) tuscan
tutsi	तुत्सी	(proper noun) tutsi
tuvalu	तुवालु	(proper noun) tuvalu, a polynesian island nation
tuy	यद्यपि	however
tuyên	राज्यों	"(should be ""tuyên ngôn"") a declaration"
tuyết	हिमपात	snow (n.)
tuyền	tuyền	tuyen
tuyển	चुना गया	recruit
tuyệt	महान	excellent (adj.)
tuân	अनुपालन	comply
tuông	ईर्ष्या	jealous
tuý	दवा	drug
tuần	सप्ताह	week
tuế	मछलियां	years
tuệ	संपत्ति	intelligence
tuốc	टरबाइन	turbine
tuổi	आयु	age
tuộc	ऑक्टोपस	octopus
tuột	खिसकना	slip
tuỳ	अनुकूलन	depend
tv	टीवी	tv
tvb	tvb	tvb
twin	जुड़वां	twin
twitter	चहचहाना	twitter
ty	कंपनियों	company
type	टाइप	type
typhon	typhon	typhon
tà	deviant	we
tài	उपयोगकर्ता	talent (n.)
tàn	विकलांग	dying
tàng	संग्रहालय	"(should be ""bảo tàng"") a museum"
tành	मंच	shatter
tàu	जहाज़	ship
tá	दर्जन	"(term should be ""thiếu tá"") major (n.)"
tách	कप	to separate
tái	फिर से	return
tám	आठ	eight
tán	विस्तार	support
tánh	प्रकृति	life
táp	गोद	to lap at (v.)
táu	जहाज़	ashton
tâm	केंद्र	tâm
tâu	मेरे भगवान!	peach
tây	पश्चिम	western
tâynam	taynam	"(should be ""tây-nam"") southwest"
tã	डायपर	diaper
tét	टीईटी	tet
tê	सुन्न	numb
tên	नाम	name (n.)
tì	विश्राम किया	to lean on (v.)
tìm	तलाश	find
tìmdiệt	timdiet	find-kill
tình	प्यार	sex
tía	बैंगनी	dad
tích	एकीकृत	"(term should be ""tích cực"") to be zealous (adv.)"
tím	बैंगनी	purple
tín	श्रेय	"(entire term should be ""tín dụng"") credit"
tít	शीर्षक	"(term should be ""tít mù"") very far away (adv.)"
tò	जिज्ञासु	curious
tòa	कोर्ट	a court
tòi	सामग्री	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	नव-धर्मांतरितों	tòng, a last name
tóm	सारांश	summary
tô	कार	car
tôi	मैं	i
tôm	झींगा	shrimp
tôn	धार्मिक	venerate
tông	गत्ता	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	जेल	prison
tùng	अतिरिक्त	tung
tùy	रिवाज	depend on
túc	प्रचुरता	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	बैग	pocket
túm	पकड़ा	catch
túng	जरूरत में	confuse
túp	tuff	hut
túy	प्राप्त	"(term should be ""thuần túy"") pure (adj.)"
tý	बहुत	mouse, as in year of the mouse
tăm	दंर्तखोदनी	"(term should be ""tiếng tăm"") reputation"
tăng	वृद्धि	increase
tĩnh	स्थिर	calm
tơi	को	ragged
tư	निवेश	posture
tưng	तुंग	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	ताज़ा	fresh
tương	अपेक्षाकृत	"(term should be ""tương tự"") to be similar to"
tước	शासक	title (n.)
tưới	सिंचाई	irrigation
tướng	मंत्री	prime minister (thu tuong)
tường	दीवार	"a common vietnamese first name; means ""wall"""
tạ	भारोत्तोलन	weight
tạc	नक़्क़ाशीदार	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	पर	survival
tạm	अनंतिम	temporary
tạo	बनाने	create
tạp	जटिल	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	विवरण	describe
tản	रेडिएटर	disperse
tảng	आधार	platform
tấc	बाल बाल	inch
tấm	चादर	mirror
tấn	टन	tan
tấp	एक तरफ घुमाएं	crowded
tất	सब	all
tấu	ताउ	tau
tầm	खेल	range or extent (n.)
tần	आवृत्ति	"(term should be ""tần số"") frequency (n.)"
tầng	फर्श	layer
tầu	जहाजों	ship
tẩm	गर्भवती	soak
tẩy	निकालें	to bleach
tận	लेना	dedicated
tật	पार्किंग	disease
tắc	स्विच	priciple
tắm	स्नान करो	bathing
tắt	बंद कर देते हैं	initial
tặc	अपहर्ताओं	"(term should be ""hải tặc"") a pirate (n.)"
tặng	दान करना	donate
tẻ	कुंठित	lẻ tẻ= scattered
tết	plaited	(proper noun) the vietnamese new year
tếxã	texa	economy - society
tề	आकर्षक	tidy
tể	की अनुमति देता है	lord
tệ	मुद्रा	bad
tệp	फ़ाइल	file
tỉa	ट्रिम	"(term should be ""bắn tỉa"") to snipe"
tỉnh	प्रांत	province
tị	शरणार्थी	refugee
tịch	अध्यक्ष	"(""chủ tịch"") president or chairman"
tọa	निर्देशांक	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	प्रदर्शन	to
tỏa	चमक	radiate
tỏi	लहसुन	garlic
tốc	एक्सप्रेसवे	speed
tốn	उपभोक्ता	to cost (v.)
tống	सेवा की	dispose
tốp	समूह	top
tốt	अच्छा	good
tồi	ग़लत	bad
tồn	एन	exist
tổn	हानि	damage
tổng	संपूर्ण	president
tộc	जातीय	"(term should be ""dân tộc"") a race or people"
tội	पाप	crime
tột	चरम	extreme
tớ	मैं	servant
tới	आने वाले	to the point
tờ	चादर	paper/document
tởm	घृणा करना	disgusting
tục	जारी रखने के लिए	"(term should be ""tập tục"") customs or practices"
tụy	अग्न्याशय	"(term should be ""tận tụy"") devoted (adj.)"
tủ	छाती	shelf
tủi	दया	humiliated
tủy	मज्जा	spine
tức	समाचार	i.e.
từ	से	from
từng	प्रत्येक	each
tử	मौत	lion (su tu)
tửu	शराब	wine
tự	स्वयं	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	सीट	lean
tựu	उपलब्धियों	achievement
tỵ	शरणार्थी	the han name for the year of the snake, according to the chinese zodiac
tỷ	एक अरब	billion
u	यू	tumor
ua	ua	ua
uae	संयुक्त अरब अमीरात	uae
ubuntu	ubuntu	ubuntu
uc	यूसी	uc
uchiha	उचिहा	uchiha
uefa	यूईएफए	uefa
uh	उह	uh
uk	यूके	uk
ukiyoe	ukiyoe	ukiyoe
ukraina	ukraina	ukraine
ulsan	उल्सान	ulsan
umm	उम्म	umm
un	संयुक्त राष्ट्र	(proper noun) un, as in chung un chan of korea
und	und	und
under	अंडर	under
unesco	यूनेस्को	unesco
ung	सड़ा हुआ	cancer
unicorn	एक तंगावाला	unicorn
unit	इकाई	unit
unix	यूनिक्स	unix
up	अप	up
ural	यूराल	ural, as in the ural mountains
urani	यूरेनियम	uranium
uri	uri	uri, a former political party in south korea
uruguay	उरुग्वे	uruguay
usagi	usagi	usagi
usb	यूएसबी	usb
uss	यूएसएस	uss
utah	यूटा	utah
utrecht	उट्रेच	(proper noun) utrecht
uy	uy	"(term should be ""uy lực"") power (n.)"
uyghur	उईघुर	(proper noun) uyghur
uygur	uygur	uygur
uyên	uyên	scholarly
uyển	लचीलापन	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	उज़्बेकिस्तान	uzbekistan
uông	परोसें	uong
uất	uat	busy
uốn	कर्लिंग	to curl (v.)
uống	पीने के लिए	to drink
uổng	uống	vain
v	v	v
va	और	collide
vaccine	टीका	vaccine
vai	कंधा	shoulder
valencia	वालेंसिया	valencia
valentine	वेलेंटाइन	valentine
valley	घाटी	valley
van	वाल्व	"(term should be ""van xin"") to beg (v.)"
vanessa	वैनेसा	vanessa
vargas	वर्गास	(proper noun) vargas
vasari	वसारी	vasari
vay	उधार	borrow
vectơ	वेक्टर	vector
ven	साथ में	"(term should be ""ven biển"") coastal (adj.)"
vendôme	vendôme	vendome
venezia	venezia	venice
venus	शुक्र	venus
verdun	वर्दन	verdun
vermont	वरमोंट	vermont
verona	वेरोना	(proper noun) the city of verona
versailles	वर्साय	(proper noun) versailles
vhs	वीएचएस	vhs
vi	vi	behavior
viagra	वियाग्रा	viagra
victor	विजेता	(proper noun) victor
victoria	विक्टोरिया	victoria, a province of australia
vienna	वियना	(proper noun) vienna, austria
viet	वियतनामी	vietnamese
vietnam	वियतनाम	vietnam
viettel	viettel	viettel
viii	viii	eighth
vijaya	विजया	(proper noun) vijaya
viking	वाइकिंग	viking
villa	विला	villa
villeneuve	villeneuve	(proper noun) villeneuve, a french last name
vinagame	vinagames	vinagame
vinashin	vinashin	vinashin
vince	विन्स	(proper noun) vince, as in vince mcmahon
vincennes	vincennes	vincennes
vincent	विंसेंट	vincent
vinpearl	vinpearl	vinepeal
viqr	viqr	viqr
virginia	वर्जीनिया	(proper noun) virginia, as in the state
virus	वाइरस	virus
virút	वायरस	virus
vissarionovich	vissarionovich	vissarionovich
vista	विस्टा	vista, as in windows vista
vitamin	विटामिन	vitamin
vitruvius	विट्रूवियस	vitruvius
viz	यानी	(proper noun) viz
viêm	सूजन	inflammation
viên	सदस्य	member
viêng	वियनतियाने	vientiane
viêt	लेखन	vietnam
viếng	यात्रा	visit
viết	लिखने	write
việc	काम	thing
viện	अस्पताल	institute
việt	वियतनाम	viet
việtmường	वियतनामी मूंग	muong
việtnga	vietnga	vietnam-russia
việttrung	viettrung	vietnam-china
vn	वीएन	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	vo	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	हाथी	elephant
voip	वीओआईपी	voip
voldemort	वोल्डेमॉर्ट	(proper noun) voldemort, the villain from the harry potter series
von	वॉन	compare
vonfram	टंगस्टन	wolfram
vong	लोगों की मृत्यु	injured
voyager	नाविक	voyager
voọc	लंगूर	a langur (n.)
vtc	vtc	vtc
vu	vu	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	राजा	king
vui	मनोरंजक	happy
vulcan	वालकैन	vulcan
vuông	वर्ग	square
vuốt	पंजा	stroke
vv	आदि	etc.
vy	vy	vy
vyacheslav	व्याचेस्लाव	vyacheslav
và	और	and
vài	कुछ	several
vàm	vam	the mouth of a rivulet (n.)
vàng	पीला	gold
vành	कोरोनरी	coronary
vào	में	into
vá	पैच	patchy
vác	स्लोवाक	to shoulder (v.)
vách	दीवार	wall
vái	व्रत	some
ván	बोर्डिंग	game
váng	चंचल	film
váy	स्कर्ट	skirt
vân	इतने पर	"(term should be ""vân vân"") et cetera"
vây	मुहासिरा करना	encircle
vã	va	rush
vãi	scatterings	to release
vãn	प्रेमालाप	save
vè	crambo	to glance slyly (v.)
vé	टिकट	ticket
vét	निकर्षण	plunder
vê	पेज	tremolo
vì	की वजह से	because
ví	बटुआ	example
vía	chickened	soul
vít	स्क्रू	screw
vò	घड़ा	jar
vòi	नल	tap
vòm	छत	upper jaw
vòng	अंगूठी	around
vó	खुरों	hooves
vóc	डील-डौल	"(should be ""vóc sương"") dew-like or delicate"
vô	धन	"(term should be ""vô số"") countless (adj.)"
vôi	चूना	limestone
võ	सामरिक	martial arts (n.)
võng	खाट	hammock
vùi	दफन	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	क्षेत्र	region
vú	स्तन	breast (n.)
vút	सोरिंग	"entire term should be ""cong vut""; extreme curling"
văn	लेखक	culture
văng	सोफे	a name
vĩ	महान	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	स्थायी	ving
vũ	जगत	armed
vũng	पोखर	vung
vơ	मालदीव	lost
vơi	साथ	ullage
vưu	आप क्वान	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	अपने	reach
vương	राजा	kingdom
vướng	पकड़ा	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	उद्यान	garden
vượn	गिब्बन	gibbon
vượt	पर पहुंच गया	to overcome
vạ	va	unfortunate problem
vạc	देग़	cauldron
vạch	बार	bar
vại	जार	jar
vạn	दस हजार	thousand
vạng	सांझ	twilight
vả	अंजीर	hard
vải	कपड़ा	fabric
vảy	तराजू	scale
vấn	मुद्दों	vấn đề= problem
vấp	ठोकर	stumble
vất	फेंक देना	hard
vần	तुक	spell
vầng	vầng	moon (vang trang)
vẩn	निलंबन	wander
vẩy	परत	scale
vẫn	अब तक	still
vẫy	लहराया	wave
vận	अभियान	active
vắc	टीका	vaccine
vắcxin	टीका	vaccine
vắn	कम	short
vắng	अनुपस्थित	absent
vặn	मरोड़	to twist (v.)
vặt	वर्गीकृत	odd
vẹn	ईमानदारी	complete
vẹt	तोता	parrots
vẽ	रंग	draw
vết	घाव	wound
vểnh	चुभ	warping
vệ	सुरक्षा	"(term should be ""bảo vệ"") to defend (v.)"
vệt	लकीर	streak
vỉa	तेजी	"(term should be ""vỉa hè"") sidewalk"
vịnh	खाड़ी	bay
vịt	बतख़	duck
vọng	दृष्टिकोण	"(term should be ""hy vọng"") hope (n.)"
vọt	सीमा	to spurt out (v.)
vỏ	छाल	shell
vồ	आलोचना करना	"(term should be ""gạch vồ"") a type of brick"
vỗ	थपथपाना	to clap
vội	जल्दी	hurriedly (adv.)
vớ	मौज़ा	"(term should be ""vớ vẩn"") silly (adj.)"
với	साथ	to
vớt	मछली	salvage
vờ	नाटक	"(term should be ""giả vờ"") to pretend (v.)"
vời	महान	wonderful
vở	नोटबुक	"(term should be ""vở kịch"") a play"
vỡ	तोड़ना	break
vợ	पत्नी	wife
vụn	टुकड़ा	debris
vụng	अनाड़ी	covert
vứt	फेंक देना	throw away
vừa	मध्यम	just (adv.)
vừng	तिल	sesame (n.)
vững	कंपनी	firm (adj.)
vực	क्षेत्र	place
vựng	शब्दावली	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	vy	majestic
w	w	w
wa	वा	wa
walt	वॉल्ट	(proper noun) walt, as in walt disney
walter	वाल्टर	walter
walther	वाल्थर	walther
wan	ज़र्द	wan
wang	वैंग	wang
wankel	वान्केल	(proper noun) wankel
wanna	चाहते हैं	wanna
warren	ख़रगोश पालने का बाड़ा	a name
warsaw	वारसॉ	warsaw
warszawa	warszawa	(proper noun) warsaw
washington	वाशिंगटन	(proper noun) washington
wat	वाट	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	watergate	watergate
waterloo	वाटरलू	(proper noun) waterloo
waters	पानी	waters
wayne	वेन	wayne
wcdma	wcdma	w-cdma
weasley	वीसली	weasley, as in ron weasley in the harry potter series
weblog	वेबलॉग	weblog
webmail	वेबमेल	ưebmail
weimar	weimar	(proper noun) weimar
wellington	वेलिंग्टन	wellington
wells	कुओं	wells, as in author orson wells
welsh	welsh	(proper noun) welsh, as in the welsh language
wembley	वेम्बली	wembley, as in wembley stadium
werner	वर्नर	werner
westermarck	westermarck	westermarck
western	पश्चिमी	western
westlife	वेस्टलाइफ	westlife
westview	वेस्टव्यू	westview, as in westview press
wheeler	व्हीलर	a name
widener	विडनर	widener
wien	वियेना	wien
wiener	वीनर	wiener
wifi	वाईफ़ाई	wi-fi, a technology term
wiki	विकि	wiki
wikia	विकिया	a name
wikibooks	विकिबुक्स	(proper noun) wikibooks
wikimapia	विकिमपिया	wikimapia
wikimedia	विकिमीडिया	wikimedia
wikitravel	wikitravel	a name
wild	जंगली	wild
wilder	वाइल्डर	(proper noun) wilder, as in billy wilder
wiley	विले	wiley
willard	विलार्ड	willard
wimbledon	विंबलडन	wimbledon
windows	खिड़कियां	windows
winer	winer	winer
wisconsin	विस्कॉन्सिन	(proper noun) wisconsin
