$	ps	dollars
студентски	estudiante	students
студиен	estudio	studio
студио	estudio	studio
студиото	el estudio	studio
стъкло	vaso	glass
стълб	pilar	column
стъпала	pasos	steps
стъпало	pie	step
стъпка	paso	step
стъпки	pasos	steps
су	su	su
субстанция	sustancia	substance
субтропичен	subtropical	subtropical
суверенитет	soberanía	sovereignty
сула	sula	sulla
султан	sultán	sultan
султана	sultán	sultan
сулфат	sulfato	sulphate
сулфонамид	sulfonamida	sulfonamide
сума	cantidad	amount
сумата	la cantidad	amount
суматра	suma	sumathra
суми	cantidades	amounts
супер	súper	super
суперкупа	super copa	super cup
суров	crudo	crude
суровина	materia prima	material
суровини	materias primas	raw materials
сутра	mañana	sutra
сутрин	por la mañana	morning
сутринта	por la mañana	in the morning
сух	seco	dry
сухи	seco	dry
сухо	seco	dry
сухопътни	tierra	land
суша	sequía	drought
сушата	sequía	drought
сфера	esfera	area
сферата	la esfera	sphere
сфери	esferas	spheres
сферична	esférico	spherical
сформира	formado	founds
схващания	percepciones	concidere
схема	esquema	scheme
схеми	esquemas	schemes
сходен	similar	similar
сходна	similar	similar
сходни	similar	similar
сцена	escena	scene
сцената	el escenario	the scene
сцени	escenas	scenes
счетоводни	contabilidad	accounting
счетоводство	contabilidad	accounting
счетоводството	contabilidad	accounting
счита	considerado	considered
считан	leer	read
считана	considerado	considered
считани	considerado	considered
считат	considerar	considered
събира	recoge	collect
събиране	colección	collect
събирането	colección	collecting
събират	recoger	collected
събитие	evento	event
събитието	el evento	event
събития	eventos	events
събитията	eventos	events
събор	justa	gathering
събота	sábado	saturday
събрани	recogido	collected
събрание	reunión	parliament
събрания	reuniones	assemblies
съвет	consejo	board
съвета	consejo	board
съветници	asesores	councilors
съветска	soviético	world
съветската	el soviético	soviet
съветски	soviético	soviet
съветските	soviético	soviet
съветския	el soviético	world
съветският	el soviético	world
съветското	el soviético	soviet
съветът	el ayuntamiento	board
съвкупност	agregar	aggregate
съвместно	juntos	joint
съвпада	coincide	coincide
съвременен	contemporáneo	contemporary
съвременна	moderno	modern
съвременната	el moderno	the contemporary
съвременни	moderno	modern
съвременните	moderno	contemporary
съвременници	contemporáneos	contemporaries
съвременния	el moderno	modern
съвременно	moderno	modern
съвременното	el moderno	contemporary
съвсем	bastante	completely
съгласие	consentimiento	agreement
съгласни	de acuerdo	agree
съгласно	de acuerdo a	according to
съгласява	acepta	agrees
съгласяват	de acuerdo	agree
съд	corte	court
съда	la cancha	court
съдба	destino	destiny
съдбата	destino	fate
съдебна	judicial	case
съдебната	judicial	judicial
съдебни	judicial	juridical
съдействието	la asistencia	the help
съди	juez	judge
съдия	juez	judge
съдове	vasos	vessels
съдовете	vasos	vessels
съдържа	contiene	contains
съдържание	contenido	ingredients
съдържанието	el contenido	content
съдържат	contiene	contain
съдържащ	que contiene	containing
съдържащи	que contiene	containing
съединени	conectado	united
съединение	compuesto	compound
съединението	el compuesto	unification
съединените	conectado	united
съединения	compuestos	units
съединителна	acoplamiento	unite
съжаление	lo siento	regret
създава	crea	creates
създавайки	creando	creating
създаване	creación	creation
създаването	la creación	creation
създават	crear	create
създадат	crear	create
създаде	creado	make
създаден	creado	created
създадена	creado	created
създадената	creado	established
създадени	creado	created
създадено	creado	created
създал	creado	made
създали	creado	created
създател	creador	founder
съзнание	conciencia	consciousness
съзнанието	conciencia	knowledge
съимператор	co-emperador	saimperator
съкратено	abreviado	abbreviated
съкращение	abreviatura	abbreviation
съкращението	la abreviatura	shortening
съкровище	tesoro	treasure
съкровището	el tesoro	treasure
съм	estoy	am
съмнение	duda	suspects
съмнения	dudas	doubts
сън	dormir	dream
съображения	consideraciones	considerations
съобщава	informes	announce
съобщават	reportado	reported
съобщение	mensaje	message
съобщението	el mensaje	the announcement
съобщения	mensajes	communications
съоръжение	instalación	installation
съоръжения	instalaciones	facilities
съответната	el correspondiente	respective
съответните	lo relevante	relevant, corresponding
съответния	el correspondiente	respecting
съответно	respectivamente	appropriate
съответното	respectivamente	respectively
съответства	corresponde a	corresponds
съответствие	conformidad	according
съотношение	proporción	ratio
съотношението	el radio	proportion
съпроводено	acompañado por	accompanied
съпротива	resistencia	resistance
съпротивата	resistencia	resistance
съпротивление	resistencia	resistance
съпруг	marido	husband
съпруга	esposa	wife
съпругата	la esposa	wife
сър	señor	sir
сърби	serbios	serbs
сърбите	los serbios	serbs
сърбия	serbia	serbia
сървър	servidor	server
сърдечната	cardíaco	heart
сърце	corazón	heart
сърцето	el corazón	heart
със	con	with
съседи	vecinos	neighborhood
съседите	vecinos	neighbors
съседни	vecino	neighboring
съседните	vecino	neighboring
съседство	barrio	proximity
съсловие	clase	class
съсредоточава	enfoca	focus
съсредоточена	enfocado	concentrated
съсредоточени	enfocado	located
съст	comp	ingr. (short of ingredients)
състав	composición	staff
състава	composición	staff
съставен	compuesto	constituent
съставена	compuesto	constituted
съставени	compuesto	up
съставено	compuesto	composed
състави	composiciones	compiled
съставки	ingredientes	ingredients
съставлява	que constituye	accounts
съставляват	constituir	constitute
съставна	compuesto	component
съставя	compone	draw
съставят	maquillaje	compile
състезание	competencia	competition
състезания	competiciones	competitions
състои	consiste	consists
състояние	condición	state
състоянието	la condición	state
състояния	condiciones	conditions
състоят	consistir	consist
състоящ	que consiste	consisting
състояща	que consiste	consisting
сътрудник	asociar	collaborator
сътрудничество	cooperación	cooperation
сътрудничеството	cooperación	collaboration
сътрудничи	coopera	cooperate
съхранени	almacenado	stored
съхранение	almacenamiento	storage
съхранява	historias	preserve
съхраняване	almacenamiento	conservation
съхраняват	almacenado	store
съчетава	combina	combines
съчетание	combinación	combination
съчинения	ensayos	essays
същ	mismo	same
съща	lo mismo	same
същата	lo mismo	the same
същевременно	al mismo tiempo	same time
същества	criaturas	beings
съществена	esencial	essential
съществени	esencial	essential
съществено	esencialmente	substantially
съществителни	sustantivos	nouns
съществителните	sustantivos	nouns
съществително	sustantivo	noun
същество	siendo	being
съществува	existe	there
съществувал	existió	existed
съществувала	existió	existent
съществували	hay un	existed
съществувало	existió	existed
съществуване	existencia	existence
съществуването	existencia	existence
съществуват	existe	there
съществуващи	existente	existing
съществуващите	existente	/
същи	lo mismo	same
същинската	el original	actual
същите	lo mismo	all
същия	lo mismo	/
същият	lo mismo	it
същност	esencia	essence
същността	la esencia	nature
също	también	also
същото	lo mismo	same
съюз	unión	union
съюза	unión	union
съюзи	sindicatos	unions
съюзник	aliado	ally
съюзници	aliados	allies
съюзниците	los aliados	the allies
сюжет	trama	skojet
сюзън	susan	susan
сюлейман	solimán	suleiman
сякаш	como si	as if
сянка	sombra	shadow
сяр	ser	serres
сяра	azufre	sulfur
сярна	azufre	sulphuric
т	t	t
та	y	-th
таблица	mesa	table
тази	éste	this
тайван	taiwán	taiwan
тайланд	tailandia	thailand
таймс	veces	times
тайна	secreto	secret
тайната	el secreto	secret
тайни	misterios	secrets
тайните	los secretos	secret
тайно	secretamente	secretly
така	entonces	thus
такава	tal	such
такива	tal	such
такова	tal	like that
такси	taxi	taxi
такт	tacto	tact
такъв	tal	such
талант	talento	talant
талев	талев	talev
талий	cintura	thallium
там	ahí	there
тамплиерите	los templarios	templars
тангари	tangari	tangari
танзания	tanzania	tanzania
танкове	tanques	tanks
танци	baila	dances
тасос	tasos	thassos
тата	papá	-th
татари	tártaros	tatars
тацит	tácito	tacitus
тв	televisión	tv
твен	dos	twain
творба	trabajo	work
творбата	la obra	work
творби	trabajos	works
творбите	los trabajos	works
творци	creadores	artists
творчество	creatividad	work
творчеството	creatividad	work
твърд	difícil	hard
твърда	difícil	solid
твърде	también	too
твърдение	declaración	statement
твърдения	declaraciones	statements
твърденията	las acusaciones	statements
твърди	reclamación (es	claims
твърдо	firmemente	fully
твърдост	dureza	hard
твърдят	reclamación	claim
те	ellos	ie
театрален	teatral	theatrical
театрални	teatral	theater
театри	teatros	theatres
театър	teatro	theater
театъра	teatro	theater
театърът	el teatro	the theatre
теб	tú	you
тебе	tú	you
тевтони	teutones	teutonians
тегло	peso	weight
теглото	peso	weight
тежестта	el peso	severity
тежка	pesado	heavy
тежката	pesado	hard
тежки	pesado	heavy
тежките	pesado	heavy
тежко	difícil	hard
тежък	pesado	heavy
теза	tesis	thesis
тезата	tesis	thesis
тези	estas	these
тейлър	taylor	taylor
тексас	texas	texas
текст	texto	text
текста	texto	text
текстил	textiles	textile
текстилна	textil	textile
текстилната	textil	textile
текстове	textos	texts
текстовете	los textos	the texts
текстът	el texto	text
тектонски	tectónico	tectonic
тел	tel	tel
тела	cuerpos	body
теламон	telamon	talamon
телата	cuerpos	body
телевизионен	televisión	television
телевизионна	televisión	tv
телевизионни	televisión	tv
телевизионните	televisión	tv
телевизия	televisión	television
телевизията	televisión	television
телескоп	telescopio	telescope
телескопа	telescopio	telescope
телесната	corporal	body
телефонен	teléfono	telephone
телефони	los telefonos	phones
тема	tema	topic
темата	el tema	topic
темза	thames	thames
теми	temas	topics
температура	temperatura	temperature
температурата	la temperatura	the temperature
температури	temperatura	temperatures
температурите	temperaturas	temperatures
температурни	temperatura	temperature
темпове	paso	pace
темуджин	temujin	temujin
тенденции	tendencias	trends
тенденция	tendencia	trend
тенденцията	la tendencia	tendency
тенерифе	tenerife	tenerife
тенис	tenis	tennis
теогония	teogonia	theogony
теодицея	teodicea	teoditsiya
теодор	theodore	theodore
теодорус	theodore	theodorus
теодосий	teodosio	theodosius
теология	teología	theology
теорема	teorema	theorem
теоретична	teórico	theoretic
теоретично	teóricamente	theoretical
теории	teoría	theories
теориите	teorías	theory
теория	teoría	theory
теорията	teoría	theory
теофан	teofanos	theophanes
тепе	tepe	tepe
терапия	terapia	therapy
тераси	gradas	terraces
тератология	teratología	teratology
тервел	tervel	tervel
терен	terreno	field
терена	terreno	terrain
териер	terrier	terrier
териториални	territorial	territorial
териториално	territorialmente	territorial
територии	territorio	territory
териториите	territorios	teritories
територия	territorio	territory
територията	el territorio	teritory
термин	término	term
термина	término	the term
термини	condiciones	terms
терминът	el termino	the term
тесалия	tesalia	thessaly
тесен	estrecho	close
тесла	tesla	tesla
тесни	estrecho	close
тестове	pruebas	tests
тетивата	tendón	tendon
техен	suyo	their
техни	su	their
техника	técnica	technology
техниката	técnica	technique
техники	tecnicas	technics
техните	su	their
техническа	técnico	technical
технически	técnicamente	technical
техния	suyo	their
техният	suyo	their
технологии	tecnologías	technology
технология	tecnología	technology
тец	tec	cgh
тече	fluye	runs
течение	actual	course
течението	la corriente	flow
течения	corrientes	course
течно	líquido	liquid
течност	líquido	fluid
течности	líquidos	liquids
ти	tú	you
тиберий	tiberio	tiberius
тибет	tíbet	tibet
тива	tiva	tiva
тигър	tigre	tiger
тила	espalda	backstab
тим	equipo	tim
тимор	timor	timor
тип	tipo	kind
типа	tipo	similar to
типичен	típico	typical
типичната	lo tipico	typical
типични	típico	typical
типично	típicamente	typical
типове	tipos	types
тираж	circulación	edition
титан	titanio	titan
титаник	titánico	titanik
титла	título	title
титларожденопри	titlarozhdenopri	title at birth
титлата	el título	title
титли	títulos	titles
тих	tranquilo	quiet
тихи	tranquilo	pacific ocean
тихия	tranquilo	quiet
тия	estas	these
тласък	empujar	impetus
тнар	тнар	so-called
то	luego	it
това	esta	this
товарни	carga	freight
тогава	luego	then
тогавашния	el entonces	former
тодор	todor	todor
тодоров	тодоров	todorov
тоест	es decir	namely
този	éste	this
той	él	he
ток	actual	current
тока	actual	electricity
токио	tokio	tokyo
толерантност	tolerancia	tolerance
толкин	tolkien	tolkien
толкова	tanto	so
том	volumen	volume
тома	volumen	volumes
томас	thomas	thomas
тона	montones	tons
топ	parte superior	top
топене	derritiendo	melting
топка	pelota	ball
топката	la pelota	the ball
топки	pelotas	balls
топла	calentar	hot
топлина	calor	heat
топлината	el calor	heat
топло	calentar	warm
точка	punto	spot
точки	puntos	points
точна	preciso	accurate
точната	el exacto	the exact
точни	preciso	accurate
точният	el exacto	accurate
точно	exactamente	exactly
точност	exactitud	accuracy
точността	exactitud	the accuracy
точното	exactamente	exact
тоше	tose	tose
трагедията	la tragedia	tragedy
традиции	tradiciones	traditions
традициите	tradiciones	traditions
традиционен	tradicional	traditional
традиционна	tradicional	tradicional
традиционната	lo tradicional	traditional
традиционни	tradicional	traditional
традиционните	tradicional	traditional
традиционния	lo tradicional	traditional
традиционно	tradicionalmente	traditionally
традиционното	lo tradicional	traditional
традиция	tradicion	tradition
традицията	tradicion	the tradition
трае	tiene una duración	lasts
трайни	durable	permanent
трайно	permanentemente	permanent
траки	camiones	thracians
тракийска	tracio	thracian
тракийската	el tracio	thracian
тракийски	tracio	thracian
тракийските	los tracios	thracian
тракийския	el tracio	thracian
тракийско	tracio	thracian
тракийското	el tracio	thracian
траките	los tracios	thracians
тракия	tracia	trakiya
транзистори	transistores	transistors
трансилвания	transilvania	transylvania
транскрипция	transcripción	transcription
транспозон	transposón	transposons
транспорт	transporte	transport
транспорта	transporte	transport
транспортен	transporte	transport
транспортна	transporte	transportation
транспортната	transporte	transport
транспортни	transporte	transport
трансфер	transferir	transfer
трасето	la ruta	route
трафик	tráfico	traffic
трахеит	traqueitis	tracheitis
траян	trajano	trajan
траяна	trajano	traiana
трева	césped	grass
трендафил	rosa mosqueta	rose
треньор	entrenador	trainer
треньори	entrenadores	coaches
треска	fiebre	fever
трета	tercero	third
третата	el tercero	third
трети	tercero	third
третия	el tercero	third
третият	el tercero	third
трето	tercero	thirdly
третото	el tercero	third
три	tres	three
трима	tres	three
тримата	el tres	three
тринидад	trinidad	trinidad
трир	trier	trier
трите	el tres	three
тритон	tritón	triton
трифон	trifón	trifon
трифонов	trifonov	trifonov
триъгълник	triángulo	triangle
триъгълника	el triangulo	triangle
триъгълници	triangulos	triangle
трогоноподобни	tipo trogon	the trogons, the trogoniformes
троица	trinidad	trinity
трол	troll	troll
трона	trono	throne
тропически	tropical	tropical
тропическите	tropical	tropical
тропични	tropical	tropical
троя	troy	troy
троян	troyano	troyan
троянската	el troyano	trojan
троянски	troyano	troyan
троянския	el troyano	trojan
троянците	los troyanos	trojans
труд	labor	work
труда	labor	labor
труден	difícil	tough
трудни	difícil	difficult
трудно	difícil	dificult
трудности	dificultades	difficulties
трудове	trabajos	writings
трудовете	los trabajos	works
труман	truman	truman
трупа	cadáver	body
трупове	cuerpos	corpses
тръба	tubo	tube
тръби	tubería	tubing
тръгва	hojas	leaves
тръгват	se fueron	leave
тръстика	junco	cane
трябва	debe	must
трябвало	debería	had
трявна	césped	tryavna
ту	tu	tu - technical university // at times
туберкулоза	tuberculosis	tuberculosis
туберкулозата	tuberculosis	tb
тук	aquí	here
тунели	túneles	tunnels
тунис	túnez	tunisia
тур	redondo	tour
турбина	turbina	turbine
туризма	turismo	tourism
туризмът	turismo	tourism
туризъм	turismo	tourism
туристи	turistas	tourists
туристите	turistas	tourists
туристическа	turista	tourist
туристически	turista	touristis
туристическите	turista	tourist
туристическо	turista	tourist
туркменистан	turkmenistán	turkmenistan
турне	excursión	tour
турнета	excursión	tour
турнето	el tour	tour
турнир	torneo	tournament
турнира	torneo	tournament
турнири	torneos	tournaments
турнирите	torneos	tournaments
турска	turco	turkish
турската	el turco	turkish
турски	turco	turkish
турските	turco	turkish
турския	turco	turkish
турският	el turco	turkish
турско	turco	turkish
турското	el turco	the turkish
турци	turcos	turks
турците	los turcos	the turkish
турция	pavo	turkey
туя	thuja	tuya
тч	tch	including
тъга	tristeza	grief
тъй	como	so
тъкан	tejido	tissue
тъкани	tejidos	tissues
тъканите	tejidos	the tissues
тълкувание	interpretación	interpretation
тълпа	multitud	criwd
тъмна	oscuro	dark
тъмната	la oscuridad	dark
тъмни	oscuro	dark
тъмните	los oscuros	dark
тъмно	oscuro	dark
тънки	delgado	thin
тънък	delgado	thin
търбух	barriga	rumen
търговец	comerciante	merchant
търговище	mercado	trgoviste
търговия	comercio	trade
търговията	comercio	the trade
търговска	comercial	commercial
търговската	comercial	commercial
търговски	comercial	commercial
търговските	comercial	commercial
търговско	comercial	commerce
тържествено	solemnemente	officially
търново	tarnovo	tarnovo
търновска	tarnovo	turnovo
търновската	tarnovo	turnovo's
търновски	tarnovo	turnovo
търпи	tolerar	suffers, undergoes
търсене	buscar	search
търсенето	demanda	search
търси	buscando	search
търсят	buscando	search
тюркски	turco	turkic
тютюн	tabaco	tobacco
тя	ella	she
тяло	cuerpo	body
тялото	el cuerpo	body
тясна	estrecho	close
тясно	cercanamente	tight
тях	ellos	them
тяхна	suyo	their
тяхната	suyo	their
тяхно	suyo	their
тяхното	suyo	their
у	y	in
убеден	convencido	convinced
убеждава	convence	convinces
убеждения	creencias	beliefs
убежище	asilo	asylum
убива	mata	kill
убиват	ellos matan	kill
убие	matar	kill
убийства	asesinatos	murders
убийство	asesinato	homicide
убийството	el asesino	murder
убил	delicado	killed
убит	delicado	murdered
убити	matar	murdered
увеличава	aumenta	increase
увеличаване	incrementar	increase
увеличаването	el aumento	increase
увеличават	incrementar	increase
увеличение	aumento	increase
увлича	atrae	fascinated
уволнен	despedido	fired
увреждане	dañar	damage
увреждания	discapacidades	disabilities
удар	soplo	blow
удара	carrera	impact
удари	golpes	hits
удоволствие	placer	pleasure
уеб	web	web
уебсайт	sitio web	website
уелс	gales	wales
уефа	уефа	uefa
ужас	horror	terror
узбекистан	uzbekistán	uzbekistan
уи	уи	uneverste
уик	fin de semana	wick
уики	wiki	wiki
уикипедия	wikipedia	wikipedia
уилям	guillermo	william
уилямс	williams	williams
уинстън	winston	winston
уиски	whisky	whiskey
уискито	whisky	whiskey
указ	decreto	decree
украйна	ucrania	ukraine
украса	decoración	decoration
украсени	decorado	decorated
укрепване	fortalecimiento	strengthening
укрепления	fortificaciones	fortifications
ул	s t	st. (street)
улеснява	facilita	aids
улица	calle	street
улици	calles	streets
улиците	las calles	the streets
ума	mente	mind
умело	hábilmente	skillfully
умения	habilidades	skills
умерен	moderar	temperate
умерено	moderar	temperate
умереноконтинентален	continental templado	mild contitental
умира	muere	dies
умират	ellos mueren	die
умишлено	intencionalmente	deliberately
унгария	hungría	hungary
унгарски	húngaro	hungarian
унгарския	húngaro	hungarian
унгарците	los húngaros	hungarians
университет	universidad	university
университета	universidad	university
университети	universidades	universities
университетски	universidad	university
уникален	único	unique
уникална	único	unique
уникални	único	unique
унищожава	destruye	destroy
унищожаването	destrucción	destroying
унищожават	destruir	destroyed
унищожен	destruido	destroyed
унищожена	destruido	destroyed
унищожени	destruido	destroyed
упадък	disminución	decline
употреба	utilizar	use
употребата	el uso	use
употребява	usos	use
употребяват	utilizar	used
управител	gerente	manager
управители	gerentes	governors
управление	administración	management
управлението	administración	managing
управлява	gestiona	manage
управлявал	gobernado	ruled
управляван	gestionado	operated
управляват	gestionar	manage
управляващата	el fallo	ruling
управляващите	los dictadores	ruling
управници	gerentes	rulers
упражнява	ejercicios	exercise
уравнение	ecuación	equation
урал	урал	ural
уран	uranio	uranium
урбан	urbano	urban
уреди	accesorios	devices
уриниране	micción	urination
уроци	lecciones	lessons
уругвай	uruguay	uruguay
усеща	siente	felt
усещане	sensación	feeling
усилено	intensificado	hard
усилия	esfuerzos	efforts
усилията	esfuerzos	efforts
ускорява	acelera	accelerates
условие	condición	condition
условия	condiciones	conditions
условията	condiciones	conditions
условно	condicionalmente	provisionally
усложнения	complicaciones	complications
услуга	servicio	service
услуги	servicios	services
услугите	servicios	services
успее	podría suceder	succeed
успели	triunfado	succeed
успение	dormir	assumption
успех	buena suerte	success
успеха	el éxito	success
успехи	éxitos	achievements
успехите	éxitos	success
успехът	el éxito	the success
успешен	exitoso	successful
успешна	exitoso	successful
успешни	exitoso	successful
успешно	exitosamente	successfully
успоредни	paralela	parallel
успоредник	comparador	parallelogram
успоредно	en paralelo	alongside
успява	tiene éxito	manage
успяват	ellos triunfaron	fail
успял	triunfado	managed
уста	boca	mouth
установен	establecido	established
установена	establecido	estabilished
установени	establecido	established
установено	establecido	found
установи	establecer	establish
установили	establecido	found
установява	establece	established
установяване	establecimiento	establishment
установяването	el establecimiento	establishment
установяват	establecer	settles
установят	establecer	establish
устата	boca	the mouth
устни	labios	spoken
устройства	dispositivos	devices
устройство	dispositivo	device
устройството	el dispositivo	structure
утаяване	precipitación	sedimentation
утвърждава	afirma	strengthen
ухо	oído	ear
участва	participa	involved
участвал	participó	involved
участвали	participó	involved
участват	participar	participate
участие	participación	participation
участието	participación	participation
участия	participación	participations
участник	partícipe	participant
участници	participantes	players
участниците	participantes	participants
участък	sección	section
участъка	la sección	section
участъци	secciones	sections
учат	enseñar	study
учебни	formación	school
учен	científico	scientist
учени	científicos	scientists
учение	enseñando	doctrine
учението	la doctrina	studying
ученик	estudiante	student
учените	científicos	scholars
ученици	estudiantes	students
учениците	estudiantes	students
учения	enseñanzas	teachings
ученията	las enseñanzas	teachings
учи	aprende	lesson
училища	escuelas	schools
училищата	escuelas	schools
училище	colegio	school
училището	la escuela	school
учител	profesor	teacher
учители	profesores	teachers
учителя	profesores	teacher
учителят	el maestro	the teacher
уши	orejas	ears
ушите	orejas	ushite
ф	f	f.
фабрика	fábrica	factory
фабрики	suerte	factories
фаза	fase	phase
фази	etapas	phases
файлове	archivos	files
факт	hecho	fact
факта	el hecho	fact
факти	hechos	facts
фактически	de hecho	in fact
факто	hecho	facto
фактор	factor	factor factor factor
фактори	factores	factors
факторите	factores	factors
фактът	el hecho	the fact
факултет	facultad	faculty
фамилия	apellido	family
фамилията	la familia	family
фараона	faraón	pharaon
фараоните	los faraones	pharaohs
фауна	fauna	fauna
фауната	fauna	fauna
фашизма	fascismo	fascism
фашизмът	fascismo	fascism
фашизъм	fascismo	fascism
фашистите	los fascistas	the fascists
фашистка	fascista	fascist
фашистката	el fascista	fascist
фашистките	los fascistas	fascist
февруари	febrero	february
февуари	febrero	february
федерална	federal	federal
федерално	federal	federal
федералното	federal	federal
федеративна	federal	federal
федерация	federación	federation
фен	secador de pelo	fan
феновете	aficionados	fans
фенол	fenol	fenol
феномен	fenómeno	phenomenon
феномени	fenómenos	phenomena
фердинанд	fernando	ferdinand
ферментация	fermentación	fermentation
фернандо	fernando	fernando
фестивал	festival	festival
фестивали	festivales	festivals
фетус	feto	fetus
фигура	figura	figure
фигури	cifras	persons
фигурите	las figuras	figures
фиде	tallarines	vermicelli
фидел	fidel	fidel (name)
физика	física	physics
физиката	física	the fisics
физическа	físico	physical
физическата	el fisico	the physical
физически	físicamente	physical
физическо	físicamente	physical
физични	físico	physical
фил	fil	phil
филиал	rama	filial
филиз	brote	shoot
филип	philip	philip
филипините	las filipinas	philippines
филипополис	philippopolis	philippopolis
филм	película	movie
филма	la película	the movie
филми	películas	films
филмите	las películas	films
филмова	película	film
филмови	película	movies
филмография	filmografía	filmography
филмът	la película	the movie
философ	filósofo	philosopher
философи	filósofos	philosophers
философия	filosofía	philosophy
философията	filosofía	philosophy
философска	filosófico	philosophical
философски	filosóficamente	philosophical
фин	aleta	fine
финала	final	final
финали	finales	finals
финансите	finanzas	finance
финансов	financiero	financial
финансова	financiero	financial
финансовата	financiero	financial
финансови	financiero	financial
финансовите	financiero	financial
финансово	financialmente	financial
финикийците	los fenicios	the phoenicians
финландия	finlandia	finland
фирма	empresa	firm
фирмата	la compañia	firm
фирми	compañías	firms
фифа	fifa	fifa
фк	fk	fc
флавий	flavio	flavius
флаг	bandera	flag
фланг	flanco	flag
флоксови	flox	the phlox family
флора	flora	flora
флората	flora	flora
флоренция	florencia	florence
флорида	florida	florida
флот	flota	navy
флота	flota	fleet
флотация	flotación	zflotatsia
фобос	fobos	phobos
фокс	zorro	fox
фолк	gente	folk
фолклор	folklore	folklore
фолклора	folklore	folklore
фолклорен	folklore	folklore
фон	antecedentes	fon
фона	antecedentes	background
фонд	fondo	fund
фондация	fundación	foundation
фондацията	la fundación	foundation
фондове	fondos	funds
форма	formar	form
формално	formalmente	formal
формат	formato	format
формата	formato	shape
формации	formaciones	formations
формация	formación	formation
форми	formas	forms
формира	formas	formed
формирали	formado	formed
формиране	formación	establish
формирането	la formación	formation
формирани	formado	formed
формират	formar	form
формите	formas	forms
формула	fórmula	formula
формулата	la formula	the formula
форт	fuerte	fort
форум	foro	forum
фрагменти	fragmentos	fragments
фраза	frase	phrase
фракции	fracciones	fractions
франк	franco	destroyed
франклин	franklin	franklin
франс	francia	france
франсиско	francisco	francisco
франсоа	francois	francois
франц	francés	franz
франциско	francisco	francisco
франция	francia	france
французите	el francés	the french
фрг	фрг	fgr
фреди	freddy	freddie
френска	francés	french
френската	el francés	the french
френски	francés	french
френските	el francés	french
френския	el francés	the french
френският	el francés	french
френското	el francés	french
фридрих	friedrich	friedrich
фродо	frodo	frodo
фройд	freud	freud
фронт	frente	front
фронта	frente	front
функции	funciones	functions
функциите	funciones	functions
функционална	funcional	functional
функционира	trabajos	function
функциониране	marcha	functioning
функционирането	marcha	operation
функционират	función	function
функция	función	function
функцията	función	function
футбол	fútbol americano	soccer
футбола	fútbol americano	football
футболен	fútbol americano	football
футболист	jugador de fútbol	football player
футболисти	futbolistas	players
футболистите	futbolistas	players
футболна	fútbol americano	football
футболната	fútbol americano	football
футболни	fútbol americano	football
футболът	fútbol americano	the football
фюнес	funes	funes
х	x	x
хавана	la habana	havana
хаджи	haji	hadji
хазарите	los jázaros	khazars
хазната	el tesoro	coffers
хайнрих	heinrich	henrik
хайтов	hait	haitov
халифа	califa	khalifa
халифат	califato	caliphate
хамбург	hamburgo	hamburg
хамилтън	hamilton	hamilton (name)
хамлет	aldea	hamlet
хан	kan	khan
ханс	hans	hans
хаос	caos	chaos
характер	personaje	character
характера	personaje	the character
характерен	característica	charecter
характеризира	caracteriza	characterized
характеризират	caracterizar	characterized
характеристика	característica	characteristic
характеристики	caracteristicas	characteristics
характерна	característica	characteristic
характерните	característica	characteristic
характерно	de rasgo	typical
харесва	gustos	likes
хари	harry	harry
харкър	harker	harcker
хармония	armonía	harmony
харон	charon	charon
хартия	papel	paper
хасан	hasan	hasan
хасково	haskovo	haskovo
хаус	casa	house
хвърля	tiros	throw
хебраистика	hebreo	hebraistics
хектор	héctor	hector
хелий	helio	helium
хематом	hematoma	hematoma
хемингуей	hemingway	hemingway
хемоглобин	hemoglobina	hemoglobin
хемороиди	hemorroides	hemorrhoids
хемус	hemus	hemus
хенри	enrique	henry
хепатит	hepatitis	hepatitis
хера	hera	hera
хераклит	heráclito	heraclitus
херакъл	heracles	hercules
херкулес	hércules	hercules
херман	germán	herman
хермес	hermes	hermes
херодот	herodoto	herodotus
херцеговина	herzegovina	herzegovina
херцог	duque	duke
хетфийлд	hatfield	hetfield
хефест	hefesto	hephaestus
хив	vih	aids
хижа	choza	hut
хил	mil	thousands
хилари	hilario	hillary
хилас	hilas	hilas
хилендарски	hilendar	hilendarski (name)
хиляди	miles	thousands
хилядолетие	milenio	millennium
хилядолетия	milenios	millenia
химикали	productos quimicos	chemicals
химиотерапия	quimioterapia	chemotherapy
химичен	químico	chemical
химическа	químico	chemical
химическата	químico	chemical
химически	químicamente	chemical
химична	químico	chemical
химични	químico	chemical
химичните	químico	chemical
химия	química	chemistry
химията	química	chemistry
химн	himno	anthem
хинаяна	hinayana	hinayana
хипопотамови	hipopótamos	hippopotamidae
хипотеза	hipótesis	hypothesis
хипотезата	la hipótesis	hypothesis
хипотези	hipótesis	hypotheses
хирон	quirón	hiro
хисаря	hisarya	hisarya
хит	golpear	hit
хитлер	hitler	hitler
хитове	golpes	hits
хищници	depredadores	predators
хляб	pan de molde	bread
хобитът	el hobbit	the hobbit
ход	moverse	move
хода	curso	course
ходове	se mueve	moves
ходят	caminar	go
холандия	los países bajos	netherlands
холандски	holandés	netherlands
холестерол	colesterol	cholesterol
холивуд	hollywood	hollywood
холокоста	del holocausto	holocaust
хомеопатични	homeopático	homeopathic
хомеопатичните	homeopático	homeopathic
