$	ps	dollarsign
theologie	teología	theology
theologische	teológico	theological
theoloog	teólogo	theologian
theoretisch	teóricamente	theoretical
theoretische	teórico	theoretical
theorie	teoría	theory
theorieën	teorías	theories
theory	teoría	<english word> theory
therapie	terapia	therapy
there	ahí	there
thing	cosa	gebeurtenis
think	pensar	think
this	esta	this
thomas	thomas	thomas
thora	tora	torah
thriller	novela de suspenso	thriller
thuis	hogar	at home
thuisbasis	base	home
thuishaven	puerto de origen	home port
thuiswedstrijden	juegos caseros	home game
thumb|de	pulgar | de	thumb/the
thumb|een	pulgar | a	thumb|one
thumb|het	pulgar |	thumb it
thumb|left|de	pulgar | izquierda | de	thumb / left / the
thumb|left|px|de	pulgar | izquierda | px | de	thumb
thumb|links|px|de	pulgar | izquierda | px | de	thumb links px de
thumb|px|	pulgar | px |	thumb
thumb|px|de	pulgar | px | de	thumb px de
thumb|px|een	pulgar | px | a	thumb pixel one
thumb|px|het	pulgar | px | it	thumb[px]the
thumb|px|right|de	pulgar | px | derecha | de	thumb px right de
thumb|rechts|px|de	pulgar | derecha | px | de	thumb
thumb|rechts|px|het	pulgar | derecha | px | it	thumb|right|px|it
thumb|right|de	pulgar | derecha | de	thumb right the
thumb|right|px|de	pulgar | derecha | px | de	thumb
thumb|right|px|het	pulgar | derecha | px | it	thumb right px het
tibet	tíbet	tibet
tibetaans	tibetano	tibetan
tibetaanse	tibetano	tibetan
tien	diez	ten
tiende	décimo	tenth
tienduizenden	decenas de miles	tens of thousands
tieners	adolescentes	teens
tientallen	decenas	dozens of
tijd	hora	time
tijde	hora	at the time
tijdelijk	temporal	temporarily
tijdelijke	temporal	temporal
tijden	veces	times
tijdens	mientras	during
tijdgenoten	contemporáneos	contemporaries
tijdje	mientras	a while
tijdlijn	cronograma	timeline
tijdperk	era	era
tijdschrift	revista	magazine
tijdschriften	revistas	magazines
tijdstip	hora del dia	time
tijger	tigre	tiger
tijgers	tigres	tigers
tilburg	tilburg	tilburg
till	hasta que	till
tillend	levantamiento	tillend
tim	tim	tim
timberlake	timberlake	timberlake
time	hora	time
timeaxis	eje temporal	timeaxis
times	veces	times
tin	estaño	tin
tina	tina	tina
tinnitus	tinnitus	tinnitus
titanic	titánico	titanic
titel	título	title
titels	títulos	titles
titelsong	titulo de la canción	title-song
titiaan	tiziano	titian (name)
titus	titus	titus
tm	tm	up to and including
tmf	tmf	tmf
to	a	to
toch	sin embargo	still
tocht	excursión	tour
toe	a	to
toedoen	que hacer	action
toegang	acceso	access
toegankelijk	accesible	accessible
toegediend	administrado	administered
toegekend	concedido	awarded
toegelaten	permitido	admitted/accepted
toegenomen	aumentado	increase
toegepast	aplicado	applied
toegepaste	aplicado	applied
toegeschreven	atribuido	attributed
toegestaan	permitido	permitted
toegevoegd	adicional	add
toegewezen	asignado	assigned
toekomst	futuro	future
toekomstige	futuro	future
toen	luego	then
toenadering	acercamiento	approach
toenam	rosa	increased
toename	incrementar	increase
toeneemt	aumenta	increases
toenemen	incrementar	increase
toenemende	creciente	growing
toenmalig	luego	then
toenmalige	ex	then
toentertijd	en el momento	in those days
toepassen	aplicar	apply
toepassing	solicitud	application
toepassingen	aplicaciones	applications
toerisme	turismo	tourism
toeristen	turistas	tourists
toeristische	turista	tourist
toernooi	torneo	tournament
toernooien	torneos	tournaments
toeschouwers	público	spectators
toespraak	habla	speech
toespraken	discursos	speeches
toestand	estado	situation
toestel	aparato	plane
toestellen	dispositivos	crafts
toestemming	permiso	permission
toetanchamon	tutankamón	tutanchamon
toetreding	adhesión	acces/ joining
toeval	coincidencia	by accident
toevallig	accidentalmente	by accident
toevoegen	añadir	add
toevoeging	adición	addition
toezicht	supervisión	supervision
tokio	tokio	tokyo
tol	peaje	toll
tolerantie	tolerancia	tolerance
tom	tom	tom
tome	a mi	tome
tommy	tommy	tommy
ton	montones	ton
toneel	teatro	stage
toneelstuk	jugar	play
tonen	espectáculo	to show
tong	lengua	tongue
tony	tony	tony
toon	espectáculo	tone
toonde	mostró	showed
toont	muestra	shows
toor	toor	office
top	parte superior	top
topografie	topografía	topography
toppen	brotes	summits
topscorer	máximo anotador	top player
toren	torre	tower
torens	torres	towers
toronto	toronto	toronto
torres	torres	torres
tot	hasta	to
totaal	total	total
totale	total	total
totdat	hasta	till
tournee	excursión	tour
tournees	excursiones	tours
tov	relativo a	in relation to
tower	torre	tower
towers	torres	towers
town	pueblo	stad
tracht	tratar	attempts
trachtte	intentó	attempted
track	pista	track
trad	trad	performed
trade	comercio	trade
traden	comercio	acted
traditie	tradicion	tradition
tradities	tradiciones	traditions
traditioneel	tradicional	traditional
traditionele	tradicional	traditional
trainen	entrenar	to train
trainer	entrenador	trainer
trainers	entrenadores	trainers
training	formación	training
trams	tranvías	trams
transfer	transferir	transfer
transfervrij	transferencia gratis	transfer free
transport	transporte	transport
trap	escalera	stairs
traumatische	traumático	traumatic
treden	pasos	stepping
tree	árbol	tree
treedt	pasos	shall enter into
treffen	golpear	hit
treft	golpes	will
trein	entrenar	train
treinen	trenes	trains
treinstation	estación de ferrocarril	railway station
trek	halar	popular
trekken	tirar	to pull / excentricities
trekt	tira	pulls
trillingen	vibraciones	tremors
trilogie	trilogía	trilogy
trio	trío	threesome
trivia	trivialidades	trivia
troepen	tropas	troops
trof	golpear	found
troje	troy	troy
trok	tirado	pulled
trokken	tirado	moved
troon	trono	throne
tropisch	tropical	tropical
tropische	tropical	tropical
tros	manojo	tros
trots	orgullo	proud
trouw	fiel	"""trouw"" (fidelity/ honesty)"
trouwde	casado	married
trouwe	leal	loyal
trouwen	casar	marry
trouwens	además	moreover
true	cierto	true
tsaar	zar	tsar
tsjechisch	checo	czech
tsjechische	checo	czech
tsjechië	republica checa	czechia
tsjechoslowakije	checoslovaquia	czechoslovakia
tsjernobyl	chernobyl	tsjernobyl
tsunami	tsunami	tsunami
tu	tu	tu (latin!) - you
tuberculose	tuberculosis	tuberculosis
tuin	jardín	garden
tuinen	jardines	gardens
tunesië	túnez	tunisia
tunnel	túnel	tunnel
tunnels	túneles	tunnels
turken	turcos	turks (people from turkey)
turkije	pavo	turkey
turks	turco	turkish
turkse	turco	turkish
turner	gimnasta	turner
tussen	entre	between
tv	televisión	tv
twaalf	doce	twelve
twaalfde	duodécimo	12th
twee	dos	two
tweede	segundo	second
tweeling	gemelo	twins
tweelingen	gemelos	twins
tweemaal	dos veces	twice
tweetal	dos	two
tweeën	dos	twain
twente	twente	twente
twijfel	duda	doubt
twilight	crepúsculo	twilight
twin	gemelo	twin
twintig	veinte	twenty
twintigste	vigésimo	twentieth
twitter	gorjeo	twitter
two	dos	two
type	tipo	type
typen	mecanografía	type
types	tipos	santiago
typisch	típico	typical
typische	típico	typical
u	tú	you
uit	de	out
uitblijven	mantente alejado	failing to / failure
uitbraak	brote	outbreach
uitbreiden	expandir	to expand
uitbreiding	extensión	expansion
uitbreidingen	extensiones	expansions
uitbreken	fugarse	outbreak
uitbrengen	sacar	cast
uitdaging	desafío	challenge
uitdrukkelijk	expresamente	explicit
uitdrukking	expresión	expression
uitdrukkingen	expresiones	expressions
uiteen	aparte	apart
uiteenlopende	diverso	different
uiteenvallen	desmoronarse	collapse
uiteinde	final	end
uiteindelijk	en el final	eventually
uiteindelijke	último	final
uiten	rápido	express
uiteraard	por supuesto	naturally
uiterlijk	apariencia	appearence
uiterlijke	externamente	pageant
uitermate	extremadamente	extremely
uiterst	extremadamente	extremely
uiterste	extremo	extreme
uitg	ed	"publishing company (short for: ""uitgeverij"")"
uitgaan	salir	go out
uitgaansleven	la vida nocturna	nightlife
uitgaat	sale	takes as point of departure
uitgangspunt	punto de partida	starting point
uitgave	edición	edition
uitgaven	gastos	expenditure
uitgebracht	publicado	released
uitgebrachte	publicado	released
uitgebreid	extenso	extensive
uitgebreide	extenso	extensive
uitgedrukt	expresado	expressed
uitgegaan	salido	assumed
uitgegeven	emitido	issued
uitgegroeid	crecido	developed
uitgekomen	hacerse realidad	released
uitgelegd	explicado	explained
uitgenodigd	invitado	invited
uitgeoefend	ejercido	exerted
uitgeput	agotado	exhausted
uitgereikt	galardonado	awarded
uitgeroeid	exterminado	destroyed
uitgeroepen	proclamado	declared
uitgerust	equipado	equiped - 1st sentence, rested - 3rd sentence, equiped - 4th sentence.
uitgeschakeld	apagado	disabled
uitgesloten	excluido	excluted
uitgesproken	pronunciado	explicitly
uitgesteld	pospuesto	postponed
uitgestorven	extinto	extinct
uitgestrekte	expansivo	extended
uitgeverij	editorial	publisher
uitgevoerd	ejecutado	performed
uitgevonden	inventado	invented
uitgewerkt	elaborado	developed
uitgezonden	transmitir	broadcast
uitgezonderd	exceptuado	excepted
uitgroeien	crecer	grow out
uiting	declaración	expression
uitingen	expresiones	expressions
uitkomen	escotilla	to lead out
uitkomst	salir	outcome
uitkwam	se hizo realidad	released
uitleg	explicación	explanation
uitmaakt	importa	being (part of)
uitmaken	disolver	constitute
uitoefenen	ejercicio	to practice
uitrusting	equipo	equipment
uitslag	erupción	result
uitsluitend	exclusivamente	exclusively
uitsluiting	exclusión	exclusion
uitspraak	declaración	judgment
uitspraken	pronunciaciones	statements
uitspreken	pronunciar	pronounce
uitstek	por excelencia	pre-eminently
uitstekend	excelente	excellent
uitstekende	excelente	excellent
uitstraling	apariencia	appearance
uitte	pronunciado	expressed
uitvaart	funeral	ceremony
uitverkocht	agotado	used up
uitvinder	inventor	inventer
uitvinding	invención	invention
uitvindingen	inventos	inventions
uitvoer	salida	export
uitvoeren	llevar a cabo	conduct
uitvoerende	ejecutivo	executive
uitvoering	actuación	implementation
uitvoeringen	actuaciones	performances
uitwendige	exterior	external
uitwerking	elaboración	development
uitwisseling	intercambiar	exchange
uitzending	transmitir	broadcast
uitzendingen	transmisiones	broadcasts
uitzicht	ver	view
uitzondering	excepción	exception
uitzonderingen	excepciones	exceptions
uitzonderlijk	excepcional	exceptionally
uitzonderlijke	excepcional	unique
uk	reino unido	united kingdom
ulcerosa	ulcerosa	ulcerative
ultieme	último	ultimate
un	naciones unidas	un
und	und	und
under	debajo	onder
underground	subterráneo	underground
unesco	la unesco	unesco
unie	unión	union
uniek	único	unique
unieke	único	unique
uniform	uniforme	uniform
union	unión	union
united	unido	united
unityear	unidad	unit year
universal	universal	universal
universeel	universal	universal
universele	universal	universal
universitair	universidad	academic
universitaire	universidad	university
universiteit	universidad	university
universiteiten	universidades	universities
university	universidad	university
universum	universo	universe
up	arriba	"""up"" as in ""up-town"" does not exist in dutch"
upper	superior	upper
uren	horas	hours
urine	orina	urine
uruguay	uruguay	uruguay
us	nos	united states
usa	estados unidos	usa
usb	usb	usb
uss	uss	uss
ussr	la urss	old sovjet political government
ut	utah	university twente
utc	utc	utc
utc+	utc +	utc +
utrecht	utrecht	utrecht
utrechtse	utrechtse	utrecht
uur	hora	hour
uw	tu	your
v	v	v
vaag	vago	vague
vaak	a menudo	often
vaardigheden	habilidades	skills
vaart	velocidad	speed
vaatziekten	enfermedades vasculares	vascular diseases
vacant	vacante	vacant
vaccin	vacuna	vaccine
vaccinatie	vacunación	vaccination
vacht	saco	coat
vacuüm	vacío	vacuum
vader	padre	father
vaderland	patria	homeland
vaders	padres	fathers
vagant	vagante	extravagant
vagina	vagina	vagina
vaginale	vaginal	vaginal
vak	campo	section
vakbonden	sindicatos	unions
vaker	más a menudo	more often
val	otoño	fall
valencia	valencia	valencia
vallei	valle	valley
valleien	valles	valleys
vallen	otoño	to fall
valley	valle	valley
valse	falso	false
valt	caídas	comes - in these particular sentences
valuergb	valuergb	rgb value
van	de	of
vanaf	de	from
vandaag	hoy	today
vandaan	de	"come ( always in connection with another word: ""vandaan komen"": come from"
vandaar	por lo tanto	on that account
vanessa	vanessa	vanessa
vangen	atrapar	catch
vanouds	de edad	traditionally
vanuit	de	out of
vanwege	porque	because of
vanzelf	por sí mismo	as a matter of course
vanzelfsprekend	naturalmente	obvious
varen	vela	to navigate
variant	variante	variant
varianten	variantes	variaties
variatie	variación	variation
variaties	variaciones	variaties
varieert	varía	varies
variëren	variar	vary
variërend	variar	varying
variëteiten	variedades	variations
varkens	cerdos	pigs
varkensgriep	la gripe porcina	swine-flu
vast	fijo	solid
vaste	fijo	solid
vasteland	continente	mainland
vasten	rápido	fasting
vastgehouden	retenida	held
vastgelegd	capturado	defined
vastgesteld	establecido	located
vasthouden	sostener	to hold on to
vaststellen	determinar	identify
vat	barril	barrel
vaticaan	vaticano	vatican
vaticaans	vaticano	vatican
vaticaanstad	ciudad del vaticano	vatican city
vb	p.ej.	eg
vchr	antes de cristo	b.c.
vecht	lucha	vecht (proper name - river - 2nd and 4th sentence), fight (6th sentence)
vechten	lucha	to fight
vee	vacas	cattle
veel	un montón de	many
veelal	a menudo	often,  e.g.: the products are often sweets...etc.
veelgebruikte	comúnmente utilizado	commonly used
veelvuldig	frecuentemente	multiple
veen	turba	veen
veertien	catorce	fourteen
veertiende	decimocuarto	fourteenth
veertig	cuarenta	forty
veeteelt	ganadería	livestock farming
vegas	vegas	vegas
vegetatie	vegetación	vegetation
veilig	seguro	safe
veilige	seguro	safe
veiligheid	la seguridad	security
veiligheidsraad	consejo de seguridad	security council
veld	campo	field
velde	campo	velde - proper noun - surname
velden	campos	fields
veldtocht	campaña	campaign
veldzuring	alazán	dock
vele	muchos	many
velen	muchos	many <referring to people>
veluwe	veluwe	veluwe
venetië	venecia	venice (place)
venezuela	venezuela	venezuela (proper noun - country)
venlo	venlo	seattle
venus	venus	venus
ver	lejos	far
veranderd	cambiado	changed
veranderde	cambiado	changed
veranderden	cambiado	changed
veranderen	cambio	to change
verandering	cambio	change
veranderingen	cambios	changes
verandert	cambios	changes
verantwoordelijk	responsable	responsible
verantwoordelijkheden	responsabilidades	responsibilities
verantwoordelijkheid	responsabilidad	responsibility
verantwoording	responsabilidad	responsiblity
verband	vendaje	connection
verbannen	prohibido	to expel
verbeelding	imaginación	imagination
verbergen	esconder	hide
verbeterd	mejorado	improved
verbeterde	mejorado	improved
verbeteren	mejorar	improve
verbetering	mejora	improvement
verbeteringen	mejoras	improvements
verbieden	prohibir	prohibit
verbinden	para conectar	link
verbinding	enlace	connection
verbindingen	conexiones	connections
verbindt	conecta	binds
verbleef	se quedó	stayed
verblijf	residencia	residence
verblijven	permanecer	staying - 1st sentence, stay - 3rd and 5th sentence
verbod	prohibición	prohibition
verboden	prohibido	forbidden
verbond	pacto	covenant
verbonden	conectado	connected
verbood	prohibido	forbid
verborgen	oculto	hidden
verbouwd	reconstruido	rebuilt
verbrand	quemado	burned
verbranden	para quemar	incinerate
verbranding	combustión	burn
verbroken	roto	terminated
verdacht	suspicaz	suspicious
verdedigd	defendido	defended
verdedigde	defendido	defended
verdedigen	defender	defend
verdediger	defensor	defender
verdedigers	defensores	defenders
verdediging	defensa	defence
verdeeld	dividido	divided
verdeeldheid	división	division
verdelen	dividir	divided
verdeling	distribución	distribution
verder	más lejos	further
verdere	más lejos	further
verdiende	merecido	earned
verdienen	ganar	earn
verdieping	piso	floor
verdiepingen	pisos	deepenings
verdoving	anestesia	anesthetic
verdrag	acuerdo	treaty
verdragen	soportar	treaties
verdreven	expulsado	expelled
verdriet	dolor	sorrow/ sadness
verdrijven	expulsar	to expel
verdrongen	reprimido	repressed
verduren	soportar	endure
verdween	desaparecido	disappeared
verdwenen	desaparecido	disappeared
verdwijnen	desaparecer	disappear
verdwijnt	desaparece	disappears
vereerd	honrado	honored
vereist	necesario	required
vereiste	necesario	required
veren	plumas	feathers
verenigd	unido	united
verenigde	unido	united
verenigen	unir	to unite
vereniging	asociación	union
verenigingen	asociaciones	associations
verering	adoración	worshipping
verf	pintar	paint
verfilming	adaptación cinematográfica	filming
vergadering	reunión	meeting
vergaderingen	reuniones	meetings
vergeleken	comparado	compared
vergelijk	comparar	compare
vergelijkbaar	comparable	comparable
vergelijkbare	comparable	comparable
vergelijken	comparar	compare
vergelijking	comparación	(in) comparison
vergelijkingen	comparaciones	equations
vergeten	olvidar	forget
vergezeld	acompañado	accompanied
vergilius	virgilio	virgil
vergroot	aumenta	increase
vergroten	agrandar	to expand
verhaal	historia	story
verhaallijn	argumento	storyline
verhaallijnen	argumentos	storylines
verhalen	cuentos	story
verhemelte	paladar	canopy
verheven	exaltado	exalted
verhogen	para aumentar	increase
verhoging	elevación	increase
verhoogd	aumentado	increased
verhoogde	aumentado	increased
verhoogt	aumenta	put up
verhouding	proporción	ratio
verhoudingen	relaciones	relationships
verhuisde	movido	moved
verhuizen	alejándose	to move
verjaardag	cumpleaños	birthday
verkeer	tráfico	traffic
verkeerd	incorrecto	wrong
verkeerde	incorrecto	wrong
verkiezing	elección	election
verkiezingen	elecciones	elections
verklaard	declarado	declared
verklaarde	fijado	declared
verklaart	explica	explains
verklaren	declarar	explain
verklaring	declaración	statement
verklaringen	explicaciones	statements
verkocht	vendido	sold
verkochte	vendido	sold
verkoop	rebaja	sales
verkoopcijfers	cifras de ventas	salenumbers
verkopen	vender	sell
verkopende	de venta	selling
verkoper	vendedor	salesman
verkozen	elegido	chosen
verkrachting	violación	rape
verkreeg	adquirido	obtained
verkregen	adquirido	obtained
verkrijgbaar	disponible	available
verkrijgen	ganar	obtain
verlaat	hojas	leaves
verlangen	deseo	desire
verlaten	salir	to leave
verleden	pasado	past
verleend	concedido	granted
verleende	concedido	granted
verlenen	conceder	to grant
verlengd	extendido	prolonged
verlengde	extendido	continuation (1st sentence), extended (4th sentence)
verlicht	iluminado	enlighten
verlichting	encendiendo	enlightment
verliefd	enamorado	fell in love
verliep	fuimos	went
verlies	pérdida	loss
verliest	perder	loses
verliet	izquierda	left
verlieten	izquierda	left
verliezen	perder	losses
verloop	curso	course
verloopt	expira	expires
verloor	perdió	lost
verlopen	caducado	run (5th sentence), are (8th sentence), ran (9th sentence)
verloren	perdió	lost
verlossing	salvación	salvation
verluidt	según se informa	reportedly
vermeden	evitado	avoided
vermeende	presunto	alleged
vermeer	incrementar	multiply
vermeld	mencionar	mentioned
vermelden	mencionar	mention
vermelding	mencionar	mention
vermeldt	menciona	mentions
vermenigvuldigen	multiplicar	multiply
vermijden	evitar	avoid
verminderd	reducido	decreased
verminderde	disminuido	decreased
verminderen	reducir	decrease
vermindering	reducción	reduction
vermindert	disminuye	reduces
vermoed	sospechoso	suspected
vermoedelijk	presumiblemente	probably
vermoeden	sospechar	suspicion
vermoedt	sospechar	suspects
vermoeidheid	fatiga	fatigue
vermogen	poder	ability
vermoord	asesinado	murdered
vermoorden	asesinato	murder
vernietigd	destruido	destroyed
vernietiging	destrucción	destruction
vernietigingskamp	campo de exterminio	extermination camp
vernietigingskampen	campos de exterminio	extermination camps
vernieuwende	innovador	renewed
vernieuwing	renovación	renewal
vernoemd	nombrada	named
verona	verona	verona
verondersteld	supuesto	assumed
veronderstelde	supuesto	assumed
veronderstelling	suposición	assumption
veronica	verónica	veronica
veroordeeld	convicto	convicted
veroordeelde	condenar	convicted
veroordeling	convicción	condemnation
veroorzaakt	causas	caused
veroorzaakte	causado	caused
veroorzaken	porque	cause
verouderde	obsoleto	outdated
veroverd	conquistada	conquered
veroverde	conquistada	conquered
veroverden	conquistada	conquered
veroveren	conquistar	conquer
verovering	conquista	conquest
veroveringen	conquistas	conquers
verpakking	embalaje	packaging
verplaatsen	moverse	move
verplaatst	movido	moved
verplicht	obligado	required
verplichte	obligatorio	mandatory
verplichting	compromiso	obligation
verplichtingen	obligaciones	obligations
verrassend	sorprendente	surprisingly
verrast	sorprendido	surprised
verre	lejos	far
verregaande	de largo alcance	profound
verreweg	con mucho	by far
verricht	conducido	conduct
verrichten	realizar	perform
vers	fresco	fresh
versailles	versalles	versailles
verschaffen	proporcionar	provide
verscheen	aparecido	appeared
verscheidene	varios	different
verscheidenheid	variedad	variety
verschenen	apareció	appeared
verschijnen	a aparecer	appear
verschijning	apariencia	appearance
verschijningsdatum	fecha de publicación	release date
verschijnsel	fenómeno	phenomenon
verschijnselen	fenómenos	appearances
verschijnt	aparece	appears
verschil	diferencia	difference
verschillen	diferencias	differs
verschillend	diferente	different
verschillende	varios	different
verschilt	difiere	differs
verschoof	desplazado	shifted
verse	fresco	fresh
versie	versión	version
versierd	decorado	decorated
versies	versiones	versions
verslaan	derrota	defeat
verslag	reporte	report
verslagen	derrotado	beat
verslaving	adiccion	addiction
verslechterde	deteriorado	deteriorated
versloeg	derrotado	beats
versneld	acelerado	accelerated
versnelde	acelerado	accelerated
verspreid	dispersado	spread
verspreidde	propagar	spread
verspreiden	difundir	spread
verspreiding	propagar	spread
verstaan	entender	catch
verstand	mente	insight
verstandelijke	mental	mental
verstandig	sensato	with sense
verstedelijking	urbanización	urbanisation
versterken	fortalecer	strengthen
versterkt	fortalece	strengthened
versterkte	reforzado	enhanced
verstoord	perturbado	disturbed
verstopt	estreñido	hidden
verstoren	molestar	disturb
verstoring	disturbio	disturbance
verstrekt	previsto	provided
versus	versus	versus
vertaald	traducido	translated
vertaalde	traducido	translated
vertaling	traducción	translation
vertalingen	traducciones	translations
vertegenwoordigd	representado	represented
vertegenwoordigen	representar	represent
vertegenwoordiger	representante	representative
vertegenwoordigers	representantes	representators
vertegenwoordiging	representación	representation
vertegenwoordigt	representa	represents
verteld	dicho	told
vertelde	dicho	told
vertellen	decir	tell
vertelt	dice	tells
verticale	vertical	vertical
vertolkt	interpretado	interpret
vertonen	exposición	show
vertoond	mostrado	shown
vertoonde	desplegado	showed
vertoont	muestra	shows
vertraging	retrasar	delay
vertrek	salida	leave
vertrekken	salir	leave
vertrekt	hojas	leaves
vertrok	izquierda	left
vertrokken	izquierda	left
vertrouwde	de confianza	trusted
vertrouwen	confiar	trust
veruit	con mucho	by far
vervaardigd	fabricado	manufactured
vervaardigde	fabricado	manufactured
verval	decaer	decay
vervallen	cancelado	expire
vervangen	para reemplazar	replaced
vervanger	sustituir	replacer
vervanging	reemplazo	replacement
vervelling	muda	moult
verving	sustituido	replaced
vervoer	transporte	transportation
vervoerd	transportado	transported
vervoeren	transporte	transport
vervolg	continuación	continuation
vervolgd	continuado	continued
vervolgde	continuado	pursued
vervolgen	seguir	follow ups
vervolgens	después de eso	next
vervolging	enjuiciamiento	prosecution
vervreemding	alienación	alienation
vervuiling	contaminación	pollution
vervullen	cumplir	fulfill
vervult	cumple	fulfills
verwacht	esperado	expects
verwachte	esperado	expected
verwachten	esperar	expected
verwachting	expectativa	expectation
verwachtingen	expectativas	expectations
verwachtte	esperado	expected
verwant	relacionado	related to
verwante	relacionado	related
verwantschap	relación	affiliation
verward	confuso	confused
verwarren	confundir	confuse
verwarring	confusión	confusion
verwekkers	patógenos	pathogens
verwerken	procesando	process
verwerking	procesando	processing
verwerkt	procesada	processes
verwerpen	rechazar	reject
verwerven	adquirir	to obtain
verwezen	referenciado	refered
verwierf	adquirido	acquired
verwijderd	eliminado	removed
verwijderen	eliminar	remove
verwijdering	eliminación	widening
verwijst	se refiere	refers
verwijzen	referir	refer
verwijzing	referencia	reference
verwijzingen	referencias	references
verwoert	botín	verwoert - proper noun - surname
verwoest	destruido	destroyed
verwondingen	heridas	injuries
verworpen	rechazado	rejected
verworven	adquirido	acquired
verzamelalbum	álbum recopilatorio	compilation album
verzameld	recogido	collected
verzamelde	recogido	collected
verzamelen	recoger	collect
verzameling	colección	collection
verzamelnaam	nombre colectivo	collectional name
verzet	resistencia	resistance
verzetten	resistirse	resist
verzocht	pedido	requested
verzoek	solicitud	request
verzoening	reconciliación	reconciliation
verzonnen	ficticio	made up
verzorgd	atendido	provided
verzorgde	preocupo por	took care for
verzorgen	cuidar de	provide
verzorging	cuidado	care
verzorgt	cuida	takes care for
verzwakt	dañado	weakened
vestigde	colocado	settled down
vestigden	colocado	settling down
vestigen	asentar	to establish
vestiging	establecimiento	establishment
vestigingen	ramas	offices
vet	gordo	bold
veteranen	veteranos	veterans
vetten	grasas	fats
vetzuren	ácidos grasos	fatty acid
via	mediante	through
viaduct	viaducto	fly-over
vicepresident	vicepresidente	vice president
victor	víctor	victor
victoria	victoria	victoria
video	vídeo	video
videoclip	clip de vídeo	videoclip
videoclips	videoclips	music video
videos	videos	videos
viel	cayó	fell
vielen	cayó	fell
vier	cuatro	four
vierde	cuarto	fourth
vieren	celebrar	to celebrate
viering	celebracion	celebration
vierkant	cuadrado	square
vierkante	cuadrado	square
vietnam	vietnam	vietnam
vietnamese	vietnamita	vietnamese
vietnamoorlog	guerra de vietnam	vietnamwar
vii	vii	vii
vijand	enemigo	enemy
vijanden	enemigos	enemies
vijandige	hostil	hostile
vijf	cinco	five
vijfde	quinto	fifth
vijftien	quince	fifteen
vijftiende	decimoquinto	fifteenth
vijftig	cincuenta	fifty
vikingen	vikingos	vikings
villa	villa	villa
vincent	vincent	vincent
vinci	vinci	vinci
vind	encontrar	find
vinden	encontrar	found
vindt	encuentra	finds
vinger	dedo	finger
vingers	dedos	fingers
virale	viral	viral
virginia	virginia	virginia
virtual	virtual	virtual
virus	virus	virus
virussen	virus	viruses
vis	pez	fish
visie	visión	vision
vissen	pescar	fishes
visserij	pescar	fishery
visuele	visual	visual
vita	vitae	vita
vitamine	vitamina	vitamin
vlaams	flamenco	flemish
vlaamse	flamenco	flemish
vlaanderen	flandes	flanders
vladimir	vladimir	vladimir
vlag	bandera	flag
vlaggen	banderas	flags
vlak	plano	flat
vlakbij	cerca	right by
vlakken	aviones	levels
vlakte	llanura	leveled
vlaktes	llanuras	plains
vlamingen	imperfecciones	flemings
vleermuizen	murciélagos	bats
vlees	carne	meat
vlek	manchar	stain
vlekken	manchas	stains
vleugel	ala	wing
vleugels	alas	wings
vliegen	volar	fly
vliegende	volador	flying
vliegramp	accidente aéreo	plane crash
vliegt	moscas	flies
vliegtuig	avión	airplane
vliegtuigen	aviones	aircraft
vliegveld	aeropuerto	airport
vliegvelden	aeropuertos	airports
vliezen	membranas	webs
vlinder	mariposa	butterfly
vlinders	mariposas	butterflies
vlissingen	vlissingen	vlissingen
vloeibaar	líquido	liquid
vloeibare	líquido	liquid
vloeistof	líquido	liquids
vloek	maldición	curse
vloer	piso	floor
vloog	voló	flew
vloot	flota	fleet
vlucht	vuelo	flight
vluchtelingen	refugiados	fugitives
vluchten	huir	flights
vluchtte	huyó	fled
vluchtten	huyó	fled
vlugt	moscas	flight
vn	naciones unidas	vn
voc	voc	voc
vocht	humedad	fought
vochten	luchado	fought
vochtig	húmedo	moist
vochtige	húmedo	damp
voeding	nutrición	food - 1st sentence, fed - 2nd sentence
voedingsmiddelen	comidas	foods
voedingsstoffen	nutrientes	nutrients
voedsel	comida	food
voegde	adicional	added
voegen	añadir	adding
voelde	sintió	felt
voelden	sintió	felt
voelen	sentir	to feel
voelt	siente	feels
voer	entrar	feed
voerde	argumentó	conducted
voerden	conducido	conducted
voeren	alimentar	carry
voert	realiza	carries/ conduct
voertuig	vehículo	transport
voertuigen	vehículos	vehicles
voet	pie	foot
voetbal	fútbol americano	soccer
voetbalclub	club de fútbol	football
voetbalclubs	clubes de futbol	soccer clubs
voetbalelftal	equipo nacional de futbol	football team
voetballer	jugador de fútbol	soccerplayer
voetballers	jugadores de futbol	soccer players
voeten	pies	feet
voetnoten	notas al pie	footnote
vogel	pájaro	bird
vogels	aves	birds
vol	completo	full
voldaan	satisfecho	satisfy
voldeed	reunió	required
voldemort	mortero lleno	voldemort
voldoen	reunirse	satisfy
voldoende	suficiente	sufficient
voldoet	satisface	satifies
volgde	siga el	followed
volgden	seguido	followed
volgelingen	seguidores	followers
volgen	seguir	follow
volgend	siguiente	following
volgende	el proximo	following
volgens	de acuerdo a	according to
volgorde	orden	order
volgt	sigue	follows
volk	personas	people
volken	naciones	peoples / nations
volkenbond	liga de las naciones	league of nations
volkeren	los pueblos	peoples
volkomen	completamente	completely
volksgezondheid	salud pública	public health
volkskrant	volkskrant	volkskrant
