$	dollar təşkil edib	dollars
لفترة	bir müddət	time period
لفرنسا	fransa üçün	to france
لفظة	söz	pronunciation
لفكرة	bir fikir üçün	the idea
لفلسطين	fələstin üçün	palestine
لفهم	anlamaq üçün	to understand
لقاء	qarşılaşmaq	meeting
لقاح	peyvənd	inoculum
لقب	ləqəb	title
لقبه	ləqəbi	nicknamed
لقتال	döyüşmək	to fight
لقد	var	it was indeed
لقوات	qüvvələrə	for the forces
لقوانين	qanunlar	the laws
لقول	demək	for the saying
لقي	tapıldı	received
لقياس	ölçmək üçün	to measure
لك	sənin üçün	to you
لكتاب	bir kitab üçün	book
لكثرة	çoxdur	due to much
لكثير	çoxları üçün	to a lot
لكرة	bir top üçün	to ball
لكل	hər biri üçün	for each
لكلمة	bir sözlə	to the word
لكم	sənə	to you
لكن	ancaq	but
لكنه	ancaq belədir	but
لكنها	amma o	but is
لكنهم	ancaq onlar	but they/yet they/however, they
لكوكب	bir planet üçün	plant
لكون	kainata	because of the being
لكونه	olmaq üçün	because he
لكي	üçün	to
للأراضي	torpaqlar üçün	lands
للأرض	torpaq üçün	in ground
للأطفال	uşaqlar üçün	to kids
للأمم	xalqların	the nations
للأندية	klublar üçün	to the clubs
للإتحاد	birlik üçün	to the union
للإسلام	i̇slama	with islam
للإشارة	i̇stinad üçün	to point
للإصابة	zədə üçün	to infection
للإمام	i̇mama	for the imam
للإمبراطورية	i̇mperiya üçün	empire
للإنسان	bir insan üçün	for humans
للاتحاد	birlik üçün	union
للاتصالات	telekom	for communications
للاقتصاد	i̇qtisadiyyat üçün	of the economy
للبحث	axtarış üçün	for search
للبحر	dənizə	of the sea
للبشر	i̇nsanlar üçün	to humans
للبلاد	ölkə üçün	to the countries
للتاريخ	tarix üçün	for the chronicle
للتجارة	ticarət	for commerce
للتخلص	qurtulmaq üçün	get rid
للتدخين	siqaret çəkmək üçün	smoking
للتدريب	təlim üçün	training
للتربة	torpaq üçün	soil
للتعبير	i̇fadə etmək üçün	to express
للتعليم	təhsil üçün	for education
للتنمية	i̇nkişaf üçün	development
للثقافة	mədəniyyət üçün	for culture
للثورة	i̇nqilabın	the revolution
للجدل	mübahisəli	to discussion
للجزائر	əlcəzair üçün	to algeria
للجسم	bədən üçün	body
للجمعية	birliyə	to the society
للجمهورية	respublikanın	to the republic
للجميع	hər kəs üçün	for all
للجنة	komissiyaya	of the commission
للجيش	ordu üçün	to the army
للحد	məhdudlaşdırmaq üçün	to limit
للحرارة	qızdırmaq üçün	of temperature
للحرب	müharibə üçün	war
للحركة	hərəkət üçün	movement
للحزب	partiya üçün	to the party (political)
للحصول	almaq üçün	to get
للحفاظ	saxlamaq üçün	to keep
للحكم	mühakimə etmək	to judge
للحكومة	hökümətə	government
للحياة	həyat üçün	life
للحيوانات	heyvanlar üçün	for the animal
للخلافة	ardıcıllıq üçün	caliph
للخليفة	xəlifəyə	caliph
للدراسات	tədqiqatlar üçün	for studies
للدراسة	öyrənmək üçün	for the education
للدفاع	müdafiə etmək	defense
للدلالة	i̇şarə etmək	to point to
للدول	dövlətlərə	for the countries
للدولة	dövlətə	to the country
للدين	din üçün	for the religion
للرئيس	prezidentə	president
للرجال	kişilər üçün	men
للرجل	adam üçün	for the man
للزراعة	kənd təsərrüfatı üçün	for agriculture
للزهرة	çiçək üçün	venus
للسكان	əhali üçün	residents
للسلام	barış	peace
للسلطان	sultana	to the sultan
للسلطة	hakimiyyətə	to the authority
للسيارات	avtomobillər üçün	of cars
للسيطرة	nəzarət etmək	control
للشباب	gənclər üçün	youth
للشعب	i̇nsanlara	for the people
للشمس	günəş üçün	from sun
للشيخ	şeyx	to the sheikh
للصلاة	namaz qılmaq	to pray
للضوء	i̇şıq üçün	to light
للطاقة	enerji üçün	for energy
للطبيعة	təbiətdən	of nature
للطلاب	tələbələr üçün	students
للطيران	uçmaq üçün	aviation
للعالم	dünyaya	for the world
للعام	i̇l üçün	for the year
للعديد	çoxları üçün	to many
للعراق	i̇raq üçün	to iraq
للعرب	ərəblərə	to arab
للعلاج	müalicə üçün	for therapy
للعلم	məlumat üçün	of science
للعلماء	alimlər üçün	for the scientists
للعلوم	elmin	for sciences
للعمل	i̇şləmək üçün	for work
للعناصر	əşyalar üçün	of the elements
للعهد	əhd üçün	throne
للعولمة	qloballaşma üçün	globalization
للغاية	yüksək dərəcədə	to the extreme
للغة	dil üçün	to the language
للفرد	fərdi üçün	for individual
للفنون	sənətlər üçün	for arts
للفيروسات	viruslar üçün	for the viruses
للقارات	qitələrarası	to countries
للقتال	döyüşmək	for fighting
للقدس	qüds üçün	for jerusalem
للقرآن	quran üçün	to the quran
للقرن	əsr boyu	to the century
للقضاء	aradan qaldırmaq üçün	to finish
للقوات	qoşunlar üçün	for the forces
للقيام	etmək	to make
للكتاب	kitab üçün	for books
للكثير	çoxları üçün	to many
للكنيسة	kilsə üçün	for the church
للكواكب	planetlər üçün	for planets
للكوكب	planet üçün	planet
للكويت	küveyt üçün	of kuwait
للماء	su keçirməz	water
للمجتمع	camaata	to the society
للمجلس	şuraya	for the council
للمجموعة	qrup üçün	for the group
للمدينة	şəhər üçün	the madina
للمرة	vaxt üçün	to the time
للمساعدة	kömək etmək üçün	helping
للمستخدمين	i̇stifadəçilər üçün	for users
للمسجد	məscid üçün	for the mosque
للمسلمين	müsəlmanlar üçün	of muslims
للمسيحية	xristianlıq üçün	to christianity
للمغرب	mərakeş üçün	morocco
للملك	padşaha	to the king
للمملكة	səltənət üçün	kingdom
للمنطقة	bölgə üçün	the region
للمواد	materiallar üçün	hypertexts
للموسيقى	musiqi üçün	to music
للمياه	su üçün	for water
للميلاد	ad günü üçün	of birth
للنادي	klub üçün	club
للناس	i̇nsanlar üçün	to people
للنبي	peyğəmbərə	of the prophet
للنساء	qadınlar üçün	for women
للنظام	sistem üçün	to the system
للنفط	yağ üçün	oil
للنقل	transfer üçün	the transportation
لله	allaha	for god
للهجوم	hücum etmək	attack
للوزراء	nazirlərə	minister
للوصول	çatmaq üçün	to reach
للولايات	dövlətlərə	states
لليهود	yəhudilərə	for the jews
لم	hələ yox	not
لما	niyə	what
لماذا	niyə	what
لمجلس	bir taxta üçün	board
لمجموعة	bir qrup üçün	group
لمحاربة	döyüşmək	to fight
لمحاولة	çalışmaq üçün	trial
لمحمد	məhəmmədə	to mohamed
لمختلف	fərqli üçün	different
لمدة	bir müddət	duration
لمدينة	bir şəhər üçün	city
لمرض	xəstəlik üçün	disease
لمساعدة	kömək etmək üçün	help
لمصر	misir üçün	egypt
لمعالجة	ünvan üçün	treatment
لمعرفة	tapmaq üçün	knowledge
لمعظم	çoxu üçün	most
لمكافحة	döyüşmək	counter
لمن	kimin üçün	who
لمنطقة	bir sahə üçün	area
لمنظمة	bir təşkilat üçün	organization
لمنع	qarşısını almaq üçün	prevent
لمواجهة	üzə	facing
لن	olmazdı	will not
لنا	bizə	us
لندن	london	london
لنظام	sistemə	to the system
لنظرية	nəzəriyyə üçün	to the theory of
لنفسه	özü üçün	to himself
لنقل	deyək	to transport
لنكدوك-روسيون	lanqedok-roussillon	lyndoch royston
لنهر	bir çay üçün	for river
له	ona	his
لها	ona	for her
لهتلر	hitler üçün	hitler
لهجات	vurğu	dialects
لهجة	vurğu	accent
لهذا	bunun üçün	so
لهذه	bunun üçün	for this
لهم	onlara	for them
لهما	onlar üçün	to them
لو	əgər	or
لواء	briqada	banner
لوثر	lüter	luther
لوجود	var olmaq üçün	to the presence
لوح	plank	slab
لوحات	rəsmlər	plates
لوحة	boşqab	board
لوزارة	nazirlikə	office
لوس	los	los
لوصف	təsvir etmək üçün	describe
لوضع	qoymaq üçün	situation
لوقا	luka	lucas
لوقف	durmaq üçün	to stio
لولا	lula	unless
لولاية	bir dövlət üçün	to the state
لون	rəng	color
لونه	rəngi	his color
لويس	lewis	louis
لي	mənə	to me
ليالي	s	nighs
ليبرالية	liberal	liberal
ليبيا	liviya	libya
ليتم	ediləcək	to be
ليتو	leto	lito
ليزر	lazer	lazer
ليس	bu deyil	not
ليست	bu deyil	not
ليسوا	deyillər	aren't
ليصبح	olmaq	to be
ليصل	gəlmək üçün	to arrive
ليكون	olmaq	to be
ليلاً	gecələr	by night
ليلة	gecə	night
ليلى	layla	laila , night
لينكون	linkoln	lincoln
لينين	lenin	lenin
ليون	lion	lyon
ليوناردو	leonardo	leonardo
مأهولة	yaşayışlı	uninhabited
مؤتمر	konfrans	conference
مؤخرا	bu yaxınlarda	recently
مؤخراً	bu yaxınlarda	lately
مؤخرًا	bu yaxınlarda	lately
مؤسس	qurucu	founder
مؤسسات	təşkilatlar	foundation
مؤسسة	müəssisə	foundation
مؤشر	i̇ndeks	micher
مؤقتة	müvəqqəti	temporal
مؤكدة	təsdiqləndi	certain
مؤلف	müəllif	composed
مؤلفات	ədəbiyyat	works
مؤلفاته	əsərləri	books
مئات	yüzlərlə	hundreds
مئة	yüz	minna
مئوية	selsi	one hundred
ما	nə	that
مائة	yüz	hundred
مائية	su nişanı	water
مات	öldü	passed away
ماتت	öldü	died
ماجد	məcid	maged
مادة	material	substance
مادية	material	material
ماذا	nədir?	what
مارتن	martin	martin
مارس	mart	practiced
مارك	i̇şarələyin	mark (name)
ماركس	marks	marc
ماركوس	marcus	marcus
ماري	məryəm	mary
ماريا	mariya	maria
مارينر	mariner	marines
ماسنجر	rəsul	messenger
ماعدا	i̇stisna olmaqla	except
مافيا	mafiya	mafia
ماكسويل	maksvell	maxwell
مال	pul	money
مالك	sahib	malek
مالي	mali	financial
مالية	maliyyə	financial
ماليزيا	malayziya	malaysia
مان	adam	man
مانشستر	mançester	manchester
مايكروسوفت	microsoft	microsoft
مايكل	maykl	michael
مايو	may	may
مبابان	mbabane	mubaban
مبادئ	prinsiplər	principles
مبادرة	təşəbbüs	initiative
مباراة	bir matç	match
مبارك	mübarək	mubarak
مباريات	matçlar	matches
مباشر	birbaşa	live
مباشرة	birbaşa	directly
مبدأ	prinsip	principle
مبرهنة	teorem	theorem
مبكر	erkən	early
مبكرة	erkən	early
مبلغ	miqdarı	amount
مبنى	bina	building
مبني	qurulub	building
مبنية	qurulub	based
مبيعات	satış	sales
متابعة	davam edin	followed
متاحة	mövcuddur	accessible
متتالية	küçə	subsequent
متحركة	mobil	motion
متحف	muzey	museum
متحقق	əldə edildi	verified
متخصصة	i̇xtisaslaşmış	specific
متر	metrlər	meter
مترو	metro	metro
متزايد	böyüyür	increasing
متزايدة	böyüyür	increasing
متزوج	ailəlidir	married
متساوية	bərabərdir	equal
متصلة	bağlandı	connected
متطلبات	tələblər	the requirements
متطورة	mürəkkəbdir	developed
متعدد	çoxsaylı	various
متعددة	çoxsaylı	multiple
متفاوتة	müxtəlif	different
متفرقة	səpələnmiş	different
متقدمة	ətraflı	developed
متكررة	tez-tez	repeated
متميزة	fərqli	special
متنوعة	çeşitli	variety
متوسط	orta	average
متوسطة	orta	medium
متوفرة	mövcuddur	available
متى	nə vaxt	when
مثال	nümunə	example
مثل	kimi	such as
مثلا	məsələn	example
مثلاً	məsələn	for example
مثلث	üçbucaq	triangle
مثلما	eynilə	likewise
مثله	bu kimi	like him
مثلها	onun kimi	same as it
مثيرة	həyəcanlı	exciting
مثيل	nümunə	identical
مجاعة	aclıq	famine
مجال	sahə	field
مجالات	sahələr	regions
مجالس	lövhələr	councils
مجتمع	cəmiyyət	community
مجتمعات	i̇cmalar	communities
مجددًا	yenə də	again
مجرة	qalaktika	galaxy
مجرد	sadəcə a	just
مجرى	axın	course
مجلة	jurnal	magazine
مجلس	şura	parliament
مجمع	kompleks	complex
مجمل	ümumilikdə	most
مجموع	cəmi	total
مجموعات	qruplar	groups
مجموعتين	i̇ki qrup	two groups
مجهول	anonim	unknown
مجهولة	naməlum	unknown
مجيء	gəlir	arrival
محاسبة	mühasibat uçotu	accounting
محاطة	ətrafı	surrounded
محافظات	əyalətlər	governor
محافظة	qubernatorluq	province
محاكاة	simulyasiya	simulation
محاكم	məhkəmələr	courts
محاكمة	sınaq	judgement
محاولات	cəhdlər	trials
محاولة	çalışın	attempt
محايدة	neytral	neutral
محدد	xüsusi	precise
محددة	xüsusi	determined
محدود	məhduddur	limited
محدودة	məhduddur	limited
محركات	mühərriklər	engines
محرم	məhərrəm	muharram (name)
محط	stansiya	the focus of
محطات	stansiyalar	stations
محطة	stansiya	station
محفز	katalizator	promoter
محفوظ	saxlandı	mahphoth
محل	yer	place
محلول	losyon	liquid solution
محلي	yerli	local
محلية	yerli	local
محمد	məhəmməd	mohamed
محمدًا	məhəmməd	muhammed
محمود	mahmud	mahmood
محمودية	mahmudiyyə	mahmodiah
محمية	qorunur	protected
محو	silin	erase
محور	axis	axis
محيط	dövr	mohit
مخاطر	risklər	risks
مخالفة	pozuntu	violation
مخاوف	narahatlıqlar	fears
مختلف	fərqlidir	different
مختلفة	fərqlidir	different
مختلفين	i̇ki fərqli	different
مخصصة	xüsusi	dedicated
مخطط	sxem	plan
مخطوطة	əlyazma	document
مخيم	düşərgə	camp
مدارات	orbitlər	orbits
مدارس	məktəblər	schools
مدة	müddəti	period
مدخل	giriş	entrance
مدرسة	məktəb	school
مدريد	madrid	madrid
مدعوم	dəstəklənir	supported
مدن	şəhərlər	cities
مدنها	onun şəhərləri	its cities
مدني	mülki	civil
مدنية	mülki	civil
مدونة	blog	blog
مدى	genişdir	long
مدير	rejissor	manager
مدينة	şəhər	city
مدينتي	mənim şəhərim	the two cities
مذاهب	doktrinalar	sects
مذكرات	qeydlər	notes
مذكراته	qeydləri	his memoirs
مر	artıq	throughout
مرات	times	times
مراجع	i̇stinadlar	references
مراجعة	baxış	review
مراحل	mərhələlər	levels
مراد	murad	morad
مراعاة	diqqət yetirin	observance
مراقب	müşahidəçi	supervisor
مراقبة	monitor	supervising
مراكز	mərkəzlər	centers
مراكش	marrakech	marrakesh
مربع	meydan	square
مرة	bir dəfə	time
مرت	keçdi	passed
مرتبة	tutulmuşdur	rank
مرتبطة	bağlıdır	associated with
مرتفع	yüksək	large
مرتفعات	yüksəkliklər	heights
مرتفعة	yüksək	high
مرتين	i̇ki dəfə	twice
مرحلة	mərhələ	period
مرسوم	fərman	decree
مرصد	rəsədxana	observatory
مرض	xəstəlik	disease
مرضى	xəstə	the patients
مرقس	i̇şarələyin	marqas
مركب	mürəkkəb	boat
مركبات	nəqliyyat vasitələri	vehicles
مركبة	nəqliyyat vasitələri	tangled
مركز	mərkəz	center
مركزا	mərkəz	center
مركزاً	mərkəz	a center
مركزية	mərkəzləşdirmə	central
مركزًا	mərkəzləşmişdir	a center
مرمرة	mərmərə	marmara
مروان	mərvan	marwan (name)
مرور	keçid	prescription
مريم	məryəm	mary
مزارع	fermer	plantings
مزايا	üstünlükləri	advantages
مزيج	qarışıq	mix
مزيد	daha çox	more
مسألة	materiya	case
مسؤول	məsuliyyətlidir	a responsible man
مسؤولة	məsuliyyətlidir	responsible
مسؤولية	məsuliyyət	responsibility
مساء	axşam	after-noon
مسائل	məsələlər	topics
مسابقات	müsabiqələr	competitions
مسابقة	rəqabət	competition
مساجد	məscidlər	mosques
مساحة	məkan	size
مساحتها	onun sahəsi	its area
مسار	yol	route
مساعد	köməkçi	assistant
مساعدة	kömək edin	helping
مسافة	məsafə	distance
مساندة	dəstək	support
مساهمة	töhfə	input
مستخدم	i̇stifadəçi	user
مستخدمي	i̇stifadəçilər	users of
مستشفى	xəstəxana	hospital
مستعمرات	koloniyalar	colonies
مستعمرة	koloniya	colony
مستقبل	gələcək	future
مستقرة	sabitdir	quiet
مستقل	müstəqil	separated
مستقلة	müstəqil	independent
مستمر	davam edir	continuous
مستمرة	davam edir	continuing
مستوطنة	qəsəbə	settlement
مستوى	səviyyə	level
مستويات	səviyyə	levels
مسجد	məscid	mosque
مسح	aydındır	remove
مسرح	teatr	theater
مسرحية	bir pyes	play
مسعود	məsud	masoud
مسقط	muskat	place of birth
مسلسل	seriya	a series
مسلسلات	seriya	series
مسلم	müsəlman	muslim
مسلمة	postulat	muslim
مسلمون	müsəlmanlar	muslims
مسلمين	müsəlmanlar	muslims
مسمى	adlandirilib	name
مسند	ayaq dayağı	masnad
مسيحية	xristian	christianity
مسيرة	mart	march
مسيرته	karyerası	career
مشابه	bənzərdir	similar to
مشابهة	oxşar	similar
مشاة	piyada	infantry
مشاركة	paylaşın	participation
مشاريع	layihələr	projects
مشاعر	hisslər	feelings
مشاعل	alovlar	mechael
مشاكل	problemlər	problems
مشاهد	səhnələr	scenes
مشاهدة	i̇zləyin	watching
مشاهير	məşhurlar	celebrities
مشترك	paylaşdı	common
مشتركة	paylaşdı	share
مشتقة	törəmə	extracted
مشروع	layihə	project
مشعل	məşəl	mashaal
مشكلة	problem	problem
مشهد	dekorasiya	footage
مشهور	məşhur	famous
مشهورة	məşhur	famous
مشيخة	yaşlıdır	mashyakha
مصادر	mənbələr	sources
مصانع	zavodlar	plants
مصحف	quran	qur'an
مصدر	mənbə	source
مصر	misir	egypt
مصرف	bank	bank
مصري	misir	egyptian
مصريات	misir qadınları	egyptology
مصرية	misir	egyptian
مصريون	misirlilər	egyptian
مصطفى	mustafa	mostafa
مصطلح	müddət	term
مصطلحات	şərtlər	expressions
مصلحة	maraq	department
مصنع	zavod	factory
مصنوع	edilib	made of
مصنوعة	edilir	made
مصير	taleyi	destiny
مضادة	sayğac	anti
مضخم	gücləndirici	buffer
مضى	getdi	passed
مضيق	boğaz	narrow
مطابقة	uyğunlaşma	identical
مطار	hava limanı	airport
مطارات	hava limanları	airports
مطالب	tələblər	requirements
مطر	yağış	raining
مطرب	müğənni	singer
مطلة	görünüşlə	overlooking
مطلع	i̇lə tanış	the beginning
مطلقة	boşanmışdır	complete, (divorced)
مظاهر	görünüşlər	manifestations of
مظاهرات	nümayişlər	demonstration
مظهر	görünüş	the look
مع	i̇lə	with
معا	birlikdə	together
معاداة	düşmənçilik	enmity
معارض	göstərir	opposer
معارضة	müxalifət	opposition
معارك	döyüşür	battles
معالجة	emal olunur	treatmant
معالم	mərhələlər	landmarks
معامل	əmsalı	factories
معاملة	müalicə	treatment
معاني	mənaları	connotations
معاهدة	müqavilə	treaty
معاوية	sid	muawiya
معايير	standartlar	standards
معاً	birlikdə	together
معبد	məbəd	temple
معتدل	mülayimdir	moderate
معتدلة	mülayimdir	moderate
معترف	tanıdı	acknowledged
معجزة	bir möcüzə	miracle
معد	yoluxucu	muad (name)
معدات	avadanlıqlar	equipments
معدة	mədə	stomache
معدل	qiymətləndirin	average
معدلات	qiymətlər	rates
معدنية	metal	mineral
معرفة	bilən	knowledge
معركة	bir döyüş	battle
معروف	məlumdur	known
معروفة	məlumdur	known
معسكر	düşərgə	camp
معسكرات	çəkmə düşərgələri	camps
معظم	ən çox	most
معظمها	əsasən	most of them
معظمهم	çoxu	most of them
معقد	kompleks	complex
معقدة	mürəkkəbdir	complicated
معلومات	məlumat	information
معمر	muammar	muammar
معناه	onun mənası	its meaning
معناها	onun mənası	meaning
معنى	mənası	a meaning
معه	onunla	with him
معهد	i̇nstitut	institute
معهم	onlarla	with them
معينة	müəyyən	specific
معًا	birlikdə	together
مغادرة	ayrılmaq	leave
مغامرات	sərgüzəştləri	adventures
مغربي	mərakeş	morracan
مغناطيسي	maqnetikdir	magnetic
مغناطيسية	maqnetikdir	magnetic
مفاعل	reaktor	reactor
مفاهيم	anlayışlar	understandings
مفاوضات	danışıqlar	negotiations
مفتاح	açar	key
مفتوحة	açıq	open
مفتي	müfti	mufti
مفصلة	ətraflı	detailed
مفهوم	anladı	concept
مفيدة	faydalı	useful
مقابر	qəbiristanlıqlar	tombs
مقابل	versus	versus
مقابلة	müsahibə	meeting
مقاتل	bir döyüşçü	warrior
مقارنة	müqayisə et	comparing
مقاطعات	rayonlar	districts
مقاطعة	şəhristanı	county
مقاعد	oturacaqlar	seats
مقال	bir məqalə	article
مقالات	məqalələr	articles
مقالة	bir məqalə	article
مقام	stansiya	tomb
مقاومة	müqavimət	resistance
مقبرة	qəbiristanlıq	cemetary
مقبولة	qəbul edilə bilər	acceptable
مقتل	öldü	assault
مقتله	onu öldürdü	his death
مقدار	miqdarı	amount
مقدسة	müqəddəs	divine
مقدم	təqdimatçı	presented
مقدمة	giriş	front
مقدونيا	makedoniya	macedonia
مقديشيو	moqadişu	mogadishu
مقر	qərargah	residence
مقرا	qərargah	residence
مقرها	əsaslıdır	its place
مقسمة	bölündü	split
مقياس	ölçək	criterion
مكاتب	ofislər	offices
مكافحة	sayğac	counter
مكان	yer	place
مكانة	dayanır	position
مكانته	boyu	position
مكانه	onun yeri	his place
مكانها	onun yeri	it's location
مكة	məkkə	mecca
مكتب	ofis	office
مكتبة	kitabxana	library
مكتوب	yazılıb	written
مكتوبة	yazılıb	follow
مكتوم	muffled	hidden
مكنسة	süpürgə	broom
مكون	komponent	composed
مكونات	komponentlər	components
مكونة	hazırladı	formed
ملاحظات	qeydlər	notes
ملاحظة	qeyd	noticing
ملاك	mələk	owners
ملامح	xüsusiyyətlər	appearances
ملايين	milyonlarla	millions
ملجأ	sığınacaq	shelter
ملحوظ	i̇şarələnib	notice / notable / marked
ملحوظة	qeyd	note
ملعب	uşaq meydançası	field
ملعقة	qaşıq	spoon
ملف	fayl	file
ملفات	fayllar	files
ملك	bir padşah	king
ملكة	kraliça	queen
ملكي	mina	royal
ملكية	mülkiyyət	property
ملكًا	kral	king
ملوك	krallar	kings
مليار	milyard	billion
مليون	milyon	million
مما	nə	so
مماثل	oxşar	similar
مماثلة	oxşar	similer
ممارسة	təcrübə	practicing
ممالك	krallıqlar	kingdoms
مماليك	mamluks	mamluks
ممثل	aktyor	the representative
ممثلة	aktrisa	represented
ممرض	tibb bacısı	nurse
ممكن	mümkündür	possible
ممكنة	mümkündür	possible
مملكة	krallığı	kingdom
ممن	kimdən	from
مميزات	xüsusiyyətlər	destictive features
مميزة	fərqli	unique
من	dən	from
منا	bizdən	from us
مناخ	i̇qlim	atmosphere
منارة	mayak	highlight
منازل	evlər	houses
مناسب	uyğundur	convenient
مناسبة	uyğundur	occasion
مناصب	vəzifələr	positions
مناطق	bölgələr	regions
مناف	manaf	munaf : muslim boy name
منافسة	rəqabət	rivalry
مناقشة	müzakirə	discussion
مناهج	kurikulumlar	curricula
منتج	i̇stehsalçı	producer
منتجات	məhsullar	products
منتخب	milli komanda	national team
منتشرة	səpin	spread
منتصف	orta	in the mid of
منتظم	daimi	regular
منتظمة	daimi	consistent
منح	verilir	giving
منحت	verilir	given
منخفض	aşağı	low
منخفضة	aşağı	low
منذ	bəri	since
منزل	ev	home
منزلة	vəziyyət	descend
منزله	evi	his house
منصب	vəzifə	position
منصبه	ofis	his position
منصور	mənsur	mansur (name)
منطقة	sahə	region
منظمات	təşkilatlar	organizations
منظور	perspektiv	manzour
منع	qarşısın alın	prohibiting
منعت	qarşısı alındı	prevented
منغوليا	monqolustan	mangolia
منها	onlardan	from it
منهج	yanaşma	method
منهم	onlardan	from them
منهما	onlardan	of the two
منى	mona	mina
مني	məndən	from me
منيرة	munira	muneera(name)
مهاجمة	hücum	attaching
مهارات	bacarıqlar	skills
مهام	tapşırıqlar	responsibility
مهد	beşik	cradle
مهدي	mehdi	mahdi
مهرجان	festival	festival
مهم	əhəmiyyətlidir	important
مهما	nə olursa olsun	important
مهمة	əhəmiyyətlidir	important
مهمًا	əhəmiyyətlidir	even
مهنة	karyera	a job
مهندس	mühəndis	engineer
مواجهة	üz	confrontation
مواد	material	materials
موارد	resurslar	resources
مواضيع	mövzular	topics
مواطن	vətəndaş	citizen
مواطني	vətəndaşlarım	the inhabitances
موافقة	tamam	approval
مواقع	saytlar	sites
مواقف	vəzifələr	situations
مواليد	baby boomers	born
موانئ	limanlar	ports
موت	ölüm	death
موته	onun ölümü	his death
موجات	dalğalar	wages
موجة	dalğa	wave
موجودة	mövcuddur	presented
موحد	formalı	unitarian
موحدة	formalı	united
مورد	resurs	case
موريتانيا	mavritaniya	mauritania
موسكو	moskva	moscow
موسم	mövsüm	season
موسوعة	ensiklopediya	encyclopedia
موسوليني	mussolini	mussolini
موسى	musa	moses
موسيقى	musiqi	music
موسيقية	musiqili	musical
موضع	vəzifə	position
موضوع	mövzu	topic
موضي	nəmli	moudhi
موطن	ana səhifə	civilian
موعد	tarix	date
موقع	sayt	website
موقعة	i̇mzalanmışdır	signed
موقعه	onun yeri	position
موقعها	onun yeri	its sight
موقف	vəzifə	situation
موقفه	mövqeyi	his situation
مول	avm	mall
مولاي	moulay	your highness
مولده	doğuşu	born
موليبدنوم	molibden	moulibdnom
مونتانا	montana	montana
مونكو	monko	monko
مياه	su	water
ميت	öldü	dead
ميثاق	nizamnamə	charter
ميثيونين	metionin	memethionine
ميخائيل	maykl	mikhail
ميدان	sahə	field
ميزانية	büdcə	budget
ميزة	üstünlük	feature
ميسي	messi	lionel messi
ميكانيكا	mexanika	mechanics
ميل	millər	tendency
ميلاد	doğuş	born
ميلان	milan	milan
ميلانو	milan	milan
ميلودراما	melodrama	melodrama
ميناء	liman	port
ميونيخ	münhen	munich
مَا	nə	not
مَنْ	kim	who
مِن	dən	from
مِنْ	dən	of
ن	n	n
نائب	müavin	subordinate
ناب	canine	bicuspid
نابلس	nablus	nablus
نابليون	napoleon	napoleon
ناتج	çıxış	output
ناجحة	uğurlu	sucessful
ناحية	əl	way
نادرة	nadir	rare
نادى	çağırın	called
نادي	klub	club
نار	atəş	fire
ناسا	nasa	nasa
ناصر	nasir	nasser
ناطقة	danışan	speaker
نال	aldı	receive
نالت	aldı	got
نانسي	nensi	nances
نايف	naif	nayef
نبات	bitki	plant
نباتات	bitkilər	plants
نبتون	neptun	neptune
نبذة	haqqında	a notice
نبي	bir peyğəmbər	prophet
نبيل	soylu	nabil
نت	xalis	net
نتائج	nəticələr	results
نتاج	məhsul	result
نتج	nəticə	resulted
نتيجة	nəticə	as a result
نجاح	uğur	success
نجاحاً	bir uğur	success
نجاد	əhmədinejad	negad
نجح	bacardı	success
نجحت	bacardım	win
نجد	tapırıq	we find
نجران	nəcran	nagran
نجم	ulduz	star
نجمة	ulduz	star
نجوم	ulduzlar	stars
نجيب	nəcib	naguib
نحن	biz	we are
نحو	doğru	towards
نذكر	qeyd edirik	mention
نرى	baxın	see
نزار	nizar	nazzar
نزل	gəldi	dropped
نزلت	düşdüm	arrived at
نزول	enir	conveying
نساء	qadınlar	women
نسب	nəsil	parentage
نسبة	nisbət	related to
نسبته	onun nisbəti	rate
نسبه	qiymətləndirin	relation
نسبيا	nisbi olaraq	relatively
نسبياً	nisbi olaraq	relatively
نسبيًا	nisbi olaraq	relatively
نستطيع	edə bilərik	we can
نسخ	surəti	naskh
نسخة	surəti	copy
نسل	nəsillər	generation
نسمة	i̇nsanlar	person
نشأ	böyüdü	arise
نشأة	yaradılış	growth
نشأت	yaranmışdır	grown up
نشأته	böyüdüm	his grouth
نشأتها	yarandı	its emerging
نشاط	fəaliyyət	activity
نشاطات	fəaliyyətlər	activities
نشبت	qırıldı	warm up
نشر	göndərilib	spread
نشرت	nəşr olundu	published
نشرها	göndərdi	spread
نشط	aktivdir	worked
نشطة	aktivdir	active
نشوء	təkamül	emergence
نشوب	çıxış	out break of
نص	mətn	text
نصب	çəkmək	nominate
نصر	qələbə	victory
نصف	yarım	half
نصوص	mətnlər	texts
نصيب	paylaşın	share
نصير	dəstək	champion
نطاق	domain	domain
نظام	sistem	system
نظر	baxın	in the eyes
نظرا	verilmişdir	inasmuch
نظراً	verilmişdir	because
نظرة	baxın	looking
نظريات	nəzəriyyələr	theories
نظرية	nəzəriyyə	theory
نظريته	onun nəzəriyyəsi	his theory
نظرًا	çünki	regarding
نظم	sistemlər	systems
نظير	həmyaşıd	an instance
نعرف	bilirik	know
نعيم	naeem	na'eem
نفر	söndürün	one
نفس	eyni	same
نفسه	özü	same
