$ tỉ	$ mil millones	$ billion
muống	cuchara	"(term should be ""rau muống"") water spinach (n.)"
muồi	tarde	ripe
muỗi	mosquito	mosquito
muỗng	cuchara	spoon
muội	hermana	confusion
muộn	tarde	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	myspace	(proper noun) myspace
mà	eso	also
mài	molienda	tomorrow
màn	cortina	curtain (n.)
mành	persianas	a bamboo screen (n.)
mào	cresta	a comb or crest, as in the body part of a bird
màu	color	color
mày	tu	sew
má	mejillas	cheek
mác	etiqueta	a name (marx)
mách	consejos	tell
máclênin	marxelenina	marxist-leninist
mái	techo	"entire term should be ""thoai mai""; means ""comfortable"""
mát	genial	cool
máu	sangre	blood
máy	la maquina	a machine (n.)
mâm	bandeja	tray
mân	rosario	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	contradictorio	contradiction
mây	nube	cloud
mã	codigo	"(term should be ""la mã"") roman (adj.)"
mãi	por siempre	forever (adv.)
mãimại	codigo	commerce
mãn	complaciente	satisfy
mãnh	fuerte	intense
mão	coronas	cat
mè	sésamo	sesame
mèo	gato	cat (n.)
mé	mé	a border
méo	distorsionado	alter
mép	borde	edge
mét	medidor	meter
mênh	vasta	vast
mêtan	metano	methane
mì	fideos	wheat
mình	tu mismo	me
mía	bastón	sugar cane (n.)
mò	hurgó	to grope (v.)
mòn	desgastado	trail
móc	gancho	"(term should be ""máy móc"") machinery (n.)"
món	comida	dish
mô	tejido	mo
môi	labios	lip
môn	asignaturas	anus
mông	las nalgas	mongolia
mônôxít	monóxido	monoxide
môt	uno	"(term should be ""một"") one (n.)"
môtô	motocicleta	motorcycle
mù	ciego	mu
mùa	temporada	season
mùi	el olor	smell
múa	bailar	dance
mút	chupando	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	brotes de bambú	bamboo shoot (n.)
mĩ	américa	america
mũ	gorras	cap
mũi	nariz	nose
mơ	soñar	vague
mơn	patas	caress
mưa	lluvia	rain
mưu	astuto	"(should be ""tham mưu"") advisors"
mươi	cincuenta	tens
mương	zanja	ditch
mướn	contratar	hire
mướt	suave	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	prestado	borrow
mượt	suave	glossy (adj.)
mạc	desierto	"(should be ""mộc mạc"") simple or natural"
mạch	circuito	vessel
mại	comercio	commerce
mạn	lado	romantic
mạnh	fuerte	strong
mạo	articulo	"(should be ""mạo hiểm"") to brave danger"
mạt	ácaros	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	tumbas	tomb or grave (n.)
mải	ocupado	absorbedly
mảng	matriz	genre
mảnh	pieza	piece
mất	perdido	lose
mấu	pestaña	key
mấy	pocos	any
mầm	germen	kindergarten
mầu	color	color
mẩu	pieza	piece
mận	ciruelas	plum
mập	gordo	fat
mật	cariño	intimate
mậu	comercio	mau
mắc	caro	get
mắm	salsa de pescado	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	afortunado	"(term should be ""may mắn"") fortunate (adj.)"
mắng	regañar	scold
mắt	ojos	eye
mặc	llevar	wear
mặn	salado	salt
mặt	cara	face
mẹ	mamá	mother (n.)
mẹo	consejos	trick
mẻ	lote	cool
mẽ	fuerte	strong
mến	querida	to adore or like greatly (v.)
mề	molleja	locket
mềm	suave	soft
mệnh	par	revolution
mệt	cansado	tired
mỉ	meticuloso	meticulous
mỉa	ironía	ironic
mỉm	sonrie	smile
mịch	mierda	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	suave	smooth
mịt	olfatear	dim
mọc	crece	to grow (v.)
mọi	cada	every
mọn	mezquino	lowly
mỏ	minas	mine
mỏi	cansado	tired (adj.)
mỏng	delgado	thin
mốc	mohoso	border
mối	termita	relationship
mốt	moda	fashion or style (n.)
mồ	tumba	"(term should be ""mồ hôi"") sweat (n.)"
mồi	cebo	bait (n.)
mổ	cirugía	to dissect or perform surgery (v.)
mỗi	cada uno	every
mộ	tumba	admire
mộc	carpinteria	simple
mộng	soñar	dream
một	uno	one
mới	nuevo	new (adj.)
mờ	difusa	dim
mời	invitado	invite
mở	abrir	open
mỡ	gordo	fat or grease (n.)
mục	el articulo	purpose
mụn	el acné	pimple
mức	nivel	level
mứt	mermelada	preserve
mừng	contento	to be happy
mửa	vómitos	to vomit (v.)
mực	tinta	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	fideos	noodles (n.)
mỹ	bien	america
mỹcông	america	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	ciervo	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	hombre	male
nambắc	norte	nambac
namibia	namibia	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	folículos	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	colmillos	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleón	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoleón	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	sodio	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarra	navarre
nay	ahora	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	ancla	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neón	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	neto	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	redes	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	neverland	neverland
newcastle	newcastle	newcastle
newspaper	periódico	newspaper
newton	newton	newton
newtons	newtons	(proper noun) newton's
next	siguiente	next
nga	rusia	russia
ngai	trono	crown
ngang	horizontal	horizontal
ngao	almeja	clam (n.)
ngay	enseguida	even
nghe	escuchar	hear
nghinh	nghinh	welcome
nghiêm	severamente	serious
nghiêng	inclinado	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	aplastado	crush
nghiễm	lástima	serious
nghiệm	experiencia	experiment
nghiện	adicto	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	sombrío	adverse
nghành	industria	faculty
nghèo	pobre	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	bienvenido	support
nghìn	mil	thousand
nghĩ	pensamiento	think
nghĩa	significado	meaning
nghẽn	congestión	jam
nghếch	fuerte	stupid
nghề	profesión	career
nghệquận	arte	art district
nghỉ	romper	relaxation
nghị	recomendaciones	think
ngo	delicado	ngo
ngoan	buen chico	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	delicioso	delicious
ngoài	aparte	outside of
ngoại	extranjero	external
ngoạn	impresionante	spectacular
ngoặc	paréntesis	bracket
ngoặt	punto de inflexión	landmark
ngu	estúpido	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	original	reason
nguyền	maldición	curse
nguyện	voto	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	luna	moon
nguôi	calmante	fade away
nguồn	fuente	source
nguời	la gente	people
nguỵ	tontos	camouflage
ngà	marfil	russian
ngàn	mil	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	industria	sector
ngào	dulce	sweet
ngày	dia	day
ngách	nicho	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	estúpido	chinese ethnic group living in the vietnamese highlands near the china border
ngán	aburrido	to be tired of
ngáng	ngáng	stop
ngát	desmayo	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	banco	money
ngây	en blanco	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	cilantro	coriander
ngó	mirar	to look (v.)
ngói	azulejo	tile or shingle
ngón	dedo	a finger (n.)
ngót	contracción	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	idioma	manifesto
ngông	el ganso	eccentric
ngõ	carril	lane
ngùi	oler	sad
ngút	nuez	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	compartimento	prevent
ngũ	cinco	rank
ngơ	ignorado	ignored (adj.)
ngơi	descansar	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	pescador	fishermen
ngưng	parar	stop
ngưu	buey	buffalo
ngươi	tu	an ancient form of address equivalent to thou or thee (n.)
người	la gente	people
ngưỡng	umbral	religious
ngược	al revés	opposite
ngạc	sorprendido	surprise
ngạch	rango	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	banco	bank
ngạnh	púas	self-willed
ngạo	arrogante	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	asfixia	stuffy
ngấm	infundido	draw
ngất	desmayo	unconscious
ngầm	bajo tierra	underground
ngần	dudar	hesitate
ngẩn	atónito	froze
ngẫm	reflexionar	think
ngẫu	al azar	ngẫu nhiên= random
ngậm	pastillas	keep
ngập	inundado	flood
ngắm	viendo	to contemplate or look admiringly at something (v.)
ngắn	corta	short
ngặt	apretado	strict
ngọ	mediodia	horse
ngọc	perla	pearl
ngọn	tapas	top
ngọt	dulce	sweet (adj.)
ngồi	sentado	sit
ngộ	iluminación	ngo
ngột	abruptamente	sudden
ngớ	tonto	silly
ngời	la gente	bright
ngỡ	pensamiento	surprised
ngợi	alabanza	praise
ngợm	travieso	naughty
ngục	mazmorra	dungeon
ngụm	sorbo	sip
ngụy	wei	puppet
ngủ	dormir	sleep
ngủi	corta	"(should be ""ngắn ngủi"") short-lived"
ngứa	picazón	itchy
ngừ	atun	tuna
ngừa	prevenir	prevent
ngừng	parar	to cease (v.)
ngửa	boca arriba	supine
ngửi	oler	to smell
ngữ	discurso	term
ngự	habitar	defend
ngựa	caballos	horse
ngực	el cofre	chest
nha	dentista	dental
nhakẻ	niño	nha-ke
nham	lava	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	incienso	incense
nhanh	rápido	fast
nhat	nhat	nhat
nhen	reavivado	rekindle
nhi	niños	junior
nhiên	por supuesto	tuy nhiên= however
nhiêu	mucho	how many
nhiều	mucho	numerous
nhiễm	infectado	infect
nhiễu	ruido	noise
nhiệm	deber	task
nhiệt	calor	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	necesito	demand
nhuận	saltar	leap year
nhuệ	nhue	elite
nhuộm	teñido	dye
nhàn	inactivo	leisure
nhàng	gentilmente	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	amasar	to fall headlong
nhác	flojo	coward
nhái	clones	illegal copy
nhánh	rama	branch
nháp	borrador	draft
nháy	parpadea	to flash or blink (v.)
nhâm	inmersión	leap
nhã	de buen gusto	"(term should be ""thanh nhã"") elegant"
nhãn	etiqueta	"(term should be ""gán nhãn"") to affix a label"
nhét	escondido	put
nhì	segundo	second (adj.)
nhìn	mirar	to look (v.)
nhí	parloteo	children
nhím	erizo	porcupine
nhòm	mirar	to peep (v.)
nhóc	niño	brat
nhóm	grupo	group (n.)
nhô	sobresaliendo	emerge
nhôm	aluminio	aluminum (n.)
nhúng	incrustado	embed
nhút	tímido	shy
nhăn	arrugado	wrinkle
nhĩ	auricular	turkey
nhũ	emulsión	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	corrupción	bribery
nhơn	multiplicar	nhon
như	tal como	like
nhưng	pero	but
nhương	saliva	(proper noun) vietnamese first name
nhường	ceder	yield
nhưỡng	grasiento	soil
nhược	debilidad	weak
nhượng	concesiones	concession
nhạ	nhạ	nha
nhạc	musica	music
nhạn	tragar	bird
nhạo	burlándose	ridicule
nhạt	pálido	light
nhạy	sensible	sensitive
nhảy	bailar	jump
nhấc	levantar	lift
nhấm	bebiendo	rodent
nhấn	presionando	to press (v.)
nhất	lo mas	most
nhầm	mal	misunderstand
nhầy	viscoso	glutinous
nhẫn	anillos	patient
nhậm	estampado	inaugurate
nhập	entrar	penetrate
nhậu	bebiendo	drink
nhậy	sensible	sensitive
nhắc	pronta	to remind (v.)
nhắm	apuntar	aim
nhắn	el mensaje	message
nhằm	apuntando	for the purpose of (adv.)
nhẵn	suave	smooth
nhặt	recogido	pickup
nhẹ	luz	light
nhẹn	ágil	nhanh nhẹn= fast/nimble
nhị	estambre	sensitive
nhịn	abstenerse	fasting
nhọ	manchado	smear
nhọn	puntiagudo	sharp (adj.)
nhỏ	pequeño	small
nhỏ|cây	pequeño | árbol	small|tree
nhỏ|một	pequeño | uno	small | one
nhỏ|phải|	pequeño | derecho |	small|right
nhỏ|phải|px|	pequeño | derecha | px |	small | have | px |
nhỏ|phải|px|bức	pequeño | derecha | px | fotos	grape / fade / px / buc
nhỏ|phải|px|cây	pequeño | derecha | px | árbol	px spicy grape fade
nhỏ|phải|px|khu	pequeña | derecha | px | zona	small|right|px|area
nhỏ|phải|px|michael	pequeño | derecha | px | michael	small|right|px|michael
nhỏ|phải|px|máy	pequeña | derecha | px | máquina	small | right|px|machine
nhỏ|phải|px|một	pequeño | derecha | px | uno	small|right|px|one
nhỏ|phải|px|quân	pequeño | derecha | px | fuerza	small|right|px|army
nhỏ|px|	pequeño | px |	small
nhỏ|px|các	pequeño | px | el	small
nhỏ|px|phải|kiến	pequeña | px | derecha | hormiga	small | px | right | patience
nhỏ|quân	pequeño | fuerza	small|army
nhỏ|trái|px|máy	pequeña | izquierda | px | máquina	small|left|px|plane
nhỏ|tượng	pequeñas estatuas	small|statue
nhốt	encerrado	confine
nhồi	relleno	cram
nhổ	escupir	uproot
nhộn	hilarante	busy
nhớ	para recordar	remember
nhớt	viscoso	viscid
nhờ	gracias	by
nhờn	grasiento	multiplication
nhở	recordar	remind
nhụ	pellizcar	nhu
nhục	humillado	shame
nhủ	recordatorios	needs
nhức	dolores	pain
nhứt	primero	first (n.)
nhừ	como	tender
những	estos	the
nhựa	plastico	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nikel	nickel
niken	níquel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	nulo	nile
nile	nilo	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	seguridad	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	nitrógeno	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	año	youth
niết	niet	nirvana
niềm	placer	trust
niệm	atención plena	concept
niệu	diuresis	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noah	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	decir	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	joven	mountain
nonpenetrative	no penetrante	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	normando	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	noruega	norway
nou	nou	nou
novak	novak	novak
now	ahora	now
nowc	ahora	nowc
noãn	óvulo	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubia	nubia
number	numero	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	alimentar	feed
nuối	tragar	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	tragar	to swallow (v.)
nuớc	agua	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	insistir	pleading
nàn	se quejó	poor
nành	soja	soy
nào	vamos	would
này	esto	this
ná	ná	a crossbow (n.)
nách	axilas	underarm (n.)
náo	estruendoso	riot
nát	aplastado	ruin
náu	esconderse	hide
nâng	levantamiento	raise
nâu	marrón	brown
nã	nã	to track down (v.)
não	cerebro	brain
né	evitar	dodge
ném	tirar	to throw (v.)
nén	comprimido	compress
nét	golpes	feature
nê	ne	ne
nên	debería	should or ought to
nêu	declarado	mention
nòi	carrera	race
nòng	cañón	barrel
nói	dijo	to say or speak (v.)
nón	sombreros	cone
nóng	caliente	hot
nô	esclavo	slave
nôbita	tobita	nobita
nôi	cuna	cradle
nôm	nôm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	vómitos	vomit
nông	poco profundo	farmer
nõn	pelar	peeled
nùng	nung	nung
núm	perilla	nipple
núp	cubrir	hide
nút	botón	button
năm	año	year
năn	arrepentido	"(term should be ""ăn năn"") remorse (n.)"
năng	poder	"(term should be ""khả năng"") ability (n.)"
nơi	lugar	a place
nơtrino	neutino	neutrino
nước	agua	country
nước 	agua	water
nướng	horneado	grill
nǎm	nǎm	year
nạ	enmascarar	mask
nạc	inclinarse	lean (adj.)
nại	quejarse	complain
nạn	angustia	a disaster (n.)
nạo	legrado	to scrape (v.)
nạp	cargado	tribute
nản	desanimado	depressed
nảy	rebotando	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	hipo	a hiccup (n.)
nấp	esconderse	hide
nấu	cocinar	cook
nấy	esto	this
nần	empujar	debt
nầy	esto	this
nẩy	rebotando	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n sol	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	caliente	busy
nắm	captar	to grasp or hold (v.)
nắng	soleado	sunlight
nắp	tapa	a lid or cover (n.)
nằm	mentiras	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anónimamente	heavy
nặn	apretar	mould
nặng	pesado	heavy
nẻo	otro	turn
nếm	degustación	taste
nến	velas	candle
nếp	pegajoso	sticky rice (n.)
nếu	si	if (adv.)
nề	albañilería	severe
nể	respeto	respect
nện	golpes	ram
nỉ	sentido	beg
nịnh	halagar	flatter
nọ	el otro	the other
nọc	veneno	tadpole
nỏ	ballesta	a crossbow (n.)
nối	conectado	connection
nốt	nota	to finish off (v.)
nồi	maceta	pot
nồm	nuca	humid (adj.)
nồng	concentración	heavy
nổ	explotar	explode
nổi	flotante	nổi tiếng= famous
nỗ	intento	affort
nỗi	eso	state
nộ	ira	anger
nội	interno	on the paternal side (adj.)
nộn	relleno	non
nộp	archivado	submit
nới	relajarse	ease
nở	floreciendo	bloom
nỡ	sincero	do you have a heart to
nợ	deuda	debt
nụy	pistilo	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	corcho	a kind of bamboo (n.)
nứt	agrietado	to crack
nửa	medio	haft
nữa	mas	moreover
oahu	oahu	(proper noun) oahu
oai	pavor	heroic
oakland	oakland	oakland
oan	injusticia	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	octubre	(proper noun) october
oda	oda	oda
oder	oder	oder
odyssey	odisea	odyssey, as in the odyssey, homer's epic
oecd	ocde	oecd
officer	oficial	officer
officers	oficiales	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olimpo	olympus
om	om	to simmer
omar	omar	a name
ong	abeja	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	órgano	organ
oricon	oricon	oricon
origin	origen	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossetia	(proper noun) ossetia
oswald	oswald	oswald
other	otro	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	otomana	(proper noun) ottoman, as in the ottoman empire
outstanding	sobresaliente	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	oxigeno	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	resentimiento	"(term should be ""oán than"") to complain or whine"
oát	vatios	a watt (n.)
oản	oàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistán	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestina	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	pan	pan, as in peter pan
panama	panamá	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panteón	a name
paolo	paolo	paolo
paperback	libro en rústica	paperback
papua	papua	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	parque	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	patriota	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	pares	peers
pele	pelar	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pensilvania	pennsylvania
penny	centavo	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	perry	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	persa	persian
peru	perú	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburgo	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	mezclado	to mix
phaethon	faetón	phaethon
pham	pham	pham
phanh	freno	expose
phao	flotar	float
phaolô	paul	st. paul, the apostle
pharaoh	faraón	pharaoh
pharaon	faraón	pharaoh
phay	fresado	mill
phe	facción	faction
phen	fen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	filipinas	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	filosofias	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	pelicula	phim
phin	filtro	coffee filter
phineas	phineas	(proper noun) phineas
phiên	sesión	trial
phiêu	aventura	adventurous
phiếm	chismear	gossip
phiến	cuchilla	"(should be ""nha phiến"") opium"
phiện	opio	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	ave fénix	(proper noun) phoenix
phong	habitacion	movement
php	php	php
phrygian	frigio	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	descubierto	expose
phun	rociar	to spray or spit (v.)
phà	transbordador	ferry
phàm	mortal	superhuman
phàn	quejarse	complain
phá	rompiendo	destroy
phác	bosquejo	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	latir	manner (n.)
phái	secta	a party
phán	juzgar	judge
pháo	cañón	artillery
pháp	francia	method
phát	transmitir	develop
phèn	alumbre	alum
phèo	phèo	organs
phép	permitido	permit
phê	cafe	"(term should be ""phê bình"") to criticize (v.)"
phêrô	peter	peter
phì	hipertrofia	non-
phình	abultamiento	bulge
phí	cobrar	non-
phía	lado	side
phích	termo	a flask (n.)
phím	clave	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	habitacion	office
phó	diputado	second
phóng	reportero	to launch (v.)
phô	ciudad	display
phôi	lingote	embryo
phông	fuente	font
phùng	soplo	phung
phúc	bendecido	good fortune (n.)
phúclộc	bendecido	phuc-loc
phún	vagabundo	"(term should be ""lún phún"") sparse (adj.)"
phúng	lástima	satire
phút	minuto	a minute (n.)
phăn	traste	phan
phăng	phang	knock
phương	phuong	direction
phước	bendición	luck
phường	sala	ward
phượng	ave fénix	phoenix
phạn	sánscrito	sanskrit
phạt	pena	punish
phả	pedigrí	pedigree
phải	si	must
phải 	si	right
phản	contador	reaction
phảng	plano	subtle
phần	seccion	part
phẩm	productos	food
phẩy	coma	a comma
phẫn	indignado	wrathful
phẫu	cirugía	surgery
phận	destino	part
phật	buda	buddhist
phẳng	plano	flat (adj.)
phế	chatarra	dismiss
phết	difundir	to spread or smear (v.)
phỉ	avellana	defame
phỏng	quemar	interview
phố	calle	city
phối	coordinar	coordinate
phốt	fosfatos	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	inflado	to swell (v.)
phổ	espectro	popular
phổi	pulmones	lung
phộng	cacahuetes	peanut
phới	flotar	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	pho	pho
phục	ropa	convincing
phụng	servir	worship
phụt	soplo	minute
phủ	cubierto	government
phức	complejo	complex
picchu	picchu	a name
piccolo	piccolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	lucio	pike
pin	pin	battery
pinlus	pinlus	pinlus
pioneer	pionero	pioneer
pipes	tubos	pipes
pisa	pisa	a name
piston	piston	piston
pitch	tono	pitch
pius	pío	pius
plaaf	plaaf	plaaf
plan	plan	plan
plasma	plasma	plasma
plate	plato	plate
plato	plato	plato
platon	platon	platon
player	jugador	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	mas	plus
pluto	plutón	pluto
pm	pm	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	polonia	poland
pollack	abadejo	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polinésia	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	maceta	pot
potsdam	potsdam	(proper noun) potsdam
potter	alfarero	(proper noun) potter, as in harry potter
pour	verter	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	primer ministro	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	príncipe	prince
princeton	princeton	princeton
printemps	impresiones	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	premio	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	proyecto	projekt
prometheus	prometeo	(proper noun) prometheus
protein	proteina	protein
prôtêin	proteina	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolomeo	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	pulpa	pulp
