$ tỉ	مليار دولار	$ billion
sứa	قنديل البحر	jellyfish (n.)
sức	القوة	strength
sứt	متكسرة	cleft
sừng	بوق	sừng sững= huge
sử	التاريخ	"(term should be ""sử dụng"") to use (v.)"
sửa	إصلاح	repair
sửng	صدمت	startling
sửu	ثور	cow
sữa	حليب	milk
sự	ال	situation
ta	تا	us or our
tae	تاي	(proper noun) tae
tag	العلامة	tag
tai	أذن	ear
taiji	تايجي	(proper noun) taiji
taipei	تايبيه	taipei
taiwan	تايوان	taiwan
taj	تاج	taj, as in taj mahal
tajikistan	طاجيكستان	tajikistan
tajima	تاجيما	tajima
tajiri	التاجيري	tajiri
takahashi	تاكاهاشي	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	تالي	thallium
taliban	طالبان	taliban
talmud	التلمود	talmud
tam	تام	three (n.)
tamoxifen	تاموكسيفين	tamoxifen
tanaka	تاناكا	tanaka
tang	الحداد	funeral
tanh	مريب	deserted
tankōbon	خزان	tankobon, as in a type of japanese literature
tanzania	تنزانيا	tanzania
tao	أنا	(proper noun) tao, a chinese name
tarim	تريم	tarim
task	مهمة	task
tasman	تاسمان	tasman, as in abel tasman
tasmania	تسمانيا	tasmania, a place
tau	تاو	tau
taxi	تاكسي	taxi
tay	اليدين	hand
taylor	تايلور	taylor
tbt	tbt	tbt
tchad	تشاد	tchad
tcm	الطب الصيني التقليدي	tcm
tcp	برنامج التعاون الفني	tcp
technical	تقني	technical
ted	تيد	(proper noun) ted
teddy	دمية	teddy, as in teddy lupin, a character in the harry potter series
telecom	الاتصالات	telecom
telekom	تليكوم	telekom
telex	تلكس	telex
telnet	التلنت	telnet
tem	ختم	stamp
temple	المعبد	temple
temujin	تيموجين	temujin
temur	تيمور	(proper noun) temur, as in temur oljeitu
tenxơ	كارتل	tensor
teo	ضمور	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	الأقاليم	territories
terry	تيري	terry
terumbu	تيرومبو	(proper noun) terumbu
tet	تيت	tet
texas	تكساس	(proper noun) the state of texas
tgv	تفغ	tgv
tha	ثا	to forgive (v.)
thai	حامل	pregnant
thailand	تايلاند	thailand
tham	جشع	involved
thames	thames	thames
than	فحم	coal
thang	سلم	ladder
thanh	شريط	youth
thani	ثاني	thani
thao	الرياضة	sport
thau	نحاس	a basin (n.)
thay	بدلا من ذلك	change
thcn	thcn	vocational school
thcs	شكرا	secondary
thdq	thdq	thdq
thebes	طيبة	thebes
their	هم	their
them	لهم	plus
then	ثم	key
theo	اتبع	according to
theory	نظرية	thẻoy
theravada	ثيرافادا	theravada
theres	هناك	there
theseus	ثيسيوس	theseus, the greek hero
thi	امتحان	competition (n.)
thich	مثل	explanation
thien	ثين	sky
third	الثالث	thỉd
thiu	تالف	buồn thiu= sad/boring
thiêm	thiêm	thiem
thiêng	مقدس	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	الصفيح	tin
thiến	إخصاء	castrate
thiếp	بطاقة عمل	concubine
thiết	تعيين	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	مفقود	lack
thiềm	المنجل	crescent
thiền	التأمل	buddhist (adj.)
thiển	تظهر	superficial
thiểu	قاصر	minimum
thiện	جيد	good
thiệp	بطاقة تهنئة	intervene
thiệt	حقا	damage
thiệu	مقدمة	"(term should be ""giới thiệu"") to introduce (v.)"
tho	ثو	tho
thoa	داب	combination
thoai	ثوي	gentle
thomas	توماس	thomas
thompson	طومسون	thompson
thong	ثونغ	(proper noun) thong, as in ang thong
those	تلك	those
thoái	رجعي	deterioration
thoán	خمن	usurpation
thoáng	متجدد الهواء	"(term should be ""thoáng qua"") to pass quickly"
thoát	خروج	drainage
thoại	صوت	telephone
thoạt	للوهلة الأولى	just (adv.)
thoả	صفقة	compromise
thoải	مريح	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	من حين لآخر	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	موجه	suddenly
thpt	thpt	high school
thriller	فيلم	thriller
thskts	thskts	phd- architect
thua	تفقد	defeat
thumb|các	الإبهام |	thumb|many
thunderbolt	صاعقة	thunderbolt
thung	الوادي	valley
thuyên	النزوح	a name
thuyết	نظرية	theory
thuyền	قارب	boat
thuê	توظيف	employ
thuần	نقي	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	الصراع	support
thuận	الايجابيات	favourable
thuật	الفن	term
thuế	الضريبة	tax
thuốc	دواء	medicine (n.)
thuộc	تنتمي	belong
thuớc	الماء	"(term should be ""kích thước"") dimensions of an object"
thuờng	عادة	usually
thuở	الطفولة	period
thuỵ	ثوي	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	ثوي	water
thvn	thvn	vietnam television
thy	خاصتك	thy
thà	يفضل	honest
thành	ل	"(term should be ""hình thành"") to take shape"
thày	معلم	teacher
thác	تتالي	harvest
thách	التحدي	challenge
thái	التايلاندية	attitude
thám	المباحث	to spy (v.)
tháng	شهر	month (n.)
thánh	المقدس	a holy person; a saint (n.)
tháo	فك	"(term should be ""tháo chạy"") to run with abandon"
tháp	برج	tower
thâm	مكثف	penetrate
thâu	مسجل	to collect (v.)
thây	انظر	body
thãi	القرف	superabundant
thèm	نتلهف	desire
thép	فولاذ	steel
thét	صرخت	shout
thê	ال	category
thêm	أضف	more
thêu	تطريز	to embroider (v.)
thìa	ملعقة	spoon
thìn	ثم	(proper noun) thìn, the year of the dragon
thình	فجأة	"(term should be ""thình lình"") suddenly"
thí	التجارب	(with word du) for example
thít	ثيت	(proper noun) mân thít, a district in vietnam
thò	مطعون	tho
thòi	عيب	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	الأرز	grain (n.)
thói	عادة	a habit (n.)
thô	خشن	rough, old-fashioned
thôi	هيا	only
thông	علم	"(term should be ""thông thường"") usual (adj.)"
thù	عداء	"entire term should be ""ke thu""; means ""enemy"""
thùng	برميل	barrel
thùy	الفص	thuy
thú	مثير للاهتمام	"(should be ""thích thú"") pleasurable"
thúc	النهاية	push
thúy	ثوي	thuy
thăm	زيارة	visit
thăng	روجت	helicopter
thơm	عطرة	aromatic
thư	حرف	"(term should be ""ung thư"") cancer (n.)"
thưa	عزيزي	sparse
thương	الحب	love
thước	الحاكم	ruler
thường	في كثير من الأحيان	usually (adv.)
thưởng	مكافأة	to reward (v.)
thược	thud	(proper noun) thược
thượng	العلوي	upper
thạc	سادة	master
thạch	هلام	rock or stone (n.)
thạnh	ثانه	thanh
thạo	خبير	fluent
thả	إسقاط	"(term should be ""thả lỏng"") to let loose (v.)"
thải	النفايات	waste
thảm	سجادة	carpet or rug (n.)
thản	هادئ	calmly
thảo	ثاو	"(term should be ""hội thảo"") a workshop (n.)"
thấp	منخفض	low (adj.)
thấu	مخترق	penetrate
thầm	بصمت	"(term should be ""thì thầm"") to whisper (v.)"
thần	إله	"entire term should be ""tinh than""; means ""of the mind"""
thầy	المعلم	teacher (n.)
thẩm	المحلفين	osmotic/leak
thẫm	مظلمة	dark
thận	الكلى	careful
thập	عبر	tens
thật	صحيح	true (adj.)
thắm	البتلة	tham
thắn	بصراحة	frank
thắng	فاز	win
thắngthua	وونثوا	win-lose
thắp	ضوء	light
thắt	ربط	tense
thằn	سحلية	"entire term should be ""than lan""; means ""lizard"""
thằng	غي	a derogatory term for a man (n.)
thẳm	عميق	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	على التوالي	horizontal
thặng	فائض	surplus
thẹn	تخجل	shameful
thẻ	البطاقة	card
thế	لذا	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	فولاذ	steel
thề	أقسم	swear
thềm	الرف	shelf
thể	كن	maybe
thỉnh	في بعض الأحيان	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	رواج	prosperous
thịt	لحم	meat (n.)
thọ	طول العمر	phu tho
thọc	جاب	jab
thỏ	أرنب	rabbit
thỏa	اتفاق	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	سبيكة	a bar (n.)
thối	فاسد	smelly
thốt	تلفظ	scream
thồ	حزمة	to transport via horse (v.)
thổ	الأرض	"(term should be ""lãnh thổ"") territory (n.)"
thổi	لتفجير	blow
thớt	لوح التقطيع	sparse
thời	الوقت	period
thở	تنفس	breathe
thợ	عامل	craftman
thụ	مستقبلات	"(term should be ""thụ thai"") to become pregnant"
thục	شو	(proper noun) a vietnamese first name
thụt	مسافة بادئة	clyster
thủ	رئيس	masturbate
thủa	ثوا	during childhood
thủng	انثقاب	having holes
thứ	أشياء	no.
thức	مستيقظ	way
thừa	زائدة عن الحاجة	redundant
thừng	حبل	"(term should be ""thẳng thừng"") mercilessly"
thử	حاول	try
thửa	الطرد	square
thự	فيلا	mansion
thực	حقيقي	perform
ti	منظمة الشفافية الدولية	titov
tia	أشعة	ray
tiananmen	تيانانمن	tiananmen
tiara	تاج	tiara
tibet	التبت	(proper noun) tibet
tigris	دجلة	tigris
tiliaceus	تيليسيوس	hoa dam but
tim	القلب	heart
timor	مؤقت	timor
timothy	تيموثي	timothy
tin	صدق	believe
tinbắc	الرسالة	file bac
tincầu	جسر من الصفيح	file bridge
tinh	كوكب	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	تنهوم	folder: house
tinsông	أخبار	file river
tinthị	العاشر	file: town
tirol	تيرول	tirol
tisdale	تيسدال	tisdale
tish	تيش	(proper noun) tish
tissa	مناديل	(proper noun) tissa, as in moggaliputta tissa
tivi	تلفزيون	television
tizard	معالج	(proper noun) tizard
tiên	أولاً	first
tiêu	فلفل	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	لسوء الحظ	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	جوفي	seize
tiến	إلى الأمام	operate
tiếng	ساعات	language
tiết	إفراز	abstinence/intensity
tiếu	أبله	"(should be ""đàm tiếu"") to sneer"
tiềm	المحتملة	potential
tiền	المال	money (n.)
tiều	القرف	(proper noun) the name of a poet
tiểu	تبول	tiểu sử= biography
tiễu	السيد ليو	patrol
tiệc	حزب	party
tiệm	صالون	shop
tiện	مناسب	mean
tiệp	التشيكية	gustav franck
tiệt	سخيف	sterilize
tncs	tncs	communist youth union
tngt	تنجت	traffic accidents
tnhh	محدودة	limited
toang	توانغ	fast
tobago	توباغو	tobago
toei	توي	toei
tokugawa	توكوجاوا	tokugawa
tokyo	طوكيو	tokyo, the capital of japan
tokyopop	توكيوبوب	tokyopop
tomas	توماس	(proper noun) tomas
tommy	تومي	tommy
tomoyo	تومويو	tomoyo
tony	توني	tony
toonami	تونامي	(proper noun) toonami
top	أعلى	top
torino	تورينو	torino, as in the italian city
toriyama	تورياما	(proper noun) toriyama
tottenham	ر توتنهام	tottenham
tourism	السياحة	tourism
tourist	سائح	tourist
toyama	توياما	toyama
toyota	تويوتا	(proper noun) toyota
toà	المحكمة	office
toàn	آمن	entire or whole (adj.)
toán	الرياضيات	team
toát	جيد	to exude or emit, as in sweat (v.)
toạ	إحداثيات	locate
toại	في	satisfaction
toả	يشع	spread
tp	tp	city
tphcm	tphcm	ho chi minh city
tphồ	المدينة	city ho
tpvĩnh	المدينة	vinh city
tqlc	tqlc	marine
trafalgar	الطرف الأغر	(proper noun) trafalgar
trafford	ترافورد	trafford in greater manchester
trai	بلح البحر	boy
trang	الصفحة	a page (n.)
tranh	صور	to compete (v.)
trao	منحت	reward
trau	trau	polish
tre	خيزران	bamboo (n.)
treo	معلقة	hang
tri	ثلاثي	tri
tribune	المنبر	a name
trinh	عذراء	"(should be ""trinh bạch"") virtuous"
trinidad	ترينيداد	trinidad
trinity	ثالوث	trinity
tristan	تريستان	tristan
triết	فلسفة	philosophy
triền	ترين	"(should be ""triền miên"") endless"
triều	المد	court
triện	ختم	stamp
triệt	تمامًا	completely
triệu	مليون	a million
tro	الرماد	ashes
troia	ترويا	troy
trondheim	تروندهايم	trondheim
trong	في	inside (adv.)
true	صحيح	true
truman	ترومان	(proper noun) truman
trung	الوسط	"(term should be ""trung gian"") agent (n.)"
trungnhật	الصدق	china-japan
truong	صحيح	truong
truyên	تروين	story
truyện	القصة	story
truân	تروان	arduous
truất	منتقدين	cancel
truởng	رئيس	leader (n.)
truỵ	كذب	depraved
trà	شاي	tea (n.)
tràm	cajuput	melaleuca
tràng	القولون	"entire term should be ""truc trang""; means ""rectum"""
trào	ثوران	movement
trác	تراك	trac
trách	اللوم	blame
trái	غادر	against
trán	جبهته	forehead
tráng	المغلفة	to coat (v.)
tránh	تجنب	to avoid (v.)
tráo	بشكل احتيالي	tráo trở= liar/betrayal/treacherous
tráp	الصناديق	casket
trát	مذكرة	pile
trâm	بروش	a type of elegant hairpin (n.)
trân	مع أطيب التحيات	respect
trâu	جاموس	a last name
trãi	متناثرة	trai
trèo	التسلق	climb
trên	على	above
trình	تقديم	process
trí	مانع	intellectual
trích	مقتطفات	to extract (v.)
trò	ألعاب	role
tròn	الجولة	rounding
trói	مقيدة	tie
trôi	الانجراف	afloat
trông	يبدو	look
trùm	رئيسه	cover
trùng	تتزامن	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	الصعود	residence
trúc	خيزران	structure
trăm	مائة	hundred
trăn	الثعبان	"(term should be ""trăn trở"") to ponder (v.)"
trăng	القمر	moon
trĩ	البواسير	hemorrhoids
trũng	غارقة	medium
trơ	خامل	bare
trơn	على نحو سلس	slippery (adj.)
trư	صحيح	a pig (n.)
trưa	ظهرًا	noon (n.)
trưng	طلب	symbolic
trưngcông	عرضت	truongcong
trương	ترونج	policy
trước	من قبل	front
trước 	من قبل	front
trướng	التوسع	expand
trườn	الزحف	crawl
trường	المدرسة	case
trượng	caduceus	a unit of length used in vietnam equal to 4 meters (n.)
trượt	زلة	slide
trạch	trach	ze
trại	معسكر	camp
trạm	المحطة	station
trạng	الشرط	situation
trạo	تاو	trao
trả	دفع	to return
trải	غطاء	spread
trảm	cajuput	beheaded
trảo	المناجل	trao
trấn	بلدة	town
trấu	قشر الأرز	rice skin
trầm	باس	depression
trần	عارية	tran
trầu	التنبول	trầu
trầy	خدش	scratch
trẩy	ترتد	pilgrimage
trẫm	انا كذلك	i
trận	المباراة	battle
trật	مخلوع	order
trắc	القياسات الحيوية	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	أبيض	white
trặc	زوبعة	"entire phrase is ""truc trac""; means ""problem"""
trẻ	الشباب	youth
trễ	تأخر	late
trệ	راكد	bamboo
trị	العلاج	cure
trịnh	بنه	trịnh, a vietnamese last name
trọ	نزل	motel
trọn	ممتلئ	whole
trọng	مهم	serious
trỏ	مؤشرات	index
trối	نهائي	last words
trốn	إخفاء	to hide
trống	فارغ	in
trồi	الناشئة	to emerge (v.)
trồng	زرع	plant
trổ	تظهر	to burst open or display
trỗi	بزوغ	rise
trội	مهيمن	better
trộm	لص	theft
trớn	عناق	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	الله	sun
trợ	الدعم	support
trụ	مكتب	universe
trục	المحور	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	عارية	"(term should be ""trơ trụi"") bare (adj.)"
trứ	صحيح	famous
trứng	بيض	egg
trừ	باستثناء	except
trừng	وهج	punish
trừu	مجردة	abstract
trữ	تخزين	reserve
trực	في الخدمة	direct
ts	نهاية الخبر	phd
tt	ر	news
tua	اللامسة	fringe
tucker	تاكر	tucker, an english last name
tudor	تيودور	(proper noun) tudor, as in the tudor family
tukhachevsky	tukhachevsky	(proper noun) tukhachevsky
tulip	الخزامى	tulip
tum	توم	tum
tung	إرم	release
tupolev	توبوليف	tupolev, as in alexei tupolev
tuscan	توسكان	(proper noun) tuscan
tutsi	التوتسي	(proper noun) tutsi
tuvalu	توفالو	(proper noun) tuvalu, a polynesian island nation
tuy	ومع ذلك	however
tuyên	يعلن	"(should be ""tuyên ngôn"") a declaration"
tuyết	ثلج	snow (n.)
tuyền	توين	tuyen
tuyển	تجنيد	recruit
tuyệt	عظيم	excellent (adj.)
tuân	أطاع	comply
tuông	دافق	jealous
tuý	تويك	drug
tuần	الأسبوع	week
tuế	البلم	years
tuệ	حكمة	intelligence
tuốc	نتف	turbine
tuổi	العمر	age
tuộc	الأخطبوط	octopus
tuột	تنزلق	slip
tuỳ	اختياري	depend
tv	تلفزيون	tv
tvb	تلفزيون	tvb
twin	التوأم	twin
twitter	تويتر	twitter
ty	تاي	company
type	اكتب	type
typhon	الاعصار	typhon
tà	الشر	we
tài	ثروة	talent (n.)
tàn	رماد	dying
tàng	متحف	"(should be ""bảo tàng"") a museum"
tành	تانه	shatter
tàu	سفينة	ship
tá	دزينة	"(term should be ""thiếu tá"") major (n.)"
tách	كوب	to separate
tái	إعادة	return
tám	ثمانية	eight
tán	مظلة	support
tánh	تانه	life
táp	اضغط	to lap at (v.)
táu	مذنب	ashton
tâm	مانع	tâm
tâu	ربي	peach
tây	الغرب	western
tâynam	ويستنام	"(should be ""tây-nam"") southwest"
tã	حفاضات	diaper
tét	صرخة	tet
tê	خدر	numb
tên	الاسم	name (n.)
tì	الطحال	to lean on (v.)
tìm	تجد	find
tìmdiệt	بحث	find-kill
tình	الحب	sex
tía	أرجواني	dad
tích	المنتج	"(term should be ""tích cực"") to be zealous (adv.)"
tím	أرجواني	purple
tín	الاعتمادات	"(entire term should be ""tín dụng"") credit"
tít	العنوان	"(term should be ""tít mù"") very far away (adv.)"
tò	الفضول	curious
tòa	المحكمة	a court
tòi	الاشياء	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	تونغ	tòng, a last name
tóm	الخلاصة	summary
tô	وعاء	car
tôi	أنا	i
tôm	جمبري	shrimp
tôn	المموج	venerate
tông	كرتون	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	السجن	prison
tùng	قطع غيار	tung
tùy	اختياري	depend on
túc	الاكتفاء	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	حقيبة	pocket
túm	انتزاع	catch
túng	محرج	confuse
túp	كوخ	hut
túy	المخدرات	"(term should be ""thuần túy"") pure (adj.)"
tý	فأر	mouse, as in year of the mouse
tăm	مسواك	"(term should be ""tiếng tăm"") reputation"
tăng	زيادة	increase
tĩnh	ثابت	calm
tơi	أنا	ragged
tư	من	posture
tưng	هش	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	طازج	fresh
tương	مشابه	"(term should be ""tương tự"") to be similar to"
tước	جردت	title (n.)
tưới	سقي	irrigation
tướng	عام	prime minister (thu tuong)
tường	الحائط	"a common vietnamese first name; means ""wall"""
tạ	الحديد	weight
tạc	نحت	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	في	survival
tạm	مؤقت	temporary
tạo	إنشاء	create
tạp	مجلة	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	الوصف	describe
tản	تبديد	disperse
tảng	منصة	platform
tấc	بوصة	inch
tấm	لوحات	mirror
tấn	طن	tan
tấp	سحبت	crowded
tất	جوارب	all
tấu	مفيدة	tau
tầm	ألعاب	range or extent (n.)
tần	التردد	"(term should be ""tần số"") frequency (n.)"
tầng	الكلمة	layer
tầu	قطار	ship
tẩm	مشربة	soak
tẩy	ممحاة	to bleach
tận	النهاية	dedicated
tật	الإعاقة	disease
tắc	مفاتيح	priciple
tắm	استحم	bathing
tắt	إيقاف	initial
tặc	قراصنة	"(term should be ""hải tặc"") a pirate (n.)"
tặng	تبرع	donate
tẻ	باهت	lẻ tẻ= scattered
tết	تيت	(proper noun) the vietnamese new year
tếxã	اقتصاديا	economy - society
tề	تشي	tidy
tể	سيد	lord
tệ	سيء	bad
tệp	ملف	file
tỉa	قلص	"(term should be ""bắn tỉa"") to snipe"
tỉnh	محافظة	province
tị	الحسد	refugee
tịch	رئيس	"(""chủ tịch"") president or chairman"
tọa	إحداثيات	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	أعرب	to
tỏa	يشع	radiate
tỏi	ثوم	garlic
tốc	السرعة	speed
tốn	التكلفة	to cost (v.)
tống	مرافقة	dispose
tốp	عصابة	top
tốt	جيد	good
tồi	سيء	bad
tồn	موجود	exist
tổn	تؤذي	damage
tổng	المجموع	president
tộc	عشيرة	"(term should be ""dân tộc"") a race or people"
tội	جريمة	crime
tột	متطرف	extreme
tớ	أنا	servant
tới	ل	to the point
tờ	ورقة	paper/document
tởm	مقرف	disgusting
tục	دنس	"(term should be ""tập tục"") customs or practices"
tụy	البنكرياس	"(term should be ""tận tụy"") devoted (adj.)"
tủ	خزائن	shelf
tủi	سيء	humiliated
tủy	النخاع	spine
tức	لحظة	i.e.
từ	من	from
từng	كل	each
tử	الموت	lion (su tu)
tửu	الشرب	wine
tự	الذات	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	العنوان	lean
tựu	الإنجازات	achievement
tỵ	ثعبان	the han name for the year of the snake, according to the chinese zodiac
tỷ	مليار	billion
u	ش	tumor
ua	ua	ua
uae	الإمارات	uae
ubuntu	أوبونتو	ubuntu
uc	uc	uc
uchiha	أوتشيها	uchiha
uefa	uefa	uefa
uh	اه	uh
uk	uk	uk
ukiyoe	أوكيوي	ukiyoe
ukraina	أوكرانيا	ukraine
ulsan	أولسان	ulsan
umm	أم	umm
un	الأمم المتحدة	(proper noun) un, as in chung un chan of korea
und	und	und
under	تحت	under
unesco	اليونسكو	unesco
ung	أونغ	cancer
unicorn	يونيكورن	unicorn
unit	الوحدة	unit
unix	يونكس	unix
up	شكا	up
ural	أورال	ural, as in the ural mountains
urani	اليورانيوم	uranium
uri	أوري	uri, a former political party in south korea
uruguay	أوروغواي	uruguay
usagi	أوساجي	usagi
usb	usb	usb
uss	يو اس اس	uss
utah	يوتا	utah
utrecht	أوتريخت	(proper noun) utrecht
uy	uy	"(term should be ""uy lực"") power (n.)"
uyghur	الأويغور	(proper noun) uyghur
uygur	الأويغور	uygur
uyên	uyen	scholarly
uyển	كلمة لطيفة	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	اوزبكستان	uzbekistan
uông	يونغ	uong
uất	utt	busy
uốn	الانحناء	to curl (v.)
uống	للشرب	to drink
uổng	الهزال	vain
v	v	v
va	va	collide
vaccine	لقاح	vaccine
vai	الكتف	shoulder
valencia	فالنسيا	valencia
valentine	عيد الحب	valentine
valley	الوادي	valley
van	فان	"(term should be ""van xin"") to beg (v.)"
vanessa	فانيسا	vanessa
vargas	فارغاس	(proper noun) vargas
vasari	فاساري	vasari
vay	الاقتراض	borrow
vectơ	ناقلات	vector
ven	فين	"(term should be ""ven biển"") coastal (adj.)"
vendôme	vendôme	vendome
venezia	فنزويلا	venice
venus	فينوس	venus
verdun	فردان	verdun
vermont	فيرمونت	vermont
verona	فيرونا	(proper noun) the city of verona
versailles	فرساي	(proper noun) versailles
vhs	vhs	vhs
vi	en	behavior
viagra	الفياجرا	viagra
victor	المنتصر	(proper noun) victor
victoria	فيكتوريا	victoria, a province of australia
vienna	فيينا	(proper noun) vienna, austria
viet	فيت	vietnamese
vietnam	فيتنام	vietnam
viettel	viettel	viettel
viii	ثامنا	eighth
vijaya	فيجايا	(proper noun) vijaya
viking	الفايكينغ	viking
villa	فيلا	villa
villeneuve	فيلنوف	(proper noun) villeneuve, a french last name
vinagame	فيناجامي	vinagame
vinashin	فيناشين	vinashin
vince	فينس	(proper noun) vince, as in vince mcmahon
vincennes	فينسينز	vincennes
vincent	فنسنت	vincent
vinpearl	فينبيرل	vinepeal
viqr	الفكر	viqr
virginia	فرجينيا	(proper noun) virginia, as in the state
virus	فيروس	virus
virút	فيروس	virus
vissarionovich	vissarionovich	vissarionovich
vista	فيستا	vista, as in windows vista
vitamin	فيتامينات	vitamin
vitruvius	vitruvius	vitruvius
viz	بمعنى	(proper noun) viz
viêm	التهاب	inflammation
viên	أقراص	member
viêng	فيانغ	vientiane
viêt	الكتابة	vietnam
viếng	زيارة	visit
viết	اكتب	write
việc	العمل	thing
viện	المعهد	institute
việt	الفيتنامية	viet
việtmường	muong الفيتنامية	muong
việtnga	فيتنجا	vietnam-russia
việttrung	فيتترونج	vietnam-china
vn	vn	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	فو	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	الفيل	elephant
voip	voip	voip
voldemort	فولدمورت	(proper noun) voldemort, the villain from the harry potter series
von	فون	compare
vonfram	التنغستن	wolfram
vong	الضحايا	injured
voyager	فوييجر	voyager
voọc	اللغات	a langur (n.)
vtc	vtc	vtc
vu	فو	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	ملك	king
vui	مرح	happy
vulcan	فولكان	vulcan
vuông	مربع	square
vuốt	مخالب	stroke
vv	الخ.	etc.
vy	vy	vy
vyacheslav	فياتشيسلاف	vyacheslav
và	و	and
vài	قليل	several
vàm	vm	the mouth of a rivulet (n.)
vàng	ذهب	gold
vành	حافة	coronary
vào	على	into
vá	التصحيح	patchy
vác	تحمل	to shoulder (v.)
vách	الحائط	wall
vái	نعم	some
ván	لوح	game
váng	حثالة	film
váy	تنورة	skirt
vân	هلم جرا	"(term should be ""vân vân"") et cetera"
vây	زعنفة	encircle
vã	اندفع	rush
vãi	القرف	to release
vãn	فان	save
vè	تبول	to glance slyly (v.)
vé	تذاكر	ticket
vét	نعرات	plunder
vê	عن	tremolo
vì	بسبب	because
ví	محفظة	example
vía	محفظة	soul
vít	المسمار	screw
vò	تكوم	jar
vòi	خرطوم	tap
vòm	أقواس	upper jaw
vòng	الجولة	around
vó	hoooo	hooves
vóc	اللياقة البدنية	"(should be ""vóc sương"") dew-like or delicate"
vô	لا	"(term should be ""vô số"") countless (adj.)"
vôi	الجير	limestone
võ	عسكري	martial arts (n.)
võng	أرجوحة شبكية	hammock
vùi	مدفون	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	المنطقة	region
vú	الثديين	breast (n.)
vút	ارتفاع	"entire term should be ""cong vut""; extreme curling"
văn	تم النشر	culture
văng	دفقة	a name
vĩ	عظيم	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	نهائيا	ving
vũ	فو	armed
vũng	بركة	vung
vơ	عاجز	lost
vơi	مع	ullage
vưu	فو	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	تصل	reach
vương	الملك	kingdom
vướng	متشابك	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	حديقة	garden
vượn	القرود	gibbon
vượt	تمر	to overcome
vạ	هكذا	unfortunate problem
vạc	مرجل	cauldron
vạch	شريط	bar
vại	دبابة	jar
vạn	عشرة آلاف	thousand
vạng	الشفق	twilight
vả	التين	hard
vải	قماش	fabric
vảy	الموازين	scale
vấn	النصيحة	vấn đề= problem
vấp	تعثرت	stumble
vất	ارمي بعيدا	hard
vần	قافية	spell
vầng	هالة	moon (vang trang)
vẩn	لا يزال	wander
vẩy	رقائق	scale
vẫn	لا يزال	still
vẫy	يلوح	wave
vận	ثروة	active
vắc	لقاح	vaccine
vắcxin	لقاح	vaccine
vắn	وجيزة	short
vắng	غائب	absent
vặn	المسمار	to twist (v.)
vặt	إعلانات مبوبة	odd
vẹn	النزاهة	complete
vẹt	الببغاوات	parrots
vẽ	رسم	draw
vết	وصمة عار	wound
vểnh	جثم	warping
vệ	الدفاع	"(term should be ""bảo vệ"") to defend (v.)"
vệt	خطوط	streak
vỉa	اللحامات	"(term should be ""vỉa hè"") sidewalk"
vịnh	خليج	bay
vịt	بطة	duck
vọng	الأمل	"(term should be ""hy vọng"") hope (n.)"
vọt	صاروخ	to spurt out (v.)
vỏ	قذيفة	shell
vồ	مطرقة	"(term should be ""gạch vồ"") a type of brick"
vỗ	بات	to clap
vội	على عجل	hurriedly (adv.)
vớ	جوارب	"(term should be ""vớ vẩn"") silly (adj.)"
với	مع	to
vớt	إنقاذها	salvage
vờ	يتظاهر	"(term should be ""giả vờ"") to pretend (v.)"
vời	عظيم	wonderful
