$ tỉ	$ miliar	$ billion
morley	morley	morley
morocco	maroko	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	moscow	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambik	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	ms	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	beli	buy
much	banyak	much
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	kayu hitam	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	more	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	inginkan	a large number; thousands (adj.)
muối	garam	salt
muốn	ingin	want
muống	sendok	"(term should be ""rau muống"") water spinach (n.)"
muồi	telat	ripe
muỗi	nyamuk	mosquito
muỗng	sendok	spoon
muội	saudara perempuan	confusion
muộn	telat	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	myspace	(proper noun) myspace
mà	itu	also
mài	penggilingan	tomorrow
màn	tirai	curtain (n.)
mành	tirai	a bamboo screen (n.)
mào	lambang	a comb or crest, as in the body part of a bird
màu	warna	color
mày	kamu	sew
má	pipi	cheek
mác	label	a name (marx)
mách	tips	tell
máclênin	marxelenin	marxist-leninist
mái	atap	"entire term should be ""thoai mai""; means ""comfortable"""
mát	keren	cool
máu	darah	blood
máy	mesin	a machine (n.)
mâm	nampan	tray
mân	rosario	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	kontradiktif	contradiction
mây	awan	cloud
mã	kode	"(term should be ""la mã"") roman (adj.)"
mãi	selamanya	forever (adv.)
mãimại	kode	commerce
mãn	puas diri	satisfy
mãnh	kuat	intense
mão	mahkota	cat
mè	wijen	sesame
mèo	kucing	cat (n.)
mé	saya	a border
méo	terdistorsi	alter
mép	tepi	edge
mét	meter	meter
mênh	luas	vast
mêtan	metana	methane
mì	mie	wheat
mình	dirimu sendiri	me
mía	tongkat	sugar cane (n.)
mò	meraba-raba	to grope (v.)
mòn	usang	trail
móc	kail	"(term should be ""máy móc"") machinery (n.)"
món	makanan	dish
mô	tisu	mo
môi	bibir	lip
môn	mata pelajaran	anus
mông	pantat	mongolia
mônôxít	monoksida	monoxide
môt	satu	"(term should be ""một"") one (n.)"
môtô	sepeda motor	motorcycle
mù	buta	mu
mùa	musim	season
mùi	baunya	smell
múa	menari	dance
mút	mengisap	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	rebung	bamboo shoot (n.)
mĩ	amerika	america
mũ	topi	cap
mũi	hidung	nose
mơ	mimpi	vague
mơn	cakar	caress
mưa	hujan	rain
mưu	licik	"(should be ""tham mưu"") advisors"
mươi	lima puluh	tens
mương	parit	ditch
mướn	menyewa	hire
mướt	halus	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	dipinjam	borrow
mượt	halus	glossy (adj.)
mạc	gurun	"(should be ""mộc mạc"") simple or natural"
mạch	sirkuit	vessel
mại	berdagang	commerce
mạn	sisi	romantic
mạnh	kuat	strong
mạo	artikel	"(should be ""mạo hiểm"") to brave danger"
mạt	tungau	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	kuburan	tomb or grave (n.)
mải	sibuk	absorbedly
mảng	array	genre
mảnh	bagian	piece
mất	hilang	lose
mấu	tab	key
mấy	sedikit	any
mầm	kuman	kindergarten
mầu	warna	color
mẩu	bagian	piece
mận	prem	plum
mập	gendut	fat
mật	sayang	intimate
mậu	berdagang	mau
mắc	mahal	get
mắm	saus ikan	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	beruntung	"(term should be ""may mắn"") fortunate (adj.)"
mắng	dimarahi	scold
mắt	mata	eye
mặc	pakai	wear
mặn	asin	salt
mặt	wajah	face
mẹ	ibu	mother (n.)
mẹo	tips	trick
mẻ	batch	cool
mẽ	kuat	strong
mến	sayang	to adore or like greatly (v.)
mề	gizzard	locket
mềm	lembut	soft
mệnh	par	revolution
mệt	lelah	tired
mỉ	teliti	meticulous
mỉa	ironi	ironic
mỉm	tersenyumlah	smile
mịch	sial	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	halus	smooth
mịt	mengendus	dim
mọc	tumbuh	to grow (v.)
mọi	setiap	every
mọn	picik	lowly
mỏ	tambang	mine
mỏi	lelah	tired (adj.)
mỏng	kurus	thin
mốc	apak	border
mối	rayap	relationship
mốt	mode	fashion or style (n.)
mồ	kuburan	"(term should be ""mồ hôi"") sweat (n.)"
mồi	umpan	bait (n.)
mổ	operasi	to dissect or perform surgery (v.)
mỗi	masing-masing	every
mộ	kuburan	admire
mộc	pertukangan kayu	simple
mộng	mimpi	dream
một	satu	one
mới	baru	new (adj.)
mờ	kabur	dim
mời	diundang	invite
mở	buka	open
mỡ	gendut	fat or grease (n.)
mục	barang itu	purpose
mụn	jerawat	pimple
mức	level	level
mứt	selai	preserve
mừng	senang	to be happy
mửa	muntah	to vomit (v.)
mực	tinta	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	mie	noodles (n.)
mỹ	baiklah	america
mỹcông	amerika	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nasional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	rusa	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	laki-laki	male
nambắc	utara	nambac
namibia	namibia	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	folikel	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	taring	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	natrium	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	sekarang	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	jangkar	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	bersih	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	jaringan	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	neverland	neverland
newcastle	newcastle	newcastle
newspaper	koran	newspaper
newton	newton	newton
newtons	newton	(proper noun) newton's
next	selanjutnya	next
nga	rusia	russia
ngai	tahta	crown
ngang	horisontal	horizontal
ngao	kerang	clam (n.)
ngay	sekarang juga	even
nghe	dengar	hear
nghinh	nghinh	welcome
nghiêm	sangat	serious
nghiêng	cenderung	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	hancur	crush
nghiễm	sayang sekali	serious
nghiệm	pengalaman	experiment
nghiện	kecanduan	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	suram	adverse
nghành	industri	faculty
nghèo	miskin	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	selamat datang	support
nghìn	ribuan	thousand
nghĩ	berpikir	think
nghĩa	artinya	meaning
nghẽn	kemacetan	jam
nghếch	keras	stupid
nghề	profesi	career
nghệquận	seni	art district
nghỉ	istirahat	relaxation
nghị	rekomendasi	think
ngo	mungil	ngo
ngoan	anak baik	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	enak	delicious
ngoài	terpisah	outside of
ngoại	asing	external
ngoạn	hati	spectacular
ngoặc	tanda kurung	bracket
ngoặt	titik balik	landmark
ngu	bodoh	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	asli	reason
nguyền	kutukan	curse
nguyện	sumpah	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	bulan	moon
nguôi	menenangkan	fade away
nguồn	sumber	source
nguời	orang	people
nguỵ	orang bodoh	camouflage
ngà	gading	russian
ngàn	ribuan	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	industri	sector
ngào	manis	sweet
ngày	hari	day
ngách	niche	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	bodoh	chinese ethnic group living in the vietnamese highlands near the china border
ngán	bosan	to be tired of
ngáng	ngáng	stop
ngát	pingsan	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bank	money
ngây	kosong	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	daun ketumbar	coriander
ngó	lihat	to look (v.)
ngói	ubin	tile or shingle
ngón	jari	a finger (n.)
ngót	susut	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	bahasa	manifesto
ngông	angsa	eccentric
ngõ	jalur	lane
ngùi	bau	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	kompartemen	prevent
ngũ	lima	rank
ngơ	diabaikan	ignored (adj.)
ngơi	istirahat	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	fisher	fishermen
ngưng	berhenti	stop
ngưu	lembu	buffalo
ngươi	kamu	an ancient form of address equivalent to thou or thee (n.)
người	orang	people
ngưỡng	ambang batas	religious
ngược	mundur	opposite
ngạc	terkejut	surprise
ngạch	peringkat	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	bank	bank
ngạnh	duri	self-willed
ngạo	sombong	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	sesak napas	stuffy
ngấm	diinfuskan	draw
ngất	pingsan	unconscious
ngầm	bawah tanah	underground
ngần	ragu	hesitate
ngẩn	tercengang	froze
ngẫm	renungkan	think
ngẫu	acak	ngẫu nhiên= random
ngậm	tablet hisap	keep
ngập	kebanjiran	flood
ngắm	menonton	to contemplate or look admiringly at something (v.)
ngắn	pendek	short
ngặt	kencang	strict
ngọ	siang	horse
ngọc	mutiara	pearl
ngọn	puncak	top
ngọt	manis	sweet (adj.)
ngồi	duduk	sit
ngộ	pencerahan	ngo
ngột	tiba-tiba	sudden
ngớ	konyol	silly
ngời	orang	bright
ngỡ	berpikir	surprised
ngợi	pujian	praise
ngợm	nakal	naughty
ngục	penjara bawah tanah	dungeon
ngụm	menyesap	sip
ngụy	wei	puppet
ngủ	tidur	sleep
ngủi	pendek	"(should be ""ngắn ngủi"") short-lived"
ngứa	gatal	itchy
ngừ	tuna	tuna
ngừa	mencegah	prevent
ngừng	berhenti	to cease (v.)
ngửa	menghadap ke atas	supine
ngửi	bau	to smell
ngữ	pidato	term
ngự	tinggal	defend
ngựa	kuda	horse
ngực	dada	chest
nha	dokter gigi	dental
nhakẻ	nak	nha-ke
nham	lahar	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	dupa	incense
nhanh	cepat	fast
nhat	nhat	nhat
nhen	menyalakan kembali	rekindle
nhi	anak-anak	junior
nhiên	tentu saja	tuy nhiên= however
nhiêu	banyak	how many
nhiều	banyak	numerous
nhiễm	terinfeksi	infect
nhiễu	kebisingan	noise
nhiệm	tugas	task
nhiệt	panas	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	butuhkan	demand
nhuận	keuntungan	leap year
nhuệ	nhue	elite
nhuộm	dicelup	dye
nhàn	menganggur	leisure
nhàng	dengan lembut	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	remas	to fall headlong
nhác	kendur	coward
nhái	klon	illegal copy
nhánh	cabang	branch
nháp	konsep	draft
nháy	berkedip	to flash or blink (v.)
nhâm	mencelupkan	leap
nhã	gurih	"(term should be ""thanh nhã"") elegant"
nhãn	label	"(term should be ""gán nhãn"") to affix a label"
nhét	terselip	put
nhì	kedua	second (adj.)
nhìn	lihat	to look (v.)
nhí	obrolan	children
nhím	landak	porcupine
nhòm	lihat	to peep (v.)
nhóc	nak	brat
nhóm	grup	group (n.)
nhô	menonjol	emerge
nhôm	aluminium	aluminum (n.)
nhúng	tertanam	embed
nhút	pemalu	shy
nhăn	berkerut	wrinkle
nhĩ	atrium	turkey
nhũ	emulsi	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	korupsi	bribery
nhơn	berkembang biak	nhon
như	seperti	like
nhưng	tapi	but
nhương	air liur	(proper noun) vietnamese first name
nhường	hasil	yield
nhưỡng	berminyak	soil
nhược	kelemahan	weak
nhượng	konsesi	concession
nhạ	nhạ	nha
nhạc	musik	music
nhạn	menelan	bird
nhạo	mengejek	ridicule
nhạt	pucat	light
nhạy	sensitif	sensitive
nhảy	menari	jump
nhấc	angkat	lift
nhấm	menyeruput	rodent
nhấn	menekan	to press (v.)
nhất	paling banyak	most
nhầm	salah	misunderstand
nhầy	berlendir	glutinous
nhẫn	berdering	patient
nhậm	dicap	inaugurate
nhập	masuk	penetrate
nhậu	minum	drink
nhậy	sensitif	sensitive
nhắc	cepat	to remind (v.)
nhắm	bertujuan	aim
nhắn	pesannya	message
nhằm	membidik	for the purpose of (adv.)
nhẵn	halus	smooth
nhặt	dijemput	pickup
nhẹ	cahaya	light
nhẹn	lincah	nhanh nhẹn= fast/nimble
nhị	benang sari	sensitive
nhịn	abstain	fasting
nhọ	dioleskan	smear
nhọn	menunjuk	sharp (adj.)
nhỏ	kecil	small
nhỏ|cây	pohon kecil |	small|tree
nhỏ|một	kecil |	small | one
nhỏ|phải|	kecil | kanan |	small|right
nhỏ|phải|px|	kecil | kanan | px |	small | have | px |
nhỏ|phải|px|bức	kecil | kanan | px | foto	grape / fade / px / buc
nhỏ|phải|px|cây	pohon kecil | kanan | px |	px spicy grape fade
nhỏ|phải|px|khu	kecil | kanan | px | zona	small|right|px|area
nhỏ|phải|px|michael	kecil | kanan | px | michael	small|right|px|michael
nhỏ|phải|px|máy	mesin kecil | kanan | px |	small | right|px|machine
nhỏ|phải|px|một	kecil | kanan | px | satu	small|right|px|one
nhỏ|phải|px|quân	kecil | kanan | px | paksa	small|right|px|army
nhỏ|px|	kecil | px |	small
nhỏ|px|các	kecil | px |	small
nhỏ|px|phải|kiến	kecil | px | kanan | semut	small | px | right | patience
nhỏ|quân	kecil | kekuatan	small|army
nhỏ|trái|px|máy	mesin kecil | kiri | px |	small|left|px|plane
nhỏ|tượng	patung kecil	small|statue
nhốt	terkunci	confine
nhồi	diisi	cram
nhổ	meludah	uproot
nhộn	kocak	busy
nhớ	untuk diingat	remember
nhớt	kental	viscid
nhờ	terimakasih	by
nhờn	berminyak	multiplication
nhở	ingatkan	remind
nhụ	cubit	nhu
nhục	dihina	shame
nhủ	pengingat	needs
nhức	sakit	pain
nhứt	pertama	first (n.)
nhừ	seperti	tender
những	ini	the
nhựa	plastik	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nikaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nikel	nickel
niken	nikel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	nihil	nile
nile	nil	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	keamanan	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	nitrogen	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	tahun	youth
niết	niet	nirvana
niềm	kesenangan	trust
niệm	perhatian penuh	concept
niệu	diuresis	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	nuh	(proper noun) noah
nobel	mulia	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	katakan	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	muda	mountain
nonpenetrative	tidak menguntungkan	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	norman	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	norak	norway
nou	kamu tidak	nou
novak	novak	novak
now	sekarang	now
nowc	sekarangc	nowc
noãn	ovula	ovule
nsnd	nsnd	people's artist
nst	pertama	chromosome
nubia	nubia	nubia
number	angka	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	pakan	feed
nuối	menelan	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	menelan	to swallow (v.)
nuớc	air	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	tidak	na
nài	bersikeras	pleading
nàn	mengeluh	poor
nành	kedelai	soy
nào	ayo	would
này	ini	this
ná	tidak	a crossbow (n.)
nách	ketiak	underarm (n.)
náo	gempar	riot
nát	hancur	ruin
náu	bersembunyi	hide
nâng	mengangkat	raise
nâu	coklat	brown
nã	nã	to track down (v.)
não	otak	brain
né	hindari	dodge
ném	melempar	to throw (v.)
nén	terkompresi	compress
nét	stroke	feature
nê	ne	ne
nên	seharusnya	should or ought to
nêu	dinyatakan	mention
nòi	ras	race
nòng	berlaras	barrel
nói	kata	to say or speak (v.)
nón	topi	cone
nóng	panas	hot
nô	budak	slave
nôbita	tobita	nobita
nôi	buaian	cradle
nôm	tidak	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	muntah	vomit
nông	dangkal	farmer
nõn	mengupas	peeled
nùng	nung	nung
núm	kenop	nipple
núp	penutup	hide
nút	tombol	button
năm	tahun	year
năn	bertobat	"(term should be ""ăn năn"") remorse (n.)"
năng	kekuasaan	"(term should be ""khả năng"") ability (n.)"
nơi	tempat	a place
nơtrino	neutino	neutrino
nước	air	country
nước 	air	water
nướng	dipanggang	grill
nǎm	nm	year
nạ	topeng	mask
nạc	ramping	lean (adj.)
nại	mengeluh	complain
nạn	kesusahan	a disaster (n.)
nạo	kuretase	to scrape (v.)
nạp	dimuat	tribute
nản	berkecil hati	depressed
nảy	memantul	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	cegukan	a hiccup (n.)
nấp	bersembunyi	hide
nấu	masak	cook
nấy	ini	this
nần	menyenggol	debt
nầy	ini	this
nẩy	memantul	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	dan matahari	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	panas	busy
nắm	pegang	to grasp or hold (v.)
nắng	cerah	sunlight
nắp	tutupnya	a lid or cover (n.)
nằm	kebohongan	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	secara anonim	heavy
nặn	memeras	mould
nặng	berat	heavy
nẻo	lain	turn
nếm	mencicipi	taste
nến	lilin	candle
nếp	lengket	sticky rice (n.)
nếu	jika	if (adv.)
nề	pekerjaan tukang batu	severe
nể	hormat	respect
nện	berdebar	ram
nỉ	terasa	beg
nịnh	lebih datar	flatter
nọ	yang lainnya	the other
nọc	racun	tadpole
nỏ	panah	a crossbow (n.)
nối	terhubung	connection
nốt	perhatikan	to finish off (v.)
nồi	pot	pot
nồm	tengkuk	humid (adj.)
nồng	konsentrasi	heavy
nổ	meledak	explode
nổi	mengambang	nổi tiếng= famous
nỗ	usaha	affort
nỗi	itu	state
nộ	murka	anger
nội	internal	on the paternal side (adj.)
nộn	isian	non
nộp	diajukan	submit
nới	kendurkan	ease
nở	mekar	bloom
nỡ	hati	do you have a heart to
nợ	hutang	debt
nụy	putik	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	gabus	a kind of bamboo (n.)
nứt	retak	to crack
nửa	setengah	haft
nữa	lebih lanjut	moreover
oahu	oahu	(proper noun) oahu
oai	takut	heroic
oakland	tanah oak	oakland
oan	ketidakadilan	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	oktober	(proper noun) october
oda	oda	oda
oder	oder	oder
odyssey	pengembaraan	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	petugas	officer
officers	petugas	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olympus	olympus
om	om	to simmer
omar	omar	a name
ong	lebah	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	organ	organ
oricon	oricon	oricon
origin	asal	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossetia	(proper noun) ossetia
oswald	oswald	oswald
other	lainnya	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	utsmaniyah	(proper noun) ottoman, as in the ottoman empire
outstanding	luar biasa	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	oksigen	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	kebencian	"(term should be ""oán than"") to complain or whine"
oát	watt	a watt (n.)
oản	ya	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestine	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	panci	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	paperback	paperback
papua	papua	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	taman	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	patriot	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	teman sebaya	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	sen	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	perry	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	persia	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	hal	associate professor
pha	dicampur	to mix
phaethon	phaethon	phaethon
pham	bohong	pham
phanh	rem	expose
phao	mengapung	float
phaolô	paul	st. paul, the apostle
pharaoh	firaun	pharaoh
pharaon	firaun	pharaoh
phay	berseliweran	mill
phe	faksi	faction
phen	fen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	filipina	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	filsafat	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	filter	coffee filter
phineas	phineas	(proper noun) phineas
phiên	sesi	trial
phiêu	petualangan	adventurous
phiếm	gosip	gossip
phiến	mata pisau	"(should be ""nha phiến"") opium"
phiện	opium	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	phoenix	(proper noun) phoenix
phong	kamar	movement
php	php	php
phrygian	frigia	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	terungkap	expose
phun	semprotan	to spray or spit (v.)
phà	feri	ferry
phàm	fana	superhuman
phàn	mengeluh	complain
phá	melanggar	destroy
phác	sketsa	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	mengalahkan	manner (n.)
phái	sekte	a party
phán	hakim	judge
pháo	meriam	artillery
pháp	prancis	method
phát	disiarkan	develop
phèn	tawas	alum
phèo	phèo	organs
phép	diizinkan	permit
phê	kopi	"(term should be ""phê bình"") to criticize (v.)"
phêrô	peter	peter
phì	hipertrofi	non-
phình	tonjolan	bulge
phí	biaya	non-
phía	sisi	side
phích	termos	a flask (n.)
phím	kunci	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	kamar	office
phó	wakil	second
phóng	reporter	to launch (v.)
phô	kota	display
phôi	ingot	embryo
phông	fonta	font
phùng	engah	phung
phúc	diberkati	good fortune (n.)
phúclộc	diberkati	phuc-loc
phún	gelandangan	"(term should be ""lún phún"") sparse (adj.)"
phúng	sayang sekali	satire
phút	menit	a minute (n.)
phăn	resah	phan
phăng	phang	knock
phương	phuong	direction
phước	berkah	luck
phường	bangsal	ward
phượng	phoenix	phoenix
phạn	bahasa sansekerta	sanskrit
phạt	penalti	punish
phả	silsilah	pedigree
phải	iya	must
phải 	iya	right
phản	konter	reaction
phảng	datar	subtle
phần	bagian	part
phẩm	produk	food
phẩy	koma	a comma
phẫn	marah	wrathful
phẫu	operasi	surgery
phận	takdir	part
phật	buddha	buddhist
phẳng	datar	flat (adj.)
phế	memo	dismiss
phết	menyebar	to spread or smear (v.)
phỉ	hazel	defame
phỏng	membakar	interview
phố	jalan	city
phối	mengoordinasikan	coordinate
phốt	fosfat	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	meningkat	to swell (v.)
phổ	spektrum	popular
phổi	paru-paru	lung
phộng	kacang tanah	peanut
phới	mengapung	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	pho	pho
phục	pakaian	convincing
phụng	melayani	worship
phụt	engah	minute
phủ	tertutup	government
phức	kompleks	complex
picchu	picchu	a name
piccolo	piccolo	piccolo
pierre	pierre	pierre
pierrot	tindik	pierrot
pietro	pietro	pietro
pike	tombak	pike
pin	pin	battery
pinlus	pinlus	pinlus
pioneer	pelopor	pioneer
pipes	pipa	pipes
pisa	pisa	a name
piston	piston	piston
pitch	melenggang	pitch
pius	pius	pius
plaaf	plaaf	plaaf
plan	rencana	plan
plasma	plasma	plasma
plate	piring	plate
plato	plato	plato
platon	platon	platon
player	pemain	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	plus	plus
pluto	pluto	pluto
pm	siang	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	polandia	poland
pollack	pollack	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
