$ tỉ	en milliards de dollars	$ billion
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	myspace	(proper noun) myspace
mà	ça	also
mài	broyage	tomorrow
màn	rideau	curtain (n.)
mành	stores	a bamboo screen (n.)
mào	huppé	a comb or crest, as in the body part of a bird
màu	couleur	color
mày	toi	sew
má	joues	cheek
mác	étiquette	a name (marx)
mách	conseils	tell
máclênin	marxelenin	marxist-leninist
mái	toit	"entire term should be ""thoai mai""; means ""comfortable"""
mát	cool	cool
máu	sang	blood
máy	la machine	a machine (n.)
mâm	plateau	tray
mân	chapelet	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	contradictoire	contradiction
mây	nuage	cloud
mã	code	"(term should be ""la mã"") roman (adj.)"
mãi	pour toujours	forever (adv.)
mãimại	code	commerce
mãn	complaisant	satisfy
mãnh	fort	intense
mão	couronnes	cat
mè	sésame	sesame
mèo	chat	cat (n.)
mé	mé	a border
méo	déformé	alter
mép	bord	edge
mét	mètre	meter
mênh	vaste	vast
mêtan	méthane	methane
mì	des nouilles	wheat
mình	toi	me
mía	canne	sugar cane (n.)
mò	tâtonné	to grope (v.)
mòn	usé	trail
móc	crochet	"(term should be ""máy móc"") machinery (n.)"
món	la nourriture	dish
mô	tissu	mo
môi	les lèvres	lip
môn	sujets	anus
mông	les fesses	mongolia
mônôxít	monoxyde	monoxide
môt	un	"(term should be ""một"") one (n.)"
môtô	moto	motorcycle
mù	aveugle	mu
mùa	saison	season
mùi	l&#39;odeur	smell
múa	danse	dance
mút	sucer	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	pousses de bambou	bamboo shoot (n.)
mĩ	amérique	america
mũ	casquettes	cap
mũi	nez	nose
mơ	rêver	vague
mơn	pattes	caress
mưa	la pluie	rain
mưu	rusé	"(should be ""tham mưu"") advisors"
mươi	cinquante	tens
mương	fossé	ditch
mướn	embaucher	hire
mướt	lisse	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	emprunté	borrow
mượt	lisse	glossy (adj.)
mạc	désert	"(should be ""mộc mạc"") simple or natural"
mạch	circuit	vessel
mại	commerce	commerce
mạn	côté	romantic
mạnh	fort	strong
mạo	article	"(should be ""mạo hiểm"") to brave danger"
mạt	acariens	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	tombes	tomb or grave (n.)
mải	occupé	absorbedly
mảng	tableau	genre
mảnh	pièce	piece
mất	perdu	lose
mấu	onglet	key
mấy	peu	any
mầm	germe	kindergarten
mầu	couleur	color
mẩu	pièce	piece
mận	prunes	plum
mập	graisse	fat
mật	le miel	intimate
mậu	commerce	mau
mắc	cher	get
mắm	sauce de poisson	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	chanceux	"(term should be ""may mắn"") fortunate (adj.)"
mắng	gronder	scold
mắt	les yeux	eye
mặc	porter	wear
mặn	salé	salt
mặt	le visage	face
mẹ	maman	mother (n.)
mẹo	conseils	trick
mẻ	lot	cool
mẽ	fort	strong
mến	cher	to adore or like greatly (v.)
mề	gésier	locket
mềm	doux	soft
mệnh	par	revolution
mệt	fatigué	tired
mỉ	méticuleux	meticulous
mỉa	ironie	ironic
mỉm	sourire	smile
mịch	merde	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	lisse	smooth
mịt	renifler	dim
mọc	grandit	to grow (v.)
mọi	tous	every
mọn	mesquin	lowly
mỏ	les mines	mine
mỏi	fatigué	tired (adj.)
mỏng	mince	thin
mốc	moisi	border
mối	termite	relationship
mốt	mode	fashion or style (n.)
mồ	tombe	"(term should be ""mồ hôi"") sweat (n.)"
mồi	appât	bait (n.)
mổ	la chirurgie	to dissect or perform surgery (v.)
mỗi	chacun	every
mộ	tombe	admire
mộc	menuiserie	simple
mộng	rêver	dream
một	un	one
mới	nouveau	new (adj.)
mờ	floue	dim
mời	invité	invite
mở	ouvert	open
mỡ	graisse	fat or grease (n.)
mục	l&#39;article	purpose
mụn	l&#39;acné	pimple
mức	niveau	level
mứt	confiture	preserve
mừng	heureux	to be happy
mửa	vomissements	to vomit (v.)
mực	encre	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	des nouilles	noodles (n.)
mỹ	bien	america
mỹcông	amérique	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	cerf	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	mâle	male
nambắc	au nord	nambac
namibia	namibie	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	capsule	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	crocs	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoléon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	sodium	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	maintenant	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	ancre	"(term should be ""mỏ neo"") an anchor (n.)"
neon	néon	neon
nepal	népal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	net	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	réseaux	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	neverland	neverland
newcastle	newcastle	newcastle
newspaper	journal	newspaper
newton	newton	newton
newtons	newtons	(proper noun) newton's
next	suivant	next
nga	la russie	russia
ngai	trône	crown
ngang	horizontal	horizontal
ngao	palourde	clam (n.)
ngay	maintenant	even
nghe	entendre	hear
nghinh	nghinh	welcome
nghiêm	sévèrement	serious
nghiêng	incliné	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	écrasé	crush
nghiễm	dommage	serious
nghiệm	expérience	experiment
nghiện	accro	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	sinistre	adverse
nghành	l&#39;industrie	faculty
nghèo	pauvre	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	bienvenue	support
nghìn	mille	thousand
nghĩ	pensé	think
nghĩa	sens	meaning
nghẽn	congestion	jam
nghếch	fort	stupid
nghề	profession	career
nghệquận	art	art district
nghỉ	casser	relaxation
nghị	recommandations	think
ngo	délicat	ngo
ngoan	bon garçon	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	délicieux	delicious
ngoài	à part	outside of
ngoại	étranger	external
ngoạn	à couper le souffle	spectacular
ngoặc	parenthèses	bracket
ngoặt	tournant	landmark
ngu	stupide	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	original	reason
nguyền	malédiction	curse
nguyện	vœu	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	lune	moon
nguôi	apaisant	fade away
nguồn	source	source
nguời	les gens	people
nguỵ	imbéciles	camouflage
ngà	ivoire	russian
ngàn	mille	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	l&#39;industrie	sector
ngào	doux	sweet
ngày	jour	day
ngách	niche	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	stupide	chinese ethnic group living in the vietnamese highlands near the china border
ngán	s&#39;ennuyer	to be tired of
ngáng	ngáng	stop
ngát	évanouissement	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	banque	money
ngây	vierge	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	coriandre	coriander
ngó	regarde	to look (v.)
ngói	tuile	tile or shingle
ngón	doigt	a finger (n.)
ngót	rétrécissement	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	la langue	manifesto
ngông	oie	eccentric
ngõ	voie	lane
ngùi	sentir	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	compartiment	prevent
ngũ	cinq	rank
ngơ	ignoré	ignored (adj.)
ngơi	repos	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	pêcheur	fishermen
ngưng	arrêter	stop
ngưu	ox	buffalo
ngươi	toi	an ancient form of address equivalent to thou or thee (n.)
người	les gens	people
ngưỡng	seuil	religious
ngược	en arrière	opposite
ngạc	surpris	surprise
ngạch	rang	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	banque	bank
ngạnh	barbes	self-willed
ngạo	arrogant	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	asphyxie	stuffy
ngấm	infusé	draw
ngất	évanouissement	unconscious
ngầm	souterrain	underground
ngần	hésiter	hesitate
ngẩn	abasourdi	froze
ngẫm	méditer	think
ngẫu	aléatoire	ngẫu nhiên= random
ngậm	pastilles	keep
ngập	inondé	flood
ngắm	regarder	to contemplate or look admiringly at something (v.)
ngắn	court	short
ngặt	serré	strict
ngọ	midi	horse
ngọc	perle	pearl
ngọn	hauts	top
ngọt	doux	sweet (adj.)
ngồi	assis	sit
ngộ	illumination	ngo
ngột	brusquement	sudden
ngớ	idiot	silly
ngời	les gens	bright
ngỡ	pensé	surprised
ngợi	louange	praise
ngợm	coquine	naughty
ngục	donjon	dungeon
ngụm	siroter	sip
ngụy	wei	puppet
ngủ	dormir	sleep
ngủi	court	"(should be ""ngắn ngủi"") short-lived"
ngứa	démangeaisons	itchy
ngừ	thon	tuna
ngừa	prévenir	prevent
ngừng	arrêter	to cease (v.)
ngửa	faire face	supine
ngửi	sentir	to smell
ngữ	discours	term
ngự	habiter	defend
ngựa	chevaux	horse
ngực	poitrine	chest
nha	dentiste	dental
nhakẻ	enfant	nha-ke
nham	lave	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	encens	incense
nhanh	rapide	fast
nhat	nhat	nhat
nhen	ravivé	rekindle
nhi	les enfants	junior
nhiên	cours	tuy nhiên= however
nhiêu	beaucoup	how many
nhiều	beaucoup	numerous
nhiễm	infecté	infect
nhiễu	bruit	noise
nhiệm	devoir	task
nhiệt	chaleur	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	comme	demand
nhuận	saut	leap year
nhuệ	nhue	elite
nhuộm	teint	dye
nhàn	inactif	leisure
nhàng	doucement	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	pétrir	to fall headlong
nhác	mou	coward
nhái	clones	illegal copy
nhánh	branche	branch
nháp	brouillon	draft
nháy	clignote	to flash or blink (v.)
nhâm	trempage	leap
nhã	de bon goût	"(term should be ""thanh nhã"") elegant"
nhãn	étiquette	"(term should be ""gán nhãn"") to affix a label"
nhét	niché	put
nhì	seconde	second (adj.)
nhìn	regarde	to look (v.)
nhí	bavardage	children
nhím	hérisson	porcupine
nhòm	regarde	to peep (v.)
nhóc	enfant	brat
nhóm	groupe	group (n.)
nhô	en saillie	emerge
nhôm	aluminium	aluminum (n.)
nhúng	intégré	embed
nhút	timide	shy
nhăn	ridée	wrinkle
nhĩ	auriculaire	turkey
nhũ	émulsion	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	la corruption	bribery
nhơn	multiplier	nhon
như	comme	like
nhưng	mais	but
nhương	salive	(proper noun) vietnamese first name
nhường	rendement	yield
nhưỡng	grasse	soil
nhược	faiblesse	weak
nhượng	concessions	concession
nhạ	nhạ	nha
nhạc	la musique	music
nhạn	avaler	bird
nhạo	se moquer	ridicule
nhạt	pâle	light
nhạy	sensible	sensitive
nhảy	danse	jump
nhấc	soulever	lift
nhấm	siroter	rodent
nhấn	en appuyant	to press (v.)
nhất	le plus	most
nhầm	mal	misunderstand
nhầy	visqueux	glutinous
nhẫn	anneaux	patient
nhậm	estampillé	inaugurate
nhập	entrer	penetrate
nhậu	boire	drink
nhậy	sensible	sensitive
nhắc	invite	to remind (v.)
nhắm	viser	aim
nhắn	le message	message
nhằm	viser	for the purpose of (adv.)
nhẵn	lisse	smooth
nhặt	ramassé	pickup
nhẹ	lumière	light
nhẹn	agile	nhanh nhẹn= fast/nimble
nhị	étamine	sensitive
nhịn	s&#39;abstenir	fasting
nhọ	enduit	smear
nhọn	pointu	sharp (adj.)
nhỏ	petit	small
nhỏ|cây	petit | arbre	small|tree
nhỏ|một	petit | un	small | one
nhỏ|phải|	petit | droit |	small|right
nhỏ|phải|px|	petit | droit | px |	small | have | px |
nhỏ|phải|px|bức	petite | droite | px | photos	grape / fade / px / buc
nhỏ|phải|px|cây	petit | droit | px | arbre	px spicy grape fade
nhỏ|phải|px|khu	petite | droite | px | zone	small|right|px|area
nhỏ|phải|px|michael	petit | droit | px | michael	small|right|px|michael
nhỏ|phải|px|máy	petite | droite | px | machine	small | right|px|machine
nhỏ|phải|px|một	petit | droit | px | un	small|right|px|one
nhỏ|phải|px|quân	petit | droit | px | force	small|right|px|army
nhỏ|px|	petit | px |	small
nhỏ|px|các	petit | px | le	small
nhỏ|px|phải|kiến	petite | px | droite | fourmi	small | px | right | patience
nhỏ|quân	petit | force	small|army
nhỏ|trái|px|máy	petite | gauche | px | machine	small|left|px|plane
nhỏ|tượng	petites statues	small|statue
nhốt	enfermé	confine
nhồi	farci	cram
nhổ	cracher	uproot
nhộn	hilarant	busy
nhớ	se souvenir	remember
nhớt	visqueux	viscid
nhờ	merci	by
nhờn	grasse	multiplication
nhở	rappeler	remind
nhụ	pincer	nhu
nhục	humilié	shame
nhủ	rappels	needs
nhức	des courbatures	pain
nhứt	d&#39;abord	first (n.)
nhừ	comme	tender
những	ces	the
nhựa	plastique	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicée	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nikel	nickel
niken	nickel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	nul	nile
nile	nil	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	la sécurité	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	azote	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	année	youth
niết	niet	nirvana
niềm	plaisir	trust
niệm	pleine conscience	concept
niệu	diurèse	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noah	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	dire	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	jeune	mountain
nonpenetrative	non pénétrante	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	norman	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	norvège	norway
nou	nou	nou
novak	novak	novak
now	maintenant	now
nowc	nowc	nowc
noãn	ovule	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubie	nubia
number	nombre	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	nourrir	feed
nuối	avaler	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	avaler	to swallow (v.)
nuớc	de l&#39;eau	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	insister	pleading
nàn	plaint	poor
nành	soja	soy
nào	allez	would
này	ça	this
ná	ná	a crossbow (n.)
nách	aisselles	underarm (n.)
náo	dérangeant	riot
nát	écrasé	ruin
náu	cacher	hide
nâng	levage	raise
nâu	brun	brown
nã	nã	to track down (v.)
não	cerveau	brain
né	éviter	dodge
ném	jeter	to throw (v.)
nén	compressé	compress
nét	coups	feature
nê	ne	ne
nên	devrait	should or ought to
nêu	déclaré	mention
nòi	course	race
nòng	baril	barrel
nói	dit	to say or speak (v.)
nón	chapeaux	cone
nóng	chaud	hot
nô	esclave	slave
nôbita	tobita	nobita
nôi	crèche	cradle
nôm	nôm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	vomissements	vomit
nông	peu profond	farmer
nõn	éplucher	peeled
nùng	nung	nung
núm	bouton	nipple
núp	couverture	hide
nút	bouton	button
năm	année	year
năn	repentant	"(term should be ""ăn năn"") remorse (n.)"
năng	puissance	"(term should be ""khả năng"") ability (n.)"
nơi	lieu	a place
nơtrino	neutino	neutrino
nước	de l&#39;eau	country
nước 	de l&#39;eau	water
nướng	cuit	grill
nǎm	nǎm	year
nạ	masque	mask
nạc	maigre	lean (adj.)
nại	se plaindre	complain
nạn	détresse	a disaster (n.)
nạo	curetage	to scrape (v.)
nạp	chargé	tribute
nản	découragé	depressed
nảy	rebondir	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	hoquet	a hiccup (n.)
nấp	cacher	hide
nấu	cuisiner	cook
nấy	ça	this
nần	pousser	debt
nầy	ça	this
nẩy	rebondir	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n soleil	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	chaud	busy
nắm	saisir	to grasp or hold (v.)
nắng	ensoleillé	sunlight
nắp	couvercle	a lid or cover (n.)
nằm	mensonges	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonymement	heavy
nặn	serrer	mould
nặng	lourd	heavy
nẻo	un autre	turn
nếm	dégustation	taste
nến	bougies	candle
nếp	collant	sticky rice (n.)
nếu	si	if (adv.)
nề	maçonnerie	severe
nể	respect	respect
nện	battant	ram
nỉ	feutre	beg
nịnh	plus plat	flatter
nọ	l&#39;autre	the other
nọc	venin	tadpole
nỏ	arbalète	a crossbow (n.)
nối	connecté	connection
nốt	note	to finish off (v.)
nồi	pot	pot
nồm	nuque	humid (adj.)
nồng	concentration	heavy
nổ	exploser	explode
nổi	flottant	nổi tiếng= famous
nỗ	tenter	affort
nỗi	ça	state
nộ	courroux	anger
nội	interne	on the paternal side (adj.)
nộn	farce	non
nộp	déposé	submit
nới	se détendre	ease
nở	floraison	bloom
nỡ	chaleureux	do you have a heart to
nợ	dette	debt
nụy	pistil	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	liège	a kind of bamboo (n.)
nứt	fissuré	to crack
nửa	la moitié	haft
nữa	plus	moreover
oahu	oahu	(proper noun) oahu
oai	effroi	heroic
oakland	oakland	oakland
oan	l&#39;injustice	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	octobre	(proper noun) october
oda	oda	oda
oder	plus	oder
odyssey	odyssée	odyssey, as in the odyssey, homer's epic
oecd	ocde	oecd
officer	officier	officer
officers	officiers	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olympus	olympus
om	om	to simmer
omar	omar	a name
ong	abeille	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	orgue	organ
oricon	oricon	oricon
origin	origine	origin
orion	orion	(proper noun) orion, the hunter
orleans	orléans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossétie	(proper noun) ossetia
oswald	oswald	oswald
other	autre	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	pouf	(proper noun) ottoman, as in the ottoman empire
outstanding	remarquable	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	oxygène	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	ressentiment	"(term should be ""oán than"") to complain or whine"
oát	watt	a watt (n.)
oản	oàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestine	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	casserole	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	livre de poche	paperback
papua	papouasie	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	parc	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	patriote	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavie	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	pairs	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvanie	pennsylvania
penny	penny	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	poiré	(proper noun) perry, as in elizabeth perry
persephone	perséphone	presephone
pershing	pershing	pershing
persian	persan	persian
peru	pérou	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	pétersbourg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	mixte	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	frein	expose
phao	flotter	float
phaolô	paul	st. paul, the apostle
pharaoh	pharaon	pharaoh
pharaon	pharaon	pharaoh
phay	fraisage	mill
phe	faction	faction
phen	phén	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	philippines	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	filtrer	coffee filter
phineas	phineas	(proper noun) phineas
phiên	session	trial
phiêu	aventure	adventurous
phiếm	potins	gossip
phiến	lame	"(should be ""nha phiến"") opium"
phiện	l&#39;opium	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	phénix	(proper noun) phoenix
phong	chambre	movement
php	php	php
phrygian	phrygien	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	découvert	expose
phun	vaporiser	to spray or spit (v.)
phà	ferry	ferry
phàm	mortel	superhuman
phàn	se plaindre	complain
phá	briser	destroy
phác	croquis	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	battre	manner (n.)
phái	secte	a party
phán	juge	judge
pháo	canon	artillery
pháp	la france	method
phát	diffuser	develop
phèn	alun	alum
phèo	phèo	organs
phép	autorisé	permit
phê	café	"(term should be ""phê bình"") to criticize (v.)"
phêrô	peter	peter
phì	hypertrophie	non-
phình	renflement	bulge
phí	charger	non-
phía	côté	side
phích	thermos	a flask (n.)
phím	clé	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	chambre	office
phó	député	second
phóng	reporter	to launch (v.)
phô	ville	display
phôi	lingot	embryo
phông	police	font
phùng	bouffée	phung
phúc	béni	good fortune (n.)
phúclộc	béni	phuc-loc
phún	clochard	"(term should be ""lún phún"") sparse (adj.)"
phúng	dommage	satire
phút	minute	a minute (n.)
phăn	frette	phan
phăng	phang	knock
phương	phuong	direction
phước	bénédiction	luck
phường	pupille	ward
phượng	phénix	phoenix
phạn	sanskrit	sanskrit
phạt	pénalité	punish
phả	pedigree	pedigree
phải	oui	must
phải 	oui	right
phản	compteur	reaction
phảng	plat	subtle
phần	section	part
phẩm	les produits	food
phẩy	virgule	a comma
phẫn	indigné	wrathful
phẫu	la chirurgie	surgery
phận	le destin	part
phật	bouddha	buddhist
phẳng	plat	flat (adj.)
phế	débris	dismiss
phết	se propager	to spread or smear (v.)
phỉ	noisette	defame
phỏng	brûler	interview
phố	rue	city
phối	coordonner	coordinate
phốt	phosphates	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	gonflé	to swell (v.)
phổ	spectre	popular
phổi	poumons	lung
phộng	arachides	peanut
phới	flotter	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	pho	pho
phục	vêtements	convincing
phụng	servir	worship
phụt	bouffée	minute
phủ	couvert	government
phức	complexe	complex
picchu	picchu	a name
piccolo	piccolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	brochet	pike
pin	épingle	battery
pinlus	pinlus	pinlus
pioneer	pionnier	pioneer
pipes	tuyaux	pipes
pisa	pise	a name
piston	piston	piston
pitch	pas	pitch
pius	pie	pius
plaaf	plaaf	plaaf
plan	planifier	plan
plasma	plasma	plasma
plate	assiette	plate
plato	platon	plato
platon	platon	platon
player	joueur	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	plus	plus
pluto	pluton	pluto
pm	après-midi	pm
pmu	pmu	pmu
po	po	po
pokémon	pokémon	pokemon
pol	pol	pol
poland	pologne	poland
pollack	lieu jaune	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	pot	pot
potsdam	potsdam	(proper noun) potsdam
potter	potier	(proper noun) potter, as in harry potter
pour	verser	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	premier	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	prince	prince
princeton	princeton	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prométhée	(proper noun) prometheus
protein	protéine	protein
prôtêin	protéine	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolémée	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	pulpe	pulp
punjab	punjab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pyrénées	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	péc	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	pang	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
