$ tỉ	мільярд доларів	$ billion
tháp	башта	tower
thâm	глибокий	penetrate
thâu	скотч	to collect (v.)
thây	побачити	body
thãi	лайно	superabundant
thèm	жадати	desire
thép	сталь	steel
thét	скрикнув	shout
thê	то	category
thêm	більше	more
thêu	оренда	to embroider (v.)
thìa	ложка	spoon
thìn	тоді	(proper noun) thìn, the year of the dragon
thình	раптом	"(term should be ""thình lình"") suddenly"
thí	експерименти	(with word du) for example
thít	тіт	(proper noun) mân thít, a district in vietnam
thò	ткнув	tho
thòi	недолік	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	рисовий	grain (n.)
thói	звичка	a habit (n.)
thô	шорсткий	rough, old-fashioned
thôi	давай	only
thông	поінформований	"(term should be ""thông thường"") usual (adj.)"
thù	ворожнеча	"entire term should be ""ke thu""; means ""enemy"""
thùng	бункер	barrel
thùy	часточка	thuy
thú	цікаво	"(should be ""thích thú"") pleasurable"
thúc	кінець	push
thúy	туй	thuy
thăm	візит	visit
thăng	просували	helicopter
thơm	запашний	aromatic
thư	букви	"(term should be ""ung thư"") cancer (n.)"
thưa	шановний	sparse
thương	любов	love
thước	правитель	ruler
thường	часто	usually (adv.)
thưởng	нагорода	to reward (v.)
thược	гром	(proper noun) thược
thượng	верхній	upper
thạc	майстри	master
thạch	желе	rock or stone (n.)
thạnh	ніж	thanh
thạo	експерт	fluent
thả	крапля	"(term should be ""thả lỏng"") to let loose (v.)"
thải	відходи	waste
thảm	килим	carpet or rug (n.)
thản	безтурботний	calmly
thảo	гарний	"(term should be ""hội thảo"") a workshop (n.)"
thấp	короткий	low (adj.)
thấu	пенетрант	penetrate
thầm	мовчки	"(term should be ""thì thầm"") to whisper (v.)"
thần	боже	"entire term should be ""tinh than""; means ""of the mind"""
thầy	вчитель	teacher (n.)
thẩm	присяжні	osmotic/leak
thẫm	темний	dark
thận	нирка	careful
thập	хрест	tens
thật	справжній	true (adj.)
thắm	пелюстка	tham
thắn	відверто	frank
thắng	виграв	win
thắngthua	виграш	win-lose
thắp	світла	light
thắt	зв&#39;язати	tense
thằn	ящірка	"entire term should be ""than lan""; means ""lizard"""
thằng	хлопець	a derogatory term for a man (n.)
thẳm	глибокий	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	прямий	horizontal
thặng	надлишок	surplus
thẹn	соромно	shameful
thẻ	картка	card
thế	так	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	сталь	steel
thề	лаятися	swear
thềm	полиця	shelf
thể	бути	maybe
thỉnh	запросити	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	мода	prosperous
thịt	м&#39;ясо	meat (n.)
thọ	довголіття	phu tho
thọc	джеб	jab
thỏ	кролик	rabbit
thỏa	угоду	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	злиток	a bar (n.)
thối	гнилий	smelly
thốt	вимовлений	scream
thồ	пакувати	to transport via horse (v.)
thổ	землі	"(term should be ""lãnh thổ"") territory (n.)"
thổi	удар	blow
thớt	обробна дошка	sparse
thời	час	period
thở	вдих	breathe
thợ	робітник	craftman
thụ	рецептор	"(term should be ""thụ thai"") to become pregnant"
thục	шу	(proper noun) a vietnamese first name
thụt	з відступом	clyster
thủ	прем&#39;єр	masturbate
thủa	туа	during childhood
thủng	перфорація	having holes
thứ	речі	no.
thức	неспати	way
thừa	надлишкові	redundant
thừng	мотузка	"(term should be ""thẳng thừng"") mercilessly"
thử	спробувати	try
thửa	посилка	square
thự	вілла	mansion
thực	справжній	perform
ti	ти	titov
tia	промінь	ray
tiananmen	тіананмен	tiananmen
tiara	тіара	tiara
tibet	тибет	(proper noun) tibet
tigris	тигр	tigris
tiliaceus	тиліяцею	hoa dam but
tim	серце	heart
timor	тимор	timor
timothy	тимофій	timothy
tin	вірити	believe
tinbắc	повідомлення	file bac
tincầu	бляшаний міст	file bridge
tinh	планети	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	бляшаний будинок	folder: house
tinsông	новини	file river
tinthị	десятеị	file: town
tirol	тироль	tirol
tisdale	tisdale	tisdale
tish	тиш	(proper noun) tish
tissa	тиса	(proper noun) tissa, as in moggaliputta tissa
tivi	телебачення	television
tizard	ящик	(proper noun) tizard
tiên	перший	first
tiêu	перець	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	шкодувати	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	гуфі	seize
tiến	вгору	operate
tiếng	мова	language
tiết	секреція	abstinence/intensity
tiếu	тупий	"(should be ""đàm tiếu"") to sneer"
tiềm	потенціал	potential
tiền	гроші	money (n.)
tiều	лайно	(proper noun) the name of a poet
tiểu	мочитися	tiểu sử= biography
tiễu	містер лю	patrol
tiệc	бенкет	party
tiệm	магазин	shop
tiện	зручно	mean
tiệp	чеська	gustav franck
tiệt	чортів	sterilize
tncs	tncs	communist youth union
tngt	tngt	traffic accidents
tnhh	обмежена	limited
toang	toang	fast
tobago	тобаго	tobago
toei	toei	toei
tokugawa	потогава	tokugawa
tokyo	токіо	tokyo, the capital of japan
tokyopop	tokyopop	tokyopop
tomas	томас	(proper noun) tomas
tommy	томмі	tommy
tomoyo	томойо	tomoyo
tony	тоні	tony
toonami	надтонами	(proper noun) toonami
top	верх	top
torino	торіно	torino, as in the italian city
toriyama	торіяма	(proper noun) toriyama
tottenham	t тоттенхем	tottenham
tourism	туризм	tourism
tourist	туристичний	tourist
toyama	тойама	toyama
toyota	toyota	(proper noun) toyota
toà	суд	office
toàn	сейф	entire or whole (adj.)
toán	математика	team
toát	добре	to exude or emit, as in sweat (v.)
toạ	координати	locate
toại	у	satisfaction
toả	випромінювати	spread
tp	т.п.	city
tphcm	tphcm	ho chi minh city
tphồ	місто	city ho
tpvĩnh	місто	vinh city
tqlc	tqlc	marine
trafalgar	трафальгар	(proper noun) trafalgar
trafford	траффорд	trafford in greater manchester
trai	мідії	boy
trang	сторінка	a page (n.)
tranh	картинки	to compete (v.)
trao	роздані, роздав	reward
trau	трау	polish
tre	бамбук	bamboo (n.)
treo	повісити	hang
tri	три	tri
tribune	трибуна	a name
trinh	діва	"(should be ""trinh bạch"") virtuous"
trinidad	тринідад	trinidad
trinity	трійця	trinity
tristan	тристан	tristan
triết	філософія	philosophy
triền	трієн	"(should be ""triền miên"") endless"
triều	відлив	court
triện	пломба	stamp
triệt	ретельно	completely
triệu	мільйон	a million
tro	зола	ashes
troia	троя	troy
trondheim	тронхейм	trondheim
trong	в	inside (adv.)
true	правда	true
truman	труман	(proper noun) truman
trung	середній	"(term should be ""trung gian"") agent (n.)"
trungnhật	чесність	china-japan
truong	truong	truong
truyên	труєн	story
truyện	історія	story
truân	truân	arduous
truất	недоброзичливці	cancel
truởng	начальник	leader (n.)
truỵ	брехати	depraved
trà	чай	tea (n.)
tràm	каюпут	melaleuca
tràng	ободової кишки	"entire term should be ""truc trang""; means ""rectum"""
trào	виверження	movement
trác	trac	trac
trách	звинувачувати	blame
trái	зліва	against
trán	лоб	forehead
tráng	з покриттям	to coat (v.)
tránh	уникати	to avoid (v.)
tráo	шахрайським шляхом	tráo trở= liar/betrayal/treacherous
tráp	ящик	casket
trát	ордер	pile
trâm	брошка	a type of elegant hairpin (n.)
trân	з найкращими побажаннями	respect
trâu	буйволів	a last name
trãi	розкидані	trai
trèo	підйом	climb
trên	на	above
trình	подати	process
trí	розум	intellectual
trích	витяг	to extract (v.)
trò	хитрість	role
tròn	круглий	rounding
trói	виснажений	tie
trôi	дрейфуючий	afloat
trông	виглядає	look
trùm	начальник	cover
trùng	збігаються	"(should be ""tinh trùng"") sperm"
trùy	справді	something to with monk
trú	інтернат	residence
trúc	бамбук	structure
trăm	сотня	hundred
trăn	пітон	"(term should be ""trăn trở"") to ponder (v.)"
trăng	місяць	moon
trĩ	геморой	hemorrhoids
trũng	затонуло	medium
trơ	інертний	bare
trơn	слизька	slippery (adj.)
trư	тру	a pig (n.)
trưa	полудень	noon (n.)
trưng	реквізиція	symbolic
trưngcông	виставлені	truongcong
trương	труонг	policy
trước	раніше	front
trước 	раніше	front
trướng	розширення	expand
trườn	повзати	crawl
trường	школа	case
trượng	кадуцей	a unit of length used in vietnam equal to 4 meters (n.)
trượt	ковзати	slide
trạch	трах	ze
trại	табір	camp
trạm	станція	station
trạng	хвороба	situation
trạo	дао	trao
trả	платити	to return
trải	обкладинка	spread
trảm	каюпут	beheaded
trảo	мачете	trao
trấn	місто	town
trấu	рисового лушпиння	rice skin
trầm	глибокий	depression
trần	голий	tran
trầu	бетель	trầu
trầy	подряпано	scratch
trẩy	відмов	pilgrimage
trẫm	мені	i
trận	матч	battle
trật	вивих	order
trắc	біометрика	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	білі	white
trặc	гикавка	"entire phrase is ""truc trac""; means ""problem"""
trẻ	молодий	youth
trễ	пізно	late
trệ	застійний	bamboo
trị	лікування	cure
trịnh	фнх	trịnh, a vietnamese last name
trọ	готель	motel
trọn	повний	whole
trọng	важливий	serious
trỏ	покажчики	index
trối	остаточний	last words
trốn	ховатися	to hide
trống	порожній	in
trồi	виникаючі	to emerge (v.)
trồng	рости	plant
trổ	шоу	to burst open or display
trỗi	виникнення	rise
trội	домінуючий	better
trộm	злодії	theft
trớn	пестити	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	боже	sun
trợ	підтримка	support
trụ	офіс	universe
trục	вісь	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	голий	"(term should be ""trơ trụi"") bare (adj.)"
trứ	тру	famous
trứng	яйце	egg
trừ	мінус	except
trừng	відблиски	punish
trừu	овець	abstract
trữ	зберігання	reserve
trực	на чергуванні	direct
ts	ц	phd
tt	тт	news
tua	щупальця	fringe
tucker	тюкер	tucker, an english last name
tudor	тюдор	(proper noun) tudor, as in the tudor family
tukhachevsky	тухачевський	(proper noun) tukhachevsky
tulip	тюльпан	tulip
tum	пухлина	tum
tung	кидати	release
tupolev	туполів	tupolev, as in alexei tupolev
tuscan	тосканський	(proper noun) tuscan
tutsi	тутсі	(proper noun) tutsi
tuvalu	тувалу	(proper noun) tuvalu, a polynesian island nation
tuy	проте	however
tuyên	заявити	"(should be ""tuyên ngôn"") a declaration"
tuyết	сніг	snow (n.)
tuyền	tuyen	tuyen
tuyển	вербування	recruit
tuyệt	чудово	excellent (adj.)
tuân	підкорятися	comply
tuông	рум&#39;янець	jealous
tuý	туйý	drug
tuần	тиждень	week
tuế	мінночки	years
tuệ	мудрість	intelligence
tuốc	вищипування	turbine
tuổi	років	age
tuộc	восьминога	octopus
tuột	сповзати	slip
tuỳ	необов’язково	depend
tv	телебачення	tv
tvb	твб	tvb
twin	близнюк	twin
twitter	щебетати	twitter
ty	ти	company
type	тип	type
typhon	тайфон	typhon
tà	зло	we
tài	фортуна	talent (n.)
tàn	попіл	dying
tàng	музей	"(should be ""bảo tàng"") a museum"
tành	тан	shatter
tàu	корабель	ship
tá	десяток	"(term should be ""thiếu tá"") major (n.)"
tách	кубок	to separate
tái	повторно	return
tám	вісім	eight
tán	навіс	support
tánh	тан	life
táp	натисніть	to lap at (v.)
táu	винні	ashton
tâm	центр	tâm
tâu	мій лорд	peach
tây	захід	western
tâynam	вестнам	"(should be ""tây-nam"") southwest"
tã	памперси	diaper
tét	скрип	tet
tê	оніміння	numb
tên	ім&#39;я	name (n.)
tì	селезінка	to lean on (v.)
tìm	знайдіть	find
tìmdiệt	пошук	find-kill
tình	любов	sex
tía	фіолетовий	dad
tích	продукт	"(term should be ""tích cực"") to be zealous (adv.)"
tím	фіолетовий	purple
tín	кредити	"(entire term should be ""tín dụng"") credit"
tít	заголовок	"(term should be ""tít mù"") very far away (adv.)"
tò	цікавість	curious
tòa	суд	a court
tòi	речі	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	тонг	tòng, a last name
tóm	збірник	summary
tô	миску	car
tôi	я	i
tôm	креветки	shrimp
tôn	гофрований	venerate
tông	картон	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	тюрма	prison
tùng	запасний	tung
tùy	необов’язково	depend on
túc	достатність	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	сумочка	pocket
túm	захопити	catch
túng	незграбний	confuse
túp	хата	hut
túy	ліки	"(term should be ""thuần túy"") pure (adj.)"
tý	щур	mouse, as in year of the mouse
tăm	зубочистка	"(term should be ""tiếng tăm"") reputation"
tăng	збільшити	increase
tĩnh	статичний	calm
tơi	я	ragged
tư	з	posture
tưng	хиткий	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	свіжий	fresh
tương	подібний	"(term should be ""tương tự"") to be similar to"
tước	зачистка	title (n.)
tưới	полив	irrigation
tướng	загальний	prime minister (thu tuong)
tường	стіна	"a common vietnamese first name; means ""wall"""
tạ	штанга	weight
tạc	ліпити	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	в	survival
tạm	тимчасовий	temporary
tạo	творити	create
tạp	журнал	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	опис	describe
tản	розсіювання	disperse
tảng	платформа	platform
tấc	дюйм	inch
tấm	тарілки	mirror
tấn	т	tan
tấp	потягнув	crowded
tất	шкарпетки	all
tấu	інструментальний	tau
tầm	ігри	range or extent (n.)
tần	частоти	"(term should be ""tần số"") frequency (n.)"
tầng	підлогу	layer
tầu	поїзд	ship
tẩm	просочений	soak
tẩy	гумка	to bleach
tận	кінець	dedicated
tật	інвалідність	disease
tắc	вимикачі	priciple
tắm	душ	bathing
tắt	вимкнути	initial
tặc	хакери	"(term should be ""hải tặc"") a pirate (n.)"
tặng	дарувати	donate
tẻ	рубати	lẻ tẻ= scattered
tết	тет	(proper noun) the vietnamese new year
tếxã	економічно	economy - society
tề	ци	tidy
tể	пан	lord
tệ	поганий	bad
tệp	файл	file
tỉa	обрізка	"(term should be ""bắn tỉa"") to snipe"
tỉnh	провінційний	province
tị	заздрість	refugee
tịch	президент	"(""chủ tịch"") president or chairman"
tọa	координати	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	виражений	to
tỏa	випромінювати	radiate
tỏi	часник	garlic
tốc	швидкість	speed
tốn	вартість	to cost (v.)
tống	супровід	dispose
tốp	групи	top
tốt	добре	good
tồi	поганий	bad
tồn	існують	exist
tổn	боляче	damage
tổng	всього	president
tộc	клан	"(term should be ""dân tộc"") a race or people"
tội	гріх	crime
tột	крайній	extreme
tớ	я	servant
tới	наступний	to the point
tờ	аркуш	paper/document
tởm	огидний	disgusting
tục	негідний	"(term should be ""tập tục"") customs or practices"
tụy	підшлункова залоза	"(term should be ""tận tụy"") devoted (adj.)"
tủ	шафи	shelf
tủi	поганий	humiliated
tủy	кістковий мозок	spine
tức	миттєвий	i.e.
từ	з	from
từng	коли-небудь	each
tử	смерть	lion (su tu)
tửu	толерантність до алкоголю	wine
tự	я	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	назва	lean
tựu	досягнення	achievement
tỵ	змія	the han name for the year of the snake, according to the chinese zodiac
tỷ	мільярд	billion
u	у	tumor
ua	ua	ua
uae	уае	uae
ubuntu	ubuntu	ubuntu
uc	ук	uc
uchiha	учіха	uchiha
uefa	уефа	uefa
uh	е	uh
uk	укр	uk
ukiyoe	укійое	ukiyoe
ukraina	україна	ukraine
ulsan	ульсан	ulsan
umm	гмм	umm
un	ун	(proper noun) un, as in chung un chan of korea
und	унд	und
under	під	under
unesco	unesco	unesco
ung	гнилий	cancer
unicorn	єдиноріг	unicorn
unit	одиниця	unit
unix	unix	unix
up	злети	up
ural	урал	ural, as in the ural mountains
urani	урану	uranium
uri	урі	uri, a former political party in south korea
uruguay	уругвай	uruguay
usagi	ушагі	usagi
usb	usb	usb
uss	uss	uss
utah	юта	utah
utrecht	утрехт	(proper noun) utrecht
uy	уй	"(term should be ""uy lực"") power (n.)"
uyghur	уйгур	(proper noun) uyghur
uygur	уйгур	uygur
uyên	уйєн	scholarly
uyển	евфемізм	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	узбекистан	uzbekistan
uông	уонг	uong
uất	uất	busy
uốn	завивка	to curl (v.)
uống	пити	to drink
uổng	гаяти	vain
v	v	v
va	va	collide
vaccine	вакцина	vaccine
vai	плече	shoulder
valencia	валенсія	valencia
valentine	валентинка	valentine
valley	долина	valley
van	клапан	"(term should be ""van xin"") to beg (v.)"
vanessa	ванесса	vanessa
vargas	варгази	(proper noun) vargas
vasari	вазарі	vasari
vay	позичити	borrow
vectơ	вектор	vector
ven	уздовж	"(term should be ""ven biển"") coastal (adj.)"
vendôme	вендома	vendome
venezia	венеція	venice
venus	венера	venus
verdun	вердун	verdun
vermont	вермонт	vermont
verona	верона	(proper noun) the city of verona
versailles	універсали	(proper noun) versailles
vhs	вхс	vhs
vi	тому що	behavior
viagra	віагра	viagra
victor	переможець	(proper noun) victor
victoria	вікторія	victoria, a province of australia
vienna	відень	(proper noun) vienna, austria
viet	в’єт	vietnamese
vietnam	в&#39;єтнам	vietnam
viettel	в&#39;єтель	viettel
viii	viii	eighth
vijaya	vijaya	(proper noun) vijaya
viking	вікінг	viking
villa	вілла	villa
villeneuve	villeneuve	(proper noun) villeneuve, a french last name
vinagame	вінегаме	vinagame
vinashin	вінашин	vinashin
vince	вінс	(proper noun) vince, as in vince mcmahon
vincennes	вінсенни	vincennes
vincent	вінсент	vincent
vinpearl	винпеарл	vinepeal
viqr	viqr	viqr
virginia	вірджинія	(proper noun) virginia, as in the state
virus	вірус	virus
virút	вірус	virus
vissarionovich	вісаріонович	vissarionovich
vista	вид	vista, as in windows vista
vitamin	вітамін	vitamin
vitruvius	вітрувій	vitruvius
viz	саме	(proper noun) viz
viêm	запалення	inflammation
viên	таблетки	member
viêng	viang	vientiane
viêt	написання	vietnam
viếng	візит	visit
viết	писати	write
việc	робота	thing
viện	інститут	institute
việt	в&#39;єтнам	viet
việtmường	в’єтнамський муонг	muong
việtnga	вьетнга	vietnam-russia
việttrung	ветрунг	vietnam-china
vn	вн	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	во	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	слони	elephant
voip	voip	voip
voldemort	вольдеморт	(proper noun) voldemort, the villain from the harry potter series
von	фон	compare
vonfram	вольфрам	wolfram
vong	жертв	injured
voyager	плавання	voyager
voọc	лангури	a langur (n.)
vtc	vtc	vtc
vu	ву	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	король	king
vui	весело	happy
vulcan	вулкан	vulcan
vuông	майдан	square
vuốt	кігті	stroke
vv	тощо.	etc.
vy	ви	vy
vyacheslav	в&#39;ячеслав	vyacheslav
và	і	and
vài	нечисленні	several
vàm	вм	the mouth of a rivulet (n.)
vàng	жовтий	gold
vành	ободок	coronary
vào	в	into
vá	пластир	patchy
vác	перенесення	to shoulder (v.)
vách	стіна	wall
vái	так	some
ván	дошка	game
váng	негідність	film
váy	сукня	skirt
vân	так далі	"(term should be ""vân vân"") et cetera"
vây	плавник	encircle
vã	кинувся	rush
vãi	лайно	to release
vãn	ван	save
vè	мочитися	to glance slyly (v.)
vé	квиток	ticket
vét	земснаряд	plunder
vê	о	tremolo
vì	тому що	because
ví	гаманець	example
vía	гаманець	soul
vít	гвинт	screw
vò	зім&#39;ятий	jar
vòi	шланг	tap
vòm	дах	upper jaw
vòng	каблучка	around
vó	оооо	hooves
vóc	розмір	"(should be ""vóc sương"") dew-like or delicate"
vô	немає	"(term should be ""vô số"") countless (adj.)"
vôi	вапна	limestone
võ	бойовий	martial arts (n.)
võng	гамак	hammock
vùi	похований	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	область	region
vú	груди	breast (n.)
vút	парить	"entire term should be ""cong vut""; extreme curling"
văn	література	culture
văng	сплеск	a name
vĩ	чудовий	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	постійно	ving
vũ	ву	armed
vũng	калюжа	vung
vơ	безпорадний	lost
vơi	з	ullage
vưu	vưu	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	охопити	reach
vương	король	kingdom
vướng	заплутався	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	сад	garden
vượn	мавп	gibbon
vượt	пропуск	to overcome
vạ	так	unfortunate problem
vạc	казан	cauldron
vạch	бар	bar
vại	баночка	jar
vạn	десять тисяч	thousand
vạng	сутінки	twilight
vả	рис	hard
vải	тканина	fabric
vảy	ваги	scale
vấn	порада	vấn đề= problem
vấp	споткнувся	stumble
vất	викинути	hard
vần	рима	spell
vầng	ореол	moon (vang trang)
vẩn	ще	wander
vẩy	пластівці	scale
vẫn	ще	still
vẫy	розмахуючи	wave
vận	фортуна	active
vắc	вакцина	vaccine
vắcxin	вакцина	vaccine
vắn	короткий	short
vắng	відсутні	absent
vặn	гвинт	to twist (v.)
vặt	оголошення	odd
vẹn	цілісність	complete
vẹt	папуги	parrots
vẽ	живопис	draw
vết	пластир	wound
vểnh	окунь	warping
vệ	оборони	"(term should be ""bảo vệ"") to defend (v.)"
vệt	прожилки	streak
vỉa	шви	"(term should be ""vỉa hè"") sidewalk"
vịnh	затока	bay
vịt	качка	duck
vọng	сподіватися	"(term should be ""hy vọng"") hope (n.)"
vọt	зліт	to spurt out (v.)
vỏ	кора	shell
vồ	маул	"(term should be ""gạch vồ"") a type of brick"
vỗ	погладити	to clap
vội	поспішайте	hurriedly (adv.)
vớ	шкарпетки	"(term should be ""vớ vẩn"") silly (adj.)"
với	з	to
vớt	риба	salvage
vờ	прикидатися	"(term should be ""giả vờ"") to pretend (v.)"
vời	чудовий	wonderful
vở	зошит	"(term should be ""vở kịch"") a play"
vỡ	зламаний	break
vợ	дружина	wife
vụn	фішки	debris
vụng	незграбний	covert
vứt	викинути	throw away
vừa	підходить	just (adv.)
vừng	кунжут	sesame (n.)
vững	фірма	firm (adj.)
vực	поле	place
vựng	лексика	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	так	majestic
w	ш	w
wa	ва	wa
walt	вальт	(proper noun) walt, as in walt disney
walter	вальтер	walter
walther	вальтер	walther
wan	вань	wan
wang	ван	wang
wankel	wankel	(proper noun) wankel
wanna	хочу	wanna
warren	уоррен	a name
warsaw	бойова пила	warsaw
warszawa	warzawa	(proper noun) warsaw
washington	вашингтон	(proper noun) washington
wat	ват	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	водяний вогонь	watergate
waterloo	ватерло	(proper noun) waterloo
waters	води	waters
wayne	вейн	wayne
wcdma	wcdma	w-cdma
weasley	візлі	weasley, as in ron weasley in the harry potter series
weblog	веб-журнал	weblog
webmail	веб-пошти	ưebmail
weimar	веймар	(proper noun) weimar
wellington	веллінгтон	wellington
wells	колодязі	wells, as in author orson wells
welsh	вал	(proper noun) welsh, as in the welsh language
wembley	wembley	wembley, as in wembley stadium
werner	вернер	werner
westermarck	вестермарк	westermarck
western	західний	western
westlife	вестерлайф	westlife
westview	westview	westview, as in westview press
wheeler	колісний	a name
widener	ширший	widener
wien	відень	wien
wiener	wiener	wiener
wifi	wifi	wi-fi, a technology term
wiki	вікі	wiki
wikia	wikia	a name
wikibooks	вікікниги	(proper noun) wikibooks
wikimapia	вікімапія	wikimapia
wikimedia	wikimedia	wikimedia
wikitravel	wikitravel	a name
wild	дикий	wild
wilder	дикіше	(proper noun) wilder, as in billy wilder
wiley	хитрий	wiley
willard	в&#39;ялий	willard
wimbledon	вімблдон	wimbledon
windows	вікна	windows
winer	винний	winer
wisconsin	вісконсин	(proper noun) wisconsin
within	всередині	within
without	без	without
wolfgang	вольфганг	wolfgang
won	виграв	won
wong	вонг	wong
woodrow	дерев	woodrow
woods	ліси	(proper noun) woods, as in tiger woods
would	би	would
wrestling	боротьба	wrestling
wright	райт	a name
wu	ву	wu
wushu	ушу	wushu, a type of martial art
wwf	wwf	wwf
xa	далеко	ancient
xang	xang	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	синій	green
xao	в&#39;ялий	xôn xao = chatting
xay	шліфувати	grind
xe	автомобіль	a car (n.)
xem	побачити	watch
xen	ксен	to insert (v.)
xhcn	xhcn	social republic
xi	xi	xi
xiii	xiii	eighth
xin	будь ласка	please
xinh	гарний	beautiful
xiv	xiv	fourteenth
xiêm	сіамські	(proper noun) xiêm, or siam
xiên	косий	oblique
xiêu	сяо	soften
xiếc	цирк	circus
xiết	підтягувати	to twist tightly (v.)
xiềng	кайдани	chain
xo	xo	spring
xoa	натерти	massage
xoay	черга	turn
xong	здійснено	completed
xoàng	посередній	mediocre
xoá	видалити	delete
xoáy	едді	vortex
xoắn	скручений	coiled
xu	монета	trend
xua	розвіяти	dispel
xuan	сюань	"(term should be ""xuân"") a common vietnamese middle or first name; means ""the season of spring"""
xui	нещасливий	incite
xuka	xuka	xuka
xum	розкішний	a name
xuyên	пронизливий	frequently
xuyến	браслети	manage
xuân	весна	spring
xuâncông	весна	xuan public
xuôi	підмітав	down
xuất	експорт	ejaculate
xuấtnhập	експорт-імпорт	import/export
xuống	вниз	down
xuồng	каное	boat
xv	xv	fifteenth
xvi	xvi	xvi
xvii	xvii	xvii
xx	хх	xx
xy	xy	cylinder
xài	витрачати	use
xào	смажити	stir fry
xách	сумочка	to carry by the handle (v.)
xám	сірий	ustox
xán	смажена	"(term should be ""xán lạn"") bright (adj.)"
xáo	порушення	chaos
xát	натирання	touch
xâm	татуйовані	invasion
xâu	рядок	string
xây	будувати	build
xã	комуна	society
xãy	непостійний	occur
xèo	xèo	xeo
xé	рвати	tear
xén	обрізання	"(term should be ""biếu xén"") to gift (v.)"
xéo	бічний	diagonally (adv.)
xét	розглянути	examine
xê	рухатися	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	сунео	xeko
xì	пердіти	scandal
xìu	пердіти	to become flaccid (v.)
xí	фабрика	factory (xi nghiep)
xít	захоплююче	nazi
xíu	крихітні	small
xòe	розповсюдження	spread
xóa	стерти	clear
xói	ерозія	erode
xóm	сусідів	village
xót	милосердя	mercy
xô	засунути	soviet
xôi	клейкий рис	pierce
xôn	розмішати	tumultuous
xông	кинувся	rush
xôphần	секція відра	soviet-poland
xôviết	радянський союз	soviet
xù	розпушений	gigantic
xú	грубий	xu
xúc	контактний	touch
xúi	спонукати	induce
xăm	татуювання	"(term should be ""xa xăm"") far away (adj.)"
xăng	бензин	gasoline
xơ	клітковина	xo
xưa	старий	old
xưng	зізнатися	"(should be ""tự xưng"") self-proclaimed"
xương	кістка	bone (n.)
xước	подряпано	scratch
xướng	приспів	provoke
xưởng	майстерня	workshop
xạ	випромінювання	"(term should be ""phản xạ"") to reflect"
xả	розряд	release
xảo	хитрий	detailed
xảy	трапляються	happen
xấp	бл	approximate
xấu	поганий	bad
xẩm	волохатий	a type of traditional vietnamese singing
xẩy	трапляються	occur
xắt	кубики	cut
xẻo	нещасливий	cut off
xếp	складений	rank
xỉ	шлаки	approximately
xỉa	нитка	to pick (v.)
xỉu	непритомний	to faint
xốc	шок	to lift up (v.)
xốp	пінопласт	porous
xổ	розіграш	rush into
xộn	безладний	messy
xứ	земля	native
xứng	гідний	appropriate
xử	пригощати	judge
y	у	medical
y=fracsin	у = фрацин	a function
ya	йа	(proper noun) ya, as in ya trang
yakovlev	яковлєв	yakovlev
yakushima	якушима	yakushima
yalta	ялта	(proper noun) yalta
yankee	янкі	(proper noun) yankee
yard	двір	yard
yasha	яша	a name
yeeun	yeeun	(proper noun) yeeun
yeltsin	ельцин	yeltsin, as in boris yeltsin
yemen	ємен	yemen
yersin	йерсін	(proper noun) yersin, asin alexandre yersin
yi	врожайність	(proper noun) yi
ying	ін	(proper noun) ying, as in ying yang
ymca	ymca	ymca
yo	йо	yo
yomiuri	йоміурі	yomiuri
yoochun	йохун	yoochun
york	йорк	york
yorker	йоркер	yorker
yorkshire	йоркшир	yorkshire
