$	usd	a sign of doller
સંકુલ	komplekss	collection
સંકુલમાં	kompleksā	in campus
સંકેત	mājiens	hint/signal
સંકેતો	mājieni	signals,
સંકોચન	saspiešana	shrinkage
સંક્ષિપ્ત	īsumā	brief
સંખ્યા	skaits	number
સંખ્યાની	no skaitļiem	numbers
સંખ્યાને	uz numuru	count
સંખ્યાબંધ	skaitlis	lots of
સંખ્યામાં	skaitļos	int the number of
સંગઠન	organizācija	organization
સંગઠનો	organizācijas	organization
સંગઠિત	organizēts	co-operate / close knit
સંગમ	konflikts	confluence
સંગીત	mūzika	music
સંગીતકાર	mūziķis	lyrist
સંગીતના	no mūzikas	music's
સંગીતની	no mūzikas	of music
સંગૃહીત	arhivēts	collected
સંગ્રહ	kolekcija	accumulate
સંગ્રહની	no kolekcijas	ascites
સંગ્રહમાંથી	no kolekcijas	from the collection
સંગ્રહાલય	muzejs	museum
સંગ્રહિત	arhivēts	collected
સંગ્રામ	cīņa	war
સંગ્રામના	no cīņas	of fight
સંગ્રામમાં	cīņā	battle
સંઘ	savienība	union
સંઘના	savienība	union
સંઘની	savienība	union's
સંઘમાં	savienībā	within union
સંઘર્ષ	konflikts	friction / war
સંઘર્ષો	konflikti	conflicts
સંઘીય	federālā	federal
સંઘે	savienība	organization
સંચાર	komunikācija	transmission
સંચાલન	pārvaldība	management
સંચાલિત	darbina	run by
સંજય	sanjay	sanjay
સંજોગોમાં	apstākļos	situation
સંજ્ઞા	lietvārds	actions
સંત	svētais	saint
સંતશ્રી	svētais šrī	saint
સંતાન	pēcnācēji	seed / children
સંતાનો	bērni	offsprings
સંતુલન	līdzsvars	balance
સંતો	svētie	priests
સંતોએ	svētie	priest
સંતોષ	gandarījums	content
સંદર્ભ	atsauce	knitting together
સંદર્ભમાં	kontekstā	related / context
સંદર્ભે	attiecībā uz	context / relation
સંદર્ભો	atsauces	references
સંદેશ	ziņa	massege
સંદેશા	ziņas	message
સંદેશાઓ	ziņas	messages
સંદેશાઓની	no ziņojumiem	messages
સંદેશાના	no ziņojumiem	message's
સંદેશાની	no ziņas	message
સંદેશો	ziņa	message
સંધિ	līgums	contract, deal, treaty,
સંધિમાં	līgumā	in treaty
સંન્યાસ	pensijas	retire
સંપત્તિ	īpašums	wealth
સંપન્ન	apveltīts	end
સંપર્ક	kontaktpersona	contact
સંપર્કમાં	iedarbība	in touch
સંપાદન	rediģēšana	editing
સંપુર્ણ	pabeigts	whole, complete,
સંપૂર્ણ	perfekti	entire / total / complete
સંપૂર્ણપણે	pilnīgi	completely
સંપ્રદાય	kults	sect
સંપ્રદાયના	no sektas	religion
સંપ્રદાયનાં	no sektas	religious sect
સંપ્રદાયની	kults	of the sect
સંપ્રદાયમાં	kultā	in sect
સંબંધ	attiecības	relation
સંબંધિત	saistīts	related
સંબંધી	radinieks	relative
સંબંધીત	saistīts	related to
સંબંધે	saistībā ar	in relation to
સંબંધો	attiecības	relation
સંબોધતા	uzrunāšana	to address
સંબોધન	adrese	address
સંબોધવામાં	uzrunāts	in addressing
સંભવ	iespējams	probable
સંભવતઃ	droši vien	probably
સંભવિત	potenciāls	possible
સંભાળ	rūpes	care
સંભાળતા	pārkraušana	taking care of
સંભાળવા	tikt galā	handle
સંભાળી	apstrādāts	heard
સંભાળે	rokturi	handles/ governs
સંભાળ્યો	pārņēma	heard
સંભાવના	varbūtība	possibility
સંમત	vienojos	agreed
સંમતિ	piekrišana	consent
સંમેલન	konvencija	conference
સંમેલનમાં	konventā	summit
સંયમ	ierobežojums	control
સંયુકત	locītavu	union
સંયુક્ત	locītavu	united
સંયોજન	kombinācija	fusion
સંરક્ષણ	aizsardzība	defense
સંરક્ષિત	aizsargāts	safe
સંરચના	uzbūve	organisation / composition/ fabric
સંલગ્ન	iesaistīties	attached
સંવત	samvat	year of the vikrama era
સંવર્ધન	audzēšana	breeding
સંવાદ	dialogs	conversation
સંવાદો	dialogi	dialogues
સંવિધાન	konstitūcija	constitution
સંવિધાનની	no konstitūcijas	of constitution
સંવેદનશીલ	jutīga	sensible
સંશોધક	pētnieks	researcher
સંશોધકો	pētnieki	researchers
સંશોધકોએ	pētnieki	who discovers
સંશોધન	pētījumi	invention
સંશોધનમાં	pētījumos	in inventions
સંશોધનો	pētījumi	inventions
સંસદ	parlaments	parliament
સંસદના	parlamenta priekšsēdētājs	parliament
સંસદની	parlamenta priekšsēdētājs	parliamentary
સંસદમાં	parlamentā	in the parliament
સંસદીય	parlamentārais	parliamentary
સંસાર	samsara	world
સંસારમાં	pasaulē	in world
સંસ્કરણ	versija	edition
સંસ્કાર	sakraments	culture
સંસ્કૃત	sanskrits	sanskrit
સંસ્કૃતના	no sanskrita	"subject name 'sanskrut"""
સંસ્કૃતમાં	sanskritā	in sanskrit
સંસ્કૃતિ	kultūra	culture
સંસ્કૃતિઓ	kultūras	cultures
સંસ્કૃતિઓમાં	kultūrās	in civilizations
સંસ્કૃતિના	no kultūras	cultural
સંસ્કૃતિની	no kultūras	of civilization
સંસ્કૃતિનું	no kultūras	culture
સંસ્કૃતિને	kultūra	culture
સંસ્કૃતિનો	no kultūras	of civilization
સંસ્કૃતિમાં	kultūrā	in the culture
સંસ્ક્રુત	sanskrits	sanskrit
સંસ્થા	organizācija	institute
સંસ્થાઓ	organizācijas	organizations
સંસ્થાઓએ	iestādes	foundation
સંસ્થાઓના	no iestādēm	organizations
સંસ્થાઓમાં	institūcijās	in the organisations
સંસ્થાન	institūts	colony
સંસ્થાના	no organizācijas	organization
સંસ્થાની	no organizācijas	institute's
સંસ્થાનો	organizācijas	organization
સંહાર	iznīcināšana	killings
સંહિતા	kods	code
સઊદ	saūds	sauda
સકતા	var	can be [hindi word]
સકતે	var	can [hindi - urdu word]
સકારાત્મક	pozitīvs	positive
સક્રિય	aktīvs	active
સક્ષમ	iespējots	able
સખત	grūti	hard
સખાતે	sakhate	in competition with
સખાવતી	labdarības	a work done with the purpose of donation
સગવડ	iekārtas	facility
સઘન	intensīva	comprehensive
સચિન	sakins	sachin, name of man, cricketer
સચિને	sakins	by sachin
સચિવ	sekretārs	minister
સચોટ	precīza	appropriate
સજા	sodu	punishment
સજીવ	organismi	living
સજ્જ	aprīkots	equipped with
સડક	ceļš	road
સતત	nepārtraukts	continuous
સતાધાર	sātadhara	satadhar
સતાધારની	sātadharani	satadhar's
સતી	sati	sati
સત્તા	jauda	power
સત્તાઓ	pilnvaras	powers
સત્તાના	no varas	of authorization
સત્તાનો	no varas	of power
સત્તામાં	pie varas	power / existance
સત્તાવાર	oficiālā	official
સત્ય	patiesība	truth
સત્યજિત	satjajit	satyajeet
સત્યના	patiesībā	of truth,
સત્યની	patiesībā	of the truth, truth's
સત્યવતી	satjavati	satyavati
સત્યવતીએ	satjavati	satyavati
સત્યવતીના	satjavati	satyawati's
સત્યાગ્રહ	satjagraha	passive resistance
સત્યાગ્રહની	satjagraha	of satyagrah
સત્યાગ્રહનું	no satjagrahas	of the satyagrah
સત્યાગ્રહને	satjagraha	righteousness
સત્યાગ્રહનો	satjagraha	passive resistance
સત્યાગ્રહમાં	satjagrahā	satyagrah
સત્યાગ્રહો	satjagrahas	movement, disorder to law
સત્ર	sesija	layer
સત્વ	būtība	juice / power
સદંતર	pilnīgi	completely
સદસ્ય	biedrs	member
સદા	vienmēr	always
સદાચાર	tikumība	sanctity
સદી	gadsimts	century
સદીઓ	gadsimtiem	generation
સદીઓથી	gadsimtiem	from centuries
સદીઓમાં	gadsimtu gaitā	in centuries
સદીથી	gadsimts	from centuries
સદીના	gadsimta	of century
સદીની	gadsimta	century
સદીમાં	gadsimtā	in the century
સન	saule.	a.d.
સનદી	harta	civil
સનાતન	mūžīgais	universal
સને	saule.	ad
સન્	saule.	a.d.
સન્માન	goda vārds	honour
સપાટ	plakans	flat
સપાટી	virsma	surface
સપાટીથી	no virsmas	from the surface
સપાટીના	virsma	of the surface
સપ્ટેમ્બર	septembrī	september
સપ્‍ત	septiņi	seven
સફર	brauciens	travel
સફરજન	apple	apple
સફળ	panākumi	successful
સફળતા	panākumi	sucess
સફળતાએ	veiksmīgi	successes
સફળતાપૂર્વક	veiksmīgi	successfully
સફેદ	balts	white
સબ	apakš	everybody
સબમરીન	zemūdene	submarine
સબળ	spēcīgs	strong
સબસે	lielākā daļa	of all [hindi word]
સભા	tikšanās	meeting
સભાના	no sanāksmes	of the committee
સભાની	no sanāksmes	assembly's
સભામાં	sanāksmē	in meeting
સભ્ય	biedrs	member
સભ્યપદ	dalība	membership
સભ્યો	dalībnieki	members
સભ્યોની	biedru	of the members
સભ્યોને	dalībnieki	members
સમકક્ષ	ekvivalents	similar
સમકાલિન	mūsdienu	contemporary / co eval
સમકાલીન	mūsdienu	coeval
સમક્ષ	iepriekš	equivalent
સમગ્ર	viss	entire
સમજ	sajūta	understanding
સમજણ	saprašana	inteliigence
સમજવા	saprast	to understand
સમજવામાં	saprotams	understand / taken / counted
સમજાય	saprotams	to be understood
સમજાયું	realizēts	understood
સમજાવવા	izskaidrot	to convince
સમજાવવામાં	izskaidroja	explain
સમજાવી	izskaidroja	explain
સમજાવે	izskaidro	explain
સમજાવ્યા	izskaidroja	explain
સમજાવ્યું	izskaidroja	tought
સમજી	saprotams	understand
સમજે	saprot	understands
સમન્વય	sinhronizēt	coordination
સમન્વિત	sinhronizēts	to include
સમભાવ	līdzsvars	equality,
સમય	laiks	time
સમયગાળા	periods	duration
સમયગાળામાં	periods	duration
સમયગાળો	ilgums	duration
સમયથી	laiku pa laikam	for time
સમયના	no laika	time
સમયનાં	no laika	of the times
સમયની	no laika	time's
સમયનું	no laika	of the time
સમયને	laiks	to time
સમયનો	laiks	of time
સમયમાં	laikā	in the time of
સમયાંતરે	periodiski	at an interval of time
સમયે	tajā laikā	in time
સમર્થ	spēj	able
સમર્થક	atbalstītājs	supporter
સમર્થન	atbalsts	support
સમર્પણ	veltījums	surrendered
સમર્પિત	veltīts	contribute
સમસ્ત	visi	entire
સમસ્યા	problēma	problem
સમસ્યાઓ	problēmas	problem
સમાંતર	paralēli	parallel
સમાચાર	jaunumi	news
સમાજ	sabiedrība	society
સમાજના	no sabiedrības	society
સમાજની	no sabiedrības	society
સમાજને	sabiedrība	soceity
સમાજમાં	sabiedrībā	in the society
સમાજવાદી	sociālists	socialist
સમાધાન	kompromiss	settlement
સમાધિ	samadhi	samadhi, an stage of link with holy soul, almighty,
સમાધી	samadhi	contemplation
સમાન	tas pats	equal
સમાનતા	vienlīdzība	equality
સમાનવ	ekvivalents	manned
સમાનાર્થી	sinonīmi	synonyms
સમાપ્ત	gatavs	ended
સમાપ્તિ	izbeigšana	end
સમારંભ	ceremonija	ceremony
સમારંભમાં	ceremonijā	ceremony
સમારકામ	remonts	repairing
સમાવિષ્ટ	saturs	to include
સમાવી	satur	included
સમાવેશ	iekļaušana	include
સમિતિ	komiteja	committee
સમિતી	komiteja	committee
સમી	sāmu	just like
સમીકરણો	vienādojumi	equalization
સમીક્ષા	pārskats	to review
સમુદાય	kopiena	crowd
સમુદાયો	kopienas	communities
સમુદ્ર	jūra	sea
સમુદ્રથી	no jūras	from sea, by sea
સમુદ્રના	no jūras	of sea, of ocean
સમુદ્રની	no jūras	of sea
સમુદ્રમાં	jūrā	in sea
સમુદ્રી	jūras	related to sea
સમુહ	grupa	group
સમૂહ	komplekts	group
સમૂહને	uz komplektu	mass / collective / set
સમૃદ્ધ	bagāts	rich
સમૃદ્ધિ	labklājība	prosprous
સમ્મિલિત	iekļauts	included
સમ્રાટ	imperators	emperor
સયાજીરાવ	sjadžirao	sayajirao
સર	kungs	sir
સરકાર	valdība	government,
સરકારના	no valdības	government
સરકારની	no valdības	governent
સરકારનું	no valdības	governent's
સરકારને	valdībai	to government
સરકારનો	no valdības	of the government
સરકારમાં	valdībā	in the government
સરકારી	valdība	governmental / official
સરકારે	valdība	by the government
સરકારો	valdības	goverment
સરકારોએ	valdības	by governments
સરખા	identiski	equal, even
સરખામણી	salīdzinājums	comparison
સરખામણીએ	salīdzinājumā	than
સરખામણીમાં	salīdzinājumā	comparison
સરખાવવા	salīdzināt	comparison
સરખી	līdzīgi	same / equal / similar
સરઘસ	gājiens	rally
સરઘસમાં	gājienā	in the procession
સરદાર	sardars	adjective
સરદારના	no priekšniekiem	adjective of person
સરદારની	no priekšnieka	sardar
સરદારનું	no priekšnieka	sardar's
સરદારને	priekšniekam	to sardar
સરદારનો	no priekšnieka	sardar's
સરદારે	sardars	sardar
સરલ	vienkārši	easy
સરળ	vienkārši	simple
સરળતા	vienkārši	simple
સરળતાથી	viegli	easily
સરસ	jauki	fine
સરસ્વતી	sarasvati	saraswati
સરહદ	robeža	border
સરહદે	pie robežas	at the border
સરહદો	robežas	borders
સરાસરી	vidēji	average
સરેરાશ	vidēji	average
સરોવર	ezers	lake
સરોવરમાંથી	no ezera	form lake
સરોવરો	ezeri	lakes
સર્કિટ	circuit	circuit
સર્ચ	meklēt	search
સર્જક	radītājs	maker
સર્જન	ķirurgs	creation
સર્જનની	radīšanas	of creation
સર્જનાત્મક	radošs	creativeness
સર્જાતી	izveidots	becoming / happening
સર્જાય	rodas	creates
સર્જી	sergejs	create
સર્વ	visi	most
સર્વત્ર	visur	throughout
સર્વધર્મ	starpkonfesija	all religions
સર્વપ્રથમ	pirmkārt	most first
સર્વર	serveris	all
સર્વશ્રેષ્ઠ	vislabākais	the best of all
સર્વસામાન્ય	universāls	common
સર્વાધિક	lielākā daļa	overall
સર્વિસ	apkalpošana	service
સર્વે	aptauja	all
સર્વેક્ષણ	aptauja	survey
સર્વેક્ષણમાં	aptaujā	in the survey
સર્વોચ્ચ	augstākais	supreme, superior,
સર્વોત્તમ	vislabākais	the best
સલામત	droši	secured
સલામતી	drošība	security
સલાહ	padoms	advice
સલાહકાર	padomnieks	adviser
સલ્તનત	sultanāts	kingdom
સલ્ફર	sērs	sulphur
સળગાવી	dega	lighted
સવંત	savant	era
સવલતો	saimniecība	facilities
સવાર	rīts	morning
સવારથી	kopš rīta	selfish
સવારે	no rīta	in the morning
સવાલ	jautājums	question
સવિનય	komplimenti	civil
સવિશેષ	īpašais	special, exceptionable,
સશક્ત	spēcīgs	athletic
સશસ્ત્ર	bruņots	weapon
સસ્તા	lēts	cheep
સસ્તી	lēts	cheap
સહ	co	co
સહકાર	sadarbība	co operate
સહકારી	kooperatīvs	govenrmental
સહજ	dabiski	casual
સહજાનંદ	sahajananda	sahajanand
સહદેવ	sahadeva	sahadev
સહન	lācis	suffer
સહભાગી	dalībnieks	partner
સહમત	piekrītu	agreed
સહયોગ	sadarbība	cooperation
સહયોગથી	sadarbībā	with help
સહયોગી	līdzstrādnieks	with the help of
સહાય	palīdzība	assistance
સહાયક	atbalstot	coworker
સહાયતા	palīdzība	help
સહિત	ieskaitot	alongwith
સહિતના	ieskaitot	including
સહિતની	ieskaitot	including
સહી	paraksts	true
સહીત	ieskaitot	with
સહુ	co	all
સહુથી	lielākā daļa	from all
સહેજ	nedaudz	slight
સાંકળવામાં	ķēdē	chaining / attaching
સાંકળી	saistīts	recognize
સાંકેતિક	simbolisks	symbolic
સાંજ	vakars	evening
સાંજના	vakarā	evening
સાંજે	vakarā	in the evening
સાંપ્રત	pašreizējā	existing
સાંપ્રદાયિક	sektantietis	communal
સાંભળતા	klausos	hearing
સાંભળવા	klausīties	to listen to
સાંભળી	klausos	heard
સાંભળીને	klausos	hearing
સાંસ્કૃતિક	kultūras	related to civilization
સાઇટ	vietne	site
સાઇટ્સ	vietnes	sites
સાઇન	parakstīt	sin
સાઇબેરીયન	sibīrijas	siberian
સાઈટ	vietne	site
સાઈન	parakstīt	sign
સાઉથ	dienvidi	south
સાઉદી	saūda	saudi
સાકર	cukurs	sugar
સાકાર	realizācija	fulfill
સાક્ષરતા	lasītprasme	literacy (rate)
સાક્ષાત્કાર	apokalipse	interview
સાક્ષી	liecinieks	witnesser
સાક્સોન	saksija	saxon
સાગર	jūra	sea
સાગરમાં	okeānā	in ocean
સાચવી	saglabāts	take care
સાચા	patiesībā	real
સાચી	patiesībā	right
સાચુ	patiesībā	true
સાચો	patiesībā	true
સાત	septiņi	seven
સાતત્યપૂર્ણ	konsekvents	realistic
સાતમા	septītais	seventh
સાતમી	septītais	7th
સાથ	pavadīts	with
સાથી	mate	partner
સાથીઓ	sabiedrotie	partners
સાથીઓએ	sabiedrotie	by the accomplices
સાથીઓના	no sabiedrotajiem	allies
સાથીઓની	sabiedrotie	of companions
સાથે	ar	with
સાથેના	ar	with
સાથેની	ar	respect to
સાથેનું	ar	with
સાથેનો	ar	along / company
સાથેસાથે	kopā	togather
સાથોસાથ	vienlaicīgi	parallelly / simultaneously
સાદગી	vienkāršība	simple
સાદી	vienkārši	simple
સાધક	plusi	devotee
સાધન	rīks	instrument
સાધના	sadhana	habituate
સાધનો	rīki	instrument
સાધારણ	mērens	simple
સાધી	vienkārši	able
સાધુ	mūks	rishi
સાધુઓ	mūki	saints
સાધુઓએ	mūki	by sadhus
સાધુઓની	no mūkiem	of sages
સાધુઓને	uz mūkiem	to the monks
સાધુસંતો	mūki	saints and monks
સાન	san	san
સાપુતારા	saputara	saputara
સાપેક્ષ	radinieks	relative
સાપેક્ષતા	relativitāte	relativity
સાપેક્ષે	radinieks	relative
સાપ્તાહિક	iknedēļas	weekly
સાફ	satīrīt	clean
સાબરકાંઠા	sabarkantha	sabarkantha
સાબરમતી	sabarmati	sabarmati
સાબિત	pierādīt	proved
સામગ્રી	saturs	ingrediants
સામગ્રીના	par saturu	substance
સામનો	seja	faced
સામયિકો	žurnāli	periodicals
સામયિકોમાં	žurnālos	in periodicals
સામાજિક	sociālais	social
સામાજીક	sociālais	social
સામાન	bagāža	goods
સામાન્ય	vispārīgi	ordinary
સામાન્યતઃ	vispār	comman
સામાન્યપણે	vispār	generally / commonly
સામાયિક	žurnāls	magazine
સામુહિક	kopīgi	geatherly
સામૂહિક	kolektīvs	collectively
સામે	pret	against
સામેના	pretī	in front
સામેની	pretī	opposite
સામેલ	iesaistīts	involved
સામોઆ	samoa	samoa
સામ્ય	līdzība	compare
સામ્યતા	līdzība	similarity
સામ્યવાદી	komunists	communist
સામ્રાજ્ય	impērija	kingdom
સામ્રાજ્યના	no impērijas	empire
સામ્રાજ્યની	no impērijas	empire's
સામ્રાજ્યનું	no impērijas	empire's
સામ્રાજ્યને	uz impēriju	to the empire
સામ્રાજ્યનો	no impērijas	empire's
સામ્રાજ્યમાં	impērijā	in kingdom
સામ્રાજ્યો	impērijas	kingdom
સાયંસ	zinātne	science
સાયકલ	velosipēds	cycle
સાયન્સ	zinātne	science
સાર	kopsavilkums	conclusion,
સારંગપુર	sarangpur	sarangpur
સારથિ	sarathi	driver of chariot
સારવાર	ārstēšana	nursing
સારા	labi	good
સારાભાઇ	sarabhai	sarabhai
સારી	labi	good
સારું	labi	good
સારો	labi	ample/ plenty
સાર્થક	jēdzīgi	fulfilled
સાર્વજનિક	publisks	public / common / general
સાર્વત્રિક	universāls	universal
સાલ	sal	year
સાલમાં	gadā	in year
સાવ	pilnīgi	totally
સાવચેત	esi uzmanīgs	be aware
સાસણગીર	sasangirs	sasangir
સાહસ	piedzīvojums	adventure
સાહિત્ય	literatūra	literature
સાહિત્યકાર	literāri	writer
સાહિત્યકારો	literāri cilvēki	literary persons
સાહિત્યના	no literatūras	of literature
સાહિત્યની	no literatūras	liteture
સાહિત્યનું	no literatūras	of literature
સાહિત્યને	literatūra	literature
સાહિત્યનો	no literatūras	literature
સાહિત્યમાં	literatūrā	in literature
સાહિત્યિક	literāri	literary
સાહેબ	kungs	saheb
સિંગલ	viens	single
સિંગાપુર	singapūra	singapur
સિંગાપોર	singapūra	singapore
સિંઘ	singh	singh
સિંઘે	singh	by singh
સિંચાઇ	apūdeņošana	irigation
સિંધ	sindh	name
સિંધુ	indus	sindhu [river]
સિંહ	lauva	lion
સિંહાસન	troņa	throne
સિંહોની	lauvas	lions
સિકન્દર	aleksandrs	sikandar
સિક્કા	monētas	coins
સિક્કિમ	sikkim	sikkim
સિક્યુરિટી	drošība	security
સિગ્નલ	signāls	signal
સિગ્નેચર	paraksts	signature
સિટી	pilsēta	city
સિડની	sidneja	sydney
સિદ્ધ	sasniegts	fulfilled
સિદ્ધરાજ	siddharta	siddharaj
સિદ્ધરાજે	siddharadža	by siddhraj
સિદ્ધાંત	princips	principle
સિદ્ધાંતની	principā	ethic
સિદ્ધાંતને	principā	rules
સિદ્ધાંતો	principi	principles
સિદ્ધાન્ત	princips	theory
સિદ્ધાર્થ	siddharta	siddharth
સિદ્ધિ	sasniegums	accomplishment
સિનેમા	kino	cinema
સિમ	sim	sim
સિરિયા	sīrija	country name
સિરિયાઈ	sīrietis	siriyai
સિરિયાની	sīrietis	syria
સિલિકોન	silikons	cilicon
સિવાય	izņemot	instead
સિવાયના	izņemot	except
સિવાયની	izņemot	without
સિવિલ	civilā	civil
સિસ્ટમ	sistēma	system
સિસ્ટમની	no sistēmas	system's
સિસ્ટમનું	no sistēmas	system, belonging to the system
સિસ્ટમને	uz sistēmu	to the system
સિસ્ટમમાં	sistēmā	in system
સિસ્ટમ્સ	sistēmas	systems
સિસ્ટર	māsa	sister
સિહોર	sihor	sihor
સી	c	see
સીએચ	ch	ch
સીઓ	co	co
સીક્રેટ	slepeni	secret
સીટી	ct	city
સીડી	kāpnes	ladder
સીતા	sita	sita
સીતાને	sita	to sita
સીધા	taisni	straight
સીધી	taisni	straight
સીધો	taisni	straight
સીપીયુ	procesors	cpu
સીમા	robeža	border
સીમાઓ	robežas	boundaries
સીમાની	robeža	border
સીમિત	ierobežots	limited
સીરિયા	sīrija	syria
સીરીઝ	sērija	series
સુંદર	skaists	beautiful
સુંદરતા	skaistums	beautyfullness
સુંદરી	sundari	beautiful woman
સુએઝ	sueca	suez
સુખ	laime	fruition
સુગંધ	aromāts	fregrance
સુગમ	vienkārši	intelligible
સુચન	ieteikums	instruct
સુચનાઓ	instrukcijas	instructions
સુચનાઓને	instrukcijas	to the instructions
સુચવે	iesaka	suggests
સુત	sut	sut
સુદ	interese	sud
સુદાન	sudāna	sudan
સુધારણા	uzlabojums	correction
સુધારવા	uzlabot	to improve
સુધારા	atjaunināt	amendment
સુધારી	pilnveidots	improved
સુધારેલી	pilnveidots	ammended
સુધારો	atjaunināt	changes
સુધી	līdz	till
સુધીના	līdz	till
સુધીનાં	līdz	upto, untill
સુધીની	līdz	upto
સુધીનું	līdz	till that
સુધીનો	līdz	upto
સુધીમાં	autors	till
સુનામી	cunami	tsunami
સુનામીના	cunami	tsunami
સુનામીની	cunami	tsunami
સુનામીને	cunami	tsunami
સુનામીનો	cunami	tsunami's
સુનિશ્ચિત	plānots	positive/ absolute
સુન્દર	skaists	beautiful
સુન્દરમ્	sundarams	sundaram
સુન્ની	sunnīti	sunni
સુપર	super	super
સુપ્રસિદ્ધ	leģendārais	popular
સુપ્રીમ	augstākais	supreme
સુભદ્રા	subhadra	subhadra
સુભાષ	subhash	subhash
સુભાષચંદ્ર	subhash čandra	subhashchandra
સુભાષબાબુ	subhash babu	subhashbabu
સુભાષબાબૂ	subhash babu	subhashbabu
સુર	sur	voice
સુરક્ષા	drošība	security
સુરક્ષિત	droši	secured
સુરત	surat	surat
સુરતની	no suratas	city name
સુરતનો	no suratas	surat's
સુરતમાં	suratā	in surat
સુરેન્દ્રનગર	surendranagars	surendra nagar
સુરેશ	suresh	suresh
સુર્ય	saule	sun
સુલતાન	sultāns	king
સુલતાને	sultānam	by sultan
સુલેખન	kaligrāfija	calligraphy
સુવર્ણ	zelts	golden
સુવર્ણચંદ્રક	zelta medaļa	gold medal
સુવિધા	ērtības	convenience
સુવિધાઓ	iespējas	facilities
સુવ્યવસ્થિત	pilnveidota	orderly
સુશોભિત	rotāšana	well-adorned
સુષુપ્ત	mierīgi	dormant
સૂકા	sausa	dry
સૂક્ષ્મ	smalks	micro
સૂચન	ieteikums	cant read gujarati word
સૂચના	paziņojums	notice
સૂચનાઓ	paziņojumi	instructions
સૂચવવામાં	ieteikts	suggested
સૂચવે	iesaka	indicates
સૂચિ	saraksts	list/index
સૂચિત	paziņots	declared public place by government
સૂચી	saraksts	index
સૂત્ર	formula	formula
સૂર	sur	voice
સૂરએ	sur	sound of [urdu farsi word]
સૂરજ	saule	sun
સૂરા	sura	line of the poem
સૂર્ય	saule	the sun
સૂર્યકેન્દ્રી	heliocentrisks	sun central
સૂર્યથી	no saules	from sun
સૂર્યના	no saules	sun
સૂર્યની	no saules	sun's
સૂર્યનું	no saules	sun
સૂર્યને	uz sauli	to the sun
સૂર્યમંડળ	saules sistēma	suryamandata
સૂર્યમંડળના	no saules sistēmas	universe
સૂર્યમંડળનો	no saules sistēmas	of solar system
સૂર્યમંડળમાં	saules sistēmā	in the solar system
સૂર્યાસ્ત	saulriets	sunset
સૃષ્ટિ	radīšana	cosmos
સે	sek	from [hindi word written in gujarati script]
સેંકડો	simtiem	many
સેંટ	sv	saint
સેઇન્ટ	sv.	saint
સેકન્ડ	sek	second
સેક્સ	sekss	sex
સેક્સ્યુઅલ	seksuāls	sexual
સેટ	komplekts	set
સેટેલાઇટ	satelīts	setelite
સેટેલાઈટ	satelīts	satellite
સેન	sen	sen
સેના	armija	army
સેનાના	no armijas	for the army
સેનાની	cīnītājs	soldier
સેનાને	uz armiju	force / armour
સેનાપતિ	komandieris	commander, general,
સેનેટ	senāts	senate
સેનેટર	senators	senator
સેન્ટ	sv.	saint
સેન્ટર	centrs	center
સેન્ટ્રલ	centrālā	central / middle
સેન્સસ	skaitīšana	census
સેમી	cm	cm / centimeter
સેમ્યુઅલ	samuels	samuel
સેલ	šūna	cell
સેલ્ટિક	ķeltu	celtic
સેલ્યુલર	šūnu	cellular
સેલ્સ	pārdošana	cells
સેવ	saglabāt	save
સેવક	kalps	servant
સેવકો	kalpi	servant
સેવા	apkalpošana	service
સેવાઓ	pakalpojumi	services
સેવાઓના	no pakalpojumiem	services
સેવાના	kalpošanai	of service
સેવાની	apkalpošana	of service
સેવાનો	kalpošanai	of services
સૈદ્ધાંતિક	teorētiski	principally
સૈનિક	karavīrs	soldier
સૈનિકો	karavīri	soldiers
સૈનિકોની	no karavīriem	of soldier
સૈનિકોને	karavīriem	to the soldiers
સૈન્ય	armija	military
સૈન્યને	uz armiju	military
સૉફ્ટવેયર	programmatūra	software
સૉફ્ટવેર	programmatūra	software
સો	simt	hundred
સોંપણી	piešķiršana	cession
સોંપવામાં	piešķirts	in handing over
સોંપી	piešķirt	assigned
સોના	zelts	golden
સોનાની	no zelta	golden
સોનિટ	sonets	sonnet
સોનિયા	sonija	sonia
સોનું	zelts	gold
સોનેરી	blondīne	golden
સોફ્ટવેર	programmatūra	software
સોમનાથ	somnath	somnath temple
સોમનાથના	no somnath	somnath's
સોમનાથને	somnath	to somnath
સોમવાર	pirmdien	monday
સોરઠ	sorath	sorath (a river)
સોરઠી	sorathi	sorathi
સોર્સ	avots	source
સોલંકી	solanki	solanki, surname name of gujarati person
સોલાર	saules	solar
સોલોમન	salamans	solomon
સોળ	sešpadsmit	sixteen
સોવિયત	padomju	soviet
સોવિયેટ	padomju	soviet
સોવિયેત	padomju	soviet
સોવિયેતની	padomju	soviet's
સોવિયેતને	padomjiem	to soviet
સોવિયેતે	padomju	soviet
સોશિયલ	sociālais	social
સોસાયટી	sabiedrība	society
સોસાયટીના	no biedrības	of the society
સૌ	visi	all
સૌંદર્ય	skaistums	beauty
સૌથી	visvairāk	forefrunt
સૌને	visi	all
સૌપ્રથમ	pirmkārt	at first
સૌફ્ટવેર	programmatūra	software,
સૌર	saules	solar
સૌરાષ્ટ્ર	saurashtra	saurashtra
સૌરાષ્ટ્રના	no saurashtra	saurashtra's
સૌરાષ્ટ્રનાં	no saurashtra	of the saurashtra
