$ tỉ	miljardu dolāru	$ billion
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	mesija	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	mejeri	meyers
miami	maiami	a name
michael	mihaels	michael
michaels	michaels	michaels
michelangelo	mikelandželo	michelangelo
michigan	mičiganā	a name
micro	mikro	micro
microbiology	mikrobioloģija	microbiology
microeconomics	mikroekonomika	microeconomics
micronesia	mikronēzija	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	migels	miguel
mike	maiks	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milāna	milan
milano	milano	milano
miley	mailija	miley
mill	dzirnavas	mill
miller	dzirnavnieks	miller
milton	milton	milton
min	min	min
minas	minas	minas
mindanao	mindanao	(proper noun) mindanao
ming	kaut kā	ming
minnesota	minesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	mirāža	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	nepareizi	misfits
mississippi	misisipi	mississippi
missouri	misūri štatā	(proper noun) the state of missouri
mitchel	mežģīnes	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hipnoze	mien
miêu	kaķis	"(term should be ""miêu tả"") to describe (v.)"
miến	rīsu nūdeles	burma
miếng	gabali	a piece (n.)
miếu	templis	temple
miền	domēns	area
miễn	atbrīvots	to exempt (v.)
miện	kronis	crown
miệng	mute	mouth
mm	mm	millimeter
mobile	mobilais	mobile
mode	režīms	mode
modul	modulis	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohameds	mohammed
moi	jauns	winkle
molecular	molekulārā	molecular
molotov	molotovs	molotov
molypden	molibdēns	the element molybdenum (n.)
mongolia	mongolija	mongolia
monique	monē	(proper name) monique, a french first name
mono	mono	mono
monroe	monro	monroe
mont	monts	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montāna	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	monretāls	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	moongs	moong
mora	morā	mora
moravia	morāvija	moravia
morgan	morgāns	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriartība	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morijs	morley
morocco	maroka	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morze	(proper noun) morse, as in morse code
moscow	maskava	moscow
mosin	mosins	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	filma	movie
mozambique	mozambika	(proper noun) mozambique
mozart	mocarts	(proper noun) mozart, as in the composer
mp	sp	mp
ms	jaunkundze	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	pirkt	buy
much	daudz	much
muhammad	muhameds	(proper noun) muhammad, as in muhammad ali
mumbai	mumbaja	mumbai
mun	melnkoks	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromači	(proper noun) muromachi
murphy	murfijs	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustangs	mustang, as in the f-51 mustang
muta	muta	a name
muôn	gribu	a large number; thousands (adj.)
muối	sāls	salt
muốn	gribu	want
muống	karote	"(term should be ""rau muống"") water spinach (n.)"
muồi	vēlu	ripe
muỗi	odu	mosquito
muỗng	karote	spoon
muội	māsa	confusion
muộn	vēlu	late (adv.)
myanma	mjanma	the country of myanmar
myanmar	mjanma	(proper noun) myanmar
myspace	mana vieta	(proper noun) myspace
mà	bet	also
mài	slīpēšana	tomorrow
màn	ekrāns	curtain (n.)
mành	žalūzijas	a bamboo screen (n.)
mào	cekuls	a comb or crest, as in the body part of a bird
màu	krāsa	color
mày	tu	sew
má	māte	cheek
mác	etiķete	a name (marx)
mách	padomi	tell
máclênin	markselenīns	marxist-leninist
mái	jumts	"entire term should be ""thoai mai""; means ""comfortable"""
mát	forši	cool
máu	asinis	blood
máy	mašīna	a machine (n.)
mâm	paplāte	tray
mân	rožukronis	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	pretrunīgi	contradiction
mây	mākonis	cloud
mã	kods	"(term should be ""la mã"") roman (adj.)"
mãi	mūžīgi	forever (adv.)
mãimại	kods	commerce
mãn	pašapmierināšanās	satisfy
mãnh	stipra	intense
mão	vainagi	cat
mè	sezama	sesame
mèo	kaķis	cat (n.)
mé	mé	a border
méo	izkropļots	alter
mép	mala	edge
mét	metrs	meter
mênh	satriecoši	vast
mêtan	metāns	methane
mì	nūdeles	wheat
mình	sevi	me
mía	cukurniedres	sugar cane (n.)
mò	satracināts	to grope (v.)
mòn	taka	trail
móc	āķis	"(term should be ""máy móc"") machinery (n.)"
món	ēdiens	dish
mô	audi	mo
môi	katrs	lip
môn	priekšmeti	anus
mông	sēžamvieta	mongolia
mônôxít	monoksīds	monoxide
môt	viens	"(term should be ""một"") one (n.)"
môtô	motocikls	motorcycle
mù	akls	mu
mùa	gada sezonu	season
mùi	smaka	smell
múa	dejot	dance
mút	nepieredzējis	to suck (v.)
münchen	minhenē	(proper noun) munchen
măng	bambusa dzinumi	bamboo shoot (n.)
mĩ	amerika	america
mũ	cepure	cap
mũi	deguns	nose
mơ	sapnis	vague
mơn	ķepas	caress
mưa	lietus	rain
mưu	viltīgs	"(should be ""tham mưu"") advisors"
mươi	piecdesmit	tens
mương	notekas	ditch
mướn	īre	hire
mướt	zīdaini	smooth (adj.)
mường	muongs	(proper noun) mường, a minority people in vietnam (n.)
mượn	aizņemties	borrow
mượt	gluda	glossy (adj.)
mạc	tuksnesis	"(should be ""mộc mạc"") simple or natural"
mạch	ķēde	vessel
mại	tirdzniecība	commerce
mạn	pusē	romantic
mạnh	stipra	strong
mạo	raksts	"(should be ""mạo hiểm"") to brave danger"
mạt	ērces	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	kapiem	tomb or grave (n.)
mải	aizņemts	absorbedly
mảng	masīvs	genre
mảnh	gabals	piece
mất	pazaudēts	lose
mấu	cilne	key
mấy	maz	any
mầm	dīglis	kindergarten
mầu	krāsa	color
mẩu	gabali	piece
mận	plūme	plum
mập	tauki	fat
mật	medus	intimate
mậu	tirdzniecība	mau
mắc	dārgi	get
mắm	zivju mērce	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	paveicies	"(term should be ""may mắn"") fortunate (adj.)"
mắng	bļaut	scold
mắt	acs	eye
mặc	valkāt	wear
mặn	sāļš	salt
mặt	seja	face
mẹ	mamma	mother (n.)
mẹo	padomi	trick
mẻ	partija	cool
mẽ	stipra	strong
mến	dārgs	to adore or like greatly (v.)
mề	žņaugs	locket
mềm	mīksts	soft
mệnh	liktenis	revolution
mệt	noguris	tired
mỉ	sīkumains	meticulous
mỉa	sarkasms	ironic
mỉm	smaidi	smile
mịch	sūdi	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	gluda	smooth
mịt	šņaukāties	dim
mọc	aug	to grow (v.)
mọi	katrs	every
mọn	sīks	lowly
mỏ	mīnas	mine
mỏi	noguris	tired (adj.)
mỏng	plāns	thin
mốc	melns	border
mối	termīts	relationship
mốt	mode	fashion or style (n.)
mồ	kapu	"(term should be ""mồ hôi"") sweat (n.)"
mồi	ēsma	bait (n.)
mổ	operācija	to dissect or perform surgery (v.)
mỗi	katrs	every
mộ	kapenes	admire
mộc	galdniecība	simple
mộng	sapnis	dream
một	viens	one
mới	jauns	new (adj.)
mờ	izplūdis	dim
mời	uzaicināt	invite
mở	atvērts	open
mỡ	tauki	fat or grease (n.)
mục	prece	purpose
mụn	pūtītes	pimple
mức	līmenis	level
mứt	ievārījums	preserve
mừng	prieks	to be happy
mửa	vemšana	to vomit (v.)
mực	tinte	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	nūdeles	noodles (n.)
mỹ	amerika	america
mỹcông	amerika	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagants	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoja	a name
nagumo	nagumo	nagumo
nai	briedis	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandiāns	a name
nam	vīrietis	male
nambắc	uz ziemeļiem	nambac
namibia	namībija	namibia
namnam	nam nam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	folikulu	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	fani	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleons	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	natāns	nathan
natri	nātrijs	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarra	navarre
nay	tagad	this (adj.)
needham	needham	needham
nelson	neilons	(proper noun) nelson, as in nelson mandela
neo	enkurs	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neona	neon
nepal	nepāla	nepal
nepomuk	nepomuks	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	tīkls	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	tīkli	networks
neumann	neumann	(proper noun) neumann
neutrino	neitrīno	neutrino
nevada	nevada	nevada
neverland	neverland	neverland
newcastle	ņūkāsla	newcastle
newspaper	avīze	newspaper
newton	ņūtons	newton
newtons	ņūtoni	(proper noun) newton's
next	nākamais	next
nga	krievija	russia
ngai	tronis	crown
ngang	horizontāli	horizontal
ngao	gliemene	clam (n.)
ngay	taisnība	even
nghe	klausies	hear
nghinh	nghinh	welcome
nghiêm	smagi	serious
nghiêng	slīpi	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	spļaut	crush
nghiễm	žēl	serious
nghiệm	pieredze	experiment
nghiện	atkarīgs	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	drūms	adverse
nghành	nozare	faculty
nghèo	nabadzīgs	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	laipni gaidīti	support
nghìn	tūkstoši	thousand
nghĩ	domā	think
nghĩa	nozīmē	meaning
nghẽn	sastrēgumi	jam
nghếch	skaļš	stupid
nghề	profesija	career
nghệquận	māksla	art district
nghỉ	brīvdienas	relaxation
nghị	ieteikumi	think
ngo	gards	ngo
ngoan	labs puika	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	garšīgs	delicious
ngoài	ārā	outside of
ngoại	ārzemju	external
ngoạn	elpu aizraujošs	spectacular
ngoặc	iekavas	bracket
ngoặt	pagrieziens	landmark
ngu	gulēt	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	oriģināls	reason
nguyền	lāsts	curse
nguyện	zvērests	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	mēness	moon
nguôi	nomierinoša	fade away
nguồn	avots	source
nguời	cilvēki	people
nguỵ	muļķi	camouflage
ngà	ziloņkaula	russian
ngàn	tūkstoši	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	filiāle	sector
ngào	salds	sweet
ngày	dienā	day
ngách	niša	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	stulbi	chinese ethnic group living in the vietnamese highlands near the china border
ngán	garlaicīgi	to be tired of
ngáng	ngáng	stop
ngát	ģībonis	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	banka	money
ngây	tukšs	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	cilantro	coriander
ngó	skaties	to look (v.)
ngói	flīze	tile or shingle
ngón	pirksts	a finger (n.)
ngót	saraušanās	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	valoda	manifesto
ngông	zoss	eccentric
ngõ	josla	lane
ngùi	smaka	sad
ngút	nguta	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	nodalījums	prevent
ngũ	gulēt	rank
ngơ	ignorēts	ignored (adj.)
ngơi	atpūsties	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	zvejnieks	fishermen
ngưng	apstāties	stop
ngưu	vērsis	buffalo
ngươi	tu	an ancient form of address equivalent to thou or thee (n.)
người	cilvēki	people
ngưỡng	slieksnis	religious
ngược	atpakaļgaitā	opposite
ngạc	pārsteigts	surprise
ngạch	rangs	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	banka	bank
ngạnh	barbs	self-willed
ngạo	uzpūtīgs	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	nosmakšana	stuffy
ngấm	uzpūta	draw
ngất	ģībonis	unconscious
ngầm	netieši	underground
ngần	vilcināties	hesitate
ngẩn	apmulsis	froze
ngẫm	apdomā	think
ngẫu	izlases veidā	ngẫu nhiên= random
ngậm	pastilās	keep
ngập	applūst	flood
ngắm	pārdomāt	to contemplate or look admiringly at something (v.)
ngắn	īss	short
ngặt	saspringts	strict
ngọ	pusdienlaiks	horse
ngọc	dārgakmens	pearl
ngọn	tops	top
ngọt	salds	sweet (adj.)
ngồi	sēdēt	sit
ngộ	apgaismība	ngo
ngột	pēkšņi	sudden
ngớ	dumjš	silly
ngời	cilvēki	bright
ngỡ	domāja	surprised
ngợi	uzslavas	praise
ngợm	nerātns	naughty
ngục	cietums	dungeon
ngụm	malks	sip
ngụy	vei	puppet
ngủ	gulēt	sleep
ngủi	īss	"(should be ""ngắn ngủi"") short-lived"
ngứa	nieze	itchy
ngừ	tuncis	tuna
ngừa	novērst	prevent
ngừng	pārtraukt	to cease (v.)
ngửa	seju uz augšu	supine
ngửi	smaka	to smell
ngữ	runa	term
ngự	pakavēties	defend
ngựa	zirgs	horse
ngực	krūtīs	chest
nha	zobārsts	dental
nhakẻ	bērns	nha-ke
nham	lava	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	vīraks	incense
nhanh	ātri	fast
nhat	nhat	nhat
nhen	atgaiņājās	rekindle
nhi	bērni	junior
nhiên	protams	tuy nhiên= however
nhiêu	daudz	how many
nhiều	daudz	numerous
nhiễm	inficēts	infect
nhiễu	troksnis	noise
nhiệm	nodoklis	task
nhiệt	karstums	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	piemēram	demand
nhuận	peļņa	leap year
nhuệ	njū	elite
nhuộm	krāsot	dye
nhàn	dīkstāvē	leisure
nhàng	maigi	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	mīcīt	to fall headlong
nhác	ļengans	coward
nhái	kloniem	illegal copy
nhánh	filiāle	branch
nháp	melnraksts	draft
nháy	mirgo	to flash or blink (v.)
nhâm	iegremdējot	leap
nhã	gaumīgs	"(term should be ""thanh nhã"") elegant"
nhãn	etiķete	"(term should be ""gán nhãn"") to affix a label"
nhét	likt	put
nhì	otrais	second (adj.)
nhìn	skaties	to look (v.)
nhí	pļāpāšana	children
nhím	ezis	porcupine
nhòm	skaties	to peep (v.)
nhóc	bērns	brat
nhóm	grupa	group (n.)
nhô	izvirzīts	emerge
nhôm	alumīnijs	aluminum (n.)
nhúng	iemērkt	embed
nhút	kautrīgs	shy
nhăn	saburzīts	wrinkle
nhĩ	priekškambaru	turkey
nhũ	emulsija	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	korupcija	bribery
nhơn	reizināt	nhon
như	kā	like
nhưng	bet	but
nhương	siekalas	(proper noun) vietnamese first name
nhường	padevās	yield
nhưỡng	taukains	soil
nhược	vājums	weak
nhượng	koncesijas	concession
nhạ	nhạ	nha
nhạc	mūzika	music
nhạn	norīt	bird
nhạo	ņirgājas	ridicule
nhạt	bāla	light
nhạy	jūtīgs	sensitive
nhảy	dejot	jump
nhấc	pacelt	lift
nhấm	malkojot	rodent
nhấn	spiešana	to press (v.)
nhất	labākais	most
nhầm	nepareizi	misunderstand
nhầy	gļotains	glutinous
nhẫn	gredzeni	patient
nhậm	apzīmogots	inaugurate
nhập	importēt	penetrate
nhậu	dzeršana	drink
nhậy	jūtīgs	sensitive
nhắc	pamudināt	to remind (v.)
nhắm	mērķis	aim
nhắn	ziņa	message
nhằm	mērķis	for the purpose of (adv.)
nhẵn	gluda	smooth
nhặt	izvēlēties	pickup
nhẹ	viegls	light
nhẹn	veikls	nhanh nhẹn= fast/nimble
nhị	putekšņlapas	sensitive
nhịn	atturēties	fasting
nhọ	nelaimīgs	smear
nhọn	asu	sharp (adj.)
nhỏ	mazs	small
nhỏ|cây	mazs | koks	small|tree
nhỏ|một	mazs | viens	small | one
nhỏ|phải|	mazs | pareizi |	small|right
nhỏ|phải|px|	mazs | pa labi | px |	small | have | px |
nhỏ|phải|px|bức	mazs | pa labi | px | attēli	grape / fade / px / buc
nhỏ|phải|px|cây	mazs | pa labi | px | koks	px spicy grape fade
nhỏ|phải|px|khu	mazs | pa labi | px | zona	small|right|px|area
nhỏ|phải|px|michael	mazs | pa labi | px | michael	small|right|px|michael
nhỏ|phải|px|máy	mazs | pa labi | px | mašīna	small | right|px|machine
nhỏ|phải|px|một	mazs | pa labi | px | viens	small|right|px|one
nhỏ|phải|px|quân	mazs | pa labi | px | spēks	small|right|px|army
nhỏ|px|	mazs | px |	small
nhỏ|px|các	mazs | px | the	small
nhỏ|px|phải|kiến	mazs | px | pa labi | skudra	small | px | right | patience
nhỏ|quân	mazs | spēks	small|army
nhỏ|trái|px|máy	mazs | pa kreisi | px | mašīna	small|left|px|plane
nhỏ|tượng	mazas statujas	small|statue
nhốt	ieslēgts	confine
nhồi	pildīti	cram
nhổ	noplūkt	uproot
nhộn	jautrs	busy
nhớ	prāts	remember
nhớt	viskozs	viscid
nhờ	paldies	by
nhờn	taukains	multiplication
nhở	atgādināt	remind
nhụ	šķipsnu	nhu
nhục	pazemots	shame
nhủ	atgādinājumi	needs
nhức	sāpes	pain
nhứt	vispirms	first (n.)
nhừ	mīļais	tender
những	šie	the
nhựa	plastmasas	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nikaragva	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nikolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigērija	nigeria
nikel	nikel	nickel
niken	niķelis	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolajevičs	nikolayevich
nil	nulle	nile
nile	nīls	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	drošība	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	slāpeklis	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	gadā	youth
niết	niet	nirvana
niềm	prieks	trust
niệm	uzmanība	concept
niệu	diurēze	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	njā	(proper noun) noah
nobel	nobela	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	sakiet	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	jauns	mountain
nonpenetrative	necaurlaidīgs	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	normans	norman
normandie	normandie	normandile
northrop	ziemeļu puse	northrop, as in the northrop f-5 freedom fighter
norton	nortons	norton
norway	norvēģijā	norway
nou	nou	nou
novak	novaks	novak
now	tagad	now
nowc	nowc	nowc
noãn	ovule	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubija	nubia
number	numuru	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	barot	feed
nuối	norīt	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	norīt	to swallow (v.)
nuớc	ūdens	water
nxb	nxb	publisher
nynorsk	ņūnorska	nynorsk
nà	nà	na
nài	uzstāt	pleading
nàn	sūdzējās	poor
nành	sojas	soy
nào	aiziet	would
này	šo	this
ná	ná	a crossbow (n.)
nách	paduses	underarm (n.)
náo	drausmīgs	riot
nát	sasmalcināts	ruin
náu	paslēpties	hide
nâng	paaugstināt	raise
nâu	brūns	brown
nã	nã	to track down (v.)
não	smadzenes	brain
né	izvairīties	dodge
ném	mest	to throw (v.)
nén	saspiests	compress
nét	sitieni	feature
nê	ne	ne
nên	svečturis	should or ought to
nêu	pastāsti	mention
nòi	sacensības	race
nòng	muca	barrel
nói	runāt	to say or speak (v.)
nón	cepure	cone
nóng	karsts	hot
nô	vergs	slave
nôbita	tobita	nobita
nôi	gultiņa	cradle
nôm	nôm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	vemt	vomit
nông	sekla	farmer
nõn	pīlings	peeled
nùng	nung	nung
núm	kloķis	nipple
núp	paslēpties	hide
nút	mezgls	button
năm	gadā	year
năn	nožēlojams	"(term should be ""ăn năn"") remorse (n.)"
năng	spēks	"(term should be ""khả năng"") ability (n.)"
nơi	vieta	a place
nơtrino	neitino	neutrino
nước	valsts	country
nước 	valsts	water
nướng	grilēts	grill
nǎm	nǎm	year
nạ	maska	mask
nạc	liekties	lean (adj.)
nại	sūdzēties	complain
nạn	ciešanas	a disaster (n.)
nạo	kuretāža	to scrape (v.)
nạp	piekrauts	tribute
nản	atrunāts	depressed
nảy	piepeši	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	žaga	a hiccup (n.)
nấp	paslēpties	hide
nấu	pavārs	cook
nấy	šo	this
nần	iedunkāt	debt
nầy	šo	this
nẩy	piepeši	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n saule	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	karsts	busy
nắm	turēt	to grasp or hold (v.)
nắng	saulains	sunlight
nắp	vāks	a lid or cover (n.)
nằm	melot	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonīmi	heavy
nặn	saspiest	mould
nặng	smags	heavy
nẻo	cits	turn
nếm	garša	taste
nến	svece	candle
nếp	lipīga	sticky rice (n.)
nếu	ja	if (adv.)
nề	mūra	severe
nể	cieņu	respect
nện	ņurdēšana	ram
nỉ	juta	beg
nịnh	glaimot	flatter
nọ	otrs	the other
nọc	inde	tadpole
nỏ	arbalets	a crossbow (n.)
nối	savienots	connection
nốt	piezīme	to finish off (v.)
nồi	pods	pot
nồm	pakauša	humid (adj.)
nồng	karsts	heavy
nổ	sprādzienbīstams	explode
nổi	peldošs	nổi tiếng= famous
nỗ	mēģinājums	affort
nỗi	ka	state
nộ	dusmas	anger
nội	iekšējais	on the paternal side (adj.)
nộn	pildīšana	non
nộp	iesniegts	submit
nới	atraisīt	ease
nở	ziedošs	bloom
nỡ	sirsnīgs	do you have a heart to
nợ	parādos	debt
nụy	pistil	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	korķis	a kind of bamboo (n.)
nứt	ieplaisājis	to crack
nửa	puse	haft
nữa	atkal	moreover
oahu	oahu	(proper noun) oahu
oai	bīstas	heroic
oakland	oakland	oakland
oan	netaisnība	injustice
oanh	oāns	(with word liet) glorious
obama	obama	obama
oblast	apgabals	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	oktobris	(proper noun) october
oda	o da	oda
oder	oder	oder
odyssey	odiseja	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	virsnieks	officer
officers	virsnieki	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotska	okhotsk
oliver	olivers	oliver
olivier	olivier	olivier
olympus	olimps	olympus
om	sautēts	to simmer
omar	omārs	a name
ong	bite	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	ērģeles	organ
oricon	orikons	oricon
origin	izcelsme	origin
orion	oriona	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	ortons	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscars	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossetia	(proper noun) ossetia
oswald	osvalds	oswald
other	citi	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	osmaņu	(proper noun) ottoman, as in the ottoman empire
outstanding	izcils	xuat sac
owen	pūce	(proper noun) owen, as in michael owen
oxford	oksfords	oxford
oxy	skābeklis	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	aizvainojums	"(term should be ""oán than"") to complain or whine"
oát	vati	a watt (n.)
oản	oāns	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	lappuse	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistāna	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palavana	palawan
palenque	palenque	(proper noun) palenque
palestine	palestīna	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	panna	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	pantera	(proper noun) panthera, a genus of felines
panthéon	panteons	a name
paolo	paolo	paolo
paperback	paperback	paperback
papua	papuas	papua
paraguay	paragvaja	(proper noun) paraguay
pari	pari	pari
park	parks	park
parton	parton	parton
patel	patels	(proper noun) patel
patrick	patriks	patrick
patriot	patriots	patriot
paul	pauls	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	lpp	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	vienaudžiem	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penangs	penang
penh	penss	(proper noun) penh, as in phnom penh
pennsylvania	pensilvānija	pennsylvania
penny	santīms	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perls	(proper noun) perl
pero	pero	pero
perry	bumbieru	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	persiešu	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	pēterburga	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	lpp	associate professor
pgđ	pgđ	associate professor
pha	sajaukts	to mix
phaethon	faetons	phaethon
pham	pham	pham
phanh	bremzēt	expose
phao	peldēt	float
phaolô	pols	st. paul, the apostle
pharaoh	faraons	pharaoh
pharaon	faraons	pharaoh
phay	frēzēšana	mill
phe	frakcija	faction
phen	fen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	filipīnas	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	filozofijas	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	filma	phim
phin	filtrs	coffee filter
phineas	phineas	(proper noun) phineas
phiên	sesija	trial
phiêu	piedzīvojums	adventurous
phiếm	tenkas	gossip
