$	usd	american dollar symbol
மிகுந்து	lieliski	most
மிகை	pārdozēšana	extra
மிகையாக	lieki	in excess of
மிகையான	pārplūšana	in excess
மிக்க	lielākā daļa	so
மிங்	ming	ming sect
மிச்சிகன்	mičiganā	mexican
மிதக்கும்	peldošs	floating
மிதவெப்ப	subtropu	temperate
மின்	e	light
மின்காந்த	elektromagnētiskais	electro magnetism
மின்காந்தவியல்	elektromagnētisms	electrologycal
மின்சார	elektriskās	electric
மின்சாரம்	elektrība	current
மின்னஞ்சலில்	e-pasts	electronic mail
மின்னஞ்சலை	e-pasts	electronic mails
மின்னஞ்சலைப்	e-pasts	e-mail
மின்னஞ்சல்	e-pasts	electronic mail
மின்னஞ்சல்கள்	e-pasti	electronic mail
மின்னணு	elektroniska	electronic
மின்னணுவியல்	elektronika	electromagnetic
மின்னழுத்தம்	spriegums	current presure
மின்னியல்	elektrostatiskais	electronics
மின்னோட்ட	pašreizējā	current
மின்னோட்டம்	pašreizējā	electricity
மின்மம்	elektriskais lādiņš	charged particles
மின்வேதியியல்	elektroķīmija	electochemistry
மில்லியன்	miljons	million
மிஷன்	misija	assignment
மிஷினரீஸ்	misionāri	missionaries for charities
மிஸ்டர்	kungs	mister
மீ	es esmu	meter
மீடியா	plašsaziņas līdzekļi	media
மீட்க	atgūt	rescue
மீட்டர்	m	meter
மீட்டர்கள்	metri	metere
மீண்டு	atgūta	recover
மீண்டும்	atkal	again
மீதமுள்ள	atlikušie	the remaining
மீதம்	atlikušie	reminder
மீதான		on
மீது	ieslēgts	on
மீதுள்ள	agorafobija	to
மீனாட்சி	meenakshi	meenatchi
மீனாட்சியம்மன்	meenakshi	meenakshi amman a hindu goddess
மீனியல்	ichtioloģija	ichthyology
மீன்கள்	zivis	fishes
மீயுரை	hiperteksts	hypertext
மீரா	mira	meera
மீறி	pārkāpums	crossing the limit
மீறிய	pārkāpums	violation
மீள	atgūšana	restore
மீளுருவாக்கம்	reģenerācija	cycling process
மீள்	elastīgs	come out
மு	mu	m is the initial
முக	sejas	m.k
முகப்பு	saskarne	home page
முகமது	mohameds	mohamad
முகமாக	sejā	having a way
முகம்	seja	face
முகம்மது	mohameds	mohamedian
முகலாய	mughal	mughals
முகலாயக்	mughal	moghul
முகலாயப்	mughal	moghuls
முகவரி	adrese	address
முகவரிகளின்	adreses	addreses
முகவரிகளை	adreses	addresses
முகவரிகளைப்	adreses	addresses
முகவரிகள்	adreses	adresses
முகவரியின்	adrese	in the address
முகாமைத்துவம்	pārvaldība	management
முகில்	trīs ceturtdaļās	clouds
முக்கிய	galvenais	important
முக்கியக்	svarīgs	important
முக்கியத்துவத்தை	nozīme	importance
முக்கியத்துவம்	svarīgums	importance
முக்கியப்	vadošais	impotrant
முக்கியமாக	svarīgi	important
முக்கியமாகக்	svarīgs	important
முக்கியமான	svarīgs	important
முக்கியமானது	svarīgs	importance
முக்கியமானவை	svarīgs	important
முக்கியம்	svarīgs	important
முக்குலத்தோர்	mukkulathor	three comunity
முக்கோண	trīsstūrveida	traiangler
முக்கோணம்	trijstūris	triangel
முக்தி	beatified	liberation
முடி	mati	king
முடிகிறது	beidzas	completed
முடிச்சு	mezgls	knot
முடித்த	apdare	completed
முடித்தார்	noslēgts	finished
முடித்து	gatavs	finish
முடிந்த	pabeigts	finished
முடிந்தது	pabeigts	done
முடிந்து	beigās	finished or concluded
முடிய	pabeigts	end
முடியவில்லை	nevar	could not
முடியாத	nevar	not possible
முடியாது	nevar	not possible
முடியாமல்	nevar	impossible
முடியும்	var	can
முடிவடைந்து	pabeigts	finishing
முடிவான	neveiksmīgi	finally
முடிவிற்கு	secinājums	to conclude
முடிவில்	beigās	at end
முடிவு	rezultāts	by
முடிவுகளை	rezultāti	the decisions
முடிவுகள்	rezultāti	results
முடிவுக்கு	lai beidzas	at the end
முடிவுற்றது	beidzās	ended
முடிவை	lēmums	decision
முடுக்கம்	paātrinājums	acceleration
முட்டை	olu	eggs
முதன்	pirmkārt	first time
முதன்முதலாக	pirmkārt	first
முதன்முதலில்	pirmkārt	first time
முதன்முறையாக	pirmo reizi	for the first time
முதன்மை	primārs	prime
முதன்மைக்	galvenais	prime
முதன்மைத்	primārs	primary
முதன்மையாக	galvenokārt	prime
முதன்மையான	primārs	prime importance
முதற்	pirmkārt	firstly
முதற்சங்கம்	mutarcankam	the poeter's those who are get together among themselves on 1st century. they introduce ours new poets
முதலமைச்சர்	cm	chief minister
முதலமைச்சர்கள்	galvenie ministri	chief ministers
முதலாக	par pirmo	first time
முதலான	utt	first time
முதலாம்	pirmkārt	first
முதலாளிகள்	darba devēji	bosses
முதலாவதாக	pirmkārt	for the first time
முதலிடத்தில்	vispirms,	first place
முதலிடம்	pirmkārt	first place
முதலிய	utt	including that
முதலியன	utt	all
முதலியவற்றை	utt	like that
முதலியவை	utt	including
முதலில்	pirmkārt	first
முதலீடு	investīcijas	investment
முதலே	no plkst	since the
முதல்	pirmkārt	from beginning
முதல்வர்	cm	chief minister
முதிர்ந்த	nobriedis	grown up
முதுகுநாணி	chordate	animals have spinal guard
முதுகெலும்பிகள்	mugurkaulnieki	vertbrates
முத்திரை	ronis	emblem
முத்து	pērle	muthu
முத்துக்கமலம்	muttukkamalam	muthukamalam
முந்திய	iepriekšējais	earlier
முந்திரி	indijas	cashew nuts
முந்தைய	iepriekšējais	previously
முனி	muni	muni , an erudite person
முனிசிப்பல்	pašvaldības	municipal
முனிவரின்	sage&#39;s	sage
முனிவர்	gudrais	sage
முனை	mezgls	corner
முனைகளில்	beidzas	corners
முனைவர்	doktora grāds	dr
முன்	iepriekš	before
முன்னணி	priekšpusē	the lead
முன்னணியில்	priekšpusē	leading
முன்னதாக	iepriekš	before
முன்னனி	priekšpusē	front
முன்னரே	pirms	before that
முன்னர்	iepriekš	before
முன்னால்	priekšpusē	before
முன்னாள்	bijušais	before
முன்னிலை	līderu saraksts	leading
முன்னிலையில்	klātbūtnē	infront of others
முன்னும்	priekšpusē	front
முன்னுரிமை	prioritāte	priority
முன்னுரை	prologs	introduction
முன்னே	uz priekšu	in front
முன்னேறி	progresē	to develop
முன்னேறிய	advanced	developed
முன்னேற்ற	progress	develop
முன்னேற்றக்	progresīvs	development
முன்னேற்றங்கள்	notikumu attīstība	improvements
முன்னேற்றத்தை	progress	progress
முன்னேற்றம்	progress	development
முன்னோக்கி	uz priekšu	forward
முன்னோடி	pionieris	pioneer
முன்னோடியாக	pionieris	pioneer
முன்பாக	iepriekš	before
முன்பாகவே	iepriekšējais	before the
முன்பிருந்த	iepriekšējais	before
முன்பு	pirms	before
முன்பே	gan jau	before that
முன்மொழிந்தார்	ierosināts	acknowledged
முப்பது	trīsdesmit	thirty
மும்பை	mumbaja	mumbai
மும்பையின்	mumbaja	bombay
மும்முடிச்	mumutic	mummudi chola , a tamil king
முயன்றன	nopirka	sought
முயன்றார்	nopirka	try
முயன்று	nopirka	attempt
முயற்சி	izmēģiniet	try
முயற்சிகளில்	centieni	efforts
முயற்சிகளை	centieni	efforts
முயற்சிகள்	mēģinājumi	efforts
முயற்சியாக	piepūles	in an attempt to
முயற்சியில்	cenšoties	efforts
முரசொலி	rubadubs	murasoli
முரட்டு	blēdis	rogue
முரணாக	pretēji	opposite
முரண்பாடான	pretrunīgi	controversion
முரண்பாடுகள்	konflikti	contrasts
முருகன்	murgāns	a god name
முறை	metode	method
முறைகளான	metodes	ruls
முறைகளில்	metodes	two ways
முறைகளும்	metodes	methods
முறைகளை	maksājumi	methods
முறைகளைப்	metodes	rules
முறைகளையும்	metodes	procedures
முறைகள்	metodes	systamatic
முறைக்கு	uz	system
முறைமைகள்	sistēmas	norms
முறையாக	laiks	a way
முறையாகும்	metode	a way of
முறையானது	modē	a method of rule
முறையின்		method
முறையிலும்	veids	method
முறையில்		by way of
முறையும்	laiks	metod
முறையே	attiecīgi	by the rule of law
முறையை	darbplūsma	method
முறையைக்	sistēma	by the way of or legally
முறையைப்	metode	customary
முறையையும்	veids	method, system
முற்கால	agri	in olden days
முற்காலச்	agrāk	past period
முற்காலத்தில்	pagātnē,	ancient days
முற்பகுதியில்	sākumā	in those days
முற்பட்ட	pārtver	earlier
முற்போக்கு	progresīvs	progressive
முற்போக்குக்	progresīvs	progressive
முற்றாக	pilnība	totally
முற்றிலும்	pilnīgi	fully
முலைடீ	mulaiti	mullidae , a family name for fish
முல்லை	rotana	mullai
முல்லைத்தீவு	mullativu	mulllaitivu
முழு	pilns	full
முழுக்க	pilnīgi	completely
முழுதும்	toto	all over
முழுமையாக	pilnībā	fully
முழுமையாகக்	pilns	fully
முழுமையான	pabeigts	full
முழுவதிலும்	visā	the whole
முழுவதுமாக	pārējiem	whole
முழுவதும்	visā	all over
முழுவதையும்	visi	all
முஸ்லிமும்	musulmanis	muslims
முஸ்லிம்	musulmanis	muslim
முஸ்லிம்கள்	musulmaņi	muslims
முஹம்மது	muhameds	mohammad
மூக்கு	deguns	nose
மூங்கில்	bambusa	bamboo
மூச்சு	elpa	breath
மூட	aizveriet	blind, false
மூடநம்பிக்கை	nepareiza pārliecība	superstition
மூடி	vāciņš	close
மூத்த	vecākais	elder
மூன்றாம்	trešais	third
மூன்றாவதாக	treškārt	in the third place
மூன்றாவது	trešais	third
மூன்று	trīs	three
மூன்றும்	trīs	threes
மூர்த்தி	murthy	idol
மூல	avots	main
மூலக்கூறு	molekulāri	atom, subdivision
மூலக்கூறுகள்	molekulas	basic things
மூலக்கூற்று	molekulāri	molecular
மூலங்களில்	avoti	sources
மூலங்கள்	avoti	sources
மூலமாக	autors	because of this
மூலமாகவும்	caur	by the source
மூலமாகவே	caur	through
மூலமாகவோ	arī	through
மூலமான	pilsēta	initiative
மூலமும்	autors	origin
மூலமே	autors	through
மூலமோ	arī	by
மூலம்	autors	by
மூலிகை	garšaugs	herbal
மூலைகளில்	stūros	corner
மூலையில்	stūrī	corner
மூலைவிட்டம்	pa diagonāli	corner angles
மூளை	smadzenes	braine
மூவரும்	trio	all the three
மூவர்	trīs	three men
மெகா	mega	big
மெக்சிகோ	meksika	mexico
மெடாச்டாசிஸ்	metaktacis	metastasis
மெட்ராஸ்	madras	madras
மெட்ரிக்	metrika	metric measurement
மெட்ரோ	metro	metro
மெதுவாக	lēns	slowly
மெதுவான	lēns	slowly
மென்	vīrieši	men
மென்பொருட்களை	programmas	softwares
மென்பொருட்கள்	programmatūra	softwares
மென்பொருளாகும்	programmatūra;	software
மென்பொருளானது	programmatūra	the sotware
மென்பொருளின்	programmētāji	soft things
மென்பொருளை	programmatūra	sotware
மென்பொருள்	programmatūra	software
மென்பொருள்கள்	programmatūra	acient
மென்மையான	gludi	soft
மெயில்	pasts	mail
மெய்	patiesībā	consonant
மெய்க்கீர்த்தி	meykkirtti	true reputation
மெய்யியல்	filozofija	wisdom
மெரினா	marina	marina
மெலனீசியா	melānijas	melanesia
மெல்ல	mānīgi	slowly
மெல்லிய	plāns	thin
மெல்லுடலி	gliemenes	mollusc
மெழுகு	vasks	candle
மே	maijā	may
மேகம்	mākonis	clouds
மேஜர்	vairākums	major
மேடை	vietnes	dais
மேதை	ģēnijs	a scholar
மேனிலைப்பள்ளி	menilaippalli	highschool
மேன்காட்டன்	manhetenā	mancotton
மேன்மைமிகு	paaugstināts	highness
மேம்படுத்த	atjaunināt	improve
மேம்படுத்தப்பட்ட	pilnveidots	improved
மேம்படுத்தல்	atjaunināt	improvisation
மேம்படுத்தும்	notiek atjaunināšana	to improve
மேம்பட்ட	advanced	better
மேம்பாடு	paaugstināšana	improvement
மேம்பாட்டு	paaugstināšana	development
மேயர்	mērs	meyar
மேய்ச்சல்	ganības	grazing
மேற்	pārraugs	on top
மேற்கண்ட	augšējais	above mentioned
மேற்கத்திய	rietumu	westerly
மேற்கத்தைய	rietumu	western
மேற்கிலும்	rietumi	west
மேற்கில்	rietumos,	west
மேற்கு	rietumi	west
மேற்குக்	rietumi	west
மேற்குத்	rietumu	west
மேற்குப்	rietumi	west
மேற்கூறிய	iepriekš minēts	above
மேற்கே	rietumi	west
மேற்கொண்ட		having that
மேற்கொண்டது	apņemās	undertook
மேற்கொண்டனர்	vada	had adopted
மேற்கொண்டார்	sākās	underwent
மேற்கொண்டு	tālāk	to get
மேற்கொள்ள	veidot	rule over
மேற்கொள்ளப்படுகிறது	nests	to be followed
மேற்கொள்ளப்படும்	nests	carried out
மேற்கொள்ளப்பட்ட		occurance
மேற்கொள்ளப்பட்டன	nests	celebrity
மேற்கோள்	izraksts	examples
மேற்கோள்கள்	atsauces	references
மேற்படி		as above
மேற்பட்ட	vairāk	including all
மேற்பரப்பில்	uz virsmas	surface
மேலதிக	vairāk	more details
மேலவை	senāts	rajya sabha
மேலாக	vairāk	above all
மேலாண்மை	pārvaldība	management
மேலான	vairāk	significant
மேலிருக்கும்	pārvarēšana	above all
மேலிருந்து	no augšas	from above
மேலும்	tālāk	further more
மேலே	atpakaļ uz augšu	up
மேலை	rietumnieki	west
மேலைச்	rietumu	western salukya king
மேலோடு	garoza	surface
மேல்	vairāk	top
மேல்நோக்கி	uz augšu	telescope
மை	mana	my
மைக்கேல்	maikls	micheal
மைக்ரோ	mikro	micro
மைக்ரோசாஃப்ட்	microsoft	microsoft
மைக்ரோசாப்ட்	microsoft	microsoft
மைசூர்	mysore	mysore
மைதானம்	zeme	ground
மைனர்	miner	adult
மையக்	centrālā	centre
மையங்கள்	centri	centers
மையத்தின்	centrs	central
மையத்தில்	centrā	central
மையத்தை	pivot	center
மையப்	centrālā	center
மையப்பகுதியில்	centrā	center region
மையமாக	fokuss	center
மையமாகக்	fokuss	centered on
மையமாகத்	centrs	centerized
மையமாகவும்	rumba	as a head or in central
மையம்	centrs	central force
மைல்	jūdze	mile
மொகலாய	mughal	mogul
மொத்த	kopā	total
மொத்தத்	kopumā	totally
மொத்தத்தில்	kopumā	totally
மொத்தப்	kopā	total
மொத்தமாக	kopā	total
மொத்தம்	kopā	total
மொபைல்	mobilais	mobile
மொரிசியசு	maurīcija	mauritius
மொழிகளாக	valodas ir	language
மொழிகளான	valodas:	languages
மொழிகளின்	valodas	languages
மொழிகளிலும்	valodas	in all languages
மொழிகளில்	valodas	languages
மொழிகளுக்கு	valodas	languages
மொழிகளும்	valodas	languages
மொழிகளுள்	molikaluls	within languages
மொழிகளை	valodas	​​languages
மொழிகளையும்	valodas,	languages as well
மொழிகள்	valodas	languages
மொழிக்	valoda	language
மொழிக்கு	uz valodu	for language
மொழிக்கும்	valoda un	language
மொழிச்	valoda	language
மொழித்	valoda	language
மொழிபெயர்ப்பு	tulkošana	translation
மொழியாக	valoda	as a language
மொழியாகக்	valoda,	language of
மொழியாகவும்	valoda un	language and
மொழியாகும்	valoda, ka	language
மொழியான	idioma	language
மொழியானது	valoda	that language
மொழியின்	valoda	language's
மொழியியலின்	no valodniecības	lingustics
மொழியியல்	valodniecība	linguistics
மொழியிலும்	valoda,	linguistics
மொழியிலேயே	valoda,	in the language
மொழியில்	burtiski	in the language
மொழியும்	valoda	language also
மொழியே	un ar	the language
மொழியை	valoda	languages
மோகன்	mohans	mohan
மோகினி	mohini	ghost
மோசமான	slikti	worst
மோட்டார்	motors	motors
மோதல்	sadursme	battle
மௌன	mauna	not speek
ம்	e	m a letter in tamil
யமுனை	jamuna	yamuna
யாகம்	yagna	penance
யாகூ	yahoo	yahoo
யாக்கோபு	džeimss	jacob
யாதெனில்	kurā	of that
யாத்திரை	svētceļnieks	pilgrimage
யானை	zilonis	elephant
யானைகளின்	no ziloņiem	elephant's
யானைகள்	ziloņi	elephants
யானைக்	zilonis	elephant
யானையின்	ziloņu	elephant
யாப்பு	konstitucionālais	yappu
யாருக்கு	pvo	to whom
யாருக்கும்	jebkurš	no one
யாரும்	nav	nobody
யாழ்	rpg	general
யாழ்ப்பாண	jaffna	ilangai
யாழ்ப்பாணக்	jaffna	yalpaanam
யாழ்ப்பாணத்தில்	jaffnā	in jaffna
யாழ்ப்பாணப்	jaffna	yalpanam
யாவற்றினும்	un visās lietās	by all
யாவும்	visi	all
யாஹூ	yahoo!	yahoo
யின்		of
யில்		in that year
யுஎஸ்	asv	united states
யுடிசி	utc	utc
யுத்தத்தில்	karā	in the war
யுத்தத்தை	karš	war
யுத்தம்	cīņa	battle
யுனெஸ்கோ	unesco	unesco
யுனைடெட்	apvienots	united
யுரேனஸ்	urāns	uranus
யுரேனியம்	urāns	uraniem
யூ	u	an initial
யூக்ளிட்	eiklīds	euclid
யூத	ebreju	judas
யூதர்	ebreju	jewish
யூதர்களின்	ebreju	jews
யூதர்கள்	ebreju	yuders
யூனிட்	vienība	unit a measurement
யூனியன்	savienība	union
யூரோ	eiro	uro
யூரோப்பியம்	europium	european union
யெல்லோஸ்டோன்	jeloustons	ellowstone
யோகம்	joga	luck
யோசேஃபசு	yocehpacu	name of a person
யோசேப்பு	jāzeps	joseph
யோனி	maksts	yoni or vaginal tract
யோர்க்	york	york
யோர்தான்	jordānija	yordan
யோவான்	džons	yovan
ர	vilciens	ra, a tamil letter
ரக்பி	regbijs	rugby
ரசிகர்கள்	fani	fans
ரசினிகாந்து	radžnikanta	rajinikanth
ரத்னா	ratna	diamond
ரப்பர்	gumija	rubber
ரமண	ramana	music
ரயில்	vilciens	train
ரயில்வே	dzelzceļš	rail
ரவி	ravi	ravi
ரஷ்ய	krievu	russian
ரஷ்யப்	krievu	russian
ரஷ்யா	krievija	country
ரஷ்யாவின்	krievijas	russian
ரஷ்யாவில்	krievijā	in rusia
ராகங்கள்	rgas	tunes
ராகம்	raga	raaga or music
ராக்	akmens	rock
ராக்கி	rokijs	rocky mountain
ராசா	radža	king
ராஜ	radža	raja
ராஜதந்திர	diplomātiskā	war stragedy
ராஜன்	rajans	rajan
ராஜபுத்திர	rajput	king
ராஜா	karalis	raja
ராஜீவ்	rajejevs	rajiv gandhi
ராஜேந்திர	rajendra	rajendra
ராஜ்ஜியம்	saga	area or ruling or governing places
ராணி	karaliene	queen
ராணுவ	armija	army
ராணுவத்தின்	armija	defence
ராணுவம்	militārā	military
ராதா	radha	one of the name
ராதாகிருஷ்ணன்	radhakrishnan	radha krishnan
ராதாவின்	radha	radha's
ராபர்ட்	roberts	robert
ராமசாமி	ramaswamy	ramasamy
ராமன்	ramans	raman
ராம்	auns	ram
ராயல்	karaliskais	royal
ராய்	rai	roy
ராவ்	rao	rao
ரிகோ	riko	rico
ரிக்	riks	rig
ரிசர்வ்	rezerve	reserve
ரிச்சர்டு	ričards	richard, a name
ரிலையன்ஸ்	paļaušanās	reliance
ரீதியாக	fiziski	as per
ரீதியிலான	kaprālis	industrialised way
ரீதியில்	runājot par	in terms of
ருத்தேனியம்	rutēnijs	ruthenium
ரூ	bizness	rupees, indian currency name
ரூபாய்	rūpija	rupees
ரெகே	regejs	reggae music artist
ரெட்	sarkans	color of red
ரெட்ரோ	retro	retro
ரேகை	fp	line
ரேடியோ	radio	radio
ரைட்	wright	rite
ரைபோசோம்	ribosoma	ribosome
ரோகிணி	rohini	rohini
ரோமன்	romiešu	roman
ரோமப்	romiešu	roman
ரோமர்	romieši	romanian
ரோமானிய	romiešu	romanian
ரோமியோ	romeo	romeo
ரோம்	roma	rome
ரௌட்டிங்	maršrutēšana	routing
ல	la	l
லட்சம்	miljons	lakhs
லட்சுமி	lakšmi	lakshmi
லண்டனில்	londonā	in the london
லண்டன்	londona	london
லத்தீன்	latīņu valoda	latin
லவ்	mīlestība	love
லஷ்கர்-ஏ-தொய்பா	lashkar-e-taiba	lushkar-a-thoiyba
லா	la	la a letter in tamil
லாந்த்தனைடு	lantanīds	lanthonide
லாரி	larijs	lorry
லால்	lal	lal
லாஸ்	las	los
லிங்கன்	linkolns	lincoln
லித்தோ	litosfēra	litho
லினக்ஸ்	linux	linex
லின்	lynn	lin
லிப்பிட்	lipīds	one of the fat
லியொனார்டோ	leonardo	leonardo
லியொனார்டோவின்	leonardo&#39;s	in liyarnado
லீக்	līga	league
லீப்	lēciens	leap
லுத்யானைடீ	lutjanaiti	lutjanidae a fish family name
லூக்கா	lūkass	luke
லூசியானா	luiziāna	louisiana
லூயிஸ்	luiss	lues
லெனினிசம்	ļeņinisms	leninism
லெனின்	ļeņins	lenin
லெமூர்	lemurs	it is a animal. family of monkey
லேக்ஸ்	ezeri	lakes
லைவ்	tiešraide	live
லோபோட்டைடீ	lopottaiti	labotidae a name given to family of fish
ல்	no plkst	st
வ	va	va
வகிக்கின்றது	spēlē	take place
வகிக்கின்றன	spēlēt	living
வகிக்கிறது	spēlē	living
வகித்த	notika	in power
வகித்தது	ieguldīts	existed
வகித்தார்	viņš spēlēja	held
வகித்து	svins	relate
வகுத்தது	sadalīts	divided
வகுப்பில்	klasē	in class
வகுப்பு	klase	class
வகை	kategorija	sects
வகைகளாக	kategorijas	types
வகைகளின்	veidi	variety
வகைகளிலும்	dažādi	varieties
வகைகளில்	veidi	varieties
வகைகளும்	veidi	types
வகைகளை	sugas	type
வகைகள்	veidi	varieties
வகைக்	veids	type
வகைத்	nogurums	veriety
வகைப்	kategorija	category
வகைப்படுத்தலாம்	kategorizēti	category
வகைப்படுத்தல்	klasifikācija	classifications
வகைப்படுத்துவது	kataloģizēšana	is planned
வகைப்பட்ட	veidi	different
வகைப்பாடு	klasifikācija	variety
வகைப்பாட்டில்	kategorija	a family name
வகைப்பாட்டு	klasifikācija	classification
வகையாக	veidam	of kind
வகையான	laipns	variety of
வகையிலான	laipns	having that way
வகையிலும்	nozīmē	this way
வகையைச்	kategorija	type
வங்காள	bengālija	bengal
வங்காளம்	bangladeša	west bengal
வங்காளி	bangla	bengali
வங்கி	banku darbība	bank
வங்கிகள்	bankas	banks
வங்கியின்	banka	in bank
வசதி	mehānisms	facility
வசதிகளை	saimniecība	facilities
வசதிகள்	iezīme	facilities
வசதியாக	ērti	comfotable
வசதியான	ērti	luxurious
வசதியை	iezīme	fesility
வசந்த	pavasaris	spring
வசந்தம்	pavasaris	winter
வசம்	valdīšana	into the hands of
வசிக்கிறார்கள்	obligāts	living
வசிக்கும்	dzīvo	living
வசித்து	apdzīvots	lives
வட	ziemeļi	north
வடகிழக்கு	uz ziemeļaustrumiem	east
வடகிழக்குப்	uz ziemeļaustrumiem	northeast
வடக்கிலிருந்து	no ziemeļiem	from north
வடக்கிலும்	ziemeļi	in the north
வடக்கில்	ziemeļos	north
வடக்கு	ziemeļu	north
வடக்குக்	ziemeļi	in the north
வடக்குப்	ziemeļi	north
வடக்கே	ziemeļi	in the north
வடமேற்கு	ziemeļrietumi	northwest
வடமொழி	sanskrits	north indian language
வடமொழியில்	sanskritā	north indian language
வடிகால்	notekas	sanitary
வடிவ	forma	shape
வடிவங்களில்	veidlapas	shapes
வடிவங்களை	veidlapas	shapes
வடிவங்கள்	formāti	shapes
வடிவத்திலும்	forma	shapes
வடிவத்தில்	formā	shape
வடிவத்தை	forma	shape
வடிவமாக	veidot	shapes
வடிவமாகும்	forma	symbol
வடிவமான	forma	by the shape
வடிவமும்	forma	shape
வடிவமைக்கப்பட்ட	paredzēts	designed to
வடிவமைத்த	paredzēts	making
வடிவமைத்து	dizains	design
வடிவமைப்பு	dizains	design
வடிவம்	forma	design
வடிவிலான	forma	by the shape of
வடிவில்	forma	in that shape
வடை	pelmeņi	food
வட்ட	raunds	circle
வட்டத்தின்	aplis	in circle
வட்டத்தில்	lokā	in circle
வட்டப்	aplis	circle
வட்டப்பாதையில்	orbitāla	orbit
வட்டமான	noapaļots	circle
வட்டம்	aplis	circle
வட்டார	reģionālās	regional
வட்டி	interese	interest
வட்டு	disks	disk
வணக்கப்	dievkalpojums	welcome
வணக்கம்	sveiki	wishing
வணங்கி	dievkalpojumi;	and worshiping
வணிக	bizness	commercial
வணிகக்	bizness	business
வணிகத்தில்	bizness	in business
வணிகப்	bizness	business
வணிகம்	bizness	commerce or trade
வணிகர்	tirgotājs	businessman
வண்டல்	nogulumi	sediment
வண்ண	krāsa	color
வண்ணம்	krāsa	color
வதம்	slepkavošana	annihilated
வது	th	2nd
வத்திக்கான்	vatikāns	vatican
வந்த		come
வந்ததால்	nāk	come of
வந்தது	apmeklēja	came
வந்தன	satriecoši	there were
வந்தனர்	maui	came
வந்தவர்கள்	cilvēki	descent
வந்தாச்சு	ir ieradies	has come
வந்தான்	nāca	he came
வந்தார்	nāca	came
வந்தாலும்	lai gan	even if comes
வந்தால்	ja	coming to
வந்தாள்	viņa	she came
வந்திருக்கிறது	ir bijis	has come from
வந்து	nāc	coming
வந்துள்ளது	tur	occurrence
வந்துள்ளன	tur	run
வந்துள்ளனர்	ir	have come
வன	mežs	forestry
வன்னி	vanni	vanni tree
வன்னியர்	vanniyar	vannier
வன்மி	hadron	strong photonic
வன்முறை	vardarbīgs	violence
வம்ச	dinastija	dynasty
வம்சத்தின்	dinastija	dynasty
வம்சம்	dinastija	dynasty
வம்சாவழித்	pilsoņi	vamcavalit
வயதான	novecošanās	old
வயதிலேயே	vecums	kids stage
வயதில்	gadu vecumā	in age
வயது	vecums	age
வயதுக்கு	vecums	age
வயலின்	vijole	violin
வயிறு	kuņģis	stomach
வயிற்றில்	kuņģis	in stomach
வர	nāc	cycle
வரம்	boon	wish
வரலாம்	laipni lūdzam	may come
வரலாறு	vēsture	history
வரலாறும்	vēsture	history
வரலாற்றின்	vēsture	historical
வரலாற்றில்	vēsture	history
வரலாற்று	vēsture	historical
வரலாற்றுக்	vēsture	historic
வரலாற்றுக்கு	vēsture	history
வரலாற்றுச்	vēsture	historical
வரலாற்றையும்	vēsture	in cloud history
வரவில்லை	nenāca	didnt come
வரவு	kreditēts	economic status
வரவேற்பு	uzņemšana	welcome
வராமல்	iepriekš instalēt	not affect
வரி	līnija	line
வரிசை	rinda	order, line
வரிசைப்படி	pasūtīt	in the order
வரிசையில்	rinda	quie
வருக	laipni lūdzam	welcome back
வருகின்ற		forthcoming
வருகின்றனர்	ir	coming
வருகிறது	ir	coming to
வருகிறார்	ir	he is coming
வருகிறார்கள்	nāk	coming
வருகை	apmeklējums	entry
வருக்கம்	varukkam	race
வருங்கால	perspektīvs	future
வருட	gads	year
வருடங்களாக	gadiem,	yearly
வருடங்களில்	gados	in the years
வருடங்களுக்கு	gadi	years
வருடத்திற்கு	gads	per year
வருடத்தில்	gadā	in year
வருடந்தோறும்	katru gadu	yearly
வருடமும்	gads	years
வருடம்	gads	year
வருடாந்திர	katru gadu	yearly
வருதலும்	uzsākta	become
வருதல்	ierašanās	become
வருமான	ienākumi	income
வருமானத்தில்	ienākumos	income
வருமானம்	ieņēmumi	income
வருமாறு	apmeklējums	comeforth
வரும்	nāk	forth coming
வரும்போது	kad tas nāk	when it comes
வருவதற்கு	nāk	before the victory
வருவதாலும்	plūsma	because of coming
வருவதால்	ja jums ir	coming from
வருவது	sekos	coming
வருவாயில்	ieņēmumi	in revenue
வருவாய்	ieņēmumi	income
வருஷம்	gads	year
வரை	augšā	upto
வரைக்கும்	augšā	till
வரைதல்	zīmējumi	drawaing
வரைந்த	uzzīmēts	draw
வரைபடங்கள்	zīmējumi	pictures
வரைபடத்தில்	kartē	on the map
வரைபடம்	karte	map
வரையப்படும்	uzzīmēts	drawn
வரையப்பட்ட	uzzīmēts	map
வரையறுக்கப்படுகிறது	definēts	having limited or defined
வரையறுக்கப்பட்ட	ierobežots	defined
வரையறுக்கிறது	definē	determining
வரையறை	definīcija	map
வரையறைகள்	definīcijas	limitations
வரையான	augšā	during that period
வரையிலான	augšā	till that
வரையிலும்	līdz	upto that
வரையில்	iekš	limit
வரையும்	zīmējums	upto
வரைவிலக்கணங்கள்	preparāti	definitions
வரைவிலக்கணம்	definīcija	definition
வரைவு	melnraksts	on of the principle of something about
வர்க்க	klase	class
வர்க்கம்	klase	people group
வர்த்தக	bizness	trade
வர்த்தகப்	bizness	market
