$	dollarni tashkil etadi	dollars
съветското	sovet	soviet
съветът	kengash	board
съвкупност	jami	aggregate
съвместно	birga	joint
съвпада	mos keladi	coincide
съвременен	zamondosh	contemporary
съвременна	zamonaviy	modern
съвременната	zamonaviy	the contemporary
съвременни	zamonaviy	modern
съвременните	zamonaviy	contemporary
съвременници	zamondoshlari	contemporaries
съвременния	zamonaviy	modern
съвременно	zamonaviy	modern
съвременното	zamonaviy	contemporary
съвсем	ancha	completely
съгласие	rozilik	agreement
съгласни	rozi	agree
съгласно	ga ko&#39;ra	according to
съгласява	rozi	agrees
съгласяват	rozi	agree
съд	sud	court
съда	sud	court
съдба	taqdir	destiny
съдбата	taqdir	fate
съдебна	sudga oid	case
съдебната	sudga oid	judicial
съдебни	sudga oid	juridical
съдействието	yordam	the help
съди	sudya	judge
съдия	sudya	judge
съдове	idishlar	vessels
съдовете	idishlar	vessels
съдържа	o&#39;z ichiga oladi	contains
съдържание	tarkibi	ingredients
съдържанието	tarkibi	content
съдържат	o&#39;z ichiga oladi	contain
съдържащ	o&#39;z ichiga oladi	containing
съдържащи	o&#39;z ichiga oladi	containing
съединени	ulangan	united
съединение	aralashma	compound
съединението	aralashma	unification
съединените	birlashgan	united
съединения	aralashmalar	units
съединителна	ulash	unite
съжаление	uzr	regret
създава	yaratadi	creates
създавайки	yaratish	creating
създаване	yaratish	creation
създаването	yaratish	creation
създават	yaratmoq	create
създадат	yaratmoq	create
създаде	yaratilgan	make
създаден	yaratilgan	created
създадена	yaratilgan	created
създадената	yaratilgan	established
създадени	yaratilgan	created
създадено	yaratilgan	created
създал	yaratilgan	made
създали	yaratilgan	created
създател	yaratuvchisi	founder
съзнание	ong	consciousness
съзнанието	ong	knowledge
съимператор	qo&#39;shma imperator	saimperator
съкратено	qisqartirilgan	abbreviated
съкращение	qisqartirish	abbreviation
съкращението	qisqartma	shortening
съкровище	xazina	treasure
съкровището	xazina	treasure
съм	menman	am
съмнение	shubha	suspects
съмнения	shubhalar	doubts
сън	uyqu	dream
съображения	mulohazalar	considerations
съобщава	hisobotlar	announce
съобщават	xabar qildi	reported
съобщение	xabari	message
съобщението	xabar	the announcement
съобщения	xabarlar	communications
съоръжение	o&#39;rnatish	installation
съоръжения	imkoniyatlar	facilities
съответната	mos keladigan	respective
съответните	tegishli	relevant, corresponding
съответния	mos keladigan	respecting
съответно	navbati bilan	appropriate
съответното	navbati bilan	respectively
съответства	mos keladi	corresponds
съответствие	muvofiqlik	according
съотношение	nisbati	ratio
съотношението	nisbati	proportion
съпроводено	hamrohlik qildi	accompanied
съпротива	qarshilik	resistance
съпротивата	qarshilik	resistance
съпротивление	qarshilik	resistance
съпруг	er	husband
съпруга	xotini	wife
съпругата	xotini	wife
сър	ser	sir
сърби	serblar	serbs
сърбите	serblar	serbs
сърбия	serbiya	serbia
сървър	server	server
сърдечната	yurak	heart
сърце	yurak	heart
сърцето	yurak	heart
със	bilan	with
съседи	qo&#39;shnilar	neighborhood
съседите	qo&#39;shnilar	neighbors
съседни	qo&#39;shni	neighboring
съседните	qo&#39;shni	neighboring
съседство	turar joy dahasi	proximity
съсловие	sinf	class
съсредоточава	diqqat markazida	focus
съсредоточена	yo&#39;naltirilgan	concentrated
съсредоточени	yo&#39;naltirilgan	located
съст	komp	ingr. (short of ingredients)
състав	tarkibi	staff
състава	tarkibi	staff
съставен	iborat	constituent
съставена	iborat	constituted
съставени	iborat	up
съставено	iborat	composed
състави	kompozitsiyalar	compiled
съставки	ingredientlar	ingredients
съставлява	tashkil qiladi	accounts
съставляват	tashkil qiladi	constitute
съставна	kompozit	component
съставя	tuzadi	draw
съставят	pardoz	compile
състезание	musobaqa	competition
състезания	musobaqalar	competitions
състои	iborat	consists
състояние	shart	state
състоянието	shart	state
състояния	shartlari	conditions
състоят	iborat	consist
състоящ	iborat	consisting
състояща	iborat	consisting
сътрудник	sherik	collaborator
сътрудничество	hamkorlik	cooperation
сътрудничеството	hamkorlik	collaboration
сътрудничи	hamkorlik qiladi	cooperate
съхранени	saqlanadi	stored
съхранение	saqlash	storage
съхранява	do&#39;konlar	preserve
съхраняване	saqlash	conservation
съхраняват	saqlanadi	store
съчетава	kombaynlar	combines
съчетание	birikmasi	combination
съчинения	insholar	essays
същ	bir xil	same
съща	xuddi shu	same
същата	xuddi shu	the same
същевременно	xuddi shu paytni o&#39;zida	same time
същества	maxluqot	beings
съществена	muhim	essential
съществени	muhim	essential
съществено	mohiyatan	substantially
съществителни	otlar	nouns
съществителните	otlar	nouns
съществително	ot	noun
същество	bo&#39;lish	being
съществува	mavjud	there
съществувал	mavjud edi	existed
съществувала	mavjud edi	existent
съществували	bu	existed
съществувало	mavjud edi	existed
съществуване	mavjudlik	existence
съществуването	mavjudlik	existence
съществуват	mavjud	there
съществуващи	mavjud	existing
съществуващите	mavjud	/
същи	xuddi shu	same
същинската	haqiqiy	actual
същите	xuddi shu	all
същия	xuddi shu	/
същият	xuddi shu	it
същност	mohiyati	essence
същността	mohiyati	nature
също	ham	also
същото	xuddi shu	same
съюз	birlashma	union
съюза	birlashma	union
съюзи	kasaba uyushmalari	unions
съюзник	ittifoqdosh	ally
съюзници	ittifoqchilari	allies
съюзниците	ittifoqchilar	the allies
сюжет	fitna	skojet
сюзън	syuzan	susan
сюлейман	sulaymon	suleiman
сякаш	go&#39;yo	as if
сянка	soya	shadow
сяр	ser	serres
сяра	oltingugurt	sulfur
сярна	oltingugurt	sulphuric
т	t	t
та	va	-th
таблица	jadval	table
тази	bunisi	this
тайван	tayvan	taiwan
тайланд	tailand	thailand
таймс	marta	times
тайна	sir	secret
тайната	sir	secret
тайни	sirlari	secrets
тайните	sirlari	secret
тайно	yashirincha	secretly
така	shunday qilib	thus
такава	shunday	such
такива	shunday	such
такова	shunday	like that
такси	taksi	taxi
такт	xushmuomalalik	tact
такъв	shunday	such
талант	iste&#39;dod	talant
талев	talev	talev
талий	bel	thallium
там	mana	there
тамплиерите	templars	templars
тангари	tangari	tangari
танзания	tanzaniya	tanzania
танкове	tanklar	tanks
танци	raqslar	dances
тасос	toshchalar	thassos
тата	dadam	-th
татари	tatarlar	tatars
тацит	tinch	tacitus
тв	tv	tv
твен	ikkitasi	twain
творба	ishlash	work
творбата	ish	work
творби	ishlaydi	works
творбите	asarlar	works
творци	ijodkorlar	artists
творчество	ijodkorlik	work
творчеството	ijodkorlik	work
твърд	qattiq	hard
твърда	qattiq	solid
твърде	ham	too
твърдение	bayonot	statement
твърдения	bayonotlar	statements
твърденията	da&#39;volar	statements
твърди	da’volar	claims
твърдо	mahkam	fully
твърдост	qattiqlik	hard
твърдят	talab	claim
те	ular	ie
театрален	teatr	theatrical
театрални	teatr	theater
театри	teatrlar	theatres
театър	teatr	theater
театъра	teatr	theater
театърът	teatr	the theatre
теб	siz	you
тебе	siz	you
тевтони	teutonlar	teutonians
тегло	vazn	weight
теглото	vazn	weight
тежестта	vazni	severity
тежка	og&#39;ir	heavy
тежката	og&#39;ir	hard
тежки	og&#39;ir	heavy
тежките	og&#39;ir	heavy
тежко	qattiq	hard
тежък	og&#39;ir	heavy
теза	tezis	thesis
тезата	tezis	thesis
тези	bular	these
тейлър	taylor	taylor
тексас	texas	texas
текст	matn	text
текста	matn	text
текстил	to&#39;qimachilik	textile
текстилна	to&#39;qimachilik	textile
текстилната	to&#39;qimachilik	textile
текстове	matnlar	texts
текстовете	matnlar	the texts
текстът	matn	text
тектонски	tektonik	tectonic
тел	tel	tel
тела	tanalar	body
теламон	telamon	talamon
телата	tanalar	body
телевизионен	televizor	television
телевизионна	televizor	tv
телевизионни	televizor	tv
телевизионните	televizor	tv
телевизия	televizor	television
телевизията	televizor	television
телескоп	teleskop	telescope
телескопа	teleskop	telescope
телесната	tana	body
телефонен	telefon	telephone
телефони	telefonlar	phones
тема	mavzu	topic
темата	mavzu	topic
темза	temza	thames
теми	mavzular	topics
температура	harorat	temperature
температурата	haroratga	the temperature
температури	harorat	temperatures
температурите	harorati	temperatures
температурни	harorat	temperature
темпове	sur&#39;ati	pace
темуджин	temujin	temujin
тенденции	tendentsiyalari	trends
тенденция	trend	trend
тенденцията	trend	tendency
тенерифе	tenerife	tenerife
тенис	tennis	tennis
теогония	teogoniya	theogony
теодицея	teodisik	teoditsiya
теодор	teodor	theodore
теодорус	teodorus	theodorus
теодосий	teodosius	theodosius
теология	ilohiyot	theology
теорема	teoremasi	theorem
теоретична	nazariy	theoretic
теоретично	nazariy jihatdan	theoretical
теории	nazariya	theories
теориите	nazariyalar	theory
теория	nazariya	theory
теорията	nazariya	theory
теофан	teofanlar	theophanes
тепе	tepa	tepe
терапия	terapiya	therapy
тераси	teraslar	terraces
тератология	teratologiya	teratology
тервел	tervel	tervel
терен	yer	field
терена	yer	terrain
териер	teriyer	terrier
териториални	hududiy	territorial
териториално	hududiy	territorial
територии	hududi	territory
териториите	hududlar	teritories
територия	hududi	territory
територията	hudud	teritory
термин	muddatli	term
термина	muddatli	the term
термини	shartlari	terms
терминът	atama	the term
тесалия	salon	thessaly
тесен	tor	close
тесла	tesla	tesla
тесни	tor	close
тестове	sinovlar	tests
тетивата	tendon	tendon
техен	ularning	their
техни	ularning	their
техника	texnikasi	technology
техниката	texnikasi	technique
техники	texnikalar	technics
техните	ularning	their
техническа	texnik	technical
технически	texnik jihatdan	technical
техния	ularning	their
техният	ularning	their
технологии	texnologiyalar	technology
технология	texnologiya	technology
тец	tec	cgh
тече	oqadi	runs
течение	joriy	course
течението	joriy	flow
течения	oqimlari	course
течно	suyuq	liquid
течност	suyuq	fluid
течности	suyuqliklar	liquids
ти	siz	you
тиберий	tiberiy	tiberius
тибет	tibet	tibet
тива	tiva	tiva
тигър	yo&#39;lbars	tiger
тила	orqaga	backstab
тим	jamoasi	tim
тимор	taymer	timor
тип	turi	kind
типа	turi	similar to
типичен	tipik	typical
типичната	tipik	typical
типични	tipik	typical
типично	odatda	typical
типове	turlari	types
тираж	aylanish	edition
титан	titan	titan
титаник	titanik	titanik
титла	sarlavha	title
титларожденопри	titlarozhdenopri	title at birth
титлата	sarlavha	title
титли	unvonlari	titles
тих	jim	quiet
тихи	jim	pacific ocean
тихия	jim	quiet
тия	bular	these
тласък	durang	impetus
тнар	tnar	so-called
то	keyin	it
това	bu	this
товарни	yuk	freight
тогава	keyin	then
тогавашния	keyin	former
тодор	todor	todor
тодоров	samolyot	todorov
тоест	anavi	namely
този	bunisi	this
той	u	he
ток	joriy	current
тока	joriy	electricity
токио	tokio	tokyo
толерантност	bag&#39;rikenglik	tolerance
толкин	tolkien	tolkien
толкова	juda ko&#39;p	so
том	hajmi	volume
тома	hajmi	volumes
томас	tomas	thomas
тона	tonna	tons
топ	tepasida	top
топене	erish	melting
топка	to&#39;p	ball
топката	koptok	the ball
топки	sharlar	balls
топла	iliq	hot
топлина	issiqlik	heat
топлината	issiqlik	heat
топло	iliq	warm
точка	nuqta	spot
точки	ball	points
точна	aniq	accurate
точната	aniq	the exact
точни	aniq	accurate
точният	aniq biri	accurate
точно	aniq	exactly
точност	aniqlik	accuracy
точността	aniqlik	the accuracy
точното	aniq	exact
тоше	tos	tose
трагедията	fojia	tragedy
традиции	urf-odatlari	traditions
традициите	urf-odatlari	traditions
традиционен	an&#39;anaviy	traditional
традиционна	an&#39;anaviy	tradicional
традиционната	an&#39;anaviy	traditional
традиционни	an&#39;anaviy	traditional
традиционните	an&#39;anaviy	traditional
традиционния	an&#39;anaviy	traditional
традиционно	an&#39;anaviy ravishda	traditionally
традиционното	an&#39;anaviy	traditional
традиция	an&#39;ana	tradition
традицията	an&#39;ana	the tradition
трае	davom etadi	lasts
трайни	bardoshli	permanent
трайно	doimiy ravishda	permanent
траки	yuk mashinalari	thracians
тракийска	trakiya	thracian
тракийската	trakiya	thracian
тракийски	trakiya	thracian
тракийските	trakiyaliklar	thracian
тракийския	trakiya	thracian
тракийско	trakiya	thracian
тракийското	trakiya	thracian
траките	trakiyaliklar	thracians
тракия	trakya	trakiya
транзистори	tranzistorlar	transistors
трансилвания	transilvaniya	transylvania
транскрипция	transkripsiya	transcription
транспозон	transposon	transposons
транспорт	transport	transport
транспорта	transport	transport
транспортен	transport	transport
транспортна	transport	transportation
транспортната	transport	transport
транспортни	transport	transport
трансфер	o&#39;tkazish	transfer
трасето	marshrut	route
трафик	transport	traffic
трахеит	traxeit	tracheitis
траян	trajan	trajan
траяна	trajan	traiana
трева	o&#39;t	grass
трендафил	atirgul	rose
треньор	murabbiy	trainer
треньори	murabbiylar	coaches
треска	isitma	fever
трета	uchinchi	third
третата	uchinchisi	third
трети	uchinchi	third
третия	uchinchisi	third
третият	uchinchisi	third
трето	uchinchi	thirdly
третото	uchinchisi	third
три	uch	three
трима	uch	three
тримата	uch	three
тринидад	trinidad	trinidad
трир	trier	trier
трите	uch	three
тритон	yangi	triton
трифон	trifon	trifon
трифонов	trifonov	trifonov
триъгълник	uchburchak	triangle
триъгълника	uchburchak	triangle
триъгълници	uchburchaklar	triangle
трогоноподобни	trogonga o&#39;xshash	the trogons, the trogoniformes
троица	uchlik	trinity
трол	troll	troll
трона	taxt	throne
тропически	tropik	tropical
тропическите	tropik	tropical
тропични	tropik	tropical
троя	troy	troy
троян	troyan	troyan
троянската	troyan	trojan
троянски	troyan	troyan
троянския	troyan	trojan
троянците	troyanlar	trojans
труд	mehnat	work
труда	mehnat	labor
труден	qattiq	tough
трудни	qiyin	difficult
трудно	qattiq	dificult
трудности	qiyinchiliklar	difficulties
трудове	ishlaydi	writings
трудовете	asarlar	works
труман	truman	truman
трупа	murda	body
трупове	murdalar	corpses
тръба	quvur	tube
тръби	quvurlar	tubing
тръгва	barglari	leaves
тръгват	ular ketishadi	leave
тръстика	qamish	cane
трябва	kerak	must
трябвало	kerak	had
трявна	o&#39;t	tryavna
ту	tu	tu - technical university // at times
туберкулоза	sil kasalligi	tuberculosis
туберкулозата	sil kasalligi	tb
тук	bu yerda	here
тунели	tunnellar	tunnels
тунис	tunis	tunisia
тур	dumaloq	tour
турбина	turbina	turbine
туризма	turizm	tourism
туризмът	turizm	tourism
туризъм	turizm	tourism
туристи	sayyohlar	tourists
туристите	sayyohlar	tourists
туристическа	sayyoh	tourist
туристически	sayyoh	touristis
туристическите	sayyoh	tourist
туристическо	sayyoh	tourist
туркменистан	turkmaniston	turkmenistan
турне	tur	tour
турнета	tur	tour
турнето	tur	tour
турнир	turniri	tournament
турнира	turniri	tournament
турнири	musobaqalar	tournaments
турнирите	musobaqalar	tournaments
турска	turkcha	turkish
турската	turk	turkish
турски	turkcha	turkish
турските	turkcha	turkish
турския	turkcha	turkish
турският	turk	turkish
турско	turkcha	turkish
турското	turk	the turkish
турци	turklar	turks
турците	turklar	the turkish
турция	kurka	turkey
туя	thuja	tuya
тч	tch	including
тъга	qayg&#39;u	grief
тъй	sifatida	so
тъкан	to&#39;qima	tissue
тъкани	to&#39;qimalar	tissues
тъканите	to&#39;qimalar	the tissues
тълкувание	talqin	interpretation
тълпа	olomon	criwd
тъмна	qorong&#39;i	dark
тъмната	qorong&#39;i	dark
тъмни	qorong&#39;i	dark
тъмните	qorong&#39;i bo&#39;lganlar	dark
тъмно	qorong&#39;i	dark
тънки	yupqa	thin
тънък	yupqa	thin
търбух	qorin	rumen
търговец	savdogar	merchant
търговище	bozor	trgoviste
търговия	savdo	trade
търговията	savdo	the trade
търговска	tijorat	commercial
търговската	tijorat	commercial
търговски	tijorat	commercial
търговските	tijorat	commercial
търговско	tijorat	commerce
тържествено	tantanali ravishda	officially
търново	tarnovo	tarnovo
търновска	tarnovo	turnovo
търновската	tarnovo	turnovo's
търновски	tarnovo	turnovo
търпи	toqat qilmoq	suffers, undergoes
търсене	qidirmoq	search
търсенето	talab	search
търси	ni axtarish	search
търсят	ni axtarish	search
тюркски	turkiy	turkic
тютюн	tamaki	tobacco
тя	u	she
тяло	tanasi	body
тялото	tanani	body
тясна	tor	close
тясно	yaqindan	tight
тях	ularni	them
тяхна	ularning	their
тяхната	ularning	their
тяхно	ularning	their
тяхното	ularning	their
у	y	in
убеден	ishonch hosil qildi	convinced
убеждава	ishontiradi	convinces
убеждения	e&#39;tiqodlar	beliefs
убежище	boshpana	asylum
убива	o&#39;ldiradi	kill
убиват	o&#39;ldirishadi	kill
убие	o&#39;ldir	kill
убийства	qotillik	murders
убийство	qotillik	homicide
убийството	qotillik	murder
убил	o&#39;ldirilgan	killed
убит	o&#39;ldirilgan	murdered
убити	o&#39;ldirmoq	murdered
увеличава	ortadi	increase
увеличаване	o&#39;sish	increase
увеличаването	ortishi	increase
увеличават	o&#39;sish	increase
увеличение	oshirish	increase
увлича	jalb qiladi	fascinated
уволнен	ishdan bo&#39;shatildi	fired
увреждане	zarar	damage
увреждания	nogironlar	disabilities
удар	puflamoq	blow
удара	urish	impact
удари	xitlar	hits
удоволствие	zavq	pleasure
уеб	veb	web
уебсайт	veb-sayti	website
уелс	uels	wales
уефа	uefa	uefa
ужас	dahshat	terror
узбекистан	o&#39;zbekiston	uzbekistan
уи	ui	uneverste
уик	hafta oxiri	wick
уики	wiki	wiki
уикипедия	vikipediya	wikipedia
уилям	villiam	william
уилямс	villiam	williams
уинстън	winston	winston
уиски	viski	whiskey
уискито	viski	whiskey
указ	farmon	decree
украйна	ukraina	ukraine
украса	bezatish	decoration
украсени	bezatilgan	decorated
укрепване	mustahkamlash	strengthening
укрепления	istehkomlar	fortifications
ул	st	st. (street)
улеснява	osonlashtiradi	aids
улица	ko‘cha	street
улици	ko&#39;chalar	streets
улиците	ko&#39;chalarda	the streets
ума	aql	mind
умело	mahorat bilan	skillfully
умения	ko&#39;nikmalar	skills
умерен	mo&#39;&#39;tadil	temperate
умерено	mo&#39;&#39;tadil	temperate
умереноконтинентален	mo&#39;&#39;tadil qit&#39;a	mild contitental
умира	o&#39;ladi	dies
умират	ular o&#39;ladilar	die
умишлено	ataylab	deliberately
унгария	vengriya	hungary
унгарски	venger	hungarian
унгарския	venger	hungarian
унгарците	vengerlar	hungarians
университет	universitet	university
университета	universitet	university
университети	universitetlar	universities
университетски	universitet	university
уникален	noyob	unique
уникална	noyob	unique
уникални	noyob	unique
унищожава	buzadi	destroy
унищожаването	yo&#39;q qilish	destroying
унищожават	yo&#39;q qil	destroyed
унищожен	yo&#39;q qilindi	destroyed
унищожена	yo&#39;q qilindi	destroyed
унищожени	yo&#39;q qilindi	destroyed
упадък	pasayish	decline
употреба	foydalanish	use
употребата	foydalanish	use
употребява	foydalanadi	use
употребяват	foydalanish	used
управител	menejer	manager
управители	menejerlar	governors
управление	boshqarish	management
управлението	boshqarish	managing
управлява	boshqaradi	manage
управлявал	hukmronlik qildi	ruled
управляван	boshqarildi	operated
управляват	boshqarish	manage
управляващата	hukm	ruling
управляващите	hukmdorlar	ruling
управници	menejerlar	rulers
упражнява	mashqlar	exercise
уравнение	tenglama	equation
урал	ural	ural
уран	uran	uranium
урбан	shaharcha	urban
уреди	texnika	devices
уриниране	siyish	urination
уроци	darslar	lessons
уругвай	urugvay	uruguay
усеща	his qiladi	felt
усещане	tuyg&#39;u	feeling
усилено	kuchaygan	hard
усилия	harakatlar	efforts
усилията	harakatlar	efforts
ускорява	tezlashadi	accelerates
условие	shart	condition
условия	shartlari	conditions
условията	shartlari	conditions
условно	shartli ravishda	provisionally
усложнения	asoratlar	complications
услуга	xizmat	service
услуги	xizmatlar	services
услугите	xizmatlar	services
успее	muvaffaqiyatli bo&#39;ladi	succeed
успели	muvaffaqiyatga erishdi	succeed
успение	uyqu	assumption
успех	omad	success
успеха	muvaffaqiyat	success
успехи	yutuqlar	achievements
успехите	yutuqlar	success
успехът	muvaffaqiyat	the success
успешен	omadli	successful
успешна	omadli	successful
успешни	omadli	successful
успешно	muvaffaqiyatli	successfully
успоредни	parallel	parallel
успоредник	qiyoslagich	parallelogram
успоредно	parallel ravishda	alongside
успява	muvaffaqiyat qozonadi	manage
успяват	ular muvaffaqiyatga erishmoqdalar	fail
успял	muvaffaqiyatga erishdi	managed
уста	og&#39;iz	mouth
установен	tashkil etilgan	established
установена	tashkil etilgan	estabilished
установени	tashkil etilgan	established
установено	tashkil etilgan	found
установи	o&#39;rnatmoq	establish
установили	tashkil etilgan	found
установява	o&#39;rnatadi	established
установяване	tashkil etish	establishment
установяването	tashkil etish	establishment
установяват	o&#39;rnatmoq	settles
установят	o&#39;rnatmoq	establish
устата	og&#39;iz	the mouth
устни	lablar	spoken
устройства	qurilmalar	devices
устройство	qurilma	device
устройството	qurilma	structure
утаяване	yog&#39;ingarchilik	sedimentation
утвърждава	tasdiqlaydi	strengthen
ухо	quloq	ear
участва	ishtirok etadi	involved
участвал	ishtirok etdi	involved
участвали	ishtirok etdi	involved
участват	ishtirok eting	participate
участие	ishtirok etish	participation
участието	ishtirok etish	participation
участия	ishtirok etish	participations
участник	ishtirokchi	participant
участници	ishtirokchilar	players
участниците	ishtirokchilar	participants
участък	bo&#39;lim	section
участъка	bo&#39;lim	section
участъци	bo&#39;limlar	sections
учат	o&#39;rgatish	study
учебни	o&#39;qitish	school
учен	olim	scientist
учени	olimlar	scientists
учение	ta&#39;lim berish	doctrine
учението	ta&#39;limot	studying
ученик	talaba	student
учените	olimlar	scholars
ученици	talabalar	students
учениците	talabalar	students
учения	ta&#39;limotlar	teachings
ученията	ta&#39;limotlar	teachings
учи	o&#39;rganadi	lesson
училища	maktablar	schools
училищата	maktablar	schools
училище	maktab	school
училището	maktab	school
учител	o&#39;qituvchi	teacher
учители	o&#39;qituvchilar	teachers
учителя	o&#39;qituvchilar	teacher
учителят	muallim	the teacher
уши	quloqlari	ears
ушите	quloqlari	ushite
ф	f	f.
фабрика	zavod	factory
фабрики	fabrikalar	factories
фаза	faza	phase
фази	fazalar	phases
файлове	fayllar	files
факт	haqiqat	fact
факта	fakt, dalil, isbot	fact
факти	faktlar	facts
фактически	aslini olib qaraganda	in fact
факто	haqiqat	facto
фактор	omil	factor factor factor
фактори	omillar	factors
факторите	omillar	factors
фактът	fakt, dalil, isbot	the fact
факултет	fakulteti	faculty
фамилия	familiya	family
фамилията	oila	family
фараона	fir&#39;avn	pharaon
фараоните	fir&#39;avnlar	pharaohs
фауна	fauna	fauna
фауната	fauna	fauna
фашизма	fashizm	fascism
фашизмът	fashizm	fascism
фашизъм	fashizm	fascism
фашистите	fashistlar	the fascists
фашистка	fashist	fascist
фашистката	fashist	fascist
фашистките	fashistlar	fascist
февруари	fevral	february
февуари	fevral	february
федерална	federal	federal
федерално	federal	federal
федералното	federal	federal
федеративна	federal	federal
федерация	federatsiyasi	federation
фен	soch quritgich	fan
феновете	muxlislar	fans
фенол	fenol	fenol
феномен	hodisa	phenomenon
феномени	hodisalar	phenomena
фердинанд	ferdinand	ferdinand
ферментация	fermentatsiya	fermentation
фернандо	fernando	fernando
фестивал	festival	festival
фестивали	festivallar	festivals
фетус	homila	fetus
фигура	shakl	figure
фигури	raqamlar	persons
фигурите	raqamlar	figures
фиде	nood	vermicelli
фидел	sadoqatli	fidel (name)
физика	fizika	physics
физиката	fizika	the fisics
физическа	jismoniy	physical
физическата	jismoniy	the physical
физически	jismoniy	physical
физическо	jismoniy	physical
физични	jismoniy	physical
фил	fil	phil
филиал	filiali	filial
филиз	nihol	shoot
филип	filipp	philip
филипините	filippin	philippines
филипополис	filippopol	philippopolis
филм	film	movie
филма	film	the movie
филми	filmlar	films
филмите	filmlar	films
филмова	film	film
филмови	film	movies
филмография	filmografiya	filmography
филмът	kino	the movie
философ	faylasuf	philosopher
философи	faylasuflar	philosophers
философия	falsafa	philosophy
философията	falsafa	philosophy
философска	falsafiy	philosophical
философски	falsafiy jihatdan	philosophical
фин	fin	fine
финала	final	final
финали	final	finals
финансите	moliya	finance
финансов	moliyaviy	financial
финансова	moliyaviy	financial
финансовата	moliyaviy	financial
финансови	moliyaviy	financial
финансовите	moliyaviy	financial
финансово	moliyaviy tomondan	financial
финикийците	finikiyaliklar	the phoenicians
финландия	finlyandiya	finland
фирма	kompaniyasi	firm
фирмата	korxona	firm
фирми	kompaniyalari	firms
фифа	ellikta	fifa
фк	fk	fc
флавий	flavus	flavius
флаг	bayroq	flag
фланг	qanot	flag
флоксови	phlox	the phlox family
флора	flora	flora
флората	flora	flora
флоренция	gullash	florence
флорида	florida	florida
флот	flot	navy
флота	flot	fleet
флотация	flotatsiya	zflotatsia
фобос	foblar	phobos
фокс	tulki	fox
фолк	xalq	folk
фолклор	folklor	folklore
фолклора	folklor	folklore
фолклорен	folklor	folklore
фон	fon	fon
фона	fon	background
фонд	fond	fund
фондация	poydevor	foundation
фондацията	poydevor	foundation
фондове	mablag&#39;lar	funds
форма	shakl	form
формално	rasmiy ravishda	formal
формат	format	format
формата	format	shape
формации	hosil bo&#39;lishi	formations
формация	hosil bo&#39;lishi	formation
форми	shakllari	forms
формира	shakllari	formed
формирали	hosil bo&#39;lgan	formed
формиране	hosil bo&#39;lishi	establish
формирането	hosil bo&#39;lishi	formation
формирани	hosil bo&#39;lgan	formed
формират	shakl	form
формите	shakllari	forms
формула	formula	formula
формулата	formula	the formula
форт	qal&#39;a	fort
форум	forum	forum
фрагменти	parchalar	fragments
фраза	jumlasi	phrase
фракции	kasrlar	fractions
франк	frank	destroyed
франклин	franklin	franklin
франс	fransuz	france
франсиско	fransisko	francisco
франсоа	fransuz	francois
франц	fransuz	franz
франциско	fransisko	francisco
франция	frantsiya	france
французите	frantsuzlar	the french
фрг	frg	fgr
фреди	freddi	freddie
френска	fransuz	french
френската	frantsuzlar	the french
френски	fransuz	french
френските	frantsuzlar	french
френския	frantsuzlar	the french
френският	frantsuzlar	french
френското	frantsuzlar	french
фридрих	fridrix	friedrich
фродо	frodo	frodo
фройд	freyd	freud
фронт	old tomon	front
фронта	old tomon	front
функции	vazifalari	functions
функциите	vazifalari	functions
функционална	funktsional	functional
функционира	ishlaydi	function
функциониране	faoliyat ko&#39;rsatmoqda	functioning
функционирането	faoliyat ko&#39;rsatmoqda	operation
функционират	funktsiyasi	function
функция	funktsiyasi	function
функцията	funktsiyasi	function
футбол	futbol	soccer
футбола	futbol	football
футболен	futbol	football
футболист	futbolchi	football player
футболисти	futbolchilar	players
футболистите	futbolchilar	players
футболна	futbol	football
футболната	futbol	football
футболни	futbol	football
футболът	futbol	the football
фюнес	o&#39;yin-kulgi	funes
х	x	x
хавана	havana	havana
хаджи	hoji	hadji
хазарите	xazarlar	khazars
хазната	xazina	coffers
хайнрих	geynrix	henrik
хайтов	xit	haitov
халифа	xalifa	khalifa
халифат	xalifalik	caliphate
хамбург	gamburg	hamburg
хамилтън	hamilton	hamilton (name)
хамлет	bolg&#39;a	hamlet
хан	xon	khan
ханс	xans	hans
хаос	betartiblik	chaos
характер	belgi	character
характера	belgi	the character
характерен	xarakterli	charecter
характеризира	xarakterlaydi	characterized
характеризират	tavsiflamoq	characterized
характеристика	xarakterli	characteristic
характеристики	xususiyatlari	characteristics
характерна	xarakterli	characteristic
характерните	xarakterli	characteristic
характерно	xarakterli	typical
харесва	yoqadi	likes
хари	garri	harry
харкър	harker	harcker
хармония	garmoniya	harmony
харон	charon	charon
хартия	qog&#39;oz	paper
хасан	hasan	hasan
хасково	haskovo	haskovo
хаус	uy	house
хвърля	otadi	throw
хебраистика	ibroniycha	hebraistics
хектор	gektar	hector
хелий	geliy	helium
хематом	gematoma	hematoma
хемингуей	xeminguey	hemingway
хемоглобин	gemoglobin	hemoglobin
хемороиди	hemoroid	hemorrhoids
хемус	gemus	hemus
хенри	genri	henry
хепатит	gepatit	hepatitis
хера	hera	hera
хераклит	geraklit	heraclitus
херакъл	herakllar	hercules
херкулес	herkullar	hercules
херман	herman	herman
хермес	germes	hermes
херодот	qahramon	herodotus
херцеговина	gersegovina	herzegovina
херцог	gertsog	duke
