$ tỉ	বিলিয়ন ডলার	$ billion
thiểu	গৌণ	minimum
thiện	ভাল	good
thiệp	কার্ড	intervene
thiệt	সত্যিই	damage
thiệu	ভূমিকা	"(term should be ""giới thiệu"") to introduce (v.)"
tho	হউক না কেন	tho
thoa	লেপন করা	combination
thoai	thoại	gentle
thomas	টমাস	thomas
thompson	thompson	thompson
thong	ফালি	(proper noun) thong, as in ang thong
those	সেগুলো	those
thoái	প্রত্যাবর্তী	deterioration
thoán	অনুমান	usurpation
thoáng	বায়বীয়	"(term should be ""thoáng qua"") to pass quickly"
thoát	প্রস্থান	drainage
thoại	ফোন	telephone
thoạt	প্রথম নজরে	just (adv.)
thoả	লেনদেন	compromise
thoải	আরামপ্রদ	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	কদাচিৎ	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	শীঘ্র	suddenly
thpt	thpt	high school
thriller	রোমাঁচকর গল্প	thriller
thskts	thskts	phd- architect
thua	হারান	defeat
thumb|các	থাম্ব |	thumb|many
thunderbolt	অশনি	thunderbolt
thung	উপত্যকা	valley
thuyên	উত্পাটন	a name
thuyết	তত্ত্ব	theory
thuyền	নৌকা	boat
thuê	ভাড়া	employ
thuần	বিশুদ্ধ	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	দ্বন্দ্ব	support
thuận	অনুকূল	favourable
thuật	শিল্প	term
thuế	কর	tax
thuốc	ওষুধ	medicine (n.)
thuộc	অন্তর্গত	belong
thuớc	পানি	"(term should be ""kích thước"") dimensions of an object"
thuờng	সাধারণত	usually
thuở	শৈশব	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	thvn	vietnam television
thy	তোমার	thy
thà	বরং	honest
thành	দুর্গ	"(term should be ""hình thành"") to take shape"
thày	শিক্ষক	teacher
thác	নির্ঝর	harvest
thách	চ্যালেঞ্জ	challenge
thái	থাই	attitude
thám	গোয়েন্দা	to spy (v.)
tháng	মাস	month (n.)
thánh	সেন্ট	a holy person; a saint (n.)
tháo	অপসারণ	"(term should be ""tháo chạy"") to run with abandon"
tháp	মিনার	tower
thâm	গভীর	penetrate
thâu	সঙ্গে টেপ	to collect (v.)
thây	দেখা	body
thãi	বিষ্ঠা	superabundant
thèm	প্রার্থনা করা	desire
thép	ইস্পাত	steel
thét	চিৎকার	shout
thê	দ্য	category
thêm	অধিক	more
thêu	খাজনা	to embroider (v.)
thìa	চামচ	spoon
thìn	তারপর	(proper noun) thìn, the year of the dragon
thình	হঠাৎ	"(term should be ""thình lình"") suddenly"
thí	পরীক্ষা-নিরীক্ষা	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	বাড়িয়ে	tho
thòi	অসুবিধা	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	ধান	grain (n.)
thói	অভ্যাস	a habit (n.)
thô	মোটামুটি	rough, old-fashioned
thôi	চলে আসো	only
thông	অবগত	"(term should be ""thông thường"") usual (adj.)"
thù	জাতিবিবাদ	"entire term should be ""ke thu""; means ""enemy"""
thùng	বিন	barrel
thùy	কানের লতি	thuy
thú	মজাদার	"(should be ""thích thú"") pleasurable"
thúc	শেষ	push
thúy	thuy	thuy
thăm	দর্শন	visit
thăng	উন্নীত	helicopter
thơm	সুগন্ধি	aromatic
thư	অক্ষর	"(term should be ""ung thư"") cancer (n.)"
thưa	প্রিয়	sparse
thương	ভালবাসা	love
thước	শাসক	ruler
thường	প্রায়ই	usually (adv.)
thưởng	পুরস্কার	to reward (v.)
thược	ধড়াস্	(proper noun) thược
thượng	উচ্চতর	upper
thạc	কর্তা	master
thạch	জেলি	rock or stone (n.)
thạnh	thanh	thanh
thạo	বিশেষজ্ঞ	fluent
thả	ঝরা	"(term should be ""thả lỏng"") to let loose (v.)"
thải	অপচয়	waste
thảm	গালিচা	carpet or rug (n.)
thản	নির্মেঘ	calmly
thảo	সুন্দর	"(term should be ""hội thảo"") a workshop (n.)"
thấp	সংক্ষিপ্ত	low (adj.)
thấu	penetrant	penetrate
thầm	চুপটি	"(term should be ""thì thầm"") to whisper (v.)"
thần	সৃষ্টিকর্তা	"entire term should be ""tinh than""; means ""of the mind"""
thầy	শিক্ষক	teacher (n.)
thẩm	jurors	osmotic/leak
thẫm	অন্ধকার	dark
thận	বৃক্ক	careful
thập	ক্রস	tens
thật	বাস্তব	true (adj.)
thắm	পাপড়ি	tham
thắn	অকপটে	frank
thắng	ওঁন	win
thắngthua	জয়লাভ	win-lose
thắp	আলো	light
thắt	বেঁধে ফেলা	tense
thằn	টিকটিকি	"entire term should be ""than lan""; means ""lizard"""
thằng	লোক	a derogatory term for a man (n.)
thẳm	গভীর	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	সোজা	horizontal
thặng	উদ্বৃত্ত	surplus
thẹn	লজ্জিত	shameful
thẻ	কার্ড	card
thế	সুতরাং	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	ইস্পাত	steel
thề	শপথ	swear
thềm	বালুচর	shelf
thể	থাকা	maybe
thỉnh	আমন্ত্রণ করা	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	চলন	prosperous
thịt	মাংস	meat (n.)
thọ	দীর্ঘায়ু	phu tho
thọc	খোঁচা	jab
thỏ	খরগোশ	rabbit
thỏa	চুক্তি	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	বাট	a bar (n.)
thối	পচা	smelly
thốt	উদ্গীর্ণ	scream
thồ	প্যাক	to transport via horse (v.)
thổ	পৃথিবী	"(term should be ""lãnh thổ"") territory (n.)"
thổi	ঘা	blow
thớt	কাটা বোর্ড	sparse
thời	সময়	period
thở	শ্বাস	breathe
thợ	কর্মী	craftman
thụ	রিসেপটর	"(term should be ""thụ thai"") to become pregnant"
thục	শু	(proper noun) a vietnamese first name
thụt	সংভৃত	clyster
thủ	প্রধান	masturbate
thủa	thua	during childhood
thủng	ছিদ্র	having holes
thứ	কিছু	no.
thức	জাগ্রত	way
thừa	অপ্রয়োজনীয়	redundant
thừng	দড়ি	"(term should be ""thẳng thừng"") mercilessly"
thử	চেষ্টা করতে	try
thửa	মোড়ক	square
thự	উদ্যানবাটি	mansion
thực	বাস্তব	perform
ti	ti	titov
tia	রশ্মি	ray
tiananmen	তিয়েনআনমেন	tiananmen
tiara	টায়রা	tiara
tibet	তিব্বত	(proper noun) tibet
tigris	টাইগ্রিস	tigris
tiliaceus	tiliaceus	hoa dam but
tim	হৃদয়	heart
timor	টিমর	timor
timothy	টিমোথি	timothy
tin	বিশ্বাস করা	believe
tinbắc	বার্তা	file bac
tincầu	টিন ব্রিজ	file bridge
tinh	গ্রহ	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	খবর	folder: house
tinsông	খবর	file river
tinthị	tinthị	file: town
tirol	tirol	tirol
tisdale	tisdale	tisdale
tish	টিশ	(proper noun) tish
tissa	tissa	(proper noun) tissa, as in moggaliputta tissa
tivi	টিভি	television
tizard	tizard	(proper noun) tizard
tiên	প্রথম	first
tiêu	মরিচ	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	খেদ	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	বোকা	seize
tiến	আপ	operate
tiếng	ভাষা	language
tiết	লুকাইয়া রাখা বস্তু	abstinence/intensity
tiếu	বোকা	"(should be ""đàm tiếu"") to sneer"
tiềm	সম্ভাব্য	potential
tiền	টাকা	money (n.)
tiều	বিষ্ঠা	(proper noun) the name of a poet
tiểu	মূত্রত্যাগ	tiểu sử= biography
tiễu	মিঃ লিউ	patrol
tiệc	পরব	party
tiệm	দোকান	shop
tiện	সুবিধাজনক	mean
tiệp	চেক	gustav franck
tiệt	যৌনসঙ্গম	sterilize
tncs	tncs	communist youth union
tngt	tngt	traffic accidents
tnhh	সীমিত	limited
toang	toang	fast
tobago	টোবাগো	tobago
toei	toei	toei
tokugawa	tokugawa	tokugawa
tokyo	টোকিও	tokyo, the capital of japan
tokyopop	tokyopop	tokyopop
tomas	tomas	(proper noun) tomas
tommy	রূটি	tommy
tomoyo	tomoyo	tomoyo
tony	টনি	tony
toonami	toonami	(proper noun) toonami
top	শীর্ষ	top
torino	torino	torino, as in the italian city
toriyama	toriyama	(proper noun) toriyama
tottenham	t টটেনহ্যাম	tottenham
tourism	ভ্রমণব্যবস্থা	tourism
tourist	পর্যটক	tourist
toyama	toyama	toyama
toyota	টয়োটা	(proper noun) toyota
toà	আদালত	office
toàn	নিরাপদ	entire or whole (adj.)
toán	গণিতশাস্ত্র	team
toát	ভাল	to exude or emit, as in sweat (v.)
toạ	স্থানাঙ্ক	locate
toại	এ	satisfaction
toả	অংশুশিরা	spread
tp	tp	city
tphcm	tphcm	ho chi minh city
tphồ	শহর	city ho
tpvĩnh	শহর	vinh city
tqlc	tqlc	marine
trafalgar	trafalgar	(proper noun) trafalgar
trafford	ট্রাফড	trafford in greater manchester
trai	ঝিনুক	boy
trang	পৃষ্ঠা	a page (n.)
tranh	ছবি	to compete (v.)
trao	হস্তান্তরিত	reward
trau	trầu	polish
tre	বাঁশ	bamboo (n.)
treo	ফাঁসি দেত্তয়া	hang
tri	ট্রাই	tri
tribune	ত্রিবিঊন	a name
trinh	কুমারী	"(should be ""trinh bạch"") virtuous"
trinidad	ত্রিনিদাদ	trinidad
trinity	ত্রিত্ব	trinity
tristan	ট্রিস্টান	tristan
triết	দর্শন	philosophy
triền	trien	"(should be ""triền miên"") endless"
triều	জোয়ারভাটা	court
triện	সীল	stamp
triệt	পুঙ্খানুপুঙ্খভাবে	completely
triệu	মিলিয়ন	a million
tro	ছাই	ashes
troia	troia	troy
trondheim	trondheim	trondheim
trong	ভিতরে	inside (adv.)
true	সত্য	true
truman	truman	(proper noun) truman
trung	মধ্যম	"(term should be ""trung gian"") agent (n.)"
trungnhật	সততা	china-japan
truong	truong	truong
truyên	truyen	story
truyện	গল্প	story
truân	truân	arduous
truất	নিন্দুক	cancel
truởng	নেতা	leader (n.)
truỵ	মিথ্যা	depraved
trà	চা	tea (n.)
tràm	cajuput	melaleuca
tràng	কোলন	"entire term should be ""truc trang""; means ""rectum"""
trào	অগ্ন্যুত্পাত	movement
trác	ট্র্যাক	trac
trách	দোষ	blame
trái	বাম	against
trán	কপাল	forehead
tráng	প্রলিপ্ত	to coat (v.)
tránh	এড়াতে	to avoid (v.)
tráo	জালিয়াতির মাধ্যমে	tráo trở= liar/betrayal/treacherous
tráp	বক্স	casket
trát	সমন	pile
trâm	ব্রোচ	a type of elegant hairpin (n.)
trân	শুভেচ্ছান্তে	respect
trâu	মহিষ	a last name
trãi	বিক্ষিপ্ত	trai
trèo	আরোহণ	climb
trên	চালু	above
trình	জমা দিন	process
trí	মন	intellectual
trích	উদ্ধৃতাংশ	to extract (v.)
trò	কৌতুক	role
tròn	বৃত্তাকার	rounding
trói	বেঁধে রাখা	tie
trôi	ভাসমান	afloat
trông	সৌন্দর্য	look
trùm	মনিব	cover
trùng	একত্র হত্তয়া	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	বোর্ডিং	residence
trúc	বাঁশ	structure
trăm	শত	hundred
trăn	পাইথন	"(term should be ""trăn trở"") to ponder (v.)"
trăng	চাঁদ	moon
trĩ	অর্শ্বরোগ	hemorrhoids
trũng	মগ্ন	medium
trơ	জড়	bare
trơn	পিচ্ছিল	slippery (adj.)
trư	tru	a pig (n.)
trưa	দুপুর	noon (n.)
trưng	অধিযাচন	symbolic
trưngcông	বিকশিত	truongcong
trương	truong	policy
trước	আগে	front
trước 	আগে	front
trướng	সম্প্রসারণ	expand
trườn	হামাগুড়ি	crawl
trường	বিদ্যালয়	case
trượng	caduceus	a unit of length used in vietnam equal to 4 meters (n.)
trượt	স্লাইড	slide
trạch	trách	ze
trại	শিবির	camp
trạm	স্টেশান	station
trạng	শর্ত	situation
trạo	তাও	trao
trả	বেতন	to return
trải	আবরণ	spread
trảm	cajuput	beheaded
trảo	রামদা	trao
trấn	শহর	town
trấu	ধানের তুষ	rice skin
trầm	গভীর	depression
trần	খালি	tran
trầu	পাণ	trầu
trầy	চিরা	scratch
trẩy	বড়াই	pilgrimage
trẫm	আমি	i
trận	ম্যাচটি	battle
trật	স্থানচ্যুত	order
trắc	বায়োমেট্রিক্স	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	সাদা	white
trặc	হিক্কা	"entire phrase is ""truc trac""; means ""problem"""
trẻ	তরুণ	youth
trễ	বিলম্বে	late
trệ	বদ্ধ	bamboo
trị	চিকিৎসা	cure
trịnh	আঁকাবাঁকা	trịnh, a vietnamese last name
trọ	সরাইখানা	motel
trọn	সম্পূর্ণ	whole
trọng	গুরুত্বপূর্ণ	serious
trỏ	পয়েন্টার	index
trối	চূড়ান্ত	last words
trốn	আড়াল	to hide
trống	খালি	in
trồi	উদীয়মান	to emerge (v.)
trồng	হত্তয়া	plant
trổ	প্রদর্শনী	to burst open or display
trỗi	উত্থান	rise
trội	প্রভাবশালী	better
trộm	তস্কররা	theft
trớn	আদর	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	সৃষ্টিকর্তা	sun
trợ	সমর্থন	support
trụ	দপ্তর	universe
trục	অক্ষ	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	নগ্ন	"(term should be ""trơ trụi"") bare (adj.)"
trứ	tru	famous
trứng	ডিম	egg
trừ	ঋণচিহ্ন	except
trừng	একদৃষ্টি	punish
trừu	মেষ	abstract
trữ	স্টোরেজ	reserve
trực	কাজে আছি	direct
ts	ts	phd
tt	tt	news
tua	কর্ষিকা	fringe
tucker	স্ত্রীলোকের অন্তর্বাসের লেস	tucker, an english last name
tudor	টিউডার	(proper noun) tudor, as in the tudor family
tukhachevsky	tukhachevsky	(proper noun) tukhachevsky
tulip	টিউলিপ	tulip
tum	tum	tum
tung	শিরসঁচালন	release
tupolev	tupolev	tupolev, as in alexei tupolev
tuscan	টাস্কানিদেশীয়	(proper noun) tuscan
tutsi	tutsi	(proper noun) tutsi
tuvalu	টুভালু	(proper noun) tuvalu, a polynesian island nation
tuy	যাহোক	however
tuyên	ঘোষণা	"(should be ""tuyên ngôn"") a declaration"
tuyết	তুষার	snow (n.)
tuyền	tuyen	tuyen
tuyển	সংগ্রহ	recruit
tuyệt	মহান	excellent (adj.)
tuân	মান্য	comply
tuông	ঘনিষ্ঠরূপে	jealous
tuý	tuyý	drug
tuần	সপ্তাহ	week
tuế	দুর্বল	years
tuệ	জ্ঞান	intelligence
tuốc	অবচয়	turbine
tuổi	বছর পুরনো	age
tuộc	অক্টোপাস	octopus
tuột	পিছলে পড়া	slip
tuỳ	ঐচ্ছিক	depend
tv	টিভি	tv
tvb	tvb	tvb
twin	যমজ	twin
twitter	টুইটার	twitter
ty	ty	company
type	আদর্শ	type
typhon	typhon	typhon
tà	মন্দ	we
tài	ভাগ্য	talent (n.)
tàn	ছাই	dying
tàng	জাদুঘর	"(should be ""bảo tàng"") a museum"
tành	tanh	shatter
tàu	জাহাজ	ship
tá	ডজন	"(term should be ""thiếu tá"") major (n.)"
tách	কাপ	to separate
tái	পুনরায়	return
tám	আট	eight
tán	শামিয়ানা	support
tánh	tanh	life
táp	টোকা	to lap at (v.)
táu	দোষী	ashton
tâm	কেন্দ্র	tâm
tâu	আমার প্রভু	peach
tây	পশ্চিম	western
tâynam	westnam	"(should be ""tây-nam"") southwest"
tã	ডায়াপার	diaper
tét	কর্কশ তীক্ষ্ন ধ্বনি করা	tet
tê	অসাড়	numb
tên	নাম	name (n.)
tì	প্লীহা	to lean on (v.)
tìm	অনুসন্ধান	find
tìmdiệt	অনুসন্ধান	find-kill
tình	ভালবাসা	sex
tía	রক্তবর্ণ	dad
tích	পণ্য	"(term should be ""tích cực"") to be zealous (adv.)"
tím	বেগুনী	purple
tín	ক্রেডিট	"(entire term should be ""tín dụng"") credit"
tít	শিরোনাম	"(term should be ""tít mù"") very far away (adv.)"
tò	কৌতুহল	curious
tòa	আদালত	a court
tòi	জিনিসপত্র	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	টং	tòng, a last name
tóm	সংক্ষিপ্তসার	summary
tô	বাটি	car
tôi	আমি	i
tôm	চিংড়ি	shrimp
tôn	ঢেউখেলান	venerate
tông	পিচবোর্ড	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	কারাগার	prison
tùng	অতিরিক্ত	tung
tùy	ঐচ্ছিক	depend on
túc	সক্ষমতা	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	হ্যান্ডব্যাগ	pocket
túm	দখল	catch
túng	বিশ্রী	confuse
túp	কুটির	hut
túy	ড্রাগ	"(term should be ""thuần túy"") pure (adj.)"
tý	ইঁদুর	mouse, as in year of the mouse
tăm	খড়কে	"(term should be ""tiếng tăm"") reputation"
tăng	বৃদ্ধি	increase
tĩnh	স্থির	calm
tơi	আমি	ragged
tư	থেকে	posture
tưng	নড়বড়ে	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	তাজা	fresh
tương	অনুরূপ	"(term should be ""tương tự"") to be similar to"
tước	খ	title (n.)
tưới	জল	irrigation
tướng	সাধারণ	prime minister (thu tuong)
tường	প্রাচীর	"a common vietnamese first name; means ""wall"""
tạ	বারবেল	weight
tạc	sculpt	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	ভিতরে	survival
tạm	কাঁচা	temporary
tạo	সৃষ্টি	create
tạp	পত্রিকা	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	বিবরণ	describe
tản	অপচয়	disperse
tảng	মাচা	platform
tấc	ইঞ্চি	inch
tấm	প্লেট	mirror
tấn	টন	tan
tấp	টানা	crowded
tất	মোজা	all
tấu	যান্ত্রিক	tau
tầm	গেম	range or extent (n.)
tần	ফ্রিকোয়েন্সি	"(term should be ""tần số"") frequency (n.)"
tầng	মেঝে	layer
tầu	রেলগাড়ি	ship
tẩm	সংপৃক্ত	soak
tẩy	রবার	to bleach
tận	শেষ	dedicated
tật	অক্ষমতা	disease
tắc	সুইচ	priciple
tắm	ঝরনা	bathing
tắt	বন্ধ কর	initial
tặc	হ্যাকার	"(term should be ""hải tặc"") a pirate (n.)"
tặng	দান করা	donate
tẻ	বেশ্যা	lẻ tẻ= scattered
tết	টিইটি	(proper noun) the vietnamese new year
tếxã	অর্থনৈতিকভাবে	economy - society
tề	qi	tidy
tể	মশাই	lord
tệ	খারাপ	bad
tệp	ফাইল	file
tỉa	ছাঁটা	"(term should be ""bắn tỉa"") to snipe"
tỉnh	প্রাদেশিক	province
tị	দ্বেষ	refugee
tịch	সভাপতি	"(""chủ tịch"") president or chairman"
tọa	স্থানাঙ্ক	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	প্রকাশিত	to
tỏa	অংশুশিরা	radiate
tỏi	রসুন	garlic
tốc	গতি	speed
tốn	মূল্য	to cost (v.)
tống	সহচর	dispose
tốp	গ্রুপ	top
tốt	ভাল	good
tồi	খারাপ	bad
tồn	থাকবেই	exist
tổn	আহত	damage
tổng	মোট	president
tộc	বংশ	"(term should be ""dân tộc"") a race or people"
tội	পাপ	crime
tột	চরম	extreme
tớ	আমাকে	servant
tới	পরবর্তী	to the point
tờ	চাদর	paper/document
tởm	ন্যক্কারজনক	disgusting
tục	অপবিত্র	"(term should be ""tập tục"") customs or practices"
tụy	অগ্ন্যাশয়	"(term should be ""tận tụy"") devoted (adj.)"
tủ	ক্যাবিনেটের	shelf
tủi	খারাপ	humiliated
tủy	মজ্জা	spine
tức	তাত্ক্ষণিক	i.e.
từ	থেকে	from
từng	চিরকাল	each
tử	মরণ	lion (su tu)
tửu	অ্যালকোহল সহনশীলতা	wine
tự	স্ব	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	শিরোনাম	lean
tựu	সাফল্য	achievement
tỵ	সাপ	the han name for the year of the snake, according to the chinese zodiac
tỷ	বিলিয়ন	billion
u	তোমার দর্শন লগ করা	tumor
ua	ua	ua
uae	সংযুক্ত আরব আমিরাতে	uae
ubuntu	উবুন্টু	ubuntu
uc	uc	uc
uchiha	uchiha	uchiha
uefa	উয়েফা	uefa
uh	আহ	uh
uk	ইউ	uk
ukiyoe	ukiyoe	ukiyoe
ukraina	ইউক্রেনীয়	ukraine
ulsan	ulsan	ulsan
umm	উম্মে	umm
un	উন	(proper noun) un, as in chung un chan of korea
und	আন্ড	und
under	অধীনে	under
unesco	ইউনেস্কো	unesco
ung	পচা	cancer
unicorn	unicorn	unicorn
unit	একক	unit
unix	unix	unix
up	ইউ। পি। এস	up
ural	উরাল	ural, as in the ural mountains
urani	ইউরেনিয়াম	uranium
uri	uri	uri, a former political party in south korea
uruguay	উরুগুয়ে	uruguay
usagi	usagi	usagi
usb	ইউএসবি	usb
uss	ইউএসএস	uss
utah	উটাহ	utah
utrecht	আটরেচট	(proper noun) utrecht
uy	uy	"(term should be ""uy lực"") power (n.)"
uyghur	উইগুর	(proper noun) uyghur
uygur	উইগুর	uygur
uyên	uyên	scholarly
uyển	রেখাসমূহ	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	উজ্বেকিস্থান	uzbekistan
uông	uong	uong
uất	uất	busy
uốn	কুঁচিতকরণ	to curl (v.)
uống	পান করতে	to drink
uổng	নাশক	vain
v	বনাম	v
va	ভিএ	collide
vaccine	টীকা	vaccine
vai	অংস	shoulder
valencia	ভ্যালেন্সিয়া	valencia
valentine	ভালেনতৈন্	valentine
valley	উপত্যকা	valley
van	কপাটক	"(term should be ""van xin"") to beg (v.)"
vanessa	vanessa	vanessa
vargas	ভার্গাস	(proper noun) vargas
vasari	ভাসারি	vasari
vay	ধার	borrow
vectơ	ভেক্টর	vector
ven	বরাবর	"(term should be ""ven biển"") coastal (adj.)"
vendôme	vendome	vendome
venezia	venezia	venice
venus	শুক্র	venus
verdun	verdun	verdun
vermont	ভারমন্ট	vermont
verona	verona	(proper noun) the city of verona
versailles	versailles	(proper noun) versailles
vhs	vhs	vhs
vi	কারণ	behavior
viagra	ভায়াগ্রা	viagra
victor	বিজেতা	(proper noun) victor
victoria	ভিক্টোরিয়া	victoria, a province of australia
vienna	ভিএনা	(proper noun) vienna, austria
viet	ভিয়েত	vietnamese
vietnam	ভিয়েতনাম	vietnam
viettel	viettel	viettel
viii	অষ্টম	eighth
vijaya	বিজয়া	(proper noun) vijaya
viking	ভাইকিং	viking
villa	উদ্যানবাটি	villa
villeneuve	villeneuve	(proper noun) villeneuve, a french last name
vinagame	vinagame	vinagame
vinashin	vinashin	vinashin
vince	ভিন্স	(proper noun) vince, as in vince mcmahon
vincennes	vincennes	vincennes
vincent	ভিনসেন্ট	vincent
vinpearl	vinpearl	vinepeal
viqr	ভিআইকিউআর	viqr
virginia	ভার্জিনিয়া	(proper noun) virginia, as in the state
virus	ভাইরাস	virus
virút	ভাইরাস	virus
vissarionovich	vissarionovich	vissarionovich
vista	বীথি	vista, as in windows vista
vitamin	ভিটামিন	vitamin
vitruvius	vitruvius	vitruvius
viz	যেমন	(proper noun) viz
viêm	প্রদাহ	inflammation
viên	ট্যাবলেট	member
viêng	viang	vientiane
viêt	লেখা	vietnam
viếng	দর্শন	visit
viết	লেখার	write
việc	কাজ	thing
viện	প্রতিষ্ঠান	institute
việt	ভিয়েতনাম	viet
việtmường	ভিয়েতনামী মুং	muong
việtnga	vietnga	vietnam-russia
việttrung	viettrung	vietnam-china
vn	ভি এন	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	ভিএনআই	vni
vo	vo	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	হাতি	elephant
voip	voip	voip
voldemort	ভলডেমর্ট	(proper noun) voldemort, the villain from the harry potter series
von	ভন	compare
vonfram	দুষ্প্রাপ্য ধাতু	wolfram
vong	হতাহতের	injured
voyager	জলযাত্রী	voyager
voọc	langurs	a langur (n.)
vtc	vtc	vtc
vu	vu	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	রাজা	king
vui	মজা	happy
vulcan	কর্মকার	vulcan
vuông	বর্গক্ষেত্র	square
vuốt	নখর	stroke
vv	প্রভৃতি	etc.
vy	vy	vy
vyacheslav	vyacheslav	vyacheslav
và	এবং	and
vài	কয়েক	several
vàm	vm	the mouth of a rivulet (n.)
vàng	হলুদ	gold
vành	প্রাস্ত	coronary
vào	মধ্যে	into
vá	তালি	patchy
vác	বহন	to shoulder (v.)
vách	প্রাচীর	wall
vái	হ্যাঁ	some
ván	তক্তা	game
váng	গাদ	film
váy	পোশাক	skirt
vân	শীঘ্রই	"(term should be ""vân vân"") et cetera"
vây	ডানা	encircle
vã	ছুটে	rush
vãi	বিষ্ঠা	to release
vãn	অগ্রদূত	save
vè	মূত্রত্যাগ	to glance slyly (v.)
vé	টিকেট	ticket
vét	ঝালা	plunder
vê	সম্পর্কিত	tremolo
vì	কারণ	because
ví	মানিব্যাগ	example
vía	মানিব্যাগ	soul
vít	স্ক্রু	screw
vò	লাট	jar
vòi	পায়ের পাতার মোজাবিশেষ	tap
vòm	ছাদ	upper jaw
vòng	রিং	around
vó	hoooo	hooves
vóc	আয়তন	"(should be ""vóc sương"") dew-like or delicate"
vô	না	"(term should be ""vô số"") countless (adj.)"
vôi	চুন	limestone
võ	সামরিক	martial arts (n.)
võng	হ্যামক	hammock
vùi	প্রোথিত	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	অঞ্চল	region
vú	স্তন	breast (n.)
vút	উড্ডয়ন	"entire term should be ""cong vut""; extreme curling"
văn	সাহিত্য	culture
văng	জলের ছিটা	a name
vĩ	মহান	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	স্থায়িভাবে	ving
vũ	vu	armed
vũng	খানা	vung
vơ	অসহায়	lost
vơi	সঙ্গে	ullage
vưu	vưu	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	পৌঁছানো	reach
vương	রাজা	kingdom
vướng	বিজড়িত	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	বাগান	garden
vượn	বনমানুষ	gibbon
vượt	পাস	to overcome
vạ	সুতরাং	unfortunate problem
vạc	কটাহ	cauldron
vạch	বার	bar
vại	বয়াম	jar
vạn	দশ হাজার	thousand
vạng	গোধূলি	twilight
vả	ডুমুর	hard
vải	ফ্যাব্রিক	fabric
vảy	দাঁড়িপাল্লা	scale
vấn	পরামর্শ	vấn đề= problem
vấp	উপর হোঁচট খেয়েছি	stumble
vất	ফেলে দাও	hard
vần	মিত্রাক্ষর কবিতা	spell
vầng	বর্ণবলয়	moon (vang trang)
vẩn	এখনো	wander
vẩy	থাক	scale
vẫn	এখনো	still
vẫy	waving	wave
vận	ভাগ্য	active
vắc	টীকা	vaccine
vắcxin	টীকা	vaccine
vắn	সংক্ষিপ্ত	short
vắng	অনুপস্থিত	absent
vặn	স্ক্রু	to twist (v.)
vặt	কাজের	odd
vẹn	অখণ্ডতা	complete
vẹt	তোতা	parrots
vẽ	চিত্র	draw
vết	তালি	wound
vểnh	উচ্চাসন	warping
vệ	প্রতিরক্ষা	"(term should be ""bảo vệ"") to defend (v.)"
vệt	ধাত	streak
vỉa	, seams	"(term should be ""vỉa hè"") sidewalk"
vịnh	উপসাগর	bay
vịt	হাঁস	duck
vọng	আশা	"(term should be ""hy vọng"") hope (n.)"
vọt	skyrocket	to spurt out (v.)
vỏ	বাকল	shell
vồ	গদা	"(term should be ""gạch vồ"") a type of brick"
vỗ	চাপড়ান	to clap
vội	ত্বরা	hurriedly (adv.)
vớ	মোজা	"(term should be ""vớ vẩn"") silly (adj.)"
với	সঙ্গে	to
vớt	মাছ	salvage
vờ	ভান করা	"(term should be ""giả vờ"") to pretend (v.)"
vời	মহান	wonderful
vở	নোটবই	"(term should be ""vở kịch"") a play"
