$ tỉ	milyar dolar	$ billion
miêu	mieu	"(term should be ""miêu tả"") to describe (v.)"
miến	erişte	burma
miếng	bit	a piece (n.)
miếu	tapınak	temple
miền	domain	area
miễn	ücretsiz	to exempt (v.)
miện	taç	crown
miệng	ağız	mouth
mm	aa	millimeter
mobile	seyyar	mobile
mode	kip	mode
modul	modüler	module
modula	modüler	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	muhammed	mohammed
moi	moi	winkle
molecular	moleküler	molecular
molotov	molotof	molotov
molypden	molibden	the element molybdenum (n.)
mongolia	moğolistan	mongolia
monique	monique	(proper name) monique, a french first name
mono	mono-	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	karadağ	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	böğürme	(proper noun) moo, as in cha moo won
moong	çukurlar	moong
mora	mora	mora
moravia	moravya	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	fas	morocco
morris	bahar dansı	morris
morrison	morrison	(proper noun) morrison
morse	mors	(proper noun) morse, as in morse code
moscow	moskova	moscow
mosin	mosin	mosin
moskva	moskova	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambik	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	erime noktası:	mp
ms	ms	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	jul	pubis
mua	satın	buy
much	çok	much
muhammad	muhammed	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	mun	a vietnamese name
munich	münih	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	yabani at	mustang, as in the f-51 mustang
muta	muta	a name
muôn	tüm	a large number; thousands (adj.)
muối	tuz	salt
muốn	isterim	want
muống	çançiçeği	"(term should be ""rau muống"") water spinach (n.)"
muồi	vade	ripe
muỗi	sivrisinek	mosquito
muỗng	kaşık	spoon
muội	kurum	confusion
muộn	geç	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	myspace	(proper noun) myspace
mà	ancak	also
mài	öğütme	tomorrow
màn	ekran	curtain (n.)
mành	panjur	a bamboo screen (n.)
mào	armalar	a comb or crest, as in the body part of a bird
màu	renk	color
mày	sen	sew
má	anne	cheek
mác	izler	a name (marx)
mách	ipuçları	tell
máclênin	maclenin	marxist-leninist
mái	çatı	"entire term should be ""thoai mai""; means ""comfortable"""
mát	serin	cool
máu	kan	blood
máy	makine	a machine (n.)
mâm	tepsi	tray
mân	berrak	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	çelişkiler	contradiction
mây	bulutlu	cloud
mã	kodlar	"(term should be ""la mã"") roman (adj.)"
mãi	sonsuza dek	forever (adv.)
mãimại	maimai	commerce
mãn	memnuniyet	satisfy
mãnh	manh	intense
mão	taç	cat
mè	susam	sesame
mèo	kediler	cat (n.)
mé	kenar	a border
méo	distorsiyon	alter
mép	kenar	edge
mét	metre	meter
mênh	sınırsızlık	vast
mêtan	metan	methane
mì	erişte	wheat
mình	onun	me
mía	baston	sugar cane (n.)
mò	meraklı	to grope (v.)
mòn	yıpranmış	trail
móc	askı	"(term should be ""máy móc"") machinery (n.)"
món	tabak	dish
mô	doku	mo
môi	dudak	lip
môn	konular	anus
mông	popo	mongolia
mônôxít	monoksit	monoxide
môt	eşsiz	"(term should be ""một"") one (n.)"
môtô	motosikletler	motorcycle
mù	kör	mu
mùa	sezon	season
mùi	koku	smell
múa	dans	dance
mút	emme	to suck (v.)
münchen	münih	(proper noun) munchen
măng	bambu vuruyor	bamboo shoot (n.)
mĩ	mi	america
mũ	şapka	cap
mũi	burun	nose
mơ	kayısı	vague
mơn	pazartesi	caress
mưa	yağmur	rain
mưu	personel	"(should be ""tham mưu"") advisors"
mươi	elli	tens
mương	tahliye	ditch
mướn	kira	hire
mướt	şatafatlı	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	ariyet	borrow
mượt	pürüzsüz	glossy (adj.)
mạc	çadır	"(should be ""mộc mạc"") simple or natural"
mạch	devre	vessel
mại	ticaret	commerce
mạn	romantik	romantic
mạnh	güçlü	strong
mạo	görünüm	"(should be ""mạo hiểm"") to brave danger"
mạt	kumtaşı	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	mezar	tomb or grave (n.)
mải	mai	absorbedly
mảng	plaka	genre
mảnh	parçalar	piece
mất	kayıp	lose
mấu	çizgi	key
mấy	az	any
mầm	mikrop	kindergarten
mầu	gizem	color
mẩu	parçalar	piece
mận	erik	plum
mập	şişman	fat
mật	güvenli	intimate
mậu	ticaret	mau
mắc	acı çekmek	get
mắm	balık sosu	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	iyi ki	"(term should be ""may mắn"") fortunate (adj.)"
mắng	azarladı	scold
mắt	göz	eye
mặc	giyim	wear
mặn	tuz	salt
mặt	yüz	face
mẹ	anne	mother (n.)
mẹo	ipuçları	trick
mẻ	çizik	cool
mẽ	güçlü	strong
mến	sevgili	to adore or like greatly (v.)
mề	börkenek	locket
mềm	yumuşak	soft
mệnh	eşitlik	revolution
mệt	hasta	tired
mỉ	ayrıntılı	meticulous
mỉa	iğneleme	ironic
mỉm	gülen	smile
mịch	mich	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	pürüzsüz	smooth
mịt	kalın	dim
mọc	büyümek	to grow (v.)
mọi	tüm	every
mọn	küçük	lowly
mỏ	fatura	mine
mỏi	yorgunluk	tired (adj.)
mỏng	ince	thin
mốc	küflü	border
mối	termitler	relationship
mốt	moda	fashion or style (n.)
mồ	ter	"(term should be ""mồ hôi"") sweat (n.)"
mồi	taş ocağı	bait (n.)
mổ	cerrahlık	to dissect or perform surgery (v.)
mỗi	her	every
mộ	mezar	admire
mộc	marangozluk	simple
mộng	rüya	dream
một	bir	one
mới	yeni	new (adj.)
mờ	opak	dim
mời	davet etmek	invite
mở	açık	open
mỡ	gres	fat or grease (n.)
mục	eşya	purpose
mụn	akne	pimple
mức	seviyeleri	level
mứt	reçel	preserve
mừng	karşılama	to be happy
mửa	kusmak	to vomit (v.)
mực	mürekkep	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	buğday	noodles (n.)
mỹ	ince	america
mỹcông	mycong	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	geyik	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	güney	male
nambắc	nambac	nambac
namibia	namibya	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	folikül	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	köpek	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napolyon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napolyon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	sodyum	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	bu	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	çapa	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	net	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	ağlar	networks
neumann	neumann	(proper noun) neumann
neutrino	nötrino	neutrino
nevada	nevada	nevada
neverland	neverland	neverland
newcastle	newcastle	newcastle
newspaper	gazete	newspaper
newton	newton	newton
newtons	newton	(proper noun) newton's
next	sonraki	next
nga	rusya	russia
ngai	taht	crown
ngang	enine	horizontal
ngao	deniz tarağı	clam (n.)
ngay	şimdi	even
nghe	dinlemek	hear
nghinh	nghinh	welcome
nghiêm	cidden	serious
nghiêng	eğimli	inclined
nghiêu	efa	nghiêu, a vietnamese name
nghiền	değirmen	crush
nghiễm	otomatik olarak	serious
nghiệm	deneyim	experiment
nghiện	bağımlılık	addiction
nghiệp	sanayi	karma/ sự nghiệp=career
nghiệt	şiddetli	adverse
nghành	sanayi	faculty
nghèo	fakir	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	aslanlar	nghe khuong
nghênh	karşılama	support
nghìn	bin	thousand
nghĩ	düşünmek	think
nghĩa	anlamı	meaning
nghẽn	tıkanıklık	jam
nghếch	nghếch	stupid
nghề	işgal	career
nghệquận	nghequan	art district
nghỉ	tatil	relaxation
nghị	konferans	think
ngo	zarif	ngo
ngoan	iyi çocuk	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	lezzetli	delicious
ngoài	dışarı	outside of
ngoại	takas	external
ngoạn	nefes kesen	spectacular
ngoặc	parantez	bracket
ngoặt	dönüm noktası	landmark
ngu	saçma	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	orijinal	reason
nguyền	küfür	curse
nguyện	yemin	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	çeyrek	moon
nguôi	yatıştırıcı	fade away
nguồn	kaynak	source
nguời	kişi	people
nguỵ	nguỵ	camouflage
ngà	fildişi	russian
ngàn	bin	thousand
ngàng	gelecek	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	şube	sector
ngào	tatlı	sweet
ngày	gün	day
ngách	geçit	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	sersemlemiş	chinese ethnic group living in the vietnamese highlands near the china border
ngán	sıkılmış	to be tired of
ngáng	yayıcı	stop
ngát	çiçek ekran	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bankacılık	money
ngây	boş boş	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	kişniş	coriander
ngó	görünüm	to look (v.)
ngói	karo	tile or shingle
ngón	parmak	a finger (n.)
ngót	büzülme	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	söylev	manifesto
ngông	kaz	eccentric
ngõ	şerit	lane
ngùi	feelingly	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	bölme	prevent
ngũ	uyku	rank
ngơ	kör	ignored (adj.)
ngơi	iş	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	balıkçılar	fishermen
ngưng	ateşkes	stop
ngưu	bulls	buffalo
ngươi	sana	an ancient form of address equivalent to thou or thee (n.)
người	insanlar	people
ngưỡng	eşik	religious
ngược	ters	opposite
ngạc	hoş	surprise
ngạch	kota	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	doğru banka	bank
ngạnh	diken	self-willed
ngạo	kibirli	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	asfiksili	stuffy
ngấm	liç	draw
ngất	bayılma	unconscious
ngầm	üstü kapalı	underground
ngần	utangaç	hesitate
ngẩn	saçma	froze
ngẫm	ngam	think
ngẫu	rasgele	ngẫu nhiên= random
ngậm	hidratlı	keep
ngập	sular altında	flood
ngắm	tasarlamak	to contemplate or look admiringly at something (v.)
ngắn	kısa	short
ngặt	sıkı	strict
ngọ	öğlen	horse
ngọc	mücevher	pearl
ngọn	üst	top
ngọt	tatlı	sweet (adj.)
ngồi	sit	sit
ngộ	tedavi	ngo
ngột	beklenmedik	sudden
ngớ	saçma	silly
ngời	parlak	bright
ngỡ	düşünce	surprised
ngợi	övgü	praise
ngợm	yaramaz	naughty
ngục	cehennem	dungeon
ngụm	yudum	sip
ngụy	kukla	puppet
ngủ	uyumak	sleep
ngủi	yaşamış	"(should be ""ngắn ngủi"") short-lived"
ngứa	kaşıntı	itchy
ngừ	ton balığı	tuna
ngừa	önleyici	prevent
ngừng	ateşkes	to cease (v.)
ngửa	yüz yukarı	supine
ngửi	koku	to smell
ngữ	dil	term
ngự	oturmuş	defend
ngựa	at	horse
ngực	göğüs	chest
nha	nha	dental
nhakẻ	nhake	nha-ke
nham	lav	"(actual term is ""dung nham"") lava"
nhan	adlı	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	tütsü	incense
nhanh	hızlı	fast
nhat	nhat	nhat
nhen	tutuşturulmuş	rekindle
nhi	çocuklar	junior
nhiên	kurs	tuy nhiên= however
nhiêu	çok	how many
nhiều	çok	numerous
nhiễm	enfeksiyon	infect
nhiễu	girişim	noise
nhiệm	sorumluluk	task
nhiệt	ısı	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	gerek	demand
nhuận	kâr	leap year
nhuệ	seçkinler	elite
nhuộm	boyama	dye
nhàn	yavaş	leisure
nhàng	nazik	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	yoğurmak	to fall headlong
nhác	tembel	coward
nhái	sahte	illegal copy
nhánh	şube	branch
nháp	taslaklar	draft
nháy	göz kırpma	to flash or blink (v.)
nhâm	yudum	leap
nhã	zarif	"(term should be ""thanh nhã"") elegant"
nhãn	etiketler	"(term should be ""gán nhãn"") to affix a label"
nhét	koymak	put
nhì	ikinci	second (adj.)
nhìn	görünüm	to look (v.)
nhí	erkekler	children
nhím	afacan	porcupine
nhòm	dürbün	to peep (v.)
nhóc	çocuk	brat
nhóm	grup	group (n.)
nhô	çıkıntı	emerge
nhôm	alüminyum	aluminum (n.)
nhúng	daldırma	embed
nhút	utangaç	shy
nhăn	buruşuk	wrinkle
nhĩ	atriyal	turkey
nhũ	emülsiyonlar	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	bozulma	bribery
nhơn	iyilik	nhon
như	gibi	like
nhưng	ancak	but
nhương	expel	(proper noun) vietnamese first name
nhường	devredilen	yield
nhưỡng	topraklar	soil
nhược	zayıflık	weak
nhượng	tavizler	concession
nhạ	nha	nha
nhạc	müzik	music
nhạn	frak	bird
nhạo	eğlence	ridicule
nhạt	soluk	light
nhạy	duyarlılık	sensitive
nhảy	dans	jump
nhấc	kaldırdı	lift
nhấm	nham	rodent
nhấn	basın	to press (v.)
nhất	en çok	most
nhầm	karıştı	misunderstand
nhầy	ağdalı	glutinous
nhẫn	halkalar	patient
nhậm	alma	inaugurate
nhập	ithalat	penetrate
nhậu	nhậu	drink
nhậy	duyarlılık	sensitive
nhắc	istendiğinde	to remind (v.)
nhắm	hedefleyen	aim
nhắn	mesaj	message
nhằm	için	for the purpose of (adv.)
nhẵn	pürüzsüz	smooth
nhặt	aldı	pickup
nhẹ	ışık	light
nhẹn	hareketlilik	nhanh nhẹn= fast/nimble
nhị	ii	sensitive
nhịn	perhiz	fasting
nhọ	nho	smear
nhọn	sivri	sharp (adj.)
nhỏ	küçük	small
nhỏ|cây	küçük ağaç	small|tree
nhỏ|một	küçük | bir	small | one
nhỏ|phải|	küçük | doğru |	small|right
nhỏ|phải|px|	küçük | sağ | px |	small | have | px |
nhỏ|phải|px|bức	küçük | sağ | px | resimler	grape / fade / px / buc
nhỏ|phải|px|cây	küçük | sağ | px | ağaç	px spicy grape fade
nhỏ|phải|px|khu	küçük | sağ | px | bölge	small|right|px|area
nhỏ|phải|px|michael	küçük | sağ | px | michael	small|right|px|michael
nhỏ|phải|px|máy	küçük | sağ | px | makine	small | right|px|machine
nhỏ|phải|px|một	küçük | sağ | px | bir	small|right|px|one
nhỏ|phải|px|quân	küçük | sağ | px | kuvvet	small|right|px|army
nhỏ|px|	küçük | px |	small
nhỏ|px|các	küçük | px |	small
nhỏ|px|phải|kiến	küçük | px | sağ | karınca	small | px | right | patience
nhỏ|quân	küçük | kuvvet	small|army
nhỏ|trái|px|máy	küçük | sol | px | makine	small|left|px|plane
nhỏ|tượng	küçük heykeller	small|statue
nhốt	kilitli	confine
nhồi	dolma	cram
nhổ	koparmak	uproot
nhộn	pop	busy
nhớ	hatırlamak	remember
nhớt	ağdalı	viscid
nhờ	teşekkürler	by
nhờn	yağlı	multiplication
nhở	ikazlar	remind
nhụ	usp	nhu
nhục	aşağılanmış	shame
nhủ	gibi	needs
nhức	ağrı	pain
nhứt	nhut	first (n.)
nhừ	jöle	tender
những		the
nhựa	plastik	plastic
nhựt	pazar	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	i̇znik	nicaea
nicaragua	nikaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nijerya	nigeria
nikel	nikel	nickel
niken	nikel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	sıfır	nile
nile	nil	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	güvenlik	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	azot	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	genç	youth
niết	geçme	nirvana
niềm	mahkumiyet	trust
niệm	yıldönümü	concept
niệu	idrar	urinary
nj	nj	nj
nlf	nlf	nlf
nm	mil	nano-meters
noah	nuh	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	noi	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	genç	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	normandiya	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	norveç	norway
nou	nou	nou
novak	novak	novak
now	şimdi	now
nowc	nowc	nowc
noãn	tohumcuk	ovule
nsnd	halk sanatçısı	people's artist
nst	nst	chromosome
nubia	nubia	nubia
number	sayı	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	besleme	feed
nuối	nuối	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	kırlangıç	to swallow (v.)
nuớc	su	water
nxb	yayımcı	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	ısrar	pleading
nàn	şikayetçi	poor
nành	soya	soy
nào	hadi	would
này	bu	this
ná	sapan	a crossbow (n.)
nách	koltuk altı	underarm (n.)
náo	şamata	riot
nát	ezilmiş	ruin
náu	barınak	hide
nâng	kaldırma	raise
nâu	kahverengi	brown
nã	aranan	to track down (v.)
não	beyin	brain
né	kaçmasına	dodge
ném	atmak	to throw (v.)
nén	sıkıştırılmış	compress
nét	vuruş	feature
nê	gine	ne
nên	should	should or ought to
nêu	belirtilen	mention
nòi	yarış	race
nòng	varil	barrel
nói	diyelim	to say or speak (v.)
nón	şapka	cone
nóng	sıcak	hot
nô	kölelik	slave
nôbita	nobita	nobita
nôi	beşik	cradle
nôm	nom	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	kusma	vomit
nông	sığ	farmer
nõn	soyulmuş	peeled
nùng	nung	nung
núm	tokmak	nipple
núp	yeryüzü	hide
nút	düğüm	button
năm	yıl	year
năn	pişmanlık	"(term should be ""ăn năn"") remorse (n.)"
năng	güç	"(term should be ""khả năng"") ability (n.)"
nơi	yer	a place
nơtrino	nötrino	neutrino
nước	ülke	country
nước 	ülke	water
nướng	ızgara	grill
nǎm	nǎm	year
nạ	maskeler	mask
nạc	yağsız	lean (adj.)
nại	şikayetler	complain
nạn	kurbanlar	a disaster (n.)
nạo	küret	to scrape (v.)
nạp	yüklenen	tribute
nản	cesaretini	depressed
nảy	çıkılmamış	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	basamaklar	a hiccup (n.)
nấp	gizleme	hide
nấu	aşçı	cook
nấy	hayır	this
nần	borçlar	debt
nầy	bu	this
nẩy	çıkılmamış	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n güneş	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	işlek	busy
nắm	bekletme	to grasp or hold (v.)
nắng	güneşli	sunlight
nắp	kapak	a lid or cover (n.)
nằm	bulunan	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonimlik	heavy
nặn	modelleme	mould
nặng	ağır	heavy
nẻo	kader tanrıçaları	turn
nếm	tat	taste
nến	mum	candle
nếp	buruşuk	sticky rice (n.)
nếu	eğer	if (adv.)
nề	duvarcılık	severe
nể	saygın	respect
nện	vurma	ram
nỉ	keçeli	beg
nịnh	dalkavukluk	flatter
nọ	diğeri	the other
nọc	cambaz ayaklığı	tadpole
nỏ	uzun yay	a crossbow (n.)
nối	bağlantı	connection
nốt	notlar	to finish off (v.)
nồi	kap	pot
nồm	muson	humid (adj.)
nồng	konsantrasyon	heavy
nổ	patlayıcı	explode
nổi	iyi	nổi tiếng= famous
nỗ	çabaları	affort
nỗi	o	state
nộ	gazap	anger
nội	iç	on the paternal side (adj.)
nộn	şapka	non
nộp	gönderilen	submit
nới	gevşetmek	ease
nở	çiçeklenme	bloom
nỡ	kalp	do you have a heart to
nợ	borçlu	debt
nụy	çıplak	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	mantar	a kind of bamboo (n.)
nứt	çatlak	to crack
nửa	yarım	haft
nữa	başka	moreover
oahu	oahu	(proper noun) oahu
oai	dehşet	heroic
oakland	oakland	oakland
oan	oan	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	ekim	(proper noun) october
oda	oda	oda
oder	oder	oder
odyssey	odyssey	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	memur	officer
officers	görevlileri	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olimpos	olympus
om	kavurma	to simmer
omar	omar	a name
ong	ong	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	orgcu	organ
oricon	oricon	oricon
origin	köken	origin
orion	oryon	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oskar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	osetya	(proper noun) ossetia
oswald	oswald	oswald
other	diğer	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	osmanlı	(proper noun) ottoman, as in the ottoman empire
outstanding	ödenmemiş	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	oksijen	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	kin	"(term should be ""oán than"") to complain or whine"
oát	vat	a watt (n.)
oản	yerleştirilmesinde kullanılabilmektedir	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	filistin	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	tava	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	karton kapaklı kitap	paperback
papua	papua	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	park	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	vatansever kişi	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	akranlar	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pensilvanya	pennsylvania
penny	peni	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	armut şarabı	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	farsça	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	syf	associate professor
pgđ	müdür yardımcısı	associate professor
pha	mix	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	fren	expose
phao	şamandıra	float
phaolô	paul	st. paul, the apostle
pharaoh	firavun	pharaoh
pharaon	firavunlar	pharaoh
phay	değirmencilik	mill
phe	parti	faction
phen	fen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	filipinler	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	olefinler	coffee filter
phineas	phineas	(proper noun) phineas
phiên	çevirmek	trial
phiêu	maceraları	adventurous
phiếm	bok	gossip
phiến	bıçak ağzı	"(should be ""nha phiến"") opium"
phiện	afyon	opium
phiệt	zengin işadamı	militarism
phnom	phnom	phnom
phnôm	phnum	phnôm pênh= phnom penh(cambodia's capital)
pho	peynir	part of a person's name, rat-pho, or ratford
phoenix	anka kuşu	(proper noun) phoenix
phong	oda	movement
php	php	php
phrygian	frikya	phrygian
phu	özenle	"(term should be ""phu nhân"") wife (n.)"
phui	ifşa	expose
phun	puf	to spray or spit (v.)
phà	feribot	ferry
phàm	cahil ve zevksiz	superhuman
phàn	şikayet	complain
phá	kırma	destroy
phác	terapi	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	yendi	manner (n.)
phái	mezhep	a party
phán	müzakereler	judge
pháo	havai fişek gösterisi	artillery
pháp	fransa	method
phát	salıverme	develop
phèn	şap	alum
phèo	phèo	organs
phép	izin	permit
phê	kahve	"(term should be ""phê bình"") to criticize (v.)"
phêrô	peter	peter
phì	şişmanlık	non-
phình	anevrizma	bulge
phí	ücretsiz	non-
phía		side
phích	termos	a flask (n.)
phím	tuşları	key
phò	profesyonel	"(term should be ""phò mã"") a prince consort"
phòng	oda	office
phó	anlaşma	second
phóng	başlatmak	to launch (v.)
phô	şehir	display
phôi	embriyolar	embryo
phông	yazı	font
phùng	puf	phung
phúc	mutluluk	good fortune (n.)
phúclộc	phucloc	phuc-loc
phún	püskürtme	"(term should be ""lún phún"") sparse (adj.)"
phúng	abartılı	satire
phút	dakika	a minute (n.)
phăn	phan	phan
phăng	phang	knock
phương		direction
phước	nimetler	luck
phường	koğuş	ward
phượng	anka kuşu	phoenix
phạn	sanskritçe	sanskrit
phạt	cezalandırmak	punish
