$	usd	dollarsign
tezamen	kopā	together
tfrac	tfrac	tfrac
thai	taizemiešu	thai
thailand	taizeme	thailand
thaise	taizemietis	thai
than	nekā	than
thans	tagad	at present
that	ka	dat
thats	tas ir	that's
theater	teātris	theater
theaters	teātri	theatres
thee	tēja	tea
thema	tēma	theme
themas	tēmas	themes
theo	teo	theo
theodosius	teodosijs	theodosius (proper noun, first name)
theologie	teoloģija	theology
theologische	teoloģiskā	theological
theoloog	teologs	theologian
theoretisch	teorētiski	theoretical
theoretische	teorētiski	theoretical
theorie	teorija	theory
theorieën	teorijas	theories
theory	teorija	<english word> theory
therapie	terapija	therapy
there	tur	there
thing	lieta	gebeurtenis
think	domā	think
this	šo	this
thomas	thomas	thomas
thora	tora	torah
thriller	trilleris	thriller
thuis	mājas	at home
thuisbasis	mājas bāze	home
thuishaven	mājas osta	home port
thuiswedstrijden	mājas spēles	home game
thumb|de	īkšķis | de	thumb/the
thumb|een	īkšķis | a	thumb|one
thumb|het	īkšķis | tas	thumb it
thumb|left|de	īkšķis | pa kreisi | de	thumb / left / the
thumb|left|px|de	īkšķis | pa kreisi | px | de	thumb
thumb|links|px|de	īkšķis | pa kreisi | px | de	thumb links px de
thumb|px|	īkšķis | px |	thumb
thumb|px|de	īkšķis | px | de	thumb px de
thumb|px|een	īkšķis | px | a	thumb pixel one
thumb|px|het	īkšķis | px | tas	thumb[px]the
thumb|px|right|de	īkšķis | px | pa labi | de	thumb px right de
thumb|rechts|px|de	īkšķis | pa labi | px | de	thumb
thumb|rechts|px|het	īkšķis | pa labi | px | tas	thumb|right|px|it
thumb|right|de	īkšķis | pa labi | de	thumb right the
thumb|right|px|de	īkšķis | pa labi | px | de	thumb
thumb|right|px|het	īkšķis | pa labi | px | tas	thumb right px het
tibet	tibeta	tibet
tibetaans	tibetietis	tibetan
tibetaanse	tibetiešu	tibetan
tien	desmit	ten
tiende	desmitais	tenth
tienduizenden	desmitiem tūkstošu	tens of thousands
tieners	pusaudžiem	teens
tientallen	desmitiem	dozens of
tijd	laiks	time
tijde	laiks	at the time
tijdelijk	īslaicīgs	temporarily
tijdelijke	īslaicīgs	temporal
tijden	reizes	times
tijdens	kamēr	during
tijdgenoten	laikabiedri	contemporaries
tijdje	kamēr	a while
tijdlijn	laika skala	timeline
tijdperk	laikmets	era
tijdschrift	žurnāls	magazine
tijdschriften	žurnāli	magazines
tijdstip	dienas laiks	time
tijger	tīģeris	tiger
tijgers	tīģeri	tigers
tilburg	tilburga	tilburg
till	līdz	till
tillend	celšana	tillend
tim	tim	tim
timberlake	kokgriezums	timberlake
time	laiks	time
timeaxis	laikaaxis	timeaxis
times	reizes	times
tin	alva	tin
tina	tina	tina
tinnitus	troksnis ausīs	tinnitus
titanic	titānisks	titanic
titel	nosaukums	title
titels	nosaukumi	titles
titelsong	tituldziesma	title-song
titiaan	titāns	titian (name)
titus	titus	titus
tm	tm	up to and including
tmf	tmf	tmf
to	uz	to
toch	tomēr	still
tocht	tūre	tour
toe	uz	to
toedoen	darīt	action
toegang	piekļuvi	access
toegankelijk	pieejams	accessible
toegediend	administrē	administered
toegekend	piešķirts	awarded
toegelaten	atļauts	admitted/accepted
toegenomen	palielināts	increase
toegepast	pielietots	applied
toegepaste	pielietots	applied
toegeschreven	piedēvēts	attributed
toegestaan	atļauts	permitted
toegevoegd	pievienots	add
toegewezen	piešķirts	assigned
toekomst	nākotne	future
toekomstige	nākotne	future
toen	tad	then
toenadering	tuvināšanās	approach
toenam	roze	increased
toename	palielināt	increase
toeneemt	palielinās	increases
toenemen	palielināt	increase
toenemende	pieaug	growing
toenmalig	tad	then
toenmalige	bijušais	then
toentertijd	tajā laikā	in those days
toepassen	pieteikties	apply
toepassing	pieteikums	application
toepassingen	aplikācijas	applications
toerisme	tūrisms	tourism
toeristen	tūristi	tourists
toeristische	tūrists	tourist
toernooi	turnīrs	tournament
toernooien	turnīri	tournaments
toeschouwers	skatītājiem	spectators
toespraak	runa	speech
toespraken	runas	speeches
toestand	statusu	situation
toestel	aparāts	plane
toestellen	ierīces	crafts
toestemming	atļauju	permission
toetanchamon	tutankhamun	tutanchamon
toetreding	pievienošanās	acces/ joining
toeval	sakritība	by accident
toevallig	nejauši	by accident
toevoegen	pievienot	add
toevoeging	papildinājums	addition
toezicht	uzraudzība	supervision
tokio	tokyo	tokyo
tol	nodevu	toll
tolerantie	iecietība	tolerance
tom	toms	tom
tome	tome	tome
tommy	tomijs	tommy
ton	tonnas	ton
toneel	teātris	stage
toneelstuk	spēlēt	play
tonen	šovs	to show
tong	mēle	tongue
tony	tonijs	tony
toon	šovs	tone
toonde	parādīja	showed
toont	šovi	shows
toor	toor	office
top	tops	top
topografie	topogrāfija	topography
toppen	pumpuri	summits
topscorer	rezultatīvākais spēlētājs	top player
toren	tornis	tower
torens	torņi	towers
toronto	toronto	toronto
torres	torres	torres
tot	līdz	to
totaal	kopā	total
totale	kopā	total
totdat	līdz	till
tournee	tūre	tour
tournees	ekskursijas	tours
tov	attiecībā pret	in relation to
tower	tornis	tower
towers	torņi	towers
town	pilsēta	stad
tracht	mēģiniet	attempts
trachtte	mēģināju	attempted
track	trase	track
trad	trad	performed
trade	tirdzniecība	trade
traden	tirdzniecība	acted
traditie	tradīcijas	tradition
tradities	tradīcijas	traditions
traditioneel	tradicionāls	traditional
traditionele	tradicionāls	traditional
trainen	vilciens	to train
trainer	treneris	trainer
trainers	treneri	trainers
training	apmācība	training
trams	tramvaji	trams
transfer	nodošana	transfer
transfervrij	bezmaksas pārsūtīšana	transfer free
transport	transportēšana	transport
trap	kāpnes	stairs
traumatische	traumatisks	traumatic
treden	soļi	stepping
tree	koks	tree
treedt	soļi	shall enter into
treffen	sist	hit
treft	hits	will
trein	vilciens	train
treinen	vilcieni	trains
treinstation	dzelzceļa stacija	railway station
trek	vilkt	popular
trekken	vilkt	to pull / excentricities
trekt	velk	pulls
trillingen	vibrācijas	tremors
trilogie	triloģija	trilogy
trio	trio	threesome
trivia	nieki	trivia
troepen	karaspēks	troops
trof	sist	found
troje	trojs	troy
trok	velk	pulled
trokken	velk	moved
troon	tronis	throne
tropisch	tropisks	tropical
tropische	tropisks	tropical
tros	ķekars	tros
trots	lepnums	proud
trouw	uzticīgs	"""trouw"" (fidelity/ honesty)"
trouwde	precējies	married
trouwe	lojāls	loyal
trouwen	precēties	marry
trouwens	turklāt	moreover
true	taisnība	true
tsaar	cara	tsar
tsjechisch	čehu	czech
tsjechische	čehu	czech
tsjechië	čehu republika	czechia
tsjechoslowakije	čehoslovākija	czechoslovakia
tsjernobyl	černobiļa	tsjernobyl
tsunami	cunami	tsunami
tu	tu	tu (latin!) - you
tuberculose	tuberkuloze	tuberculosis
tuin	dārzs	garden
tuinen	dārzi	gardens
tunesië	tunisija	tunisia
tunnel	tunelis	tunnel
tunnels	tuneļi	tunnels
turken	turki	turks (people from turkey)
turkije	turcija	turkey
turks	turku	turkish
turkse	turku	turkish
turner	vingrotājs	turner
tussen	starp	between
tv	tv	tv
twaalf	divpadsmit	twelve
twaalfde	divpadsmitā	12th
twee	divi	two
tweede	otrais	second
tweeling	dvīnīte	twins
tweelingen	dvīņi	twins
tweemaal	divreiz	twice
tweetal	divi	two
tweeën	dvīņi	twain
twente	twente	twente
twijfel	šaubos	doubt
twilight	krēsla	twilight
twin	dvīnīte	twin
twintig	divdesmit	twenty
twintigste	divdesmitais	twentieth
twitter	twitter	twitter
two	divi	two
type	tips	type
typen	rakstīt	type
types	veidi	santiago
typisch	tipisks	typical
typische	tipisks	typical
u	tu	you
uit	no plkst	out
uitblijven	turies pa gabalu	failing to / failure
uitbraak	uzliesmojums	outbreach
uitbreiden	izvērsties	to expand
uitbreiding	pagarinājums	expansion
uitbreidingen	paplašinājumi	expansions
uitbreken	izlausties	outbreak
uitbrengen	izcelt	cast
uitdaging	izaicinājums	challenge
uitdrukkelijk	skaidri	explicit
uitdrukking	izteiksme	expression
uitdrukkingen	izteicieni	expressions
uiteen	atsevišķi	apart
uiteenlopende	daudzveidīga	different
uiteenvallen	sabrukt	collapse
uiteinde	beigas	end
uiteindelijk	beigās	eventually
uiteindelijke	galīgais	final
uiten	izteikt	express
uiteraard	protams	naturally
uiterlijk	izskats	appearence
uiterlijke	ārēji	pageant
uitermate	ārkārtīgi	extremely
uiterst	ārkārtīgi	extremely
uiterste	ekstrēms	extreme
uitg	ed	"publishing company (short for: ""uitgeverij"")"
uitgaan	iet ārā	go out
uitgaansleven	naktsdzīve	nightlife
uitgaat	nodziest	takes as point of departure
uitgangspunt	sākumpunkts	starting point
uitgave	izdevums	edition
uitgaven	izdevumi	expenditure
uitgebracht	atbrīvots	released
uitgebrachte	atbrīvots	released
uitgebreid	plaša	extensive
uitgebreide	plaša	extensive
uitgedrukt	izteikts	expressed
uitgegaan	izgājis	assumed
uitgegeven	izdots	issued
uitgegroeid	izaudzis	developed
uitgekomen	piepildīties	released
uitgelegd	paskaidroja	explained
uitgenodigd	uzaicināts	invited
uitgeoefend	uzspiests	exerted
uitgeput	izsmelts	exhausted
uitgereikt	apbalvots	awarded
uitgeroeid	iznīcināts	destroyed
uitgeroepen	pasludināja	declared
uitgerust	aprīkots	equiped - 1st sentence, rested - 3rd sentence, equiped - 4th sentence.
uitgeschakeld	izslēgts	disabled
uitgesloten	izslēgts	excluted
uitgesproken	izrunāts	explicitly
uitgesteld	atlikts	postponed
uitgestorven	izmiris	extinct
uitgestrekte	ekspansīvs	extended
uitgeverij	izdevniecība	publisher
uitgevoerd	izpildīts	performed
uitgevonden	izdomāts	invented
uitgewerkt	izstrādāts	developed
uitgezonden	pārraide	broadcast
uitgezonderd	izņēmums	excepted
uitgroeien	pāraugt	grow out
uiting	izteikums	expression
uitingen	izteicieni	expressions
uitkomen	lūka	to lead out
uitkomst	iznākums	outcome
uitkwam	piepildījās	released
uitleg	skaidrojums	explanation
uitmaakt	svarīgi	being (part of)
uitmaken	izšķirties	constitute
uitoefenen	vingrinājums	to practice
uitrusting	aprīkojums	equipment
uitslag	izsitumi	result
uitsluitend	tikai un vienīgi	exclusively
uitsluiting	izslēgšana	exclusion
uitspraak	paziņojums, apgalvojums	judgment
uitspraken	izrunas	statements
uitspreken	izrunāt	pronounce
uitstek	par izcilību	pre-eminently
uitstekend	teicami	excellent
uitstekende	teicami	excellent
uitstraling	izskats	appearance
uitte	izteicās	expressed
uitvaart	bēres	ceremony
uitverkocht	nav veikalā	used up
uitvinder	izgudrotājs	inventer
uitvinding	izgudrojums	invention
uitvindingen	izgudrojumi	inventions
uitvoer	izlaide	export
uitvoeren	veikt	conduct
uitvoerende	izpilddirektors	executive
uitvoering	izpildījums	implementation
uitvoeringen	izrādes	performances
uitwendige	ārpuse	external
uitwerking	izstrāde	development
uitwisseling	apmaiņa	exchange
uitzending	pārraide	broadcast
uitzendingen	raidījumi	broadcasts
uitzicht	skats	view
uitzondering	izņēmums	exception
uitzonderingen	izņēmumi	exceptions
uitzonderlijk	ārkārtējs	exceptionally
uitzonderlijke	ārkārtējs	unique
uk	uk	united kingdom
ulcerosa	ulcerosa	ulcerative
ultieme	galīgais	ultimate
un	un	un
und	und	und
under	zem	onder
underground	pazemē	underground
unesco	unesco	unesco
unie	savienība	union
uniek	unikāls	unique
unieke	unikāls	unique
uniform	formas tērps	uniform
union	savienība	union
united	vienoti	united
unityear	vienotības gads	unit year
universal	universāls	universal
universeel	universāls	universal
universele	universāls	universal
universitair	universitāte	academic
universitaire	universitāte	university
universiteit	universitāte	university
universiteiten	universitātes	universities
university	universitāte	university
universum	visums	universe
up	augšā	"""up"" as in ""up-town"" does not exist in dutch"
upper	augšējā	upper
uren	stundas	hours
urine	urīns	urine
uruguay	urugvaja	uruguay
us	mums	united states
usa	asv	usa
usb	usb	usb
uss	uss	uss
ussr	ussr	old sovjet political government
ut	ut	university twente
utc	utc	utc
utc+	utc +	utc +
utrecht	utrecht	utrecht
utrechtse	utrechtse	utrecht
uur	stunda	hour
uw	tavs	your
v	v	v
vaag	neskaidrs	vague
vaak	bieži	often
vaardigheden	prasmes	skills
vaart	ātrums	speed
vaatziekten	asinsvadu slimības	vascular diseases
vacant	brīvs	vacant
vaccin	vakcīna	vaccine
vaccinatie	vakcinācija	vaccination
vacht	mētelis	coat
vacuüm	vakuums	vacuum
vader	tēvs	father
vaderland	dzimtā valsts	homeland
vaders	tēvi	fathers
vagant	greizs	extravagant
vagina	maksts	vagina
vaginale	maksts	vaginal
vak	lauka	section
vakbonden	arodbiedrības	unions
vaker	biežāk	more often
val	kritums	fall
valencia	valencia	valencia
vallei	ieleja	valley
valleien	ielejas	valleys
vallen	kritums	to fall
valley	ieleja	valley
valse	viltus	false
valt	kritieni	comes - in these particular sentences
valuergb	vērtergb	rgb value
van	no plkst	of
vanaf	no plkst	from
vandaag	šodien	today
vandaan	no plkst	"come ( always in connection with another word: ""vandaan komen"": come from"
vandaar	tātad	on that account
vanessa	vanesa	vanessa
vangen	noķert	catch
vanouds	vecu	traditionally
vanuit	no plkst	out of
vanwege	tāpēc ka	because of
vanzelf	viens pats	as a matter of course
vanzelfsprekend	dabiski	obvious
varen	bura	to navigate
variant	variants	variant
varianten	varianti	variaties
variatie	variācija	variation
variaties	variācijas	variaties
varieert	mainās	varies
variëren	mainīties	vary
variërend	mainīgs	varying
variëteiten	šķirnes	variations
varkens	cūkas	pigs
varkensgriep	cūku gripa	swine-flu
vast	fiksēts	solid
vaste	fiksēts	solid
vasteland	kontinentālā daļa	mainland
vasten	badošanās	fasting
vastgehouden	notika	held
vastgelegd	sagūstīts	defined
vastgesteld	nodibināta	located
vasthouden	turēt	to hold on to
vaststellen	noteikt	identify
vat	muca	barrel
vaticaan	vatikāns	vatican
vaticaans	vatikāns	vatican
vaticaanstad	vatikāna pilsēta	vatican city
vb	piem.	eg
vchr	b.c	b.c.
vecht	cīņa	vecht (proper name - river - 2nd and 4th sentence), fight (6th sentence)
vechten	cīņa	to fight
vee	liellopi	cattle
veel	daudz	many
veelal	bieži	often,  e.g.: the products are often sweets...etc.
veelgebruikte	parasti izmanto	commonly used
veelvuldig	bieži	multiple
veen	kūdra	veen
veertien	četrpadsmit	fourteen
veertiende	četrpadsmitā	fourteenth
veertig	četrdesmit	forty
veeteelt	liellopu audzēšana	livestock farming
vegas	vegas	vegas
vegetatie	veģetācija	vegetation
veilig	droši	safe
veilige	droši	safe
veiligheid	drošība	security
veiligheidsraad	drošības padome	security council
veld	lauka	field
velde	lauka	velde - proper noun - surname
velden	lauki	fields
veldtocht	kampaņa	campaign
veldzuring	skābenes	dock
vele	daudzi	many
velen	daudzi	many <referring to people>
veluwe	veluwe	veluwe
venetië	venēcija	venice (place)
venezuela	venecuēla	venezuela (proper noun - country)
venlo	venlo	seattle
venus	venera	venus
ver	tālu	far
veranderd	mainīts	changed
veranderde	mainīts	changed
veranderden	mainīts	changed
veranderen	mainīt	to change
verandering	mainīt	change
veranderingen	izmaiņas	changes
verandert	izmaiņas	changes
verantwoordelijk	atbildīgs	responsible
verantwoordelijkheden	pienākumi	responsibilities
verantwoordelijkheid	atbildība	responsibility
verantwoording	atbildība	responsiblity
verband	apsējs	connection
verbannen	aizliegts	to expel
verbeelding	iztēle	imagination
verbergen	paslēpties	hide
verbeterd	uzlabota	improved
verbeterde	uzlabota	improved
verbeteren	uzlabot	improve
verbetering	uzlabošana	improvement
verbeteringen	uzlabojumi	improvements
verbieden	aizliegt	prohibit
verbinden	savienot	link
verbinding	saite	connection
verbindingen	savienojumi	connections
verbindt	savieno	binds
verbleef	palika	stayed
verblijf	dzīvesvieta	residence
verblijven	palikt	staying - 1st sentence, stay - 3rd and 5th sentence
verbod	aizliegums	prohibition
verboden	aizliegts	forbidden
verbond	derība	covenant
verbonden	savienots	connected
verbood	aizliegts	forbid
verborgen	slēpts	hidden
verbouwd	pārbūvēta	rebuilt
verbrand	dega	burned
verbranden	sadedzināt	incinerate
verbranding	sadegšana	burn
verbroken	salauzts	terminated
verdacht	aizdomīgs	suspicious
verdedigd	aizstāvēja	defended
verdedigde	aizstāvēja	defended
verdedigen	aizsargāt	defend
verdediger	aizstāvis	defender
verdedigers	aizstāvji	defenders
verdediging	aizstāvība	defence
verdeeld	sadalīts	divided
verdeeldheid	dalīšana	division
verdelen	sadalīt	divided
verdeling	izplatīšana	distribution
verder	tālāk	further
verdere	tālāk	further
verdiende	pelnījis	earned
verdienen	pelnīt	earn
verdieping	grīda	floor
verdiepingen	grīdas	deepenings
verdoving	anestēzija	anesthetic
verdrag	vienošanās	treaty
verdragen	izturēt	treaties
verdreven	izraidīts	expelled
verdriet	bēdas	sorrow/ sadness
verdrijven	izraidīt	to expel
verdrongen	represētie	repressed
verduren	izturēt	endure
verdween	pazuda	disappeared
verdwenen	pazuda	disappeared
verdwijnen	izzust	disappear
verdwijnt	pazūd	disappears
vereerd	pagodināts	honored
vereist	nepieciešams	required
vereiste	nepieciešams	required
veren	spalvas	feathers
verenigd	vienoti	united
verenigde	vienoti	united
verenigen	apvienoties	to unite
vereniging	asociācija	union
verenigingen	asociācijas	associations
verering	pielūgsme	worshipping
verf	krāsot	paint
verfilming	filmas adaptācija	filming
vergadering	sapulce	meeting
vergaderingen	sapulces	meetings
vergeleken	salīdzināja	compared
vergelijk	salīdzināt	compare
vergelijkbaar	salīdzināms	comparable
vergelijkbare	salīdzināms	comparable
vergelijken	salīdzināt	compare
vergelijking	salīdzinājums	(in) comparison
vergelijkingen	salīdzinājumi	equations
vergeten	aizmirst	forget
vergezeld	pavada	accompanied
vergilius	virgila	virgil
vergroot	palielinās	increase
vergroten	palielināt	to expand
verhaal	stāsts	story
verhaallijn	sižets	storyline
verhaallijnen	sižeti	storylines
verhalen	stāsti	story
verhemelte	aukslējas	canopy
verheven	paaugstināts	exalted
verhogen	palielināt	increase
verhoging	pacēlums	increase
verhoogd	palielināts	increased
verhoogde	palielināts	increased
verhoogt	palielinās	put up
verhouding	attiecība	ratio
verhoudingen	attiecības	relationships
verhuisde	pārcēlās	moved
verhuizen	attālinās	to move
verjaardag	dzimšanas diena	birthday
verkeer	satiksme	traffic
verkeerd	nepareizi	wrong
verkeerde	nepareizi	wrong
verkiezing	vēlēšanas	election
verkiezingen	vēlēšanas	elections
verklaard	deklarēts	declared
verklaarde	paziņoja	declared
verklaart	skaidro	explains
verklaren	paziņot	explain
verklaring	paziņojums, apgalvojums	statement
verklaringen	skaidrojumi	statements
verkocht	pārdots	sold
verkochte	pārdots	sold
verkoop	pārdošana	sales
verkoopcijfers	pārdošanas rādītāji	salenumbers
verkopen	pārdot	sell
verkopende	pārdošana	selling
verkoper	pārdevējs	salesman
verkozen	ievēlēts	chosen
verkrachting	izvarošana	rape
verkreeg	iegūti	obtained
verkregen	iegūti	obtained
verkrijgbaar	pieejams	available
verkrijgen	iegūt	obtain
verlaat	lapas	leaves
verlangen	vēlme	desire
verlaten	aizbraukt	to leave
verleden	pagātne	past
verleend	piešķirts	granted
verleende	piešķirts	granted
verlenen	dotācija	to grant
verlengd	pagarināts	prolonged
verlengde	pagarināts	continuation (1st sentence), extended (4th sentence)
verlicht	izgaismots	enlighten
verlichting	apgaismojums	enlightment
verliefd	iemīlējies	fell in love
verliep	gāja	went
verlies	zaudējums	loss
verliest	zaudēt	loses
verliet	pa kreisi	left
verlieten	pa kreisi	left
verliezen	zaudēt	losses
verloop	protams	course
verloopt	beidzas termiņš	expires
verloor	pazaudēts	lost
verlopen	beidzās derīguma termiņš	run (5th sentence), are (8th sentence), ran (9th sentence)
verloren	pazaudēts	lost
verlossing	pestīšana	salvation
verluidt	ziņots	reportedly
vermeden	izvairījās	avoided
vermeende	apgalvots	alleged
vermeer	palielināt	multiply
vermeld	pieminēt	mentioned
vermelden	pieminēt	mention
vermelding	pieminēt	mention
vermeldt	piemin	mentions
vermenigvuldigen	reizināt	multiply
vermijden	izvairīties	avoid
verminderd	samazināts	decreased
verminderde	samazinājās	decreased
verminderen	samaziniet	decrease
vermindering	samazināšana	reduction
vermindert	samazinās	reduces
vermoed	aizdomas	suspected
vermoedelijk	domājams	probably
vermoeden	aizdomas	suspicion
vermoedt	aizdomas	suspects
vermoeidheid	nogurums	fatigue
vermogen	spēks	ability
vermoord	noslepkavots	murdered
vermoorden	slepkavība	murder
vernietigd	iznīcināts	destroyed
vernietiging	iznīcināšana	destruction
vernietigingskamp	iznīcināšanas nometne	extermination camp
vernietigingskampen	iznīcināšanas nometnes	extermination camps
vernieuwende	inovatīvs	renewed
vernieuwing	atjaunošana	renewal
vernoemd	nosaukts	named
verona	verona	verona
verondersteld	domājams	assumed
veronderstelde	domājams	assumed
veronderstelling	pieņēmums	assumption
veronica	veronika	veronica
veroordeeld	notiesāts	convicted
veroordeelde	notiesāt	convicted
veroordeling	pārliecība	condemnation
veroorzaakt	cēloņi	caused
veroorzaakte	izraisīja	caused
veroorzaken	cēlonis	cause
verouderde	novecojis	outdated
veroverd	iekaroja	conquered
veroverde	iekaroja	conquered
veroverden	iekaroja	conquered
veroveren	iekarot	conquer
verovering	iekarošana	conquest
veroveringen	iekarojumi	conquers
verpakking	iepakojums	packaging
verplaatsen	kustēties	move
verplaatst	pārcēlās	moved
verplicht	obligāti	required
verplichte	obligāts	mandatory
verplichting	apņemšanās	obligation
verplichtingen	saistības	obligations
verrassend	pārsteidzoši	surprisingly
verrast	pārsteigts	surprised
verre	tālu	far
verregaande	tālejošs	profound
verreweg	līdz šim	by far
verricht	vadīts	conduct
verrichten	izpildīt	perform
vers	svaigi	fresh
versailles	versailles	versailles
verschaffen	nodrošināt	provide
verscheen	uzlēca	appeared
verscheidene	vairākas	different
verscheidenheid	šķirne	variety
verschenen	parādījās	appeared
verschijnen	parādīties	appear
verschijning	izskats	appearance
verschijningsdatum	publicēšanas datums	release date
verschijnsel	parādība	phenomenon
verschijnselen	parādības	appearances
verschijnt	parādās	appears
verschil	atšķirība	difference
verschillen	atšķirības	differs
verschillend	savādāk	different
verschillende	dažādi	different
verschilt	atšķiras	differs
verschoof	pārbīdīts	shifted
verse	svaigi	fresh
versie	versija	version
versierd	dekorēts	decorated
versies	versijas	versions
verslaan	sakāve	defeat
verslag	ziņot	report
verslagen	sakāva	beat
verslaving	atkarība	addiction
verslechterde	pasliktinājies	deteriorated
versloeg	sakāva	beats
versneld	paātrināts	accelerated
versnelde	paātrināts	accelerated
verspreid	izkaisīti	spread
verspreidde	izplatība	spread
verspreiden	izplatīt	spread
verspreiding	izplatība	spread
verstaan	saprast	catch
verstand	asprātība	insight
verstandelijke	garīgās	mental
verstandig	saprātīgi	with sense
verstedelijking	urbanizācija	urbanisation
versterken	stiprināt	strengthen
versterkt	stiprina	strengthened
versterkte	pastiprināta	enhanced
verstoord	satraukts	disturbed
verstopt	aizcietējumi	hidden
verstoren	traucēt	disturb
verstoring	traucējumi	disturbance
verstrekt	ar nosacījumu	provided
versus	pret	versus
vertaald	tulkots	translated
vertaalde	tulkots	translated
vertaling	tulkošana	translation
vertalingen	tulkojumi	translations
vertegenwoordigd	pārstāvēts	represented
vertegenwoordigen	pārstāvēt	represent
vertegenwoordiger	pārstāvis	representative
vertegenwoordigers	pārstāvji	representators
vertegenwoordiging	pārstāvība	representation
vertegenwoordigt	pārstāv	represents
verteld	stāstīja	told
vertelde	stāstīja	told
vertellen	pateikt	tell
vertelt	saka	tells
verticale	vertikāli	vertical
vertolkt	interpretēts	interpret
vertonen	izstādīt	show
vertoond	parādīts	shown
vertoonde	parādīts	showed
vertoont	šovi	shows
vertraging	kavēšanās	delay
vertrek	aiziešana	leave
vertrekken	aizbraukt	leave
vertrekt	lapas	leaves
vertrok	pa kreisi	left
vertrokken	pa kreisi	left
vertrouwde	uzticams	trusted
vertrouwen	uzticēties	trust
veruit	līdz šim	by far
vervaardigd	ražots	manufactured
vervaardigde	ražots	manufactured
verval	pagrimums	decay
vervallen	atcelts	expire
vervangen	aizstāt	replaced
vervanger	aizvietotājs	replacer
vervanging	nomaiņa	replacement
vervelling	mols	moult
verving	aizstāts	replaced
vervoer	transports	transportation
vervoerd	transportēts	transported
vervoeren	transports	transport
vervolg	turpinājums	continuation
vervolgd	turpināja	continued
vervolgde	turpināja	pursued
vervolgen	turpināt	follow ups
vervolgens	pēc tam	next
vervolging	kriminālvajāšana	prosecution
vervreemding	atsvešināšanās	alienation
vervuiling	piesārņojums	pollution
vervullen	izpildīt	fulfill
vervult	piepilda	fulfills
verwacht	gaidāms	expects
verwachte	gaidāms	expected
verwachten	sagaidīt	expected
verwachting	cerības	expectation
verwachtingen	cerības	expectations
verwachtte	gaidāms	expected
verwant	saistīti	related to
verwante	saistīti	related
verwantschap	attiecības	affiliation
verward	apjucis	confused
verwarren	sajaukt	confuse
verwarring	apjukums	confusion
verwekkers	patogēni	pathogens
verwerken	apstrāde	process
verwerking	apstrāde	processing
verwerkt	apstrādāts	processes
verwerpen	noraidīt	reject
verwerven	iegūt	to obtain
verwezen	atsauce	refered
verwierf	iegūts	acquired
verwijderd	izdzēsts	removed
verwijderen	noņemt	remove
verwijdering	noņemšana	widening
verwijst	atsaucas	refers
verwijzen	atsaukties	refer
verwijzing	atsauce	reference
verwijzingen	atsauces	references
verwoert	sabojājas	verwoert - proper noun - surname
verwoest	iznīcināts	destroyed
verwondingen	ievainojumi	injuries
verworpen	noraidīts	rejected
verworven	iegūts	acquired
verzamelalbum	kompilācijas albums	compilation album
verzameld	savākti	collected
verzamelde	savākti	collected
verzamelen	savākt	collect
verzameling	kolekcija	collection
verzamelnaam	kolektīvs nosaukums	collectional name
verzet	pretestība	resistance
verzetten	pretoties	resist
verzocht	pieprasīts	requested
verzoek	pieprasīt	request
verzoening	samierināšanās	reconciliation
verzonnen	izdomāts	made up
verzorgd	ēdina	provided
verzorgde	aprūpēti	took care for
verzorgen	rūpēties par	provide
verzorging	aprūpi	care
verzorgt	rūpējas	takes care for
verzwakt	traucēta	weakened
vestigde	apmetās	settled down
vestigden	apmetās	settling down
vestigen	nokārtot	to establish
vestiging	nodibināšana	establishment
vestigingen	zari	offices
vet	tauki	bold
veteranen	veterāni	veterans
vetten	tauki	fats
vetzuren	taukskābes	fatty acid
via	cauri	through
viaduct	viadukts	fly-over
vicepresident	viceprezidents	vice president
victor	viktors	victor
victoria	viktorija	victoria
video	video	video
videoclip	videoklips	videoclip
videoclips	videoklipi	music video
videos	video	videos
viel	nokrita	fell
vielen	nokrita	fell
vier	četri	four
vierde	ceturtais	fourth
vieren	svinēt	to celebrate
viering	svinības	celebration
vierkant	kvadrāts	square
vierkante	kvadrāts	square
vietnam	vjetnama	vietnam
vietnamese	vjetnamiešu	vietnamese
vietnamoorlog	vjetnamas karš	vietnamwar
vii	vii	vii
vijand	ienaidnieks	enemy
vijanden	ienaidnieki	enemies
vijandige	naidīgi	hostile
vijf	pieci	five
vijfde	piektais	fifth
vijftien	piecpadsmit	fifteen
vijftiende	piecpadsmitā	fifteenth
vijftig	piecdesmit	fifty
vikingen	vikings	vikings
villa	villa	villa
vincent	vincents	vincent
vinci	vinci	vinci
vind	atrast	find
vinden	atrast	found
vindt	atrod	finds
vinger	pirksts	finger
vingers	pirksti	fingers
virale	vīrusu	viral
virginia	virdžīnija	virginia
virtual	virtuāls	virtual
virus	vīruss	virus
virussen	vīrusi	viruses
vis	zivis	fish
visie	redze	vision
vissen	makšķerēšana	fishes
visserij	makšķerēšana	fishery
visuele	vizuālais	visual
vita	vita	vita
vitamine	vitamīns	vitamin
vlaams	flāmu	flemish
vlaamse	flāmu	flemish
vlaanderen	flandrija	flanders
vladimir	vladimirs	vladimir
vlag	karogs	flag
vlaggen	karogi	flags
vlak	plakans	flat
vlakbij	tuvumā	right by
vlakken	lidmašīnas	levels
vlakte	vienkāršs	leveled
vlaktes	līdzenumi	plains
