$	dollar təşkil edib	dollars
строй	sistemi	building
строят	qurmaq	building
струва	buna dəyər	cost
структура	quruluşu	structure
структурата	quruluşu	structure
структури	strukturları	structures
структурни	struktur	structural
струма	cərəyan	river struma
стръмни	dik	steep
студена	soyuq	cold
студената	soyuq	the cold
студени	soyuq	cold
студенти	tələbələr	students
студентски	tələbə	students
студиен	studiya	studio
студио	studiya	studio
студиото	studiya	studio
стъкло	şüşə	glass
стълб	dirək	column
стъпала	addımlar	steps
стъпало	ayaq	step
стъпка	addım	step
стъпки	addımlar	steps
су	su	su
субстанция	maddə	substance
субтропичен	subtropik	subtropical
суверенитет	suverenlik	sovereignty
сула	sula	sulla
султан	sultan	sultan
султана	sultan	sultan
сулфат	sulfat	sulphate
сулфонамид	sulfonamid	sulfonamide
сума	məbləği	amount
сумата	miqdar	amount
суматра	cəmi	sumathra
суми	məbləğlər	amounts
супер	super	super
суперкупа	supercup	super cup
суров	xam	crude
суровина	xammal	material
суровини	xammal	raw materials
сутра	sabah	sutra
сутрин	səhər	morning
сутринта	səhər	in the morning
сух	quru	dry
сухи	quru	dry
сухо	quru	dry
сухопътни	torpaq	land
суша	quraqlıq	drought
сушата	quraqlıq	drought
сфера	sahə	area
сферата	sahə	sphere
сфери	kürələr	spheres
сферична	sferik	spherical
сформира	formalaşmışdır	founds
схващания	hisslər	concidere
схема	sxem	scheme
схеми	sxemləri	schemes
сходен	oxşar	similar
сходна	oxşar	similar
сходни	oxşar	similar
сцена	səhnə	scene
сцената	səhnə	the scene
сцени	səhnələr	scenes
счетоводни	mühasibat uçotu	accounting
счетоводство	mühasibat uçotu	accounting
счетоводството	mühasibat uçotu	accounting
счита	hesab olunur	considered
считан	oxumaq	read
считана	hesab olunur	considered
считани	hesab olunur	considered
считат	düşünmək	considered
събира	toplayır	collect
събиране	kolleksiya	collect
събирането	kolleksiya	collecting
събират	toplamaq	collected
събитие	hadisə	event
събитието	tədbir	event
събития	hadisələr	events
събитията	hadisələr	events
събор	ədalətli	gathering
събота	şənbə	saturday
събрани	toplanmış	collected
събрание	görüş	parliament
събрания	görüşlər	assemblies
съвет	nəsihət	board
съвета	nəsihət	board
съветници	məsləhətçilər	councilors
съветска	sovet	world
съветската	sovet	soviet
съветски	sovet	soviet
съветските	sovet	soviet
съветския	sovet	world
съветският	sovet	world
съветското	sovet	soviet
съветът	məclis	board
съвкупност	ümumilik	aggregate
съвместно	birlikdə	joint
съвпада	üst-üstə düşür	coincide
съвременен	çağdaş	contemporary
съвременна	müasir	modern
съвременната	müasir	the contemporary
съвременни	müasir	modern
съвременните	müasir	contemporary
съвременници	müasirləri	contemporaries
съвременния	müasir	modern
съвременно	müasir	modern
съвременното	müasir	contemporary
съвсем	olduqca	completely
съгласие	razılıq	agreement
съгласни	razılaşmaq	agree
съгласно	görə	according to
съгласява	razıdır	agrees
съгласяват	razılaşmaq	agree
съд	məhkəmə	court
съда	məhkəmə	court
съдба	taleyi	destiny
съдбата	taleyi	fate
съдебна	məhkəmə	case
съдебната	məhkəmə	judicial
съдебни	məhkəmə	juridical
съдействието	yardım	the help
съди	hakim	judge
съдия	hakim	judge
съдове	gəmilər	vessels
съдовете	gəmilər	vessels
съдържа	ehtiva edir	contains
съдържание	məzmunu	ingredients
съдържанието	məzmunu	content
съдържат	ehtiva edir	contain
съдържащ	ehtiva edir	containing
съдържащи	ehtiva edir	containing
съединени	əlaqədar	united
съединение	mürəkkəb	compound
съединението	mürəkkəb	unification
съединените	əlaqədar	united
съединения	birləşmələr	units
съединителна	birləşmə	unite
съжаление	üzr istəyirəm	regret
създава	yaradır	creates
създавайки	yaratmaq	creating
създаване	yaradılması	creation
създаването	yaradılması	creation
създават	yaratmaq	create
създадат	yaratmaq	create
създаде	yaradılmışdır	make
създаден	yaradılmışdır	created
създадена	yaradılmışdır	created
създадената	yaradılmışdır	established
създадени	yaradılmışdır	created
създадено	yaradılmışdır	created
създал	yaradılmışdır	made
създали	yaradılmışdır	created
създател	yaradıcısı	founder
съзнание	şüur	consciousness
съзнанието	şüur	knowledge
съимператор	co-imperator	saimperator
съкратено	qısaldılmış	abbreviated
съкращение	ixtisarlar	abbreviation
съкращението	ixtisarlar	shortening
съкровище	xəzinə	treasure
съкровището	xəzinə	treasure
съм	mən	am
съмнение	şübhə	suspects
съмнения	şübhə	doubts
сън	yuxu	dream
съображения	mülahizələr	considerations
съобщава	hesabat verir	announce
съобщават	bildirildi	reported
съобщение	mesaj	message
съобщението	mesaj	the announcement
съобщения	mesajlar	communications
съоръжение	quraşdırma	installation
съоръжения	imkanlar	facilities
съответната	uyğun	respective
съответните	müvafiq	relevant, corresponding
съответния	uyğun	respecting
съответно	müvafiq olaraq	appropriate
съответното	müvafiq olaraq	respectively
съответства	uyğundur	corresponds
съответствие	uyğunluq	according
съотношение	nisbət	ratio
съотношението	nisbəti	proportion
съпроводено	müşayiət	accompanied
съпротива	müqavimət	resistance
съпротивата	müqavimət	resistance
съпротивление	müqavimət	resistance
съпруг	ər	husband
съпруга	arvad	wife
съпругата	arvad	wife
сър	ser	sir
сърби	serblər	serbs
сърбите	serblər	serbs
сърбия	serbiya	serbia
сървър	server	server
сърдечната	ürək	heart
сърце	ürək	heart
сърцето	ürək	heart
със	ilə	with
съседи	qonşular	neighborhood
съседите	qonşular	neighbors
съседни	qonşu	neighboring
съседните	qonşu	neighboring
съседство	qonşuluq	proximity
съсловие	sinif	class
съсредоточава	diqqət yetirir	focus
съсредоточена	yönəldilmişdir	concentrated
съсредоточени	yönəldilmişdir	located
съст	comp	ingr. (short of ingredients)
състав	tərkibi	staff
състава	tərkibi	staff
съставен	tərtib etmişdir	constituent
съставена	tərtib etmişdir	constituted
съставени	tərtib etmişdir	up
съставено	tərtib etmişdir	composed
състави	kompozisiyaları	compiled
съставки	maddələr	ingredients
съставлява	təşkil edir	accounts
съставляват	təşkil edir	constitute
съставна	kompozit	component
съставя	bəstələyir	draw
съставят	makiyaj etmək	compile
състезание	rəqabət	competition
състезания	yarışlar	competitions
състои	ibarətdir	consists
състояние	şərtdir	state
състоянието	şərtdir	state
състояния	şərtlər	conditions
състоят	ibarətdir	consist
състоящ	ibarət	consisting
състояща	ibarət	consisting
сътрудник	şərik	collaborator
сътрудничество	əməkdaşlıq	cooperation
сътрудничеството	əməkdaşlıq	collaboration
сътрудничи	əməkdaşlıq edir	cooperate
съхранени	saxlanılır	stored
съхранение	saxlama	storage
съхранява	mağazalar	preserve
съхраняване	saxlama	conservation
съхраняват	saxlanılır	store
съчетава	birləşdirir	combines
съчетание	birləşmə	combination
съчинения	esselər	essays
същ	eyni	same
съща	eyni	same
същата	eyni	the same
същевременно	eyni vaxtda	same time
същества	canlılar	beings
съществена	vacibdir	essential
съществени	vacibdir	essential
съществено	mahiyyətcə	substantially
съществителни	isimlər	nouns
съществителните	isimlər	nouns
съществително	isim	noun
същество	olmaq	being
съществува	mövcuddur	there
съществувал	mövcuddur	existed
съществувала	mövcuddur	existent
съществували	var a	existed
съществувало	mövcuddur	existed
съществуване	varlıq	existence
съществуването	varlıq	existence
съществуват	mövcüd olmaq	there
съществуващи	mövcuddur	existing
съществуващите	mövcuddur	/
същи	eyni	same
същинската	əsl	actual
същите	eyni	all
същия	eyni	/
същият	eyni	it
същност	mahiyyəti	essence
същността	mahiyyəti	nature
също	də	also
същото	eyni	same
съюз	birlik	union
съюза	birlik	union
съюзи	həmkarlar ittifaqları	unions
съюзник	müttəfiq	ally
съюзници	müttəfiqlər	allies
съюзниците	müttəfiqlər	the allies
сюжет	süjet	skojet
сюзън	susan	susan
сюлейман	süleyman	suleiman
сякаш	sanki	as if
сянка	kölgə	shadow
сяр	ser	serres
сяра	kükürd	sulfur
сярна	kükürd	sulphuric
т	t	t
та	və	-th
таблица	masa	table
тази	bu bir	this
тайван	tayvan	taiwan
тайланд	tayland	thailand
таймс	dəfə	times
тайна	gizli	secret
тайната	gizli	secret
тайни	sirləri	secrets
тайните	sirləri	secret
тайно	gizli	secretly
така	belə ki	thus
такава	bu cür	such
такива	bu cür	such
такова	bu cür	like that
такси	taksi	taxi
такт	nəzakət	tact
такъв	bu cür	such
талант	istedad	talant
талев	talev	talev
талий	bel	thallium
там	orada	there
тамплиерите	templars	templars
тангари	tangari	tangari
танзания	tanzaniya	tanzania
танкове	tanklar	tanks
танци	rəqslər	dances
тасос	thassos	thassos
тата	baba	-th
татари	tatarlar	tatars
тацит	laqeyd	tacitus
тв	tv	tv
твен	ikiqat	twain
творба	işləmək	work
творбата	iş	work
творби	işləyir	works
творбите	əsərləri	works
творци	yaradıcıları	artists
творчество	yaradıcılıq	work
творчеството	yaradıcılıq	work
твърд	çətin	hard
твърда	çətin	solid
твърде	də	too
твърдение	ifadəsi	statement
твърдения	ifadələr	statements
твърденията	iddialar	statements
твърди	iddiaları	claims
твърдо	möhkəm	fully
твърдост	sərtlik	hard
твърдят	iddia	claim
те	onlar	ie
театрален	teatr	theatrical
театрални	teatr	theater
театри	teatrlar	theatres
театър	teatr	theater
театъра	teatr	theater
театърът	teatr	the theatre
теб	sən	you
тебе	sən	you
тевтони	teutonlar	teutonians
тегло	çəki	weight
теглото	çəki	weight
тежестта	çəki	severity
тежка	ağır	heavy
тежката	ağır	hard
тежки	ağır	heavy
тежките	ağır	heavy
тежко	çətin	hard
тежък	ağır	heavy
теза	tezis	thesis
тезата	tezis	thesis
тези	bunlar	these
тейлър	taylor	taylor
тексас	texas	texas
текст	mətn	text
текста	mətn	text
текстил	toxuculuq	textile
текстилна	toxuculuq	textile
текстилната	toxuculuq	textile
текстове	mətnlər	texts
текстовете	mətnlər	the texts
текстът	mətn	text
тектонски	tektonik	tectonic
тел	tel	tel
тела	cisimlər	body
теламон	telamon	talamon
телата	cisimlər	body
телевизионен	televiziya	television
телевизионна	televiziya	tv
телевизионни	televiziya	tv
телевизионните	televiziya	tv
телевизия	televiziya	television
телевизията	televiziya	television
телескоп	teleskop	telescope
телескопа	teleskop	telescope
телесната	bədəndən	body
телефонен	telefon	telephone
телефони	telefonlar	phones
тема	mövzu	topic
темата	mövzu	topic
темза	temza	thames
теми	mövzular	topics
температура	temperatur	temperature
температурата	temperatur	the temperature
температури	temperatur	temperatures
температурите	temperatur	temperatures
температурни	temperatur	temperature
темпове	tempi	pace
темуджин	temujin	temujin
тенденции	meylləri	trends
тенденция	trend	trend
тенденцията	meyl	tendency
тенерифе	tenerife	tenerife
тенис	tennis	tennis
теогония	teoqoniya	theogony
теодицея	teodisik	teoditsiya
теодор	teodor	theodore
теодорус	teodor	theodorus
теодосий	teodosius	theodosius
теология	ilahiyyat	theology
теорема	teoremi	theorem
теоретична	nəzəri	theoretic
теоретично	nəzəri cəhətdən	theoretical
теории	nəzəriyyə	theories
теориите	nəzəriyyələr	theory
теория	nəzəriyyə	theory
теорията	nəzəriyyə	theory
теофан	teofanlar	theophanes
тепе	tepe	tepe
терапия	terapiya	therapy
тераси	terraslar	terraces
тератология	teratoloji	teratology
тервел	tervel	tervel
терен	ərazi	field
терена	ərazi	terrain
териер	teriyer	terrier
териториални	ərazi	territorial
териториално	ərazi	territorial
територии	ərazi	territory
териториите	ərazilər	teritories
територия	ərazi	territory
територията	ərazi	teritory
термин	müddət	term
термина	müddət	the term
термини	şərtləri	terms
терминът	müddəti	the term
тесалия	salon	thessaly
тесен	dar	close
тесла	tesla	tesla
тесни	dar	close
тестове	testlər	tests
тетивата	tendon	tendon
техен	onların	their
техни	onların	their
техника	texnika	technology
техниката	texnika	technique
техники	texnikalar	technics
техните	onların	their
техническа	texniki	technical
технически	texniki cəhətdən	technical
техния	onların	their
техният	onların	their
технологии	texnologiyalar	technology
технология	texnologiya	technology
тец	tec	cgh
тече	axır	runs
течение	cərəyan	course
течението	cari	flow
течения	cərəyanlar	course
течно	maye	liquid
течност	maye	fluid
течности	mayelər	liquids
ти	sən	you
тиберий	tiberius	tiberius
тибет	tibet	tibet
тива	tiva	tiva
тигър	pələng	tiger
тила	geri	backstab
тим	komanda	tim
тимор	timor	timor
тип	növü	kind
типа	növü	similar to
типичен	tipik	typical
типичната	tipik	typical
типични	tipik	typical
типично	adətən	typical
типове	növləri	types
тираж	dövriyyə	edition
титан	titan	titan
титаник	titanik	titanik
титла	başlıq	title
титларожденопри	titlarozhdenopri	title at birth
титлата	başlıq	title
титли	başlıqlar	titles
тих	sakit	quiet
тихи	sakit	pacific ocean
тихия	sakit	quiet
тия	bunlar	these
тласък	itələmək	impetus
тнар	tnar	so-called
то	sonra	it
това	bu	this
товарни	yük	freight
тогава	sonra	then
тогавашния	sonra	former
тодор	todor	todor
тодоров	uçuşlar	todorov
тоест	yəni	namely
този	bu bir	this
той	o	he
ток	cərəyan	current
тока	cərəyan	electricity
токио	tokio	tokyo
толерантност	dözümlülük	tolerance
толкин	tolkien	tolkien
толкова	bu qədər	so
том	həcmi	volume
тома	həcmi	volumes
томас	tomas	thomas
тона	ton təşkil edib	tons
топ	üst	top
топене	ərimə	melting
топка	top	ball
топката	top	the ball
топки	toplar	balls
топла	isti	hot
топлина	istilik	heat
топлината	istilik	heat
топло	isti	warm
точка	nöqtə	spot
точки	xallar	points
точна	dəqiq	accurate
точната	dəqiq	the exact
точни	dəqiq	accurate
точният	dəqiq bir	accurate
точно	tam olaraq	exactly
точност	dəqiqlik	accuracy
точността	dəqiqlik	the accuracy
точното	tam olaraq	exact
тоше	tose	tose
трагедията	faciə	tragedy
традиции	adətləri	traditions
традициите	adətləri	traditions
традиционен	ənənəvi	traditional
традиционна	ənənəvi	tradicional
традиционната	ənənəvi	traditional
традиционни	ənənəvi	traditional
традиционните	ənənəvi	traditional
традиционния	ənənəvi	traditional
традиционно	ənənəvi olaraq	traditionally
традиционното	ənənəvi	traditional
традиция	ənənə	tradition
традицията	ənənə	the tradition
трае	davam edir	lasts
трайни	davamlıdır	permanent
трайно	daimi	permanent
траки	yük maşınları	thracians
тракийска	trakya	thracian
тракийската	trakya	thracian
тракийски	trakya	thracian
тракийските	frakiyalılar	thracian
тракийския	trakya	thracian
тракийско	trakya	thracian
тракийското	trakya	thracian
траките	frakiyalılar	thracians
тракия	trakya	trakiya
транзистори	tranzistorlar	transistors
трансилвания	transilvaniya	transylvania
транскрипция	transkripsiyası	transcription
транспозон	transposon	transposons
транспорт	nəqliyyat	transport
транспорта	nəqliyyat	transport
транспортен	nəqliyyat	transport
транспортна	nəqliyyat	transportation
транспортната	nəqliyyat	transport
транспортни	nəqliyyat	transport
трансфер	köçürmə	transfer
трасето	marşrut	route
трафик	trafik	traffic
трахеит	traxeit	tracheitis
траян	trajan	trajan
траяна	trajan	traiana
трева	ot	grass
трендафил	qızılgül	rose
треньор	məşqçi	trainer
треньори	məşqçilər	coaches
треска	hərarət	fever
трета	üçüncü	third
третата	üçüncü	third
трети	üçüncü	third
третия	üçüncü	third
третият	üçüncü	third
трето	üçüncü	thirdly
третото	üçüncü	third
три	üç	three
трима	üç	three
тримата	üçü	three
тринидад	trinidad	trinidad
трир	trier	trier
трите	üçü	three
тритон	yeni	triton
трифон	trifon	trifon
трифонов	trifonov	trifonov
триъгълник	üçbucaq	triangle
триъгълника	üçbucaq	triangle
триъгълници	üçbucaqlar	triangle
трогоноподобни	trogon kimi	the trogons, the trogoniformes
троица	üçlük	trinity
трол	troll	troll
трона	taxt	throne
тропически	tropik	tropical
тропическите	tropik	tropical
тропични	tropik	tropical
троя	troy	troy
троян	trojan	troyan
троянската	trojan	trojan
троянски	trojan	troyan
троянския	trojan	trojan
троянците	troyanlar	trojans
труд	əmək	work
труда	əmək	labor
труден	çətin	tough
трудни	çətin	difficult
трудно	çətin	dificult
трудности	çətinliklər	difficulties
трудове	işləyir	writings
трудовете	əsərləri	works
труман	truman	truman
трупа	cəsəd	body
трупове	cəsədlər	corpses
тръба	boru	tube
тръби	borular	tubing
тръгва	yarpaqlar	leaves
тръгват	buraxırlar	leave
тръстика	qamış	cane
трябва	olmalıdır	must
трябвало	olmalıdır	had
трявна	ot	tryavna
ту	tu	tu - technical university // at times
туберкулоза	vərəm	tuberculosis
туберкулозата	vərəm	tb
тук	burada	here
тунели	tunellər	tunnels
тунис	tunis	tunisia
тур	yuvarlaq	tour
турбина	turbin	turbine
туризма	turizm	tourism
туризмът	turizm	tourism
туризъм	turizm	tourism
туристи	turistlər	tourists
туристите	turistlər	tourists
туристическа	turist	tourist
туристически	turist	touristis
туристическите	turist	tourist
туристическо	turist	tourist
туркменистан	türkmənistan	turkmenistan
турне	tur	tour
турнета	tur	tour
турнето	tur	tour
турнир	turnir	tournament
турнира	turnir	tournament
турнири	turnirlər	tournaments
турнирите	turnirlər	tournaments
турска	türk	turkish
турската	türk	turkish
турски	türk	turkish
турските	türk	turkish
турския	türk	turkish
турският	türk	turkish
турско	türk	turkish
турското	türk	the turkish
турци	türklər	turks
турците	türklər	the turkish
турция	türkiyə	turkey
туя	thuja	tuya
тч	tch	including
тъга	kədər	grief
тъй	kimi	so
тъкан	toxuma	tissue
тъкани	toxumalar	tissues
тъканите	toxumalar	the tissues
тълкувание	təfsir	interpretation
тълпа	izdiham	criwd
тъмна	qaranlıq	dark
тъмната	qaranlıq	dark
тъмни	qaranlıq	dark
тъмните	qaranlıq olanlar	dark
тъмно	qaranlıq	dark
тънки	incə	thin
тънък	incə	thin
търбух	qarın	rumen
търговец	tacir	merchant
търговище	bazarda	trgoviste
търговия	ticarət	trade
търговията	ticarət	the trade
търговска	kommersiya	commercial
търговската	kommersiya	commercial
търговски	kommersiya	commercial
търговските	kommersiya	commercial
търговско	kommersiya	commerce
тържествено	təntənəli şəkildə	officially
търново	tarnovo	tarnovo
търновска	tarnovo	turnovo
търновската	tarnovo	turnovo's
търновски	tarnovo	turnovo
търпи	dözmək	suffers, undergoes
търсене	axtarış	search
търсенето	tələb	search
търси	axtarmaq	search
търсят	axtarmaq	search
тюркски	türk	turkic
тютюн	tütün	tobacco
тя	o	she
тяло	bədən	body
тялото	bədən	body
тясна	dar	close
тясно	yaxından	tight
тях	onları	them
тяхна	onların	their
тяхната	onların	their
тяхно	onların	their
тяхното	onların	their
у	y	in
убеден	razı	convinced
убеждава	inandırır	convinces
убеждения	inanclar	beliefs
убежище	sığınacaq	asylum
убива	öldürür	kill
убиват	öldürürlər	kill
убие	öldürmək	kill
убийства	cinayətlər	murders
убийство	qətl	homicide
убийството	qətl	murder
убил	öldürüldü	killed
убит	öldürüldü	murdered
убити	öldürmək	murdered
увеличава	artır	increase
увеличаване	artırmaq	increase
увеличаването	artım	increase
увеличават	artırmaq	increase
увеличение	qaldırmaq	increase
увлича	cəlb edir	fascinated
уволнен	atəş	fired
увреждане	zərər	damage
увреждания	əlillik	disabilities
удар	zərbə	blow
удара	vuruş	impact
удари	vurur	hits
удоволствие	zovq	pleasure
уеб	veb	web
уебсайт	veb saytı	website
уелс	uels	wales
уефа	уефа	uefa
ужас	dəhşət	terror
узбекистан	özbəkistan	uzbekistan
уи	уи	uneverste
уик	həftə sonu	wick
уики	wiki	wiki
уикипедия	wikipedia	wikipedia
уилям	iradə	william
уилямс	williams	williams
уинстън	winston	winston
уиски	viski	whiskey
уискито	viski	whiskey
указ	fərman	decree
украйна	ukrayna	ukraine
украса	bəzək	decoration
украсени	bəzədilib	decorated
укрепване	gücləndirmək	strengthening
укрепления	istehkamlar	fortifications
ул	st	st. (street)
улеснява	asanlaşdırır	aids
улица	küçə	street
улици	küçələr	streets
улиците	küçələr	the streets
ума	ağıl	mind
умело	ustalıqla	skillfully
умения	bacarıqlar	skills
умерен	mülayim	temperate
умерено	mülayim	temperate
умереноконтинентален	mülayim qitə	mild contitental
умира	ölür	dies
умират	onlar ölürlər	die
умишлено	qəsdən	deliberately
унгария	macarıstan	hungary
унгарски	macar	hungarian
унгарския	macar	hungarian
унгарците	macarlar	hungarians
университет	universitet	university
университета	universitet	university
университети	universitetlər	universities
университетски	universitet	university
уникален	unikal	unique
уникална	unikal	unique
уникални	unikal	unique
унищожава	məhv edir	destroy
унищожаването	məhv	destroying
унищожават	məhv etmək	destroyed
унищожен	məhv edildi	destroyed
унищожена	məhv edildi	destroyed
унищожени	məhv edildi	destroyed
упадък	azalma	decline
употреба	istifadə etmək	use
употребата	i̇stifadə	use
употребява	istifadə edir	use
употребяват	istifadə etmək	used
управител	menecer	manager
управители	menecerlər	governors
управление	idarəetmə	management
управлението	idarəetmə	managing
управлява	idarə edir	manage
управлявал	hökm sürür	ruled
управляван	idarə	operated
управляват	idarə etmək	manage
управляващата	hökm	ruling
управляващите	hökmdarlar	ruling
управници	menecerlər	rulers
упражнява	məşqlər	exercise
уравнение	tənlik	equation
урал	ural	ural
уран	uran	uranium
урбан	şəhər	urban
уреди	texnikası	devices
уриниране	sidik	urination
уроци	dərslər	lessons
уругвай	uruqvay	uruguay
усеща	hiss edir	felt
усещане	hissi	feeling
усилено	şiddətləndi	hard
усилия	səylər	efforts
усилията	səylər	efforts
ускорява	sürətləndirir	accelerates
условие	şərtdir	condition
условия	şərtlər	conditions
условията	şərtlər	conditions
условно	şərti olaraq	provisionally
усложнения	fəsadlar	complications
услуга	xidmət	service
услуги	xidmətlər	services
услугите	xidmətlər	services
успее	bacaracaq	succeed
успели	bacardı	succeed
успение	yuxu	assumption
успех	uğurlar	success
успеха	uğur	success
успехи	uğurlar	achievements
успехите	uğurlar	success
успехът	uğur	the success
успешен	uğurlu	successful
успешна	uğurlu	successful
успешни	uğurlu	successful
успешно	uğurla	successfully
успоредни	paralel	parallel
успоредник	müqayisəçi	parallelogram
успоредно	paralel olaraq	alongside
успява	müvəffəq olur	manage
успяват	bacarırlar	fail
успял	bacardı	managed
уста	ağız	mouth
установен	quruldu	established
установена	quruldu	estabilished
установени	quruldu	established
установено	quruldu	found
установи	qurmaq	establish
установили	quruldu	found
установява	qurur	established
установяване	müəssisə	establishment
установяването	yaradılması	establishment
установяват	qurmaq	settles
установят	qurmaq	establish
устата	ağız	the mouth
устни	dodaqlar	spoken
устройства	qurğular	devices
устройство	qurğu	device
устройството	cihaz	structure
утаяване	yağıntı	sedimentation
утвърждава	təsdiqləyir	strengthen
ухо	qulaq	ear
участва	iştirak edir	involved
участвал	iştirak etdi	involved
участвали	iştirak etdi	involved
участват	iştirak etmək	participate
участие	iştirak	participation
участието	iştirak	participation
участия	iştirak	participations
участник	iştirakçı	participant
участници	iştirakçıları	players
участниците	iştirakçıları	participants
участък	bölmə	section
участъка	bölmə	section
участъци	bölmələr	sections
учат	öyrətmək	study
учебни	təlim	school
учен	alim	scientist
учени	alimlər	scientists
учение	tədris	doctrine
учението	doktrina	studying
ученик	tələbə	student
учените	alimlər	scholars
ученици	tələbələr	students
учениците	tələbələr	students
учения	təlimlər	teachings
ученията	təlimlər	teachings
учи	öyrənir	lesson
училища	məktəblər	schools
училищата	məktəblər	schools
училище	məktəb	school
училището	məktəb	school
учител	müəllim	teacher
учители	müəllimlər	teachers
учителя	müəllimlər	teacher
учителят	müəllim	the teacher
уши	qulaqlar	ears
ушите	qulaqlar	ushite
ф	f	f.
фабрика	zavod	factory
фабрики	fabriklər	factories
фаза	faza	phase
фази	fazaları	phases
файлове	sənədlər	files
факт	fakt	fact
факта	fakt	fact
факти	faktlar	facts
фактически	faktiki olaraq	in fact
факто	fakt	facto
фактор	amil	factor factor factor
фактори	amillər	factors
факторите	amillər	factors
фактът	fakt	the fact
факултет	fakültə	faculty
фамилия	soyad	family
фамилията	ailə	family
фараона	firon	pharaon
фараоните	fironların	pharaohs
фауна	fauna	fauna
фауната	fauna	fauna
фашизма	faşizm	fascism
фашизмът	faşizm	fascism
фашизъм	faşizm	fascism
фашистите	faşistlər	the fascists
фашистка	faşist	fascist
фашистката	faşist	fascist
фашистките	faşistlər	fascist
февруари	fevral	february
февуари	fevral	february
федерална	federal	federal
федерално	federal	federal
федералното	federal	federal
федеративна	federal	federal
федерация	federasiya	federation
фен	saç qurudan	fan
феновете	azarkeşlər	fans
фенол	fenol	fenol
феномен	fenomen	phenomenon
феномени	hadisələr	phenomena
фердинанд	ferdinand	ferdinand
ферментация	mayalanma	fermentation
фернандо	fernando	fernando
фестивал	festival	festival
фестивали	şənliklər	festivals
фетус	döl	fetus
фигура	fiqur	figure
фигури	rəqəmlər	persons
фигурите	rəqəmlər	figures
фиде	əriştə	vermicelli
фидел	fidel	fidel (name)
физика	fizika	physics
физиката	fizika	the fisics
физическа	fiziki	physical
физическата	fiziki	the physical
физически	fiziki	physical
физическо	fiziki	physical
физични	fiziki	physical
фил	fil	phil
филиал	filial	filial
филиз	cücərmək	shoot
филип	filip	philip
филипините	filippin	philippines
филипополис	philippopolis	philippopolis
филм	film	movie
филма	film	the movie
филми	filmlər	films
филмите	filmlər	films
филмова	film	film
филмови	film	movies
филмография	filmoqrafiya	filmography
филмът	film	the movie
философ	filosof	philosopher
философи	filosoflar	philosophers
философия	fəlsəfə	philosophy
философията	fəlsəfə	philosophy
философска	fəlsəfi	philosophical
философски	fəlsəfi cəhətdən	philosophical
фин	fin	fine
финала	son	final
финали	final	finals
финансите	maliyyə	finance
финансов	maliyyə	financial
финансова	maliyyə	financial
финансовата	maliyyə	financial
финансови	maliyyə	financial
финансовите	maliyyə	financial
финансово	maddi cəhətdən	financial
финикийците	finikiyalılar	the phoenicians
финландия	finlandiya	finland
фирма	şirkəti	firm
фирмата	şirkət	firm
фирми	şirkətlər	firms
фифа	əla	fifa
фк	fk	fc
флавий	flavius	flavius
флаг	bayraq	flag
фланг	cinah	flag
флоксови	phlox	the phlox family
флора	flora	flora
флората	flora	flora
флоренция	çiçək	florence
флорида	florida	florida
флот	donanma	navy
флота	donanma	fleet
флотация	flotasiya	zflotatsia
фобос	foblar	phobos
фокс	tülkü	fox
фолк	xalq	folk
фолклор	folklor	folklore
фолклора	folklor	folklore
фолклорен	folklor	folklore
фон	fon	fon
фона	fon	background
фонд	fond	fund
фондация	təməli	foundation
фондацията	təməli	foundation
фондове	vəsait	funds
форма	forma	form
формално	formal olaraq	formal
формат	format	format
формата	format	shape
формации	birləşmələr	formations
формация	formalaşması	formation
форми	formaları	forms
формира	formaları	formed
формирали	formalaşmışdır	formed
формиране	formalaşması	establish
формирането	formalaşması	formation
формирани	formalaşmışdır	formed
формират	forma	form
формите	formaları	forms
формула	düstur	formula
формулата	düsturu	the formula
форт	qala	fort
форум	forum	forum
фрагменти	fraqmentləri	fragments
фраза	ifade	phrase
фракции	fraksiyaları	fractions
франк	frank	destroyed
франклин	franklin	franklin
франс	fransa	france
франсиско	fransisko	francisco
франсоа	frank	francois
франц	fransız dili	franz
франциско	fransisko	francisco
франция	fransa	france
французите	fransızlar	the french
фрг	фрг	fgr
фреди	freddi	freddie
френска	fransız dili	french
френската	fransızlar	the french
френски	fransız dili	french
френските	fransızlar	french
френския	fransızlar	the french
френският	fransızlar	french
френското	fransızlar	french
фридрих	fridrix	friedrich
фродо	frodo	frodo
фройд	freyd	freud
фронт	ön	front
фронта	ön	front
функции	funksiyaları	functions
функциите	funksiyaları	functions
функционална	funksional	functional
функционира	işləyir	function
функциониране	fəaliyyət göstərir	functioning
функционирането	fəaliyyət göstərir	operation
функционират	funksiyası	function
функция	funksiyası	function
функцията	funksiyası	function
футбол	futbol	soccer
футбола	futbol	football
футболен	futbol	football
футболист	futbolçu	football player
футболисти	futbolçular	players
футболистите	futbolçular	players
футболна	futbol	football
футболната	futbol	football
футболни	futbol	football
футболът	futbol	the football
фюнес	əyləncələr	funes
х	x	x
хавана	havana	havana
хаджи	hacı	hadji
хазарите	xəzərlər	khazars
хазната	xəzinə	coffers
хайнрих	heinrich	henrik
хайтов	hait	haitov
халифа	xəlifə	khalifa
халифат	xilafət	caliphate
хамбург	hamburq	hamburg
хамилтън	həmilton	hamilton (name)
хамлет	hamlet	hamlet
