$	dollar təşkil edib	(dollar sign)
saga	dastan	saga
sage	müdrik	wise
sagesse	hikmət	wisdom
sagir	hərəkət etmək	be
sagissait	idi	was about
sagisse	olmaq	is about
sagit	edir	is
sahara	səhərə	sahara
saint	müqəddəs	st.
saintdenis	müqəddəslər	saint-denis
saintdomingue	santo domingo	saint-domingue
sainte	müqəddəs	saint
saintempire	müqəddəs imperiya	holy empire
saintjean	müqəddəs	saint-jean
saintlaurent	müqəddəs	st. lawrence
saintlouis	müqəddəs	saint louis
saintpierre	müqəddəs	saint-pierre
saints	müqəddəslər	saints
saintétienne	müqəddəs	saint-etienne
saisir	tutmaq	its
saison	mövsüm	season
saisons	fəsillər	seasons
sait	bilin	knows
sajoute	əlavə edin	add oneself
sajoutent	əlavə edin	add
salaire	əmək haqqı	salary
salaires	əmək haqqı	wages
salariés	işçilər	employees
sale	çirkli	dirty
salle	zal	room
salles	otaqlar	room
salomon	solomon	salomon
salon	qonaq otağı	living room
salons	salonlar	add salt
salut	salam	salvation
salvador	salvador	salvador
sam	oturdu	sam
samedi	şənbə	saturday
samuel	samuel	samuel
san	san	(part of a place name)
sanction	sanksiya	sanction
sanctions	sanksiyalar	sanctions
sanctuaire	ziyarətgah	sanctuary
sand	qum	sand
sang	qan	blood
sanguin	qan	blood
sanguine	qan	blood
sanguins	qan	blood
sanitaire	sanitar	sanitary
sanitaires	sanitar	health
sans	olmadan	without
santa	santa	santa
santiago	santiaqo	santiago
santé	sağlamlıq	health
saoudite	səudiyyə	arabia
sappelle	adlanır	named
sapplique	tətbiq olunur	applies
sappuie	arıq	relies
sappuyant	əyilmək	based
sarah	sarah	sarah
sarrête	dayanır	stopped
sartre	sartre	sartre
sassurer	əmin olun	to ensure
sasuke	sasuke	sasuke
satellite	peyk	satellite
satellites	peyklər	satellites
satisfaction	məmnuniyyət	satisfaction
satisfaire	məmnun etmək	satisfaction
satisfait	məmnun	satisfy
sattache	sattache	attach
sauf	istisna olmaqla	with the exception of
saut	atlanmaq	jump
sauvage	vəhşi	wild
sauvages	vəhşi	wild
sauve	qazanc	saves
sauver	qazanc	save
sauvetage	xilasetmə	rescue
sauvé	xilas oldu	saved
savait	bilirdi	knew
savant	alim	learned
savants	alimlər	scholars
savent	bilin	know
savoie	savoy	savoie
savoir	bilmək	that is
savère	zövqləri	if proven
saône	saône	saône
scandale	qalmaqal	scandal
scandinaves	skandinaviya	scandinavians
sceau	möhür	seal
sceaux	möhürlər	seal
schengen	şengen	schengen
schizophrénie	şizofreniya	schizophrenia
schneider	şnayder	schneider
school	məktəb	school
schwarzenegger	schwarzenegger	schwarzenegger
schéma	diaqram	scheme
science	elm	science
sciencefiction	elmi fantastika	scifi
sciences	elm	science
scientifique	alim	scientific
scientifiques	alimlər	scientists
scolaire	məktəb	academic
scolaires	məktəb	scolar
scolarité	təhsil	schooling
score	hesab	score
scott	skot	scott
screen	ekran	screen
script	ssenari	script
scrubs	ovuclar	scrubs
scrutin	səsvermə	ballot
sculpteur	heykəltəraş	sculpture
sculpture	heykəl	sculpture
sculptures	heykəllər	sculptures
scène	səhnə	scene
scènes	səhnələr	scenes
scénario	ssenari	scenario
scénarios	ssenarilər	scenarios
scénariste	ssenarist	scenarist
scénaristes	yazıçılar	screenwriters
se	edir	oneself
sean	dəniz	sean
seattle	seattle	seattle
sebastian	sebastian	sebastian
sec	quru	dry
second	ikinci	second
secondaire	orta	middle school
secondaires	orta	secondary
seconde	ikinci	second
secondes	saniyə	seconds
secours	xilasetmə	help / safety
secret	gizli	secret
secrets	sirləri	secrets
secrète	gizli	secretes
secrètement	gizli	secretly
secrétaire	katib	secretary
secs	quru	dry
secteur	sektor	sector
secteurs	sektorlar	sectors
section	bölmə	section
sections	bölmələr	sections
seffectue	ifa edir	is carried out
sefforce	səy göstərir	shall endeavour
segment	seqment	segment
segments	seqmentlər	segments
seigneur	lord	lord
seigneurs	lordlar	lords
sein	döş	within
seine	seine	seine
seize	on altı	sixteen
sel	duz	salt
selon	görə	according to
semaine	həftə	week
semaines	həftələr	weeks
semblable	oxşar	similar
semblables	eyni	similar
semblait	görünürdü	seemed
semble	görünür	seems to
semblent	görünür	seem
semblerait	görünürdü	would seem
sempare	hazırlamaq	take possession
semparer	ələ keçirmək	take over
sen	sen	of it
sengage	tapşırır	join up
sengager	törətmək	sengager
sens	mənada	meaning
sensation	hissi	sensations
sensations	sensasiya	sensations
sensibilité	həssaslıq	circulent
sensible	həssas	sensitive
sensiblement	nəzərə çarpır	sensibly
sensibles	həssas	sensitive
sensuit	həssas	then
sent	iy verir	feel
sentiment	hissi	feeling
sentiments	hisslər	sentiments
sentir	hiss etmək	feel
sept	yeddi	seven
septembre	sentyabr	september
septième	yeddinci	seventh
sera	edəcək	will be
seraient	olardı	would
serait	olardı	will be
serbe	serb	serbian
serbes	serb	serbians
serbie	serbiya	serbia
serge	serj	serge
series	seriyası	series
serment	andı	serment
seront	edəcək	will
serpent	ilan	snake
serre	istixana	greenhouse
sert	xidmət edir	is used
servant	xidmət edir	being used
servent	xidmət etmək	are used
serveur	ofisiant	server
serveurs	ofisiantlar	servers
servi	xidmət etdi	served
service	xidmət	service
services	xidmətlər	services
servir	xidmət etmək	serve as
ses	onun	his
session	iclas	session
sessions	iclaslar	sessions
sest	edir	is oneself
set	dəsti	set
sets	dəstlər	sets
seuil	eşik	threshold
seul	tək	alone
seule	tək	the only
seulement	yalnız	only
seules	tək	alone
seuls	tək	only
sex	cinsi	sex
sexe	cinsi	gender
sexes	cinslər	gender
sexplique	izah edir	explains
sexprime	cinsi istismar	express oneself
sexprimer	ifadə edin	to express
sexualité	cinsəllik	sexuality
sexuel	cinsi	sexual
sexuelle	cinsi	sexual
sexuelles	cinsi	sexuals
sexuels	cinsi	sexual
sgt	sgt	sgt
shah	şah	shah
shakespeare	şekspir	(name)
shakur	shakur	shakur
shanghai	şanxay	shanghai
shawn	qışqırmaq	shawn
sherlock	sherlock	sherlock
shippuden	şippuden	shippuden
shippūden	şippūden	shippuden
shoah	şəha	holocaust
shows	göstərir	show
shâh	şah	shah
si	əgər	you
sicile	sicily	sicilia
sida	yardımlar	sida
side	tərəfi	side
sierra	siyerra	sierra
sigmund	ziqmund	sigmud
signal	siqnal	signal
signaler	hesabat	point out
signature	imza	signature (and signing)
signaux	siqnalları	signals
signe	işarəsi	signs
signent	işarəsi	sign
signer	işarəsi	sign
signes	əlamətləri	signs
signifiant	işarə edən	meaning
significatif	mənalı	significant
signification	mənası	signification
significative	mənalı	significant
signifie	deməkdir	means
signé	imzalanıb	signed
signée	imzalanıb	agreed
signés	imzalanıb	signed
sil	əgər	if it is
silence	sükut	silence
sils	susur	if they
silverlight	gümüşü işıq	silverlight
silvio	silvio	silvio
similaire	oxşar	similar
similaires	oxşar	similar
simmons	simmonlar	simmons
simon	simon	simon
simone	simone	simone
simple	sadə	simple
simplement	sadəcə	simply
simples	sadə	simple
simplicité	sadəlik	simplicity
simpose	simpozasiya edin	simpose
simposer	simulyasiya etmək	to impose
simpson	simpson	simpson
simpsons	simpsonlar	simpsons
simultanément	eyni zamanda	simultaneously
sin	günah	sin
sincline	rüku	bows
singapour	singapore	singapour
singer	müğənni	(surname)
single	tək	single
singles	təklər	singles
singulier	tək	la singulie'r
sinon	başqa cür	or
sinscrit	abunə oldu	has registered itself
sinspirant	ruhlandırıcı	sin-spirant
sinspire	ilham çəkmək	inspires
sinstalle	quraşdırır	settles
sinstallent	məskunlaşmaq	move to
sinstaller	quraşdırmaq	install oneself
sintitule	sintitle	is titled
sintéresse	maraqlanır	show interrest
sintéresser	maraqlanmaq	take an interest
sionisme	sionizm	zionism
sir	ser	sir
sismique	seysmik	sismic
site	sayt	website
sites	saytlar	sites
situation	vəziyyət	situation
situations	vəziyyətlər	situations
situe	yerləşdirir	is
situent	tapmaq	situated
situé	yerləşən	located
située	yerləşən	located
situées	yerləşən	located
situés	yerləşən	located
six	altı	six
sixième	altıncı	sixth
siècle	əsr	century
siècles	əsrlər	centuries
siège	qərargah	head office
sièges	oturacaqlar	seating
ski	xizək sürmə	ski
sky	göy	sky
slam	slam	slam
slave	qul	slavic
slaves	slavik	slavic
slogan	şüarı	motto
slovaquie	slovakiya	slovakia
slovénie	sloveniya	slovenia
smackdown	yıxılmaq	smackdown
smith	dəmirçi	smith
snoop	qarmaqarışıq	snoop
so	belə	so
soccer	futbol	soccer
soccupe	qayğı göstərmək	manages
soccuper	qayğı göstərmək	soccuper
social	sosial	social
sociale	sosial	social
sociales	sosial	social
socialisme	sosializm	socialism
socialiste	sosialist	socialist
socialistes	sosialistlər	socialists
sociaux	sosial	social
sociologie	sosiologiya	sociology
sociologique	sosioloji	sociological
société	cəmiyyət	society
sociétés	şirkətlər	companies
socle	plint	pedestal
socrate	sosratlar	socrates
sodomie	səxavət	sodomy
soi	özünü	self
soie	ipək	silk
soient	olmaq	be
soigner	sağal	heal
soin	qayğı	care
soins	qayğı	medical care
soir	axşam	evening
soirée	axşam	party
soirées	axşamlar	evenings
soit	ya da	whether
soixante	altmış	sixty
sol	torpaq	soil
solaire	günəş	solar
solaires	günəş	solar
soldat	əsgər	soldier
soldats	əsgərlər	soldiers
solde	balans	discount
soleil	günəş	sun
solidarité	həmrəylik	solidarity
solide	bərk	solid
solides	bərk	solid
solitaire	tənha	solitary
solo	solo	solo
sols	torpaqlar	soil
solution	həll	solution
solutions	həllər	solutions
sombre	qaranlıq	dark
sombres	qaranlıq	dark
somme	cəmi	sum
sommeil	yuxu	sleep
sommes	var	sum, or amount
sommet	zirvə	top
sommets	zirvələr	highs
son	onun	his
sonate	sonata	sonata
sonates	sonatalar	sonatas
sondage	anket	poll
sondages	anketlər	polls
sonde	zond	modul
songe	yuxu	dream
sonny	oğul	sonny
sonore	səs	sound
sonores	səs	sound
sonorités	səslər	sounds
sons	səslənir	sounds
sont	var	are
sony	sony	sony
sophie	sofi	sophie
soppose	xəsis	opposes
sopposent	qarşı çıxmaq	set against
sopposer	qarşı çıxmaq	oppose
sorbonne	duman şkafı	sorbonne
sorciers	sehrbazlar	probed
sort	taleyi	is released
sortant	gedən	outgoing
sorte	belə	kind
sortent	çıxmaq	released
sortes	növlər	kind
sorti	çöldə	out
sortie	çıxmaq	release
sorties	nəticələr	come out
sortir	çıxmaq	to leave
sortira	çıxacaq	will be released
sortis	çıxmaq	released
souche	gərginlik	strain
souches	suşları	strain
souci	narahat olmaq	worry
soucieux	aiddir	concerned
soudan	sudan	sudan
souffert	əziyyət çəkdi	suffered
souffle	nəfəs	breath
souffrance	əzab	suffering
souffrant	əzab	suffering
souffre	əziyyət çəkir	suffers
soufre	kükürd	sulfur
souhaitait	arzuladı	wished
souhaite	arzulamaq	wish
souhaitent	arzulamaq	wish
soul	ruh	drunk
souligne	vurğulayır	highlights
soulignent	vurğulamaq	highlight
souligner	vurğulamaq	accentuate
soulève	qaldırır	uprises
soulèvement	qalxmaq	uprising
soumettre	təqdim etmək	submit
soumis	itaətkar	submissive
soumise	itaətkar	submitted
soumission	təqdim	surrender
source	mənbə	source
sources	mənbələr	sources
sourire	gülümsəmək	smile
souris	siçan	mouse
sous	altında	under
soussol	zirzəmi	underground
soutenir	dəstək	to support
soutenu	dəstəklənir	helped
soutenue	davamlıdır	sustained
soutien	dəstək	support
soutiennent	mübahisə	support
soutient	dəstəkləyir	support
souvenir	yadda saxla	recollection
souvenirs	xatirələr	memories
souvent	tez-tez	frequently
souverain	suveren	sovereign
souveraineté	suverenlik	sovereignty
souverains	suverenlər	sovereigns
souvre	yadda saxla	sopen
soviétique	sovet	soviet
soviétiques	sovetlər	soviet
spatial	məkan	space
spatiale	məkan	spatial
spears	nizə	spears
spectacle	şou	spactacle
spectacles	göstərir	shows
spectaculaire	möhtəşəm	spectacular
spectaculaires	möhtəşəm	spectacular
spectateur	tamaşaçı	spectator
spectateurs	tamaşaçılar	spectators
spectre	spektri	specter
spencer	spencer	spencer
sphère	sahə	sphere
spielberg	spielberg	spielberg
spin	fırlatmaq	spin
spirale	spiral	spiral
spirit	ruh	spirit
spirituel	mənəvi	spiritual
spirituelle	mənəvi	spiritual
spontanément	öz-özünə	spontaneously
sporozoïte	sporozoite	sporozoit
sport	idman	sport
sportif	idman	sportsman
sportifs	idmançılar	sport
sportive	idman	sport
sportives	idman	sports
sports	idman	sports
spécial	xüsusi	special
spéciale	xüsusi	special
spécialement	xüsusi olaraq	specially
spéciales	xüsusi	special
spécialiste	mütəxəssis	specialist
spécialistes	mütəxəssislər	specialists
spécialisé	ixtisaslaşmış	competent
spécialisée	ixtisaslaşmış	specialised
spécialisées	ixtisaslaşmış	specialised
spécialisés	ixtisaslaşmış	specialised
spécialités	ixtisaslar	specialities
spéciaux	xüsusi	special
spécificité	spesifikliyi	specificity
spécifique	spesifik	specific
spécifiquement	xüsusi olaraq	specifically
spécifiques	spesifik	specific
sq	kv	sq
square	kvadrat	square
sr	sr	sr ( sir )
sri	sri	sri
ss	ss	ss
st	st	st
stabilité	sabitlik	stability
stable	sabitdir	stable
stade	stadion	stadium
stades	stadionlar	stadiums
stadium	stadion	stadium
staline	stalin	stalin
stallone	ayğır	stallone
standard	standart	standard
standards	standartlar	norms
stanley	stanley	stanley
starr	starr	celebrity
stars	ulduzlar	stars
state	dövlət	state
states	dövlətlər	states
station	stansiyası	station
stations	stansiyaları	stations
statistique	statistik	statistics
statistiques	statistika	statistics
statue	heykəli	statue
statues	heykəllər	statues
statut	status	our
statuts	əsasnamələr	status
stefan	stefan	stefan
stendhal	stendhal	stendhal
stephen	stefan	stephen
stephenie	stephenie	stephenie
steve	stiv	steve
steven	steven	steven
stewart	stüard	stewart
stimulation	stimullaşdırma	stimulation
stockage	saxlama	storage
stocker	mağaza	to store
stockholm	səhmdar	stockholm
stoker	stoker	stoker
stopper	dayan	halt
story	hekayə	story
strasbourg	strasburq	strasbourg
stratégie	strategiya	strategy
stratégies	strategiyaları	strategies
stratégique	strateji	strategical
stratégiques	strateji	strategic
stravinski	stravinsky	stravinski
street	küçə	street
stress	stres	stress
strict	sərt	strict
stricte	sərt	strict
strictement	ciddi şəkildə	strictly
structure	quruluşu	structure
structures	strukturları	structure
stuart	stuart	stuart
studio	studiya	studio
studios	studiyaları	studios
style	tərzi	style
styles	üslubları	styles
stéphane	stefan	(man's name)
su	su	knew
subdivisions	bölmələr	subdivisions
subi	əziyyət çəkdi	sustained
subir	əziyyət çəkmək	undergo
subissent	keçmək	subisssent
subit	keçir	undergoes
subsistance	yaşayış	subsistence
subsiste	təmin edir	remains
subsistent	yaşayış	remain
substance	maddə	substance
substances	maddələr	material
subventions	qrantlar	subsidies
successeur	varisi	successor
successeurs	varisləri	successors
successifs	ardıcıl	subsequent
succession	əmlak	succession
successivement	ardıcıl olaraq	successively
successives	ardıcıl	successive
succède	müvəffəq olur	succeed
succèdent	bacar	follow
succès	uğur	success
succédé	bacardı	followed(for michael j) succeeded (for the others)
sucre	şəkər	sugar
sud	cənub	south
sudafricain	cənubi afrika	south-african
sudest	cənub-şərqdə	south east
sudouest	cənub-qərb	south west
suez	tərləmə	suez
suffisamment	kifayətdir	sufficiently
suffisant	kifayətdir	sufficient
suffisante	kifayətdir	sufficient
suffit	kifayətdir	sufficient
suffrage	səs hüququ	vote
suggère	təklif	suggests
suggèrent	təklif	suggest
suggéré	təklif etdi	suggested
suicidaire	intihar	suicidal
suicide	intihar	suicide
suis	am	am
suisse	i̇sveçrə	switzerland
suisses	swiss	swiss
suit	aşağıdakılardır	follow
suite	davam etdi	following
suites	dəstləri	following
suivant	sonrakı	following
suivante	sonrakı	following
suivantes	aşağıdakı	following
suivants	aşağıdakı	following
suivent	təqib edin	follow
suivi	təqib edin	followed
suivie	izlədi	followed
suivies	izlədi	followed
suivis	izlədi	followed by
suivre	təqib edin	follow
sujet	mövzu	topic
sujets	mövzular	topics
sullivan	sullivan	sullivan
sultan	sultan	sultan
summerslam	yaz	summerslam
sunday	bazar günü	sunday
super	əla	super
supercoupe	super kubok	supercup
superficie	sahəsi	area
superhéros	super qəhrəman	superhero
superman	supermen	superman
superstar	super ulduz	superstar
supplémentaire	əlavə	additional
supplémentaires	əlavə	additional
support	dəstək	support
supporte	dəstək	support
supporter	ayı	support
supporters	tərəfdarları	supporters
supports	dəstəkləyir	media
suppose	tapmaq	assume
supposé	ehtimal olunur	supposed
supposée	ehtimal olunur	supposed
suppression	silinmə	suppression
supprimer	çıxarın	delete
supprimé	silindi	deleted
suprême	ali	supreme
supérieur	ali	superior
supérieure	üstündür	superior
supérieures	üstündür	superior
supérieurs	üstün olanlar	superiors
supériorité	üstünlük	superiority
sur	yandır	on
surcroît	əlavə olaraq	addition
surface	səthi	surface
surfaces	səthlər	malls(for 1st) supermarket(for 2nd) building plots (for the 3rd)
surnom	ləqəb	nickname
surnommé	ləqəbli	dubbed
surnommée	ləqəbli	known
surprise	sürpriz	surprise
surréalisme	sürrealizm	surrealism
surréaliste	irreal	surrealiste
surréalistes	irreal	surrealist
surtout	xüsusən	especially
surveillance	nəzarət	monitoring
survie	yaşamaq	survival
survient	baş verir	occurs
survivants	sağ qalanlar	survivors
survivor	sağ qalan	survivor
survivre	sağ qal	survive
survécu	sağ qalıb	survived
susan	susan	susan
susceptible	həssas	susceptible
susceptibles	həssas	susceptible
suscite	oyadır	raises
suscité	oyatdı	generated
suspendu	dayandırılıb	suspended
suspendus	asmaq	suspended
suspension	asma	suspension
suède	şişmiş	sweden
suédois	şved	swedish
swift	sürət	swift
sy	sy	there
sydney	sidney	sydney
sylvester	silvester	sylvester
sylvie	sylvie	sylvie
symbole	simvolu	symbol
symboles	simvollar	symbols
symbolique	simvolik	symbolic
symboliques	simvolik	symbolic
symbolise	simvollaşdırır	symbolize
symbolisme	simvolizm	symbolism
sympathie	rəğbət	sympathy
symphonie	simfoniya	symphonia
symphonique	simfonik	symphonic
symphyles	simfillər	symphyllia
symptômes	simptomlar	symptoms
syndicat	birlik	union
syndicats	həmkarlar ittifaqları	unions
syndrome	sindromu	syndrome
synonyme	sinonim	synonymous
synopsis	tezis	synopsis
synthèse	sintez	integration
synthétique	sintetik	synthetic
syphilis	sifilis	syphilis
syrie	siriya	syria
système	sistemi	system
systèmes	sistemləri	systems
systématique	sistemli	systematic
systématiquement	sistemli olaraq	systematically
são	são	sao
sèche	quru	dry
séance	iclas	cession
séances	iclaslar	sessions
sébastien	sebastien	sebastian
sécession	ayrılma	secession
sécheresse	quraqlıq	drought
sécurité	təhlükəsizlik	security
ségrégation	bölmə	segregation
séisme	zəlzələ	earthquake
séismes	zəlzələlər	earthquake
séjour	qalmaq	resident
séjours	qalır	stay
sélection	seçim	selection
sélectionné	seçilib	selected
sélections	seçimlər	selection
sélève	selève	amounts
sémantique	semantika	semantic
sénat	senat	senate
sénateur	senator	senator
sénateurs	senatorlar	senators
sénégal	senegal	senegal
séparation	ayrılıq	break-up
sépare	ayırır	separated
séparent	ayrı	divide
séparer	ayrı	mercy
séparé	ayrı	separated
séparée	ayrı	separated
séparées	ayrılıb	separated
séparés	ayrılıb	split
séquence	ardıcıllıq	sequence
séquences	ardıcıllıqlar	sequences
série	seriyası	series
séries	seriyası	series
sérieusement	ciddi	seriously
sérieux	ciddi	serious
sétablit	qurur	is established
sétaient	idi	had (in the context of this exemple)
sétait	idi	became (in this context)
sétant	olmaq	having
sétend	uzanır	stretches
sétendant	uzanan	extending
sétendent	uzanmaq	extended
séville	sevil	seville
sévère	şiddətli	strict
sévèrement	ciddi şəkildə	severely
sévères	şiddətli	severe
sêtre	olmaq	having
sûr	əmin	sure
sûreté	təhlükəsizlik	security
sœur	bacı	sister
sœurs	bacılar	sisters
t	t	t
tabac	tütün	tabacco
table	masa	table
tableau	rəsm	table
tableaux	rəsmlər	tables
tables	masalar	tables
tablier	önlük	apron
taches	ləkələr	tasks
tactique	taktiki	tactic
tag	etiket	tag
tahiti	taiti	tahiti
taille	ölçüsü	size
tailles	ölçüləri	size
talent	istedad	talent
talents	istedadlar	talents
tandis	isə	whereas
tanger	tanrı	tangier
tant	bu qədər	as
tante	xala	aunt
tantôt	bəzən	some times
tarantino	tarantino	tarantino
tard	gec	late
tardif	gec	late
tardive	gec	late
tardivement	gec	late
taurine	taurin	taurine
taux	dərəcəsi	rate
taxe	vergi	tax
taxes	vergilər	taxes
taylor	taylor	taylor
taïwan	tayvan	taiwan
tchernobyl	çernobıl	tchernobyl
tchèque	çex	czech
tchécoslovaquie	çexoslovakiya	czechoslovakia
te	sən	you
team	komanda	equipe
technique	texniki	technical
techniques	texniki	technical
technologie	texnologiya	technology
technologies	texnologiyalar	technologies
technologique	texnoloji	technology
technologiques	texnoloji	technological
ted	ted	ted
tel	belə	such
television	televiziya	television
telle	belə	such
tellement	bu qədər	so
telles	belə	such
tels	belə	such
temple	məbəd	temple
temples	məbədlər	temples
templiers	templar	knight templar
temporaire	müvəqqəti	temporarily
temporaires	müvəqqəti	temporary
temps	vaxt	time
température	temperatur	temperature
températures	temperatur	temperatures
tempéré	mülayim	temperate
tempête	fırtına	storm
tempêtes	fırtınalar	storms
tenait	keçirildi	held
tenant	tutan	holder
tend	meyl etmək	tend
tendance	trend	trend
tendances	meylləri	trend
tendent	meyl etmək	tend
teneur	məzmunu	content
tenir	tutun	to hold
tennis	tennis	tennis
tension	gərginlik	tension
tensions	gərginlik	tensions
tentation	cazibə	tentation
tentatives	cəhdlər	attempts
tente	çadır	tries
tentent	çalışırlar	attempt
tenter	cəhd	try
tenté	sınanır	attempted
tenu	keçirildi	held
tenue	materialı	held
tenues	kıyafetler	tenues
terme	müddəti	term
termes	şərtləri	termes
terminator	terminator	terminator
termine	bitirmək	ends
terminer	bitirmək	finish
terminologie	terminologiya	terminology
terminé	bitirdi	ended
terminée	üzərində	terminated
terrain	torpaq	ground
terrains	torpaq	terrains
terre	torpaq	earth
terres	torpaq	land
terrestre	dünyəvi	terrestrial
terrestres	yerüstü	terrestrial
terreur	terror	terror
terrible	dəhşətli	dreadful
terrier	teriyer	terrier
territoire	ərazi	territory
territoires	ərazilər	territories
territorial	ərazi	territorial
territoriale	ərazi	territorial
territoriales	ərazi	territorial
terrorisme	terrorizm	terrorism
terroristes	terrorçular	terrorists
terry	terri	terry
tertiaire	üçüncü	tertiary
tesla	tesla	tesla
test	test	test
testament	edəcək	testament
tester	sınamaq	to test
tests	testlər	tests
texas	texaslar	texas
texte	mətn	text
textes	mətnlər	texts
textile	toxuculuq	textile
tf	tf	tf
tgv	tgv	vhs (very high speed train)
th	min	th
thalès	tales	thales
that	ki	that
thaïlande	tayland	thailand
the	the	the
theo	teo	theo
there	orada	there
thermique	termal	themique
thermiques	termal	thermal
thierry	thierry	thierry
this	bu	this
thomas	tomas	thomas
thompson	boğaz	thompson
threat	təhdid	threat
thumb|carte	thumb | xəritə	thumb | map
thumb|left|la	sol	thumlleftlla
thumb|les	baş barmaq | onları	thumbles
thème	tema	themes
thèmes	mövzular	themes
thèse	tezis	thesis
thèses	tezislər	theses
thé	çay	tea
thématique	tematik	thematic
thématiques	tematik	thematic
théologie	ilahiyyat	theology
théorie	nəzəriyyə	theory
théories	nəzəriyyələr	theory
théorique	nəzəri	theoretical
théoriquement	nəzəri cəhətdən	theoretically
théoriques	nəzəri	theoretical
théorème	teoremi	proposition
thérapeutique	terapevtik	therapeutic
thérapeutiques	terapevtik	therapeutic
thérèse	terese	therese
théâtrale	teatr	theatrical
théâtre	teatr	theater
théâtres	teatrlar	theaters
tiennent	tutun	hold
tient	tutmaq	is
tiers	üçüncü	third party
till	qədər	till
tillend	tökmə	tillend
tim	tim	tim
time	vaxt	time
times	dəfə	(newspaper name)
timonier	salam	used both for quartermaster & helmsman
tir	vurdu	shoot
tirage	çap	draw
tire	çəkmək	draw
tirer	vurmaq	drawn
tirs	atışlar	fire
tiré	çəkdi	shoot
tirée	çəkilib	drawn
tissu	parça	tissue
tissus	parçalar	tissue
titanic	titanik	titanic
titre	başlıq	title
titres	başlıqlar	securities
titré	adlı	titled
titulaire	sahibi	holder
tld	tld	tld
tlemcen	tlemcen	tlemcen
tna	tna	tna
todd	todd	todd
toi	sən	you
toile	kətan	web
toiles	kətanlar	paintings
toit	dam	roof
tokyo	tokyo	tokyo
tolkien	tolkian	tolkien
tolérance	dözümlülük	tolerance
tom	tom	tom
tombe	düşür	tomb
tombeau	məzar	tomb
tombent	düşmək	fall
tomber	düşmək	to fall
tombes	qəbirlər	graves
tombé	düşdü	fallen
tome	həcmi	volume
tomes	cildlər	volumes
tommy	tommy	name of a person
ton	sənin	tone
tony	tony	tony
top	üst	top
toponymie	toponimiya	geographical names
torah	torah	torah
toronto	toronto	toronto
tort	səhv	wrong
torture	işgəncə	torture
total	cəmi	total
totale	cəmi	total
totalement	tamamilə	completely
totalité	hamısı	whole
touchant	toxunan	affecting
touche	toxunmaq	receive
touchent	toxunmaq	touch
toucher	toxunmaq	touch
touché	toxundu	reached
touchée	toxundu	affected
touchés	təsirləndi	affected
toujours	həmişə	always
toulouse	tuluza	toulouse
tour	qüllə	tour
tourisme	turizm	tourism
touristes	turistlər	tourists
touristique	turist	tourist
touristiques	turist	tourist
tournage	çəkilişi	filming
tournant	dönüş	at the turn of
tourne	dönmək	turns
tournent	dönmək	turn
tourner	dönmək	turn
tournoi	turnir	tournament
tournois	turnirlər	tournaments
tourné	çevrildi	turned
tournée	tur	tour
tournées	turlar	tours
tournés	çevrildi	shot
tours	qüllələr	towers
tous	hamısı	all
toussaint	bütün müqəddəslər	all saint's day
tout	hamısı	all
toute	hamısı	all
toutefois	lakin	nevertheless
toutes	hamısı	all
toux	öskürək	cough
tower	qüllə	tower
townshend	qəsəbə	guitarist pete townshend
toxiques	zəhərli	toxic
trace	iz	trace
traces	izləri	track
traction	dartma	traction
tracé	track	route
trad	ticarət	trad
trade	ticarət	trade
tradition	ənənə	tradition
traditionnel	ənənəvi	traditional
traditionnelle	ənənəvi	traditional
traditionnellement	ənənəvi olaraq	traditionally
traditionnelles	ənənəvi	traditional
traditionnels	ənənəvi	traditional
traditions	adətləri	traditions
traduction	tərcümə	translation
traductions	tərcümələr	translations
traduire	tərcümə edin	translation
traduit	tərcümə olunub	translated
traduits	tərcümə olunub	translated
trafic	trafik	traffic
tragique	faciəli	tragical
tragédie	faciə	tragedy
tragédies	faciələr	tragedies
trahison	xəyanət	betrayal
train	qatar	en train de = in the process of
trains	qatarlar	trains
trait	xasiyyət	feature, stroke, characteristic
traitant	məşğul olur	dealing
traite	süd verən	deals
traitement	emal	treatment
traitements	müalicə	treatments
traitent	proses	treat  (as ill treat in that context)
traiter	müalicə edin	to accord
traits	xüsusiyyətləri	features
traité	müalicə olunur	treaty
traités	müqavilələr	treaties
trame	toxumaq	weft
tramway	küçə	streetcar
tranche	dilim	slice
transcription	transkripsiyası	transcription
transept	transept	transept
transfert	köçürmə	transfer
transferts	köçürmələri	transfer
transformation	çevrilmə	transformation
transformations	çevrilmələr	transformations
transforme	çevirir	transforms
transformer	çevirmək	convert
transformé	çevrildi	transformed
transformée	çevrildi	converted
transféré	köçürülmüşdür	transfered
transit	tranzit	transit
transition	keçid	transition
transmet	ötürür	transmit
transmettre	keçmək	transmit
transmis	ötürülür	transmitted
transmise	ötürülür	transmitted
transmission	ötürülməsi	transmission
transport	nəqliyyat	transportation
transporter	aparmaq	convey
transports	nəqliyyat	transport
transylvanie	transilvaniya	transylvania
travail	işləmək	work
travaillait	işləyirdi	worked
travaillant	işləyir	working
travaille	işləyir	work
travaillent	işləmək	work
travailler	işləmək	work
travailleurs	işçilər	workers
travaillé	işləyib	worked
travaux	işləyir	works
travers	vasitəsilə	through
traverse	xaç	crosses
traversent	xaç	cross
traverser	xaç	cross
traversé	keçdi	crossing
traversée	keçid	crossed
treize	on üç	thirteen
