$ tỉ	milijardu dolara	$ billion
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambique	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	gospođa	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	kupiti	buy
much	mnogo	much
muhammad	muhammed	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	ebanovina	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	željeti	a large number; thousands (adj.)
muối	soli	salt
muốn	željeti	want
muống	kašika	"(term should be ""rau muống"") water spinach (n.)"
muồi	kasno	ripe
muỗi	komarac	mosquito
muỗng	kašika	spoon
muội	sestra	confusion
muộn	kasno	late (adv.)
myanma	mjanmar	the country of myanmar
myanmar	mjanmar	(proper noun) myanmar
myspace	moj prostor	(proper noun) myspace
mà	ali	also
mài	brušenje	tomorrow
màn	ekran	curtain (n.)
mành	roletne	a bamboo screen (n.)
mào	greben	a comb or crest, as in the body part of a bird
màu	boja	color
mày	ti	sew
má	majke	cheek
mác	etiketa	a name (marx)
mách	savjeta	tell
máclênin	marxelenin	marxist-leninist
mái	krov	"entire term should be ""thoai mai""; means ""comfortable"""
mát	cool	cool
máu	krv	blood
máy	mašina	a machine (n.)
mâm	pladanj	tray
mân	krunica	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	kontradiktorno	contradiction
mây	oblak	cloud
mã	kod	"(term should be ""la mã"") roman (adj.)"
mãi	zauvek	forever (adv.)
mãimại	kod	commerce
mãn	samozadovoljavajući	satisfy
mãnh	jak	intense
mão	krunice	cat
mè	susam	sesame
mèo	mačka	cat (n.)
mé	mé	a border
méo	iskrivljena	alter
mép	ivica	edge
mét	metar	meter
mênh	zapanjujuće	vast
mêtan	metan	methane
mì	rezanci	wheat
mình	sebe	me
mía	trske	sugar cane (n.)
mò	namrštio se	to grope (v.)
mòn	staza	trail
móc	kuka	"(term should be ""máy móc"") machinery (n.)"
món	hrana	dish
mô	tkiva	mo
môi	svaki	lip
môn	subjekti	anus
mông	stražnjica	mongolia
mônôxít	monoksid	monoxide
môt	jedan	"(term should be ""một"") one (n.)"
môtô	motocikl	motorcycle
mù	slep	mu
mùa	sezona	season
mùi	miris	smell
múa	ples	dance
mút	sisanje	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	izdanci bambusa	bamboo shoot (n.)
mĩ	amerika	america
mũ	šešir	cap
mũi	nosa	nose
mơ	san	vague
mơn	šape	caress
mưa	kiša	rain
mưu	lukav	"(should be ""tham mưu"") advisors"
mươi	pedeset	tens
mương	odvod	ditch
mướn	najam	hire
mướt	svilenkasta	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	posuditi	borrow
mượt	glatka	glossy (adj.)
mạc	pustinja	"(should be ""mộc mạc"") simple or natural"
mạch	sklop	vessel
mại	trgovina	commerce
mạn	strana	romantic
mạnh	jak	strong
mạo	članak	"(should be ""mạo hiểm"") to brave danger"
mạt	grinje	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	grobovi	tomb or grave (n.)
mải	zauzeto	absorbedly
mảng	niz	genre
mảnh	komad	piece
mất	izgubljen	lose
mấu	karticu	key
mấy	nekoliko	any
mầm	klica	kindergarten
mầu	boja	color
mẩu	komada	piece
mận	šljiva	plum
mập	debeo	fat
mật	dušo	intimate
mậu	trgovina	mau
mắc	skupo	get
mắm	riblji umak	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	sretan	"(term should be ""may mắn"") fortunate (adj.)"
mắng	prigovarati	scold
mắt	oko	eye
mặc	trošenje	wear
mặn	slani	salt
mặt	lice	face
mẹ	mama	mother (n.)
mẹo	savjeta	trick
mẻ	serija	cool
mẽ	jak	strong
mến	draga	to adore or like greatly (v.)
mề	gizzard	locket
mềm	meko	soft
mệnh	sudbina	revolution
mệt	umorna	tired
mỉ	pažljiv	meticulous
mỉa	sarkazam	ironic
mỉm	osmijeh	smile
mịch	sranje	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	glatka	smooth
mịt	njuškati	dim
mọc	raste	to grow (v.)
mọi	svaki	every
mọn	sitničav	lowly
mỏ	mine	mine
mỏi	umorna	tired (adj.)
mỏng	tanka	thin
mốc	mora	border
mối	termit	relationship
mốt	moda	fashion or style (n.)
mồ	grob	"(term should be ""mồ hôi"") sweat (n.)"
mồi	mamac	bait (n.)
mổ	operacija	to dissect or perform surgery (v.)
mỗi	svaki	every
mộ	grobnica	admire
mộc	stolarija	simple
mộng	san	dream
một	jedan	one
mới	novo	new (adj.)
mờ	nejasan	dim
mời	pozvati	invite
mở	otvorena	open
mỡ	debeo	fat or grease (n.)
mục	stavku	purpose
mụn	akne	pimple
mức	nivoa	level
mứt	džem	preserve
mừng	drago mi je	to be happy
mửa	povraćanje	to vomit (v.)
mực	mastilo	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	rezanci	noodles (n.)
mỹ	amerika	america
mỹcông	amerika	my private
na	n / a	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	jelen	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	muško	male
nambắc	sjever	nambac
namibia	namibija	namibia
namnam	nam nam	male-male
namno	namno	nammo
nancy	njezi	nancy, as in nancy pelosi
nang	folikul	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	očnjaci	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	natrijuma	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	od sada	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	sidro	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	neto	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	mreže	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	neverland	neverland
newcastle	newcastle	newcastle
newspaper	novine	newspaper
newton	newton	newton
newtons	newtons	(proper noun) newton's
next	sljedeći	next
nga	rusija	russia
ngai	tron	crown
ngang	horizontalno	horizontal
ngao	školjka	clam (n.)
ngay	tačno	even
nghe	slušaj	hear
nghinh	nghinh	welcome
nghiêm	jako	serious
nghiêng	nagnut	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	tikvice	crush
nghiễm	šteta	serious
nghiệm	iskustvo	experiment
nghiện	ovisni	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	mračno	adverse
nghành	industrija	faculty
nghèo	siromašan	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	dobrodošli	support
nghìn	hiljadu	thousand
nghĩ	misli	think
nghĩa	znači	meaning
nghẽn	zagušenja	jam
nghếch	glasno	stupid
nghề	profesija	career
nghệquận	umjetnost	art district
nghỉ	odmor	relaxation
nghị	preporuke	think
ngo	sjajan	ngo
ngoan	dobar dečko	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	ukusno	delicious
ngoài	napolje	outside of
ngoại	strani	external
ngoạn	oduzimajući dah	spectacular
ngoặc	zagrade	bracket
ngoặt	skrenuti	landmark
ngu	spavati	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	originalni	reason
nguyền	kletva	curse
nguyện	zavjet	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	mesec	moon
nguôi	smirujuće	fade away
nguồn	izvor	source
nguời	ljudi	people
nguỵ	budale	camouflage
ngà	bjelokosti	russian
ngàn	hiljadu	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	ogranak	sector
ngào	slatko	sweet
ngày	dan	day
ngách	niša	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	glupo	chinese ethnic group living in the vietnamese highlands near the china border
ngán	dosadno	to be tired of
ngáng	ngáng	stop
ngát	nesvijest	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	banka	money
ngây	prazno	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	korijander	coriander
ngó	pogledaj	to look (v.)
ngói	crijep	tile or shingle
ngón	prst	a finger (n.)
ngót	skupljanje	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	jezik	manifesto
ngông	guska	eccentric
ngõ	traka	lane
ngùi	miris	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	pretinac	prevent
ngũ	spavati	rank
ngơ	ignoriran	ignored (adj.)
ngơi	počivaj	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	fisher	fishermen
ngưng	stani	stop
ngưu	ox	buffalo
ngươi	ti	an ancient form of address equivalent to thou or thee (n.)
người	ljudi	people
ngưỡng	prag	religious
ngược	preokrenuti	opposite
ngạc	iznenađen	surprise
ngạch	čin	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	banka	bank
ngạnh	bodljike	self-willed
ngạo	zamišljen	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	asfiksija	stuffy
ngấm	infuziran	draw
ngất	onesviješten	unconscious
ngầm	implicitno	underground
ngần	oklijevaj	hesitate
ngẩn	omamljen	froze
ngẫm	razmislite	think
ngẫu	nasumično	ngẫu nhiên= random
ngậm	pastile	keep
ngập	poplavljen	flood
ngắm	razmisliti	to contemplate or look admiringly at something (v.)
ngắn	kratko	short
ngặt	zbijeno	strict
ngọ	podne	horse
ngọc	dragulj	pearl
ngọn	vrh	top
ngọt	slatko	sweet (adj.)
ngồi	sit	sit
ngộ	prosvetljenje	ngo
ngột	iznenada	sudden
ngớ	blesavo	silly
ngời	ljudi	bright
ngỡ	misao	surprised
ngợi	pohvale	praise
ngợm	nestašan	naughty
ngục	zatvor	dungeon
ngụm	gutljaj	sip
ngụy	wei	puppet
ngủ	spavati	sleep
ngủi	kratko	"(should be ""ngắn ngủi"") short-lived"
ngứa	svrbež	itchy
ngừ	tunjevina	tuna
ngừa	sprečiti	prevent
ngừng	prestati	to cease (v.)
ngửa	suoči	supine
ngửi	miris	to smell
ngữ	govor	term
ngự	prebivati	defend
ngựa	konj	horse
ngực	prsa	chest
nha	stomatologa	dental
nhakẻ	dijete	nha-ke
nham	lava	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	tamjan	incense
nhanh	brzo	fast
nhat	nhat	nhat
nhen	ponovo zapalio	rekindle
nhi	deca	junior
nhiên	kurs	tuy nhiên= however
nhiêu	mnogo	how many
nhiều	mnogo	numerous
nhiễm	inficiran	infect
nhiễu	šum	noise
nhiệm	dužnost	task
nhiệt	toplina	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	kao	demand
nhuận	profit	leap year
nhuệ	nhue	elite
nhuộm	boja	dye
nhàn	mirovanje	leisure
nhàng	nježno	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	mijesiti	to fall headlong
nhác	labav	coward
nhái	klonovi	illegal copy
nhánh	ogranak	branch
nháp	nacrt	draft
nháy	treperi	to flash or blink (v.)
nhâm	uranjanje	leap
nhã	ukusna	"(term should be ""thanh nhã"") elegant"
nhãn	etiketa	"(term should be ""gán nhãn"") to affix a label"
nhét	staviti	put
nhì	sekunda	second (adj.)
nhìn	pogledaj	to look (v.)
nhí	ćaskanje	children
nhím	jež	porcupine
nhòm	pogledaj	to peep (v.)
nhóc	dijete	brat
nhóm	grupa	group (n.)
nhô	strši	emerge
nhôm	aluminijum	aluminum (n.)
nhúng	dip	embed
nhút	stidljiv	shy
nhăn	naborana	wrinkle
nhĩ	atrijalno	turkey
nhũ	emulzija	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	korupcija	bribery
nhơn	množiti	nhon
như	kao	like
nhưng	ali	but
nhương	pljuvačka	(proper noun) vietnamese first name
nhường	ustupio mjesto	yield
nhưỡng	masna	soil
nhược	slabost	weak
nhượng	koncesije	concession
nhạ	nhạ	nha
nhạc	muzika	music
nhạn	progutati	bird
nhạo	ruganje	ridicule
nhạt	blijed	light
nhạy	osetljiv	sensitive
nhảy	ples	jump
nhấc	lift	lift
nhấm	sipanje	rodent
nhấn	pritiskom	to press (v.)
nhất	najbolje	most
nhầm	pogrešno	misunderstand
nhầy	ljigav	glutinous
nhẫn	prstenovi	patient
nhậm	žigosano	inaugurate
nhập	uvoz	penetrate
nhậu	piće	drink
nhậy	osetljiv	sensitive
nhắc	brz	to remind (v.)
nhắm	cilj	aim
nhắn	poruka	message
nhằm	ciljajući	for the purpose of (adv.)
nhẵn	glatka	smooth
nhặt	birati	pickup
nhẹ	svjetlost	light
nhẹn	okretni	nhanh nhẹn= fast/nimble
nhị	stamen	sensitive
nhịn	uzdržati se	fasting
nhọ	nesretan	smear
nhọn	oštar	sharp (adj.)
nhỏ	mala	small
nhỏ|cây	malo | drvo	small|tree
nhỏ|một	mali | jedan	small | one
nhỏ|phải|	mali | desno |	small|right
nhỏ|phải|px|	mali | desni | px |	small | have | px |
nhỏ|phải|px|bức	male | desne | px | slike	grape / fade / px / buc
nhỏ|phải|px|cây	malo | desno | px | stablo	px spicy grape fade
nhỏ|phải|px|khu	mala | desna | px | zona	small|right|px|area
nhỏ|phải|px|michael	mali | desni | px | michael	small|right|px|michael
nhỏ|phải|px|máy	mala | desna | px | mašina	small | right|px|machine
nhỏ|phải|px|một	mali | desni | px | jedan	small|right|px|one
nhỏ|phải|px|quân	mali | desno | px | sila	small|right|px|army
nhỏ|px|	mali | px |	small
nhỏ|px|các	mali | px |	small
nhỏ|px|phải|kiến	mali | px | desni | mrav	small | px | right | patience
nhỏ|quân	mala | sila	small|army
nhỏ|trái|px|máy	mali | lijevi | px | stroj	small|left|px|plane
nhỏ|tượng	male statue	small|statue
nhốt	zaključana	confine
nhồi	punjene	cram
nhổ	iskopati	uproot
nhộn	urnebesan	busy
nhớ	um	remember
nhớt	viskozan	viscid
nhờ	hvala	by
nhờn	masna	multiplication
nhở	podsetiti	remind
nhụ	pinča	nhu
nhục	poniženi	shame
nhủ	podsetnici	needs
nhức	boli	pain
nhứt	prvo	first (n.)
nhừ	mesnat	tender
những	ove	the
nhựa	plastični	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nikaragva	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nikoli	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigerija	nigeria
nikel	nikel	nickel
niken	nikal	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	nil	nile
nile	nile	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	sigurnost	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	nitrogen	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	godine	youth
niết	niet	nirvana
niềm	zadovoljstvo	trust
niệm	pažljivost	concept
niệu	diureza	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noah	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	reći	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	mlad	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	norman	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	norway	norway
nou	nou	nou
novak	novak	novak
now	sad	now
nowc	nowc	nowc
noãn	ovula	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubia	nubia
number	broj	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	feed	feed
nuối	progutati	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	progutati	to swallow (v.)
nuớc	voda	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	n / a	na
nài	insistirati	pleading
nàn	žalili se	poor
nành	soja	soy
nào	hajde	would
này	ovo	this
ná	n / a	a crossbow (n.)
nách	pazuha	underarm (n.)
náo	uzrujano	riot
nát	zdrobljena	ruin
náu	sakriti	hide
nâng	uzdići	raise
nâu	smeđa	brown
nã	n / a	to track down (v.)
não	mozak	brain
né	dodge	dodge
ném	baciti	to throw (v.)
nén	komprimovani	compress
nét	udaraca	feature
nê	ne	ne
nên	svijećnjak	should or ought to
nêu	reci	mention
nòi	trka	race
nòng	bačvasti	barrel
nói	govoriti	to say or speak (v.)
nón	šešir	cone
nóng	vruće	hot
nô	rob	slave
nôbita	tobita	nobita
nôi	krevetac	cradle
nôm	nôm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	povraćati	vomit
nông	plitko	farmer
nõn	piling	peeled
nùng	nung	nung
núm	dugme	nipple
núp	sakriti	hide
nút	čvor	button
năm	godine	year
năn	pokajnik	"(term should be ""ăn năn"") remorse (n.)"
năng	snage	"(term should be ""khả năng"") ability (n.)"
nơi	mesto	a place
nơtrino	neutino	neutrino
nước	država	country
nước 	država	water
nướng	na roštilju	grill
nǎm	nǎm	year
nạ	maska	mask
nạc	mršav	lean (adj.)
nại	žale	complain
nạn	nevolja	a disaster (n.)
nạo	curettage	to scrape (v.)
nạp	napunjeno	tribute
nản	obeshrabreni	depressed
nảy	odskakanje	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	štucanje	a hiccup (n.)
nấp	sakriti	hide
nấu	kuhati	cook
nấy	ovo	this
nần	gurnuti	debt
nầy	ovo	this
nẩy	odskakanje	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n sunce	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	vruće	busy
nắm	izdržati	to grasp or hold (v.)
nắng	sunčan	sunlight
nắp	poklopac	a lid or cover (n.)
nằm	laž	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonimno	heavy
nặn	stisnuti	mould
nặng	teška	heavy
nẻo	drugi	turn
nếm	ukusa	taste
nến	svijeća	candle
nếp	ljepljiv	sticky rice (n.)
nếu	ako	if (adv.)
nề	zidanje	severe
nể	poštovanje	respect
nện	udaranje	ram
nỉ	osećao	beg
nịnh	laskavi	flatter
nọ	drugi	the other
nọc	otrov	tadpole
nỏ	samostrel	a crossbow (n.)
nối	spojeni	connection
nốt	bilješka	to finish off (v.)
nồi	lonac	pot
nồm	vrat	humid (adj.)
nồng	vruće	heavy
nổ	eksplozivnim	explode
nổi	pluta	nổi tiếng= famous
nỗ	pokušaj	affort
nỗi	da	state
nộ	gnjev	anger
nội	interne	on the paternal side (adj.)
nộn	nadjev	non
nộp	podneseno	submit
nới	otpustiti	ease
nở	cvjetanje	bloom
nỡ	od srca	do you have a heart to
nợ	na zajam	debt
nụy	tučak	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	pluta	a kind of bamboo (n.)
nứt	napukao	to crack
nửa	polovina	haft
nữa	opet	moreover
oahu	oahu	(proper noun) oahu
oai	strah	heroic
oakland	oakland	oakland
oan	nepravde	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	oktobar	(proper noun) october
oda	o da	oda
oder	oder	oder
odyssey	odiseja	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	oficir	officer
officers	oficiri	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olimpus	olympus
om	brušen	to simmer
omar	omar	a name
ong	pčela	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	orgulje	organ
oricon	oricon	oricon
origin	porijeklo	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossetia	(proper noun) ossetia
oswald	oswald	oswald
other	drugo	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	otoman	(proper noun) ottoman, as in the ottoman empire
outstanding	izvanredan	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	kiseonik	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	ogorčenost	"(term should be ""oán than"") to complain or whine"
oát	vati	a watt (n.)
oản	oàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistanu	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestine	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	tava	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	meke korice	paperback
papua	papua	papua
paraguay	paragvaj	(proper noun) paraguay
pari	pari	pari
park	park	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	patriota	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	vršnjaci	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	novčić	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	perry	(proper noun) perry, as in elizabeth perry
persephone	persefon	presephone
pershing	pershing	pershing
persian	perzijski	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	mešovito	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	kočnica	expose
phao	plutaju	float
phaolô	paul	st. paul, the apostle
pharaoh	faraon	pharaoh
pharaon	faraon	pharaoh
phay	glodanje	mill
phe	frakcija	faction
phen	fen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	filipini	(proper noun) philippines
phillip	filip	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	filter	coffee filter
phineas	phineas	(proper noun) phineas
phiên	sesija	trial
phiêu	avantura	adventurous
phiếm	tračevi	gossip
phiến	oštrica	"(should be ""nha phiến"") opium"
phiện	opijum	opium
phiệt	fiet	militarism
phnom	phnom	phnom
phnôm	fomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	feniks	(proper noun) phoenix
phong	soba	movement
php	php	php
phrygian	frigijski	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	nepokriven	expose
phun	sprej	to spray or spit (v.)
phà	trajekt	ferry
phàm	smrtno	superhuman
phàn	žale	complain
phá	razbijanje	destroy
phác	skica	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	tukli	manner (n.)
phái	sekta	a party
phán	sudija	judge
pháo	top	artillery
pháp	francuska	method
phát	emitovanje	develop
phèn	alum	alum
phèo	phèo	organs
phép	dozvoljeno	permit
phê	ustati	"(term should be ""phê bình"") to criticize (v.)"
phêrô	peter	peter
phì	uvećana	non-
phình	ispupčenje	bulge
phí	naplatiti	non-
phía	strana	side
phích	termos	a flask (n.)
phím	ključ	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	soba	office
phó	zamenik	second
phóng	lansiranje	to launch (v.)
phô	grad	display
phôi	embryo	embryo
phông	font	font
phùng	puff	phung
phúc	blagoslovljen	good fortune (n.)
phúclộc	blagoslov	phuc-loc
phún	kvrga	"(term should be ""lún phún"") sparse (adj.)"
phúng	šteta	satire
phút	minutu	a minute (n.)
phăn	bijes	phan
phăng	phang	knock
phương	phuong	direction
phước	blagoslov	luck
phường	ward	ward
phượng	phoenix	phoenix
phạn	sanskrit	sanskrit
phạt	kazniti	punish
phả	rodovnik	pedigree
phải	tačno	must
phải 	tačno	right
phản	brojač	reaction
phảng	stan	subtle
phần	deo	part
phẩm	proizvodi	food
phẩy	zarez	a comma
phẫn	ogorčen	wrathful
phẫu	operacija	surgery
phận	sudbina	part
phật	buda	buddhist
phẳng	avion	flat (adj.)
phế	otpad	dismiss
phết	širenje	to spread or smear (v.)
phỉ	lješnjak	defame
phỏng	spali	interview
phố	grad	city
phối	koordinata	coordinate
phốt	fosfat	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	naduvana	to swell (v.)
phổ	spektar	popular
phổi	pluća	lung
phộng	kikiriki	peanut
phới	plutaju	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	juha od rezanci	pho
phục	odjeća	convincing
phụng	služiti	worship
phụt	puff	minute
phủ	pokriveno	government
phức	kompleks	complex
picchu	picchu	a name
piccolo	piccolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	štuka	pike
pin	bateriju	battery
pinlus	pinlus	pinlus
pioneer	pionir	pioneer
pipes	cevi	pipes
pisa	pisa	a name
piston	klip	piston
pitch	smola	pitch
pius	pius	pius
plaaf	plaaf	plaaf
plan	plan	plan
plasma	plazma	plasma
plate	tanjur	plate
plato	plato	plato
platon	platon	platon
player	igrača	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	plus	plus
pluto	pluto	pluto
pm	pm	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	poljska	poland
pollack	pollack	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	lonac	pot
potsdam	potsdam	(proper noun) potsdam
potter	lončar	(proper noun) potter, as in harry potter
