+	+ +	plus sign
อุทยานแห่งชาติทุ่งแสลงหลวง	থুং সালাং লুয়াং জাতীয় উদ্যান	thung salaeng luang national park
อุทยานแห่งชาติธารโบกขรณี	থান বোক খোরানী জাতীয় উদ্যান	tarabokorani national preserve area
อุทยานแห่งชาติน้ำตกสี่ขีด	সি খিত জলপ্রপাত জাতীয় উদ্যান	namtoksekeed national park
อุทยานแห่งชาติน้ำพอง	নাম ফং জাতীয় উদ্যান	nam phong national park
อุทยานแห่งชาติภูผาเหล็ก	আয়রন মাউন্টেন জাতীয় উদ্যান	phupalek national park
อุทยานแห่งชาติภูพาน	ফু ফান জাতীয় উদ্যান	phu phan national park
อุทยานแห่งชาติภูสวนทราย	ফু সুয়ান সাঁই জাতীয় উদ্যান	pusuansai national preserve
อุทยานแห่งชาติภูสอยดาว	ফু সোই দাও জাতীয় উদ্যান	soi dao mountain preserve
อุทยานแห่งชาติภูเรือ	ফু রুয়া জাতীয় উদ্যান	national park pu reau
อุทยานแห่งชาติภูเวียง	ফু ফুয়াং জাতীয় উদ্যান	phu wiang national park
อุทยานแห่งชาติภูแลนคา	ফুলঙ্কা জাতীয় উদ্যান	phu laenkha national park
อุทยานแห่งชาติหาดนพรัตน์ธาราหมู่เกาะพีพี	নোপফরত থারা বিচ জাতীয় উদ্যান, ফি ফি দ্বীপপুঞ্জ	hat nopparatthara-mu ko phi phi national park
อุทยานแห่งชาติเขาหลวง	খাও লুয়াং জাতীয় উদ্যান	khao luang national park
อุทยานแห่งชาติไทรทอง	সাঁই থং জাতীয় উদ্যান	sai thong national preserve area
อุทุมพรพิสัย	উথুমফোন ফিসাই	utompisai - an area in thai province
อุบล	উবন	ubol - a place in thailand
อุปกรณ์	উপকরণ	instrument
อุปกรณ์คอมพิวเตอร์	কম্পিউটারের যন্ত্রপাতি	computer hardware
อุปนิสัย	চরিত্র	manners
อุภัยราศี	রাশিচক্রকে ক্ষমা করুন	ambivert zodiac
อุรุกวัย	উরুগুয়ে	urookwai - a location
อุเทน	uthen	utain - a male's name
อู	ou	u (a vowel)
อู๋	উ	auu (first name)
อเมริกัน	মার্কিন	american
อเมริกา	আমেরিকা	america, usa
อเมริกาเหนือ	উত্তর আমেরিকা	north america
อเล็กซานเดอร์	আলেকজান্ডার	alexander
อเล็กซ์	অ্যালেক্স	alex
อโลหะ	অধাতু	nonmetal
อ่อนเพลีย	ক্লান্ত	fatigue
อ่าน	পড়া	read
อ่าวลึก	আও লুয়েক	ao luek
อ้างว่า	যে দাবি	claim
อ้างว้าง	জনশূন্য	loneliness
ฮอกกี้	হকিখেলা	hockey
ฮอท	গরম	hot
ฮอฟมัน	হফম্যান	hoofman - a name
ฮอยเกนส์	hogens	huygens
ฮอร์โมน	হরমোন	hormone
ฮอลแลนด์	হল্যান্ড	holland
ฮอลโลว์	ফাঁপা	hollow (as in dead soul)
ฮอว์ค	seahawks	hawk
ฮักบี้	বিদায়	hugby - an album that received many awards
ฮันกึล	হাঙ্গুল	hangeul
ฮัมบูร์ก	হামবুর্গ	hamburg
ฮาจิ	hachi	haji
ฮาตาเกะ	hatake	hatake
ฮานอย	হ্যানয়	hanoi
ฮายาโตะ	hayato আপনার	hayada - a japanese surname
ฮารุกะ	haruka থেকে	haruka - a japanese name
ฮาวาย	হাওয়াই	hawaii
ฮิซาชิ	hisashi	hitachi
ฮิซานะ	hisana	hisana
ฮิตเลอร์	হিটলার	hitler
ฮินาตะ	hinata	hinada - a japanese story
ฮิมาวาริ	himawari	himawari - a japanese surname
ฮิราโกะ	hirako	hirako (japanese name)
ฮิวงะ	hyuga	hewnga - a japanese name from a story
ฮิโซกะ	hisoka	hisoka
ฮิโรชิ	হিরোশি	hiroshi
ฮีชอล	heechul	heechul
ฮุก	হুক	hook
ฮโยยอน	hyoyeon	hyoon - a dancer from japan
ฯพณฯ	মহামান্য	two thai alphabets.  abbreviation that means many things
เกตส์	গেটস	gates
เกตุทัต	ketthat	kettut - a surname
เกมที่	খেলাাটি	game number _________
เกมบุค	খেলা	game book
เกรย์	ধূসর	gray
เกษตรกรรม	কৃষি	farming
เกษตรวิสัย	ক্যাসেট উইসাই	kasetvisai (name of thai district)
เกษมศรี	kasemsri	kasemsri surname
เกอริง	gering	the name 'gerring'
เกอไทต์	গ্যাটে	goethite mineral
เกาหลีใต้	দক্ষিণ কোরিয়া	south korea
เกาะ	দ্বীপ	island
เกาะคา	কাউয়াইয়ের	ko kha
เกาะลูซอน	লুজন দ্বীপ	luzon island
เกาะสุมาตรา	সুমাত্রা	sumatra
เกิด	জন্মেছিল	born
เกิดขึ้นหลังจากมหาวิทยาลัยศรีนครินทรวิโรฒวิทยาเขตต่างๆ	শ্রীনখারিনভাইরোট বিশ্ববিদ্যালয়ের পরে ঘটেছিল	happened after srinakarinviroj university started
เกิดขึ้นเมื่อวันที่	ঘটেছিল	birthdate
เกิดจากการรวมชิ้นส่วนที่	যে অংশগুলি একত্রিত করে তা ঘটে	put together to form something
เกิดจากการรวมตัวของ	এর অন্তর্ভুক্তির ফলে	combination of
เกิดจากเชื้อไวรัส	ভাইরাস দ্বারা সৃষ্ট	occur from the viral agent
เกิดนิมิตร	একটি দৃষ্টি তৈরি করুন	caused a vision/realization
เกียรติ	সম্মান	honour
เกียรติประวัติ	সম্মান	biography
เกียรติศักดิ์	গরিমা	reputation.  kietisak can be a male's name
เกียวโตะ	কিওটো	kyoto
เก็กโค	checco	gecko
เขตคลองสาน	খ্লং সান জেলা	klongsan district
เขตจอมทอง	চম থং জেলা	jomthong area
เขตดุสิต	dusit	khet dusit
เขตที่	জেলা	district number _______
เขตบางกอกใหญ่	ব্যাংকক ইয়ে জেলা	bangkok yai district in thailand
เขตบางซื่อ	বং সু জেলা	bang sue district
เขตบางแค	ব্যাং খা	bang khae district
เขตปทุมวัน	pathumwan	pathum wan district
เขตภาษีเจริญ	ফসি চারোণ জেলা	phasi charoen district
เขตมีนบุรี	মিন বুড়ি জেলা	min buri district
เขตรักษาพันธุ์สัตว์ป่า	বন্যপ্রাণী অভয়ারণ্য	national wildlife preserve
เขตรักษาพันธุ์สัตว์ป่าภูหลวง	ফু লুয়াং বন্যজীবন অভয়ারণ্য	wildlife preserve
เขตลาดกระบัง	লাত ক্রাবাং	lad krabang district
เขตวังทองหลาง	ওয়াং থংলাং জেলা	wang thonglang district
เขตวัฒนา	ওয়াটানা জেলা	watana district
เขตสวนหลวง	সুয়ান লুয়াং জেলা	suan luang district
เขตสาทร	sathon	sathorn area
เขตห้วยขวาง	হুয়াই খোয়াং	huai khwang district
เขตเลือกตั้งที่	যে নগরে পৌরসভা আছে	election area number
เขมนิจ	অস্থায়ী	khemanit
เขากล่าวว่า	সে বলেছিল	he said
เขาทราย	খাও সাই	sand dunes
เขียนว่า	এটা লিখুন	wrote
เขียนโดย	লিখেছেন	written by
เขี้ยวพิษ	বিষাক্ত ফ্যানস	vemon fangs
เขื่อนกิ่วลม	কিও উইন্ড ড্যাম	kio lom dam
เขื่อนป่าสักชลสิทธิ์	পাসক চনলসিত বাঁধ	parsakchonlasit dam
เขื่อนลำปาว	লাম্পাও বাঁধ	lum pao dam
เขื่อนแม่งัดสมบูรณ์ชล	মায়ে এনগাদ সোমবুন চন বাঁধ	mae ngud som bul chol dam in chiangmai
เข็มศิลปวิทยา	সুই আর্টস	khem sinlapawitthaya
เข็มอัปสร	সুই	kem uppasorn - a thai drama
เข่า	হাঁটু	knee
เข้าฉาย	প্রদর্শনী	release date
เข้าชิงไนน์เอ็นเตอร์เทนอวอร์ดส	নয়টি বিনোদন পুরষ্কারের জন্য মনোনীত।	compete in entertaining world
เข้ารอบ	চূড়ান্ত	made it to the next round, selected from the initial round
เข้าเฝ้า	একটি শ্রোতা আছে	visit (word for the king)
เคน	কেন	ken
เคนยา	কেনিয়া	kenya
เคมีไฟฟ้า	তড়িদ্রসায়ন	electrochemistry
เคยสู้กับโกคุเทระ	গোকুদের সাথে লড়াই করতেন	fought with gokudera
เครือข่าย	নেটওয়ার্ক	network
เครื่องขัตติยราชอิสริยาภรณ์อันมีเกียรติคุณรุ่งเรืองยิ่งมหาจักรีบรมราชวงศ์	চক্র রাজবংশের মহান সম্মানের স্মরণে	something used in a thai ceremony - too obscure
เครื่องดีด	আনাড়ীর মত এলোপাতাড়িভাবে বাজান	thai string musical instruments
เครื่องตี	বীট মেশিন	musical intrument
เครื่องบิน	বিমান	airplane
เครื่องปั้นดินเผาและเซรามิค	মৃৎশিল্প এবং সিরামিক	pottery and ceramic
เครื่องยนต์	ইঞ্জিন	engine
เครื่องราชอิสริยาภรณ์	পরিচয়চিহ্ন	the king's accessories for ceremonies
เครื่องราชอิสริยาภรณ์อันเป็นที่เชิดชูยิ่งช้างเผือก	হোয়াইট এলিফ্যান্ট দ্বারা মহিমান্বিত যে চিহ্ন	order of the white elephant
เครื่องราชอิสริยาภรณ์อันเป็นสิริยิ่งรามกีรติ	কিরতির মহিমান্বিতির নিদর্শন	king's accessories
เครื่องราชอิสริยาภรณ์อันเป็นโบราณมงคลนพรัตนราชวราภรณ์	প্রাচীন চিহ্ন ign	the ancient and auspicious order of the nine gems
เครื่องสาย	স্ট্রিংড যন্ত্রসমূহ	string instrument
เครื่องแต่งกาย	পরিচ্ছদ	clothes
เคลลี่	কেলি	kelly
เคอาร์วาย	kryy	k.r.y
เค้ก	পিষ্টক	cake
เงิน	টাকা	money
เงินทุน	পুঁজি	fund
เงินในบัญชีธนาคาร	ব্যাংক অ্যাকাউন্টে টাকা	balance
เงี้ยว	অসরল	shan tribe in northern part of thailand
เจ	জে	j.
เจนี่	janie	jenny
เจมินี่	মিথুনরাশি	gemini
เจริญ	হত্তয়া	charoen
เจสเปอร์	jesper	jasper
เจียะแจ	জাএ জা	nine emperor gods festival
เจี๊ยบ	কুক্কুট	jeab (thai name)
เจเน็ต	জ্যানেট	janet
เจ็ดเทพโจรสลัด	shichibukai	seven warlords of the sea
เจ็บ	কালশিটে	pain
เจ้าของจุกนม	স্তনবৃন্তের মালিক	the owner of the baby's bottle
เจ้าจอม	মনিব	king's concubine
เจ้าฟ้ากรมพระยานริศรานุวัดติวงศ์	প্রিন্স ক্রোম ফ্রেয়া নরিসরানু, টিওয়ং মন্দির	refer to a title of a royal family member - jao fa krom pra ya rissanuwattiwong
เจ้าฟ้ากรมพระยานริศรานุวัติวงศ์	প্রিন্স ক্রোম ফ্রেয়া নরিসর নুওয়াতওয়ং	prince narisara nuvativongse
เจ้าฟ้าจิตรเจริญ	যুবরাজ জিৎচরোয়েন	prince chitcharoen
เจ้าฟ้าภาณุรังษีสว่างวงศ์	প্রিন্স ফানুরংসিসওয়াংওয়ং	prince panuragui bright chestnut.
เจ้าฟ้ามหาวชิราลงกรณ	যুবরাজ মহা ভিজিরালংকর্ন	thailand's crown prince
เจ้าฟ้ามหาวชิรุณหิศ	যুবরাজ মহাওয়াজিরুনহিত	crown prince maha vajirunhis
เจ้าฟ้ามหิดลอดุลยเดช	প্রিন্স মাহিডল আদুল্যাদেজ	prince mahidol adulyadej
เจ้าฟ้ามหิดลอดุลเดช	প্রিন্স মাহিডল আদুল্যাদেজ	a member of thai royalties
เจ้าฟ้าหญิง	রাজকুমারী	princes
เจ้าฟ้าอุบลรัตนราชกัญญา	চাওফা উবোনরতন রাজাগন্য	princess ubon ratana graz's' contract.
เจ้าหนี้การค้า	পরিশোধযোগ্য হিসাব	trade account payable
เจ้าเมือง	রাজ্যপাল	mayor
เจ้าเมืองขุขันธ์	খুখন রাজ্যপাল	a name of the head of the state
เจ้าโลก	কর্তৃত্ব	world conqueror
เฉพาะด้านตะวันออกเฉียงใต้เท่านั้นที่เป็นที่ราบลุ่มแม่น้ำโขง	কেবল দক্ষিণ-পূর্ব দিকে মেকং নদীর অববাহিকা।	only south-east area that is in mekhong plateau
เฉลิม	chalerm	chalerm - a male's name
เฉลิมชัย	chalermchai	chalermchai
เฉลิมชัยเจริญกิจ	ছারলেমচাই চারোণকিট	chalermchaichareonkij
เฉลิมพระเกียรติ	সম্মান	chaloem phra kiat
เฉลิมพล	chalermpol	shalermpol - a surname
เฉลิมแสน	chalermsaen	chaloemsaen
เฉลียว	অনুভবক্ষম	chaleuw - a male's name
เชส	পশ্চাদ্ধাবন	(jp morgan) chase
เชอร์รี่	চেরি	cherry
เชา	চীনা কুকুর	chow -  a chinese name
เชาวน์	বুদ্ধিমত্তা	chow - a name
เชาวราษฎร์	chaowarat	chowarat - the surname of a famous actress
เชิญยิ้ม	হাসুন	smile
เชิดชัย	বশীভূত	"name ""churd-chai"""
เชียงกลาง	চিয়াং ক্লাং	chiang klang
เชียงของ	chiangkhong	chiang khong
เชียงดาว	চিয়াং দাও	chiang dao
เชียงปุม	চিয়াং পাম	chiang poom - area in thailand
เชียงยืน	চিয়াং ইউয়েন	chiang yuen
เชียงราย	চিয়াং রাই	chiang rai
เชียงใหม่	চিয়াং মাই	chiang mai
เชี่ยววงศ์กุล	chiewwongkun	chiaowongkul
เชื่อมต่อกับรถไฟฟ้ามหานคร	এমআরটি-র সাথে সংযুক্ত	connect with skytrain
เชื่อมแม่น้ำท่าจีน	থ চিন চিন নদী সংযুক্ত করুন।	confluence to the ta jean river
เชื้อชาติ	জাতি	helping the country
เชื้อรา	ছত্রাক	fungus
เช็ค	চেক	check
เช่นกัน	যেমন	as well
เช่นเดียวกัน	অনুরূপভাবে	similar to
เช้ามืดวันที่	দিনের ভোর	in dawn of
เช้าวันรุ่งขึ้น	পরের সকালে	next morning
เซกิ	seki থেকে	seki
เซน	জেন	saint
เซนทอร์	কল্পিত জীব	centaur
เซบาสเตียน	সেবাস্টিয়ান	sebastian
เซฟ	সংরক্ষণ	save
เซลล์	কোষ	cell
เซสติโม	seto	settimo
เซอร์	জনাব	sir
เซอร์วิส	সেবা	service
เซอร์เบีย	সার্বিয়া	serbia
เซอวิวาสแตติน	cervivastin	cerivastatin - drug
เซโรกัชเชอร์	সেরো কুচার	sero gusher - a type of weapon
เซโรนอส	seronos	zeronos
เซโรไลเนอร์	seroliner	seroliner
เซ็กส์	লিঙ্গ	sex
เซ็นทรัล	মধ্য	central - department stores in thailand
เซ็นทารา	centara	centara
เซ็นเซอร์	সেন্সর	sensor
เณร	নবদীক্ষিত ব্যক্তি	samanera
เดคลิเนชัน	decloration	declination
เดชา	dacha	decha
เดธโน้ต	মৃত্যুর আগে লেখা চিঠি	death note - a mysterious japanese cartoon
เดนกัชเชอร์	denkucher	den gusher - a weapon in japanese movies
เดนโอ	ডেন ও	den-o
เดนโอเบลท์	denobelt	den-o belt
เดย์	দিন	day
เดอะซิมส์	সিম &#39;স খেলাটি	the sims
เดอะฮาเดส	হেডস	the hades
เดอะฮาเดสแชปเตอร์	হেডিস অধ্যায়	the hades chapter
เดิม	পুরাতন	at first
เดิมชื่อ	পূর্বে	former name
เดิมที	মূলত	at first
เดิมเรียกว่า	পূর্বে হিসাবে পরিচিত	formerly known as
เดียวกัน	একই	same
เดือดทะลุจุดศูนย์	কেন্দ্র দিয়ে ফুটন্ত	zero point breakthrough
เดือนกุมภาพันธ์	ফেব্রুয়ারি	february
เดือนตุลาคม	অক্টোবর	october
เดือนตุลาคมมีฝนตกชุกที่สุด	অক্টোবর সবচেয়ে বৃষ্টিপাত।	highest amount of rainfall in october
เดือนธันวาคม	ডিসেম্বর	december
เดือนมกราคม	জানুয়ারী	january
เดือนมิถุนายน	জুন	june
เดือนอ้าย	চন্দ্র মাস	first lunar month
เด็กหญิงอายุ	বুড়ো মেয়ে	the girl's age
เด็กและเยาวชน	শিশু এবং তারুণ্য	children and youth
เต่า	কচ্ছপ	tao (first name)
เต๋อ	প্রতি	ter
เถรวาท	মতবাদ	buddha's teaching
เทคนิคอิลลูชั่น	ইলিউশন টেকনিক	technique illusion
เทควันโด้	টেকউন্ডো	tai kwon do
เทคโนโลยี	প্রযুক্তি	technology
เทคโนโลยีสารสนเทศ	তথ্য প্রযুক্তি	san son tej techonology
เทนนิส	টেনিস	tennis
เทนโจอิน	tenjo-ইন	tenjoin - a character in a japanese story
เทพพิทักษ์	theppitak	theppitak
เทพมรณะ	মৃত্যুর দেবতা	bleach
เทพหัสดิน	স্বর্গের godশ্বর	tephussadin (a surname)
เทพอานูบิส	anubis	anubis
เทพอาเตน	অ্যাথেন্স	aten
เทพีเธมิส	দেবী	themis
เทริโอ	therio	terio - surname of a singer
เทวดา	ফেরেশতা	angel
เทวรูป	প্রতিমা	graven image
เทศบาล	পৌরসভা	municipality
เทศบาลนครขอนแก่น	খন কাenন পৌরসভা	khon khan public works
เทศบาลนครนครราชสีมา	নাখন রতচসীমা	nakorn rachasrima province public work
เทศบาลนครนครศรีธรรมราช	নাখোঁ সি ঠাম্মারত	nakorn sri thamarat city public works
เทศบาลนครเชียงราย	চিয়াং রাই	chiang rai province public works
เทศบาลนครเชียงใหม่	চিয়াং মাই পৌরসভা	chiang mai municipality
เทศบาลเมืองชัยภูมิ	ছাইয়াফুম পৌরসভা	mueang chaiyaphum
เทศบาลเมืองบุรีรัมย์	buriram	bureerum public works
เทศบาลเมืองมหาสารคาม	মহা সরখম পৌরসভা	thesaban mueang maha sarakham
เทศบาลเมืองมุกดาหาร	মুকদহন পৌরসভা	mookdahan public works
เทศบาลเมืองสกลนคร	সাকন নাখন পৌরসভা	municipality of sakonnakon
เทศบาลเมืองหนองคาย	নং খাই পৌরসভা	nong khai municipality
เทศบาลเมืองหนองบัวลำภู	নং বুয়া লাম্পু টাউন পৌরসভা	nong bua lam phu town municipality
เทศวิศาล	অকপট	tasavisakal - a surname
เทิดศักดิ์	সম্মান	therdsak
เทียนทอง	সোনার মোমবাতি	tientong - a male's name
เทียนเงิน	রৌপ্য মোমবাতি	tienngern
เทียนโพธิ์สุวรรณ	থিয়ান ফো সুওয়ান	tianphosuwan (thai last name)
เทเบิลเทนนิส	টেবিল টেনিস	table tennis
เทโรศาสน	তেরো সাসানা	terosat football club
เท็ดดี้	টেডি	teddy
เท็นเท็น	দশ দশ	tin-tin
เท่ง	তেং	teng (first name)
เท่านั้น	কেবল	only
เธคุนุ	সমর্থন	dhekunu
เธรซ	থ্রেস	thrace - an area in greece
เธอกับฉัน	তুমি আর আমি	you and i
เธอจะอยู่กับฉันตลอดไป	তুমি চিরকাল আমার সাথে থাকবে	you will be with me forever
เธอยัง	তুমি এখনো	tur yung
เธอเป็นเพื่อนอาบาราอิ	সে আবরাইয়ের বন্ধু।	she is a friend of arbarae
เนกิ	negi	negi
เนย	মাখন	butter
เนรมิต	উদ্ভাবন করা	casting a spell
เนะ	অধিকার	ney
เนื่องจาก	থেকে	because
เนื่องจากประเทศเหล่านั้นอยู่ในตำแหน่งบนโลกที่ต่างไปจากประเทศไทย	কারণ তারা পৃথিবীতে এমন অবস্থানে আছেন যা থাইল্যান্ডের চেয়ে আলাদা	because those countries are in the group of...
เนื้อที่	এলাকায়	area
เนื้อที่ประมาณ	আনুমানিক অঞ্চল	approximate area
เนื้อร้อง	গানের কথা	lyrics
เนื้อเรื่องย่อ	সারসংক্ষেপ	summary
เนเธอร์แลนด์	নেদারল্যান্ড	netherlands
เนโกะ	neko	neko
เน็น	nen	nen
เบจิต้า	bechita	vegeta
เบธเลเฮม	বেথলেহেমের	bethleham
เบนจามิน	বেঞ্জামিন	benjamin
เบรกมา	বিরতি	bregma
เบริธ	berith	berith
เบลเฟกอล	bellegal	belphegor- a demon in a legend
เบส	খাদ	bass
เบอร์ลิน	বার্লিন	berlin
เบา	আলো	soft (voice)
เบาท์	baut	(dieric) bouts
เบาหวาน	ডায়াবেটিস	diabetes
เบื่ออาหาร	উদাস	not appetite, eating disorder.
เบื้องหลัง	পটভূমি	behind the sence
เบโทเฟิน	বিটোফেন	beethoven
เบ็นเท็น	বেন 10	ben 10
เปรม	সন্তুষ্ট	pream
เปรี้ยว	টক	sour
เปรู	পেরু	peru
เปลวไฟ	শিখা	flame
เปลี่ยนชื่อเป็น	নামকরণ হয়েছে	changed the name to
เปลื้อง	বর্জিত করা	nude
เปล่งพานิช	plengpanich	plengpanich
เปอร์เซีย	পারস্য	persia
เปอร์โตริโก้	পুয়ের্তো রিকো	puerto rico
เปิดสอนระดับปริญญาตรี	স্নাতক অধ্যয়নের জন্য উন্মুক্ত	offer bachelor degree curriculum
เปียงยาง	পিয়ংইয়ং	piang yang - in north korea
เปียโตร	pietro	pietro
เปียโน	পিয়ানো	piano
เปโซ	পেসো	peso
เป็ด	হাঁস	duck
เป็น	হয়	is
เป็นขนมของชาวไทยมุสลิม	থাই মুসলিমদের একটি মিষ্টি	is a thai-muslim dessert
เป็นครั้งแรก	প্রথমবার	first
เป็นงานเขียนในชุด	একটি সেট একটি লিখিত কাজ	in the edition of...
เป็นต่อ	বিরুদ্ধে	pen to
เป็นต้น	প্রভৃতি	for example
เป็นต้นมา	থেকে	onward
เป็นต้นไม้ประจำมหาวิทยาลัย	বিশ্ববিদ্যালয়ের গাছ	tree of university
เป็นบัวในสกุล	বংশের পদ্ম	is a lotus in the family
เป็นประธาน	রাষ্ট্রপতি হন	principal of
เป็นปลาตู้สวยงาม	একটি সুন্দর অ্যাকোয়ারিয়াম মাছ	is an ornamental fish
เป็นพระราชโอรสพระองค์เดียวในพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช	রাজা ভূমিবল আদুলিয়াদেজের একমাত্র ছেলে	is the only son of
เป็นพ่อของ	এর জনক	is the father of
เป็นวิญญาณเทียมเพศชาย	একটি পুরুষ কৃত্রিম চেতনা	the spirit who is a male
เป็นสีประจำ	নিয়মিত রঙ	official color
เป็นหนึ่งใน	এক	is one of
เป็นหัวหน้าพรรค	দলীয় নেতা	party leader
เป็นอดีตหัวหน้าหน่วยที่	ইউনিটের প্রাক্তন নেতা	is the former leader of the unit
เป็นอาวุธ	অস্ত্র হিসাবে	as a weapon
เป็นเครื่องหมายแสดงว่า	এটি একটি চিহ্ন	indicates that
เป็นเจ้าเมืองปกครอง	রাজ্যপাল	governor
เป็นเมืองหลวง	রাজধানী	capital
เป็นเวลา	জন্য	utilized time
เป็นโฮโมโลกัสกับ	একটি হোমোলাস সঙ্গে	homologous
เป๊ปซี่	পেপসি	pepsi
เพกาซัส	পক্ষিরাজ ঘোড়া	pegasus
เพชร	হীরা	diamond
เพชรบุรี	phetchaburi	petchaburi province
เพชรบูรณ์	ফেত্চবুন	prechabun
เพชรพระอุมา	হীরা ফরা উমা	ancient diamond
เพชรา	বৃদ্ধ লোক	petchara - name of a famous actress
เพชรเกษม	petchkasem	petchakasem area in bangkok
เพดานอ่อน	নরম সিলিং	gill
เพทาย	গোমেদ-মণি	zircon
เพพซิน	পেপ্সিনি	pepsin
เพราะ	কারণ	because
เพราะว่า	কারণ	because
เพรียะ	piriya	preah - cambodia
เพลงประกอบภาพยนตร์	মুভি সাউন্ডট্র্যাক	soundtrack
เพลงประจำจังหวัด	প্রাদেশিক গান	province anthem
เพลงประจำมหาวิทยาลัย	বিশ্ববিদ্যালয়ের গান	university song
เพลงปิดเรื่อง	কভার গান	pid reung song
เพลงพระราชนิพนธ์	রয়েল সংগীত	the king's song
เพลงลูกทุ่ง	দেশের সঙ্গীত	folk song
เพลงลูกทุ่งขับร้อง	দেশের সঙ্গীত	luk thung song
เพลงอีแซว	সংগীত টিজ	a type of thai country music
เพลงเปิด	খোলার গান	opening song
เพลงเปิดเรื่อง	খোলার গান	opening song
เพลย์สเตชัน	প্লে স্টেশন	playstation
เพลโต	প্লেটো	plato
เพศ	লিঙ্গ	sex
เพศชาย	পুংলিঙ্গ	male
เพิ่มมา	অধিক	addition
เพียงพอ	যথেষ্ট	enough
เพื่อ	জন্য	for
เพื่อเป็นการเผยแผ่พระพุทธศาสนาและประชาสัมพันธ์กิจกรรมทางพระพุทธศาสนาต่าง	যাতে বৌদ্ধধর্ম প্রচার ও ধর্মীয় কর্মকাণ্ড প্রচার করা যায়	passing knowledge about buddhism
เพื่อใช้ร่วมกับตัวชี้วัดอื่น	অন্যান্য সূচক সঙ্গে ব্যবহার করা	to be used with other indicators
เพ็ชรทาย	phettha	petchtai
เฟนิรามีน	pheniramine	pheniramine
เฟย์	পরী	fay
เฟรดริก	ফ্রেডেরিক	fredrick
เฟส	পর্যায়	phase
เฟอร์นิเจอร์	আসবাবপত্র	furniture
เฟื่องอารมย์	foud	fueangarom
เภสัชกร	কম্পউণ্ডার	pharmacist
เภสัชจลนศาสตร์	চিকিত্সাবিদ্যাগতগতিবিজ্ঞান	pharmacokinetics
เม	মে	may
เมกา	মেগা	mega
เมฆ	মেঘ	clouds
เมฆออร์ต	আউট মেঘ	ash cloud in the space
เมจิ	মিইজি	maji - a nickname
เมตร	মি।	metre
เมทริกซ์	জরায়ু	matrix
เมทะนี	metani	metanee - the surname of a famous actor
เมอร์คิวรี	পারদ	mercury
เมือง	শহর	town
เมืองทองฯ	মুয়াং থং	muangthong
เมืองนครราชสีมา	নাখন রতচসীমা	nakornrachasrima city
เมืองปทุมธานี	পাথুম থানি	mueang pathum thani
เมืองปราจีนบุรี	prachinburi	prajinburi city
เมืองพิจิตร	phichit	pijit city
เมืองพิษณุโลก	ফিটসনুলক	phitsanulok
เมืองยอง	স্থবির শহর	mueng-yor
เมืองลำพูน	lamphun স্বাগতম	lumpoon province
เมืองสกลนคร	সাকন নাখোঁ	sakon nakhon
เมืองสิงห์	সিংহ	muangsing
เมืองสุรินทร์	সুরিন	surin city
เมืองหลวง	রাজধানী	capital city
เมืองหลวงของอาณาจักรเขมร	খমের সাম্রাজ্যের রাজধানী	capital of cambudia
เมืองเคมบริดจ์	কেমব্রিজ সিটি	city of cambridge
เมืองเอก	আকে সিটি	mueang-ake
เมืองโคราช	korat	muang korat
เมืองใหญ่	বড় শহর	city
เมืองใหญ่ในเขตนี้	এই জেলার প্রধান শহরগুলি	capital presently
เมื่อประมาณ	কখন	estimate
เมื่อปีพศ	গত বছর	in buddhist era
เมื่อปีพุทธศักราช	বৌদ্ধ যুগে	in b.e.
เมื่อวันจันทร์	সোমবারে	on monday
เมื่อเดือนกันยายน	গত সেপ্টেম্বর	in september
เมื่อเดือนมีนาคม	মার্চে	in march
เม็ดขนุน	পনস	metkhanun
เม่น	শজারু	porcupine
เย	তোমরা	yay - a sound
เยลโล่	হলুদ	yellow
เยอรมนี	জার্মানি	germany
เยอรมัน	জার্মান	german
เยาวชน	যৌবন	youth
เยาวชนอายุ	যৌবনের বয়স	youth age of ...
เยาวราช	চীনাপাড়া	yaowaraj
เยื่อหุ้มสมอง	বল্কল	meninges
เรซูเม	জীবনবৃত্তান্ত	resume
เรด	লাল	red
เรดวัน	লাল দিবস	redone
เรย์	রশ্মি	ray
เรวดี	ভাল খবর	rawadee
เราเตอร์	রাউটার	router
เริ่มการผลิตนำเข้า	আমদানি উত্পাদন শুরু করুন	importing
เริ่มก่อสร้าง	নির্মাণ শুরু করুন	began constuction
เริ่มจากเดือนพฤศจิกายนเมษายน	নভেম্বর থেকে এপ্রিল পর্যন্ত শুরু	begins from november to april
เริ่มตั้งแต่อาณาจักรอยุธยาได้โจมตีอาณาจักรเขมร	খমের কিংডম আক্রমণ করা আয়ুথায়া কিংডম দিয়ে শুরু begin	ever since the ayudhya (military) assault...
เรียกกันว่า	নামক	called
เรียกว่า	নামক	call
เรียล	বাস্তব	real
เรียว	সরু	ryo
เรียวทาโร่	ryotaro	totoro - a japanese cartoon
เรียวเฮ	রাই হাই	reohay - a japanese character
เรียะชอาณาจักร	রাজ্য	reacheanachak
เรืองรุ่ง	প্রদীপ্ত	rueangrung
เรืองศรี	rueangsri	rueng sri - a surname
เรือตรี	নৌকা	ensign
เรือนนาค	নাগা হাউস	nak castle
เรือยกพลขึ้นบก	অবতরণ জাহাজ	boat for advance the army
