$	$ $	(dollar sign)
sainte	santo	saint
saintempire	sagrado imperio	holy empire
saintjean	san juan	saint-jean
saintlaurent	san lorenzo	st. lawrence
saintlouis	saintlouis	saint louis
saintpierre	san pedro	saint-pierre
saints	santos	saints
saintétienne	san etienne	saint-etienne
saisir	agarrar	its
saison	temporada	season
saisons	estaciones	seasons
sait	saber	knows
sajoute	agregar	add oneself
sajoutent	agregar	add
salaire	salario	salary
salaires	salarios	wages
salariés	empleados	employees
sale	sucio	dirty
salle	pasillo	room
salles	habitaciones	room
salomon	salomón	salomon
salon	sala de estar	living room
salons	salones	add salt
salut	hola	salvation
salvador	salvador	salvador
sam	se sentó	sam
samedi	sabado	saturday
samuel	samuel	samuel
san	san	(part of a place name)
sanction	sanción	sanction
sanctions	sanciones	sanctions
sanctuaire	santuario	sanctuary
sand	arena	sand
sang	sangre	blood
sanguin	sangre	blood
sanguine	sangre	blood
sanguins	sangre	blood
sanitaire	sanitario	sanitary
sanitaires	sanitario	health
sans	sin	without
santa	santa	santa
santiago	santiago	santiago
santé	salud	health
saoudite	saudita	arabia
sappelle	se llama	named
sapplique	aplica	applies
sappuie	se inclina	relies
sappuyant	inclinado	based
sarah	sarah	sarah
sarrête	paradas	stopped
sartre	sartre	sartre
sassurer	asegúrate	to ensure
sasuke	sasuke	sasuke
satellite	satélite	satellite
satellites	satélites	satellites
satisfaction	satisfacción	satisfaction
satisfaire	satisfacer	satisfaction
satisfait	satisfecho	satisfy
sattache	sattache	attach
sauf	excepto	with the exception of
saut	saltar	jump
sauvage	salvaje	wild
sauvages	salvaje	wild
sauve	guardar	saves
sauver	guardar	save
sauvetage	rescatar	rescue
sauvé	salvado	saved
savait	sabia	knew
savant	erudito	learned
savants	eruditos	scholars
savent	saber	know
savoie	col rizada	savoie
savoir	saber	that is
savère	gustos	if proven
saône	saona	saône
scandale	escándalo	scandal
scandinaves	escandinavo	scandinavians
sceau	sello	seal
sceaux	sellos	seal
schengen	schengen	schengen
schizophrénie	esquizofrenia	schizophrenia
schneider	schneider	schneider
school	escuela	school
schwarzenegger	schwarzenegger	schwarzenegger
schéma	diagrama	scheme
science	ciencia	science
sciencefiction	ciencia ficcion	scifi
sciences	ciencia	science
scientifique	cientifico	scientific
scientifiques	cientificos	scientists
scolaire	escolar	academic
scolaires	escuela	scolar
scolarité	escolaridad	schooling
score	puntaje	score
scott	scott	scott
screen	pantalla	screen
script	guion	script
scrubs	matorrales	scrubs
scrutin	boleta	ballot
sculpteur	escultor	sculpture
sculpture	escultura	sculpture
sculptures	esculturas	sculptures
scène	escena	scene
scènes	escenas	scenes
scénario	guion	scenario
scénarios	escenarios	scenarios
scénariste	guionista	scenarist
scénaristes	escritores	screenwriters
se	es	oneself
sean	sean	sean
seattle	seattle	seattle
sebastian	sebastian	sebastian
sec	seco	dry
second	segundo	second
secondaire	secundaria	middle school
secondaires	secundaria	secondary
seconde	el segundo	second
secondes	segundos	seconds
secours	rescate	help / safety
secret	secreto	secret
secrets	secretos	secrets
secrète	secreto	secretes
secrètement	en secreto	secretly
secrétaire	secretaria	secretary
secs	seco	dry
secteur	sector	sector
secteurs	sectores	sectors
section	seccion	section
sections	secciones	sections
seffectue	realiza	is carried out
sefforce	se esfuerza	shall endeavour
segment	segmento	segment
segments	segmentos	segments
seigneur	señor	lord
seigneurs	señores	lords
sein	pecho	within
seine	cerco	seine
seize	dieciseis	sixteen
sel	sal	salt
selon	de acuerdo a	according to
semaine	semana	week
semaines	semanas	weeks
semblable	similar	similar
semblables	por igual	similar
semblait	parecía	seemed
semble	parece	seems to
semblent	parecer	seem
semblerait	parecería	would seem
sempare	sempare	take possession
semparer	aprovechar	take over
sen	sen	of it
sengage	comete	join up
sengager	cometer	sengager
sens	sentido	meaning
sensation	sentimiento	sensations
sensations	sensaciones	sensations
sensibilité	sensibilidad	circulent
sensible	sensible	sensitive
sensiblement	notablemente	sensibly
sensibles	sensible	sensitive
sensuit	sensual	then
sent	huele	feel
sentiment	sentimiento	feeling
sentiments	sentimientos	sentiments
sentir	sentir	feel
sept	siete	seven
septembre	septiembre	september
septième	séptimo	seventh
sera	voluntad	will be
seraient	lo haría	would
serait	lo haría	will be
serbe	serbio	serbian
serbes	serbio	serbians
serbie	serbia	serbia
serge	sargento	serge
series	serie	series
serment	juramento	serment
seront	voluntad	will
serpent	serpiente	snake
serre	invernadero	greenhouse
sert	sirve	is used
servant	sirviendo	being used
servent	servir	are used
serveur	camarero	server
serveurs	camareros	servers
servi	servido	served
service	servicio	service
services	servicios	services
servir	para servir	serve as
ses	su	his
session	sesión	session
sessions	sesiones	sessions
sest	es	is oneself
set	establecer	set
sets	conjuntos	sets
seuil	umbral	threshold
seul	sólo	alone
seule	solo	the only
seulement	solamente	only
seules	solo	alone
seuls	solo	only
sex	sexo	sex
sexe	sexo	gender
sexes	géneros	gender
sexplique	explica	explains
sexprime	sexprime	express oneself
sexprimer	expreso	to express
sexualité	sexualidad	sexuality
sexuel	sexual	sexual
sexuelle	sexual	sexual
sexuelles	sexual	sexuals
sexuels	sexual	sexual
sgt	sargento	sgt
shah	shah	shah
shakespeare	shakespeare	(name)
shakur	shakur	shakur
shanghai	shangai	shanghai
shawn	shawn	shawn
sherlock	sherlock	sherlock
shippuden	shippuden	shippuden
shippūden	shippūden	shippuden
shoah	shoah	holocaust
shows	muestra	show
shâh	shah	shah
si	si	you
sicile	sicilia	sicilia
sida	ayudas	sida
side	lado	side
sierra	sierra	sierra
sigmund	sigmund	sigmud
signal	señal	signal
signaler	informar	point out
signature	firma	signature (and signing)
signaux	señales	signals
signe	signo	signs
signent	señal	sign
signer	señal	sign
signes	signos	signs
signifiant	significando	meaning
significatif	significativo	significant
signification	significado	signification
significative	significativo	significant
signifie	malvado	means
signé	signo	signed
signée	firmado	agreed
signés	firmado	signed
sil	si	if it is
silence	silencio	silence
sils	sils	if they
silverlight	luz plateada	silverlight
silvio	silvio	silvio
similaire	similar	similar
similaires	similar	similar
simmons	simmons	simmons
simon	simon	simon
simone	simone	simone
simple	sencillo	simple
simplement	simplemente	simply
simples	simple	simple
simplicité	simplicidad	simplicity
simpose	simponer	simpose
simposer	simular	to impose
simpson	simpson	simpson
simpsons	simpsons	simpsons
simultanément	simultáneamente	simultaneously
sin	pecado	sin
sincline	proa	bows
singapour	singapur	singapour
singer	cantante	(surname)
single	soltero	single
singles	solteros	singles
singulier	singular	la singulie'r
sinon	de lo contrario	or
sinscrit	suscrito	has registered itself
sinspirant	inspirador	sin-spirant
sinspire	inspirarse	inspires
sinstalle	instala	settles
sinstallent	establecerse	move to
sinstaller	instalar	install oneself
sintitule	sintitle	is titled
sintéresse	esta interesado	show interrest
sintéresser	estar interesado	take an interest
sionisme	sionismo	zionism
sir	señor	sir
sismique	sísmica	sismic
site	sitio	website
sites	sitios	sites
situation	situación	situation
situations	situaciones	situations
situe	localizado	is
situent	ubicar	situated
situé	localizado	located
située	localizado	located
situées	localizado	located
situés	localizado	located
six	seis	six
sixième	sexto	sixth
siècle	siglo	century
siècles	siglos	centuries
siège	sede	head office
sièges	asientos	seating
ski	esquiar	ski
sky	cielo	sky
slam	golpe	slam
slave	esclavo	slavic
slaves	eslavo	slavic
slogan	lema	motto
slovaquie	eslovaquia	slovakia
slovénie	eslovenia	slovenia
smackdown	golpe	smackdown
smith	smith	smith
snoop	espiar	snoop
so	entonces	so
soccer	futbol	soccer
soccupe	cuidate	manages
soccuper	cuidate	soccuper
social	social	social
sociale	social	social
sociales	social	social
socialisme	socialismo	socialism
socialiste	socialista	socialist
socialistes	socialistas	socialists
sociaux	social	social
sociologie	sociologia	sociology
sociologique	sociologico	sociological
société	sociedad	society
sociétés	empresas	companies
socle	zócalo	pedestal
socrate	sócrates	socrates
sodomie	sodomía	sodomy
soi	yo	self
soie	seda	silk
soient	sean	be
soigner	cuidar	heal
soin	cuidado	care
soins	cuidado	medical care
soir	tarde	evening
soirée	tarde	party
soirées	tardes	evenings
soit	cualquiera	whether
soixante	sesenta	sixty
sol	suelo	soil
solaire	solar	solar
solaires	solar	solar
soldat	soldado	soldier
soldats	soldados	soldiers
solde	balance	discount
soleil	sol	sun
solidarité	solidaridad	solidarity
solide	solido	solid
solides	solido	solid
solitaire	solitario	solitary
solo	solo	solo
sols	suelos	soil
solution	solución	solution
solutions	soluciones	solutions
sombre	oscuro	dark
sombres	oscuro	dark
somme	suma	sum
sommeil	dormir	sleep
sommes	somos	sum, or amount
sommet	cumbre	top
sommets	cumbres	highs
son	su	his
sonate	sonata	sonata
sonates	sonatas	sonatas
sondage	encuesta	poll
sondages	encuestas	polls
sonde	sonda	modul
songe	soñar	dream
sonny	sonny	sonny
sonore	sonido	sound
sonores	sonido	sound
sonorités	suena	sounds
sons	suena	sounds
sont	están	are
sony	sony	sony
sophie	sophie	sophie
soppose	proponer	opposes
sopposent	oponerse	set against
sopposer	oponerse	oppose
sorbonne	armario de humos	sorbonne
sorciers	magos	probed
sort	destino	is released
sortant	saliente	outgoing
sorte	entonces	kind
sortent	salir	released
sortes	tipos	kind
sorti	fuera	out
sortie	salir	release
sorties	salidas	come out
sortir	salir	to leave
sortira	saldrá	will be released
sortis	salir	released
souche	cepa	strain
souches	cepas	strain
souci	preocuparse	worry
soucieux	preocupado	concerned
soudan	sudán	sudan
souffert	sufrió	suffered
souffle	aliento	breath
souffrance	sufrimiento	suffering
souffrant	sufrimiento	suffering
souffre	sufre	suffers
soufre	azufre	sulfur
souhaitait	deseado	wished
souhaite	desear	wish
souhaitent	desean	wish
soul	alma	drunk
souligne	subraya	highlights
soulignent	enfatizar	highlight
souligner	subrayar	accentuate
soulève	plantea	uprises
soulèvement	levantamiento	uprising
soumettre	enviar	submit
soumis	sumiso	submissive
soumise	sumiso	submitted
soumission	sumisión	surrender
source	fuente	source
sources	fuentes	sources
sourire	sonrie	smile
souris	ratón	mouse
sous	bajo	under
soussol	sótano	underground
soutenir	apoyo	to support
soutenu	apoyado	helped
soutenue	sostenido	sustained
soutien	apoyo	support
soutiennent	discutir	support
soutient	apoya	support
souvenir	acuerdo	recollection
souvenirs	recuerdos	memories
souvent	frecuentemente	frequently
souverain	soberano	sovereign
souveraineté	soberanía	sovereignty
souverains	soberanos	sovereigns
souvre	recuerda	sopen
soviétique	soviético	soviet
soviétiques	soviets	soviet
spatial	espacial	space
spatiale	espacial	spatial
spears	lanzas	spears
spectacle	mostrar	spactacle
spectacles	muestra	shows
spectaculaire	espectacular	spectacular
spectaculaires	espectacular	spectacular
spectateur	espectador	spectator
spectateurs	espectadores	spectators
spectre	espectro	specter
spencer	spencer	spencer
sphère	esfera	sphere
spielberg	spielberg	spielberg
spin	girar	spin
spirale	espiral	spiral
spirit	espíritu	spirit
spirituel	espiritual	spiritual
spirituelle	espiritual	spiritual
spontanément	espontáneamente	spontaneously
sporozoïte	esporozoito	sporozoit
sport	deporte	sport
sportif	deportivo	sportsman
sportifs	deportistas	sport
sportive	deportivo	sport
sportives	deportes	sports
sports	deportes	sports
spécial	especial	special
spéciale	especial	special
spécialement	especialmente	specially
spéciales	especial	special
spécialiste	especialista	specialist
spécialistes	especialistas	specialists
spécialisé	especializado	competent
spécialisée	especializado	specialised
spécialisées	especializado	specialised
spécialisés	especializado	specialised
spécialités	especialidades	specialities
spéciaux	especial	special
spécificité	especificidad	specificity
spécifique	específico	specific
spécifiquement	específicamente	specifically
spécifiques	específico	specific
sq	sq	sq
square	plaza	square
sr	sr	sr ( sir )
sri	sri	sri
ss	ss	ss
st	st	st
stabilité	estabilidad	stability
stable	estable	stable
stade	estadio	stadium
stades	estadios	stadiums
stadium	estadio	stadium
staline	stalin	stalin
stallone	stallone	stallone
standard	estándar	standard
standards	normas	norms
stanley	stanley	stanley
starr	starr	celebrity
stars	estrellas	stars
state	estado	state
states	estados	states
station	estacion	station
stations	estaciones	stations
statistique	estadística	statistics
statistiques	estadísticas	statistics
statue	estatua	statue
statues	estatuas	statues
statut	estado	our
statuts	estatutos	status
stefan	stefan	stefan
stendhal	stendhal	stendhal
stephen	stephen	stephen
stephenie	stephenie	stephenie
steve	steve	steve
steven	steven	steven
stewart	stewart	stewart
stimulation	estimulación	stimulation
stockage	almacenamiento	storage
stocker	tienda	to store
stockholm	estocolmo	stockholm
stoker	stoker	stoker
stopper	parar	halt
story	historia	story
strasbourg	estrasburgo	strasbourg
stratégie	estrategia	strategy
stratégies	estrategias	strategies
stratégique	estratégico	strategical
stratégiques	estratégico	strategic
stravinski	stravinsky	stravinski
street	calle	street
stress	estrés	stress
strict	estricto	strict
stricte	estricto	strict
strictement	estrictamente	strictly
structure	estructura	structure
structures	estructuras	structure
stuart	estuardo	stuart
studio	estudio	studio
studios	estudios	studios
style	estilo	style
styles	estilos	styles
stéphane	stéphane	(man's name)
su	su	knew
subdivisions	subdivisiones	subdivisions
subi	sufrió	sustained
subir	sufrir	undergo
subissent	someterse	subisssent
subit	se somete	undergoes
subsistance	subsistencia	subsistence
subsiste	subsiste	remains
subsistent	subsistir	remain
substance	sustancia	substance
substances	sustancias	material
subventions	becas	subsidies
successeur	sucesor	successor
successeurs	sucesores	successors
successifs	sucesivas	subsequent
succession	bienes	succession
successivement	sucesivamente	successively
successives	sucesivas	successive
succède	tiene éxito	succeed
succèdent	triunfar	follow
succès	exito	success
succédé	triunfado	followed(for michael j) succeeded (for the others)
sucre	azucar	sugar
sud	sur	south
sudafricain	sudafricano	south-african
sudest	sudeste	south east
sudouest	sudoeste	south west
suez	sudar	suez
suffisamment	suficiente	sufficiently
suffisant	suficiente	sufficient
suffisante	suficiente	sufficient
suffit	suficiente	sufficient
suffrage	sufragio	vote
suggère	sugerir	suggests
suggèrent	sugerir	suggest
suggéré	sugerido	suggested
suicidaire	suicida	suicidal
suicide	suicidio	suicide
suis	soy	am
suisse	suizo	switzerland
suisses	suizo	swiss
suit	sigue	follow
suite	continuado	following
suites	suites	following
suivant	próximo	following
suivante	siguiente, próximo	following
suivantes	siguiendo	following
suivants	siguiendo	following
suivent	seguir	follow
suivi	seguimiento	followed
suivie	seguido	followed
suivies	seguido	followed
suivis	seguido	followed by
suivre	seguir	follow
sujet	sujeto	topic
sujets	asignaturas	topics
sullivan	sullivan	sullivan
sultan	sultán	sultan
summerslam	summerslam	summerslam
sunday	domingo	sunday
super	genial	super
supercoupe	súper copa	supercup
superficie	área	area
superhéros	super heroes	superhero
superman	superman	superman
superstar	superestrella	superstar
supplémentaire	adicional	additional
supplémentaires	adicional	additional
support	apoyo	support
supporte	apoyo	support
supporter	soportar	support
supporters	partidarios	supporters
supports	apoya	media
suppose	adivina	assume
supposé	supuesta	supposed
supposée	supuesta	supposed
suppression	eliminación	suppression
supprimer	quitar	delete
supprimé	eliminado	deleted
suprême	suprema	supreme
supérieur	mas alto	superior
supérieure	superior	superior
supérieures	superior	superior
supérieurs	superiores	superiors
supériorité	superioridad	superiority
sur	sobre	on
surcroît	ademas	addition
surface	superficie	surface
surfaces	superficies	malls(for 1st) supermarket(for 2nd) building plots (for the 3rd)
surnom	apodo	nickname
surnommé	apodado	dubbed
surnommée	apodado	known
surprise	sorpresa	surprise
surréalisme	surrealismo	surrealism
surréaliste	surrealista	surrealiste
surréalistes	surrealista	surrealist
surtout	sobretodo	especially
surveillance	vigilancia	monitoring
survie	supervivencia	survival
survient	ocurre	occurs
survivants	sobrevivientes	survivors
survivor	sobreviviente	survivor
survivre	sobrevivir	survive
survécu	sobrevivió	survived
susan	susan	susan
susceptible	susceptible	susceptible
susceptibles	susceptible	susceptible
suscite	despierta	raises
suscité	despertó	generated
suspendu	suspendido	suspended
suspendus	colgando	suspended
suspension	suspensión	suspension
suède	suecia	sweden
suédois	sueco	swedish
swift	veloz	swift
sy	sy	there
sydney	sydney	sydney
sylvester	sylvester	sylvester
sylvie	sylvie	sylvie
symbole	símbolo	symbol
symboles	símbolos	symbols
symbolique	simbólico	symbolic
symboliques	simbólico	symbolic
symbolise	simboliza	symbolize
symbolisme	simbolismo	symbolism
sympathie	simpatía	sympathy
symphonie	sinfonía	symphonia
symphonique	sinfónica	symphonic
symphyles	symphyls	symphyllia
symptômes	síntomas	symptoms
syndicat	unión	union
syndicats	sindicatos	unions
syndrome	síndrome	syndrome
synonyme	incluso	synonymous
synopsis	sinopsis	synopsis
synthèse	síntesis	integration
synthétique	sintético	synthetic
syphilis	sífilis	syphilis
syrie	siria	syria
système	sistema	system
systèmes	sistemas	systems
systématique	sistemática	systematic
systématiquement	sistemáticamente	systematically
são	são	sao
sèche	seco	dry
séance	sesión	cession
séances	sesiones	sessions
sébastien	sebastien	sebastian
sécession	secesión	secession
sécheresse	sequía	drought
sécurité	seguridad	security
ségrégation	segregación	segregation
séisme	terremoto	earthquake
séismes	terremotos	earthquake
séjour	quedarse	resident
séjours	se queda	stay
sélection	selección	selection
sélectionné	seleccionado	selected
sélections	selecciones	selection
sélève	se levanta	amounts
sémantique	semántica	semantic
sénat	senado	senate
sénateur	senador	senator
sénateurs	senadores	senators
sénégal	senegal	senegal
séparation	separación	break-up
sépare	separa	separated
séparent	separado	divide
séparer	separado	mercy
séparé	separado	separated
séparée	separado	separated
séparées	separado	separated
séparés	separado	split
séquence	secuencia	sequence
séquences	secuencias	sequences
série	serie	series
séries	serie	series
sérieusement	en serio	seriously
sérieux	serio	serious
sétablit	establece	is established
sétaient	fueron	had (in the context of this exemple)
sétait	tenía	became (in this context)
sétant	ser	having
sétend	estiramientos	stretches
sétendant	estiramiento	extending
sétendent	estirar	extended
séville	sevilla	seville
sévère	severo	strict
sévèrement	severamente	severely
sévères	severo	severe
sêtre	ser	having
sûr	sobre	sure
sûreté	seguridad	security
sœur	hermana	sister
sœurs	hermanas	sisters
t	t	t
tabac	tabaco	tabacco
table	mesa	table
tableau	pintura	table
tableaux	cuadros	tables
tables	mesas	tables
tablier	delantal	apron
taches	manchas	tasks
tactique	táctico	tactic
tag	etiqueta	tag
tahiti	tahití	tahiti
taille	tamaño	size
tailles	tamaños	size
talent	talento	talent
talents	talentos	talents
tandis	mientras que	whereas
tanger	tánger	tangier
tant	tanto	as
tante	tia	aunt
tantôt	a veces	some times
tarantino	tarantino	tarantino
tard	tarde	late
tardif	tarde	late
tardive	tarde	late
tardivement	tarde	late
taurine	taurina	taurine
taux	tasa	rate
taxe	impuesto	tax
taxes	impuestos	taxes
taylor	taylor	taylor
taïwan	taiwán	taiwan
tchernobyl	chernobyl	tchernobyl
tchèque	checo	czech
tchécoslovaquie	checoslovaquia	czechoslovakia
te	tu	you
team	equipo	equipe
technique	tecnico	technical
techniques	tecnico	technical
technologie	tecnología	technology
technologies	tecnologías	technologies
technologique	tecnologico	technology
technologiques	tecnologico	technological
ted	ted	ted
tel	tal	such
television	television	television
telle	tal	such
tellement	tanto	so
telles	tal	such
tels	tal	such
temple	templo	temple
temples	templos	temples
templiers	templarios	knight templar
temporaire	temporal	temporarily
temporaires	temporal	temporary
temps	tiempo	time
température	temperatura	temperature
températures	temperaturas	temperatures
tempéré	templado	temperate
tempête	tormenta	storm
tempêtes	tormentas	storms
tenait	sujetaba	held
tenant	sosteniendo	holder
tend	atender	tend
tendance	tendencia	trend
tendances	tendencias	trend
tendent	atender	tend
teneur	contenido	content
tenir	mantener	to hold
tennis	tenis	tennis
tension	tensión	tension
tensions	tensiones	tensions
tentation	tentación	tentation
tentatives	intentos	attempts
tente	carpa	tries
tentent	están intentando	attempt
tenter	intento	try
tenté	tentado	attempted
tenu	celebrado	held
tenue	traje	held
tenues	trajes	tenues
terme	plazo	term
termes	términos	termes
terminator	terminador	terminator
termine	terminado	ends
terminer	terminar	finish
terminologie	terminología	terminology
terminé	terminado	ended
terminée	sobre	terminated
terrain	suelo	ground
terrains	tierra	terrains
terre	tierra	earth
terres	tierra	land
terrestre	terrenal	terrestrial
terrestres	terrestre	terrestrial
terreur	terror	terror
terrible	terrible	dreadful
terrier	terrier	terrier
territoire	territorio	territory
territoires	territorios	territories
territorial	territorial	territorial
territoriale	territorial	territorial
territoriales	territorial	territorial
terrorisme	terrorismo	terrorism
terroristes	terroristas	terrorists
terry	rizo	terry
tertiaire	terciario	tertiary
tesla	estas allá	tesla
test	prueba	test
testament	voluntad	testament
tester	para probar	to test
tests	pruebas	tests
texas	texas	texas
texte	texto	text
textes	textos	texts
textile	textil	textile
tf	tf	tf
tgv	tgv	vhs (very high speed train)
th	th	th
thalès	thalès	thales
that	eso	that
thaïlande	tailandia	thailand
the	el	the
theo	theo	theo
there	ahi	there
thermique	térmica	themique
thermiques	térmica	thermal
thierry	thierry	thierry
this	esto	this
thomas	thomas	thomas
thompson	thompson	thompson
threat	amenaza	threat
thumb|carte	pulgar | mapa	thumb | map
thumb|left|la	la izquierda	thumlleftlla
thumb|les	pulgar | ellos	thumbles
thème	tema	themes
thèmes	temas	themes
thèse	tesis	thesis
thèses	tesis	theses
thé	te	tea
thématique	temática	thematic
thématiques	temática	thematic
théologie	teologia	theology
théorie	teoria	theory
théories	teorías	theory
théorique	teórico	theoretical
théoriquement	teóricamente	theoretically
théoriques	teórico	theoretical
théorème	teorema	proposition
thérapeutique	terapéutico	therapeutic
thérapeutiques	terapéutico	therapeutic
thérèse	teresa	therese
théâtrale	teatral	theatrical
théâtre	teatro	theater
théâtres	teatros	theaters
tiennent	mantener	hold
tient	espera	is
tiers	tercero	third party
till	hasta	till
tillend	tillend	tillend
tim	tim	tim
time	tiempo	time
times	tiempos	(newspaper name)
timonier	timonel	used both for quartermaster & helmsman
tir	tiro	shoot
tirage	imprimir	draw
tire	tirar	draw
tirer	disparar	drawn
tirs	disparos	fire
tiré	tirado	shoot
tirée	dibujado	drawn
tissu	tela	tissue
tissus	telas	tissue
titanic	titánico	titanic
titre	titulo	title
titres	títulos	securities
titré	titulado	titled
titulaire	titular	holder
tld	tld	tld
tlemcen	tlemcen	tlemcen
tna	tna	tna
todd	todd	todd
toi	tu	you
toile	lienzo	web
toiles	lienzos	paintings
toit	techo	roof
tokyo	tokio	tokyo
tolkien	tolkian	tolkien
tolérance	tolerancia	tolerance
tom	tom	tom
tombe	caídas	tomb
tombeau	tumba	tomb
tombent	caer	fall
tomber	caer	to fall
tombes	tumbas	graves
tombé	caído	fallen
tome	volumen	volume
tomes	volúmenes	volumes
tommy	tommy	name of a person
ton	tu	tone
tony	tony	tony
top	arriba	top
toponymie	toponimia	geographical names
torah	torá	torah
toronto	toronto	toronto
tort	mal	wrong
torture	tortura	torture
total	total	total
totale	total	total
totalement	totalmente	completely
totalité	todos	whole
touchant	tocar	affecting
touche	tocar	receive
touchent	tocar	touch
toucher	tocar	touch
touché	tocado	reached
touchée	tocado	affected
touchés	afectado	affected
toujours	siempre	always
toulouse	toulouse	toulouse
tour	torre	tour
tourisme	turismo	tourism
touristes	turistas	tourists
touristique	turista	tourist
touristiques	turista	tourist
tournage	filmacion	filming
tournant	girando	at the turn of
tourne	girar	turns
tournent	girar	turn
tourner	girar	turn
tournoi	torneo	tournament
tournois	torneos	tournaments
tourné	convertido	turned
tournée	gira	tour
tournées	recorridos	tours
tournés	convertido	shot
tours	torres	towers
tous	todos	all
toussaint	todos los santos	all saint's day
tout	todo	all
toute	toda	all
toutefois	sin embargo	nevertheless
toutes	todas	all
toux	tos	cough
tower	torre	tower
townshend	ciudad	guitarist pete townshend
toxiques	tóxico	toxic
trace	trazar	trace
traces	rastros	track
traction	tracción	traction
tracé	rastrear	route
trad	trad	trad
trade	comercio	trade
tradition	tradicion	tradition
traditionnel	tradicional	traditional
traditionnelle	tradicional	traditional
traditionnellement	tradicionalmente	traditionally
traditionnelles	tradicional	traditional
traditionnels	tradicional	traditional
traditions	tradiciones	traditions
traduction	traduccion	translation
traductions	traducciones	translations
traduire	traducir	translation
traduit	traducido	translated
traduits	traducido	translated
trafic	el trafico	traffic
tragique	trágico	tragical
tragédie	tragedia	tragedy
tragédies	tragedias	tragedies
trahison	traición	betrayal
train	entrenar	en train de = in the process of
trains	trenes	trains
trait	rasgo	feature, stroke, characteristic
traitant	trato	dealing
traite	ordeño	deals
traitement	procesamiento	treatment
traitements	tratamientos	treatments
traitent	proceso	treat  (as ill treat in that context)
traiter	tratar	to accord
traits	características	features
traité	tratado	treaty
traités	tratados	treaties
trame	trama	weft
tramway	tranvía	streetcar
tranche	cortar	slice
transcription	transcripción	transcription
transept	crucero	transept
transfert	transferencia	transfer
transferts	transferencias	transfer
transformation	transformación	transformation
transformations	transformaciones	transformations
transforme	transforma	transforms
transformer	transformar	convert
transformé	transformado	transformed
transformée	transformado	converted
transféré	transferido	transfered
transit	transito	transit
transition	transición	transition
transmet	transmite	transmit
transmettre	transmitir	transmit
transmis	transmitido	transmitted
transmise	transmitido	transmitted
transmission	transmisión	transmission
transport	transporte	transportation
transporter	llevar	convey
transports	transporte	transport
transylvanie	transilvania	transylvania
travail	trabajar	work
travaillait	estaba trabajando	worked
travaillant	trabajando	working
travaille	funciona	work
travaillent	trabajar	work
travailler	para trabajar	work
travailleurs	trabajadores	workers
travaillé	trabajado	worked
travaux	funciona	works
travers	a través de	through
traverse	cruzar	crosses
traversent	cruzar	cross
traverser	atravesar	cross
traversé	cruzado	crossing
traversée	cruce	crossed
treize	trece	thirteen
tremblement	temblando	earthquake
tremblements	temblores	tremors
trentaine	años treinta	30
trente	treinta	thirty
tri	clasificación	sorting
triangle	triangulo	triangle
triangles	triángulos	triangles
tribu	tribu	tribe
tribunal	corte	court
tribunaux	tribunales	tribuneship
tribune	tribuna	platform
tribus	tribus	tribes
tricolore	tricolor	tricolor
trigonométriques	trigonométrico	trigonometric
trilogie	trilogía	trilogy
trio	trio	threesome
triomphe	triunfo	triumph (arch of triumph)
triple	triples	triple
troie	troyano	trojan
trois	tres	three
troisième	tercero	third
trompette	trompeta	trumpet
trop	demasiado	too many
trophée	trofeo	trophy
trophées	trofeos	trophie
tropical	tropical	tropical
trou	hoyo	hole
trouble	problemas	trouble
troubles	problemas	illnesses
troupe	tropa	troop
troupes	tropas	troops
trouvaient	encontrado	found
trouvait	encontrado	found
trouvant	encontrar	finding
trouve	encontrar	is
trouvent	encontrar	found
trouver	encontrar	find out
trouvera	encontrará	will find
trouvé	encontrado	found
trouvée	encontrado	found
true	cierto	vrai
très	muy	very
trésor	tesoro	trasure
trêve	tregua	truce
trône	trono	throne
tsunami	tsunami	tsunami
tsunamis	tsunamis	tsunami
tu	tu	you
tube	tubo	tube
tubercules	tubérculos	tubercle
tubes	tubos	barrel (first occurrence); hits (second occurrence)
tue	matar	kill
tuer	matar	kill
tueur	asesino	killer
tuileries	tullerías	tile
tumeur	tumor	tumor
tunis	túnez	tunis
tunisie	túnez	tunisia
tunisien	tunecino	tunisian
tunisienne	tunecina	tunisian
tunnel	túnel	tunnel
tupac	tupac	tupac
turc	turco	turk
turcs	turcos	turks
turin	turín	turin
turner	turner	turner
turque	turco	turk
turquie	pavo	turkey
tutelle	tutela	guardianship (for 1st) supervision( for2nd) guardianship(for the 3rd)
tué	asesinado	killed
tués	eres	killed
tv	tv	tv
tva	iva	tva
twilight	crepúsculo	twilight
twitter	gorjeo	twitter
two	dos	two
tyler	tyler	tyler
type	tipo	type
types	tipos	kinds
typique	tipico	typical
typiquement	típicamente	typicaly
typiques	tipico	typical
tâche	mancha	task
tâches	tareas	tasks
télé	tv	tv
téléchargement	descargar	download
télécommunications	telecomunicaciones	telecommunications
téléfilm	tv movie	telefilm
télémaque	telémaco	télémaque
téléphone	teléfono	phone
téléphones	telefonos	phones
téléphonie	telefonía	telephony
téléphonique	telefono	telephone
téléspectateurs	espectadores	audience
télévision	television	television
télévisé	televisado	television
télévisée	televisado	broadcast
télévisées	televisado	tv
télévisés	televisado	on television
témoignage	testimonio	account
témoignages	testimonios	testimonials
témoigne	testifica	reveals
témoignent	testificar	testify
