$ tỉ	milliárd dollár	$ billion
molypden	molibdén	the element molybdenum (n.)
mongolia	mongólia	mongolia
monique	monique	(proper name) monique, a french first name
mono	monó	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegró	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	bőg	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	morávia	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	marokkó	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	moszkva	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambik	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	kisasszony	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	megvesz	buy
much	sokkal	much
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	ébenfa	a vietnamese name
munich	münchen	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	musztáng	mustang, as in the f-51 mustang
muta	muta	a name
muôn	akar	a large number; thousands (adj.)
muối	só	salt
muốn	akar	want
muống	kanál	"(term should be ""rau muống"") water spinach (n.)"
muồi	késő	ripe
muỗi	szúnyog	mosquito
muỗng	kanál	spoon
muội	lánytestvér	confusion
muộn	késő	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	mianmarban	(proper noun) myanmar
myspace	az én helyem	(proper noun) myspace
mà	de	also
mài	őrlés	tomorrow
màn	képernyő	curtain (n.)
mành	árnyékolók	a bamboo screen (n.)
mào	címer	a comb or crest, as in the body part of a bird
màu	szín	color
mày	ön	sew
má	anya	cheek
mác	címke	a name (marx)
mách	tippek	tell
máclênin	marxel	marxist-leninist
mái	tető	"entire term should be ""thoai mai""; means ""comfortable"""
mát	menő	cool
máu	vér	blood
máy	gép	a machine (n.)
mâm	tálca	tray
mân	rózsafüzér	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	ellentmondó	contradiction
mây	felhő	cloud
mã	kód	"(term should be ""la mã"") roman (adj.)"
mãi	örökké	forever (adv.)
mãimại	kód	commerce
mãn	öntelt	satisfy
mãnh	erős	intense
mão	koronák	cat
mè	szezám	sesame
mèo	macska	cat (n.)
mé	nekem	a border
méo	eltorzult	alter
mép	él	edge
mét	méter	meter
mênh	megrázóan	vast
mêtan	metán	methane
mì	tészta	wheat
mình	saját magad	me
mía	nád	sugar cane (n.)
mò	kotorászott	to grope (v.)
mòn	nyom	trail
móc	horog	"(term should be ""máy móc"") machinery (n.)"
món	étel	dish
mô	szövet	mo
môi	minden egyes	lip
môn	tárgyak	anus
mông	fenék	mongolia
mônôxít	monoxid	monoxide
môt	egy	"(term should be ""một"") one (n.)"
môtô	motorbicikli	motorcycle
mù	vak	mu
mùa	évszak	season
mùi	szag	smell
múa	tánc	dance
mút	szopás	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	bambuszrügy	bamboo shoot (n.)
mĩ	amerika	america
mũ	kalap	cap
mũi	orr	nose
mơ	álom	vague
mơn	mancsok	caress
mưa	eső	rain
mưu	ravasz	"(should be ""tham mưu"") advisors"
mươi	ötven	tens
mương	csatorna	ditch
mướn	bérlés	hire
mướt	selymes	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	kölcsönzés	borrow
mượt	sima	glossy (adj.)
mạc	sivatag	"(should be ""mộc mạc"") simple or natural"
mạch	áramkör	vessel
mại	kereskedelmi	commerce
mạn	oldal	romantic
mạnh	erős	strong
mạo	cikk	"(should be ""mạo hiểm"") to brave danger"
mạt	atkák	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	sírok	tomb or grave (n.)
mải	elfoglalt	absorbedly
mảng	sor	genre
mảnh	darab	piece
mất	elveszett	lose
mấu	lap	key
mấy	kevés	any
mầm	csíra	kindergarten
mầu	szín	color
mẩu	darabok	piece
mận	szilva	plum
mập	zsír	fat
mật	édesem	intimate
mậu	kereskedelmi	mau
mắc	drága	get
mắm	hal szósz	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	szerencsés	"(term should be ""may mắn"") fortunate (adj.)"
mắng	szid	scold
mắt	szem	eye
mặc	viselet	wear
mặn	sós	salt
mặt	arc	face
mẹ	anya	mother (n.)
mẹo	tippek	trick
mẻ	tétel	cool
mẽ	erős	strong
mến	kedves	to adore or like greatly (v.)
mề	zúza	locket
mềm	puha	soft
mệnh	sors	revolution
mệt	fáradt	tired
mỉ	gyors	meticulous
mỉa	gúny	ironic
mỉm	mosoly	smile
mịch	szar	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	sima	smooth
mịt	szippantás	dim
mọc	növekszik	to grow (v.)
mọi	minden	every
mọn	piti	lowly
mỏ	bányák	mine
mỏi	fáradt	tired (adj.)
mỏng	vékony	thin
mốc	dohos	border
mối	termesz	relationship
mốt	divat	fashion or style (n.)
mồ	sír	"(term should be ""mồ hôi"") sweat (n.)"
mồi	csali	bait (n.)
mổ	sebészet	to dissect or perform surgery (v.)
mỗi	minden	every
mộ	síremlék	admire
mộc	ácsmesterség	simple
mộng	álom	dream
một	egy	one
mới	új	new (adj.)
mờ	elmosódott	dim
mời	meghív	invite
mở	nyisd ki	open
mỡ	zsír	fat or grease (n.)
mục	a tárgy	purpose
mụn	pattanás	pimple
mức	szint	level
mứt	lekvár	preserve
mừng	boldog	to be happy
mửa	hányás	to vomit (v.)
mực	tinta	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	tökfej	noodles (n.)
mỹ	amerika	america
mỹcông	amerika	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagaszaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	szarvas	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	férfi	male
nambắc	északi	nambac
namibia	namibia	namibia
namnam	nam nam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	mirigy	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	agyarak	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napóleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napóleon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	nátrium	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	mostantól	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	horgony	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepál	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	háló	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	hálózatok	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	sohaország	neverland
newcastle	newcastle	newcastle
newspaper	újság	newspaper
newton	newton	newton
newtons	newton	(proper noun) newton's
next	következő	next
nga	oroszország	russia
ngai	a trón	crown
ngang	vízszintes	horizontal
ngao	kagyló	clam (n.)
ngay	jobb	even
nghe	hallgat	hear
nghinh	nghinh	welcome
nghiêm	szigorúan	serious
nghiêng	hajlamos	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	fecskendez	crush
nghiễm	kár	serious
nghiệm	tapasztalat	experiment
nghiện	függő	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	zord	adverse
nghành	ipar	faculty
nghèo	szegény	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	üdvözöljük	support
nghìn	ezer	thousand
nghĩ	gondol	think
nghĩa	eszközök	meaning
nghẽn	torlódás	jam
nghếch	hangos	stupid
nghề	szakma	career
nghệquận	művészet	art district
nghỉ	vakáció	relaxation
nghị	ajánlások	think
ngo	kecses	ngo
ngoan	jó fiú	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	ízletes	delicious
ngoài	ki	outside of
ngoại	külföldi	external
ngoạn	lélegzetelállító	spectacular
ngoặc	zárójelben	bracket
ngoặt	fordulat	landmark
ngu	alvás	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	eredeti	reason
nguyền	átok	curse
nguyện	eskü	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	hold	moon
nguôi	megnyugtató	fade away
nguồn	forrás	source
nguời	emberek	people
nguỵ	bolondok	camouflage
ngà	elefántcsont	russian
ngàn	ezer	thousand
ngàng	ngang	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	ág	sector
ngào	édes	sweet
ngày	nap	day
ngách	fülke	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	hülye	chinese ethnic group living in the vietnamese highlands near the china border
ngán	unott	to be tired of
ngáng	ngang	stop
ngát	ájulás	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bank	money
ngây	üres	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	koriander	coriander
ngó	néz	to look (v.)
ngói	csempe	tile or shingle
ngón	ujj	a finger (n.)
ngót	zsugorodás	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	nyelv	manifesto
ngông	liba	eccentric
ngõ	sáv	lane
ngùi	szag	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	rekesz	prevent
ngũ	alvás	rank
ngơ	figyelmen kívül hagyja	ignored (adj.)
ngơi	pihenés	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	halász	fishermen
ngưng	álljon meg	stop
ngưu	ökör	buffalo
ngươi	ön	an ancient form of address equivalent to thou or thee (n.)
người	emberek	people
ngưỡng	küszöb	religious
ngược	fordított	opposite
ngạc	meglepődött	surprise
ngạch	rang	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	bank	bank
ngạnh	horgokat	self-willed
ngạo	öntelt	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	fulladás	stuffy
ngấm	infúzióval	draw
ngất	elájul	unconscious
ngầm	beleértett	underground
ngần	tétovázik	hesitate
ngẩn	elképedt	froze
ngẫm	latolgat	think
ngẫu	véletlen	ngẫu nhiên= random
ngậm	cukorkák	keep
ngập	elárasztott	flood
ngắm	akartak	to contemplate or look admiringly at something (v.)
ngắn	rövid	short
ngặt	szoros	strict
ngọ	dél	horse
ngọc	drágakő	pearl
ngọn	felső	top
ngọt	édes	sweet (adj.)
ngồi	ül	sit
ngộ	felvilágosodás	ngo
ngột	hirtelen	sudden
ngớ	bolondos	silly
ngời	emberek	bright
ngỡ	gondolat	surprised
ngợi	dicséret	praise
ngợm	rossz	naughty
ngục	börtön	dungeon
ngụm	korty	sip
ngụy	wei	puppet
ngủ	aludni	sleep
ngủi	rövid	"(should be ""ngắn ngủi"") short-lived"
ngứa	viszkető	itchy
ngừ	tonhal	tuna
ngừa	prevent	prevent
ngừng	megszűnik	to cease (v.)
ngửa	oldalukkal felfelé	supine
ngửi	szag	to smell
ngữ	beszéd	term
ngự	tartózkodik	defend
ngựa	ló	horse
ngực	mellkas	chest
nha	fogorvos	dental
nhakẻ	kölyök	nha-ke
nham	láva	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	tömjén	incense
nhanh	gyors	fast
nhat	nhat	nhat
nhen	lobbantak	rekindle
nhi	gyermekek	junior
nhiên	tanfolyam	tuy nhiên= however
nhiêu	sokkal	how many
nhiều	sokkal	numerous
nhiễm	fertőzött	infect
nhiễu	zaj	noise
nhiệm	kötelesség	task
nhiệt	hőség	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	mint	demand
nhuận	nyereség	leap year
nhuệ	nhue	elite
nhuộm	festék	dye
nhàn	tétlen	leisure
nhàng	gyengéden	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	gyúr	to fall headlong
nhác	laza	coward
nhái	klónok	illegal copy
nhánh	ág	branch
nháp	vázlat	draft
nháy	villog	to flash or blink (v.)
nhâm	bemártás	leap
nhã	ízléses	"(term should be ""thanh nhã"") elegant"
nhãn	címke	"(term should be ""gán nhãn"") to affix a label"
nhét	tesz	put
nhì	második	second (adj.)
nhìn	néz	to look (v.)
nhí	csicsergés	children
nhím	sündisznó	porcupine
nhòm	néz	to peep (v.)
nhóc	kölyök	brat
nhóm	csoport	group (n.)
nhô	kiálló	emerge
nhôm	alumínium	aluminum (n.)
nhúng	bemárt	embed
nhút	félénk	shy
nhăn	ráncos	wrinkle
nhĩ	pitvari	turkey
nhũ	emulzió	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	vesztegetés	bribery
nhơn	szorzás	nhon
như	mint	like
nhưng	de	but
nhương	nyál	(proper noun) vietnamese first name
nhường	utat adott	yield
nhưỡng	zsíros	soil
nhược	gyengeség	weak
nhượng	engedmények	concession
nhạ	nha	nha
nhạc	zene	music
nhạn	nyel	bird
nhạo	gúnyos	ridicule
nhạt	sápadt	light
nhạy	érzékeny	sensitive
nhảy	tánc	jump
nhấc	emel	lift
nhấm	kortyolgatva	rodent
nhấn	nyomás	to press (v.)
nhất	legjobb	most
nhầm	rossz	misunderstand
nhầy	iszapos	glutinous
nhẫn	gyűrűk	patient
nhậm	bélyeges	inaugurate
nhập	import	penetrate
nhậu	ivás	drink
nhậy	érzékeny	sensitive
nhắc	gyors	to remind (v.)
nhắm	cél	aim
nhắn	az üzenet	message
nhằm	célzás	for the purpose of (adv.)
nhẵn	sima	smooth
nhặt	szed	pickup
nhẹ	fény	light
nhẹn	agilis	nhanh nhẹn= fast/nimble
nhị	porzószál	sensitive
nhịn	tartózkodik	fasting
nhọ	szerencsétlen	smear
nhọn	éles	sharp (adj.)
nhỏ	kicsi	small
nhỏ|cây	kicsi | fa	small|tree
nhỏ|một	kicsi | egy	small | one
nhỏ|phải|	kicsi | jobb |	small|right
nhỏ|phải|px|	kicsi | jobb | px |	small | have | px |
nhỏ|phải|px|bức	kicsi | jobb | px | képek	grape / fade / px / buc
nhỏ|phải|px|cây	kicsi | jobb | px | fa	px spicy grape fade
nhỏ|phải|px|khu	kicsi | jobb | px | zóna	small|right|px|area
nhỏ|phải|px|michael	kicsi | jobb | px | michael	small|right|px|michael
nhỏ|phải|px|máy	kicsi | jobb | px | gép	small | right|px|machine
nhỏ|phải|px|một	kicsi | jobb | px | egy	small|right|px|one
nhỏ|phải|px|quân	kicsi | jobb | px | erő	small|right|px|army
nhỏ|px|	kicsi | px |	small
nhỏ|px|các	kicsi | px | a	small
nhỏ|px|phải|kiến	kicsi | px | jobb | hangya	small | px | right | patience
nhỏ|quân	kicsi | erő	small|army
nhỏ|trái|px|máy	kicsi | bal | px | gép	small|left|px|plane
nhỏ|tượng	kis szobrok	small|statue
nhốt	bezárt	confine
nhồi	töltött	cram
nhổ	bátorság	uproot
nhộn	vicces	busy
nhớ	ész	remember
nhớt	nyúlós	viscid
nhờ	kösz	by
nhờn	zsíros	multiplication
nhở	emlékeztet	remind
nhụ	csipet	nhu
nhục	megalázott	shame
nhủ	emlékeztetők	needs
nhức	fájdalom	pain
nhứt	első	first (n.)
nhừ	puha	tender
những	ezek	the
nhựa	műanyag	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nikaiai	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigéria	nigeria
nikel	-nikkel	nickel
niken	nikkel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nyikolajevics	nikolayevich
nil	nulla	nile
nile	nílus	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	biztonság	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	nitrogén	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	év	youth
niết	niet	nirvana
niềm	öröm	trust
niệm	éberség	concept
niệu	fokozott vizeletkiválasztás	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noé	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	mond	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nem l	nol
nom	nom	look after
non	fiatal	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	normann	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	norvégia	norway
nou	nou	nou
novak	novak	novak
now	most	now
nowc	nowc	nowc
noãn	pete	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	núbia	nubia
number	szám	number
nupedia	nupédia	a name
nusa	nusa	nusa
nuôi	takarmány	feed
nuối	nyel	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	nyel	to swallow (v.)
nuớc	víz	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	na	na
nài	ragaszkodik valamihez	pleading
nàn	panaszkodott	poor
nành	szója	soy
nào	gyerünk	would
này	ez	this
ná	ná	a crossbow (n.)
nách	hónalj	underarm (n.)
náo	lármás	riot
nát	szétzúzott	ruin
náu	elrejt	hide
nâng	elevate	raise
nâu	barna	brown
nã	nã	to track down (v.)
não	agy	brain
né	kitérés	dodge
ném	dobás	to throw (v.)
nén	tömörített	compress
nét	stroke	feature
nê	ne	ne
nên	gyertyatartó	should or ought to
nêu	mondd	mention
nòi	verseny	race
nòng	hordó	barrel
nói	beszel	to say or speak (v.)
nón	kalap	cone
nóng	forró	hot
nô	rabszolga	slave
nôbita	tobita	nobita
nôi	gyerekágy	cradle
nôm	nom	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	hányás	vomit
nông	sekély	farmer
nõn	hámlás	peeled
nùng	nung	nung
núm	gomb	nipple
núp	elrejt	hide
nút	csomó	button
năm	év	year
năn	bűnbánó	"(term should be ""ăn năn"") remorse (n.)"
năng	erő	"(term should be ""khả năng"") ability (n.)"
nơi	hely	a place
nơtrino	neutino	neutrino
nước	ország	country
nước 	ország	water
nướng	grillezett	grill
nǎm	nǎm	year
nạ	maszk	mask
nạc	sovány	lean (adj.)
nại	panaszkodik	complain
nạn	szorongás	a disaster (n.)
nạo	méhkaparás	to scrape (v.)
nạp	töltött	tribute
nản	kedvét	depressed
nảy	pattogó	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	csuklás	a hiccup (n.)
nấp	elrejt	hide
nấu	szakács	cook
nấy	ez	this
nần	meglökés	debt
nầy	ez	this
nẩy	pattogó	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n nap	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	forró	busy
nắm	tart	to grasp or hold (v.)
nắng	napos	sunlight
nắp	fedő	a lid or cover (n.)
nằm	fekszik	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	névtelenül	heavy
nặn	présel	mould
nặng	nehéz	heavy
nẻo	egy másik	turn
nếm	íz	taste
nến	gyertya	candle
nếp	ragadós	sticky rice (n.)
nếu	ha	if (adv.)
nề	kőművesség	severe
nể	tisztelet	respect
nện	dobogás	ram
nỉ	filc	beg
nịnh	hízeleg	flatter
nọ	a másik	the other
nọc	méreg	tadpole
nỏ	nyílpuska	a crossbow (n.)
nối	csatlakoztatva	connection
nốt	jegyzet	to finish off (v.)
nồi	edény	pot
nồm	tarkó	humid (adj.)
nồng	forró	heavy
nổ	robbanó	explode
nổi	úszó	nổi tiếng= famous
nỗ	kísérlet	affort
nỗi	hogy	state
nộ	harag	anger
nội	belső	on the paternal side (adj.)
nộn	töltelék	non
nộp	iktatott	submit
nới	fellazulnak	ease
nở	virágzó	bloom
nỡ	szívű	do you have a heart to
nợ	adósságban	debt
nụy	bibe	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	parafa-	a kind of bamboo (n.)
nứt	repedt	to crack
nửa	fél	haft
nữa	újra	moreover
oahu	oahu	(proper noun) oahu
oai	retteg	heroic
oakland	oakland	oakland
oan	igazságtalanság	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	október	(proper noun) october
oda	o da	oda
oder	oder	oder
odyssey	odüsszea	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	tiszt	officer
officers	tisztek	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	olivér	oliver
olivier	olivier	olivier
olympus	olympus	olympus
om	dinsztelt	to simmer
omar	omar	a name
ong	méh	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	szerv	organ
oricon	oricon	oricon
origin	eredet	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	ozirisz	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	oszétia	(proper noun) ossetia
oswald	oswald	oswald
other	egyéb	other
otto	ottó	(proper noun) otto, as in otto von bismarck
ottoman	török	(proper noun) ottoman, as in the ottoman empire
outstanding	kiemelkedő	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	oxigén	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	neheztelés	"(term should be ""oán than"") to complain or whine"
oát	watt	a watt (n.)
oản	oan	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakisztán	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palesztina	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	pán	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panteon	a name
paolo	paolo	paolo
paperback	olcsó kiadás	paperback
papua	pápua	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	park	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	hazafi	patriot
paul	pál	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	társaik	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	penny	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	körtebor	(proper noun) perry, as in elizabeth perry
persephone	perszephoné	presephone
pershing	pershing	pershing
persian	perzsa	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	vegyes	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	fék	expose
phao	úszó	float
phaolô	pál	st. paul, the apostle
pharaoh	fáraó	pharaoh
pharaon	pharaon	pharaoh
phay	marás	mill
phe	klikk	faction
phen	fen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	fülöp-szigetek	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	szűrő	coffee filter
phineas	phineas	(proper noun) phineas
phiên	ülés	trial
phiêu	kaland	adventurous
phiếm	pletyka	gossip
phiến	penge	"(should be ""nha phiến"") opium"
phiện	ópium	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	főnix	(proper noun) phoenix
phong	szoba	movement
php	php	php
phrygian	frígiai	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	fedetlen	expose
phun	permet	to spray or spit (v.)
phà	komp	ferry
phàm	halandó	superhuman
phàn	panaszkodik	complain
phá	törés	destroy
phác	vázlat	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	üt	manner (n.)
phái	szekta	a party
phán	bíró	judge
pháo	ágyú	artillery
pháp	franciaország	method
phát	adás	develop
phèn	timsó	alum
phèo	pheo	organs
phép	engedélyezett	permit
phê	betépni	"(term should be ""phê bình"") to criticize (v.)"
phêrô	péter	peter
phì	nagyított	non-
phình	kidudorodás	bulge
phí	díj	non-
phía	oldal	side
phích	termosz	a flask (n.)
phím	kulcs	key
phò	pho	"(term should be ""phò mã"") a prince consort"
phòng	szoba	office
phó	helyettes	second
phóng	dob	to launch (v.)
phô	város	display
phôi	embrió	embryo
phông	betűtípus	font
phùng	pöfékel	phung
phúc	áldott	good fortune (n.)
phúclộc	áldás	phuc-loc
phún	ingyenélő	"(term should be ""lún phún"") sparse (adj.)"
phúng	kár	satire
phút	perc	a minute (n.)
phăn	ingerültség	phan
phăng	phang	knock
phương	phuong	direction
phước	áldás	luck
phường	kórterem	ward
phượng	főnix	phoenix
phạn	szanszkrit	sanskrit
phạt	büntet	punish
phả	családfa	pedigree
phải	jobb	must
phải 	jobb	right
phản	számláló	reaction
phảng	lakás	subtle
phần	rész	part
phẩm	termékek	food
phẩy	vessző	a comma
phẫn	felháborodott	wrathful
phẫu	sebészet	surgery
phận	sors	part
phật	buddha	buddhist
phẳng	repülőgép	flat (adj.)
phế	darabka	dismiss
phết	terjedés	to spread or smear (v.)
phỉ	mogyoróbokor	defame
phỏng	éget	interview
phố	város	city
phối	koordináta	coordinate
phốt	foszfát	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	felfújt	to swell (v.)
phổ	színkép	popular
phổi	tüdő	lung
phộng	földimogyoró	peanut
phới	úszó	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	tészta leves	pho
phục	felszerelés	convincing
phụng	szolgál	worship
phụt	pöfékel	minute
phủ	fedett	government
phức	összetett	complex
picchu	picchu	a name
