$	dollarni tashkil etadi	dollars
مشترك	o&#39;zaro	common
مشتركة	birgalikda	share
مشتقة	lotin	extracted
مشروع	loyiha	project
مشعل	olov	mashaal
مشكلة	muammo	problem
مشهد	sahna	footage
مشهور	mashhur	famous
مشهورة	mashhur	famous
مشيخة	u qari	mashyakha
مصادر	manbalar	sources
مصانع	zavodlar	plants
مصحف	mus&#39;haf	qur'an
مصدر	manba	source
مصر	misr	egypt
مصرف	bank	bank
مصري	misr	egyptian
مصريات	misr ayollari	egyptology
مصرية	misr	egyptian
مصريون	misrliklar	egyptian
مصطفى	mustafo	mostafa
مصطلح	muddatli	term
مصطلحات	shartlar	expressions
مصلحة	qiziqish	department
مصنع	zavod	factory
مصنوع	qilingan	made of
مصنوعة	tayyorlangan	made
مصير	taqdir	destiny
مضادة	hisoblagich	anti
مضخم	kuchaytirgich	buffer
مضى	davom etmoq	passed
مضيق	siqilish	narrow
مطابقة	moslik	identical
مطار	aeroport	airport
مطارات	aeroportlar	airports
مطالب	talablar	requirements
مطر	yomg&#39;ir	raining
مطرب	ashulachi	singer
مطلة	ko&#39;rinishi bilan	overlooking
مطلع	boshlanishi	the beginning
مطلقة	ajrashgan	complete, (divorced)
مظاهر	tashqi ko&#39;rinish	manifestations of
مظاهرات	e&#39;tirozlar	demonstration
مظهر	tashqi ko&#39;rinishi	the look
مع	bilan	with
معا	birga	together
معاداة	dushmanlik	enmity
معارض	qarshi	opposer
معارضة	muxolifat	opposition
معارك	janglar	battles
معالجة	qayta ishlanmoqda	treatmant
معالم	bosqichlar	landmarks
معامل	faktor	factories
معاملة	davolash	treatment
معاني	ma&#39;nolari	connotations
معاهدة	shartnoma	treaty
معاوية	sid	muawiya
معايير	standartlar	standards
معاً	birga	together
معبد	ma&#39;bad	temple
معتدل	mo&#39;&#39;tadil	moderate
معتدلة	mo&#39;&#39;tadil	moderate
معترف	akkreditatsiyadan o&#39;tgan	acknowledged
معجزة	mo&#39;&#39;jiza	miracle
معد	mo&#39;ljallangan	muad (name)
معدات	uskunalar	equipments
معدة	oshqozon	stomache
معدل	baholash	average
معدلات	stavkalar	rates
معدنية	metall	mineral
معرفة	bilim	knowledge
معركة	jang	battle
معروف	bir yaxshilik	known
معروفة	ma&#39;lum	known
معسكر	lager	camp
معسكرات	boot lageri	camps
معظم	ko&#39;pchilik	most
معظمها	aksariyati	most of them
معظمهم	ularning aksariyati	most of them
معقد	kompleks	complex
معقدة	murakkab	complicated
معلومات	ma&#39;lumotlar	information
معمر	katta	muammar
معناه	uning ma&#39;nosi	its meaning
معناها	uning ma&#39;nosi	meaning
معنى	ning ma&#39;nosi	a meaning
معه	u bilan	with him
معهد	institut	institute
معهم	ular bilan	with them
معينة	aniq	specific
معًا	birga	together
مغادرة	ketish	leave
مغامرات	sarguzashtlar	adventures
مغربي	marokash	morracan
مغناطيسي	magnit	magnetic
مغناطيسية	magnit	magnetic
مفاعل	reaktor	reactor
مفاهيم	tushunchalar	understandings
مفاوضات	muzokaralar	negotiations
مفتاح	kalit	key
مفتوحة	ochiq	open
مفتي	muftiy	mufti
مفصلة	menteşa	detailed
مفهوم	kontseptsiya	concept
مفيدة	foydali	useful
مقابر	qabristonlar	tombs
مقابل	qarama-qarshi	versus
مقابلة	suhbat	meeting
مقاتل	qiruvchi	warrior
مقارنة	taqqoslash	comparing
مقاطعات	tumanlar	districts
مقاطعة	boykot	county
مقاعد	o&#39;tirish	seats
مقال	maqola	article
مقالات	maqolalar	articles
مقالة	maqola	article
مقام	mahsulot	tomb
مقاومة	qarshilik	resistance
مقبرة	qabriston	cemetary
مقبولة	qabul qilinadi	acceptable
مقتل	o&#39;ldirildi	assault
مقتله	uni o&#39;ldirdi	his death
مقدار	miqdori	amount
مقدسة	muqaddas	divine
مقدم	taqdimotchi	presented
مقدمة	kirish	front
مقدونيا	makedoniya	macedonia
مقديشيو	mogadishu	mogadishu
مقر	bosh ofis	residence
مقرا	stol	residence
مقرها	asoslangan	its place
مقسمة	bo&#39;lingan	split
مقياس	tarozi	criterion
مكاتب	ofislar	offices
مكافحة	jang	counter
مكان	joy	place
مكانة	holat	position
مكانته	uning bo&#39;yi	position
مكانه	holat	his place
مكانها	uning o&#39;rni	it's location
مكة	makka	mecca
مكتب	idora	office
مكتبة	kutubxona	library
مكتوب	yozilgan	written
مكتوبة	yozilgan	follow
مكتوم	xirilladi	hidden
مكنسة	supurgi	broom
مكون	ingredient	composed
مكونات	tarkibi	components
مكونة	tuzilgan	formed
ملاحظات	izohlar	notes
ملاحظة	eslatma	noticing
ملاك	farishta	owners
ملامح	xususiyatlari	appearances
ملايين	millionlar	millions
ملجأ	boshpana	shelter
ملحوظ	belgilangan	notice / notable / marked
ملحوظة	nb	note
ملعب	stadion	field
ملعقة	qoshiq	spoon
ملف	fayl	file
ملفات	fayllar	files
ملك	shoh	king
ملكة	qirolicha	queen
ملكي	qirollik	royal
ملكية	mulk	property
ملكًا	qirol	king
ملوك	shohlar	kings
مليار	milliard	billion
مليون	million	million
مما	kamroq	so
مماثل	o&#39;xshash	similar
مماثلة	o&#39;xshash	similer
ممارسة	amaliyot	practicing
ممالك	qirollar	kingdoms
مماليك	mamlyuklar	mamluks
ممثل	aktyor	the representative
ممثلة	aktrisa	represented
ممرض	hamshira	nurse
ممكن	balki	possible
ممكنة	mumkin	possible
مملكة	qirollik	kingdom
ممن	kimdan	from
مميزات	xususiyatlari	destictive features
مميزة	alohida	unique
من	qayerdan	from
منا	aqshdan	from us
مناخ	iqlimi	atmosphere
منارة	chiroqchi	highlight
منازل	uylar	houses
مناسب	muvofiq	convenient
مناسبة	voqea	occasion
مناصب	lavozimlar	positions
مناطق	mintaqalar	regions
مناف	munaf	munaf : muslim boy name
منافسة	musobaqa	rivalry
مناقشة	debat	discussion
مناهج	o&#39;quv dasturlari	curricula
منتج	ishlab chiqaruvchi	producer
منتجات	mahsulotlar	products
منتخب	saylandi	national team
منتشرة	keng tarqalgan	spread
منتصف	o&#39;rta	in the mid of
منتظم	muntazam	regular
منتظمة	doimiy	consistent
منح	grant berish	giving
منحت	berilgan	given
منخفض	kam	low
منخفضة	kam	low
منذ	oldin	since
منزل	bir uy	home
منزلة	uning uyi	descend
منزله	uning uyi	his house
منصب	lavozim	position
منصبه	idora	his position
منصور	mansur	mansur (name)
منطقة	maydon	region
منظمات	tashkilotlar	organizations
منظور	istiqbol	manzour
منع	blok	prohibiting
منعت	oldini oldi	prevented
منغوليا	mo&#39;g&#39;uliston	mangolia
منها	qaysi biri	from it
منهج	usul	method
منهم	ular kim	from them
منهما	ular kim	of the two
منى	mona	mina
مني	mona	from me
منيرة	munira	muneera(name)
مهاجمة	hujum	attaching
مهارات	ko&#39;nikmalar	skills
مهام	vazifalar	responsibility
مهد	beshik	cradle
مهدي	mahdiy	mahdi
مهرجان	festival	festival
مهم	muhim	important
مهما	nima bo&#39;lsa ham	important
مهمة	missiya	important
مهمًا	nima bo&#39;lsa ham	even
مهنة	kasb	a job
مهندس	muhandis	engineer
مواجهة	qarama-qarshilik	confrontation
مواد	materiallar	materials
موارد	manbalar	resources
مواضيع	mavzular	topics
مواطن	fuqaro	citizen
مواطني	mening vatandoshlarim	the inhabitances
موافقة	assent	approval
مواقع	saytlar	sites
مواقف	vaziyatlar	situations
مواليد	chaqaloqlar	born
موانئ	portlar	ports
موت	o&#39;lim	death
موته	uning o&#39;limi	his death
موجات	to&#39;lqinlar	wages
موجة	to&#39;lqin	wave
موجودة	topildi	presented
موحد	birlashtirilgan	unitarian
موحدة	formali	united
مورد	yetkazib beruvchi	case
موريتانيا	mavritaniya	mauritania
موسكو	moskva	moscow
موسم	mavsum	season
موسوعة	entsiklopediya	encyclopedia
موسوليني	mussolini	mussolini
موسى	musa	moses
موسيقى	musiqa	music
موسيقية	musiqiy	musical
موضع	holati	position
موضوع	mavzu	topic
موضي	nodon	moudhi
موطن	uy	civilian
موعد	uchrashuv	date
موقع	manzil	website
موقعة	imzolangan	signed
موقعه	imzolangan	position
موقعها	uning joylashuvi	its sight
موقف	munosabat	situation
موقفه	uning mavqei	his situation
مول	savdo markazi	mall
مولاي	moulay	your highness
مولده	uning tug&#39;ilishi	born
موليبدنوم	molibden	moulibdnom
مونتانا	montana	montana
مونكو	monko	monko
مياه	suvlari	water
ميت	o&#39;lik	dead
ميثاق	nizom	charter
ميثيونين	metionin	memethionine
ميخائيل	maykl	mikhail
ميدان	maydon	field
ميزانية	byudjet	budget
ميزة	xususiyat	feature
ميسي	messi	lionel messi
ميكانيكا	mexanika	mechanics
ميل	nafas	tendency
ميلاد	tug&#39;ilish	born
ميلان	milan	milan
ميلانو	milan	milan
ميلودراما	melodrama	melodrama
ميناء	bandargoh	port
ميونيخ	myunxen	munich
مَا	nima	not
مَنْ	qayerdan	who
مِن	qayerdan	from
مِنْ	qayerdan	of
ن	n	n
نائب	o&#39;rinbosari	subordinate
ناب	tus	bicuspid
نابلس	nablus	nablus
نابليون	napoleon	napoleon
ناتج	chiqish	output
ناجحة	omadli	sucessful
ناحية	qo&#39;l	way
نادرة	kamdan kam	rare
نادى	klub	called
نادي	klub	club
نار	yong&#39;in	fire
ناسا	nasa	nasa
ناصر	naser	nasser
ناطقة	gapirmoqda	speaker
نال	unda bor	receive
نالت	u oldi	got
نانسي	nensi	nances
نايف	nayef	nayef
نبات	o&#39;simlik	plant
نباتات	o&#39;simliklar	plants
نبتون	neptun	neptune
نبذة	qisqacha	a notice
نبي	payg&#39;ambar	prophet
نبيل	nabil	nabil
نت	aniq	net
نتائج	oqibatlari	results
نتاج	mahsulot	result
نتج	natijada	resulted
نتيجة	taqvim	as a result
نجاح	muvaffaqiyat	success
نجاحاً	muvaffaqiyat	success
نجاد	najod	negad
نجح	u muvaffaqiyatga erishdi	success
نجحت	men o&#39;tdim	win
نجد	biz topamiz	we find
نجران	najron	nagran
نجم	yulduz	star
نجمة	yulduz	star
نجوم	yulduzlar	stars
نجيب	najib	naguib
نحن	biz	we are
نحو	to&#39;g&#39;ri	towards
نذكر	biz eslatib o&#39;tamiz	mention
نرى	ko&#39;ramiz	see
نزار	nazar	nazzar
نزل	yuklab oling	dropped
نزلت	men tushdim	arrived at
نزول	pastga tushadi	conveying
نساء	ayollar	women
نسب	ajdodlari	parentage
نسبة	baholash	related to
نسبته	uning nisbati	rate
نسبه	foiz	relation
نسبيا	nisbatan	relatively
نسبياً	nisbatan	relatively
نسبيًا	nisbatan	relatively
نستطيع	biz bajara olamiz	we can
نسخ	nusxalari	naskh
نسخة	nusxalash	copy
نسل	urug &#39;	generation
نسمة	shabada	person
نشأ	kraxmal	arise
نشأة	ibtido	growth
نشأت	kelib chiqqan	grown up
نشأته	men o&#39;sganman	his grouth
نشأتها	u kelib chiqdi	its emerging
نشاط	faoliyat	activity
نشاطات	faoliyatlar	activities
نشبت	buzilib ketdi	warm up
نشر	tarqalish	spread
نشرت	chop etilgan	published
نشرها	joylashtirdi	spread
نشط	faol	worked
نشطة	faol	active
نشوء	paydo bo&#39;lishi	emergence
نشوب	avj olish	out break of
نص	matn	text
نصب	sozlash	nominate
نصر	g&#39;alaba	victory
نصف	yarim	half
نصوص	matnlar	texts
نصيب	ulush	share
نصير	qo&#39;llab-quvvatlovchi	champion
نطاق	domen	domain
نظام	tizim	system
نظر	ko&#39;rib chiqish	in the eyes
نظرا	to&#39;lanadigan	inasmuch
نظراً	to&#39;lanadigan	because
نظرة	qarash	looking
نظريات	nazariyalar	theories
نظرية	nazariya	theory
نظريته	uning nazariyasi	his theory
نظرًا	to&#39;lanadigan	regarding
نظم	uyushgan	systems
نظير	gugurt	an instance
نعرف	bilamiz	know
نعيم	nom	na'eem
نفر	o&#39;chirmoq	one
نفس	xuddi shu	same
نفسه	o&#39;zi	same
نفسها	o&#39;zi	itself
نفسي	o&#39;zim	emotional
نفسية	psixologik	psychological
نفط	yog &#39;	petrol
نفوذه	uning ta&#39;siri	his influence
نفوذها	uning ta&#39;siri	influence
نفوس	ruhlar	psyches
نفي	rad etish	denial
نقاط	ball	points
نقد	naqd pul	critique
نقص	kamchilik	critique
نقطة	nuqta	point
نقل	transfer	transmitting
نقله	uni siljiting	his moving
نقول	deymiz	we say
نماذج	shakllar	examples
نمت	yetishtirilgan	grew
نمر	yo&#39;lbars	nemir
نمط	uslubi	style
نمو	o&#39;sishi	development
نموذج	shakl	model
نهائي	yakuniy	final
نهائيات	final	final
نهاية	oxiri	end
نهج	yondashuv	path
نهر	daryo	river
نهضة	uyg&#39;onish davri	renaissance
نهيان	nahyan	nahyan
نواب	deputatlar	delegates
نواة	yadrosi	kernel
نواس	mayatnik	abu-nuwas
نوبل	nobel	nobel
نوح	nuh	noah
نور	yorug&#39;lik	noor
نورة	noura	nora
نوستراداموس	nostradamus	nostradamus
نوع	turi	kind
نوعا	shunga o&#39;xshash narsa	kind
نوعان	ikki xil	two types
نوعه	uning turi	its kind
نوعها	uning turi	its kind
نوعية	sifat	the type of
نوعين	ikki xil	two kinds
نوفمبر	noyabr	november
نووي	yadroviy	nuclear
نووية	yadro	nuclear
نيتشه	nitsshe	nietzsche
نيجيريا	nigeriya	nigeria
نيوتن	nyuton	newton
نيوزيلندا	yangi zelandiya	new zealand
نيويورك	nyu york	new york
هؤلاء	bular	them
هائل	ulkan	great
هائلة	katta	huge
هاتين	bu ikkisi	these
هاجر	hijrat qilingan	migrated
هاجروا	ular hijrat qilishdi	migrated
هاجم	hujum qilindi	attacked
هاجمت	hujum qilindi	attacked
هارفارد	garvard	harvard
هارون	horun	haroon
هاري	garri	harry
هاشم	hoshim	hashem
هام	muhim	important
هاما	muhim	important
هاماً	muhim	important
هامة	muhim	important
هاواي	gavayi	hawaii
هايدا	xayda	hida
هتلر	gitler	hitler
هجرة	migratsiya	emigration
هجمات	hujumlar	attacks
هجوم	hujum	attack
هدف	maqsad	aim
هدفه	uning maqsadi	his goal
هدم	yo&#39;q qil	demolition
هدنة	sulh	cease-fire
هدى	qo&#39;llanma	houda
هذا	bu	this
هذان	bu ikkisi	these
هذة	bu	this
هذه	bu	this
هذين	bu ikkisi	these
هرب	qochdi	escape
هرقل	herkullar	hercules
هرقليطس	heraklit	herletes
هرم	piramida	pyramid
هريرة	mushukcha	harira
هزم	mag&#39;lubiyatga uchradi	defeat
هزيمة	mag&#39;lubiyat	defeat
هشام	xesham	hisham
هضبة	plato	hill
هطول	yog&#39;ingarchilik	raining
هـ	e	hegire
هـم	hm	bc
هكتور	gektor	hekwer
هكذا	shunday qilib	and like this
هل	senchi	do
هلال	yarim oy	cresent
هم	ular	them
هما	ular	are
هنا	bu yerda	here
هناك	ana u yerda	over there
هنالك	mana	over there
هند	hind	hend
هندسة	muhandislik	engineering
هنري	genri	henry
هو	u	him
هواء	havo	air
هوراس	horace	horass
هولاكو	hulagu	hulagu khan
هولندا	gollandiya	netherlands
هوية	aniqlash	identity
هي	u	is
هيئة	tanasi	organization
هيا	kel	haya
هياكل	tuzilmalar	frame
هيدروجين	vodorod	hydrogen
هيفاء	hayfa	haifa
هيكل	tuzilishi	structure
هيلين	xelen	helene
هيم	hem	heme
هينايانا	xinayana	hinaiana
هُوَ	u	it is
و	va	and
وآخر	va yana	other
وآخرون	va boshqalar	and others
وآسيا	va osiyo	and asia
وآله	va uning oilasi	his family
وأبرز	eng ko&#39;p ta&#39;kidlangan	and the most obvious
وأبرزها	eng mashhuri	and the most obvious
وأبو	va abu	and sphinx
وأبي	va dadam	and abi
وأتباعه	va uning izdoshlari	and his followers
وأثناء	va davomida	during
وأجزاء	va qismlar	and parts
وأجهزة	va servo	and devices
وأحد	bitta	and a
وأحمد	va ahmad	and ahmed
وأحيانا	va ba&#39;zan	and sometimes
وأخذ	va oldi	took
وأخذت	va u oldi	it begins to
وأخرى	va yana	and others
وأخيرا	va nihoyat	and finally
وأخيراً	va nihoyat	finally
وأخيرًا	va nihoyat	finally
وأدت	va olib keldi	caused
وأدى	vodiy	led to
وأذربيجان	va ozarbayjon	and abidjan
وأربعين	va qirq	and forty
وأرسل	u yubordi	and he sent
وأساليب	va usullari	and methods
وأسباب	va sabablari	causes
وأستراليا	va avstraliya	australia
وأسس	va poydevorlar	founded
وأشار	ishora	and pointed
وأشهر	eng taniqli	and the more famous
وأصبح	va u bo&#39;ldi	and becomes
وأصبحت	va men bo&#39;ldim	and became
وأصحاب	va egalari	owners
وأصحابه	va uning hamrohlari	and his friends
وأضاف	u qo&#39;shib qo&#39;ydi	and added
وأطلق	ishdan bo&#39;shatildi	given
وأعضاء	va a&#39;zolar	and members
وأعلن	- deb e&#39;lon qildi u	and declared
وأعلنت	bu e&#39;lon qilindi	announced
وأغلب	va ko&#39;pchilik	and most
وأفريقيا	va afrika	and africa
وأفغانستان	va afg&#39;oniston	afganistan
وأقاليم	va hududlar	regions
وأقام	u qoldi	established
وأقدم	va undan katta	and oldest
وأقل	va kamroq	and less
وأكبر	va kattaroq	greater
وأكثر	va boshqalar	and more
وأكثرها	va ularning aksariyati	and the most of them
وأكد	tasdiqlangan	and confirmed
وألمانيا	va germaniya	germany
وأما	yoki	and either
وأمر	- buyurdi u	and ordered
وأمريكا	va amerika	america
وأمه	va onasi	and his mother
وأن	va albatta	and to
وأنا	va men	and i
وأنشأ	ta&#39;sis etilgan	established
وأنه	va bu shunday	and that
وأنها	va u	and it is
وأنواع	va turlari	and types
وأهل	va odamlar	and the people
وأهم	va eng muhimi	and most important
وأهمها	eng muhimi	and most important
وأوائل	va erta	early
وأوروبا	va evropa	europe
وأول	va birinchi	and first
وأي	va har qanday	and which
وأيضا	va shuningdek	and also
وأيضاً	va shuningdek	and also
وأيضًا	va shuningdek	and also
وإدارة	va menejment	management
وإذا	agar	and if
وإسبانيا	va ispaniya	and spain
وإسرائيل	va isroil	israel
وإعادة	va yana	rebuild
وإعلان	va e&#39;lon	and declaring
وإقامة	va o&#39;rnating	and establishing
وإلا	aks holda	unless
وإلى	va	to
وإن	va albatta	and that
وإنتاج	va ishlab chiqarish	and producing
وإنشاء	va yaratish	and writing
وإنما	ammo buning o&#39;rniga	however
وإيران	va eron	and iran
وإيطاليا	va italiya	and italy
وائل	vael	wael
وابن	va o&#39;g&#39;il	and the son
وابنه	va uning o&#39;g&#39;li	and hihttp://mturk.jhu.edu/static/images/ar/word/0003757970.pngs son
واجب	burch	duty
واجه	yuz	faced
واجهة	interfeysi	interface
واجهت	qarang	faced
واحد	bitta	one
واحدا	bitta	one
واحداً	bitta	one
واحدة	bitta	one of
واحدًا	bitta	once
وادي	vodiy	and led
وارتفاع	va baland	increase
واستخدام	va foydalanish	usage
واستخدم	va foydalanish	utilized
واستطاعت	va u muvaffaq bo&#39;ldi	and was able
واستمر	va davom etdi	and continued
واستمرت	va davom etdi	and it continued
واسع	keng	wide
واسعة	keng	wide
واسم	va ism	and name
واسمه	va uning ismi	and his name
واشنطن	vashington	washington
واصل	shunday davom eting	and continues
واضح	aniq	clear
واضحة	aniq	clear
واعتبر	ko&#39;rib chiqilgan	considered
وافق	u rozi bo&#39;ldi	agreed
وافقت	tasdiqlangan	agreed
واقع	voqelik	the fact
واقعة	voqea	placed
والآثار	va effektlar	and effects
والآخر	va boshqasi	and the other
والآداب	va odob-axloq qoidalari	and arts
والآلات	va mashinalar	and the machines
والأحزاب	va partiyalar	and parties
والأخرى	va boshqasi	other
والأخلاق	va axloq	and morals
والأدب	va adabiyot	literatures
والأراضي	va erlar	lands
والأردن	iordaniya	and jordan
والأرض	va er	and land
والأطفال	va bolalar	and the children
والأعمال	va ishlaydi	works
والأفكار	va g&#39;oyalar	and the ideas
والأكثر	va boshqalar	the most
والأمراء	va shahzodalar	and the princes
والأمن	xavfsizlik	the security
والأمير	va shahzoda	and the prince
والأميرة	va malika	and the princess
والأنصار	va tarafdorlari	ansar
والأنهار	va daryolar	and rivers
والإدارة	va menejment	and administration
والإسلام	va islom	and islam
والإسلامية	va islomiy	islamic
والإعلام	va ommaviy axborot vositalari	and the media
والإمارات	va amirliklar	united arab emirates
والإمام	va imom	and el-imam
والإمبراطورية	va imperiya	and the empire
والإنسان	va inson	and man
والإيمان	va imon	and believing
والاتحاد	va kasaba uyushmasi	and the union
والاتصالات	va aloqa	and communications
والاجتماعي	va ijtimoiy	and the social
والاجتماعية	va ijtimoiy	and the social
والاقتصاد	va iqtisodiyot	and economy
والاقتصادي	va iqtisodiy	economic
والاقتصادية	va iqtisodiy	economic
والباحثين	va tadqiqotchilar	and researchers
والبحر	va dengiz	sea
والبحرية	dengiz	and marine
والبحرين	va bahrayn	bahrain
والبعض	va ba&#39;zi	some
والبنية	va tuzilishi	course
والبيئة	va atrof-muhit	environment
والتاريخ	va tarix	history
والتجارة	va savdo	and commerce
والتحليل	va tahlil qilish	and the analysis
والتخلص	va qutuling	and get rid of
والتدريب	va mashg&#39;ulot	and training
والتطور	va evolyutsiya	development
والتطوير	va rivojlanish	development
والتعاون	hamkorlik	and cooperation
والتعليم	va ta&#39;lim	education
والتقاليد	va an&#39;analar	traditions
والتكنولوجيا	va texnologiya	technology
والتلفزيون	va tv	and television
والتنمية	va rivojlanish	and developing
والتوزيع	va tarqatish	and the distribution
والتي	va bu	and that is
والثالث	uchinchisi	and third
والثاني	va ikkinchi	and the second
والثانية	va ikkinchi	and the second
والثقافة	va madaniyat	culture
والجامعات	va universitetlar	and universities
والجدير	va bunga arziydi	and worth
والجزء	va qismi	and the part
والجزائر	va jazoir	and algeria
والجزر	va orollar	island
والجماعة	va guruh	and the group
والجمال	va go&#39;zallik	and camels
والجنوب	va janubda	and the south
والجنوبية	va janubiy	and southern
والجيش	va armiya	and the army
والحجاز	va hijoz	and hegaz
والحديث	va gaplashing	modern
والحديد	va temir	specifically
والحرب	va urush	war
والحركة	va harakat	and the movement
والحروب	va urushlar	and the wars
والحرية	va erkinlik	freedom
والحزب	va partiya	and the party
والحسن	va yaxshi	and el hassan
والحسين	va husayn	and el hussein
والحضارة	va tsivilizatsiya	and civilization
والحفاظ	va saqlang	and maintaining
والحكم	va hukm	rule
والحكومات	va hukumatlar	and the governments
والحكومة	va hukumat	and government
والحياة	va hayot	life
والحيوانات	va hayvonlar	animals
والخارجية	va tashqi	and external
والخاصة	va maxsus	and the private
والخدمات	va xizmatlar	and the services
والد	otasi	father
والدة	ona	mother
والدته	onasi	his mother
والدراسات	va tadqiqotlar	and studies
والدفاع	va mudofaa	defence
والدليل	isbot	and the proof
والده	ona	his father
والدها	uning otasi	her father
والدول	va davlatlar	and countries
والدولة	va davlat	country
والدين	ota-onalar	and religion
والدينية	diniy	and religious
والذي	va kim	and which
والذين	va kim	and those who
والرئيس	va prezident	and the president
والرابع	va to&#39;rtinchisi	and quarter
والرومان	rimliklarga	and the romans
والرومانية	va rumin	and the roman
والرياح	va shamol	wind
والرياضيات	va matematika	and mathematics
والزبير	va zubayr	zubeir
والزراعة	qishloq xo&#39;jaligi	and the agriculture
والزهرة	va gul	venus
والسادس	oltinchisi	sixth
والسبب	va sababi	reason
والسعودية	saudiya arabistoni	and saudi
والسلام	va tinchlik	and peace
والسنة	va yil	and suna
والسودان	va sudan	sudan
والسويد	shvetsiya	and swedish
والسياسة	va siyosat	and politics
والسياسي	va siyosatchi	and the political
والسياسية	va siyosiy	political
والسيطرة	va boshqarish	control
والشام	va levant	and levant
والشرق	va sharqda	and the east
والشركات	va kompaniyalar	and corporates
والشعر	va sochlar	and poetry
والشمال	va shimoliy	and the north
والشيخ	va shayx	and the sheikh
والشيعة	shiyitlar	shia
والصفات	va sifatlar	and attributes
والصلاة	va ibodat	and prayers
والصناعات	va tarmoqlar	and the industries
والصناعة	va sanoat	industry
والصين	va xitoy	china
والطاقة	va energiya	and energy
والطب	va tibbiyot	and medicine
والطيور	va qushlar	and birds
والعالم	va dunyo	world
والعديد	va yana ko&#39;p narsalar	and many
والعراق	va iroq	iraq
والعرب	va arablar	and arab
والعربية	va arabcha	arabic
والعسكرية	harbiylar	and military
والعشرون	yigirma	and twenty
والعشرين	yigirma	and the twentith
والعطلات	va bayramlar	vacancies
والعلاج	va davolash	therapy
والعلاقات	va munosabatlar	and the relations
والعلم	va fan	flag
والعلماء	va olimlar	and scientists
والعلمية	va ilmiy	and scientific
والعلوم	va fan	and sciences
والعمارة	va arxitektura	and architecture
والعمل	va ishlang	and work
والعمليات	va operatsiyalar	operations
والعناية	va g&#39;amxo&#39;rlik qiling	and the care
والغابات	va o&#39;rmonlar	forests
والغاز	va gaz	and the gas
والغرب	va g&#39;arb	and the west
والغربية	g&#39;arbiy	and the western
والغناء	va qo&#39;shiq ayt	and singing
والفارسية	va forsiy	and the pertian
والفرات	furot	and furat
والفرنسية	va frantsuz	and the french
والفضة	va kumush	and silver
والفقه	huquqshunoslik	and the jurisprudence
والفلسفة	va falsafa	and philosophy
والفلك	va astronomiya	astronomy
والفن	va san&#39;at	and arts
والفنون	va san&#39;at	arts
والفيزياء	va fizika	and physics
والقانون	va qonun	and the law
والقدرة	va qobiliyat	and the ability
والقرآن	va qur&#39;onni	and qur'an
والقضاء	va yo&#39;q qilish	elimination
والقمر	va oy	and the moon
والقوات	va kuchlar	and the forces
والقوانين	va qonunlar	and laws
والقوة	va kuch	and power
والكتاب	va kitob	and the book
والكتابة	va yozing	writing
والكثير	va yana ko&#39;p narsalar	and many
والكنيسة	va cherkov	and the church
والكواكب	va sayyoralar	and the planets
والكيمياء	va kimyo	and chemistry
واللغات	va tillar	languages
واللغة	va til	and the language
والله	qasam ichaman	and god
والمؤسسات	va muassasalar	institutions
والماء	va suv	water
والمحيط	va okean	and the pacific
والمدارس	va maktablar	schools
والمدن	va shaharlar	cities
والمدينة	va shahar	city
والمرأة	va ayol	the woman
والمسجد	va masjid	and the mosque
والمسيحية	xristianlik	the christian
والمسيحيين	va nasroniylar	the christians
والمعادن	va minerallar	the metals
والمعاهد	va institutlar	institutes
والمعدات	va uskunalar	equipments
والمعراج	va sarob	the ascension
والمعرفة	va bilim	the knowledge
والمعروف	ma&#39;lum	known
والمعروفة	ma&#39;lum	known
والمغرب	va marokash	morocco
والمكسيك	va meksika	mexico
والملك	va shoh	king
والمملكة	va saltanat	kingdom
والمناخ	va iqlim	atmosphere
والمناطق	va hududlar	regions
والمنتجات	va mahsulotlar	products
والمنطق	va mantiq	logic
والمنطقة	va mintaqa	the area
والمواد	va materiallar	the materials
والمواصلات	tashish	transportation
والموسيقى	va musiqa	music
والمياه	va suv	water
والنباتات	va o&#39;simliklar	plants
والنجوم	va yulduzlar	and the satrs
والنرويج	norvegiya	norway
والنساء	va ayollar	and women
والنسيج	va mato	and fabric
والنقد	va tanqid	and cash
والنقل	va transport	transportation
والنمسا	va avstriya	austria
والنهاية	va nihoyat	the end
والهرسك	va gersegovina	-hersek
والهند	hindiston	and india
والهندسة	va muhandislik	and engineering
والواقع	haqiqatdan ham	and reality
والولايات	va davlatlar	and the states
والي	vali	alderman
واليابان	va yaponiya	japan
واليمن	va yaman	yemen
واليهود	va yahudiylar	and jews
واليهودية	va iudaizm	jewish
واليوم	va bugun	and today
واليونان	gretsiya	and greek
وان	va albatta	and that
وانتشار	va tarqaldi	and expansion
وانتشر	u tarqaldi	and spread
وانتشرت	va tarqaldi	spread
وانتهت	va tugadi	and ended
وانتهى	u tugadi	ended
وانخفاض	va past	and a decrease
واهتم	va g&#39;amxo&#39;rlik qiling	and cared
وبأن	va bu	and to
وباء	epidemiya	plague
وباقي	va qolganlari	other
وباكستان	va pokiston	and pakistan
وبالأخص	jumladan	and specifically
وبالإضافة	qo&#39;shimcha	and in addition to
وبالتالي	va shuning uchun	and thus
وبالتحديد	va aniq	and precisely
وبالرغم	garchi	despite the
وبالفعل	va haqiqatan ham	indeed
وبالمثل	xuddi shunday	and similarly
وبالنسبة	va uchun	according to
