$ tỉ	milliard dollar	$ billion
malaysia	malayziya	(proper noun) the country of malaysia
malcolm	malkolm	malcolm
maldini	maldini	maldini
mali	mali	mai
malta	malta	malta
maluku	maluku	maluku
manche	manche	manche
manchester	manchester	manchester
mandela	mandela	mandela, as in nelson mandela
mandy	mandy	mandy
mang	tashish	to bring (v.)
manga	manga	manga
mangnall	mangnal	(proper noun) mangnall, as in ernest mangnall
manh	manh	fragile
manila	manila	manila, the capital of the philippines
mankiw	mankiw	mankiw, as in gregory mankiw
manti	manti	mantle
manuel	manuel	manuel
mao	mao	capillary
maps	xaritalar	maps
maradona	maradona	(proper noun) maradona, as in soccer player diego maradona of argentina
marat	marat	(proper noun) marat, as in marat safin, a tennis player
marc	marc	marc, as in marc chagall
marcel	marsel	(proper noun) marcel, a french name
marcos	markos	(proper noun) marcos, as in ferdinand marcos
marcus	marcus	marcus, as in marcus aurelius (n.)
margaret	margaret	(proper noun) margaret
maria	mariya	(proper noun) maria
marianne	marianne	(proper noun) marianne
marie	mari	marie
marina	marina	marina
marino	marino	marino
marić	marić	maric
marmara	marmara	(proper noun) marmara, as in the sea of marmara
marne	marne	marne, as in the marne river (n.)
mars	marslar	mars
marseille	marsel	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	marks	this is a name
mary	mari	(proper noun) mary
maryland	merilend	a name
maría	mariya	maria
mas	mas	mas
massachusetts	massachusetts	massachusetts
mat	mat	mat
mathematica	matematikasi	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	matlar	mats, as in mats sundin
matthias	mattiyalar	matthias, as in matthias erzberger
mau	tezda	fast
maurice	maurice	(proper noun) maurice
mausolus	maqbara	mausolus
maxim	maksim	a name
may	tikish	lucky
maya	mayya	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccain	mccain
mccartney	makkartni	a name
mccullough	mccullough	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mkv	mean corpuscular volume
media	ommaviy axborot vositalari	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	madina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	melburn	melbourne
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mersedes	a name
messenger	messenger	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	messi	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	oshpazlar	meyers
miami	mayami	a name
michael	maykl	michael
michaels	michaels	michaels
michelangelo	mikelanjelo	michelangelo
michigan	michigan	a name
micro	mikro	micro
microbiology	mikrobiologiya	microbiology
microeconomics	mikroiqtisodiyot	microeconomics
micronesia	mikronesiya	micronesia
microsoft	mikrosoft	(proper noun) the microsoft company
miguel	migel	miguel
mike	mayk	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	milan	milan
milano	milano	milano
miley	miley	miley
mill	tegirmon	mill
miller	tegirmonchi	miller
milton	milton	milton
min	daq	min
minas	minalar	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	mirafloralar	miraflores
mirage	sarob	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	noto&#39;g&#39;ri ishlash	misfits
mississippi	mississippi	mississippi
missouri	missuri	(proper noun) the state of missouri
mitchel	mitsel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	gipnoz	mien
miêu	mushuk	"(term should be ""miêu tả"") to describe (v.)"
miến	guruch noni	burma
miếng	dona	a piece (n.)
miếu	ma&#39;bad	temple
miền	domen	area
miễn	ozod qilingan	to exempt (v.)
miện	toj	crown
miệng	og&#39;iz	mouth
mm	mm	millimeter
mobile	mobil	mobile
mode	rejimida	mode
modul	moduli	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	muxammad	mohammad
mohammed	muxammad	mohammed
moi	yangi	winkle
molecular	molekulyar	molecular
molotov	molotov	molotov
molypden	molibden	the element molybdenum (n.)
mongolia	mo&#39;g&#39;uliston	mongolia
monique	monika	(proper name) monique, a french first name
mono	mono	mono
monroe	monro	monroe
mont	oy	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	monreal	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	mong	moong
mora	mora	mora
moravia	moraviya	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	marokash	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	moskva	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourino	mourinho
movie	film	movie
mozambique	mozambik	(proper noun) mozambique
mozart	motsart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	xonim	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	sotib olmoq	buy
much	ko&#39;p	much
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	qorong‘u	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromati	(proper noun) muromachi
murphy	murfiya	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	xohlamoq	a large number; thousands (adj.)
muối	tuz	salt
muốn	xohlamoq	want
muống	qoshiq	"(term should be ""rau muống"") water spinach (n.)"
muồi	kech	ripe
muỗi	pashsha	mosquito
muỗng	qoshiq	spoon
muội	singil	confusion
muộn	kech	late (adv.)
myanma	myanma	the country of myanmar
myanmar	myanma	(proper noun) myanmar
myspace	mening bo&#39;shligim	(proper noun) myspace
mà	lekin	also
mài	öğütme	tomorrow
màn	ekrani	curtain (n.)
mành	ko&#39;rlar	a bamboo screen (n.)
mào	xarsangtosh	a comb or crest, as in the body part of a bird
màu	rangi	color
mày	siz	sew
má	ona	cheek
mác	yorliq	a name (marx)
mách	maslahatlar	tell
máclênin	marksel	marxist-leninist
mái	tomi	"entire term should be ""thoai mai""; means ""comfortable"""
mát	salqin	cool
máu	qon	blood
máy	mashina	a machine (n.)
mâm	patnis	tray
mân	tasbeh	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	qarama-qarshi	contradiction
mây	bulut	cloud
mã	kodi	"(term should be ""la mã"") roman (adj.)"
mãi	abadiy	forever (adv.)
mãimại	kodi	commerce
mãn	mamnun	satisfy
mãnh	kuchli	intense
mão	tojlar	cat
mè	kunjut	sesame
mèo	mushuk	cat (n.)
mé	mé	a border
méo	buzilgan	alter
mép	chekka	edge
mét	metr	meter
mênh	ajablanib	vast
mêtan	metan	methane
mì	nood	wheat
mình	o&#39;zingiz	me
mía	qamish	sugar cane (n.)
mò	aqlsiz	to grope (v.)
mòn	iz	trail
móc	ilgak	"(term should be ""máy móc"") machinery (n.)"
món	ovqat	dish
mô	to&#39;qima	mo
môi	har biri	lip
môn	mavzular	anus
mông	dumba	mongolia
mônôxít	oksid	monoxide
môt	bitta	"(term should be ""một"") one (n.)"
môtô	mototsikl	motorcycle
mù	ko&#39;r	mu
mùa	mavsum	season
mùi	hid	smell
múa	raqsga tushish	dance
mút	emadigan	to suck (v.)
münchen	munchen	(proper noun) munchen
măng	bambuk asirlari	bamboo shoot (n.)
mĩ	amerika	america
mũ	shlyapa	cap
mũi	burun	nose
mơ	tush	vague
mơn	panjalari	caress
mưa	yomg&#39;ir	rain
mưu	ayyor	"(should be ""tham mưu"") advisors"
mươi	ellik	tens
mương	quritib oling	ditch
mướn	ijara	hire
mướt	ipakdek	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	qarz olmoq	borrow
mượt	silliq	glossy (adj.)
mạc	cho&#39;l	"(should be ""mộc mạc"") simple or natural"
mạch	elektron	vessel
mại	savdo	commerce
mạn	tomoni	romantic
mạnh	kuchli	strong
mạo	maqola	"(should be ""mạo hiểm"") to brave danger"
mạt	oqadilar	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	qabrlar	tomb or grave (n.)
mải	band	absorbedly
mảng	qator	genre
mảnh	parcha	piece
mất	yo&#39;qolgan	lose
mấu	yorliq	key
mấy	ozgina	any
mầm	mikrob	kindergarten
mầu	rangi	color
mẩu	dona	piece
mận	olxo&#39;ri	plum
mập	yog &#39;	fat
mật	asal	intimate
mậu	savdo	mau
mắc	qimmat	get
mắm	baliq sousi	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	omadli	"(term should be ""may mắn"") fortunate (adj.)"
mắng	urishmoq	scold
mắt	ko&#39;z	eye
mặc	kiyish	wear
mặn	sho&#39;r	salt
mặt	yuzi	face
mẹ	onam	mother (n.)
mẹo	maslahatlar	trick
mẻ	partiyasi	cool
mẽ	kuchli	strong
mến	azizim	to adore or like greatly (v.)
mề	jiyan	locket
mềm	yumshoq	soft
mệnh	taqdir	revolution
mệt	charchagan	tired
mỉ	puxta	meticulous
mỉa	kinoya	ironic
mỉm	tabassum	smile
mịch	baqirish	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	silliq	smooth
mịt	tutun	dim
mọc	o&#39;sadi	to grow (v.)
mọi	har bir	every
mọn	mayda	lowly
mỏ	minalar	mine
mỏi	charchagan	tired (adj.)
mỏng	yupqa	thin
mốc	mo&#39;ylovli	border
mối	termit	relationship
mốt	moda	fashion or style (n.)
mồ	qabr	"(term should be ""mồ hôi"") sweat (n.)"
mồi	o&#39;lja	bait (n.)
mổ	jarrohlik	to dissect or perform surgery (v.)
mỗi	har bir	every
mộ	qabr	admire
mộc	duradgorlik	simple
mộng	tush	dream
một	bitta	one
mới	yangi	new (adj.)
mờ	xira	dim
mời	taklif qilish	invite
mở	ochiq	open
mỡ	yog &#39;	fat or grease (n.)
mục	buyum	purpose
mụn	akne	pimple
mức	daraja	level
mứt	murabbo	preserve
mừng	xursand	to be happy
mửa	qusish	to vomit (v.)
mực	siyoh	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	noodle	noodles (n.)
mỹ	amerika	america
mỹcông	amerika	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	natsional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	kiyik	a deer
nairobi	nayrobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	erkak	male
nambắc	shimolda	nambac
namibia	namibiya	namibia
namnam	nam nam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	follikul	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	fanglar	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	natan	nathan
natri	natriy	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarra	navarre
nay	hozirda	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	langar	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	asabiy	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	aniq	net
netbook	netbuk	netbook
netscape	netscape	netscape
networks	tarmoqlar	networks
neumann	neumann	(proper noun) neumann
neutrino	neytrino	neutrino
nevada	nevada	nevada
neverland	hech qachon	neverland
newcastle	nyukasl	newcastle
newspaper	gazeta	newspaper
newton	nyuton	newton
newtons	nyutonlar	(proper noun) newton's
next	keyingi	next
nga	rossiya	russia
ngai	taxt	crown
ngang	gorizontal	horizontal
ngao	urish	clam (n.)
ngay	to&#39;g&#39;ri	even
nghe	tinglang	hear
nghinh	nghinh	welcome
nghiêm	qattiq	serious
nghiêng	moyil	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	shilimshiq	crush
nghiễm	achinish	serious
nghiệm	tajriba	experiment
nghiện	odatlanib qolgan	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	g&#39;amgin	adverse
nghành	sanoat	faculty
nghèo	bechora	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	xush kelibsiz	support
nghìn	ming	thousand
nghĩ	o&#39;ylab ko&#39;ring	think
nghĩa	degan ma&#39;noni anglatadi	meaning
nghẽn	tiqilib qolish	jam
nghếch	baland ovozda	stupid
nghề	kasb	career
nghệquận	san&#39;at	art district
nghỉ	dam olish	relaxation
nghị	tavsiyalar	think
ngo	shirinlik	ngo
ngoan	yaxshi bola	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	mazali	delicious
ngoài	tashqarida	outside of
ngoại	xorijiy	external
ngoạn	hayajonli	spectacular
ngoặc	qavslar	bracket
ngoặt	burish	landmark
ngu	uyqu	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	original	reason
nguyền	la&#39;nat	curse
nguyện	nazr	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	oy	moon
nguôi	tinchlantiruvchi	fade away
nguồn	manba	source
nguời	odamlar	people
nguỵ	ahmoqlar	camouflage
ngà	fil suyagi	russian
ngàn	ming	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	filiali	sector
ngào	shirin	sweet
ngày	kun	day
ngách	tokcha	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	ahmoq	chinese ethnic group living in the vietnamese highlands near the china border
ngán	zerikkan	to be tired of
ngáng	ngáng	stop
ngát	hushidan ketish	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bank	money
ngây	bo&#39;sh	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	cilantro	coriander
ngó	qarang	to look (v.)
ngói	plitka	tile or shingle
ngón	barmoq	a finger (n.)
ngót	qisqarishi	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	tili	manifesto
ngông	g&#39;oz	eccentric
ngõ	bo&#39;lak	lane
ngùi	hidi	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	bo&#39;linma	prevent
ngũ	uyqu	rank
ngơ	e&#39;tiborsiz qoldirildi	ignored (adj.)
ngơi	dam oling	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	baliqchi	fishermen
ngưng	to&#39;xta	stop
ngưu	ox	buffalo
ngươi	siz	an ancient form of address equivalent to thou or thee (n.)
người	odamlar	people
ngưỡng	pol	religious
ngược	teskari	opposite
ngạc	hayron	surprise
ngạch	daraja	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	bank	bank
ngạnh	barabanlar	self-willed
ngạo	mag&#39;rur	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	bo&#39;g&#39;ilish	stuffy
ngấm	quyildi	draw
ngất	holsiz	unconscious
ngầm	yashirin	underground
ngần	ikkilanmoq	hesitate
ngẩn	noaniq	froze
ngẫm	o&#39;ylab ko&#39;ring	think
ngẫu	tasodifiy	ngẫu nhiên= random
ngậm	lozenglar	keep
ngập	suv bosgan	flood
ngắm	o&#39;ylab ko&#39;ring	to contemplate or look admiringly at something (v.)
ngắn	qisqa	short
ngặt	qattiq	strict
ngọ	peshin	horse
ngọc	marvarid	pearl
ngọn	tepasida	top
ngọt	shirin	sweet (adj.)
ngồi	o&#39;tir	sit
ngộ	ma&#39;rifat	ngo
ngột	to&#39;satdan	sudden
ngớ	ahmoqona	silly
ngời	odamlar	bright
ngỡ	o&#39;yladi	surprised
ngợi	maqtov	praise
ngợm	yaramas	naughty
ngục	qamoqxona	dungeon
ngụm	yutmoq	sip
ngụy	vey	puppet
ngủ	uxlamoq	sleep
ngủi	qisqa	"(should be ""ngắn ngủi"") short-lived"
ngứa	qichishish	itchy
ngừ	orkinos	tuna
ngừa	oldini olish	prevent
ngừng	to&#39;xtatish	to cease (v.)
ngửa	tepaga qarab	supine
ngửi	hidi	to smell
ngữ	nutq	term
ngự	turmoq	defend
ngựa	ot	horse
ngực	ko&#39;krak qafasi	chest
nha	tish shifokori	dental
nhakẻ	bola	nha-ke
nham	lavalar	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	tutatqi	incense
nhanh	tez	fast
nhat	nhat	nhat
nhen	qayta jonlandi	rekindle
nhi	bolalar	junior
nhiên	kursi	tuy nhiên= however
nhiêu	ko&#39;p	how many
nhiều	ko&#39;p	numerous
nhiễm	kasallangan	infect
nhiễu	shovqin	noise
nhiệm	burch	task
nhiệt	issiqlik	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	kabi	demand
nhuận	foyda	leap year
nhuệ	nhue	elite
nhuộm	bo&#39;yoq	dye
nhàn	bo&#39;sh	leisure
nhàng	muloyimlik bilan	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	yoğurmoq	to fall headlong
nhác	sust	coward
nhái	klonlar	illegal copy
nhánh	filiali	branch
nháp	qoralama	draft
nháy	miltillaydi	to flash or blink (v.)
nhâm	botirish	leap
nhã	mazali	"(term should be ""thanh nhã"") elegant"
nhãn	yorliq	"(term should be ""gán nhãn"") to affix a label"
nhét	qo&#39;yish	put
nhì	ikkinchi	second (adj.)
nhìn	qarang	to look (v.)
nhí	suhbatdosh	children
nhím	kirpi	porcupine
nhòm	qarang	to peep (v.)
nhóc	bola	brat
nhóm	guruh	group (n.)
nhô	chiqadigan	emerge
nhôm	alyuminiy	aluminum (n.)
nhúng	botirish	embed
nhút	uyatchan	shy
nhăn	ajin	wrinkle
nhĩ	atriyal	turkey
nhũ	emulsiya	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	buzilish	bribery
nhơn	ko&#39;paytiring	nhon
như	sifatida	like
nhưng	lekin	but
nhương	tupurik	(proper noun) vietnamese first name
nhường	yo&#39;l berdi	yield
nhưỡng	yog&#39;li	soil
nhược	zaiflik	weak
nhượng	imtiyozlar	concession
nhạ	nhạ	nha
nhạc	musiqa	music
nhạn	yutmoq	bird
nhạo	masxara qilish	ridicule
nhạt	rangpar	light
nhạy	sezgir	sensitive
nhảy	raqsga tushish	jump
nhấc	ko&#39;taring	lift
nhấm	yupqalash	rodent
nhấn	bosish	to press (v.)
nhất	eng yaxshisi	most
nhầm	noto&#39;g&#39;ri	misunderstand
nhầy	shilimshiq	glutinous
nhẫn	uzuklar	patient
nhậm	muhrlangan	inaugurate
nhập	import	penetrate
nhậu	ichish	drink
nhậy	sezgir	sensitive
nhắc	tezkor	to remind (v.)
nhắm	maqsad	aim
nhắn	xabar	message
nhằm	maqsadi	for the purpose of (adv.)
nhẵn	silliq	smooth
nhặt	tanlang	pickup
nhẹ	yorug&#39;lik	light
nhẹn	chaqqon	nhanh nhẹn= fast/nimble
nhị	ahmoq	sensitive
nhịn	o&#39;zini tiyish	fasting
nhọ	omadsiz	smear
nhọn	o&#39;tkir	sharp (adj.)
nhỏ	kichik	small
nhỏ|cây	kichkina | daraxt	small|tree
nhỏ|một	kichik | bitta	small | one
nhỏ|phải|	kichik | to&#39;g&#39;ri |	small|right
nhỏ|phải|px|	kichik | o&#39;ng | px |	small | have | px |
nhỏ|phải|px|bức	kichik | o&#39;ng | px | rasmlar	grape / fade / px / buc
nhỏ|phải|px|cây	kichkina | o&#39;ng | px | daraxt	px spicy grape fade
nhỏ|phải|px|khu	kichik | o&#39;ng | px | zonasi	small|right|px|area
nhỏ|phải|px|michael	kichik | o&#39;ng | px | maykl	small|right|px|michael
nhỏ|phải|px|máy	kichik | o&#39;ng | px | mashina	small | right|px|machine
nhỏ|phải|px|một	kichik | o&#39;ng | px | bitta	small|right|px|one
nhỏ|phải|px|quân	kichik | o&#39;ng | px | kuch	small|right|px|army
nhỏ|px|	kichik | px |	small
nhỏ|px|các	kichik | px | ning	small
nhỏ|px|phải|kiến	kichik | px | o&#39;ng | chumoli	small | px | right | patience
nhỏ|quân	kichik | kuch	small|army
nhỏ|trái|px|máy	kichik | chap | px | mashina	small|left|px|plane
nhỏ|tượng	kichik haykallar	small|statue
nhốt	qulflangan	confine
nhồi	to&#39;ldirilgan	cram
nhổ	uzmoq	uproot
nhộn	quvnoq	busy
nhớ	aql	remember
nhớt	yopishqoq	viscid
nhờ	rahmat	by
nhờn	yog&#39;li	multiplication
nhở	eslatish	remind
nhụ	chimchilamoq	nhu
nhục	xo&#39;rlangan	shame
nhủ	eslatmalar	needs
nhức	og&#39;riq	pain
nhứt	birinchi	first (n.)
nhừ	qo&#39;ziqorin	tender
những	bular	the
nhựa	plastik	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nikita	nicaea
nicaragua	nikaragua	(proper noun) nicaragua
niccolò	nikolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nikolalar	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeriya	nigeria
nikel	nikel	nickel
niken	nikel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	nol	nile
nile	nil	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	ning	nin
ninh	xavfsizlik	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	azot	nitrogen (n.)
nixon	nikson	(proper noun) nixon, as in former president richard nixon
niên	yil	youth
niết	toza	nirvana
niềm	zavq	trust
niệm	aqllilik	concept
niệu	diurez	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	nuh	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	demoq	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	yosh	mountain
nonpenetrative	nonpenetrativ	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	norman	norman
normandie	normandie	normandile
northrop	shimoliy	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	hali ham	norway
nou	nou	nou
novak	novak	novak
now	hozir	now
nowc	nowc	nowc
noãn	tuxumdon	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubiya	nubia
number	raqam	number
nupedia	nupedia	a name
nusa	nusxa	nusa
nuôi	ozuqa	feed
nuối	yutmoq	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	yutmoq	to swallow (v.)
nuớc	suv	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	turib olish	pleading
nàn	shikoyat qildi	poor
nành	so&#39;ya	soy
nào	kel	would
này	bu	this
ná	na	a crossbow (n.)
nách	qo&#39;ltiq	underarm (n.)
náo	o&#39;jar	riot
nát	ezilgan	ruin
náu	yashirish	hide
nâng	ko&#39;tarish	raise
nâu	jigarrang	brown
nã	nã	to track down (v.)
não	miya	brain
né	qochmoq	dodge
ném	otish	to throw (v.)
nén	siqilgan	compress
nét	urish	feature
nê	ne	ne
nên	shamdon	should or ought to
nêu	aytib bering	mention
nòi	irqi	race
nòng	bochkali	barrel
nói	gapirmoq	to say or speak (v.)
nón	shlyapa	cone
nóng	issiq	hot
nô	qul	slave
nôbita	tobita	nobita
nôi	beshik	cradle
nôm	nik	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	qusmoq	vomit
nông	sayoz	farmer
nõn	peeling	peeled
nùng	nung	nung
núm	dastasi	nipple
núp	yashirish	hide
nút	tugun	button
năm	yil	year
năn	tavba qilgan	"(term should be ""ăn năn"") remorse (n.)"
năng	quvvat	"(term should be ""khả năng"") ability (n.)"
nơi	joy	a place
nơtrino	neytino	neutrino
nước	mamlakat	country
nước 	mamlakat	water
nướng	grilda	grill
nǎm	nǎm	year
nạ	niqob	mask
nạc	oriq	lean (adj.)
nại	shikoyat	complain
nạn	xafagarchilik	a disaster (n.)
nạo	kuretaj	to scrape (v.)
nạp	yuklangan	tribute
nản	tushkunlikka tushgan	depressed
nảy	sakrash	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	hiqichoq	a hiccup (n.)
nấp	yashirish	hide
nấu	pishirmoq	cook
nấy	bu	this
nần	yalang&#39;ochlash	debt
nầy	bu	this
nẩy	sakrash	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n quyosh	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	issiq	busy
nắm	tutmoq	to grasp or hold (v.)
nắng	quyoshli	sunlight
nắp	qopqoq	a lid or cover (n.)
nằm	yolg&#39;on gapirish	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonim ravishda	heavy
nặn	siqish	mould
nặng	og&#39;ir	heavy
nẻo	boshqa	turn
nếm	ta&#39;mga	taste
nến	sham	candle
nếp	yopishqoq	sticky rice (n.)
nếu	agar	if (adv.)
nề	duvarcılık	severe
nể	hurmat	respect
nện	urish	ram
nỉ	his qildim	beg
nịnh	xushomadgo&#39;y	flatter
nọ	boshqa	the other
nọc	zahar	tadpole
nỏ	krossovka	a crossbow (n.)
nối	ulangan	connection
nốt	eslatma	to finish off (v.)
nồi	qozon	pot
nồm	bo&#39;yin	humid (adj.)
nồng	issiq	heavy
nổ	portlovchi	explode
nổi	suzuvchi	nổi tiếng= famous
nỗ	urinish	affort
nỗi	bu	state
nộ	g&#39;azab	anger
nội	ichki	on the paternal side (adj.)
nộn	to&#39;ldirish	non
nộp	topshirilgan	submit
nới	bo&#39;shashtiring	ease
nở	gullash	bloom
nỡ	yurakli	do you have a heart to
nợ	qarzda	debt
nụy	pistil	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	mantar	a kind of bamboo (n.)
nứt	darz ketgan	to crack
nửa	yarmi	haft
nữa	yana	moreover
oahu	oaxu	(proper noun) oahu
oai	qo&#39;rqma	heroic
oakland	okean	oakland
oan	adolatsizlik	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	viloyat	(proper noun) oblast, as in tomsk oblast
oc	q	oc
october	oktyabr	(proper noun) october
oda	o da	oda
oder	o&#39;tin	oder
odyssey	odyssey	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	ofitser	officer
officers	ofitserlar	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olimpiya	olympus
om	o&#39;ralgan	to simmer
omar	omar	a name
ong	asalari	bee
ontario	ontario	ontario
oort	oorta	oort
