$ tỉ	$ r $	$ billion
marseille	marseille	marseille
marshall	marshall	marshall
marsu	marsu	(proper noun) marsu
marta	marta	(proper noun) marta, as in the female brazilian soccer player
martin	martin	martin
marx	odo	this is a name
mary	mary	(proper noun) mary
maryland	maryland	a name
maría	amí	maria
mas	mas	mas
massachusetts	awọn ọgangan	massachusetts
mat	ẹni	mat
mathematica	iṣiro	(proper noun) mathematica, as in isaac newton's work, principia mathematica
mats	awọn ọmu	mats, as in mats sundin
matthias	matthias	matthias, as in matthias erzberger
mau	yarayara	fast
maurice	maurice	(proper noun) maurice
mausolus	mausolus	mausolus
maxim	maxim	a name
may	ran	lucky
maya	ogun	(proper noun) maya
mcafee	mcafee	(proper noun) mcafee
mccain	mccaini	mccain
mccartney	mccartney	a name
mccullough	iṣupọju	mccullough
mcdonald	mcdonald	(proper noun) mcdonald
mchc	mchc	mchc
mclaren	mclaren	mclaren
mcmahon	mcmahon	(proper noun) mcmahon
mcnamara	mcnamara	(proper noun) mcnamara, as in robert mcnamara
mcv	mcv	mean corpuscular volume
media	media	media
medici	medici	(proper noun) medici, as in the medici family of italy
medina	medina	(proper noun) medina, as in ernest medina
medvedev	medvedev	medvedev
mekong	mekong	mekong
melbourne	ile iṣu	melbourne
mendeleev	mendeleev	mendeleev
menes	awọn ọkunrin	(proper noun) menes
mercedes	mercedes	a name
messenger	ojiṣẹ	messanger
messerschmitt	messerschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	miése	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	mèsáyà	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyers	meyers
miami	miami	a name
michael	olorin	michael
michaels	awon olorin	michaels
michelangelo	michelangelo	michelangelo
michigan	michigan	a name
micro	bulọọgi	micro
microbiology	makirobia	microbiology
microeconomics	microeconomics	microeconomics
micronesia	micronesia	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	ji	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangurevich	(proper noun) mikoyangurevich
milan	malan	milan
milano	milano	milano
miley	maili	miley
mill	ọlọ	mill
miller	miller	miller
milton	milton	milton
min	min	min
minas	iyokuro	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	ebubeflores	miraflores
mirage	irukerudo	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	awọn aitọ	misfits
mississippi	mississippi	mississippi
missouri	missouri	(proper noun) the state of missouri
mitchel	mitili	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hypnosis	mien
miêu	o nran	"(term should be ""miêu tả"") to describe (v.)"
miến	ounjẹ iresi	burma
miếng	awọn ege	a piece (n.)
miếu	tẹmpili	temple
miền	ašẹ	area
miễn	itusilẹ	to exempt (v.)
miện	ade	crown
miệng	ẹnu	mouth
mm	mm	millimeter
mobile	alagbeka	mobile
mode	ipo	mode
modul	module	module
modula	modulu	(proper noun) modula, as in modula-2
mohammad	mohammad	mohammad
mohammed	mohammed	mohammed
moi	tuntun	winkle
molecular	molikula	molecular
molotov	molotov	molotov
molypden	molybdenum	the element molybdenum (n.)
mongolia	mongolia	mongolia
monique	monique	(proper name) monique, a french first name
mono	eyọkan	mono
monroe	monroe	monroe
mont	mont	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	montreal	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	moong	moong
mora	mora	mora
moravia	moravia	moravia
morgan	morgan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	morocco	morocco
morris	morris	morris
morrison	ẹlẹwọn	(proper noun) morrison
morse	pẹtẹlẹ	(proper noun) morse, as in morse code
moscow	mọṣaga	moscow
mosin	mosin	mosin
moskva	ẹṣoki	moscow
motown	òtútú	motown
mourinho	mourinho	mourinho
movie	fiimu	movie
mozambique	mozambique	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	m	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	ra	buy
much	pọ	much
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	ebony	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	iku	murphy
murray	kigbe	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	fẹ	a large number; thousands (adj.)
muối	iyo	salt
muốn	fẹ	want
muống	sibi	"(term should be ""rau muống"") water spinach (n.)"
muồi	pẹ	ripe
muỗi	efon	mosquito
muỗng	sibi	spoon
muội	arabinrin	confusion
muộn	pẹ	late (adv.)
myanma	màríà	the country of myanmar
myanmar	madium	(proper noun) myanmar
myspace	myspace	(proper noun) myspace
mà	ṣugbọn	also
mài	lilọ	tomorrow
màn	iboju	curtain (n.)
mành	afọju	a bamboo screen (n.)
mào	didimu	a comb or crest, as in the body part of a bird
màu	awọ	color
mày	iwo	sew
má	iya	cheek
mác	aami	a name (marx)
mách	awọn imọran	tell
máclênin	marxelenin	marxist-leninist
mái	orule	"entire term should be ""thoai mai""; means ""comfortable"""
mát	tutu	cool
máu	ẹ̀jẹ̀	blood
máy	ẹrọ	a machine (n.)
mâm	atẹ	tray
mân	rosary	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	ilodi	contradiction
mây	awọsanma	cloud
mã	koodu	"(term should be ""la mã"") roman (adj.)"
mãi	lailai	forever (adv.)
mãimại	koodu	commerce
mãn	aladun	satisfy
mãnh	lagbara	intense
mão	awọn ade	cat
mè	sesame	sesame
mèo	o nran	cat (n.)
mé	mi	a border
méo	daru	alter
mép	eti	edge
mét	mita	meter
mênh	lilu	vast
mêtan	gaasi	methane
mì	alaiṣododo	wheat
mình	funrararẹ	me
mía	ohun ọgbin	sugar cane (n.)
mò	fọnnu	to grope (v.)
mòn	itọpa	trail
móc	kio	"(term should be ""máy móc"") machinery (n.)"
món	oúnjẹ	dish
mô	àsopọ	mo
môi	kọọkan	lip
môn	wonyen	anus
mông	àgbọn	mongolia
mônôxít	ẹyọkan	monoxide
môt	ọkan	"(term should be ""một"") one (n.)"
môtô	alupupu	motorcycle
mù	afoju	mu
mùa	akoko	season
mùi	oorun	smell
múa	jó	dance
mút	muyan	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	oparun abereyo	bamboo shoot (n.)
mĩ	amẹrika	america
mũ	ijanilaya	cap
mũi	imu	nose
mơ	àlá	vague
mơn	owo	caress
mưa	ojo	rain
mưu	omoluabi	"(should be ""tham mưu"") advisors"
mươi	aadọta	tens
mương	imugbẹ	ditch
mướn	iyalo	hire
mướt	siliki	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	yawo	borrow
mượt	dan	glossy (adj.)
mạc	aginju	"(should be ""mộc mạc"") simple or natural"
mạch	circuit	vessel
mại	isowo	commerce
mạn	ẹgbẹ	romantic
mạnh	lagbara	strong
mạo	nkan	"(should be ""mạo hiểm"") to brave danger"
mạt	mites	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	sàréè	tomb or grave (n.)
mải	nṣiṣe lọwọ	absorbedly
mảng	eto	genre
mảnh	nkan	piece
mất	sọnu	lose
mấu	taabu	key
mấy	diẹ	any
mầm	kokoro	kindergarten
mầu	awọ	color
mẩu	awọn ege	piece
mận	pupa buulu toṣokunkun	plum
mập	ọra	fat
mật	oyin	intimate
mậu	isowo	mau
mắc	gbowolori	get
mắm	obe ẹja	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	oriire	"(term should be ""may mắn"") fortunate (adj.)"
mắng	gàn	scold
mắt	oju	eye
mặc	wọ	wear
mặn	iyo	salt
mặt	oju	face
mẹ	ìyá	mother (n.)
mẹo	awọn imọran	trick
mẻ	ipele	cool
mẽ	lagbara	strong
mến	ololufe	to adore or like greatly (v.)
mề	gilasi	locket
mềm	rirọ	soft
mệnh	ayanmọ	revolution
mệt	ti rẹ	tired
mỉ	ti oye	meticulous
mỉa	ẹgan	ironic
mỉm	rẹrin	smile
mịch	nik	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	dan	smooth
mịt	ipanu	dim
mọc	gbooro	to grow (v.)
mọi	gbogbo	every
mọn	ọyan kekere	lowly
mỏ	maini	mine
mỏi	ti rẹ	tired (adj.)
mỏng	tinrin	thin
mốc	musty	border
mối	oro	relationship
mốt	njagun	fashion or style (n.)
mồ	sàréè	"(term should be ""mồ hôi"") sweat (n.)"
mồi	ẹyẹ	bait (n.)
mổ	iṣẹ abẹ	to dissect or perform surgery (v.)
mỗi	gbogbo	every
mộ	ibojì	admire
mộc	iṣẹ gbẹnagbẹna	simple
mộng	àlá	dream
một	ọkan	one
mới	tuntun	new (adj.)
mờ	iruju	dim
mời	fiwepe	invite
mở	ṣii	open
mỡ	ọra	fat or grease (n.)
mục	nkan naa	purpose
mụn	irorẹ	pimple
mức	ipele	level
mứt	jam	preserve
mừng	dun	to be happy
mửa	eebi	to vomit (v.)
mực	inki	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	eefin	noodles (n.)
mỹ	amẹrika	america
mỹcông	america	my private
na	ni	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	agbọnrin	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	akọ	male
nambắc	ariwa	nambac
namibia	namibia	namibia
namnam	orilẹ-ede nam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	follicle	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	awọn ologe	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	tirẹ	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	iṣuu soda	sodium
nauru	nauru	a name
nava	niva	nava
navarre	navarre	navarre
nay	ni bayi	this (adj.)
needham	nilohamu	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	ìdákọ̀ró	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	àwọn	net
netbook	kọmputa kekere	netbook
netscape	netscape	netscape
networks	awọn nẹtiwọki	networks
neumann	neumann	(proper noun) neumann
neutrino	imule	neutrino
nevada	nevada	nevada
neverland	lailai	neverland
newcastle	olutoju tuntun	newcastle
newspaper	iwe iroyin	newspaper
newton	newton	newton
newtons	newtons	(proper noun) newton's
next	itele	next
nga	russia	russia
ngai	itẹ	crown
ngang	petele	horizontal
ngao	kilamu	clam (n.)
ngay	ni ọtun	even
nghe	gbọ	hear
nghinh	nghinh	welcome
nghiêm	ṣofintoto	serious
nghiêng	tọkantọkan	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	squish	crush
nghiễm	aanu	serious
nghiệm	iriri	experiment
nghiện	mowonlara	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	iku	adverse
nghành	ile ise	faculty
nghèo	talaka	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	kaabọ	support
nghìn	ẹgbẹrun	thousand
nghĩ	ronu	think
nghĩa	ọna	meaning
nghẽn	ifakalẹ	jam
nghếch	pariwo	stupid
nghề	oojọ	career
nghệquận	aworan	art district
nghỉ	isinmi	relaxation
nghị	awọn iṣeduro	think
ngo	dainty	ngo
ngoan	omo daadaa	good
ngoc	ilana	"(term should be ""ngọc"") gem (n.)"
ngon	adun	delicious
ngoài	jade	outside of
ngoại	ajeji	external
ngoạn	yanilenu	spectacular
ngoặc	akomo	bracket
ngoặt	yiyi	landmark
ngu	sun	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	atilẹba	reason
nguyền	egún	curse
nguyện	ṣe adehun	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	osupa	moon
nguôi	ifọkanbalẹ	fade away
nguồn	orisun	source
nguời	eniyan	people
nguỵ	aṣiwere	camouflage
ngà	ehin-erin	russian
ngàn	ẹgbẹrun	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	ẹka	sector
ngào	adun	sweet
ngày	ọjọ	day
ngách	onakan	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	omugo	chinese ethnic group living in the vietnamese highlands near the china border
ngán	sunmi	to be tired of
ngáng	ngáng	stop
ngát	daku	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	banki	money
ngây	òfo	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	cilantro	coriander
ngó	wo	to look (v.)
ngói	alẹmọ	tile or shingle
ngón	ika	a finger (n.)
ngót	isunki	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	ede	manifesto
ngông	gusi	eccentric
ngõ	ọna tooro	lane
ngùi	orun	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	iyẹwu	prevent
ngũ	sun	rank
ngơ	foju	ignored (adj.)
ngơi	sinmi	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	apeja	fishermen
ngưng	duro	stop
ngưu	omi	buffalo
ngươi	iwo	an ancient form of address equivalent to thou or thee (n.)
người	eniyan	people
ngưỡng	àbáwọlé	religious
ngược	yiyipada	opposite
ngạc	yà	surprise
ngạch	ipo	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	banki	bank
ngạnh	abà	self-willed
ngạo	gbajumọ	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	apọju	stuffy
ngấm	funni	draw
ngất	suuru	unconscious
ngầm	mimọ	underground
ngần	ṣiyemeji	hesitate
ngẩn	dabaru	froze
ngẫm	ronu	think
ngẫu	id	ngẫu nhiên= random
ngậm	lozenges	keep
ngập	iṣan omi	flood
ngắm	ṣe aṣaro	to contemplate or look admiringly at something (v.)
ngắn	kukuru	short
ngặt	fẹẹrẹ	strict
ngọ	ọsan	horse
ngọc	tiodaralopolopo	pearl
ngọn	oke	top
ngọt	adun	sweet (adj.)
ngồi	joko	sit
ngộ	imoye	ngo
ngột	lojiji	sudden
ngớ	aimọgbọnwa	silly
ngời	eniyan	bright
ngỡ	ronu	surprised
ngợi	iyin	praise
ngợm	alaigbọran	naughty
ngục	ẹwọn	dungeon
ngụm	sip	sip
ngụy	wei	puppet
ngủ	lati sun	sleep
ngủi	kukuru	"(should be ""ngắn ngủi"") short-lived"
ngứa	nyún	itchy
ngừ	tuna	tuna
ngừa	ṣe idiwọ	prevent
ngừng	gbawọ	to cease (v.)
ngửa	dojú kọ	supine
ngửi	orun	to smell
ngữ	ọrọ	term
ngự	gbé	defend
ngựa	ẹṣin	horse
ngực	àyà	chest
nha	ehin	dental
nhakẻ	ọmọ kekere	nha-ke
nham	lava	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	turari	incense
nhanh	yara	fast
nhat	bẹẹni	nhat
nhen	tun ṣẹṣẹ	rekindle
nhi	awọn ọmọde	junior
nhiên	dajudaju	tuy nhiên= however
nhiêu	pọ	how many
nhiều	pọ	numerous
nhiễm	ti kó àrùn	infect
nhiễu	ariwo	noise
nhiệm	iṣẹ	task
nhiệt	igbona	heat
nhk	nhk	nhk
nhs	àá	nhs
nhu	fẹran	demand
nhuận	èrè	leap year
nhuệ	nhue	elite
nhuộm	aro	dye
nhàn	aito	leisure
nhàng	rọra	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	dofun	to fall headlong
nhác	rirọ	coward
nhái	ere ibeji	illegal copy
nhánh	ẹka	branch
nháp	ẹda akanṣe	draft
nháy	awọn ina	to flash or blink (v.)
nhâm	lilẹ	leap
nhã	elege	"(term should be ""thanh nhã"") elegant"
nhãn	aami	"(term should be ""gán nhãn"") to affix a label"
nhét	fi	put
nhì	ikeji	second (adj.)
nhìn	wo	to look (v.)
nhí	olukọ	children
nhím	hedgehog	porcupine
nhòm	wo	to peep (v.)
nhóc	ọmọ kekere	brat
nhóm	ẹgbẹ	group (n.)
nhô	atako	emerge
nhôm	alumọni	aluminum (n.)
nhúng	fibọ	embed
nhút	tiju	shy
nhăn	wrinkled	wrinkle
nhĩ	ataran	turkey
nhũ	imukuro	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	ibajẹ	bribery
nhơn	isodipupo	nhon
như	bi	like
nhưng	ṣugbọn	but
nhương	itọ	(proper noun) vietnamese first name
nhường	fun ọna	yield
nhưỡng	ọra-wara	soil
nhược	ailera	weak
nhượng	awọn ayeye	concession
nhạ	nhạ	nha
nhạc	orin	music
nhạn	gbe	bird
nhạo	ẹlẹya	ridicule
nhạt	bia	light
nhạy	kókó	sensitive
nhảy	jó	jump
nhấc	gbe	lift
nhấm	sipping	rodent
nhấn	titẹ	to press (v.)
nhất	dara julọ	most
nhầm	ti ko tọ	misunderstand
nhầy	tẹẹrẹ	glutinous
nhẫn	oruka	patient
nhậm	ontẹ	inaugurate
nhập	gbewọle	penetrate
nhậu	inu mimu	drink
nhậy	kókó	sensitive
nhắc	tọ	to remind (v.)
nhắm	ifọkansi	aim
nhắn	ifiranṣẹ	message
nhằm	ero	for the purpose of (adv.)
nhẵn	dan	smooth
nhặt	mu	pickup
nhẹ	ina	light
nhẹn	agin	nhanh nhẹn= fast/nimble
nhị	onitide	sensitive
nhịn	yago fun	fasting
nhọ	alailoriire	smear
nhọn	didasilẹ	sharp (adj.)
nhỏ	kekere	small
nhỏ|cây	kekere | igi	small|tree
nhỏ|một	kekere | ọkan	small | one
nhỏ|phải|	kekere | ọtun |	small|right
nhỏ|phải|px|	kekere | ọtun | px |	small | have | px |
nhỏ|phải|px|bức	kekere | ọtun | px | awọn aworan	grape / fade / px / buc
nhỏ|phải|px|cây	kekere | ọtun | px | igi	px spicy grape fade
nhỏ|phải|px|khu	kekere | ọtun | px | agbegbe	small|right|px|area
nhỏ|phải|px|michael	kekere | ọtun | px | michael	small|right|px|michael
nhỏ|phải|px|máy	kekere | ọtun | px | ẹrọ	small | right|px|machine
nhỏ|phải|px|một	kekere | ọtun | px | ọkan	small|right|px|one
nhỏ|phải|px|quân	kekere | ọtun | px | agbara	small|right|px|army
nhỏ|px|	kekere | px |	small
nhỏ|px|các	kekere | px | awọn	small
nhỏ|px|phải|kiến	kekere | px | ọtun | kokoro	small | px | right | patience
nhỏ|quân	kekere | agbara	small|army
nhỏ|trái|px|máy	kekere | osi | px | ẹrọ	small|left|px|plane
nhỏ|tượng	awọn ere kekere	small|statue
nhốt	tiipa	confine
nhồi	sitofudi	cram
nhổ	fa	uproot
nhộn	panilerin	busy
nhớ	lokan	remember
nhớt	viscous	viscid
nhờ	o ṣeun	by
nhờn	ọra-wara	multiplication
nhở	ran leti	remind
nhụ	fun pọ	nhu
nhục	idojuti	shame
nhủ	awọn olurannileti	needs
nhức	irora	pain
nhứt	akoko	first (n.)
nhừ	mushy	tender
những	iwọnyi	the
nhựa	ṣiṣu	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nikel	nickel
niken	nickel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	nil	nile
nile	nile	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	ẹni	nin
ninh	aabo	ninh, as in bắc ninh
nintendo	aderindona	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	nitrogen	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	ọdun	youth
niết	niet	nirvana
niềm	idunnu	trust
niệm	mindfulness	concept
niệu	diuresis	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	rárá	(proper noun) noah
nobel	ẹyẹ	nobel
nobita	nobita	nobita
noel	eeṣe	(proper noun) noel
noi	sọ	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	ko si	nol
nom	rárá	look after
non	odo	mountain
nonpenetrative	alaibọwọ	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	arabinrin	norman
normandie	normandie	normandile
northrop	ariwa guusu	northrop, as in the northrop f-5 freedom fighter
norton	àríwá	norton
norway	norway	norway
nou	éù	nou
novak	novak	novak
now	ni bayi	now
nowc	bayi	nowc
noãn	ẹyin	ovule
nsnd	nsnd	people's artist
nst	nt	chromosome
nubia	nubia	nubia
number	nọmba	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	ifunni	feed
nuối	gbe	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	gbe	to swallow (v.)
nuớc	omi	water
nxb	nxb	publisher
nynorsk	ọya	nynorsk
nà	nà	na
nài	ta ku	pleading
nàn	rojọ	poor
nành	soyi	soy
nào	kọja siwaju	would
này	eyi	this
ná	ná	a crossbow (n.)
nách	apa	underarm (n.)
náo	ariwo	riot
nát	itemole	ruin
náu	tọju	hide
nâng	gbega	raise
nâu	brown	brown
nã	nã	to track down (v.)
não	ọpọlọ	brain
né	jiji	dodge
ném	jabọ	to throw (v.)
nén	fisinuirindigbindigbin	compress
nét	ọfun	feature
nê	ne	ne
nên	elegboye	should or ought to
nêu	sọ	mention
nòi	ije	race
nòng	agba	barrel
nói	lati sọrọ	to say or speak (v.)
nón	ijanilaya	cone
nóng	gbona	hot
nô	ẹrú	slave
nôbita	tobita	nobita
nôi	ọmọ ogun	cradle
nôm	nm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	eebi	vomit
nông	aijinile	farmer
nõn	peeli	peeled
nùng	itanna	nung
núm	koko	nipple
núp	tọju	hide
nút	sorapo	button
năm	ọdun	year
năn	ronupiwada	"(term should be ""ăn năn"") remorse (n.)"
năng	agbara	"(term should be ""khả năng"") ability (n.)"
nơi	ibi	a place
nơtrino	neutino	neutrino
nước	orilẹ-ede	country
nước 	orilẹ-ede	water
nướng	ti ibeere	grill
nǎm	nǎm	year
nạ	iboju	mask
nạc	tẹ si apakan	lean (adj.)
nại	kerora	complain
nạn	ipọnju	a disaster (n.)
nạo	ile iwosan	to scrape (v.)
nạp	ti kojọpọ	tribute
nản	ailera	depressed
nảy	bouncing	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	hiccup	a hiccup (n.)
nấp	tọju	hide
nấu	alase	cook
nấy	eyi	this
nần	ihoho	debt
nầy	eyi	this
nẩy	bouncing	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n oorun	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	gbona	busy
nắm	dimu	to grasp or hold (v.)
nắng	sun	sunlight
nắp	ideri	a lid or cover (n.)
nằm	parọ	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	ailorukọ	heavy
nặn	fun pọ	mould
nặng	wuwo	heavy
nẻo	omiiran	turn
nếm	itọwo	taste
nến	abẹla	candle
nếp	alalepo	sticky rice (n.)
nếu	ti o ba ti	if (adv.)
nề	masonry	severe
nể	ọwọ	respect
nện	iwon	ram
nỉ	ro	beg
nịnh	pẹlẹbẹ	flatter
nọ	ekeji	the other
nọc	sun	tadpole
nỏ	oriki ojiji	a crossbow (n.)
nối	ti sopọ	connection
nốt	akiyesi	to finish off (v.)
nồi	ikoko	pot
nồm	nape	humid (adj.)
nồng	gbona	heavy
nổ	awọn ibẹjadi	explode
nổi	lilefoofo	nổi tiếng= famous
nỗ	igbiyanju	affort
nỗi	iyẹn	state
nộ	ibinu	anger
nội	ti abẹnu	on the paternal side (adj.)
nộn	aporo	non
nộp	ẹsun	submit
nới	loosen	ease
nở	itanna	bloom
nỡ	ọkan	do you have a heart to
nợ	ni gbese	debt
nụy	pistil	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	okùn	a kind of bamboo (n.)
nứt	gbin	to crack
nửa	idaji	haft
nữa	lẹẹkansi	moreover
oahu	oaa	(proper noun) oahu
oai	ibẹru	heroic
oakland	igi oakland	oakland
oan	aiṣododo	injustice
oanh	onii	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	oṣupa	(proper noun) october
oda	o da	oda
oder	oder	oder
odyssey	odyssey	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	oṣiṣẹ	officer
officers	awọn olori	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	ẹṣọ	oliver
olivier	olivier	olivier
olympus	olimus	olympus
om	braised	to simmer
omar	omar	a name
ong	oyin	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	eto ara eniyan	organ
oricon	ẹgbin	oricon
origin	oti	origin
orion	orion	(proper noun) orion, the hunter
orleans	awon oloye ilu	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ẹla	(proper noun) ossetia
oswald	oswald	oswald
other	omiiran	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	otita	(proper noun) ottoman, as in the ottoman empire
outstanding	dayato	xuat sac
owen	eniti	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	atẹgun	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	ìkóríra	"(term should be ""oán than"") to complain or whine"
oát	watts	a watt (n.)
oản	oàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	ààfin	palais, as in grand palais
palawan	aafin	palawan
palenque	pẹlẹbẹ	(proper noun) palenque
palestine	palestine	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	pan	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	iwe pẹlẹbẹ	paperback
papua	papua	papua
