$	ps	american dollar symbol
பாலை	látex	desert
பாலைவன	desierto	desert
பாலைவனம்	desierto	desert
பால்	pelota	gender
பால்வினை	ets	sexual
பால்வினைத்	sexualmente	sexual work
பாளி	pali	pali
பாவம்	lástima	sin
பாஸ்	jefe	pass
பாஸ்கல்	pascal	pascal
பிஆர்என்	piaren	brn
பிஎச்பி	openssl	php
பிஒய்	pioy	b y
பிஜி	fiyi	biji
பிடி	bt	p.t.
பிடிக்க	captura	not
பிடித்தது	gustó	liked
பிடித்தல்	atrapando	to catch
பிடித்து	atrapado	hold
பிடித்துக்	sostener	arrest
பிட்	poco	bit
பிந்தைய	el último	later part
பின்	luego	after that
பின்னணி	antecedentes	back ground
பின்னணியில்	antecedentes	having that effect
பின்னரும்	secuelas	aftermath
பின்னரே	después	later
பின்னர்	luego	after
பின்னால்	detrás	behind
பின்னாளில்	luego	after days
பின்னும்	y	after
பின்னே	pinney	after
பின்பற்றப்படுகிறது	seguido	followed by
பின்பற்றி	seguidor	follows
பின்பற்றுகின்றனர்	seguir	following
பின்பற்றும்	trailing	follow
பின்பற்றுவோர்	seguidores	follower
பின்பு	y	behind
பின்லாந்து	finlandia	binland
பின்வருமாறு	sigue	following
பின்வரும்	el seguimiento	following
பின்வருவன	el seguimiento	followed that
பின்வருவனவற்றையும்	siguiendo	followed by
பிபிசி	bbc	biritish broadcasting corporation
பிப்ரவரி	febrero	february
பிரகடனம்	declaración	difficult
பிரசாத்	prasad	prasad
பிரசித்தி	popular	popular
பிரச்சனைகள்	cuestiones	problems
பிரச்சாரம்	campaña	campaign
பிரச்சினை	problema	problem
பிரச்சினைகள்	cuestiones	problem
பிரதம	principal	prime ministerial
பிரதமராக	para el primer ministro	as a prime minister
பிரதமரின்	pm&#39;s	prime ministerial
பிரதமர்	principal	prime minister
பிரதமர்கள்	principal	prime ministers
பிரதான	el principal	main
பிரதானமாக	principalmente	important
பிரதி	réplica	copy
பிரதிநிதிகள்	representantes	representatives
பிரதிநிதித்துவம்	representar	discrimination
பிரதிநிதியாக	representante	member
பிரதிபலிக்கும்	reflejando	reflections
பிரதேச	divisional	province
பிரதேசங்களில்	en areas	regions
பிரதேசங்களும்	territorios	territories
பிரதேசங்கள்	regiones	pradesh
பிரதேசத்தின்	territorio	area of the
பிரதேசம்	territorio	pradesh or regional
பிரத்தியேக	exclusivo	popular
பிரத்தியேகமாக	exclusivamente	exclusively
பிரபல	popular	famous
பிரபலமாக	popular	famous
பிரபலமான	popular	famous
பிரபலமானது	popular	popular
பிரபலம்	popular	popular
பிரபாகரனின்	prabhakaran&#39;s	prabakaran's
பிரபாகரன்	prabhakaran	prabakaran
பிரபு	prabhu	lord
பிரமிட்	pirámide	pyramid
பிரமிட்டு	pirámide	pramid
பிரம்மா	brahma	bramma
பிரம்மாண்டமான	expansivo	tremendous
பிரஸ்	prensa	press
பிராங்க்	franco	frank
பிராந்திய	regional	regional
பிராந்தியங்களில்	regiones	in the regions
பிராந்தியங்களையும்	regiones	regions
பிராந்தியத்தில்	en la región	country
பிரான்க்சு	el bronx	name of a city
பிரான்சின்	de francia	france
பிரான்சிஸ்	francis	francis
பிரான்சிஸ்கோ	francisco	francisco
பிரான்சு	francia	france
பிரான்சும்	francia	france
பிரான்ஸ்	francia	france
பிராமண	brahmán	brahmin
பிராமணர்	rss feeds	brahmins
பிராமி	brahmi	brahmi
பிராமைடீ	piramaiti	a kind of fish
பிராய்டின்	freud&#39;s	broids
பிரிக்க	disolver	to seperate
பிரிக்கப்படுகிறது	dividido	separated
பிரிக்கப்பட்ட	apartado	seperate
பிரிக்கப்பட்டு	dividido	seperated
பிரிக்கப்பட்டுள்ளது	dividido	seperated
பிரிக்கப்பட்டுள்ளன	dividido	was seperated
பிரிக்கலாம்	dividido	divide
பிரிக்கிறது	extrayendo	seperates
பிரிக்கும்	aldehído	divide
பிரிட்டனும்	bretaña	britain
பிரிட்டன்	reino unido	britian
பிரிட்டோரியா	pretoria	pretoria
பிரித்தானிய	británico	britania
பிரித்தானியக்	británico	seperated
பிரித்தானியப்	británico	british
பிரித்தானியர்	británico	britian
பிரித்தானியா	bretaña	britain
பிரித்தானியாவின்	gran bretaña	britian
பிரித்தானியாவும்	bretaña	britan
பிரித்து	dividir	seperate
பிரிந்து	apartado	leave
பிரிப்பு	separación	seperate
பிரியாகந்தைடீ	piriyakantaiti	priacanthidae
பிரிவாக	sección	sections
பிரிவினர்	secciones	division
பிரிவினையை	división	seperation
பிரிவின்	sección	section of
பிரிவில்	sección	leave
பிரிவு	sección	group
பிரிவுகளாக	secciones	divisons
பிரிவுகளாகப்	divisiones	divisions
பிரிவுகளில்	segmentos	sections
பிரிவுகளும்	secciones	seperations
பிரிவுகள்	secciones	divition
பிரெஞ்சு	francés	french
பிரெஞ்சுப்	francés	french
பிரேசில்	en brasil	brazil
பிரையம்	priam	prime
பிறகு	luego	after
பிறகே	después	after
பிறக்கும்	nacimiento	birth
பிறந்த	cumpleaños	birth
பிறந்தது	nacido	born
பிறந்தார்	nacido	born
பிறந்து	nacido	born
பிறப்பின்	nacimiento	birth
பிறப்பு	nacimiento	birth
பிறப்புகள்	nacimientos	births
பிறப்புக்கள்	nacimientos	born
பிறருக்கு	para otros	for others
பிறர்	otros	others
பிறள்பகர்வு	piralpakarvu	misrespentation
பிறழ்வு	displasia	mutation
பிறழ்வுகள்	mutaciones	mistakes
பிறிதோர்	otro	different
பிறை	creciente	the crescent
பிற்காலச்	luego	cholan
பிற்காலத்தில்	luego	in future
பிற்காலப்	luego	later years
பிற்பகுதி	tarde	hind part
பிலாத்து	pilato	bilathu
பிலிப்	philipp	philip
பிலிம்பேர்	filmfare	flimfare
பில்	cuenta	bill
பிளவு	grieta	rift
பிளாக்	negro	lock
பிளாட்டினம்	platino	platinum
பிளைட்	vuelo	flight
பிள்ளை	pillai	adolescent
பிள்ளைகள்	niños	childrens
பிள்ளையார்	ganesha	pillaiyar
பிழைகளை	errores	mistakes
பிழைகள்	loco	errors
பிழையை	error	wrong
பீ	abeja	feces
பீகார்	bihar	bihar
பீக்	ojeada	peak
பீடம்	facultad	platform
பீட்டா	beta	beta
பீட்ரூட்	raíz de remolacha	beetroot
புகழும்	alabanza	famous
புகழ்	popularidad	famous
புகழ்ந்து	alabanza	proud
புகழ்பெற்ற	popular	famous
புகழ்பெற்றது	famoso	famous
புகார்	reporte	complaints
புகை	de fumar	smoke
புகைப்பட	foto	photography
புகைப்படங்கள்	fotos	photographs
புகைப்படம்	fotografía	photograph
புகையிலை	tabaco	tobaco
புடைப்புச்	putaippuc	torous
புணர்ச்சி	endogamia	intercourse
புணர்ச்சிப்	conjugación	orgasm
புதன்	miércoles	mercury
புதிதாக	recién	newly
புதிதாகக்	nuevo	newly
புதினங்கள்	novelas	literature
புதினம்	ficción	discussion
புதிய	nuevo	new
புது	nuevo	new
புதுக்கோட்டை	pudukkottai	pudukkottai
புதுச்சேரி	puducherry	pudhuchery
புதைசேற்று	barro	underground mud
புதைபடிவ	fósil	archeological
புத்த	budistas	butha
புத்தக	libro	book
புத்தகங்கள்	libros	books
புத்தகத்தில்	en el libro	book
புத்தகம்	libro	book
புத்தம்	marca	buddhism
புத்தர்	buda	buthar
புத்துயிர்	revitalización	revitalization
புனர்பூசம்	punarpucam	renovated pucam
புனிதமான	sagrado	holy
புன்னகை	sonriente	smile
புயல்	tormenta	cyclone
புயல்கள்	tormentas	cyclones
புரட்சி	revolución	revolution
புரட்சிகர	revolucionario	revolutionary
புரட்சிகரமான	revolucionario	revolutionary
புரட்சியின்	revolución	revolution
புரட்சியை	revolución	revolution
புரத	proteína	protein
புரதங்கள்	proteínas	protein
புரதம்	proteína	protein
புரவன்	anfitrión	use net
புராண	mítico	purana, scriptures
புராணக்	mito	myth
புராணம்	mito	epic
புராதன	patrimonio	ancient
புரிந்த	oms	did
புரிந்தார்	mph	having done
புரிந்து	comprensión	unserstand
புரிந்துகொள்ள	comprender	to be understood
புருஷ	masculino	god of vasthu
புருஷன்	marido	husband
புரோப்பிலீன்	propileno	proplin
புரோமித்தியம்	prometeo	promethium
புற	externo	outer
புறஊதா	ultravioleta	ultra violet
புறணி	recubrimiento	cortex
புறநகர்	suburbano	bye pass
புறநானூறு	purananuru	tamil poem
புறப்பட்ட	dejando	get started
புறப்பொருள்	objetivo	outer activities
புறம்	a pesar de	side
புறம்பாக	excluyendo	illegally
புறா	paloma	pigeon
புறொக்ஸி	apoderado	proxy
புற்றணுக்கள்	oncogenes	like dna
புற்று	cáncer	cancer
புற்றுநோய்	cáncer	cancer
புற்றுநோய்க்கான	para el cáncer	for the cancer
புற்றுநோய்க்கு	cáncer	for cancer
புற்றுப்பண்பு	maligno	tumours
புலன்	sentido	sensory
புலப்படும்	visible	visible
புலமை	beca	proficiency
புலம்	campo	sect
புலம்பெயர்ந்த	expatriado	to migrate
புலவர்	poeta	poet
புலி	tigre	tiger
புலிகளிடம்	tigres	from tigers
புலிகளுக்கு	tigres	ltte
புலிகளும்	tigres	tigers
புலிகளை	tigres	tigers
புலிகளைக்	tigres	tigers
புலியானது	tigre	tiger
புலியின்	tigre	tiger
புலியை	tigre	tiger
புல்	césped	grass
புல்வெளி	césped	lawn
புளுடூத்	bluetooth	blue tooth
புளுட்டோ	plutón	fluto
புளூட்டோ	plutón	pluto
புளோரிடா	florida	florida
புள்ளி	punto	statistics
புள்ளிகளில்	puntos	points
புள்ளிகளை	puntos	dots
புள்ளிகள்	puntos	points
புள்ளிக்	manchado	dot
புள்ளியியல்	estadísticas	status
புள்ளிவிவரங்கள்	cifras	statistics
புள்ளிவிவரம்	estadísticas	statistics
புழக்கத்தில்	circulación	public
புழுக்கள்	gusanos	worms
புவி	tierra	earth
புவியமைப்பு	la geografía	world status
புவியின்	de la tierra	earth's
புவியியற்	geográfico	geographic
புவியியலின்	de geografía	of geography
புவியியல்	geografía	geographic
புவியில்	en la tierra	in the earth
புவியை	tierra	earth
புஷ்	arbusto	bush
பூ	flor	flower
பூகோள	global	relating to geography
பூக்கள்	flores	flowers
பூக்கும்	floreciente	flowering
பூங்கா	parque	park
பூங்காக்கள்	parques	park
பூங்காவின்	parque	park's
பூங்காவில்	parque	park
பூசை	repetir	pooja
பூச்சிகள்	insectos	insects
பூச்சிக்கொல்லிகள்	pesticidas	pesticide
பூச்சிய	cero	nothing
பூச்சியுண்ணி	pucciyunni	insect eating
பூஜை	puja	ritual
பூஞ்சை	hongos	fungus
பூட்டான்	bután	country
பூனை	gato	cats
பூப்பெய்திய	puppeytiya	puppeytiya
பூமி	tierra	earth
பூமிக்கு	a la tierra	down to earth
பூமியின்	tierra	in the earth
பூமியிலிருந்து	desde la tierra	from the earth
பூமியில்	tierra	in the earth
பூமியை	tierra	earth
பூமியைச்	tierra	the earth
பூரட்டாதி	purattati	a naksatra in tamil horoscope
பூரான்	ciempiés	centipede
பூர்டோ	puerto	burdo
பூர்த்தி	llenar	to complete
பூர்வ	temprano	charge
பூர்வமாக	por proclamación	with rights
பூர்வீக	nativo	traditional
பூவே	poove	flower
பெங்களூரின்	bangalore	bangaloru
பெங்களூரில்	en bangalore	it is a name of bangalore city
பெங்களூரு	bangalore	bangalore
பெடரல்	federal	federal
பெட்டி	caja	box
பெட்டியில்	en el cuadro	compartment
பெட்ரோலிய	petróleo	petroleum
பெட்ரோலியம்	petróleo	petrollium
பெண்	niña	girl
பெண்களின்	de las mujeres	ladies
பெண்களில்	en mujeres	women
பெண்களுக்கான	para mujeres	for women
பெண்களுக்கு	para mujeres	women
பெண்களும்	mujer	woman
பெண்களை	mujer	ladies
பெண்கள்	mujer	ladies or women
பெண்ணின்	mujer	female
பெண்ணியம்	feminismo	illegal action on woman
பெண்ணும்	mujer	girl
பெண்ணை	mujer	girl
பென்	ben	ben
பென்சைல்	bencilo	phensyl
பெப்ரவரி	febrero	february
பெம்ஃபெரைடீ	pemhperaiti	pempheridae a fish family
பெயரளவு	nominal	namely
பெயராக	por nombre	in the name of
பெயராகும்	nombre	name
பெயரான	nombre	name of
பெயரால்	por nombre	in the name of
பெயரிடப்பட்ட	nombrada	named
பெயரிட்டார்	nombrada	named
பெயரின்	el nombre de	name
பெயரில்	en el nombre	in the name of
பெயரும்	nombre	name
பெயரெச்சம்	participio	grammer
பெயரே	sin nombre	name
பெயரை	nombre	name
பெயரைக்	nombre	having the name
பெயரையும்	nombre	name
பெயர்	nombre	name
பெயர்களால்	por nombres	names
பெயர்களில்	nombres	in the names
பெயர்களும்	nombres	names of
பெயர்கள்	nombres	names
பெயர்க்	etiquetas de nombres	namely
பெய்யும்	más pesado	rains
பெரிதாக	magnificado	bigger
பெரிதும்	más	greatly
பெரிய	excelente	big , large
பெரியகுளம்	periakulam	periyakulama ,place in madurai district
பெரியதாகும்	más grande	large
பெரியது	más grande	biggest
பெரியதும்	grande	biggest
பெரியாரின்	-j	a tamil freedom fighter or reformer periyar
பெரியார்	periyar	periyar
பெரு	perú	huge
பெருகி	multiplicar	growing
பெருக்கல்	multiplicar	multiplication
பெருக்கும்	reproducir exactamente	increase
பெருங்	holocausto	big one
பெருங்கடலின்	océano	of ocean
பெருங்கடல்	oceano	ocean
பெருங்கடல்களின்	océanos	in the ocean
பெருங்குடல்	colon	large intestine
பெருஞ்	excelente	great
பெருஞ்சுவர்	gran muralla	greatwall
பெருந்	grande	big
பெருந்தலைவர்	excelente	big
பெருமளவிலான	grande	in larger amount
பெருமளவில்	salvajemente	maximum
பெருமளவு	grande	in large scale
பெருமாள்	perumal	perumal
பெருமூளைப்	cerebral	brain
பெருமை	gloria	honour
பெருமையை	orgullo	proudness
பெரும்	excelente	great
பெரும்பகுதி	mucho	most parts of
பெரும்பகுதியை	mucho	many places
பெரும்பான்மை	mayoria	majority
பெரும்பான்மையாக	para la mayoría	majority
பெரும்பான்மையான	más	majority
பெரும்பான்மையானோர்	más	majority
பெரும்பான்மையினராக	predominar	majority
பெரும்பாலானவர்கள்	más	majority
பெரும்பாலானவை	más	of majority
பெரும்பாலானோர்	más	more all
பெரும்பாலும்	a menudo	maximam
பெருவாரியான	incontable	majority
பெருவுடையார்	peruvutaiyar	big temple in thanjavur
பெர்முடா	islas bermudas	permuda
பெர்லின்	berlina	berlin
பெர்ள்	perl	perl
பெற	obtener	want
பெறப்பட்ட	recibido	obtained
பெறப்பட்டது	recibido	got
பெறமுடியும்	puede obtener	can get
பெறலாம்	obtener	can be had
பெறவில்லை	no lo recibí	do not get
பெறவும்	obtener	receive
பெறாத	intuitivo	not getting
பெறுகின்றது	consigue	getting
பெறுகிறது	consiguiendo	gettingplace
பெறுதல்	consiguiendo	receive
பெறுமதி	valor	values
பெறுமானம்	valor	huge
பெறும்	recibir	having
பெறுவதற்காக	para obtener	to get
பெறுவதற்கு	extraer	to get
பெறுவது	consiguiendo	to get
பெற்ற	recibido	receive
பெற்றதாகும்	won	got
பெற்றது	recibido	was
பெற்றன	recibido	got
பெற்றனர்	recibido	they got
பெற்றவர்	recipiente	the recipient
பெற்றவர்கள்	destinatarios	people who got
பெற்றவை	recibido	have
பெற்றான்	recibido	got from
பெற்றார்	recibido	he received
பெற்றிருக்கின்றன	tener	got the shape
பெற்றிருக்கிறது	ha recibido	has
பெற்றிருக்கும்	equipado	containing
பெற்றிருந்தது	tenido	capitalize
பெற்றிருந்தனர்	tenido	had
பெற்று	obtener	got
பெற்றுக்	adquirido	receive
பெற்றுத்	ganado	got
பெற்றுள்ள	recibido	recieve
பெற்றுள்ளன	tener	has the
பெற்றுள்ளனர்	adquirido	received
பெற்றுள்ளார்	tiene	received
பெற்றோர்	padres	parents
பெல்	campana	alexander graham bell
பெல்ஜியம்	bélgica	belgium
பெளத்தம்	budismo	buddhists, a religion
பேகம்	begum	begum , islam name
பேசப்படுகிறது	hablado	spoken
பேசப்படும்	hablado	spoken
பேசப்பட்டு	hablado	speaking
பேசாதே	no hables	dont talk
பேசிய	hablando	spoken
பேசும்	hablando	talks
பேசுவோர்	hablando	speakers
பேச்சு	habla	speech
பேச்சுக்கள்	negociaciones	speeches
பேச்சுவார்த்தை	negociado	conference/meeting
பேச்சுவார்த்தைகள்	negociaciones	discussions
பேணி	querido	protect
பேன்	perdición	louse
பேய்	obsesionado	ghost
பேரரசன்	emperador	the king the great
பேரரசர்	emperador	emperor
பேரரசாக	imperio	the empire
பேரரசின்	imperio	big kingdom
பேரரசு	imperio	empire
பேரரசுகள்	imperios	great kingdoms
பேரரசுவாதம்	imperialismo	imperialism
பேரரசை	imperio	great kingdom
பேரலைகள்	olas	ocean tides
பேரழிவு	desastre	mass destruction
பேரழிவுகள்	desastres	destroy
பேரவை	conferencia	legislative
பேரா	bera	professor
பேராசிரியர்	profesor	professor
பேரினம்	género	genus
பேரியம்	bario	barium
பேரில்	en	in their name
பேருக்கு	personas	per person
பேருந்து	autobús	bus
பேருந்துகள்	autobuses	buses
பேர்	más	numbers
பேஸ்	paso	face
பேஸ்பால்	béisbol	baseball
பை	tarta	bag
பைசா	pisa	paise of indian currency
பையன்	chico	boy
பைராம்	bairam	bairam
பொங்கல்	pongal	pongal celebration in tamil nadu
பொண்டாட்டி	esposa	wife
பொண்ணு	niña	girl
பொதி	embalaje	packet
பொது	general	public
பொதுக்	el general	public
பொதுச்	común	public
பொதுத்	general	general
பொதுநலவாய	mancomunidad	commonwealth
பொதுப்	titular	comon
பொதுமக்களின்	de civiles	public
பொதுமக்களுக்கு	para el publico	public
பொதுமக்களும்	civiles	the public and
பொதுமக்கள்	el público	the general publics
பொதுவாக	generalmente	generally
பொதுவாகக்	generalmente	generally
பொதுவாகப்	comúnmente	in genral
பொதுவான	común	commonly or in general
பொதுவுடமை	comunismo	communism
பொதுவுடமைக்	comunista	liberal
பொதுவுடைமை	comunismo	democratic
பொத்தான்	botón	buttons
பொன்	dorado	gold
பொன்சாய்	bonsai	bonsai
பொன்னியின்	ponniyinselvan	ponniyin
பொம்மை	juguete	toy
பொருட்களின்	productos básicos	things
பொருட்களில்	productos	having that
பொருட்களும்	artículos	things
பொருட்களை	artículos	things
பொருட்களைக்	objetos	things
பொருட்களையும்	cosas	things
பொருட்கள்	bienes	things
பொருட்டு	en orden	to awoid
பொருண்மை	masa	mass
பொருண்மைகள்	entenders	masses
பொருத்த	ajuste	on
பொருத்தமான	encontró	appropriate
பொருத்தமானது	apropiado	very suitable
பொருத்தம்	ajuste	matching
பொருத்தி	ajuste	fit
பொருத்திக்	solicitud	fix
பொருத்து	ajuste	depending on the
பொருந்தி	aplicabilidad	fix
பொருந்தும்	ajuste	fix
பொருளாக	el tema	object
பொருளாகும்	sentido	material
பொருளாதார	económico	economy
பொருளாதாரக்	económico	economic policies
பொருளாதாரச்	la economia	economic
பொருளாதாரத்தின்	de la economía	of the economy
பொருளாதாரத்தில்	en la economia	economics
பொருளாதாரத்தை	economía	economy
பொருளாதாரப்	económico	economical
பொருளின்	objeto	thing
பொருளியலாளர்கள்	economistas	economists
பொருளியல்	ciencias económicas	production
பொருளில்	en sustancia	of
பொருளும்	sentido	thing
பொருளை	sentido	thing
பொருள்	sentido	product
பொருள்களும்	objetos	things
பொருள்களை	bienes	objects
பொருள்கள்	cosas	things
பொருள்படும்	sentido	meaning
பொறி	calentador	engine
பொறிகள்	motores	engine
பொறித்த	diseñado	fried
பொறிமுறை	mecánica	mechanics
பொறியாளர்	ingeniero	engineer
பொறியியல்	ingenieria	engineering
பொறுத்த	para el	for the
பொறுத்தது	depende	depends
பொறுத்தவரை	para el	according to
பொறுத்து	dependiendo de	conform
பொறுப்பில்	responsabilidad	in charge
பொறுப்பை	responsabilidad	responsibilities
பொறையன்	poraiyan	poraiyan
பொலினீசியா	polinesia	polynessia
பொழுது	cuando	at that time
பொழுதுபோக்கு	entretenimiento	hobby
பொழுதும்	cuando	when
போ	vamos	go
போக	ir	destroy
போகர்	póker	poker
போகிறது	yendo	going
போகும்	yendo	go
போக்கு	tendencia	a way
போக்குவரத்து	transporte	transports
போக்குவரத்துக்	transporte	transport
போக்கை	curso	course
போட்டி	competencia	competition
போட்டிகளில்	en competiciones	competition
போட்டிகளை	competiciones	matches
போட்டிகள்	competiciones	competitions
போட்டியிட்ட	impugnada	participating
போட்டியில்	concurso	game
போட்டியை	competencia	competition
போட்டு	poner	to amend
போட்டுக்	cobertizo	put
போதகர்	instructor	preacher
போதனை	enseñando	slogan
போதிசத்துவர்	bodhisattva	pothy sathuvar
போதிய	inadecuado	enough
போதிலும்	a pesar de que	so that
போது	cuando	while
போதுமான	suficiente	enough
போதுமானதாக	suficiente	sufficient
போதும்	suficiente	enough
போதே	mientras	when
போத்துக்கீசர்	pottukkicar	porttukiciyar
போன	desaparecido	past
போனது	condenado	gone up
போனாலும்	a pesar de que	eventhough it is gone
போன்ற	me gusta	likewise
போன்றது	me gusta	like than
போன்றன	etc.	like that
போன்றனவும்	incluir	like that
போன்றவர்கள்	me gusta	including that people
போன்றவற்றால்	etc.	towards
போன்றவற்றின்	etc.	there were
போன்றவற்றில்	etc.	thems
போன்றவற்றை	etc.	like that
போன்றவற்றைக்	producciones	like that
போன்றவற்றைப்	etc.	therealso
போன்றவற்றையும்	etc.	as
போன்றவை	etc	like that
போன்றவைகளை	una	all that
போன்றவையும்	etc.	that also
போன்று	me gusta	like wise
போன்றே	me gusta	like that
போன்றோரின்	etc.	that people also
போப்	el papa	pop
போராடிய	luchado	fight
போராட்ட	dificil	struggle
போராட்டங்கள்	las luchas	struggle
போராட்டத்தில்	lucha	in the struggle
போராட்டத்தை	lucha	struggle
போராட்டம்	dificil	ahimsa
போராளி	militante	war man
போராளிகள்	luchadores	warriors
போரிட்டு	lucha	battled
போரினால்	por la guerra	war
போரின்	batalla de el	wars
போரில்	en batalla	in the war
போருக்கான	a la guerra	for war
போருக்கு	a la guerra	war
போருக்குப்	guerra	war
போரை	guerra	war
போர்	guerra	war
போர்களின்	de guerras	war
போர்களில்	batallas	in wars
போர்களும்	guerras	wars
போர்கள்	batallas	wars
போர்க்	borg	war
போர்ச்சுகீசிய	portugués	portukese
போர்ட்	puerto	port
போர்ட்-ஓ-பிரின்ஸ்	puerto príncipe	port-au-prince
போற்றி	querido	pray
போல	me gusta	as it is
போலக்	abadejo	pollack
போலத்	me gusta	like as
போலந்து	polonia	poland
போலன்றி	diferente a	likewise
போலப்	me gusta	as
போலவும்	me gusta	likewise
போலவே	me gusta	like wise
போலீஸ்	policía	police
போலும்	suena	than/compare
போஸ்	bose	bose
போஸ்ட்	enviar	post
பௌதிக	físico	buddhist
பௌதீக	físico	physical
பௌத்த	budista	buddhism
பௌத்தம்	budismo	soul
பௌர்ணமி	luna llena	full moon
ப்ளூஸ்	blues	blues
மகசூல்	rendimiento	production
மகத்தான	excelente	important
மகனான	hijo	son
மகனும்	hijo	his son also
மகனே	hijo	son
மகன்	hijo	son
மகன்கள்	hijos	sons
மகம்	maham	magam
மகரந்த	polen	pollen
மகரந்தக்காவி	makarantakkavi	pollen
மகரந்தங்களை	polen	sperm
மகரந்தங்கள்	polen	flowers
மகரந்தச்	polen	stamen
மகரந்தம்	polen	pollen
மகளிர்	mujer	women
மகள்	hija	daughter
மகா	excelente	big one
மகாகவி	poeta	scholar
மகாதேவன்	mahadevan	mahadevan
மகாத்மா	mahatma	mahatma gandhi
மகான்	makan	great
மகாபாரதத்தின்	mahabharata	magabaratham
மகாபாரதம்	el mahabharata	mahabharat
மகாராட்டிரம்	maharashtra	maharastra
மகாலட்சுமி	mahalakshmi	maha lakshmi
மகால்	mahal	mahal
மகாவம்சம்	mahavansa	mahavamsam
மகிந்த	mahinda	elected
மகிந்தன்	mahindan	mahindhan
மக்களடர்த்தி	densamente poblada	density of population
மக்களவை	ls	parliament
மக்களவைத்	ls	lok sabha election
மக்களாட்சி	democracia	democratic
மக்களாட்சிக்	democrático	democracy
மக்களால்	personas	people
மக்களிடம்	personas	among the people
மக்களிடையே	población	in people
மக்களில்	en las personas	people
மக்களுக்காக	para la gente	for people
மக்களுக்கு	personas	for people
மக்களுக்கும்	personas	to the people
மக்களுடன்	con personas	with people
மக்களுடைய	la gente	people's
மக்களும்	personas	people
மக்களே	personas	people
மக்களை	personas	people
மக்களைக்	personas	peoples
மக்களைப்	personas	for the people
மக்களையும்	personas	for the people
மக்கள்	personas	people
மக்கள்தொகை	población	populations
மக்கள்தொகையின்	de la población	population control
மக்கள்தொகையில்	población	human population
மக்காச்சோளம்	maíz	maize
மக்காலு	makalu	makalu a   name
மங்கல	eufemismo	sanitory
மசோதா	cuenta	law and order
மச்சு	vigas	machu
மஞ்சள்	amarillo	turmeric
மடங்கு	doblez	times
மடல்	solapa	letter
மட்ட	nivel	level
மட்டக்களப்பு	batticaloa	mattakillappu a town in sri lanka
மட்டத்திலிருந்து	encima	from ground
மட்டத்தில்	a nivel	at the level of
மட்டில்	en envoltura	only one
மட்டுமல்ல	no solo	not only
மட்டுமல்லாது	no solo	not only
மட்டுமல்லாமல்	no solo	not only this
மட்டுமின்றி	no solo	only
மட்டுமில்லாமல்	no solo	not only
மட்டுமே	solamente	only
மட்டும்	solamente	only
மட்டும்தான்	solamente	only
மட்டை	murciélago	bat
மண	matrimonio	wed
மணத்தல்	manattal	married
மணந்தார்	casado	married
மணந்து	casado	marrie
மணம்	lavanda	married
மணற்கல்	arenisca	sandstone
மணல்	arena	sand
மணி	horas	time
மணிக்கு	a	at the
மணித்துளி	microsegundo	minits
மணிமேகலை	manimekhalai	manimekalai a tamil girl name
மண்	suelo	soil
மண்டபங்கள்	salón	buildings
மண்டபத்தில்	salón	mandapam
மண்டபம்	salón	hall
மண்டலங்களின்	zonas	state
மண்டலங்களில்	en zonas	regions
மண்டலங்களுக்கு	cantones	regional wise
மண்டலங்களும்	regiones	regions
மண்டலங்கள்	zonas	regions
மண்டலத்தின்	zona	zone
மண்டலத்தில்	zona	regions
மண்டலத்தை	zona	regional
மண்டலப்	regional	regional
மண்டலமும்	zona	layer
மண்டலம்	zona	region
மண்டேலா	mandela	mandela bridge
மண்டை	cráneo	head
மண்ணியல்	geomagnético	pedology
மண்ணை	suelo	soil
மண்முனை	manmunai	end
மத	religioso	religion
மதக்	religioso	religious
மதங்கள்	religiones	religion
மதச்சார்பற்ற	secular	secular
மதத்தின்	de la religion	religion
மதத்தில்	en religion	in the religion
மதத்தை	religión	religion
மதமும்	religión	religion
மதம்	religión	religion
மதராசு	madras	madras
மதராஸ்	madras	madras
மதர்	madre	mother
மதிப்பீடு	evaluación	estimation
மதிப்பீடுகள்	calificaciones	rating
மதிப்பீட்டு	evaluación	valuation
மதிப்பு	el respeto	respect
மதிப்புகளை	valores	values
மதிப்புகள்	los valores	values
மதிப்புக்	valor	value added
மதிப்பை	valor	value
மதிய	almuerzo	after noon
மதியிறுக்கம்	autismo	matiyirakkam
மது	vino	liquor
மதுரை	madurai	madurai
மதுரைக்	madurai	madurai's
மதுரைக்கு	madurai	madurai
மதுரைத்	maturait	madurai
மதுரையில்	en madurai	in madurai(city)
மதுரையை	madurai	madurai
மத்திய	medio	central
மத்தியதரைக்	mediterráneo	mediterranean
மத்தியப்	madhya	centrally
மத்தியிலும்	a pesar de	among
மத்தியில்	entre	central
மத்தேயு	mateo	mathew
மந்திர	mágico	manthra
மன	maná	heart
மனசு	corazón	mind
மனதில்	en mente	in mind
மனதை	corazón	mind
மனநல	psiquiatría	psychiatry
மனம்	mente	very much liked
மனித	humano	human
மனிதக்	el humano	humanly
மனிதனால்	hombre	by human
மனிதனின்	hombre	of human
மனிதனும்	hombre	human and
மனிதன்	hombre	a man
மனிதப்	humano	human's
மனிதரின்	de los hombres	human
மனிதரில்	inhumanos	in person
மனிதருக்கு	a humanos	for the humans
மனிதர்	hombre	human
மனிதர்களால்	por humanos	by the human
மனிதர்களின்	de los hombres	humans
