$	usd	dollars
لوح	dēlis	slab
لوحات	plāksnes	plates
لوحة	glezna	board
لوزارة	ministrijai	office
لوس	los	los
لوصف	aprakstīt	describe
لوضع	ielikt	situation
لوقا	lūkass	lucas
لوقف	apstāties	to stio
لولا	lula	unless
لولاية	par valsti	to the state
لون	krāsa	color
لونه	tā krāsa	his color
لويس	lūiss	louis
لي	raktuves	to me
ليالي	naktis	nighs
ليبرالية	liberāļi	liberal
ليبيا	lībija	libya
ليتم	jāveic	to be
ليتو	leto	lito
ليزر	lāzers	lazer
ليس	nē	not
ليست	tas nav	not
ليسوا	tie nav	aren't
ليصبح	kļūt	to be
ليصل	ierasties	to arrive
ليكون	būt	to be
ليلاً	nakts	by night
ليلة	nakts	night
ليلى	layla	laila , night
لينكون	linkolns	lincoln
لينين	ļeņins	lenin
ليون	liona	lyon
ليوناردو	leonardo	leonardo
مأهولة	apdzīvots	uninhabited
مؤتمر	konference	conference
مؤخرا	nesen	recently
مؤخراً	nesen	lately
مؤخرًا	nesen	lately
مؤسس	dibinātājs	founder
مؤسسات	iestādes	foundation
مؤسسة	korporācija	foundation
مؤشر	indikators	micher
مؤقتة	īslaicīgs	temporal
مؤكدة	apstiprināts	certain
مؤلف	autore	composed
مؤلفات	autori	works
مؤلفاته	viņa raksti	books
مئات	labvēlīgs	hundreds
مئة	simts	minna
مئوية	procentos	one hundred
ما	kas	that
مائة	simts	hundred
مائية	ūdens	water
مات	nomira	passed away
ماتت	viņa nomira	died
ماجد	majids	maged
مادة	lieta	substance
مادية	materiāls	material
ماذا	kas	what
مارتن	martins	martin
مارس	martā	practiced
مارك	marks	mark (name)
ماركس	markss	marc
ماركوس	markuss	marcus
ماري	marija	mary
ماريا	marija	maria
مارينر	jūrnieks	marines
ماسنجر	messenger	messenger
ماعدا	izņemot	except
مافيا	mafija	mafia
ماكسويل	maksvels	maxwell
مال	galvaspilsēta	money
مالك	īpašnieks	malek
مالي	finanšu	financial
مالية	finanses	financial
ماليزيا	malaizija	malaysia
مان	cilvēks	man
مانشستر	mančestra	manchester
مايكروسوفت	microsoft	microsoft
مايكل	maikls	michael
مايو	maijā	may
مبابان	mbabane	mubaban
مبادئ	principi	principles
مبادرة	iniciatīvs	initiative
مباراة	sakritība	match
مبارك	svētība	mubarak
مباريات	sērkociņi	matches
مباشر	tieša	live
مباشرة	tieši	directly
مبدأ	princips	principle
مبرهنة	teorēma	theorem
مبكر	agri	early
مبكرة	agri	early
مبلغ	summa	amount
مبنى	ēka	building
مبني	ēka	building
مبنية	būvēts	based
مبيعات	pārdošanas apjomi	sales
متابعة	turpināt	followed
متاحة	pieejams	accessible
متتالية	pēc kārtas	subsequent
متحركة	pārvietojas	motion
متحف	muzejs	museum
متحقق	sasniegts	verified
متخصصة	specializēts	specific
متر	metrs	meter
مترو	metro	metro
متزايد	aug	increasing
متزايدة	aug	increasing
متزوج	precējies	married
متساوية	vienāds	equal
متصلة	savienots	connected
متطلبات	prasības	the requirements
متطورة	izsmalcināts	developed
متعدد	vairāki	various
متعددة	vairāki	multiple
متفاوتة	dažādi	different
متفرقة	izkaisīti	different
متقدمة	uzlabotas	developed
متكررة	bieža	repeated
متميزة	atšķirīgs	special
متنوعة	dažādi	variety
متوسط	vidēji	average
متوسطة	vidēja	medium
متوفرة	pieejams	available
متى	kad	when
مثال	piemērs	example
مثل	tādas kā	such as
مثلا	piemēram	example
مثلاً	piemēram	for example
مثلث	trīsstūris	triangle
مثلما	kā	likewise
مثله	kā viņš	like him
مثلها	kā viņa	same as it
مثيرة	aizraujoši	exciting
مثيل	piemēram	identical
مجاعة	bads	famine
مجال	lauka	field
مجالات	lauki	regions
مجالس	dēļi	councils
مجتمع	kopiena	community
مجتمعات	kopienas	communities
مجددًا	atkal	again
مجرة	galaktika	galaxy
مجرد	vienkārši	just
مجرى	straume	course
مجلة	žurnāls	magazine
مجلس	dēlis	parliament
مجمع	sarežģīts	complex
مجمل	kopumā	most
مجموع	summa	total
مجموعات	grupas	groups
مجموعتين	divas grupas	two groups
مجهول	nezināms	unknown
مجهولة	nezināms	unknown
مجيء	nāk	arrival
محاسبة	grāmatvedība	accounting
محاطة	apkārt	surrounded
محافظات	provinces	governor
محافظة	pārvalde	province
محاكاة	simulācija	simulation
محاكم	tiesas	courts
محاكمة	tiesas process	judgement
محاولات	centieni	trials
محاولة	mēģinājums	attempt
محايدة	neitrāls	neutral
محدد	konkrēts	precise
محددة	konkrēts	determined
محدود	ierobežots	limited
محدودة	ierobežots	limited
محركات	dzinēji	engines
محرم	muharram	muharram (name)
محط	stacija	the focus of
محطات	stacijas	stations
محطة	stacija	station
محفز	katalizators	promoter
محفوظ	saglabāts	mahphoth
محل	veikals	place
محلول	risinājums	liquid solution
محلي	saldināts	local
محلية	vietējie	local
محمد	mohameds	mohamed
محمدًا	mohameds a	muhammed
محمود	mahmuds	mahmood
محمودية	mahmudija	mahmodiah
محمية	aizsargāts	protected
محو	dzēst	erase
محور	ass	axis
محيط	okeāns	mohit
مخاطر	riski	risks
مخالفة	pārkāpums	violation
مخاوف	bailes	fears
مختلف	savādāk	different
مختلفة	savādāk	different
مختلفين	divas dažādas	different
مخصصة	veltīts	dedicated
مخطط	plānots	plan
مخطوطة	manuskripts	document
مخيم	nometne	camp
مدارات	orbītas	orbits
مدارس	skolas	schools
مدة	ilgums	period
مدخل	ieeja	entrance
مدرسة	skola	school
مدريد	madride	madrid
مدعوم	atbalstīts	supported
مدن	pilsētas	cities
مدنها	tās pilsētas	its cities
مدني	civilā	civil
مدنية	civilā	civil
مدونة	emuārs	blog
مدى	bezel	long
مدير	režisors	manager
مدينة	pilsēta	city
مدينتي	mana pilsēta	the two cities
مذاهب	mācības	sects
مذكرات	dienasgrāmata	notes
مذكراته	viņa piezīmes	his memoirs
مر	beigās	throughout
مرات	laiki	times
مراجع	atsauces	references
مراجعة	pārskats	review
مراحل	fāze	levels
مراد	paredzēt	morad
مراعاة	apsveriet	observance
مراقب	meistars	supervisor
مراقبة	kontrole	supervising
مراكز	centri	centers
مراكش	marakeša	marrakesh
مربع	kvadrāts	square
مرة	vienreiz	time
مرت	pagājis	passed
مرتبة	rank	rank
مرتبطة	saistīts	associated with
مرتفع	augsts	large
مرتفعات	augstumi	heights
مرتفعة	augsts	high
مرتين	divreiz	twice
مرحلة	skatuve	period
مرسوم	dekrēts	decree
مرصد	observatorija	observatory
مرض	slimība	disease
مرضى	pacienti	the patients
مرقس	marks	marqas
مركب	salikts	boat
مركبات	transportlīdzekļi	vehicles
مركبة	transporta līdzeklis	tangled
مركز	centrā	center
مركزا	centrs	center
مركزاً	centrs	a center
مركزية	centralizācija	central
مركزًا	centrēts	a center
مرمرة	marmara	marmara
مروان	marvāns	marwan (name)
مرور	eja	prescription
مريم	mariam	mary
مزارع	zemnieks	plantings
مزايا	priekšrocības	advantages
مزيج	sajauc	mix
مزيد	vairāk	more
مسألة	izdevums	case
مسؤول	atbildīgs	a responsible man
مسؤولة	atbildīgs	responsible
مسؤولية	atbildība	responsibility
مساء	vakarā	after-noon
مسائل	jautājumi	topics
مسابقات	sacensības	competitions
مسابقة	konkurence	competition
مساجد	mošejas	mosques
مساحة	telpa	size
مساحتها	tās teritorija	its area
مسار	ceļš	route
مساعد	palīgs	assistant
مساعدة	palīdzība	helping
مسافة	attālums	distance
مساندة	atbalsts	support
مساهمة	ievade	input
مستخدم	lietotājs	user
مستخدمي	lietotāji	users of
مستشفى	slimnīca	hospital
مستعمرات	kolonijas	colonies
مستعمرة	kolonija	colony
مستقبل	nākotne	future
مستقرة	stabils	quiet
مستقل	neatkarīgs	separated
مستقلة	neatkarīgs	independent
مستمر	nepārtraukts	continuous
مستمرة	turpinās	continuing
مستوطنة	norēķins	settlement
مستوى	līmenis	level
مستويات	līmeņi	levels
مسجد	mošeja	mosque
مسح	aptauja	remove
مسرح	skatuve	theater
مسرحية	luga	play
مسعود	masoud	masoud
مسقط	maskats	place of birth
مسلسل	sērijas	a series
مسلسلات	sērija	series
مسلم	musulmanis	muslim
مسلمة	musulmanis	muslim
مسلمون	musulmaņi	muslims
مسلمين	musulmaņi	muslims
مسمى	nosaukts	name
مسند	kāju balsts	masnad
مسيحية	kristietis	christianity
مسيرة	gājiens	march
مسيرته	viņa karjera	career
مشابه	līdzīgi	similar to
مشابهة	līdzīgi	similar
مشاة	gājējs	infantry
مشاركة	dalīšanās	participation
مشاريع	projekti	projects
مشاعر	sajūta	feelings
مشاعل	uzliesmojumi	mechael
مشاكل	problēmas	problems
مشاهد	skats	scenes
مشاهدة	skaties	watching
مشاهير	slavens	celebrities
مشترك	savstarpēja	common
مشتركة	dalīts	share
مشتقة	atvasināts	extracted
مشروع	projekts	project
مشعل	lāpa	mashaal
مشكلة	problēma	problem
مشهد	aina	footage
مشهور	slavens	famous
مشهورة	slavens	famous
مشيخة	viņa ir veca	mashyakha
مصادر	avoti	sources
مصانع	rūpnīcas	plants
مصحف	mus&#39;haf	qur'an
مصدر	avots	source
مصر	ēģipte	egypt
مصرف	banka	bank
مصري	ēģiptiešu	egyptian
مصريات	ēģiptiešu sievietes	egyptology
مصرية	ēģiptiešu	egyptian
مصريون	ēģiptieši	egyptian
مصطفى	mustafa	mostafa
مصطلح	jēdziens	term
مصطلحات	noteikumi	expressions
مصلحة	interese	department
مصنع	rūpnīca	factory
مصنوع	izgatavots	made of
مصنوعة	izgatavots	made
مصير	liktenis	destiny
مضادة	skaitītājs	anti
مضخم	pastiprinātājs	buffer
مضى	aizgāja	passed
مضيق	šaurums	narrow
مطابقة	saskaņošana	identical
مطار	lidosta	airport
مطارات	lidostas	airports
مطالب	pieprasa	requirements
مطر	lietus	raining
مطرب	dziedātājs	singer
مطلة	ar skatu	overlooking
مطلع	sākums	the beginning
مطلقة	šķīries	complete, (divorced)
مظاهر	uzstāšanās	manifestations of
مظاهرات	protesti	demonstration
مظهر	izskats	the look
مع	ar	with
معا	kopā	together
معاداة	naidīgums	enmity
معارض	iebilda	opposer
معارضة	opozīcija	opposition
معارك	cīņas	battles
معالجة	apstrāde	treatmant
معالم	starpposma mērķi	landmarks
معامل	faktors	factories
معاملة	ārstēšana	treatment
معاني	nozīmē	connotations
معاهدة	līgums	treaty
معاوية	sids	muawiya
معايير	standarti	standards
معاً	kopā	together
معبد	templis	temple
معتدل	mērens	moderate
معتدلة	mērens	moderate
معترف	akreditēta	acknowledged
معجزة	brīnums	miracle
معد	paredzēts	muad (name)
معدات	aprīkojums	equipments
معدة	kuņģī	stomache
معدل	likme	average
معدلات	likmes	rates
معدنية	metāls	mineral
معرفة	zināšanas	knowledge
معركة	cīņa	battle
معروف	labvēlība	known
معروفة	zināms	known
معسكر	nometne	camp
معسكرات	boot nometnes	camps
معظم	lielākā daļa	most
معظمها	lielākā daļa no tā	most of them
معظمهم	lielākā daļa no viņiem	most of them
معقد	komplekss	complex
معقدة	sarežģīts	complicated
معلومات	informācija	information
معمر	vecākais	muammar
معناه	tās nozīme	its meaning
معناها	tās nozīme	meaning
معنى	jēga	a meaning
معه	ar viņu	with him
معهد	institūts	institute
معهم	ar viņiem	with them
معينة	noteikti	specific
معًا	kopā	together
مغادرة	aiziešana	leave
مغامرات	piedzīvojumi	adventures
مغربي	marokietis	morracan
مغناطيسي	magnētisks	magnetic
مغناطيسية	magnētisks	magnetic
مفاعل	reaktors	reactor
مفاهيم	koncepcijas	understandings
مفاوضات	sarunas	negotiations
مفتاح	atslēga	key
مفتوحة	atvērt	open
مفتي	muftijs	mufti
مفصلة	eņģes	detailed
مفهوم	koncepcija	concept
مفيدة	noderīga	useful
مقابر	kapsētas	tombs
مقابل	pretī	versus
مقابلة	intervija	meeting
مقاتل	cīnītājs	warrior
مقارنة	salīdzinājums	comparing
مقاطعات	rajoni	districts
مقاطعة	boikots	county
مقاعد	sēdvietas	seats
مقال	raksts	article
مقالات	raksti	articles
مقالة	raksts	article
مقام	saucējs	tomb
مقاومة	pretestība	resistance
مقبرة	kapsēta	cemetary
مقبولة	pieņemams	acceptable
مقتل	nogalināts	assault
مقتله	nogalināja viņu	his death
مقدار	summa	amount
مقدسة	svēts	divine
مقدم	prezentētājs	presented
مقدمة	ievads	front
مقدونيا	maķedonija	macedonia
مقديشيو	mogadišu	mogadishu
مقر	galvenā mītne	residence
مقرا	rakstāmgalds	residence
مقرها	balstīts	its place
مقسمة	sadalīts	split
مقياس	mērogs	criterion
مكاتب	biroji	offices
مكافحة	apkarot	counter
مكان	vieta	place
مكانة	statusu	position
مكانته	viņa augums	position
مكانه	statusu	his place
مكانها	tā vieta	it's location
مكة	makka	mecca
مكتب	birojs	office
مكتبة	bibliotēka	library
مكتوب	uzrakstīts	written
مكتوبة	uzrakstīts	follow
مكتوم	muffled	hidden
مكنسة	slota	broom
مكون	sastāvdaļa	composed
مكونات	sastāvdaļas	components
مكونة	izdomāts	formed
ملاحظات	piezīmes	notes
ملاحظة	piezīme	noticing
ملاك	eņģelis	owners
ملامح	iespējas	appearances
ملايين	miljoniem	millions
ملجأ	patvērums	shelter
ملحوظ	atzīmēts	notice / notable / marked
ملحوظة	nb!	note
ملعب	stadions	field
ملعقة	karote	spoon
ملف	fails	file
ملفات	datnes	files
ملك	karalis	king
ملكة	karaliene	queen
ملكي	karaliskais	royal
ملكية	īpašums	property
ملكًا	karalis	king
ملوك	karaļi	kings
مليار	miljardus	billion
مليون	miljons	million
مما	nekā	so
مماثل	līdzīgi	similar
مماثلة	līdzīgi	similer
ممارسة	prakse	practicing
ممالك	valstības	kingdoms
مماليك	mamluks	mamluks
ممثل	aktieris	the representative
ممثلة	aktrise	represented
ممرض	medmāsa	nurse
ممكن	var būt	possible
ممكنة	iespējams	possible
مملكة	karaļvalsts	kingdom
ممن	no kuriem	from
مميزات	iespējas	destictive features
مميزة	īpatnējs	unique
من	no plkst	from
منا	no mums	from us
مناخ	klimats	atmosphere
منارة	bāka	highlight
منازل	mājas	houses
مناسب	piemērots	convenient
مناسبة	gadījumā	occasion
مناصب	pozīcijas	positions
مناطق	reģioni	regions
مناف	munafs	munaf : muslim boy name
منافسة	konkurence	rivalry
مناقشة	debates	discussion
مناهج	mācību programmas	curricula
منتج	producents	producer
منتجات	izstrādājumi	products
منتخب	ievēlēts	national team
منتشرة	plaši izplatīts	spread
منتصف	vidus	in the mid of
منتظم	regulāri	regular
منتظمة	regulāri	consistent
منح	piešķirt	giving
منحت	piešķirts	given
منخفض	zems	low
منخفضة	zems	low
منذ	pirms	since
منزل	māja	home
منزلة	viņa māja	descend
منزله	viņa māja	his house
منصب	pozīcija	position
منصبه	birojs	his position
منصور	mansors	mansur (name)
منطقة	apgabals	region
منظمات	organizācijas	organizations
منظور	perspektīva	manzour
منع	bloķēt	prohibiting
منعت	novērsts	prevented
منغوليا	mongolija	mangolia
منها	no kuriem	from it
منهج	metode	method
منهم	kas viņi ir	from them
منهما	kas viņi ir	of the two
منى	mona	mina
مني	mona	from me
منيرة	munira	muneera(name)
مهاجمة	uzbrukums	attaching
مهارات	prasmes	skills
مهام	uzdevumi	responsibility
مهد	šūpulis	cradle
مهدي	mahdi	mahdi
مهرجان	festivāls	festival
مهم	svarīgs	important
مهما	lai kā	important
مهمة	misija	important
مهمًا	lai kā būtu	even
مهنة	profesija	a job
مهندس	inženieris	engineer
مواجهة	konfrontācija	confrontation
مواد	materiāls	materials
موارد	resursiem	resources
مواضيع	tēmas	topics
مواطن	pilsonis	citizen
مواطني	mani tautieši	the inhabitances
موافقة	piekrišana	approval
مواقع	vietnes	sites
مواقف	situācijas	situations
مواليد	bērnu paaudzes	born
موانئ	ostas	ports
موت	nāve	death
موته	viņa nāve	his death
موجات	viļņi	wages
موجة	vilnis	wave
موجودة	atrasts	presented
موحد	vienots	unitarian
موحدة	vienveidīgs	united
مورد	piegādātājs	case
موريتانيا	mauritānija	mauritania
موسكو	maskava	moscow
موسم	gada sezonu	season
موسوعة	enciklopēdija	encyclopedia
موسوليني	musolīni	mussolini
موسى	mousa	moses
موسيقى	mūzika	music
موسيقية	muzikāls	musical
موضع	pozīcija	position
موضوع	tēma	topic
موضي	miglains	moudhi
موطن	mājas	civilian
موعد	tikšanās	date
موقع	atrašanās vieta	website
موقعة	parakstīts	signed
موقعه	parakstīts	position
موقعها	tā atrašanās vieta	its sight
موقف	attieksme	situation
موقفه	viņa nostāja	his situation
مول	tirdzniecības centrs	mall
مولاي	moulajs	your highness
مولده	viņa dzimšana	born
موليبدنوم	molibdēns	moulibdnom
مونتانا	montana	montana
مونكو	monko	monko
مياه	ūdeņi	water
ميت	miris	dead
ميثاق	harta	charter
ميثيونين	metionīns	memethionine
ميخائيل	maikls	mikhail
ميدان	kvadrāts	field
ميزانية	budžets	budget
ميزة	iezīme	feature
ميسي	messi	lionel messi
ميكانيكا	mehānika	mechanics
ميل	tendence	tendency
ميلاد	dzimšanas	born
ميلان	milāna	milan
ميلانو	milāna	milan
ميلودراما	melodrāma	melodrama
ميناء	osta	port
ميونيخ	minhene	munich
مَا	kas	not
مَنْ	no plkst	who
مِن	no plkst	from
مِنْ	no plkst	of
ن	n	n
نائب	vietnieks	subordinate
ناب	brosms	bicuspid
نابلس	nablus	nablus
نابليون	napoleons	napoleon
ناتج	izeja	output
ناجحة	veiksmīgi	sucessful
ناحية	roka	way
نادرة	reti	rare
نادى	klubs	called
نادي	klubs	club
نار	uguns	fire
ناسا	nasa	nasa
ناصر	naser	nasser
ناطقة	runājot	speaker
نال	viņš dabūja	receive
نالت	viņai ir	got
نانسي	nensija	nances
نايف	nayef	nayef
نبات	augs	plant
نباتات	augi	plants
نبتون	neptūns	neptune
نبذة	īsumā	a notice
نبي	pravietis	prophet
نبيل	nabils	nabil
نت	tīkls	net
نتائج	sekas	results
نتاج	produkts	result
نتج	rezultāts	resulted
نتيجة	kalendārs	as a result
نجاح	panākumi	success
نجاحاً	panākumi	success
نجاد	najad	negad
نجح	viņam izdevās	success
نجحت	es izturēju	win
نجد	mēs atradām	we find
نجران	najran	nagran
نجم	zvaigzne	star
نجمة	zvaigzne	star
نجوم	zvaigznes	stars
نجيب	najib	naguib
نحن	mēs	we are
نحو	ceļā	towards
نذكر	mēs pieminam	mention
نرى	mēs redzam	see
نزار	nazars	nazzar
نزل	lejupielādēt	dropped
نزلت	es izkāpu	arrived at
نزول	nokāpjam	conveying
نساء	sievietes	women
نسب	līnija	parentage
نسبة	likme	related to
نسبته	viņa attiecība	rate
نسبه	procenti	relation
نسبيا	salīdzinoši	relatively
نسبياً	salīdzinoši	relatively
نسبيًا	salīdzinoši	relatively
نستطيع	mēs varam	we can
نسخ	kopijas	naskh
نسخة	kopēt	copy
نسل	sēkla	generation
نسمة	brīze	person
نشأ	ciete	arise
نشأة	genesis	growth
نشأت	izcelsme	grown up
نشأته	es uzaugu	his grouth
نشأتها	tā radās	its emerging
نشاط	darbība	activity
نشاطات	aktivitātes	activities
نشبت	izlauzās	warm up
نشر	izplatība	spread
نشرت	publicēts	published
نشرها	ievietoja to	spread
نشط	aktīvs	worked
نشطة	aktīvs	active
نشوء	rašanās	emergence
نشوب	uzliesmojums	out break of
نص	teksts	text
نصب	uzstādīt	nominate
نصر	uzvara	victory
نصف	puse	half
نصوص	teksti	texts
نصيب	dalīties	share
نصير	atbalstītājs	champion
نطاق	domēns	domain
نظام	sistēma	system
نظر	apsvērums	in the eyes
نظرا	pienāk	inasmuch
نظراً	pienāk	because
نظرة	izskats	looking
نظريات	teorijas	theories
نظرية	teorija	theory
نظريته	viņa teorija	his theory
نظرًا	pienāk	regarding
نظم	organizēts	systems
نظير	sakritība	an instance
نعرف	mēs zinām	know
نعيم	naeem	na'eem
نفر	izslēgt	one
نفس	tas pats	same
نفسه	pats	same
نفسها	pati	itself
نفسي	es pats	emotional
نفسية	psiholoģisks	psychological
نفط	eļļa	petrol
نفوذه	viņa ietekme	his influence
نفوذها	tās ietekme	influence
نفوس	dvēseles	psyches
نفي	noliegums	denial
نقاط	punkti	points
نقد	nauda	critique
نقص	trūkums	critique
نقطة	punkts	point
نقل	pārskaitījums	transmitting
نقله	pārvietotu	his moving
نقول	mēs sakām	we say
نماذج	veidlapas	examples
نمت	pieaudzis	grew
نمر	tīģeris	nemir
نمط	stils	style
نمو	izaugsme	development
نموذج	forma	model
نهائي	fināls	final
نهائيات	fināls	final
نهاية	beigas	end
نهج	pieeja	path
نهر	upe	river
نهضة	renesanse	renaissance
نهيان	nahyan	nahyan
نواب	vietnieki	delegates
نواة	kodols	kernel
نواس	svārsts	abu-nuwas
نوبل	cēls	nobel
نوح	njā	noah
نور	gaismas	noor
نورة	noura	nora
نوستراداموس	nostradamus	nostradamus
نوع	veids	kind
نوعا	kaut kas kā	kind
نوعان	divu veidu	two types
نوعه	tās tips	its kind
نوعها	tās tips	its kind
نوعية	kvalitāte	the type of
نوعين	divu veidu	two kinds
نوفمبر	novembrī	november
نووي	kodolieroči	nuclear
نووية	kodols	nuclear
نيتشه	nīče	nietzsche
نيجيريا	nigērija	nigeria
نيوتن	ņūtons	newton
نيوزيلندا	jaunzēlande	new zealand
نيويورك	ņujorka	new york
هؤلاء	šie	them
هائل	milzīgs	great
هائلة	milzīgs	huge
هاتين	šie divi	these
هاجر	emigrēja	migrated
هاجروا	viņi migrēja	migrated
هاجم	uzbruka	attacked
هاجمت	uzbruka	attacked
هارفارد	hārvarda	harvard
هارون	ārons	haroon
هاري	harijs	harry
هاشم	hašems	hashem
هام	svarīgs	important
هاما	svarīgs	important
هاماً	svarīgs	important
هامة	svarīgs	important
هاواي	havaju salas	hawaii
هايدا	haida	hida
هتلر	hitlers	hitler
هجرة	migrācija	emigration
هجمات	uzbrukumi	attacks
هجوم	uzbrukums	attack
هدف	mērķis	aim
هدفه	viņa mērķis	his goal
هدم	iznīcināt	demolition
هدنة	pamiers	cease-fire
هدى	norādījumi	houda
هذا	šis	this
هذان	šie divi	these
هذة	tas ir	this
هذه	tas ir	this
هذين	šie divi	these
هرب	aizbēga	escape
هرقل	hercules	hercules
هرقليطس	heraclitus	herletes
هرم	piramīda	pyramid
هريرة	kaķēns	harira
هزم	sakāva	defeat
هزيمة	sakāve	defeat
هشام	hesham	hisham
هضبة	plato	hill
هطول	nokrišņi	raining
هـ	e	hegire
هـم	hm	bc
هكتور	hektors	hekwer
هكذا	tātad	and like this
هل	vai jūs	do
هلال	pusmēness	cresent
هم	viņi	them
هما	viņi	are
هنا	šeit	here
هناك	tur	over there
هنالك	tur	over there
هند	hind	hend
هندسة	inženierzinātnes	engineering
هنري	henrijs	henry
هو	viņš ir	him
هواء	gaiss	air
هوراس	horace	horass
هولاكو	hulagu	hulagu khan
هولندا	holande	netherlands
هوية	identifikācija	identity
هي	viņa	is
هيئة	ķermenis	organization
هيا	aiziet	haya
هياكل	konstrukcijas	frame
هيدروجين	ūdeņradis	hydrogen
هيفاء	haifa	haifa
هيكل	struktūra	structure
هيلين	helēna	helene
هيم	hem	heme
هينايانا	hinajana	hinaiana
هُوَ	viņš ir	it is
و	un	and
وآخر	un vēl	other
وآخرون	un citi	and others
وآسيا	un āzija	and asia
وآله	un viņa ģimene	his family
وأبرز	visvairāk izcelts	and the most obvious
وأبرزها	visievērojamākais	and the most obvious
وأبو	un abu	and sphinx
وأبي	un mans tētis	and abi
وأتباعه	un viņa sekotāji	and his followers
وأثناء	un laikā	during
وأجزاء	un detaļas	and parts
وأجهزة	un servo	and devices
وأحد	vienu	and a
وأحمد	un ahmeds	and ahmed
وأحيانا	un dažreiz	and sometimes
وأخذ	un ņemot	took
وأخذت	un viņa paņēma	it begins to
وأخرى	un vēl	and others
وأخيرا	un visbeidzot	and finally
وأخيراً	visbeidzot	finally
وأخيرًا	un visbeidzot	finally
وأدت	un vadīja	caused
وأدى	ieleja	led to
وأذربيجان	un azerbaidžāna	and abidjan
وأربعين	un četrdesmit	and forty
وأرسل	viņš aizsūtīja	and he sent
وأساليب	un metodes	and methods
وأسباب	un iemesli	causes
وأستراليا	un austrālija	australia
وأسس	un pamati	founded
وأشار	norādīja	and pointed
وأشهر	slavenākais	and the more famous
وأصبح	un tā kļuva	and becomes
وأصبحت	un es kļuvu	and became
وأصحاب	un īpašnieki	owners
وأصحابه	un viņa pavadoņi	and his friends
وأضاف	viņš pievienoja	and added
وأطلق	tika atlaists	given
وأعضاء	un biedri	and members
وأعلن	viņš paziņoja	and declared
وأعلنت	tika paziņots	announced
وأغلب	un visvairāk	and most
وأفريقيا	un āfrika	and africa
وأفغانستان	un afganistāna	afganistan
وأقاليم	un teritorijas	regions
وأقام	viņš palika	established
وأقدم	un vecāki	and oldest
وأقل	un mazāk	and less
وأكبر	un lielāks	greater
وأكثر	un vēl	and more
وأكثرها	un lielākā daļa no viņiem	and the most of them
وأكد	apstiprināts	and confirmed
وألمانيا	un vācija	germany
وأما	vai	and either
وأمر	viņš pavēlēja	and ordered
وأمريكا	un amerika	america
وأمه	un viņa māte	and his mother
وأن	un noteikti	and to
وأنا	un es	and i
وأنشأ	izveidota	established
وأنه	un tā arī ir	and that
وأنها	un viņa	and it is
وأنواع	un veidi	and types
وأهل	un cilvēki	and the people
وأهم	un pats galvenais	and most important
وأهمها	vissvarīgākais	and most important
وأوائل	un agri	early
وأوروبا	un eiropa	europe
وأول	un pirmais	and first
وأي	un jebkurš	and which
وأيضا	un arī	and also
وأيضاً	un arī	and also
وأيضًا	un arī	and also
وإدارة	un vadība	management
وإذا	ja	and if
وإسبانيا	un spānija	and spain
وإسرائيل	un izraēla	israel
وإعادة	un re	rebuild
وإعلان	un paziņojums	and declaring
وإقامة	un nodibināt	and establishing
وإلا	citādi	unless
وإلى	un uz	to
وإن	un noteikti	and that
وإنتاج	un ražošana	and producing
وإنشاء	un radīt	and writing
وإنما	bet drīzāk	however
وإيران	un irāna	and iran
وإيطاليا	un itālija	and italy
وائل	vels	wael
وابن	un dēls	and the son
وابنه	un viņa dēls	and hihttp://mturk.jhu.edu/static/images/ar/word/0003757970.pngs son
واجب	nodoklis	duty
واجه	seja	faced
واجهة	saskarne	interface
واجهت	saskārās	faced
واحد	vienu	one
واحدا	vienu	one
واحداً	vienu	one
واحدة	viens	one of
واحدًا	vienu	once
وادي	ieleja	and led
وارتفاع	un augstu	increase
واستخدام	un izmanto	usage
واستخدم	un izmanto	utilized
واستطاعت	un viņai izdevās	and was able
واستمر	un turpināja	and continued
واستمرت	un turpināja	and it continued
واسع	plašs	wide
واسعة	plašs	wide
واسم	un vārds	and name
واسمه	un viņa vārds	and his name
واشنطن	vašingtona	washington
واصل	tā turpini	and continues
واضح	skaidrs	clear
واضحة	skaidrs	clear
واعتبر	tika uzskatīts	considered
وافق	viņš piekrita	agreed
وافقت	apstiprināts	agreed
واقع	realitāte	the fact
واقعة	starpgadījums	placed
والآثار	un efekti	and effects
والآخر	un otrs	and the other
والآداب	un etiķete	and arts
والآلات	un mašīnas	and the machines
والأحزاب	un ballītes	and parties
والأخرى	un otrs	other
والأخلاق	un morāle	and morals
والأدب	un literatūra	literatures
والأراضي	un zemes	lands
والأردن	un jordānija	and jordan
والأرض	un zeme	and land
والأطفال	un bērni	and the children
والأعمال	un darbojas	works
والأفكار	un idejas	and the ideas
والأكثر	un vēl	the most
والأمراء	un prinči	and the princes
والأمن	un drošība	the security
والأمير	un princis	and the prince
والأميرة	un princese	and the princess
والأنصار	un atbalstītāji	ansar
والأنهار	un upes	and rivers
والإدارة	un vadība	and administration
والإسلام	un islāms	and islam
والإسلامية	un islāma	islamic
والإعلام	un plašsaziņas līdzekļi	and the media
والإمارات	un emirāti	united arab emirates
والإمام	un imams	and el-imam
والإمبراطورية	un impērija	and the empire
والإنسان	un cilvēku	and man
والإيمان	un ticība	and believing
والاتحاد	un savienība	and the union
والاتصالات	un komunikācija	and communications
