$ tỉ	milyard dollar	$ billion
mendeleev	mendeleev	mendeleev
menes	menes	(proper noun) menes
mercedes	mercedes	a name
messenger	elçi	messanger
messerschmitt	meserschmitt	messerschmitt, as in the messerschmitt me-109, a german plane
messi	messi	(proper noun) messi, as in argentinian soccer player lionel messi
messiah	məsih	messiah
meteora	meteora	meteora
mext	mext	mext
meyer	meyer	(proper noun) meyer, as in stephenie meyer, author of the twilight series
meyers	meyvələr	meyers
miami	miami	a name
michael	maykl	michael
michaels	michaels	michaels
michelangelo	mikelancelo	michelangelo
michigan	miçiqan	a name
micro	mikrofon	micro
microbiology	mikrobiologiya	microbiology
microeconomics	mikroiqtisadiyyat	microeconomics
micronesia	mikronesiya	micronesia
microsoft	microsoft	(proper noun) the microsoft company
miguel	miguel	miguel
mike	mike	mike
mikoyan	mikoyan	mikoyan
mikoyangurevich	mikoyangureviç	(proper noun) mikoyangurevich
milan	milan	milan
milano	milano	milano
miley	miley	miley
mill	dəyirman	mill
miller	dəyirmançı	miller
milton	milton	milton
min	dəq	min
minas	minalar	minas
mindanao	mindanao	(proper noun) mindanao
ming	ming	ming
minnesota	minnesota	minnesota
minoa	minoa	minoa; the minoan civilization
miraflores	miraflores	miraflores
mirage	sarğı	mirage
miroku	miroku	(proper noun) miroku, a japanese name
misfits	uyğunsuzluqlar	misfits
mississippi	mississippi	mississippi
missouri	missuri	(proper noun) the state of missouri
mitchel	mitchel	mitchel
mitsubishi	mitsubishi	mitsubishi
miên	hipnoz	mien
miêu	pişik	"(term should be ""miêu tả"") to describe (v.)"
miến	vermicelli	burma
miếng	ədəd	a piece (n.)
miếu	məbəd	temple
miền	domen	area
miễn	sərbəst	to exempt (v.)
miện	tac	crown
miệng	ağız	mouth
mm	mm	millimeter
mobile	mobil	mobile
mode	rejimi	mode
modul	modul	module
modula	modula	(proper noun) modula, as in modula-2
mohammad	məhəmməd	mohammad
mohammed	məhəmməd	mohammed
moi	yeni	winkle
molecular	molekulyar	molecular
molotov	molotov	molotov
molypden	molibden	the element molybdenum (n.)
mongolia	monqol	mongolia
monique	monika	(proper name) monique, a french first name
mono	mono	mono
monroe	monroe	monroe
mont	ay	(proper noun) mont
montaigne	montaigne	montaigne, as in michel de montaigne
montana	montana	(proper noun) montana, as in the state
montenegro	montenegro	montenegro
montmartre	montmartre	(proper noun) montmartre
montparnasse	montparnasse	montparnasse
montreal	monteal	(proper noun) montreal, quebec
moo	moo	(proper noun) moo, as in cha moo won
moong	monong	moong
mora	mora	mora
moravia	moraviya	moravia
morgan	morqan	(proper noun) morgan
mori	mori	(proper noun) mori
moriarty	moriarty	(proper noun) moriarty, as in james moriarty from sherlock holmes
morley	morley	morley
morocco	mərakeş	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	moskva	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambik	(proper noun) mozambique
mozart	motsart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	ms	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	almaq	buy
much	çox	much
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	qarın	a vietnamese name
munich	munich	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murfiya	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	istəmək	a large number; thousands (adj.)
muối	duz	salt
muốn	isteyirem	want
muống	qaşıq	"(term should be ""rau muống"") water spinach (n.)"
muồi	gec	ripe
muỗi	ağcaqanad	mosquito
muỗng	qaşıq	spoon
muội	bacı	confusion
muộn	gec	late (adv.)
myanma	myanma	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	məkanım	(proper noun) myspace
mà	ki	also
mài	daşlama	tomorrow
màn	pərdə	curtain (n.)
mành	pərdələr	a bamboo screen (n.)
mào	crested	a comb or crest, as in the body part of a bird
màu	rəngi	color
mày	sən	sew
má	yanaqlar	cheek
mác	etiket	a name (marx)
mách	göstərişlər	tell
máclênin	marxelenin	marxist-leninist
mái	dam	"entire term should be ""thoai mai""; means ""comfortable"""
mát	sərin	cool
máu	qan	blood
máy	maşın	a machine (n.)
mâm	qab	tray
mân	təsbeh	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	ziddiyyətli	contradiction
mây	bulud	cloud
mã	kodu	"(term should be ""la mã"") roman (adj.)"
mãi	əbədi	forever (adv.)
mãimại	kodu	commerce
mãn	razı	satisfy
mãnh	güclü	intense
mão	taclar	cat
mè	susam	sesame
mèo	pişik	cat (n.)
mé	mə	a border
méo	təhrif olunmuş	alter
mép	kənar	edge
mét	metr	meter
mênh	geniş	vast
mêtan	metan	methane
mì	əriştə	wheat
mình	özünüz	me
mía	qamış	sugar cane (n.)
mò	qarmaqarışıq	to grope (v.)
mòn	köhnəlib	trail
móc	çəngəl	"(term should be ""máy móc"") machinery (n.)"
món	yemək	dish
mô	toxuma	mo
môi	dodaqlar	lip
môn	mövzular	anus
mông	kalçalar	mongolia
mônôxít	monoksit	monoxide
môt	biri	"(term should be ""một"") one (n.)"
môtô	motosiklet	motorcycle
mù	kor	mu
mùa	mövsüm	season
mùi	qoxusu	smell
múa	rəqs etmək	dance
mút	əmzik	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	bambuk zərbə endirir	bamboo shoot (n.)
mĩ	amerika	america
mũ	qapaqlar	cap
mũi	burun	nose
mơ	yuxu	vague
mơn	pəncələr	caress
mưa	yağış	rain
mưu	hiyləgər	"(should be ""tham mưu"") advisors"
mươi	əlli	tens
mương	xəndək	ditch
mướn	kirayə vermək	hire
mướt	hamar	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	borclandı	borrow
mượt	hamar	glossy (adj.)
mạc	çöl	"(should be ""mộc mạc"") simple or natural"
mạch	dövrə	vessel
mại	ticarət	commerce
mạn	tərəfi	romantic
mạnh	güclü	strong
mạo	məqalə	"(should be ""mạo hiểm"") to brave danger"
mạt	ağlar	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	qəbirlər	tomb or grave (n.)
mải	məşğuldur	absorbedly
mảng	serial	genre
mảnh	parça	piece
mất	itirdi	lose
mấu	nişan	key
mấy	az	any
mầm	mikrob	kindergarten
mầu	rəngi	color
mẩu	parça	piece
mận	gavalı	plum
mập	yağ	fat
mật	bal	intimate
mậu	ticarət	mau
mắc	bahalı	get
mắm	balıq sousu	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	şanslı	"(term should be ""may mắn"") fortunate (adj.)"
mắng	cızmaq	scold
mắt	gözlər	eye
mặc	köhnəlmək	wear
mặn	duzlu	salt
mặt	üz	face
mẹ	ana	mother (n.)
mẹo	göstərişlər	trick
mẻ	toplu	cool
mẽ	güclü	strong
mến	əziz	to adore or like greatly (v.)
mề	çovğun	locket
mềm	yumşaq	soft
mệnh	par	revolution
mệt	yorğun	tired
mỉ	vasvası	meticulous
mỉa	istehza	ironic
mỉm	gülümsəmək	smile
mịch	bağırlamaq	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	hamar	smooth
mịt	iyləmək	dim
mọc	böyüyür	to grow (v.)
mọi	hər	every
mọn	xırda	lowly
mỏ	minalar	mine
mỏi	yorğun	tired (adj.)
mỏng	incə	thin
mốc	bığlı	border
mối	termit	relationship
mốt	solğunluq	fashion or style (n.)
mồ	qəbir	"(term should be ""mồ hôi"") sweat (n.)"
mồi	yemi	bait (n.)
mổ	əməliyyat	to dissect or perform surgery (v.)
mỗi	hər biri	every
mộ	qəbir	admire
mộc	dülgərlik	simple
mộng	yuxu	dream
một	biri	one
mới	yeni	new (adj.)
mờ	səlis	dim
mời	dəvət etdi	invite
mở	açıq	open
mỡ	yağ	fat or grease (n.)
mục	maddə	purpose
mụn	sızanaqlar	pimple
mức	səviyyə	level
mứt	mürəbbə	preserve
mừng	sevinir	to be happy
mửa	qusma	to vomit (v.)
mực	mürəkkəb	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	əriştə	noodles (n.)
mỹ	gözəl	america
mỹcông	amerika	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	maral	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	kişi	male
nambắc	şimal	nambac
namibia	namibiya	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	nənə	nancy, as in nancy pelosi
nang	follikullar	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	fanglar	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	natan	nathan
natri	natrium	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	indi	this (adj.)
needham	ehtiyacım	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	çapa	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	xalis	net
netbook	netbuk	netbook
netscape	netscape	netscape
networks	şəbəkələr	networks
neumann	neyman	(proper noun) neumann
neutrino	neytrino	neutrino
nevada	nevada	nevada
neverland	heç vaxt	neverland
newcastle	nyukasl	newcastle
newspaper	qəzet	newspaper
newton	nyuton	newton
newtons	newtons	(proper noun) newton's
next	sonrakı	next
nga	rusiya	russia
ngai	taxt	crown
ngang	üfüqi	horizontal
ngao	clam	clam (n.)
ngay	hazırda	even
nghe	eşitmək	hear
nghinh	nghinh	welcome
nghiêm	ciddi şəkildə	serious
nghiêng	meylli	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	əzildi	crush
nghiễm	təəssüf	serious
nghiệm	təcrübə	experiment
nghiện	asılıdır	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	qəmli	adverse
nghành	sənaye	faculty
nghèo	kasıb	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	xoş gəldin	support
nghìn	min	thousand
nghĩ	düşündü	think
nghĩa	mənası	meaning
nghẽn	tıxanma	jam
nghếch	ucadan	stupid
nghề	peşə	career
nghệquận	sənət	art district
nghỉ	qırmaq	relaxation
nghị	tövsiyələr	think
ngo	susuzluq	ngo
ngoan	yaxşı oğlan	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	ləzzətli	delicious
ngoài	ayrı	outside of
ngoại	xarici	external
ngoạn	nəfəs verən	spectacular
ngoặc	mötərizə	bracket
ngoặt	dönüş nöqtəsi	landmark
ngu	axmaq	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	orijinal	reason
nguyền	lənət	curse
nguyện	nəzir	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	ay	moon
nguôi	sakitləşdirici	fade away
nguồn	mənbə	source
nguời	insanlar	people
nguỵ	axmaqlar	camouflage
ngà	fil sümüyü	russian
ngàn	min	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	sənaye	sector
ngào	şirin	sweet
ngày	gün	day
ngách	niş	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	axmaq	chinese ethnic group living in the vietnamese highlands near the china border
ngán	cansıxıcı	to be tired of
ngáng	ngáng	stop
ngát	huşunu itirmə	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bank	money
ngây	boş	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	cilantro	coriander
ngó	baxmaq	to look (v.)
ngói	kafel	tile or shingle
ngón	barmaq	a finger (n.)
ngót	büzülmə	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	dil	manifesto
ngông	qaz	eccentric
ngõ	zolaq	lane
ngùi	iy	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	bölmə	prevent
ngũ	beş	rank
ngơ	nəzərə alınmır	ignored (adj.)
ngơi	istirahət	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	balıqçı	fishermen
ngưng	dayan	stop
ngưu	ox	buffalo
ngươi	sən	an ancient form of address equivalent to thou or thee (n.)
người	insanlar	people
ngưỡng	eşik	religious
ngược	geriyə	opposite
ngạc	təəccübləndi	surprise
ngạch	rütbə	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	bank	bank
ngạnh	barbalar	self-willed
ngạo	təkəbbürlü	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	asfiksiya	stuffy
ngấm	ilişdi	draw
ngất	huşunu itirmə	unconscious
ngầm	yeraltı	underground
ngần	tərəddüd etmək	hesitate
ngẩn	laqeyd	froze
ngẫm	düşün	think
ngẫu	təsadüfi	ngẫu nhiên= random
ngậm	lozenglər	keep
ngập	su basdı	flood
ngắm	seyr edir	to contemplate or look admiringly at something (v.)
ngắn	qısa	short
ngặt	sıx	strict
ngọ	günorta	horse
ngọc	inci	pearl
ngọn	zirvələri	top
ngọt	şirin	sweet (adj.)
ngồi	oturur	sit
ngộ	maarifləndirmə	ngo
ngột	qəfil	sudden
ngớ	axmaq	silly
ngời	insanlar	bright
ngỡ	düşündü	surprised
ngợi	tərifləyin	praise
ngợm	yaramaz	naughty
ngục	zindan	dungeon
ngụm	yudumlamaq	sip
ngụy	wei	puppet
ngủ	yatmaq	sleep
ngủi	qısa	"(should be ""ngắn ngủi"") short-lived"
ngứa	qaşınma	itchy
ngừ	tuna	tuna
ngừa	qarşısını al	prevent
ngừng	dayan	to cease (v.)
ngửa	üzü yuxarı	supine
ngửi	iy	to smell
ngữ	nitq	term
ngự	oturmaq	defend
ngựa	atlar	horse
ngực	sinə	chest
nha	diş həkimi	dental
nhakẻ	uşaq	nha-ke
nham	lava	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	buxur	incense
nhanh	sürətli	fast
nhat	nhat	nhat
nhen	yenidən oyandı	rekindle
nhi	uşaqlar	junior
nhiên	kurs	tuy nhiên= however
nhiêu	çox	how many
nhiều	çox	numerous
nhiễm	yoluxmuşdur	infect
nhiễu	səs-küy	noise
nhiệm	vəzifə	task
nhiệt	istilik	heat
nhk	nhk	nhk
nhs	nh	nhs
nhu	ehtiyac	demand
nhuận	qazanc	leap year
nhuệ	nhue	elite
nhuộm	boyanmış	dye
nhàn	boş	leisure
nhàng	yumşaq	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	yoğurmaq	to fall headlong
nhác	yalqız	coward
nhái	klonlar	illegal copy
nhánh	filial	branch
nháp	qaralama	draft
nháy	yanıb-sönür	to flash or blink (v.)
nhâm	batırmaq	leap
nhã	zövqlü	"(term should be ""thanh nhã"") elegant"
nhãn	etiket	"(term should be ""gán nhãn"") to affix a label"
nhét	yapışdı	put
nhì	ikinci	second (adj.)
nhìn	baxmaq	to look (v.)
nhí	söhbət edən	children
nhím	kirpi	porcupine
nhòm	baxmaq	to peep (v.)
nhóc	uşaq	brat
nhóm	qrup	group (n.)
nhô	çıxıntılı	emerge
nhôm	alüminium	aluminum (n.)
nhúng	əlaqədar	embed
nhút	utancaq	shy
nhăn	qırışdı	wrinkle
nhĩ	atrial	turkey
nhũ	emulsiya	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	korrupsiya	bribery
nhơn	çoxaltmaq	nhon
như	kimi	like
nhưng	amma	but
nhương	tüpürcək	(proper noun) vietnamese first name
nhường	məhsuldarlıq	yield
nhưỡng	yağlı	soil
nhược	zəiflik	weak
nhượng	güzəştlər	concession
nhạ	nhạ	nha
nhạc	musiqi	music
nhạn	udmaq	bird
nhạo	lağ etmək	ridicule
nhạt	solğun	light
nhạy	həssas	sensitive
nhảy	rəqs etmək	jump
nhấc	qaldırmaq	lift
nhấm	yudumlamaq	rodent
nhấn	basaraq	to press (v.)
nhất	ən çox	most
nhầm	səhv	misunderstand
nhầy	incə	glutinous
nhẫn	üzüklər	patient
nhậm	möhürlənmiş	inaugurate
nhập	girmək	penetrate
nhậu	içmək	drink
nhậy	həssas	sensitive
nhắc	tez	to remind (v.)
nhắm	məqsədi	aim
nhắn	mesaj	message
nhằm	məqsədi	for the purpose of (adv.)
nhẵn	hamar	smooth
nhặt	aldı	pickup
nhẹ	işıq	light
nhẹn	çevik	nhanh nhẹn= fast/nimble
nhị	səbirli	sensitive
nhịn	bitərəf olmaq	fasting
nhọ	qaraldı	smear
nhọn	işarə etdi	sharp (adj.)
nhỏ	kiçik	small
nhỏ|cây	kiçik | ağac	small|tree
nhỏ|một	kiçik | bir	small | one
nhỏ|phải|	kiçik | sağ |	small|right
nhỏ|phải|px|	kiçik | sağ | px |	small | have | px |
nhỏ|phải|px|bức	kiçik | sağ | px | şəkillər	grape / fade / px / buc
nhỏ|phải|px|cây	kiçik | sağ | px | ağac	px spicy grape fade
nhỏ|phải|px|khu	kiçik | sağ | px | zonası	small|right|px|area
nhỏ|phải|px|michael	kiçik | sağ | px | michael	small|right|px|michael
nhỏ|phải|px|máy	kiçik | sağ | px | maşın	small | right|px|machine
nhỏ|phải|px|một	kiçik | sağ | px | biri	small|right|px|one
nhỏ|phải|px|quân	kiçik | sağ | px | güc	small|right|px|army
nhỏ|px|	kiçik | px |	small
nhỏ|px|các	kiçik | px | olan	small
nhỏ|px|phải|kiến	kiçik | px | sağ | qarışqa	small | px | right | patience
nhỏ|quân	kiçik | güc	small|army
nhỏ|trái|px|máy	kiçik | sol | px | maşın	small|left|px|plane
nhỏ|tượng	kiçik heykəllər	small|statue
nhốt	kilidləndi	confine
nhồi	doldurulur	cram
nhổ	tüpürmək	uproot
nhộn	şən	busy
nhớ	xatırlamaq	remember
nhớt	viskoz	viscid
nhờ	təşəkkür edirəm	by
nhờn	yağlı	multiplication
nhở	xatırlatmaq	remind
nhụ	çimdik	nhu
nhục	alçaldı	shame
nhủ	xatırlatmalar	needs
nhức	ağrılar	pain
nhứt	əvvəlcə	first (n.)
nhừ	kimi	tender
những	bunlar	the
nhựa	plastik	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nikaragua	(proper noun) nicaragua
niccolò	nicolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nikolalar	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeriya	nigeria
nikel	nikel	nickel
niken	nikel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayeviç	nikolayevich
nil	nil	nile
nile	çılpaq	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	təhlükəsizlik	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	azot	nitrogen (n.)
nixon	nikson	(proper noun) nixon, as in former president richard nixon
niên	il	youth
niết	nit	nirvana
niềm	zövq	trust
niệm	zehnlilik	concept
niệu	diurez	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noah	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	deyin	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	cavan	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	norman	norman
normandie	normandie	normandile
northrop	şimalrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	heç	norway
nou	nou	nou
novak	novak	novak
now	indi	now
nowc	nowc	nowc
noãn	yumurtalıq	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubiya	nubia
number	nömrə	number
nupedia	nupedia	a name
nusa	nüsxə	nusa
nuôi	yem	feed
nuối	udmaq	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	udmaq	to swallow (v.)
nuớc	su	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	israr et	pleading
nàn	şikayət etdi	poor
nành	soya	soy
nào	gəl	would
này	bu	this
ná	ná	a crossbow (n.)
nách	qoltuqlar	underarm (n.)
náo	təkəbbürlü	riot
nát	əzildi	ruin
náu	gizlət	hide
nâng	qaldırma	raise
nâu	qəhvəyi	brown
nã	nã	to track down (v.)
não	beyin	brain
né	çəkinin	dodge
ném	atmaq	to throw (v.)
nén	sıxılmış	compress
nét	vuruşlar	feature
nê	ne	ne
nên	olmalıdır	should or ought to
nêu	ifadə etdi	mention
nòi	irqi	race
nòng	barel	barrel
nói	dedi	to say or speak (v.)
nón	papaqlar	cone
nóng	isti	hot
nô	qul	slave
nôbita	tobita	nobita
nôi	beşik	cradle
nôm	nəm	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	qusma	vomit
nông	dayaz	farmer
nõn	soymaq	peeled
nùng	nung	nung
núm	sap	nipple
núp	örtmək	hide
nút	düyməsini basın	button
năm	il	year
năn	tövbə	"(term should be ""ăn năn"") remorse (n.)"
năng	güc	"(term should be ""khả năng"") ability (n.)"
nơi	yer	a place
nơtrino	neytino	neutrino
nước	su	country
nước 	su	water
nướng	bişmiş	grill
nǎm	nǎm	year
nạ	maska	mask
nạc	arıq	lean (adj.)
nại	şikayət etmək	complain
nạn	sıxıntı	a disaster (n.)
nạo	küretaj	to scrape (v.)
nạp	yüklənmişdir	tribute
nản	ruhdan düşdü	depressed
nảy	sıçrayan	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	hıçqırıq	a hiccup (n.)
nấp	gizlət	hide
nấu	bişirmək	cook
nấy	bu	this
nần	çılpaqlıq	debt
nầy	bu	this
nẩy	sıçrayan	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n günəş	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	isti	busy
nắm	tutmaq	to grasp or hold (v.)
nắng	günəşli	sunlight
nắp	qapaq	a lid or cover (n.)
nằm	yalan	to lie (v.)
nẵng	nəng	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonim olaraq	heavy
nặn	sıxmaq	mould
nặng	ağır	heavy
nẻo	başqa	turn
nếm	dadmaq	taste
nến	şamlar	candle
nếp	yapışqan	sticky rice (n.)
nếu	əgər	if (adv.)
nề	hörgü	severe
nể	hörmət	respect
nện	zərbə	ram
nỉ	hiss etdim	beg
nịnh	yaltaq	flatter
nọ	digəri	the other
nọc	zəhər	tadpole
nỏ	çarpaz	a crossbow (n.)
nối	bağlıdır	connection
nốt	qeyd	to finish off (v.)
nồi	qazan	pot
nồm	nape	humid (adj.)
nồng	konsentrasiyası	heavy
nổ	partlamaq	explode
nổi	üzən	nổi tiếng= famous
nỗ	cəhd	affort
nỗi	ki	state
nộ	qəzəb	anger
nội	daxili	on the paternal side (adj.)
nộn	doldurma	non
nộp	iddia olunur	submit
nới	boşaltmaq	ease
nở	çiçəklənmə	bloom
nỡ	ürəkli	do you have a heart to
nợ	borc	debt
nụy	pistil	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	mantar	a kind of bamboo (n.)
nứt	qırıq	to crack
nửa	yarı	haft
nữa	daha çox	moreover
oahu	oahu	(proper noun) oahu
oai	qorxu	heroic
oakland	palıd	oakland
oan	ədalətsizlik	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	vilayət	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	oktyabr	(proper noun) october
oda	oda	oda
oder	odur	oder
odyssey	odyssey	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	məmur	officer
officers	zabitlər	officers
ohkawa	ohkawa	ohkawa
okhotsk	oxotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olimpiya	olympus
om	om	to simmer
omar	omar	a name
ong	arı	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	orqan	organ
oricon	orikon	oricon
origin	mənşəli	origin
orion	orion	(proper noun) orion, the hunter
orleans	orlean	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oskar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	osetiya	(proper noun) ossetia
oswald	oswald	oswald
other	digərləri	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	osmanlı	(proper noun) ottoman, as in the ottoman empire
outstanding	görkəmli	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	oksigen	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	inciklik	"(term should be ""oán than"") to complain or whine"
oát	vatt	a watt (n.)
oản	oan	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paqet	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palaylar	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestine	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	tava	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	pantera	(proper noun) panthera, a genus of felines
panthéon	panteon	a name
paolo	paolo	paolo
paperback	sənədsiz	paperback
papua	papua	papua
paraguay	paraqvay	(proper noun) paraguay
pari	pari	pari
park	park	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrik	patrick
patriot	vətənpərvər	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	həmyaşıdları	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	qəpik	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	perry	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	səbirli	pershing
persian	fars	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburq	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	səh	associate professor
pgđ	pgđ	associate professor
pha	qarışıq	to mix
phaethon	phaethon	phaethon
pham	fam	pham
phanh	əyləc	expose
phao	üzmək	float
phaolô	paul	st. paul, the apostle
pharaoh	firon	pharaoh
pharaon	firon	pharaoh
phay	freze	mill
phe	fraksiya	faction
phen	fen	time
phil	fil	(proper noun) phil, a first name
philip	philip	philip
philippe	filipp	philippe
