$ tỉ	милијарду долара	$ billion
thoát	излаз	drainage
thoại	телефон	telephone
thoạt	на први поглед	just (adv.)
thoả	договор	compromise
thoải	удобан	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	повремено	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	брз	suddenly
thpt	тхпт	high school
thriller	трилер	thriller
thskts	тхсктс	phd- architect
thua	изгубити	defeat
thumb|các	палац |	thumb|many
thunderbolt	тхундерболт	thunderbolt
thung	долина	valley
thuyên	премештај	a name
thuyết	теорија	theory
thuyền	брод	boat
thuê	изнајмити	employ
thuần	чисто	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	сукоб	support
thuận	прос	favourable
thuật	уметност	term
thuế	порез	tax
thuốc	лек	medicine (n.)
thuộc	припадати	belong
thuớc	вода	"(term should be ""kích thước"") dimensions of an object"
thuờng	обично	usually
thuở	детињство	period
thuỵ	тхуи	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	тхуи	water
thvn	тхвн	vietnam television
thy	твој	thy
thà	радије бих	honest
thành	форт	"(term should be ""hình thành"") to take shape"
thày	учитељице	teacher
thác	каскада	harvest
thách	изазов	challenge
thái	тајландски	attitude
thám	детективе	to spy (v.)
tháng	месец дана	month (n.)
thánh	ст	a holy person; a saint (n.)
tháo	уклони	"(term should be ""tháo chạy"") to run with abandon"
tháp	куле	tower
thâm	дубоко	penetrate
thâu	снимљен	to collect (v.)
thây	види	body
thãi	срање	superabundant
thèm	жудјети	desire
thép	челика	steel
thét	вриснуо	shout
thê	тхе тхе	category
thêm	више	more
thêu	кирија	to embroider (v.)
thìa	кашика	spoon
thìn	онда	(proper noun) thìn, the year of the dragon
thình	одједном	"(term should be ""thình lình"") suddenly"
thí	експерименти	(with word du) for example
thít	тхит	(proper noun) mân thít, a district in vietnam
thò	покед	tho
thòi	недостатак	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	неолушан	grain (n.)
thói	навика	a habit (n.)
thô	груб	rough, old-fashioned
thôi	хајде	only
thông	информисан	"(term should be ""thông thường"") usual (adj.)"
thù	завада	"entire term should be ""ke thu""; means ""enemy"""
thùng	канта за смеће	barrel
thùy	режањ	thuy
thú	занимљиво	"(should be ""thích thú"") pleasurable"
thúc	крај	push
thúy	тхуи	thuy
thăm	посета	visit
thăng	промовисан	helicopter
thơm	мирисна	aromatic
thư	писма	"(term should be ""ung thư"") cancer (n.)"
thưa	драга	sparse
thương	љубав	love
thước	лењир	ruler
thường	често	usually (adv.)
thưởng	награда	to reward (v.)
thược	тхуд	(proper noun) thược
thượng	горња	upper
thạc	мајсторе	master
thạch	желе	rock or stone (n.)
thạnh	тханх	thanh
thạo	стручњак	fluent
thả	кап	"(term should be ""thả lỏng"") to let loose (v.)"
thải	губљење	waste
thảm	тепих	carpet or rug (n.)
thản	спокојан	calmly
thảo	лепа	"(term should be ""hội thảo"") a workshop (n.)"
thấp	кратак	low (adj.)
thấu	пенетрант	penetrate
thầm	тихо	"(term should be ""thì thầm"") to whisper (v.)"
thần	бог	"entire term should be ""tinh than""; means ""of the mind"""
thầy	учитељ	teacher (n.)
thẩm	поротници	osmotic/leak
thẫm	тамно	dark
thận	бубрег	careful
thập	крст	tens
thật	прави	true (adj.)
thắm	латица	tham
thắn	искрено	frank
thắng	победио	win
thắngthua	побеђивати	win-lose
thắp	светлост	light
thắt	повезати	tense
thằn	гуштера	"entire term should be ""than lan""; means ""lizard"""
thằng	момак	a derogatory term for a man (n.)
thẳm	дубоко	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	равно	horizontal
thặng	вишак	surplus
thẹn	срамота	shameful
thẻ	картица	card
thế	тако	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	челика	steel
thề	заклети се	swear
thềm	полица	shelf
thể	бити	maybe
thỉnh	позвати	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	мод	prosperous
thịt	месо	meat (n.)
thọ	дуговечност	phu tho
thọc	јаб	jab
thỏ	зец	rabbit
thỏa	договор	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	ингота	a bar (n.)
thối	труло	smelly
thốt	изговорено	scream
thồ	паковање	to transport via horse (v.)
thổ	земља	"(term should be ""lãnh thổ"") territory (n.)"
thổi	ударац	blow
thớt	даска за сецкање	sparse
thời	време	period
thở	дах	breathe
thợ	радник	craftman
thụ	рецептор	"(term should be ""thụ thai"") to become pregnant"
thục	сху	(proper noun) a vietnamese first name
thụt	разведено	clyster
thủ	главни	masturbate
thủa	тхуа	during childhood
thủng	перфорација	having holes
thứ	ствари	no.
thức	будан	way
thừa	сувишан	redundant
thừng	конопац	"(term should be ""thẳng thừng"") mercilessly"
thử	да пробам	try
thửa	парцела	square
thự	вила	mansion
thực	прави	perform
ti	ти	titov
tia	зрак	ray
tiananmen	тиананмен	tiananmen
tiara	тиара	tiara
tibet	тибет	(proper noun) tibet
tigris	тигрис	tigris
tiliaceus	тилиацеус	hoa dam but
tim	срце	heart
timor	тимор	timor
timothy	тимотхи	timothy
tin	верујем	believe
tinbắc	порука	file bac
tincầu	лимени мост	file bridge
tinh	планета	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	тинхоме	folder: house
tinsông	вести	file river
tinthị	тинтхи	file: town
tirol	тирол	tirol
tisdale	тисдале	tisdale
tish	тисх	(proper noun) tish
tissa	тисса	(proper noun) tissa, as in moggaliputta tissa
tivi	телевизија	television
tizard	тизард	(proper noun) tizard
tiên	први	first
tiêu	бибер	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	жаљење	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	гоофи	seize
tiến	горе	operate
tiếng	језик	language
tiết	излучивање	abstinence/intensity
tiếu	глуп	"(should be ""đàm tiếu"") to sneer"
tiềm	потенцијал	potential
tiền	новац	money (n.)
tiều	срање	(proper noun) the name of a poet
tiểu	пишкити	tiểu sử= biography
tiễu	г. лиу	patrol
tiệc	гозба	party
tiệm	продавница	shop
tiện	повољно	mean
tiệp	чешки	gustav franck
tiệt	јебено	sterilize
tncs	тнцс	communist youth union
tngt	тнгт	traffic accidents
tnhh	ограничен	limited
toang	тоанг	fast
tobago	тобаго	tobago
toei	тоеи	toei
tokugawa	токугава	tokugawa
tokyo	токио	tokyo, the capital of japan
tokyopop	токиопоп	tokyopop
tomas	томас	(proper noun) tomas
tommy	томми	tommy
tomoyo	томоио	tomoyo
tony	тони	tony
toonami	тоонами	(proper noun) toonami
top	врх	top
torino	торино	torino, as in the italian city
toriyama	торииама	(proper noun) toriyama
tottenham	т тотенхем	tottenham
tourism	туризам	tourism
tourist	туристички	tourist
toyama	тоиама	toyama
toyota	тоиота	(proper noun) toyota
toà	суд	office
toàn	сигурно	entire or whole (adj.)
toán	математике	team
toát	добро	to exude or emit, as in sweat (v.)
toạ	координате	locate
toại	у	satisfaction
toả	зрачити	spread
tp	тп	city
tphcm	тпхцм	ho chi minh city
tphồ	град	city ho
tpvĩnh	град	vinh city
tqlc	тклц	marine
trafalgar	трафалгар	(proper noun) trafalgar
trafford	траффорд	trafford in greater manchester
trai	шкољке	boy
trang	страна	a page (n.)
tranh	слике	to compete (v.)
trao	поделио	reward
trau	трау	polish
tre	бамбус	bamboo (n.)
treo	виси	hang
tri	три	tri
tribune	трибина	a name
trinh	дјевице	"(should be ""trinh bạch"") virtuous"
trinidad	тринидад	trinidad
trinity	тројство	trinity
tristan	тристан	tristan
triết	филозофија	philosophy
triền	триен	"(should be ""triền miên"") endless"
triều	плима	court
triện	печат	stamp
triệt	темељно	completely
triệu	милион	a million
tro	пепео	ashes
troia	троја	troy
trondheim	трондхеим	trondheim
trong	ин	inside (adv.)
true	истинито	true
truman	труман	(proper noun) truman
trung	средња	"(term should be ""trung gian"") agent (n.)"
trungnhật	искреност	china-japan
truong	труонг	truong
truyên	труиен	story
truyện	прича	story
truân	труан	arduous
truất	негативци	cancel
truởng	шеф	leader (n.)
truỵ	лаж	depraved
trà	чај	tea (n.)
tràm	цајупут	melaleuca
tràng	дебело црево	"entire term should be ""truc trang""; means ""rectum"""
trào	ерупција	movement
trác	трац	trac
trách	кривити	blame
trái	лево	against
trán	чело	forehead
tráng	премазан	to coat (v.)
tránh	избегавајте	to avoid (v.)
tráo	лажно	tráo trở= liar/betrayal/treacherous
tráp	кутија	casket
trát	налог	pile
trâm	брош	a type of elegant hairpin (n.)
trân	срдачан поздрав	respect
trâu	биво	a last name
trãi	расути	trai
trèo	попети се	climb
trên	на	above
trình	прихвати	process
trí	ум	intellectual
trích	извод	to extract (v.)
trò	трик	role
tròn	округли	rounding
trói	везан	tie
trôi	дрифтинг	afloat
trông	изглед	look
trùm	шефе	cover
trùng	подударати	"(should be ""tinh trùng"") sperm"
trùy	труи	something to with monk
trú	укрцавање	residence
trúc	бамбус	structure
trăm	сто	hundred
trăn	питхон	"(term should be ""trăn trở"") to ponder (v.)"
trăng	месец	moon
trĩ	хемороиди	hemorrhoids
trũng	потонуо	medium
trơ	инертан	bare
trơn	склизак	slippery (adj.)
trư	тру	a pig (n.)
trưa	подне	noon (n.)
trưng	одузимање	symbolic
trưngcông	изложени	truongcong
trương	труонг	policy
trước	пре него што	front
trước 	пре него што	front
trướng	експанзија	expand
trườn	пузите	crawl
trường	школа	case
trượng	цадуцеус	a unit of length used in vietnam equal to 4 meters (n.)
trượt	клизати	slide
trạch	трацх	ze
trại	камп	camp
trạm	станица	station
trạng	стање	situation
trạo	тао	trao
trả	платити	to return
trải	цовер	spread
trảm	цајупут	beheaded
trảo	мачете	trao
trấn	град	town
trấu	пиринач комина	rice skin
trầm	дубоко	depression
trần	голо	tran
trầu	бетел	trầu
trầy	изгребани	scratch
trẩy	одскочити	pilgrimage
trẫm	ја сам	i
trận	утакмица	battle
trật	дислоциран	order
trắc	биометрија	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	бео	white
trặc	штуцање	"entire phrase is ""truc trac""; means ""problem"""
trẻ	млад	youth
trễ	касно	late
trệ	стагнира	bamboo
trị	лечење	cure
trịnh	цик-цак	trịnh, a vietnamese last name
trọ	гостионица	motel
trọn	пуни	whole
trọng	важно је	serious
trỏ	показивачи	index
trối	коначни	last words
trốn	сакрити	to hide
trống	празно	in
trồi	у настајању	to emerge (v.)
trồng	расти	plant
trổ	прикажи	to burst open or display
trỗi	настајање	rise
trội	доминантан	better
trộm	лопови	theft
trớn	миловати	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	бог	sun
trợ	подршка	support
trụ	канцеларија	universe
trục	ос	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	гола	"(term should be ""trơ trụi"") bare (adj.)"
trứ	тру	famous
trứng	јаје	egg
trừ	минус	except
trừng	сјај	punish
trừu	овце	abstract
trữ	складиште	reserve
trực	на дужности	direct
ts	тс	phd
tt	тт	news
tua	пипаљка	fringe
tucker	туцкер	tucker, an english last name
tudor	тудор	(proper noun) tudor, as in the tudor family
tukhachevsky	тукхацхевски	(proper noun) tukhachevsky
tulip	тулипан	tulip
tum	тум	tum
tung	бацити	release
tupolev	туполев	tupolev, as in alexei tupolev
tuscan	тосканска	(proper noun) tuscan
tutsi	тутси	(proper noun) tutsi
tuvalu	тувалу	(proper noun) tuvalu, a polynesian island nation
tuy	међутим	however
tuyên	изјавити	"(should be ""tuyên ngôn"") a declaration"
tuyết	снег	snow (n.)
tuyền	туиен	tuyen
tuyển	регрутовање	recruit
tuyệt	сјајно	excellent (adj.)
tuân	поштовати	comply
tuông	испирати	jealous
tuý	туиы	drug
tuần	недеља	week
tuế	минновс	years
tuệ	мудрост	intelligence
tuốc	плутање	turbine
tuổi	година стар	age
tuộc	хоботница	octopus
tuột	склизне	slip
tuỳ	опционо	depend
tv	телевизија	tv
tvb	твб	tvb
twin	близанци	twin
twitter	твиттер	twitter
ty	ти	company
type	тип	type
typhon	типхон	typhon
tà	зло	we
tài	богатство	talent (n.)
tàn	пепео	dying
tàng	музеј	"(should be ""bảo tàng"") a museum"
tành	танх	shatter
tàu	брод	ship
tá	десетак	"(term should be ""thiếu tá"") major (n.)"
tách	цуп	to separate
tái	ре	return
tám	осам	eight
tán	надстрешница	support
tánh	танх	life
táp	славина	to lap at (v.)
táu	крив	ashton
tâm	центар	tâm
tâu	о боже	peach
tây	запад	western
tâynam	вестнам	"(should be ""tây-nam"") southwest"
tã	пелене	diaper
tét	врисак	tet
tê	укочен	numb
tên	име	name (n.)
tì	слезине	to lean on (v.)
tìm	пронађи	find
tìmdiệt	претрага	find-kill
tình	љубав	sex
tía	љубичаста	dad
tích	производ	"(term should be ""tích cực"") to be zealous (adv.)"
tím	љубичаста	purple
tín	кредита	"(entire term should be ""tín dụng"") credit"
tít	наслов	"(term should be ""tít mù"") very far away (adv.)"
tò	радозналост	curious
tòa	суд	a court
tòi	ствари	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	тонг	tòng, a last name
tóm	сажетак	summary
tô	посуда	car
tôi	ја	i
tôm	козице	shrimp
tôn	валовити	venerate
tông	картон	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	затвор	prison
tùng	резервни	tung
tùy	опционо	depend on
túc	довољност	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	торба	pocket
túm	граб	catch
túng	незгодно	confuse
túp	колиба	hut
túy	лек	"(term should be ""thuần túy"") pure (adj.)"
tý	пацов	mouse, as in year of the mouse
tăm	чачкалица	"(term should be ""tiếng tăm"") reputation"
tăng	повећати	increase
tĩnh	статички	calm
tơi	ја	ragged
tư	од	posture
tưng	дрхтав	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	свеж	fresh
tương	слично	"(term should be ""tương tự"") to be similar to"
tước	стриппинг	title (n.)
tưới	залијевање	irrigation
tướng	генерал	prime minister (thu tuong)
tường	зид	"a common vietnamese first name; means ""wall"""
tạ	вага	weight
tạc	вај	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	ин	survival
tạm	привремени	temporary
tạo	креирај	create
tạp	магазин	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	опис	describe
tản	расипање	disperse
tảng	платформа	platform
tấc	инч	inch
tấm	тањири	mirror
tấn	тона	tan
tấp	повукао	crowded
tất	чарапе	all
tấu	инструментал	tau
tầm	игре	range or extent (n.)
tần	фреквенција	"(term should be ""tần số"") frequency (n.)"
tầng	под	layer
tầu	воз	ship
tẩm	импрегниран	soak
tẩy	гумица за брисање	to bleach
tận	крај	dedicated
tật	инвалидност	disease
tắc	прекидачи	priciple
tắm	туш	bathing
tắt	искључи	initial
tặc	хакери	"(term should be ""hải tặc"") a pirate (n.)"
tặng	донирати	donate
tẻ	драб	lẻ tẻ= scattered
tết	тет	(proper noun) the vietnamese new year
tếxã	економски	economy - society
tề	ки	tidy
tể	господине	lord
tệ	лоше	bad
tệp	датотека	file
tỉa	трим	"(term should be ""bắn tỉa"") to snipe"
tỉnh	провинцијални	province
tị	азил	refugee
tịch	председник	"(""chủ tịch"") president or chairman"
tọa	координате	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	изражена	to
tỏa	зрачити	radiate
tỏi	бели лук	garlic
tốc	брзина	speed
tốn	трошак	to cost (v.)
tống	пратња	dispose
tốp	група	top
tốt	добро	good
tồi	лоше	bad
tồn	постоје	exist
tổn	повриједити	damage
tổng	укупно	president
tộc	клан	"(term should be ""dân tộc"") a race or people"
tội	грех	crime
tột	екстремно	extreme
tớ	ја	servant
tới	следећи	to the point
tờ	лист	paper/document
tởm	одвратан	disgusting
tục	профана	"(term should be ""tập tục"") customs or practices"
tụy	панкреас	"(term should be ""tận tụy"") devoted (adj.)"
tủ	ормари	shelf
tủi	лоше	humiliated
tủy	срж	spine
tức	тренутак	i.e.
từ	од	from
từng	икад	each
tử	смрт	lion (su tu)
tửu	толеранција на алкохол	wine
tự	ја	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	наслов	lean
tựu	достигнућа	achievement
tỵ	снаке	the han name for the year of the snake, according to the chinese zodiac
tỷ	милијарде	billion
u	у	tumor
ua	уа	ua
uae	уае	uae
ubuntu	убунту	ubuntu
uc	уц	uc
uchiha	уцхиха	uchiha
uefa	уефа	uefa
uh	ух	uh
uk	ук	uk
ukiyoe	укииое	ukiyoe
ukraina	украина	ukraine
ulsan	улсан	ulsan
umm	умм	umm
un	ун	(proper noun) un, as in chung un chan of korea
und	унд	und
under	под	under
unesco	унесцо	unesco
ung	труло	cancer
unicorn	једнорог	unicorn
unit	јединица	unit
unix	уник	unix
up	упс	up
ural	урал	ural, as in the ural mountains
urani	уранијум	uranium
uri	ури	uri, a former political party in south korea
uruguay	уругвај	uruguay
usagi	усаги	usagi
usb	усб	usb
uss	усс	uss
utah	утах	utah
utrecht	утрецхт	(proper noun) utrecht
uy	уи	"(term should be ""uy lực"") power (n.)"
uyghur	уигхур	(proper noun) uyghur
uygur	уигур	uygur
uyên	уиен	scholarly
uyển	еуфемизам	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	узбекистан	uzbekistan
uông	уонг	uong
uất	уат	busy
uốn	цурлинг	to curl (v.)
uống	пити	to drink
uổng	трошење	vain
v	в	v
va	ва	collide
vaccine	вакцина	vaccine
vai	раме	shoulder
valencia	валенциа	valencia
valentine	валентина	valentine
valley	долина	valley
van	вентил	"(term should be ""van xin"") to beg (v.)"
vanessa	ванесса	vanessa
vargas	варгас	(proper noun) vargas
vasari	васари	vasari
vay	позајми	borrow
vectơ	векторски	vector
ven	заједно	"(term should be ""ven biển"") coastal (adj.)"
vendôme	вендоме	vendome
venezia	венезиа	venice
venus	венус	venus
verdun	вердун	verdun
vermont	вермонт	vermont
verona	верона	(proper noun) the city of verona
versailles	версаиллес	(proper noun) versailles
vhs	вхс	vhs
vi	јер	behavior
viagra	виагра	viagra
victor	вицтор	(proper noun) victor
victoria	вицториа	victoria, a province of australia
vienna	беч	(proper noun) vienna, austria
viet	вијет	vietnamese
vietnam	вијетнам	vietnam
viettel	виеттел	viettel
viii	виии	eighth
vijaya	вијаиа	(proper noun) vijaya
viking	викинг	viking
villa	вила	villa
villeneuve	вилленеуве	(proper noun) villeneuve, a french last name
vinagame	винагаме	vinagame
vinashin	винасхин	vinashin
vince	винце	(proper noun) vince, as in vince mcmahon
vincennes	винценнес	vincennes
vincent	винцент	vincent
vinpearl	винпеарл	vinepeal
viqr	викр	viqr
virginia	виргиниа	(proper noun) virginia, as in the state
virus	вирус	virus
virút	вирус	virus
vissarionovich	виссарионовицх	vissarionovich
vista	виста	vista, as in windows vista
vitamin	витамин	vitamin
vitruvius	витрувиус	vitruvius
viz	виз	(proper noun) viz
viêm	упала	inflammation
viên	таблете	member
viêng	вианг	vientiane
viêt	писање	vietnam
viếng	посета	visit
viết	писати	write
việc	посао	thing
viện	институт	institute
việt	вијетнам	viet
việtmường	вијетнамски муонг	muong
việtnga	вијенга	vietnam-russia
việttrung	виеттрунг	vietnam-china
vn	вн	vietnam
vnexpress	внекпресс	(proper noun) vnexpress
vni	вни	vni
vo	во	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	слонови	elephant
voip	воип	voip
voldemort	волдеморт	(proper noun) voldemort, the villain from the harry potter series
von	вон	compare
vonfram	волфрам	wolfram
vong	жртава	injured
voyager	воиагер	voyager
voọc	лангурс	a langur (n.)
vtc	втц	vtc
vu	ву	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	краљу	king
vui	забавно	happy
vulcan	вулкан	vulcan
vuông	квадрат	square
vuốt	канџа	stroke
vv	итд.	etc.
vy	ви	vy
vyacheslav	виацхеслав	vyacheslav
và	и	and
vài	неколико	several
vàm	вм	the mouth of a rivulet (n.)
vàng	жута	gold
vành	рим	coronary
vào	инто тхе	into
vá	закрпа	patchy
vác	ношење	to shoulder (v.)
vách	зид	wall
vái	да	some
ván	даска	game
váng	олош	film
váy	хаљина	skirt
vân	ускоро	"(term should be ""vân vân"") et cetera"
vây	пераја	encircle
vã	пожурило	rush
vãi	срање	to release
vãn	ван	save
vè	пишкити	to glance slyly (v.)
vé	улазница	ticket
vét	багер	plunder
vê	о томе	tremolo
vì	јер	because
ví	новчаник	example
vía	новчаник	soul
vít	вијак	screw
vò	згужван	jar
vòi	црево	tap
vòm	кров	upper jaw
vòng	прстен	around
vó	хоооо	hooves
vóc	величина	"(should be ""vóc sương"") dew-like or delicate"
vô	не	"(term should be ""vô số"") countless (adj.)"
vôi	креч	limestone
võ	борилачки	martial arts (n.)
võng	висећа мрежа	hammock
vùi	сахрањен	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	регион	region
vú	дојке	breast (n.)
vút	соаринг	"entire term should be ""cong vut""; extreme curling"
văn	литература	culture
văng	спласх	a name
vĩ	сјајно	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	трајно	ving
vũ	ву	armed
vũng	локва	vung
vơ	беспомоћан	lost
vơi	са	ullage
vưu	вуу	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	досег	reach
vương	краљу	kingdom
vướng	заплетен	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	башта	garden
vượn	мајмуни	gibbon
vượt	пролаз	to overcome
vạ	тако	unfortunate problem
vạc	котао	cauldron
vạch	бар	bar
vại	јар	jar
vạn	десет хиљада	thousand
vạng	сумрак	twilight
vả	шипак	hard
vải	тканина	fabric
vảy	ваге	scale
vấn	савет	vấn đề= problem
vấp	спотаћи	stumble
vất	одбацити	hard
vần	рима	spell
vầng	хало	moon (vang trang)
vẩn	још увек	wander
vẩy	пахуљице	scale
vẫn	још увек	still
vẫy	машући	wave
vận	богатство	active
vắc	вакцина	vaccine
vắcxin	вакцина	vaccine
vắn	кратак	short
vắng	одсутна	absent
vặn	вијак	to twist (v.)
vặt	цлассифиедс	odd
vẹn	интегритет	complete
vẹt	папагаји	parrots
vẽ	сликање	draw
vết	закрпа	wound
vểnh	пертле	warping
vệ	одбрана	"(term should be ""bảo vệ"") to defend (v.)"
vệt	пруге	streak
vỉa	шавови	"(term should be ""vỉa hè"") sidewalk"
vịnh	баи	bay
vịt	патка	duck
vọng	надати се	"(term should be ""hy vọng"") hope (n.)"
vọt	скироцкет	to spurt out (v.)
vỏ	лавеж	shell
vồ	маул	"(term should be ""gạch vồ"") a type of brick"
vỗ	мазити	to clap
vội	пожури	hurriedly (adv.)
vớ	чарапе	"(term should be ""vớ vẩn"") silly (adj.)"
với	са	to
vớt	риба	salvage
vờ	претварати се	"(term should be ""giả vờ"") to pretend (v.)"
vời	сјајно	wonderful
vở	свеска	"(term should be ""vở kịch"") a play"
vỡ	сломљен	break
vợ	жена	wife
vụn	чипс	debris
vụng	неспретан	covert
vứt	одбацити	throw away
vừa	стане	just (adv.)
vừng	сусам	sesame (n.)
vững	фирма	firm (adj.)
vực	поље	place
vựng	вокабулар	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	тако	majestic
w	в	w
wa	ва	wa
walt	валт	(proper noun) walt, as in walt disney
walter	валтер	walter
walther	валтхер	walther
wan	ван	wan
wang	ванг	wang
wankel	ванкел	(proper noun) wankel
wanna	желим	wanna
warren	варрен	a name
warsaw	варсав	warsaw
warszawa	варсзава	(proper noun) warsaw
washington	васхтон	(proper noun) washington
wat	ват	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	ватергате	watergate
waterloo	ватерлоо	(proper noun) waterloo
waters	воде	waters
wayne	ваине	wayne
wcdma	вцдма	w-cdma
weasley	веаслеи	weasley, as in ron weasley in the harry potter series
weblog	веблог	weblog
webmail	вебмаил	ưebmail
weimar	веимар	(proper noun) weimar
wellington	веллингтон	wellington
wells	бунара	wells, as in author orson wells
welsh	вел	(proper noun) welsh, as in the welsh language
wembley	вемблеи	wembley, as in wembley stadium
werner	вернер	werner
westermarck	вестермарцк	westermarck
western	западни	western
westlife	вестлифе	westlife
westview	вествиев	westview, as in westview press
wheeler	вхеелер	a name
widener	шири	widener
wien	виен	wien
wiener	виенер	wiener
wifi	ви-фи	wi-fi, a technology term
wiki	вики	wiki
wikia	викиа	a name
wikibooks	викибоокс	(proper noun) wikibooks
wikimapia	викимапиа	wikimapia
wikimedia	викимедиа	wikimedia
wikitravel	викитравел	a name
wild	дивљи	wild
wilder	дивљи	(proper noun) wilder, as in billy wilder
wiley	вилеи	wiley
willard	виллард	willard
wimbledon	вимбледон	wimbledon
windows	прозори	windows
winer	винер	winer
wisconsin	висцонсин	(proper noun) wisconsin
within	у склопу	within
without	без	without
wolfgang	волфганг	wolfgang
won	победио	won
wong	вонг	wong
woodrow	воодров	woodrow
woods	шуме	(proper noun) woods, as in tiger woods
would	би	would
wrestling	рвање	wrestling
wright	вригхт	a name
wu	ву	wu
wushu	вусху	wushu, a type of martial art
wwf	ввф	wwf
xa	далеко	ancient
xang	канг	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	плави	green
xao	разбарушен	xôn xao = chatting
xay	млевење	grind
xe	ауто	a car (n.)
xem	види	watch
xen	кен	to insert (v.)
xhcn	кхцн	social republic
xi	ки	xi
xiii	киии	eighth
xin	молимо вас	please
xinh	лепа	beautiful
xiv	кив	fourteenth
xiêm	сијамски	(proper noun) xiêm, or siam
xiên	нагнут	oblique
xiêu	киао	soften
xiếc	циркус	circus
xiết	затегнути	to twist tightly (v.)
xiềng	окови	chain
xo	ко	spring
xoa	трљати	massage
xoay	ред	turn
xong	остварено	completed
xoàng	просечан	mediocre
xoá	избриши	delete
xoáy	едди	vortex
xoắn	уплетена	coiled
xu	новчић	trend
xua	одагнати	dispel
xuan	куан	"(term should be ""xuân"") a common vietnamese middle or first name; means ""the season of spring"""
xui	несретан	incite
xuka	кука	xuka
xum	раскошан	a name
xuyên	пиерцинг	frequently
xuyến	наруквице	manage
xuân	пролеће	spring
xuâncông	пролеће	xuan public
xuôi	пометао	down
xuất	извоз	ejaculate
xuấtnhập	екпорт-импорт	import/export
xuống	доле	down
xuồng	кану	boat
xv	кв	fifteenth
xvi	кви	xvi
xvii	квии	xvii
xx	кк	xx
xy	ки	cylinder
xài	трошити	use
xào	пржити	stir fry
xách	торба	to carry by the handle (v.)
xám	греи	ustox
xán	печено	"(term should be ""xán lạn"") bright (adj.)"
xáo	узнемиреност	chaos
xát	трљање	touch
xâm	тетовиран	invasion
xâu	низ	string
xây	градити	build
xã	комуна	society
xãy	препирка	occur
xèo	кео	xeo
xé	суза	tear
xén	обрезивање	"(term should be ""biếu xén"") to gift (v.)"
xéo	бочно	diagonally (adv.)
xét	размотрити	examine
xê	потез	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	сунео	xeko
xì	прднути	scandal
xìu	прднути	to become flaccid (v.)
xí	фабрика	factory (xi nghiep)
xít	фасцинантан	nazi
xíu	сићушан	small
xòe	ширење	spread
xóa	избрисати	clear
xói	ерозија	erode
xóm	комшије	village
xót	милост	mercy
xô	гурнути	soviet
xôi	лепљиви пиринач	pierce
xôn	комешање	tumultuous
xông	пожурило	rush
xôphần	секција кашике	soviet-poland
xôviết	совјетски савез	soviet
xù	разбарушен	gigantic
xú	непристојан	xu
xúc	контакт	touch
xúi	индуцирати	induce
xăm	тетоважа	"(term should be ""xa xăm"") far away (adj.)"
xăng	бензин	gasoline
xơ	влакно	xo
xưa	стари	old
xưng	признати	"(should be ""tự xưng"") self-proclaimed"
xương	кост	bone (n.)
xước	изгребани	scratch
xướng	припев	provoke
xưởng	радионица	workshop
xạ	зрачење	"(term should be ""phản xạ"") to reflect"
xả	пражњење	release
xảo	лукав	detailed
xảy	догодити	happen
xấp	цца	approximate
xấu	лоше	bad
xẩm	схагги	a type of traditional vietnamese singing
xẩy	догодити	occur
xắt	коцке	cut
xẻo	несретан	cut off
xếp	пресавијени	rank
xỉ	шљака	approximately
