$	$ $	dollars
مراجع	referencias	references
مراجعة	revisar	review
مراحل	etapas	levels
مراد	murad	morad
مراعاة	considerado	observance
مراقب	observador	supervisor
مراقبة	monitor	supervising
مراكز	centros	centers
مراكش	marrakech	marrakesh
مربع	square	square
مرة	una vez	time
مرت	pasado	passed
مرتبة	arreglado	rank
مرتبطة	vinculado	associated with
مرتفع	alta	large
مرتفعات	alturas	heights
مرتفعة	alta	high
مرتين	dos veces	twice
مرحلة	etapa	period
مرسوم	decreto	decree
مرصد	observatorio	observatory
مرض	enfermedad	disease
مرضى	enfermo	the patients
مرقس	marca	marqas
مركب	compuesto	boat
مركبات	vehículos	vehicles
مركبة	vehículo	tangled
مركز	centro	center
مركزا	centro	center
مركزاً	centro	a center
مركزية	centralizacion	central
مركزًا	centrado	a center
مرمرة	mármara	marmara
مروان	marwan	marwan (name)
مرور	paso	prescription
مريم	maría	mary
مزارع	granjero	plantings
مزايا	ventajas	advantages
مزيج	mezcla	mix
مزيد	más	more
مسألة	la materia	case
مسؤول	responsable	a responsible man
مسؤولة	responsable	responsible
مسؤولية	responsabilidad	responsibility
مساء	tarde	after-noon
مسائل	asuntos	topics
مسابقات	concursos	competitions
مسابقة	competencia	competition
مساجد	mezquitas	mosques
مساحة	espacio	size
مساحتها	su area	its area
مسار	camino	route
مساعد	asistente	assistant
مساعدة	ayuda	helping
مسافة	distancia	distance
مساندة	apoyo	support
مساهمة	contribución	input
مستخدم	usuario	user
مستخدمي	los usuarios	users of
مستشفى	hospital	hospital
مستعمرات	colonias	colonies
مستعمرة	colonia	colony
مستقبل	futuro	future
مستقرة	estable	quiet
مستقل	independiente	separated
مستقلة	independiente	independent
مستمر	continua	continuous
مستمرة	continuando	continuing
مستوطنة	liquidación	settlement
مستوى	nivel	level
مستويات	niveles	levels
مسجد	mezquita	mosque
مسح	claro	remove
مسرح	teatro	theater
مسرحية	una obra de teatro	play
مسعود	masoud	masoud
مسقط	muscat	place of birth
مسلسل	serie	a series
مسلسلات	serie	series
مسلم	musulmán	muslim
مسلمة	postulado	muslim
مسلمون	musulmanes	muslims
مسلمين	musulmanes	muslims
مسمى	nombrado	name
مسند	reposapiés	masnad
مسيحية	cristiano	christianity
مسيرة	marzo	march
مسيرته	su carrera	career
مشابه	es similar	similar to
مشابهة	similar	similar
مشاة	infantería	infantry
مشاركة	compartir	participation
مشاريع	proyectos	projects
مشاعر	sentimientos	feelings
مشاعل	bengalas	mechael
مشاكل	problemas	problems
مشاهد	escenas	scenes
مشاهدة	mirar	watching
مشاهير	celebridades	celebrities
مشترك	compartido	common
مشتركة	compartido	share
مشتقة	derivada	extracted
مشروع	proyecto	project
مشعل	meshal	mashaal
مشكلة	problema	problem
مشهد	paisaje	footage
مشهور	famoso	famous
مشهورة	famosa	famous
مشيخة	ella es vieja	mashyakha
مصادر	fuentes	sources
مصانع	fábricas	plants
مصحف	corán	qur'an
مصدر	fuente	source
مصر	egipto	egypt
مصرف	banco	bank
مصري	egipcio	egyptian
مصريات	mujeres egipcias	egyptology
مصرية	egipcio	egyptian
مصريون	egipcios	egyptian
مصطفى	mustafa	mostafa
مصطلح	plazo	term
مصطلحات	términos	expressions
مصلحة	interés	department
مصنع	la fábrica	factory
مصنوع	hecho	made of
مصنوعة	se hacen	made
مصير	destino	destiny
مضادة	contador	anti
مضخم	amplificador	buffer
مضى	siguió	passed
مضيق	estrecho	narrow
مطابقة	a juego	identical
مطار	aeropuerto	airport
مطارات	aeropuertos	airports
مطالب	demandas	requirements
مطر	lluvia	raining
مطرب	cantante	singer
مطلة	con vista	overlooking
مطلع	familiarizado con	the beginning
مطلقة	divorciada	complete, (divorced)
مظاهر	apariencias	manifestations of
مظاهرات	manifestaciones	demonstration
مظهر	apariencia	the look
مع	con	with
معا	juntos	together
معاداة	hostilidad	enmity
معارض	muestra	opposer
معارضة	oposición	opposition
معارك	peleas	battles
معالجة	procesamiento	treatmant
معالم	hitos	landmarks
معامل	coeficiente	factories
معاملة	tratamiento	treatment
معاني	significados	connotations
معاهدة	tratado	treaty
معاوية	sid	muawiya
معايير	normas	standards
معاً	juntos	together
معبد	templo	temple
معتدل	moderado	moderate
معتدلة	moderado	moderate
معترف	reconocido	acknowledged
معجزة	un milagro	miracle
معد	contagioso	muad (name)
معدات	equipo	equipments
معدة	estómago	stomache
معدل	tasa	average
معدلات	tarifas	rates
معدنية	metal	mineral
معرفة	sabiendo	knowledge
معركة	una batalla	battle
معروف	es conocido	known
معروفة	conocido	known
معسكر	campamento	camp
معسكرات	campamentos de arranque	camps
معظم	la mayoría	most
معظمها	mayormente	most of them
معظمهم	la mayoría de ellos	most of them
معقد	complejo	complex
معقدة	complicado	complicated
معلومات	informacion	information
معمر	muamar	muammar
معناه	su significado	its meaning
معناها	su significado	meaning
معنى	significado	a meaning
معه	con el	with him
معهد	instituto	institute
معهم	con ellos	with them
معينة	cierto	specific
معًا	juntos	together
مغادرة	dejando	leave
مغامرات	aventuras	adventures
مغربي	marroquí	morracan
مغناطيسي	magnético	magnetic
مغناطيسية	magnético	magnetic
مفاعل	reactor	reactor
مفاهيم	conceptos	understandings
مفاوضات	negociaciones	negotiations
مفتاح	clave	key
مفتوحة	abierto	open
مفتي	mufti	mufti
مفصلة	detallado	detailed
مفهوم	entendido	concept
مفيدة	servicial	useful
مقابر	cementerios	tombs
مقابل	versus	versus
مقابلة	entrevista	meeting
مقاتل	un luchador	warrior
مقارنة	comparar	comparing
مقاطعات	distritos	districts
مقاطعة	condado	county
مقاعد	asientos	seats
مقال	un articulo	article
مقالات	artículos	articles
مقالة	un articulo	article
مقام	estacion	tomb
مقاومة	resistencia	resistance
مقبرة	cementerio	cemetary
مقبولة	aceptable	acceptable
مقتل	asesinado	assault
مقتله	lo mató	his death
مقدار	cantidad	amount
مقدسة	sagrado	divine
مقدم	presentador	presented
مقدمة	introduccion	front
مقدونيا	macedonia	macedonia
مقديشيو	mogadiscio	mogadishu
مقر	cuartel general	residence
مقرا	cuartel general	residence
مقرها	basada	its place
مقسمة	dividido	split
مقياس	escala	criterion
مكاتب	oficinas	offices
مكافحة	contador	counter
مكان	lugar	place
مكانة	de pie	position
مكانته	su estatura	position
مكانه	su lugar	his place
مكانها	su lugar	it's location
مكة	la meca	mecca
مكتب	oficina	office
مكتبة	biblioteca	library
مكتوب	escrito	written
مكتوبة	estan escritos	follow
مكتوم	amortiguado	hidden
مكنسة	una escoba	broom
مكون	componente	composed
مكونات	componentes	components
مكونة	hecho	formed
ملاحظات	notas	notes
ملاحظة	nota	noticing
ملاك	ángel	owners
ملامح	caracteristicas	appearances
ملايين	millones	millions
ملجأ	refugio	shelter
ملحوظ	marcado	notice / notable / marked
ملحوظة	nota	note
ملعب	parque infantil	field
ملعقة	cuchara	spoon
ملف	archivo	file
ملفات	archivos	files
ملك	un rey	king
ملكة	reina	queen
ملكي	la mia	royal
ملكية	propiedad	property
ملكًا	rey	king
ملوك	reyes	kings
مليار	mil millones	billion
مليون	millones	million
مما	de que	so
مماثل	similar	similar
مماثلة	similar	similer
ممارسة	practica	practicing
ممالك	reinos	kingdoms
مماليك	mamelucos	mamluks
ممثل	actor	the representative
ممثلة	actriz	represented
ممرض	enfermera	nurse
ممكن	posible	possible
ممكنة	posible	possible
مملكة	reino	kingdom
ممن	de quien	from
مميزات	caracteristicas	destictive features
مميزة	distintivo	unique
من	de	from
منا	de nosotros	from us
مناخ	clima	atmosphere
منارة	faro	highlight
منازل	casas	houses
مناسب	conveniente	convenient
مناسبة	conveniente	occasion
مناصب	posiciones	positions
مناطق	regiones	regions
مناف	manaf	munaf : muslim boy name
منافسة	competencia	rivalry
مناقشة	discusión	discussion
مناهج	currículum	curricula
منتج	productor	producer
منتجات	productos	products
منتخب	equipo nacional	national team
منتشرة	extendido	spread
منتصف	mediados	in the mid of
منتظم	regular	regular
منتظمة	regular	consistent
منح	concedido	giving
منحت	concedido	given
منخفض	bajo	low
منخفضة	bajo	low
منذ	desde	since
منزل	hogar	home
منزلة	estado	descend
منزله	su casa	his house
منصب	posición	position
منصبه	oficina	his position
منصور	mansour	mansur (name)
منطقة	area	region
منظمات	organizaciones	organizations
منظور	perspectiva	manzour
منع	prevenir	prohibiting
منعت	prevenido	prevented
منغوليا	mongolia	mangolia
منها	de ellos	from it
منهج	enfoque	method
منهم	de ellos	from them
منهما	de ellos	of the two
منى	mona	mina
مني	de mi	from me
منيرة	munira	muneera(name)
مهاجمة	atacando	attaching
مهارات	las habilidades	skills
مهام	tareas	responsibility
مهد	cuna	cradle
مهدي	mahdi	mahdi
مهرجان	festival	festival
مهم	importante	important
مهما	lo que sea	important
مهمة	importante	important
مهمًا	importante	even
مهنة	carrera	a job
مهندس	ingeniero	engineer
مواجهة	cara	confrontation
مواد	material	materials
موارد	recursos	resources
مواضيع	temas	topics
مواطن	ciudadano	citizen
مواطني	mis compatriotas	the inhabitances
موافقة	esta bien	approval
مواقع	sitios	sites
مواقف	posiciones	situations
مواليد	baby boomers	born
موانئ	puertos	ports
موت	muerte	death
موته	su muerte	his death
موجات	olas	wages
موجة	ola	wave
موجودة	existe	presented
موحد	uniforme	unitarian
موحدة	uniforme	united
مورد	recurso	case
موريتانيا	mauritania	mauritania
موسكو	moscú	moscow
موسم	temporada	season
موسوعة	enciclopedia	encyclopedia
موسوليني	mussolini	mussolini
موسى	moisés	moses
موسيقى	musica	music
موسيقية	musical	musical
موضع	posición	position
موضوع	asunto	topic
موضي	moudy	moudhi
موطن	inicio	civilian
موعد	fecha	date
موقع	sitio	website
موقعة	firmado	signed
موقعه	su ubicacion	position
موقعها	su ubicacion	its sight
موقف	posición	situation
موقفه	su posición	his situation
مول	centro comercial	mall
مولاي	moulay	your highness
مولده	su nacimiento	born
موليبدنوم	molibdeno	moulibdnom
مونتانا	montana	montana
مونكو	monco	monko
مياه	agua	water
ميت	esta muerto	dead
ميثاق	chárter	charter
ميثيونين	metionina	memethionine
ميخائيل	michael	mikhail
ميدان	campo	field
ميزانية	presupuesto	budget
ميزة	ventaja	feature
ميسي	messi	lionel messi
ميكانيكا	mecánica	mechanics
ميل	millas	tendency
ميلاد	nacimiento	born
ميلان	milán	milan
ميلانو	milán	milan
ميلودراما	melodrama	melodrama
ميناء	puerto	port
ميونيخ	munich	munich
مَا	que	not
مَنْ	quien	who
مِن	de	from
مِنْ	de	of
ن	n	n
نائب	diputado	subordinate
ناب	canino	bicuspid
نابلس	nablus	nablus
نابليون	napoleón	napoleon
ناتج	salida	output
ناجحة	exitoso	sucessful
ناحية	mano	way
نادرة	raro	rare
نادى	llamar	called
نادي	club	club
نار	fuego	fire
ناسا	nasa	nasa
ناصر	nasser	nasser
ناطقة	hablando	speaker
نال	el consiguió	receive
نالت	ella tiene	got
نانسي	nancy	nances
نايف	naif	nayef
نبات	planta	plant
نباتات	plantas	plants
نبتون	neptuno	neptune
نبذة	acerca de	a notice
نبي	un profeta	prophet
نبيل	noble	nabil
نت	neto	net
نتائج	resultados	results
نتاج	producto	result
نتج	resultante	resulted
نتيجة	resultado	as a result
نجاح	el éxito	success
نجاحاً	un exito	success
نجاد	ahmadinejad	negad
نجح	tuvo éxito	success
نجحت	tuve éxito	win
نجد	nos encontramos	we find
نجران	najran	nagran
نجم	estrella	star
نجمة	estrella	star
نجوم	estrellas	stars
نجيب	najeeb	naguib
نحن	nosotros somos	we are
نحو	hacia	towards
نذكر	mencionamos	mention
نرى	ver	see
نزار	nizar	nazzar
نزل	bajó	dropped
نزلت	me baje	arrived at
نزول	bajando	conveying
نساء	mujeres	women
نسب	linaje	parentage
نسبة	ratio	related to
نسبته	su relación	rate
نسبه	tasa	relation
نسبيا	relativamente	relatively
نسبياً	relativamente	relatively
نسبيًا	relativamente	relatively
نستطيع	podemos	we can
نسخ	copia	naskh
نسخة	copia	copy
نسل	descendencia	generation
نسمة	personas	person
نشأ	crecí	arise
نشأة	génesis	growth
نشأت	originado	grown up
نشأته	yo creci	his grouth
نشأتها	se originó	its emerging
نشاط	actividad	activity
نشاطات	actividades	activities
نشبت	rompió	warm up
نشر	publicado	spread
نشرت	publicado	published
نشرها	lo publiqué	spread
نشط	activo	worked
نشطة	activo	active
نشوء	evolución	emergence
نشوب	brote	out break of
نص	texto	text
نصب	pitching	nominate
نصر	victoria	victory
نصف	medio	half
نصوص	textos	texts
نصيب	compartir	share
نصير	partidario	champion
نطاق	dominio	domain
نظام	sistema	system
نظر	mira	in the eyes
نظرا	dado	inasmuch
نظراً	dado	because
نظرة	mira	looking
نظريات	teorías	theories
نظرية	teoría	theory
نظريته	su teoría	his theory
نظرًا	porque	regarding
نظم	sistemas	systems
نظير	par	an instance
نعرف	nosotros sabemos	know
نعيم	naeem	na'eem
نفر	apagar	one
نفس	lo mismo	same
نفسه	el mismo	same
نفسها	sí mismo	itself
نفسي	yo mismo	emotional
نفسية	psicologico	psychological
نفط	aceite	petrol
نفوذه	su influencia	his influence
نفوذها	su influencia	influence
نفوس	almas	psyches
نفي	desterrado	denial
نقاط	izquierda	points
نقد	critica	critique
نقص	escasez	critique
نقطة	punto	point
نقل	mover	transmitting
نقله	moverlo	his moving
نقول	decimos	we say
نماذج	modelos	examples
نمت	crecido	grew
نمر	un tigre	nemir
نمط	patrón	style
نمو	crecimiento	development
نموذج	modelo	model
نهائي	final	final
نهائيات	finales	final
نهاية	el final	end
نهج	enfoque	path
نهر	un rio	river
نهضة	renacimiento	renaissance
نهيان	nahyan	nahyan
نواب	diputados	delegates
نواة	núcleo	kernel
نواس	péndulo	abu-nuwas
نوبل	noble	nobel
نوح	noah	noah
نور	nour	noor
نورة	noura	nora
نوستراداموس	nostradamus	nostradamus
نوع	amable	kind
نوعا	algun tipo	kind
نوعان	dos tipos	two types
نوعه	su tipo	its kind
نوعها	su tipo	its kind
نوعية	calidad	the type of
نوعين	dos tipos	two kinds
نوفمبر	noviembre	november
نووي	nuclear	nuclear
نووية	nuclear	nuclear
نيتشه	nietzsche	nietzsche
نيجيريا	nigeria	nigeria
نيوتن	newton	newton
نيوزيلندا	nueva zelanda	new zealand
نيويورك	nueva york	new york
هؤلاء	estos	them
هائل	tremendo	great
هائلة	tremendo	huge
هاتين	estos dos	these
هاجر	hajar	migrated
هاجروا	ellos emigraron	migrated
هاجم	atacado	attacked
هاجمت	atacado	attacked
هارفارد	harvard	harvard
هارون	aaron	haroon
هاري	harry	harry
هاشم	hashem	hashem
هام	importante	important
هاما	importante	important
هاماً	importante	important
هامة	importante	important
هاواي	hawai	hawaii
هايدا	haida	hida
هتلر	hitler	hitler
هجرة	desagüe	emigration
هجمات	los ataques	attacks
هجوم	atacar	attack
هدف	gol	aim
هدفه	su objetivo	his goal
هدم	demolido	demolition
هدنة	armisticio	cease-fire
هدى	hoda	houda
هذا	este	this
هذان	estos dos	these
هذة	este	this
هذه	este	this
هذين	estos dos	these
هرب	escapó	escape
هرقل	hércules	hercules
هرقليطس	heráclito	herletes
هرم	una pirámide	pyramid
هريرة	gatito	harira
هزم	derrotado	defeat
هزيمة	derrota	defeat
هشام	hisham	hisham
هضبة	meseta	hill
هطول	precipitación	raining
هـ	e	hegire
هـم	hm	bc
هكتور	hector	hekwer
هكذا	como este	and like this
هل	es	do
هلال	hilal	cresent
هم	ellos son	them
هما	ellos son	are
هنا	aqui	here
هناك	por allá	over there
هنالك	hay	over there
هند	india	hend
هندسة	ingenieria	engineering
هنري	henry	henry
هو	el	him
هواء	aire	air
هوراس	horacio	horass
هولاكو	hulagu	hulagu khan
هولندا	holanda	netherlands
هوية	identidad	identity
هي	ella	is
هيئة	cuerpo	organization
هيا	vamos	haya
هياكل	estructuras	frame
هيدروجين	hidrógeno	hydrogen
هيفاء	haifa	haifa
هيكل	estructura	structure
هيلين	helen	helene
هيم	dobladillo	heme
هينايانا	hinayana	hinaiana
هُوَ	el	it is
و	y	and
وآخر	y otro	other
وآخرون	y otros	and others
وآسيا	y asia	and asia
وآله	y su familia	his family
وأبرز	más destacado	and the most obvious
وأبرزها	más notable	and the most obvious
وأبو	y abu	and sphinx
وأبي	y mi papa	and abi
وأتباعه	y sus seguidores	and his followers
وأثناء	y durante	during
وأجزاء	y partes	and parts
وأجهزة	y servo	and devices
وأحد	y uno	and a
وأحمد	y ahmed	and ahmed
وأحيانا	y a veces	and sometimes
وأخذ	y tomó	took
وأخذت	y ella tomó	it begins to
وأخرى	y otro	and others
وأخيرا	y finalmente	and finally
وأخيراً	finalmente	finally
وأخيرًا	y finalmente	finally
وأدت	y llevado	caused
وأدى	y llevado	led to
وأذربيجان	y azerbaiyán	and abidjan
وأربعين	y cuarenta	and forty
وأرسل	el envió	and he sent
وأساليب	y métodos	and methods
وأسباب	y razones	causes
وأستراليا	y australia	australia
وأسس	y fundaciones	founded
وأشار	señalado	and pointed
وأشهر	el mas famoso	and the more famous
وأصبح	y se convirtió	and becomes
وأصبحت	y me convertí	and became
وأصحاب	y propietarios	owners
وأصحابه	y sus compañeros	and his friends
وأضاف	añadió	and added
وأطلق	fue despedido	given
وأعضاء	y miembros	and members
وأعلن	anunció	and declared
وأعلنت	fue anunciado	announced
وأغلب	y la mayoría	and most
وأفريقيا	y áfrica	and africa
وأفغانستان	y afganistán	afganistan
وأقاليم	y territorios	regions
وأقام	se quedo	established
وأقدم	y mayores	and oldest
وأقل	y menos	and less
وأكبر	y más grande	greater
وأكثر	y mas	and more
وأكثرها	y la mayoría de ellos	and the most of them
وأكد	confirmado	and confirmed
وألمانيا	y alemania	germany
وأما	y en cuanto a	and either
وأمر	ordenó	and ordered
وأمريكا	y america	america
وأمه	y su madre	and his mother
وأن	y eso	and to
وأنا	y yo	and i
وأنشأ	y establecido	established
وأنه	y es	and that
وأنها	y ella	and it is
وأنواع	y tipos	and types
وأهل	y la gente	and the people
وأهم	y lo más importante	and most important
وأهمها	lo mas importante	and most important
وأوائل	y temprano	early
وأوروبا	y europa	europe
وأول	y el primero	and first
وأي	y cualquier	and which
وأيضا	y tambien	and also
وأيضاً	y tambien	and also
وأيضًا	y tambien	and also
وإدارة	y gestión	management
وإذا	y si	and if
وإسبانيا	y españa	and spain
وإسرائيل	e israel	israel
وإعادة	y re	rebuild
وإعلان	y un anuncio	and declaring
وإقامة	y establecer	and establishing
وإلا	de lo contrario	unless
وإلى	y a	to
وإن	aunque	and that
وإنتاج	y producción	and producing
وإنشاء	y crear	and writing
وإنما	sino más bien	however
وإيران	e irán	and iran
وإيطاليا	e italia	and italy
وائل	wael	wael
وابن	e hijo	and the son
وابنه	y su hijo	and hihttp://mturk.jhu.edu/static/images/ar/word/0003757970.pngs son
واجب	deber	duty
واجه	enfrentado	faced
واجهة	interfaz	interface
واجهت	enfrentado	faced
واحد	uno	one
واحدا	uno	one
واحداً	uno	one
واحدة	uno	one of
واحدًا	uno	once
وادي	valle	and led
وارتفاع	y alto	increase
واستخدام	y usar	usage
واستخدم	y usar	utilized
واستطاعت	y ella logró	and was able
واستمر	y continuó	and continued
واستمرت	y continuó	and it continued
واسع	amplia	wide
واسعة	amplia	wide
واسم	y nombre	and name
واسمه	y su nombre	and his name
واشنطن	washington	washington
واصل	sigue así	and continues
واضح	claro	clear
واضحة	claro	clear
واعتبر	fue considerado	considered
وافق	estuvo de acuerdo	agreed
وافقت	estuve de acuerdo	agreed
واقع	realidad	the fact
واقعة	un hecho	placed
والآثار	y efectos	and effects
والآخر	y el otro	and the other
والآداب	y etiqueta	and arts
والآلات	y máquinas	and the machines
والأحزاب	y fiestas	and parties
والأخرى	y el otro	other
والأخلاق	y moralidad	and morals
والأدب	y literatura	literatures
والأراضي	y tierras	lands
والأردن	y jordan	and jordan
والأرض	y la tierra	and land
والأطفال	y niños	and the children
والأعمال	y negocios	works
والأفكار	e ideas	and the ideas
والأكثر	y mas	the most
والأمراء	y los príncipes	and the princes
والأمن	y seguridad	the security
والأمير	y el principe	and the prince
والأميرة	y la princesa	and the princess
والأنصار	y los partidarios	ansar
والأنهار	y ríos	and rivers
والإدارة	y gestión	and administration
والإسلام	y el islam	and islam
والإسلامية	e islámica	islamic
والإعلام	y los medios	and the media
والإمارات	y los emiratos	united arab emirates
والإمام	y el imán	and el-imam
والإمبراطورية	e imperio	and the empire
والإنسان	y humano	and man
والإيمان	y fe	and believing
والاتحاد	y la unión	and the union
والاتصالات	y comunicación	and communications
والاجتماعي	y social	and the social
والاجتماعية	y social	and the social
والاقتصاد	y la economia	and economy
والاقتصادي	y económico	economic
والاقتصادية	y económico	economic
والباحثين	e investigadores	and researchers
والبحر	y el mar	sea
والبحرية	marine	and marine
والبحرين	y bahrein	bahrain
والبعض	y algunos	some
والبنية	y estructura	course
والبيئة	y el medio ambiente	environment
والتاريخ	e historia	history
والتجارة	y el comercio	and commerce
والتحليل	y análisis	and the analysis
والتخلص	y deshacerse	and get rid of
والتدريب	y entrenamiento	and training
والتطور	y la evolución	development
والتطوير	y desarrollo	development
والتعاون	y cooperación	and cooperation
والتعليم	y educación	education
والتقاليد	y tradiciones	traditions
والتكنولوجيا	y la tecnología	technology
والتلفزيون	y televisión	and television
والتنمية	y desarrollo	and developing
والتوزيع	y distribución	and the distribution
والتي	y eso	and that is
والثالث	y el tercero	and third
والثاني	y el segundo	and the second
والثانية	y el segundo	and the second
والثقافة	y cultura	culture
والجامعات	y universidades	and universities
والجدير	y vale la pena	and worth
والجزء	y la parte	and the part
والجزائر	y argelia	and algeria
والجزر	e islas	island
والجماعة	y el grupo	and the group
والجمال	y belleza	and camels
والجنوب	y el sur	and the south
والجنوبية	y sur	and southern
والجيش	y el ejercito	and the army
والحجاز	y hijaz	and hegaz
والحديث	y hablar	modern
والحديد	y hierro	specifically
والحرب	y la guerra	war
والحركة	y movimiento	and the movement
والحروب	y guerras	and the wars
والحرية	y libertad	freedom
والحزب	y fiesta	and the party
والحسن	y bueno	and el hassan
والحسين	y hussein	and el hussein
والحضارة	y civilizacion	and civilization
والحفاظ	y mantener	and maintaining
والحكم	y juicio	rule
والحكومات	y gobiernos	and the governments
والحكومة	y el gobierno	and government
والحياة	y la vida	life
والحيوانات	y animales	animals
والخارجية	y externo	and external
والخاصة	y especial	and the private
والخدمات	y servicios	and the services
والد	padre	father
والدة	madre	mother
والدته	su madre	his mother
والدراسات	y estudios	and studies
والدفاع	y defensa	defence
والدليل	la prueba	and the proof
والده	su padre	his father
والدها	su padre	her father
والدول	y los estados	and countries
والدولة	y el estado	country
والدين	padres	and religion
والدينية	religioso	and religious
والذي	y quien	and which
والذين	y quien	and those who
والرئيس	y el presidente	and the president
والرابع	y el cuarto	and quarter
والرومان	y los romanos	and the romans
والرومانية	y rumano	and the roman
والرياح	y el viento	wind
والرياضيات	y las matematicas	and mathematics
والزبير	y zubair	zubeir
والزراعة	y agricultura	and the agriculture
والزهرة	y la flor	venus
والسادس	y el sexto	sixth
والسبب	y la razon	reason
والسعودية	y arabia saudita	and saudi
والسلام	y paz	and peace
والسنة	y el año	and suna
والسودان	y sudán	sudan
والسويد	suecia	and swedish
والسياسة	y política	and politics
والسياسي	y el politico	and the political
والسياسية	y política	political
والسيطرة	y control	control
والشام	y el levante	and levant
والشرق	y el este	and the east
والشركات	y empresas	and corporates
والشعر	y cabello	and poetry
والشمال	y el norte	and the north
والشيخ	y jeque	and the sheikh
والشيعة	chiítas	shia
والصفات	y atributos	and attributes
والصلاة	y la oración	and prayers
والصناعات	e industrias	and the industries
والصناعة	y la industria	industry
والصين	y china	china
والطاقة	y energía	and energy
والطب	y medicina	and medicine
والطيور	y pájaros	and birds
والعالم	y el mundo	world
والعديد	y muchos mas	and many
والعراق	e irak	iraq
والعرب	y los arabes	and arab
والعربية	y árabe	arabic
والعسكرية	y los militares	and military
والعشرون	veinte	and twenty
والعشرين	veinte	and the twentith
والعطلات	y vacaciones	vacancies
والعلاج	y tratamiento	therapy
والعلاقات	y relaciones	and the relations
والعلم	y la ciencia	flag
والعلماء	y estudiosos	and scientists
والعلمية	y científica	and scientific
والعلوم	y la ciencia	and sciences
والعمارة	y arquitectura	and architecture
والعمل	y trabajo	and work
والعمليات	y operaciones	operations
والعناية	y cuídate	and the care
والغابات	y bosques	forests
والغاز	y gas	and the gas
والغرب	y el oeste	and the west
والغربية	occidental	and the western
والغناء	y cantar	and singing
والفارسية	y persa	and the pertian
والفرات	eufrates	and furat
والفرنسية	y francés	and the french
والفضة	y plata	and silver
والفقه	jurisprudencia	and the jurisprudence
والفلسفة	y filosofia	and philosophy
والفلك	y astronomía	astronomy
والفن	y arte	and arts
والفنون	y las artes	arts
والفيزياء	y física	and physics
والقانون	y la ley	and the law
والقدرة	y habilidad	and the ability
والقرآن	y el corán	and qur'an
والقضاء	y eliminación	elimination
والقمر	y la luna	and the moon
والقوات	y fuerzas	and the forces
والقوانين	y las leyes	and laws
والقوة	y fuerza	and power
والكتاب	y el libro	and the book
والكتابة	y escribe	writing
والكثير	y mucho mas	and many
والكنيسة	y la iglesia	and the church
والكواكب	y planetas	and the planets
والكيمياء	y quimica	and chemistry
واللغات	e idiomas	languages
واللغة	y el lenguaje	and the language
والله	dios	and god
والمؤسسات	e instituciones	institutions
والماء	y agua	water
والمحيط	y el oceano	and the pacific
والمدارس	y escuelas	schools
والمدن	y ciudades	cities
والمدينة	y la ciudad	city
والمرأة	y la mujer	the woman
والمسجد	y la mezquita	and the mosque
والمسيحية	y el cristianismo	the christian
والمسيحيين	y cristianos	the christians
والمعادن	y minerales	the metals
والمعاهد	e institutos	institutes
والمعدات	y equipamiento	equipments
والمعراج	y el espejismo	the ascension
والمعرفة	y conocimiento	the knowledge
والمعروف	conocido	known
والمعروفة	conocido	known
والمغرب	y marruecos	morocco
والمكسيك	y mexico	mexico
والملك	y el rey	king
والمملكة	y el reino	kingdom
والمناخ	y el clima	atmosphere
والمناطق	y regiones	regions
والمنتجات	y productos	products
والمنطق	y la lógica	logic
والمنطقة	y la region	the area
والمواد	y materiales	the materials
والمواصلات	transporte	transportation
والموسيقى	y musica	music
والمياه	y agua	water
والنباتات	y plantas	plants
والنجوم	y las estrellas	and the satrs
والنرويج	noruega	norway
والنساء	y mujeres	and women
والنسيج	y la tela	and fabric
والنقد	y critica	and cash
والنقل	y transporte	transportation
والنمسا	y austria	austria
والنهاية	y el final	the end
والهرسك	y herzegovina	-hersek
والهند	india	and india
والهندسة	e ingenieria	and engineering
والواقع	de hecho	and reality
والولايات	y los estados	and the states
والي	wali	alderman
واليابان	y japón	japan
واليمن	y yemen	yemen
واليهود	y los judios	and jews
واليهودية	y el judaísmo	jewish
واليوم	y hoy	and today
واليونان	grecia	and greek
وان	y eso	and that
وانتشار	y difundir	and expansion
وانتشر	se extendió	and spread
وانتشرت	y extendido	spread
وانتهت	y terminó	and ended
وانتهى	esta terminado	ended
وانخفاض	y soltar	and a decrease
واهتم	y cuidate	and cared
وبأن	y eso	and to
وباء	una pandemia	plague
وباقي	y el resto	other
وباكستان	y pakistán	and pakistan
وبالأخص	en particular	and specifically
وبالإضافة	ademas	and in addition to
وبالتالي	por lo tanto	and thus
وبالتحديد	y específicamente	and precisely
وبالرغم	aunque	despite the
وبالفعل	y de hecho	indeed
وبالمثل	igualmente	and similarly
وبالنسبة	y para	according to
وبحر	y por mar	and sea
وبحسب	de acuerdo a	according to
وبحلول	por	by coming
وبخاصة	especialmente	esspeically
وبدأ	el empezo	started
وبدأت	empezó	started
وبذلك	por eso	and with this
وبريطانيا	y gran bretaña	and britain
وبسبب	y por	and because
وبشكل	y en cierto modo	and in a form
وبصفة	y en cierto modo	characteristic
وبعد	y aun	and after
وبعدها	y luego	and then
وبعض	y algunos	some
وبعضها	algunos son	and some of it
وبعضهم	y algunos de ellos	and some of them
وبقي	se quedo	and remained
وبقية	y el resto	and the rest of
وبقيت	me quedé	and remained
وبلاد	y el pais	and countries
وبلغ	y golpear	reached
