$	dollarni tashkil etadi	(dollar sign)
province	viloyati	province
provinces	viloyatlar	provinces
provinciales	viloyat	provincial
provisoire	vaqtinchalik	provisional
provoquant	qo&#39;zg&#39;atuvchi	causing
provoque	qo&#39;zg&#39;atadi	induce
provoquent	sabab	provoke
provoquer	qo&#39;zg&#39;atmoq	provoke
provoqué	qo&#39;zg&#39;atdi	provoked
proximité	yaqinlik	closeness
proxy	ishonchli vakil	proxy
prudence	ogohlantirish	caution
prusse	prussiya	prussia
près	yaqin	close
préalable	oldingi	prior
préceptes	amrlar	precepts
précieux	qimmatbaho	precious
précipitations	yog&#39;ingarchilik	rainfall
précis	o&#39;ziga xos	precise
précise	aniq	detailed
préciser	belgilang	name
précises	aniq	precise
précision	aniqlik	precision
précisément	aniq	precisely
précoce	ehtiyotkor	early
précurseur	oldingi	precursor
précurseurs	prekursorlar	precursor
précédant	oldingi	preceding
précédemment	ilgari	beforehand
précédent	oldingi	previous
précédente	avvalgi	before (for the version) earlier (for the other 2)
précédentes	oldingi	preceding
précédents	oldingi	earlier
précédé	oldin	preceded
prédilection	moyillik	predilection
prédécesseur	o&#39;tmishdosh	predecessor
prédécesseurs	salaflar	predecessor
préface	muqaddima	preface
préfecture	prefektura	prefecture
préfet	prefekturasi	prefect
préfixes	old qo&#39;shimchalar	prefixes
préfère	afzal	prefers
préfèrent	afzal	prefer
préférant	afzal	preferring
préférence	afzal ko&#39;rish	preference
préféré	afzal	favorite
préférée	sevimli	favorite
préhistoire	tarixdan oldin	prehistory
préliminaire	dastlabki	preliminary
prénom	ism	first name
préoccupations	xavotirlar	concerns
préparation	tayyorlash	preparation
prépare	tayyorla	prepares
préparer	tayyorlash	prepare
prépuce	foreskin	prepuce
prérogatives	ustuvorliklar	preogatives
présence	mavjudligi	presence
présent	hozirgi	present in
présentant	taqdim etilmoqda	with
présentation	taqdimot	presentation
présente	hozirgi	available
présentent	hozirgi	have
présenter	hozirgi	present
présentes	hozirgi	present
présents	hozirgi	present
présenté	hozirgi	presented
présentée	taqdim etdi	shown
présentés	taqdim etdi	presented
préservatif	prezervativ	condom
préservation	saqlash	preservation
préserver	saqlamoq	preserve
préside	raislik qiladi	chairs
présidence	prezidentlik	presidency
président	prezident	president
présidente	prezident	president
présidentiel	prezidentlik	presidential
présidentielle	prezidentlik	presidential
présidentielles	prezidentlik	presidential
présidents	prezidentlar	presidents
présidé	stulli	head
prétend	da&#39;volar	pretends
prétendants	da&#39;vogarlar	suitors
prétexte	bahona	pretext
prévalence	tarqalganlik	prevalence
prévenir	oldini olish	prevent
prévention	oldini olish	prevention
prévert	ogohlantirilgan	prevert
prévoit	rejalari	provides
prévu	rejalashtirilgan	expected
prévue	rejalashtirilgan	planned
prévues	rejalashtirilgan	expected
prévus	rejalashtirilgan	envisaged
prêt	tayyor	ready
prête	tayyor	ready
prêter	qarz bermoq	give
prêtre	ruhoniy	priest
prêtres	ruhoniylar	priests
prêts	tayyor	loans
prône	advokatlar	favors
ps	ps	p.s.
pse	pse	pse
pseudonyme	taxallus	pseudonym
psychanalyse	psixoanaliz	psychoanalysis
psychanalytique	psixoanalitik	psychoanalytic
psychique	ruhiy	psychic
psychologie	psixologiya	psychology
psychologique	psixologik	psychological
psychologiques	psixologik	psychological
psychose	psixoz	psychosis
psychédélique	psixikaviy	psychedelic
ptolémée	ptolemey	ptolemy
pu	mumkin edi	could
publia	nashr etildi	published
public	ommaviy	public
publication	nashr	publication
publications	nashrlar	publications
publicitaire	reklama	advertising
publicitaires	reklama	advertisements
publicité	oshkoralik	advertising
publicités	reklama	advertising
publics	ommaviy	public
publie	nashr qilish	publishes
publier	nashr qilish	to publish
publique	ommaviy	public
publiquement	omma oldida	publicly
publiques	ommaviy	public
publié	nashr etildi	publish
publiée	nashr etildi	published
publiées	nashr etildi	published
publiés	nashr etildi	published
puis	keyin	then
puisque	beri	as
puisquelle	beri	because it
puisquil	u beri	because he
puissance	quvvat	power
puissances	vakolatlari	powers
puissant	kuchli	powerful
puissante	kuchli	powerful
puissants	kuchli	powerful
puisse	mumkin	could
puissent	mumkin	may
pulsions	impulslar	impulses
punk	punk	punk
pur	sof	pure
pure	sof	pure
purement	sof holda	purely
put	qo&#39;yish	could
px	px	px
pyramide	piramida	pyramid
pyramides	piramidalar	pyramides
pyrénées	pirenezlar	pyrenees
pythagore	pifagoralar	pythagoras
pâques	pasxa	easter
pèlerinage	haj	pilgrimage
pèlerins	ziyoratchilar	pilgrims
père	dada	father
pères	otalar	fathers
pèse	tortadi	weigh
péché	shaftoli	sin
péchés	gunohlar	fisheries
pékin	beijing	beijing
pénal	jinoyatchi	penal
péninsule	yarim orol	peninsula
pénis	jinsiy olatni	penis
pénétration	kirish	penetration
pénétrer	kiriting	to break into
périmètre	perimetri	perimeter
période	davri	period
périodes	davrlar	periods
périodique	davriy	periodic
périphérie	atrof-muhit	periphery
périphérique	periferik	peripheral
périphériques	periferik qurilmalar	perimeter
pérou	peru	peru
pétain	peteyn	petain
pétrole	yog &#39;	crude oil
pêche	shaftoli	fishery
pôle	qutb	pole
pôles	qutblar	poles
qatar	qatar	qatar
qu	bu	qu
qua	nima	that had
quai	dock	dock
quais	dastgohlar	banks
qualification	malaka	qualification
qualifie	malakali	qualify
qualifier	malakasini oshirish	qualify
qualifié	malakali	qualified
qualifiée	malakali	qualified
qualifiés	malakali	qualified
qualité	sifati	quality
qualités	fazilatlari	qualifications
quand	qachon	when
quant	qachon	regarding
quantique	kvant	quantum
quantité	miqdori	quantity
quantités	miqdorlar	quantities
quaprès	shundan keyin	only after
quarantaine	karantin	quarantine
quarante	qirq	forty
quart	chorak	quarter
quartier	tumani	neighborhood
quartiers	mahallalar	districts
quarts	chorak	quaters
quasi	deyarli	almost
quasiment	deyarli	almost
quasitotalité	deyarli barchasi	substantially all
quatorze	o&#39;n to&#39;rt	fourteen
quatre	to&#39;rtta	four
quatrième	to&#39;rtinchi	fourth
quatuor	kvartet	quartet
quau	nima	quau
quaucune	hech biri	none
quaux	quaux	than the (in that context)
quavec	faqat bilan	used
que	dan ko&#39;proq	than
queen	malika	(name of a nightclub - from an english word)
queens	malika	queens
quel	nima	what
quelconque	har qanday	any
quelle	nima	that she
quelles	nima	which
quelque	biroz	about
quelquefois	ba&#39;zan	some times
quelques	ozgina	few
quelquesuns	biroz	a few
quelquun	kimdir	someone
quels	nima	what
quen	qachon	only in
quentin	kvantin	quentin
querelle	janjal	quarrel
querelles	janjal	quarrels
quest	qidiruv	quest
question	savol	question
questions	savollar	question
queue	dum	queue
qui	jssv	who
quil	u	quil
quils	ular	quils
quint	kvint	quint
quinzaine	ikki hafta	fifteen or so
quinze	o&#39;n besh	fifteen
quitte	chiqmoq	quits
quittent	qoldiring	leave
quitter	tark etmoq	leave
quitté	chiqmoq	quits
quoi	nima	thing
quoique	garchi	though
quon	biz	that we
quotidien	kunlik	daily
quotidienne	kunlik	daily
quotidiens	kunlik	dailies
quun	bitta	a
quune	biroz	than
quà	bu	than
québec	kvebek	quebec
québécois	kvebek	quebecois
québécoise	kvebek	québécoise
quête	qidiruv	quest
r	r	r
rabat	rabat	flap
race	irqi	race
races	irqlar	races
rachel	rohila	rachel
raciale	irqiy	racial
racine	ildiz	root
racines	ildizlari	roots
racisme	irqchilik	racism
raconte	aytib bering	tell
radar	radar	radar
radical	radikal	radical
radicale	radikal	radical
radicalement	tubdan	radically
radicaux	radikallar	drastic
radio	radio	radio
radios	radiolar	radio
rafael	rafael	(man's name)
rafale	gust	squall
rage	g&#39;azab	rage
raid	reyd	noun raid foray
raison	sabab	reason
raisonnement	fikrlash	reasoning
raisons	sabablari	reasons
ralliement	miting	gathering
ralph	ralf	ralph
ramener	qaytarib olib kel	brings back
rames	eshkaklar	trainsets
rammstein	rammshteyn	rammstein
randy	randy	randy
rang	daraja	rank
rangs	darajalari	ranks
rap	rap	rap
rapide	tez	quick
rapidement	tezda	rapidement
rapides	tez	quick
rapidité	tezlik	speed
rappelant	eslash	reminding
rappeler	qayta qo&#39;ng&#39;iroq qilish	remind
rappelle	eslaylik	reminds
rappeur	rapchi	rapper
rapport	hisobot	report
rapporte	hisobotlar	brings back
rapportent	hisobot	report
rapports	hisobotlar	relationship
rapporté	xabar qildi	reported
rapproche	yaqin	get closer
rapprochement	yarashtirish	reconciliation
rapprocher	birlashtirmoq	closer
rare	kamdan-kam uchraydigan	rare
rarement	kamdan-kam hollarda	rarely
rares	kamdan-kam uchraydigan	rare
rassemble	yig‘moq	gathered
rassemblement	yig&#39;ilish	gathering
rassembler	birlashtirmoq	gather
rattachement	biriktirma	binding
rattachée	biriktirilgan	attached
raw	xom	raw
ray	nur	ray
raymond	raymond	raymond
rayon	ray	range
rayonnement	nurlanish	radiation
rayons	nurlari	rays
rda	rda	asr
re	re	re
reagan	reygan	reagan
real	haqiqiy	real
rebelle	isyonchi	rebel
rebelles	isyonchilar	rebels
recensement	ro&#39;yxatga olish	census
recette	retsept	recipe
recettes	retseptlar	recipes
recevoir	qabul qilmoq	receive
recherche	tadqiqot	search
rechercher	qidirmoq	search
recherches	tadqiqot	research
recherché	tadqiqot	wanted
recommandations	tavsiyalar	recommandations
recommande	tavsiya etiladi	recommends
recommandé	tavsiya etiladi	recommended
reconnaissance	tan olish	recognition
reconnaissant	minnatdor	recognising
reconnaissent	tan	recognize
reconnaît	tan	admits
reconnaître	tan	recognize
reconnu	tan olingan	recognized
reconnue	tan olingan	recognised
reconnues	tan olingan	recognized
reconnus	tan olingan	recognise
reconquête	qaytarib olish	reconquest
reconstitution	qayta qurish	reconstitution
reconstruction	qayta qurish	rebuilding
reconstruit	qayta qurilgan	rebuilt
record	yozib olish	record
records	yozuvlar	records
recours	murojaat qilish	resort
recouvre	panellari	covers
recrutement	yollash	recruitment
rectangle	to&#39;rtburchaklar	rectangle
recueil	yig&#39;ish	collection
recueils	to&#39;plamlar	collections
recul	eslamoq	decline
recyclage	qayta ishlash	recycling
red	qizil	red
redécouverte	qayta kashf qilish	rediscovery
reese	reza	reese
reflet	aks ettirish	reflect
reflète	aks ettiradi	reflect
refroidissement	sovutish	cooling
refuge	boshpana	refuge
refus	rad qilish	refusal
refusant	rad qilish	refusing
refuse	rad qilish	refuses
refusent	rad qilish	refuse
refuser	rad qilish	refuse
refusé	rad qilish	refused
regard	qarang	look
regarde	qaradi	watches
regarder	tomosha	modern
reggae	reggi	reggae
registre	ro&#39;yxatdan o&#39;ting	category
registres	registrlar	records
regroupant	yig&#39;ilish	grouping
regroupe	qayta guruhlash	regroups
regroupement	guruhlash	regrouping
regroupent	birga guruh	together
regroupées	guruhlangan	grouped
regroupés	guruhlangan	grouped
rehaussement	kuchaytirish	raising
reich	reyx	reich
reims	reims	reims
reine	qirolicha	queen
rejet	rad qilish	rejection
rejette	rad qiling	rejects
rejeté	rad qilindi	rejected
rejoignent	qo&#39;shiling	join
rejoindre	qo&#39;shiling	rejoin
rejoint	qo&#39;shildi	joined
relais	o&#39;rni	relay
relance	qayta ishga tushirish	stimulus
relate	aytib bermoq	relates
relatif	nisbiy	relative
relatifs	nisbiy	on
relation	munosabatlar	relation
relations	munosabatlar	relations
relative	nisbiy	relative
relativement	nisbatan	relatively
relatives	nisbiy	relative
relevant	muvofiq	under
relever	oshirish	stand upright again
relevé	bayonot	notes
reliant	ulanmoqda	connecting
relie	ulanadi	links
relief	yengillik	relief
relier	ulanmoq	link
religieuse	diniy	religious
religieuses	diniy	religious
religieux	diniy	religious
religion	din	religion
religions	dinlar	religious
reliques	qoldiqlari	relics
reliée	ulangan	connected
reliées	bog&#39;liq	binded
reliés	bog&#39;liq	linked
relève	tushadi	come under
relèvent	ostiga tushish	within
remarquable	diqqatga sazovor	remarkable
remarquables	diqqatga sazovor	remarkable
remarque	eslatma	notice
remarquer	eslatma	fait remarquer=remarked/noted/pointed out
remarques	mulohazalar	remarks
remarqué	eslatma	noted
rembrandt	rembrandt	rembrandt
remet	qo&#39;llar	returns
remettre	orqaga surib qo&#39;ying	return
remis	yetkazib berildi	handed over
remise	chegirma	discount
remix	remiks	remix
remontant	ko&#39;tarilish	dating
remonte	orqaga kuzatilgan	dates back
remontent	ko&#39;tarilish	go up
remonter	ko&#39;tarilish	pick/put up
remparts	jangovar buyumlar	battlements
remplace	o&#39;rnini bosadi	replaces
remplacement	almashtirish	replacement
remplacer	almashtiring	to replace
remplacé	almashtirildi	replaced
remplacée	almashtirildi	replaced
remplaçant	o&#39;rnini bosuvchi	replacing
remplir	to&#39;ldiring	fulfil
remportant	yutib olish	winning
remporte	yutmoq	wins
remportent	yutmoq	win
remporter	yutmoq	win over
remporté	yutmoq	wins
renaissance	uyg&#39;onish davri	renaissance
renaud	uyg&#39;onish	renaud
rencontre	uchrashmoq	meeting
rencontrent	uchrashmoq	meet
rencontrer	uchrashmoq	meet
rencontres	uchrashdi	meetings
rencontré	uchrashmoq	met
rencontrés	uchrashdi	met
rend	qiladi	makes
rendant	yasash	giving
rendement	yo&#39;l bering	performance
rendent	ko&#39;rsatish	make
rendezvous	uchrashuv	rendezvous
rendre	qaytish	pay
rendu	ko&#39;rsatish	made
rendue	ko&#39;rsatilgan	rendered
rendus	ko&#39;rsatilgan	given
renforce	kuchaytiradi	reinforce
renforcement	kuchaytirish	strengthening
renforcer	mustahkamlash uchun	strengthen
renforcé	mustahkamlangan	strengthened
renforcée	mustahkamlangan	reinforced
rennes	bug&#39;ular	rennes
renom	taniqli	renown
renommée	shon-sharaf	renoun
renonce	odatni tashlamoq	revoke
renoncer	voz kechmoq	give up
renouveau	yangilanish	renewal
renouvelable	qayta tiklanadigan	renewable
renouvelables	qayta tiklanadigan	renewable
renouvellement	yangilanish	renouvellement
renouée	tuguncha	bistort
renseignements	ma `lumot	information
rentre	qaytadi	returns
rentrer	qaytish	collect
rentrée	maktabga qaytish	back to school
renvoie	qaytadi	sends back
renvoyer	qayta yubormoq	return
renvoyé	qaytdi	returned
rené	qaytadan	rein
repas	ovqat	meals
repos	dam oling	rest
reposant	tinch	based
repose	dam oladi	is based
reposent	dam oling	based
repousser	qaytarmoq	discard
reprenant	davom ettirish	embodying
reprend	rezyume	reprises (the song)
reprendre	rezyume; qayta boshlash	resume
reprennent	rezyume; qayta boshlash	resume
repris	qaytarib olingan	retook
reprise	jazolash	recovery
reprises	holatlar	cover
reproche	tanbeh	reproach
reproduction	ko&#39;paytirish	copy
reproduire	ko&#39;paytirmoq	reproduce
représailles	jazolar	reprisals
représentait	vakili	represented
représentant	vakili	representative
représentants	vakillari	representatives
représentation	vakillik	representation
représentations	vakolatxonalari	representations
représente	vakili	represents
représentent	vakili	constitute
représenter	vakili	represent
représenté	vakili	represented
représentée	vakili	represented
représentées	vakili	represented
représentés	vakili	represented
repères	mo‘ljallar	reference
requête	talab	query
requêtes	so&#39;rovlar	complaints
research	tadqiqot	research
respect	hurmat	respect
respecter	hurmat	respect
respectifs	tegishli	respective
respectivement	navbati bilan	respectively
respectives	tegishli	respective
respiratoire	nafas olish	respiratory
responsabilité	javobgarlik	responsibility
responsabilités	majburiyatlar	responsabilities
responsable	javobgar	responsible
responsables	javobgar	responsible
ressemblance	o&#39;xshashlik	resemblance
ressemble	kabi ko&#39;rinadi	looks
ressent	his qilmoq	feel
ressentiment	xafagarchilik	resentment
ressort	bahor	spring
ressource	manba	resource
ressources	manbalar	ressources
resta	qoldi	stayed
restait	turar edi	remain
restant	qolgan	staying, the rest
restaurant	restoran	restaurant
restaurants	restoranlar	restaurants
reste	dam oling	stays
restent	turmoq	remain
rester	turmoq	stay
restera	qoladi	will
restes	qoladi	remains
restreint	cheklangan	restricted
restriction	cheklash	restriction
resté	dam oling	remaining
restée	qoldi	stayed
restés	qoladi	stayed
retard	kechikish	delay
retenu	vazmin	selected
retenue	axloq tuzatish	retaining
retient	ushlab turing	retains
retire	oldi	derives
retirer	olib tashlang	withdraw
retiré	oldi	removed
retour	qaytish	come back
retourne	qaytish	returns
retourner	qaytish	return
retrace	izlari	retrace
retrait	olib qo&#39;yish	revocation
retraite	iste&#39;fo	retirement
retrouve	toping	found
retrouvent	toping	recognize
retrouver	toping	retreive
retrouvé	topildi	discovered
retrouvée	topildi	found again
retrouvés	topildi	discovered
revanche	qasos	revange
revenant	qaytish	revenant
revendications	da’volar	claims
revendique	da’volar	claim
revenir	qaytib kelmoq	come back
revenu	qaytdi	income
revenus	daromad	income
revers	orqada	back
reviennent	qaytib kelmoq	come back
revient	qaytib kelmoq	come back / given back (for the 2nd)
revolution	inqilob	revolution
revue	sharh	review
revues	jurnallar	variegation
rey	rey	rey
reçoit	oladi	receive
reçoivent	olish	receive
reçu	qabul qildi	received
reçue	qabul qildi	believed
reçues	qabul qildi	received
reçut	qabul qildi	received
rfa	rfa	rfa
rfc	rfc	rfc
rh	rh	rh
rhin	reyn	rhine
rhodes	rodos	rhodes
rhéologie	reologiya	rheologie
rhétorique	ritorika	rhetoric
rhône	radio	rhone
ric	ric	ric
richard	richard	richard
richards	boylar	richards
riche	boy	rich
richelieu	richelieu	richelieu
riches	boy	rich
richesse	boylik	riches
richesses	boylik	riches
rideau	parda	curtain
rien	hech narsa	nothing
right	to&#39;g&#39;ri	right
rights	huquqlari	rights
rigueur	qat&#39;iylik	strictness
rihanna	rihanna	rihanna
rimbaud	rimbaud	rimbaud
ring	uzuk	ring
ringo	ringo	ringo starr from the beatles
rio	rio	rio
rire	kulmoq	laughter
risque	xavf	risk
risques	xavflar	risks
rite	marosim	rite
rites	marosimlar	rituals
rituel	marosim	ceremony
rituels	marosimlar	rituals
rival	raqib	rivalling
rivalité	raqobat	rivalry rivalry
rivalités	raqobat	rivalry
rivaux	raqiblar	rivals
rive	bank	bank (of a river)
river	daryo	river
rives	sohillari	shores
rivière	daryo	river
rivières	daryolari	rivers
riz	guruch	rice
rko	rko	rko
rnb	rnb	nrb
rob	talamoq	rob
robe	kiyinish	robe
robert	robert	robert
roberto	roberto	roberto
robespierre	robespierre	robespierre
robin	robin	robin
robot	robot	robot
robots	robotlar	robots
roche	qoya	rock
rocher	qoya	rocher
roches	jinslar	rocks
rock	qoya	rock
rocky	toshloq	rocky
rodrigue	rodrigatsiya	rodrigue
roger	roger	roger
rogue	yaramas	rogue
rohff	rohff	rohff
roi	qirol	king
rois	shohlar	kings
roland	roland	roland
rolandgarros	roland garros	roland-garros
roll	rulon	roll
roma	roma	roma
romain	rim	roman
romaine	rim	roman
romaines	rim	roman
romains	romanlar	romans
roman	roman	roman
romance	romantika	romance
romancier	romanchi	novelist
romanesque	ishqiy	novel
romans	romanlari	novel
romantique	ishqiy	romantic
romantiques	ishqiy	romantic
romantisme	romantizm	romantism
rome	rim	roma
rompt	tanaffuslar	break
romy	romantik	romy
roméo	romeo	romeo
ron	ron	ron
ronald	ronald	ronald
ronaldo	ronaldo	ronaldo
ronde	dumaloq	watch
ronsard	ronsard	ronsard
roosevelt	ruzvelt	roosevelt
rosace	rozet	rosace
rose	pushti	pink
roses	atirgullar	pink
ross	rossiya	ross
rotation	aylanish	rotation
rotor	rotor	rotor
rouen	rouen	rouen
rouge	qizil	red
rouges	qizil	red
roumain	rumin	romanian
roumanie	ruminiya	romania
rousseau	malla	rousseau
route	yo&#39;l	road
routes	yo&#39;llar	roads
routier	yo&#39;l	road
roux	zanjabil	redhead
rowling	janjal	rowling
roy	roy	roy
royal	qirollik	royal
royale	qirollik	royal
royales	qirollik	royal
royaume	qirollik	kingdom
royaumes	qirollar	kingdoms
royaumeuni	birlashgan qirollik	united kingdom
royaux	qirollik	royal
rpr	rpr	rpr
rss	rss	rss
rtl	rtl	rti
rude	qo&#39;pol	rude
rue	ko&#39;cha	street
rues	ko&#39;chalar	streets
rugby	regbi	rugby
ruine	xarob	ruin
ruines	xarobalar	ruins
rules	qoidalari	rules
rumble	shovqin	rumble
rumeur	mish-mish	rumour
rumeurs	mish-mishlar	rumors
rupture	tanaffus	break
rural	qishloq	rural
rurale	qishloq	rural
rurales	qishloq	rural
russe	rus	russian
russell	russell	russell
russes	rus	russian
russie	rossiya	russia
ryan	ryan	ryan (boy's name)
rythme	sur&#39;ati	rythm
rythmes	ritmlar	rythms
rythmique	ritmik	rhythmic
règle	qoida	rule
règlement	qoidalari	regulations
règles	qoidalari	rules
règne	hukmronlik	reign
ré	re	re
réacteur	reaktor	reactor
réaction	reaktsiya	reaction
réactions	reaktsiyalar	reactions
réagit	reaktsiya qiladi	reacts
réalisateur	direktor	director
réalisateurs	direktorlari	director
réalisation	ishlab chiqarish	realisation
réalisations	yutuqlar	achievements
réalise	amalga oshdi	realizes
réaliser	erishish	implement
réalisme	realizm	realism
réaliste	realistik	realistic
réalisé	amalga oshdi	directed
réalisée	o&#39;tkazildi	conducted
réalisées	o&#39;tkazildi	realises
réalisés	qilingan	made
réalité	voqelik	reality
réalités	voqelik	facts
rébellion	isyon	rebellion
récemment	yaqinda	recently
récent	yaqinda	latest
récente	yaqinda	recent
récentes	yaqinda	recent
récents	yaqinda	recent
récepteur	qabul qilgich	receptor
récepteurs	qabul qiluvchilar	receptors
réception	ziyofat	reception
récession	turg&#39;unlik	recession
réchauffement	issiq	warming
réciproque	o&#39;zaro	reciprocal
récit	hikoya	story
récits	hikoyalar	narratives
réclame	da’volar	claims
réclament	talab	claim
récolte	hosil	harvest
récompense	sovrin	award
récompenses	mukofotlar	rewards
récompensé	sovrin	rewarded
réconciliation	yarashtirish	reconciliation
récupère	tuzalmoq	get back
récupération	tiklash	recovery
récupérer	tuzalmoq	collect or get from
récurrent	takrorlanadigan	recurrent
récurrents	takrorlanadigan	recurring
rédaction	yozish	redaction
rédige	yozish	drafted
rédiger	yozish	write
rédigé	yozilgan	written
réduction	kamaytirish	discount
réduire	kamaytirish	reduce
réduit	kamaygan	reduce
réduite	miqyosi pasaytirilgan	small
réel	haqiqiy	real
réelle	haqiqiy	real
réellement	aslida	really
réelles	haqiqiy	real
réels	haqiqiy	real
réflexion	aks ettirish	thought
réflexions	ko&#39;zgular	reflexions
réforme	islohot	reform
réformes	islohotlar	reforms
réfugie	qochoq	refugee
réfugiés	qochqinlar	refugees
réfère	ishora qiladi	refers
référence	ma&#39;lumotnoma	reference
références	havolalar	references
référendum	referendum	referendum
régence	regency	regency
régent	regent	regent
régime	parhez	regime
régimes	parhezlar	regime
région	viloyati	region
régional	mintaqaviy	regional
régionale	mintaqaviy	regional
régionales	mintaqaviy	regional
régionaux	mintaqaviy	regional
régions	mintaqalar	regions
réglementation	tartibga solish	rules
régler	rostlang	settle
régression	regressiya	regression
régulation	tartibga solish	regulation
régulier	muntazam	regular
réguliers	muntazam	regular
régulière	muntazam	regular
régulièrement	muntazam ravishda	frequently
régulières	muntazam	regular
réhabilitation	reabilitatsiya	rehabilitaton
rémunération	haq	salary
rénovation	yangilash	renovation
répand	tarqaladi	spreading
répandu	keng tarqalgan	widespread
répandue	keng tarqalgan	widespread
réparties	tarqalish	spread
répartis	tarqatilgan	divided
répartition	bo&#39;linish	distribution
répertoire	katalog	directory
réplique	nusxa	respond
répond	javob bering	answered
répondent	javob bering	answer
répondre	javob bering	answer
répondu	javob berdi	answered
réponse	javob bering	answer
réponses	javoblar	responses
répression	qatag&#39;on	repression
républicain	respublika	republican
républicaine	respublika	republican
républicains	respublikachilar	republicans
république	respublika	republic
républiques	respublikalar	republics
réputation	obro&#39;si	renown
réputé	deb hisoblashadi	famous
réputée	deb hisoblashadi	famous
répétition	takrorlash	repetition
réseau	tarmoq	network
réseaux	tarmoqlar	networks
réserve	zaxira	backup
réserves	rezervasyonlar	reserves
réservé	zaxira	reserved
réservée	zahiralangan	spared
réside	istiqomat qiladi	lives
résidence	yashash joyi	residence
résidences	uy-joylar	residences
résidents	aholisi	residents
résistance	qarshilik	resistence
résistances	qarshiliklar	resistance
résistants	chidamli	resistant
résiste	qarshilik ko&#39;rsatmoq	resists
résister	qarshilik ko&#39;rsatmoq	resist
résolution	piksellar sonini	resolution
résonance	aks sado	resonance
résoudre	hal qilmoq	resolve
résultant	natijada	as a result off...
résultat	natija	result
résultats	natijalar	results
résulte	natijalar	results
résume	mavhum	summarizes
résumé	mavhum	summary
résurrection	tirilish	resurrection
rétablir	tiklash	restore
réunification	birlashish	reunification
réunion	uchrashuv	reunion island
réunions	uchrashuvlar	meetings
réunir	yana birlashmoq	reunite
réunis	birlashgan	reunis
réunissant	birlashtirish	gathering
réunissent	birlashmoq	meet
réunit	birlashtiradi	gathers
réussi	muvaffaqiyat	successful
réussir	muvaffaqiyatga erishmoq	succeed
réussissent	muvaffaqiyatga erishmoq	successful
réussit	muvaffaqiyat qozonadi	successful
réussite	muvaffaqiyat	success
révision	qayta ko&#39;rib chiqish	review
révolte	qo&#39;zg&#39;olon	revolt
révoltes	qo&#39;zg&#39;olonlar	revolts
révolution	inqilob	revolution
révolutionnaire	inqilobiy	revolutionary
révolutionnaires	inqilobiy	revolutionnaires
révèle	ochib beradi	reveals
révèlent	ochmoq	reveal
révélation	vahiy	revelation
révéler	ochmoq	reveal
révélé	oshkor bo&#39;ldi	revealed
révélée	oshkor bo&#39;ldi	revealed or disclosed
réédition	qayta nashr qilish	reprint
réélu	qayta saylangan	reelected
rêve	tush	dream
rêves	tushlar	dreams
rôle	roli	role
rôles	rollarda	role
s	s	s
sa	uni	his
sable	qum	sand
sac	sumka	bag
saccompagne	hamroh	is accompanied
saccordent	rozi	agree
sachant	bilish	knowing
sachève	yakunlandi	ends
sacre	muqaddas	coronation
sacrifice	qurbonlik	sacrifice
sacré	muqaddas	sacred
sacrée	muqaddas	sacred
sadapter	moslashmoq	to adapte
saffrontent	bir-biriga qarshi turish	encounter
saga	saga	saga
sage	dono	wise
sagesse	donolik	wisdom
sagir	harakat qilmoq	be
sagissait	edi	was about
sagisse	bo&#39;lmoq	is about
sagit	hisoblanadi	is
sahara	sahro	sahara
saint	muqaddas	st.
saintdenis	sent-denis	saint-denis
saintdomingue	santo-domingo	saint-domingue
sainte	muqaddas	saint
saintempire	muqaddas imperiya	holy empire
saintjean	sankt-jan	saint-jean
saintlaurent	sent-lorent	st. lawrence
saintlouis	sent-luis	saint louis
saintpierre	sent-per	saint-pierre
saints	azizlar	saints
saintétienne	sent-etyen	saint-etienne
saisir	tortmoq	its
saison	mavsum	season
saisons	fasllar	seasons
sait	biling	knows
sajoute	qo&#39;shish	add oneself
sajoutent	qo&#39;shish	add
salaire	ish haqi	salary
salaires	ish haqi	wages
salariés	xodimlar	employees
sale	iflos	dirty
salle	xona	room
salles	zallari	room
salomon	sulaymon	salomon
salon	mehmonxona	living room
salons	salonlar	add salt
salut	salom	salvation
salvador	salvador	salvador
sam	o&#39;tirdi	sam
samedi	shanba	saturday
samuel	samuel	samuel
san	san	(part of a place name)
sanction	ruxsat	sanction
sanctions	sanktsiyalar	sanctions
sanctuaire	ziyoratgoh	sanctuary
sand	qum	sand
sang	qon	blood
sanguin	qon	blood
sanguine	qon	blood
sanguins	qon	blood
sanitaire	sanitariya	sanitary
sanitaires	sanitariya	health
sans	holda	without
santa	santa	santa
santiago	santiago	santiago
santé	sog&#39;liq	health
saoudite	saudiya arabistoni	arabia
sappelle	deyiladi	named
sapplique	amal qiladi	applies
sappuie	tayanadi	relies
sappuyant	egilib	based
sarah	sora	sarah
sarrête	to&#39;xta	stopped
sartre	sartre	sartre
sassurer	ishonch hosil qiling	to ensure
sasuke	sasuke	sasuke
satellite	sun&#39;iy yo&#39;ldosh	satellite
satellites	yo&#39;ldoshlar	satellites
satisfaction	qoniqish	satisfaction
satisfaire	mamnun	satisfaction
satisfait	mamnun	satisfy
sattache	sattache	attach
sauf	tashqari	with the exception of
saut	sakramoq	jump
sauvage	yovvoyi	wild
sauvages	yovvoyi	wild
sauve	xavfsiz	saves
sauver	saqlamoq	save
