$ tỉ	$ బిలియన్	$ billion
thạo	నిపుణుల	fluent
thả	డ్రాప్	"(term should be ""thả lỏng"") to let loose (v.)"
thải	వృధా	waste
thảm	కార్పెట్	carpet or rug (n.)
thản	నిర్మలమైన	calmly
thảo	అందమైన	"(term should be ""hội thảo"") a workshop (n.)"
thấp	చిన్న	low (adj.)
thấu	చొరబడగల	penetrate
thầm	నిశ్శబ్దంగా	"(term should be ""thì thầm"") to whisper (v.)"
thần	దేవుడు	"entire term should be ""tinh than""; means ""of the mind"""
thầy	గురువు	teacher (n.)
thẩm	పంచాయతీ సభ్యుడు	osmotic/leak
thẫm	కృష్ణ	dark
thận	మూత్రపిండాల	careful
thập	క్రాస్	tens
thật	నిజమైన	true (adj.)
thắm	రేక	tham
thắn	స్పష్టముగా	frank
thắng	గెలిచింది	win
thắngthua	గెలిచిన	win-lose
thắp	కాంతి	light
thắt	కట్టు	tense
thằn	బల్లి	"entire term should be ""than lan""; means ""lizard"""
thằng	వ్యక్తి	a derogatory term for a man (n.)
thẳm	లోతైన	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	నేరుగా	horizontal
thặng	మిగులు	surplus
thẹn	సిగ్గు	shameful
thẻ	కార్డ్	card
thế	కాబట్టి	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	స్టీల్	steel
thề	ప్రమాణ	swear
thềm	షెల్ఫ్	shelf
thể	ఉంటుంది	maybe
thỉnh	ఆహ్వానిస్తున్నాము	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	వోగ్	prosperous
thịt	మాంసం	meat (n.)
thọ	దీర్ఘాయువు	phu tho
thọc	జబ్	jab
thỏ	కుందేలు	rabbit
thỏa	ఒప్పందం	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	లోహమును కరిగించి చేసిన	a bar (n.)
thối	కుళ్ళిన	smelly
thốt	పలికారు	scream
thồ	ప్యాక్	to transport via horse (v.)
thổ	భూమి	"(term should be ""lãnh thổ"") territory (n.)"
thổi	దెబ్బ	blow
thớt	కత్తిరించే బోర్డు	sparse
thời	సమయం	period
thở	ఊపిరి	breathe
thợ	కార్మికుడు	craftman
thụ	గ్రాహక	"(term should be ""thụ thai"") to become pregnant"
thục	షు	(proper noun) a vietnamese first name
thụt	ఇండెంట్	clyster
thủ	ప్రధాన	masturbate
thủa	thua	during childhood
thủng	పడుట	having holes
thứ	విషయాలు	no.
thức	మేలుకొని	way
thừa	అనవసరమై	redundant
thừng	తాడు	"(term should be ""thẳng thừng"") mercilessly"
thử	ప్రయత్నించడానికి	try
thửa	పార్శిల్	square
thự	విల్లా	mansion
thực	నిజమైన	perform
ti	టి	titov
tia	రే	ray
tiananmen	తియాన్మెన్	tiananmen
tiara	తలపాగా	tiara
tibet	టిబెట్	(proper noun) tibet
tigris	టైగ్రిస్	tigris
tiliaceus	tiliaceus	hoa dam but
tim	గుండె	heart
timor	తైమూర్	timor
timothy	తిమోతి	timothy
tin	నమ్మకం	believe
tinbắc	సందేశం	file bac
tincầu	టిన్ వంతెన	file bridge
tinh	గ్రహం	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	వార్తలు	file river
tinthị	tinthị	file: town
tirol	tirol	tirol
tisdale	టిస్డేల్	tisdale
tish	tish	(proper noun) tish
tissa	టిస్సా	(proper noun) tissa, as in moggaliputta tissa
tivi	టెలివిజన్	television
tizard	tizard	(proper noun) tizard
tiên	ప్రధమ	first
tiêu	పెప్పర్	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	విచారం	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	గూఫీ	seize
tiến	అప్	operate
tiếng	భాష	language
tiết	స్రావం	abstinence/intensity
tiếu	గూఫీ	"(should be ""đàm tiếu"") to sneer"
tiềm	సంభావ్య	potential
tiền	డబ్బు	money (n.)
tiều	ఒంటి	(proper noun) the name of a poet
tiểu	ఒంటికి	tiểu sử= biography
tiễu	మిస్టర్ లియు	patrol
tiệc	విందు	party
tiệm	అంగడి	shop
tiện	సౌకర్యవంతంగా	mean
tiệp	czech	gustav franck
tiệt	ఫకింగ్	sterilize
tncs	tncs	communist youth union
tngt	tngt	traffic accidents
tnhh	పరిమిత	limited
toang	toang	fast
tobago	టొబాగో	tobago
toei	toei	toei
tokugawa	తోకుగావ	tokugawa
tokyo	టోక్యో	tokyo, the capital of japan
tokyopop	టోక్యోపాప్	tokyopop
tomas	టోమస్	(proper noun) tomas
tommy	టామీ	tommy
tomoyo	tomoyo	tomoyo
tony	tony	tony
toonami	toonami	(proper noun) toonami
top	టాప్	top
torino	torino	torino, as in the italian city
toriyama	తొరియామ	(proper noun) toriyama
tottenham	t టోటెన్హామ్	tottenham
tourism	పర్యాటక	tourism
tourist	పర్యాటక	tourist
toyama	టోయమ	toyama
toyota	టయోటా	(proper noun) toyota
toà	కోర్టు	office
toàn	సురక్షితంగా	entire or whole (adj.)
toán	గణితం	team
toát	మంచిది	to exude or emit, as in sweat (v.)
toạ	అక్షాంశాలు	locate
toại	వద్ద	satisfaction
toả	దన్నుతో	spread
tp	tp	city
tphcm	tphcm	ho chi minh city
tphồ	నగరం	city ho
tpvĩnh	నగరం	vinh city
tqlc	tqlc	marine
trafalgar	ట్రఫాల్గర్	(proper noun) trafalgar
trafford	ట్రాఫోర్డ్	trafford in greater manchester
trai	మస్సెల్స్	boy
trang	పేజీ	a page (n.)
tranh	చిత్రాలు	to compete (v.)
trao	ఇవ్వబడ్డాయి	reward
trau	trau	polish
tre	వెదురు	bamboo (n.)
treo	హ్యాంగ్	hang
tri	ముక్కోణపు	tri
tribune	ట్రిబ్యూన్	a name
trinh	కన్నె	"(should be ""trinh bạch"") virtuous"
trinidad	ట్రినిడాడ్	trinidad
trinity	త్రిమూర్తులు	trinity
tristan	ట్రిస్టాన్	tristan
triết	తత్వశాస్త్రం	philosophy
triền	trien	"(should be ""triền miên"") endless"
triều	పోటు	court
triện	ముద్ర	stamp
triệt	పూర్తిగా	completely
triệu	మిలియన్	a million
tro	యాష్	ashes
troia	troia	troy
trondheim	ట్ర్న్డ్ఫైమ్	trondheim
trong	లో	inside (adv.)
true	నిజమైన	true
truman	ట్రూమాన్	(proper noun) truman
trung	మధ్య	"(term should be ""trung gian"") agent (n.)"
trungnhật	నిజాయితీ	china-japan
truong	truong	truong
truyên	truyen	story
truyện	కథ	story
truân	truân	arduous
truất	శత్రువులు	cancel
truởng	చీఫ్	leader (n.)
truỵ	అబద్ధం	depraved
trà	టీ	tea (n.)
tràm	cajuput	melaleuca
tràng	పెద్దప్రేగు	"entire term should be ""truc trang""; means ""rectum"""
trào	విస్ఫోటనం	movement
trác	twitter ui వీడియో విడ్జెట్	trac
trách	నింద	blame
trái	ఎడమ	against
trán	నుదిటి	forehead
tráng	పూత	to coat (v.)
tránh	నివారించండి	to avoid (v.)
tráo	మోసపూరితంగా	tráo trở= liar/betrayal/treacherous
tráp	బాక్స్	casket
trát	వారెంట్	pile
trâm	brooch	a type of elegant hairpin (n.)
trân	శుభాకాంక్షలు	respect
trâu	గేదె	a last name
trãi	చెల్లాచెదురుగా	trai
trèo	ఎక్కడం	climb
trên	పై	above
trình	submit	process
trí	మనసు	intellectual
trích	ఎక్సెర్ప్ట్	to extract (v.)
trò	ట్రిక్	role
tròn	రౌండ్	rounding
trói	కట్టివేయబడి	tie
trôi	డ్రిఫ్టింగ్	afloat
trông	లుక్స్	look
trùm	బాస్	cover
trùng	రోజే	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	బోర్డింగ్	residence
trúc	వెదురు	structure
trăm	వంద	hundred
trăn	పైథాన్	"(term should be ""trăn trở"") to ponder (v.)"
trăng	చంద్రుడు	moon
trĩ	hemorrhoids	hemorrhoids
trũng	పల్లపు	medium
trơ	జడ	bare
trơn	జారే	slippery (adj.)
trư	tru	a pig (n.)
trưa	మధ్యాహ్నం	noon (n.)
trưng	వ్రాతపూర్వకమైన ఆదేశము	symbolic
trưngcông	ప్రదర్శితమవుతున్న	truongcong
trương	truong	policy
trước	ముందు	front
trước 	ముందు	front
trướng	విస్తరణ	expand
trườn	క్రాల్	crawl
trường	పాఠశాల	case
trượng	కడుసియాస్	a unit of length used in vietnam equal to 4 meters (n.)
trượt	వేరొకదానిలోకిమారు	slide
trạch	trach	ze
trại	శిబిరంలో	camp
trạm	స్టేషన్	station
trạng	పరిస్థితి	situation
trạo	టావో	trao
trả	పే	to return
trải	కవర్	spread
trảm	cajuput	beheaded
trảo	machetes	trao
trấn	పట్టణం	town
trấu	బియ్యం us క	rice skin
trầm	లోతైన	depression
trần	బేర్	tran
trầu	తమలపాకులను	trầu
trầy	గీయబడిన	scratch
trẩy	బౌన్స్	pilgrimage
trẫm	నేను	i
trận	ఆట	battle
trật	మోచెయ్యి	order
trắc	బయోమెట్రిక్స్	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	తెలుపు	white
trặc	ఎక్కిళ్ళు	"entire phrase is ""truc trac""; means ""problem"""
trẻ	యువ	youth
trễ	ఆలస్యం	late
trệ	చోటనే	bamboo
trị	చికిత్స	cure
trịnh	గజిబిజి	trịnh, a vietnamese last name
trọ	ఇన్న్	motel
trọn	పూర్తి	whole
trọng	ముఖ్యమైన	serious
trỏ	గమనికలు	index
trối	చివరి	last words
trốn	దాచు	to hide
trống	ఖాళీ	in
trồi	ఉద్భవిస్తున్న	to emerge (v.)
trồng	పెరుగు	plant
trổ	షో	to burst open or display
trỗi	ఆవిర్భావం	rise
trội	ఆధిపత్య	better
trộm	దొంగలు	theft
trớn	చేరటము	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	దేవుడు	sun
trợ	మద్దతు	support
trụ	ఆఫీసు	universe
trục	అక్షం	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	నగ్న	"(term should be ""trơ trụi"") bare (adj.)"
trứ	tru	famous
trứng	గుడ్డు	egg
trừ	మైనస్	except
trừng	కాంతి	punish
trừu	గొర్రె	abstract
trữ	నిల్వ	reserve
trực	విధి నిర్వహణలో	direct
ts	ts	phd
tt	tt	news
tua	టెన్టకిల్	fringe
tucker	టక్కర్	tucker, an english last name
tudor	ట్యూడర్	(proper noun) tudor, as in the tudor family
tukhachevsky	tukhachevsky	(proper noun) tukhachevsky
tulip	తులిప్	tulip
tum	తుమ్	tum
tung	టాస్	release
tupolev	టుపోలెవ్	tupolev, as in alexei tupolev
tuscan	టుస్కాన్	(proper noun) tuscan
tutsi	టుట్సీ	(proper noun) tutsi
tuvalu	టువాలు	(proper noun) tuvalu, a polynesian island nation
tuy	అయితే	however
tuyên	ఇది ప్రకటించే	"(should be ""tuyên ngôn"") a declaration"
tuyết	మంచు	snow (n.)
tuyền	ట్యూవెన్	tuyen
tuyển	నియామక	recruit
tuyệt	గ్రేట్	excellent (adj.)
tuân	పాటించటానికి	comply
tuông	ఫ్లష్	jealous
tuý	tuyý	drug
tuần	వారం	week
tuế	minnows	years
tuệ	జ్ఞానం	intelligence
tuốc	plucking	turbine
tuổi	సంవత్సరం వయస్సు	age
tuộc	ఆక్టోపస్	octopus
tuột	స్లిప్ ఆఫ్	slip
tuỳ	ఐచ్ఛిక	depend
tv	టెలివిజన్	tv
tvb	tvb	tvb
twin	జంట	twin
twitter	ట్విట్టర్	twitter
ty	ty	company
type	రకం	type
typhon	టైఫోన్	typhon
tà	చెడు	we
tài	అదృష్టం	talent (n.)
tàn	బూడిద	dying
tàng	మ్యూజియం	"(should be ""bảo tàng"") a museum"
tành	tanh	shatter
tàu	నౌక	ship
tá	డజను	"(term should be ""thiếu tá"") major (n.)"
tách	కప్	to separate
tái	తిరిగి	return
tám	ఎనిమిది	eight
tán	పందిరి	support
tánh	tanh	life
táp	టాప్	to lap at (v.)
táu	గిల్టీ	ashton
tâm	సెంటర్	tâm
tâu	భగవంతుడా	peach
tây	పశ్చిమ	western
tâynam	westnam	"(should be ""tây-nam"") southwest"
tã	diapers	diaper
tét	బిగ్గరగా అరచు	tet
tê	నంబ్	numb
tên	పేరు	name (n.)
tì	ప్లీహము	to lean on (v.)
tìm	కనుగొనండి	find
tìmdiệt	వెతకండి	find-kill
tình	ప్రేమ	sex
tía	ఊదా	dad
tích	ఉత్పత్తి	"(term should be ""tích cực"") to be zealous (adv.)"
tím	వైలెట్	purple
tín	క్రెడిట్స్	"(entire term should be ""tín dụng"") credit"
tít	హెడ్లైన్	"(term should be ""tít mù"") very far away (adv.)"
tò	ఉత్సుకత	curious
tòa	కోర్టు	a court
tòi	విషయం	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	టోంగ్	tòng, a last name
tóm	కంపెన్డియం	summary
tô	గిన్నె	car
tôi	నేను	i
tôm	రొయ్యలు	shrimp
tôn	ముడతలు	venerate
tông	కార్డ్బోర్డ్	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	జైలు	prison
tùng	విడి	tung
tùy	ఐచ్ఛిక	depend on
túc	సమృద్ధి	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	హ్యాండ్బ్యాగ్లో	pocket
túm	లాగు	catch
túng	ఇబ్బందికరమైన	confuse
túp	గుడిసెలో	hut
túy	ఔషధ	"(term should be ""thuần túy"") pure (adj.)"
tý	ఎలుక	mouse, as in year of the mouse
tăm	టూత్పిక్	"(term should be ""tiếng tăm"") reputation"
tăng	పెంచు	increase
tĩnh	స్టాటిక్	calm
tơi	నేను	ragged
tư	నుండి	posture
tưng	కదులుతోంది	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	తాజా	fresh
tương	ఇలాంటి	"(term should be ""tương tự"") to be similar to"
tước	పీల్చు	title (n.)
tưới	నీరు త్రాగుటకు లేక	irrigation
tướng	సాధారణ	prime minister (thu tuong)
tường	గోడ	"a common vietnamese first name; means ""wall"""
tạ	బార్ బెల్	weight
tạc	చెక్కడం	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	లో	survival
tạm	తాత్కాలిక	temporary
tạo	సృష్టించడానికి	create
tạp	పత్రిక	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	వివరణ	describe
tản	దుర్నీతి	disperse
tảng	వేదిక	platform
tấc	అంగుళాల	inch
tấm	ప్లేట్లు	mirror
tấn	టన్ను	tan
tấp	లాగి	crowded
tất	సాక్స్	all
tấu	వాయిద్య	tau
tầm	ఆటలు	range or extent (n.)
tần	తరచుదనం	"(term should be ""tần số"") frequency (n.)"
tầng	ఫ్లోర్	layer
tầu	రైలు	ship
tẩm	ప్రవేశపెట్టిన	soak
tẩy	రబ్బరు	to bleach
tận	ముగింపు	dedicated
tật	వైకల్యం	disease
tắc	స్విచ్లు	priciple
tắm	షవర్	bathing
tắt	ఆపివేయండి	initial
tặc	హ్యాకర్లు	"(term should be ""hải tặc"") a pirate (n.)"
tặng	దానం	donate
tẻ	కాంతిహీనమైన	lẻ tẻ= scattered
tết	టెట్	(proper noun) the vietnamese new year
tếxã	ఆర్ధికంగా	economy - society
tề	క్వి	tidy
tể	మిస్టర్	lord
tệ	చెడు	bad
tệp	ఫైలు	file
tỉa	ట్రిమ్	"(term should be ""bắn tỉa"") to snipe"
tỉnh	ప్రాంతీయ	province
tị	అసూయ	refugee
tịch	అధ్యక్షుడు	"(""chủ tịch"") president or chairman"
tọa	అక్షాంశాలు	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	వ్యక్తపరచబడిన	to
tỏa	దన్నుతో	radiate
tỏi	వెల్లుల్లి	garlic
tốc	వేగం	speed
tốn	ధర	to cost (v.)
tống	ఎస్కార్ట్	dispose
tốp	సమూహం	top
tốt	మంచిది	good
tồi	చెడు	bad
tồn	మనుగడలో	exist
tổn	హర్ట్	damage
tổng	మొత్తం	president
tộc	వంశం	"(term should be ""dân tộc"") a race or people"
tội	పాపం	crime
tột	తీవ్రమైన	extreme
tớ	నాకు	servant
tới	తరువాత	to the point
tờ	షీట్	paper/document
tởm	విసుగుగా	disgusting
tục	అపవిత్ర	"(term should be ""tập tục"") customs or practices"
tụy	క్లోమం	"(term should be ""tận tụy"") devoted (adj.)"
tủ	మంత్రివర్గాల	shelf
tủi	చెడు	humiliated
tủy	మూలుగ	spine
tức	తక్షణ	i.e.
từ	నుండి	from
từng	ఎప్పుడైనా	each
tử	మరణం	lion (su tu)
tửu	ఆల్కహాల్ టాలరెన్స్	wine
tự	స్వీయ	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	టైటిల్	lean
tựu	విజయాలు	achievement
tỵ	పాము	the han name for the year of the snake, according to the chinese zodiac
tỷ	బిలియన్	billion
u	u	tumor
ua	ua	ua
uae	యుఎఇ	uae
ubuntu	ఉబుంటు	ubuntu
uc	uc	uc
uchiha	uchiha	uchiha
uefa	uefa	uefa
uh	ఊ	uh
uk	uk	uk
ukiyoe	ukiyoe	ukiyoe
ukraina	ukraina	ukraine
ulsan	ఉల్సాన్	ulsan
umm	హమ్మ్	umm
un	అన్	(proper noun) un, as in chung un chan of korea
und	ఉండ్	und
under	కింద	under
unesco	unesco	unesco
ung	కుళ్ళిన	cancer
unicorn	జంతువును	unicorn
unit	యూనిట్	unit
unix	unix	unix
up	అప్లను	up
ural	ఉరల్	ural, as in the ural mountains
urani	యురేనియం	uranium
uri	uri	uri, a former political party in south korea
uruguay	ఉరుగ్వే	uruguay
usagi	usagi	usagi
usb	usb	usb
uss	uss	uss
utah	utah	utah
utrecht	అట్రెక్ట్	(proper noun) utrecht
uy	ఉయ్	"(term should be ""uy lực"") power (n.)"
uyghur	వైఘుర్	(proper noun) uyghur
uygur	uygur	uygur
uyên	uyen	scholarly
uyển	సభ్యోక్తి	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	uzbekistan	uzbekistan
uông	uông	uong
uất	uat	busy
uốn	కర్లింగ్	to curl (v.)
uống	తాగడానికి	to drink
uổng	క్షయము	vain
v	v	v
va	va	collide
vaccine	టీకా	vaccine
vai	భుజం	shoulder
valencia	వాలెన్సియా	valencia
valentine	ప్రేమికుడు	valentine
valley	లోయలో	valley
van	వాల్వ్	"(term should be ""van xin"") to beg (v.)"
vanessa	వెనెస్సా	vanessa
vargas	వర్గాస్	(proper noun) vargas
vasari	వాసరి	vasari
vay	ఋణం	borrow
vectơ	వెక్టర్	vector
ven	పాటు	"(term should be ""ven biển"") coastal (adj.)"
vendôme	వెందోమే	vendome
venezia	venezia	venice
venus	శుక్రుడు	venus
verdun	verdun	verdun
vermont	వెర్మోంట్	vermont
verona	వరోన	(proper noun) the city of verona
versailles	వేర్సైల్లెస్	(proper noun) versailles
vhs	vhs	vhs
vi	ఎందుకంటే	behavior
viagra	వయాగ్రా	viagra
victor	విక్టర్	(proper noun) victor
victoria	విక్టోరియా	victoria, a province of australia
vienna	వియన్నా	(proper noun) vienna, austria
viet	వియత్	vietnamese
vietnam	వియత్నాం	vietnam
viettel	viettel	viettel
viii	viii	eighth
vijaya	vijaya	(proper noun) vijaya
viking	వైకింగ్	viking
villa	విల్లా	villa
villeneuve	విల్లెన్యు	(proper noun) villeneuve, a french last name
vinagame	vinagame	vinagame
vinashin	vinashin	vinashin
vince	విన్స్	(proper noun) vince, as in vince mcmahon
vincennes	vincennes	vincennes
vincent	విన్సెంట్	vincent
vinpearl	vinpearl	vinepeal
viqr	viqr	viqr
virginia	వర్జీనియా	(proper noun) virginia, as in the state
virus	వైరస్	virus
virút	వైరస్	virus
vissarionovich	vissarionovich	vissarionovich
vista	విస్టా	vista, as in windows vista
vitamin	విటమిన్	vitamin
vitruvius	విత్రువిస్	vitruvius
viz	ఉన్నాడుస	(proper noun) viz
viêm	మంట	inflammation
viên	మాత్రలు	member
viêng	viang	vientiane
viêt	రచన	vietnam
viếng	పర్యటన	visit
viết	వ్రాయడానికి	write
việc	ఉద్యోగం	thing
viện	సంస్థ	institute
việt	వియత్నాం	viet
việtmường	వియత్నామీస్ మువాంగ్	muong
việtnga	vietnga	vietnam-russia
việttrung	viettrung	vietnam-china
vn	vn	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	vo	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	ఏనుగులు	elephant
voip	voip	voip
voldemort	వోల్డ్మార్ట్	(proper noun) voldemort, the villain from the harry potter series
von	వాన్	compare
vonfram	టంగ్స్టన్	wolfram
vong	ప్రాణనష్టం	injured
voyager	వాయేజర్	voyager
voọc	లంగూర్స్	a langur (n.)
vtc	vtc	vtc
vu	వు	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	రాజు	king
vui	సరదాగా	happy
vulcan	వుల్కాన్	vulcan
vuông	చదరపు	square
vuốt	పంజా	stroke
vv	మొదలైనవి	etc.
vy	vy	vy
vyacheslav	వ్యాచెస్లావ్	vyacheslav
và	మరియు	and
vài	కొన్ని	several
vàm	vm	the mouth of a rivulet (n.)
vàng	పసుపు	gold
vành	చట్రం	coronary
vào	లోకి	into
vá	పాచ్	patchy
vác	మోసుకుపోయే	to shoulder (v.)
vách	గోడ	wall
vái	అవును	some
ván	ప్లాంక్	game
váng	ఒట్టు	film
váy	దుస్తులు	skirt
vân	కాబట్టి	"(term should be ""vân vân"") et cetera"
vây	ఫిన్	encircle
vã	తరలించారు	rush
vãi	ఒంటి	to release
vãn	వాన్	save
vè	ఒంటికి	to glance slyly (v.)
vé	టికెట్	ticket
vét	పూడిక తీయు	plunder
vê	గురించి	tremolo
vì	ఎందుకంటే	because
ví	జేబు	example
vía	జేబు	soul
vít	స్క్రూ	screw
vò	నలిగిన	jar
vòi	గొట్టం	tap
vòm	పైకప్పు	upper jaw
vòng	రింగ్	around
vó	hoooo	hooves
vóc	పరిమాణం	"(should be ""vóc sương"") dew-like or delicate"
vô	ఏ	"(term should be ""vô số"") countless (adj.)"
vôi	నిమ్మ	limestone
võ	యుద్ధ	martial arts (n.)
võng	ఊయల	hammock
vùi	ఖననం	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	ప్రాంతం	region
vú	రొమ్ము	breast (n.)
vút	దృక్పథాన్ని	"entire term should be ""cong vut""; extreme curling"
văn	సాహిత్యం	culture
văng	స్ప్లాష్	a name
vĩ	గొప్ప	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	శాశ్వతంగా	ving
vũ	వు	armed
vũng	సిరామరక	vung
vơ	నిస్సహాయంగా	lost
vơi	తో	ullage
vưu	vưu	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	అందుబాటు	reach
vương	కింగ్	kingdom
vướng	చిక్కుకొన్న	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	తోట	garden
vượn	కోతుల	gibbon
vượt	పాస్	to overcome
vạ	కాబట్టి	unfortunate problem
vạc	జ్యోతి	cauldron
vạch	బార్	bar
vại	jar	jar
vạn	పది వేలు	thousand
vạng	ట్విలైట్	twilight
vả	అత్తి	hard
vải	ఫాబ్రిక్	fabric
vảy	ప్రమాణాల	scale
vấn	సలహా	vấn đề= problem
vấp	ముంచెత్తింది	stumble
vất	విసిరేయండి	hard
vần	పద్యం	spell
vầng	వృత్తాన్ని	moon (vang trang)
vẩn	ఇప్పటికీ	wander
vẩy	రేకులు	scale
vẫn	ఇప్పటికీ	still
vẫy	ఊపుతూ	wave
vận	అదృష్టం	active
vắc	టీకా	vaccine
vắcxin	టీకా	vaccine
vắn	చిన్న	short
vắng	మతి	absent
vặn	స్క్రూ	to twist (v.)
vặt	క్లాసిఫైడ్స్	odd
vẹn	సమగ్రతను	complete
vẹt	చిలుకలు	parrots
vẽ	పెయింటింగ్	draw
vết	పాచ్	wound
vểnh	పెర్చ్	warping
vệ	రక్షణ	"(term should be ""bảo vệ"") to defend (v.)"
vệt	చారికలు	streak
vỉa	గనిలో	"(term should be ""vỉa hè"") sidewalk"
vịnh	బే	bay
vịt	డక్	duck
vọng	ఆశిస్తున్నాము	"(term should be ""hy vọng"") hope (n.)"
vọt	skyrocket	to spurt out (v.)
vỏ	బెరడు	shell
vồ	ముల్	"(term should be ""gạch vồ"") a type of brick"
vỗ	పాట్	to clap
vội	అత్యవసరము	hurriedly (adv.)
vớ	సాక్స్	"(term should be ""vớ vẩn"") silly (adj.)"
với	తో	to
vớt	చేప	salvage
vờ	నటిస్తారు	"(term should be ""giả vờ"") to pretend (v.)"
vời	గొప్ప	wonderful
vở	నోట్బుక్	"(term should be ""vở kịch"") a play"
vỡ	విరిగిన	break
vợ	భార్య	wife
vụn	చిప్స్	debris
vụng	వికృతం	covert
vứt	విసిరేయండి	throw away
vừa	ఆరోగ్యంగా	just (adv.)
vừng	నువ్వులు	sesame (n.)
vững	సంస్థ	firm (adj.)
vực	ఫీల్డ్	place
vựng	పదజాలం	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	కాబట్టి	majestic
w	w	w
wa	వా	wa
walt	వాల్ట్	(proper noun) walt, as in walt disney
walter	వాల్టర్	walter
walther	వాల్తేరు	walther
wan	wan	wan
wang	వాంగ్	wang
wankel	వాన్కేల్	(proper noun) wankel
wanna	వన్నా	wanna
warren	వారెన్	a name
warsaw	వార్సా	warsaw
warszawa	వార్స్జావా	(proper noun) warsaw
washington	వాషింగ్టన్	(proper noun) washington
wat	wat	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	watergate	watergate
waterloo	వాటర్లూ	(proper noun) waterloo
waters	జలాల	waters
wayne	వేన్	wayne
wcdma	wcdma	w-cdma
weasley	వెస్లి	weasley, as in ron weasley in the harry potter series
weblog	వెబ్లాగ్	weblog
webmail	వెబ్మెయిల్	ưebmail
weimar	వీమర్	(proper noun) weimar
wellington	వెల్లింగ్టన్	wellington
wells	బావులు	wells, as in author orson wells
welsh	welsh	(proper noun) welsh, as in the welsh language
wembley	వెంబ్లీ	wembley, as in wembley stadium
werner	వెర్నెర్	werner
westermarck	వెస్టెర్మర్క్	westermarck
western	పశ్చిమ	western
westlife	వెస్ట్ లైఫ్	westlife
westview	westview	westview, as in westview press
wheeler	వీలర్	a name
widener	వైడెనెర్	widener
wien	wien	wien
wiener	వీనర్	wiener
wifi	వైఫై	wi-fi, a technology term
wiki	వికీ	wiki
wikia	వికియా	a name
wikibooks	wikibooks	(proper noun) wikibooks
wikimapia	వికిమాపియా	wikimapia
wikimedia	వికీమీడియా	wikimedia
wikitravel	వికీట్రావెల్	a name
wild	అడవి	wild
wilder	వైల్డర్	(proper noun) wilder, as in billy wilder
wiley	విలే	wiley
willard	willard	willard
wimbledon	వింబుల్డన్	wimbledon
windows	విండోస్	windows
winer	వైనర్	winer
wisconsin	విస్కాన్సిన్	(proper noun) wisconsin
within	లోపల	within
without	లేకుండా	without
wolfgang	వోల్ఫ్గ్యాంగ్	wolfgang
won	గెలిచింది	won
wong	వాంగ్	wong
woodrow	వుడ్రో	woodrow
woods	వుడ్స్	(proper noun) woods, as in tiger woods
would	బిల్ల్స్	would
wrestling	కుస్తీ	wrestling
wright	రైట్	a name
wu	wu	wu
wushu	వుషు	wushu, a type of martial art
wwf	wwf	wwf
xa	దురముగా	ancient
xang	జియాంగ్	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	నీలం	green
xao	శిధిలమైన	xôn xao = chatting
xay	గ్రైండ్	grind
xe	కారు	a car (n.)
xem	చూడండి	watch
xen	xen	to insert (v.)
xhcn	xhcn	social republic
xi	xi	xi
xiii	xiii	eighth
xin	దయచేసి	please
xinh	అందమైన	beautiful
xiv	xiv	fourteenth
xiêm	సియమీస్	(proper noun) xiêm, or siam
xiên	ఏటవాలు	oblique
xiêu	జియో	soften
xiếc	సర్కస్	circus
xiết	బిగించి	to twist tightly (v.)
xiềng	సంకెళ్ళు	chain
xo	xo	spring
xoa	రబ్	massage
xoay	మలుపు	turn
xong	నిష్ణాత	completed
xoàng	మధ్యస్థమైన	mediocre
