$	dollarni tashkil etadi	american dollar symbol
மேலிருந்து	yuqoridan	from above
மேலும்	keyinchalik	further more
மேலே	yuqoriga qaytish	up
மேலை	g&#39;arbliklar	west
மேலைச்	g&#39;arbiy	western salukya king
மேலோடு	qobiq	surface
மேல்	ko&#39;proq	top
மேல்நோக்கி	yuqoriga	telescope
மை	mening	my
மைக்கேல்	maykl	micheal
மைக்ரோ	mikro	micro
மைக்ரோசாஃப்ட்	microsoft	microsoft
மைக்ரோசாப்ட்	microsoft	microsoft
மைசூர்	misore	mysore
மைதானம்	zamin	ground
மைனர்	konchi	adult
மையக்	markaziy	centre
மையங்கள்	markazlar	centers
மையத்தின்	markaz	central
மையத்தில்	markazda	central
மையத்தை	pivot	center
மையப்	markaziy	center
மையப்பகுதியில்	markazda	center region
மையமாக	fokus	center
மையமாகக்	fokus	centered on
மையமாகத்	markaz	centerized
மையமாகவும்	uyasi	as a head or in central
மையம்	markaz	central force
மைல்	milya	mile
மொகலாய	mug‘al	mogul
மொத்த	jami	total
மொத்தத்	umuman olganda	totally
மொத்தத்தில்	umuman olganda	totally
மொத்தப்	jami	total
மொத்தமாக	jami	total
மொத்தம்	jami	total
மொபைல்	mobil	mobile
மொரிசியசு	mavrikiy	mauritius
மொழிகளாக	tillar mavjud	language
மொழிகளான	tillar:	languages
மொழிகளின்	tillar	languages
மொழிகளிலும்	tillar	in all languages
மொழிகளில்	tillar	languages
மொழிகளுக்கு	tillar	languages
மொழிகளும்	tillar	languages
மொழிகளுள்	molikalul	within languages
மொழிகளை	tillar	​​languages
மொழிகளையும்	tillar,	languages as well
மொழிகள்	tillar	languages
மொழிக்	til	language
மொழிக்கு	tilga	for language
மொழிக்கும்	til va	language
மொழிச்	til	language
மொழித்	til	language
மொழிபெயர்ப்பு	tarjima	translation
மொழியாக	til	as a language
மொழியாகக்	til,	language of
மொழியாகவும்	til va	language and
மொழியாகும்	til	language
மொழியான	idioma	language
மொழியானது	til	that language
மொழியின்	tili	language's
மொழியியலின்	tilshunoslik	lingustics
மொழியியல்	tilshunoslik	linguistics
மொழியிலும்	til,	linguistics
மொழியிலேயே	til,	in the language
மொழியில்	adabiy	in the language
மொழியும்	til	language also
மொழியே	va tomonidan	the language
மொழியை	til	languages
மோகன்	moxan	mohan
மோகினி	mohini	ghost
மோசமான	yomon	worst
மோட்டார்	motor	motors
மோதல்	to&#39;qnashuv	battle
மௌன	mauna	not speek
ம்	e	m a letter in tamil
யமுனை	yamuna	yamuna
யாகம்	yagna	penance
யாகூ	yahoo	yahoo
யாக்கோபு	jeyms	jacob
யாதெனில்	qaysi qismida	of that
யாத்திரை	ziyoratchi	pilgrimage
யானை	fil	elephant
யானைகளின்	fillardan	elephant's
யானைகள்	fillar	elephants
யானைக்	fil	elephant
யானையின்	filning	elephant
யாப்பு	konstitutsiyaviy	yappu
யாருக்கு	jssv	to whom
யாருக்கும்	har kim	no one
யாரும்	yo&#39;q	nobody
யாழ்	rpg	general
யாழ்ப்பாண	jaffna	ilangai
யாழ்ப்பாணக்	jaffna	yalpaanam
யாழ்ப்பாணத்தில்	jaffnada	in jaffna
யாழ்ப்பாணப்	jaffna	yalpanam
யாவற்றினும்	va hamma narsada	by all
யாவும்	hammasi	all
யாஹூ	yahoo!	yahoo
யின்	the	of
யில்	the	in that year
யுஎஸ்	biz	united states
யுடிசி	utc	utc
யுத்தத்தில்	urushda	in the war
யுத்தத்தை	urush	war
யுத்தம்	jang	battle
யுனெஸ்கோ	yunesko	unesco
யுனைடெட்	birlashgan	united
யுரேனஸ்	uran	uranus
யுரேனியம்	uran	uraniem
யூ	u	an initial
யூக்ளிட்	evklid	euclid
யூத	yahudiy	judas
யூதர்	yahudiy	jewish
யூதர்களின்	yahudiy	jews
யூதர்கள்	yahudiy	yuders
யூனிட்	birlik	unit a measurement
யூனியன்	uyushma	union
யூரோ	evroga teng	uro
யூரோப்பியம்	yevropa	european union
யெல்லோஸ்டோன்	sariq tosh	ellowstone
யோகம்	yoga	luck
யோசேஃபசு	yocehpacu	name of a person
யோசேப்பு	yusuf	joseph
யோனி	vaginal	yoni or vaginal tract
யோர்க்	york	york
யோர்தான்	iordaniya	yordan
யோவான்	jon	yovan
ர	poyezd	ra, a tamil letter
ரக்பி	regbi	rugby
ரசிகர்கள்	muxlislar	fans
ரசினிகாந்து	rajnikanth	rajinikanth
ரத்னா	ratna	diamond
ரப்பர்	kauchuk	rubber
ரமண	ramana	music
ரயில்	poyezd	train
ரயில்வே	temir yo&#39;l	rail
ரவி	ravi	ravi
ரஷ்ய	rus	russian
ரஷ்யப்	rus	russian
ரஷ்யா	rossiya	country
ரஷ்யாவின்	rossiyaning	russian
ரஷ்யாவில்	rossiyada	in rusia
ராகங்கள்	ragas	tunes
ராகம்	raga	raaga or music
ராக்	rok	rock
ராக்கி	qoyali	rocky mountain
ராசா	raja	king
ராஜ	raja	raja
ராஜதந்திர	diplomatik	war stragedy
ராஜன்	rajan	rajan
ராஜபுத்திர	rajput	king
ராஜா	qirol	raja
ராஜீவ்	rajeev	rajiv gandhi
ராஜேந்திர	rajendra	rajendra
ராஜ்ஜியம்	saga	area or ruling or governing places
ராணி	qirolicha	queen
ராணுவ	armiya	army
ராணுவத்தின்	armiya	defence
ராணுவம்	harbiy	military
ராதா	radha	one of the name
ராதாகிருஷ்ணன்	radhakrishnan	radha krishnan
ராதாவின்	radha	radha's
ராபர்ட்	robert	robert
ராமசாமி	ramasvami	ramasamy
ராமன்	raman	raman
ராம்	ram	ram
ராயல்	qirollik	royal
ராய்	rai	roy
ராவ்	rao	rao
ரிகோ	riko	rico
ரிக்	rik	rig
ரிசர்வ்	zaxira	reserve
ரிச்சர்டு	richard	richard, a name
ரிலையன்ஸ்	ishonch	reliance
ரீதியாக	jismoniy jihatdan	as per
ரீதியிலான	korparativ	industrialised way
ரீதியில்	shartlariga binoan	in terms of
ருத்தேனியம்	ruteriyum	ruthenium
ரூ	biznes	rupees, indian currency name
ரூபாய்	rupi	rupees
ரெகே	reggae	reggae music artist
ரெட்	qizil	color of red
ரெட்ரோ	retro	retro
ரேகை	fp	line
ரேடியோ	radio	radio
ரைட்	rayt	rite
ரைபோசோம்	ribosoma	ribosome
ரோகிணி	rohini	rohini
ரோமன்	rim	roman
ரோமப்	rim	roman
ரோமர்	rimliklarga	romanian
ரோமானிய	rim	romanian
ரோமியோ	romeo	romeo
ரோம்	rim	rome
ரௌட்டிங்	yo‘nalish	routing
ல	la	l
லட்சம்	million	lakhs
லட்சுமி	lakshmi	lakshmi
லண்டனில்	londonda	in the london
லண்டன்	london	london
லத்தீன்	lotin	latin
லவ்	sevgi	love
லஷ்கர்-ஏ-தொய்பா	lashkar-e-taiba	lushkar-a-thoiyba
லா	la	la a letter in tamil
லாந்த்தனைடு	lantanoid	lanthonide
லாரி	larri	lorry
லால்	lal	lal
லாஸ்	las	los
லிங்கன்	linkoln	lincoln
லித்தோ	litosfera	litho
லினக்ஸ்	linux	linex
லின்	linn	lin
லிப்பிட்	lipid	one of the fat
லியொனார்டோ	leonardo	leonardo
லியொனார்டோவின்	leonardoning	in liyarnado
லீக்	liga	league
லீப்	sakrash	leap
லுத்யானைடீ	lutyanaiti	lutjanidae a fish family name
லூக்கா	luqo	luke
லூசியானா	luiziana	louisiana
லூயிஸ்	luis	lues
லெனினிசம்	leninizm	leninism
லெனின்	lenin	lenin
லெமூர்	lemur	it is a animal. family of monkey
லேக்ஸ்	ko&#39;llar	lakes
லைவ்	jonli	live
லோபோட்டைடீ	lopottaiti	labotidae a name given to family of fish
ல்	qayerdan	st
வ	va	va
வகிக்கின்றது	o‘ynaydi	take place
வகிக்கின்றன	o&#39;ynang	living
வகிக்கிறது	o‘ynaydi	living
வகித்த	kutilmoqda	in power
வகித்தது	hissa qo&#39;shgan	existed
வகித்தார்	u o&#39;ynadi	held
வகித்து	qo&#39;rg&#39;oshin	relate
வகுத்தது	bo&#39;lingan	divided
வகுப்பில்	sinfda	in class
வகுப்பு	sinf	class
வகை	kategoriya	sects
வகைகளாக	toifalar	types
வகைகளின்	turlari	variety
வகைகளிலும்	turli xil	varieties
வகைகளில்	turlari	varieties
வகைகளும்	turlari	types
வகைகளை	turlar	type
வகைகள்	turlari	varieties
வகைக்	turi	type
வகைத்	kirish	veriety
வகைப்	kategoriya	category
வகைப்படுத்தலாம்	toifalangan	category
வகைப்படுத்தல்	tasniflash	classifications
வகைப்படுத்துவது	kataloglashtirish	is planned
வகைப்பட்ட	turlari	different
வகைப்பாடு	tasniflash	variety
வகைப்பாட்டில்	kategoriya	a family name
வகைப்பாட்டு	tasniflash	classification
வகையாக	turi uchun	of kind
வகையான	yaxshi	variety of
வகையிலான	yaxshi	having that way
வகையிலும்	vositalari	this way
வகையைச்	kategoriya	type
வங்காள	bengal	bengal
வங்காளம்	bangladesh	west bengal
வங்காளி	bangla	bengali
வங்கி	bank ishi	bank
வங்கிகள்	banklar	banks
வங்கியின்	bank	in bank
வசதி	qulaylik	facility
வசதிகளை	imkoniyatlar	facilities
வசதிகள்	xususiyat	facilities
வசதியாக	qulay	comfotable
வசதியான	qulay	luxurious
வசதியை	xususiyat	fesility
வசந்த	bahor	spring
வசந்தம்	bahor	winter
வசம்	egalik	into the hands of
வசிக்கிறார்கள்	ma&#39;lumot	living
வசிக்கும்	yashash	living
வசித்து	yashagan	lives
வட	shimoliy	north
வடகிழக்கு	shimoli-sharqda	east
வடகிழக்குப்	shimoli-sharqda	northeast
வடக்கிலிருந்து	shimoldan	from north
வடக்கிலும்	shimoliy	in the north
வடக்கில்	shimolda	north
வடக்கு	shimoliy	north
வடக்குக்	shimoliy	in the north
வடக்குப்	shimoliy	north
வடக்கே	shimoliy	in the north
வடமேற்கு	shimoli g&#39;arbiy	northwest
வடமொழி	sanskrit	north indian language
வடமொழியில்	sanskritda	north indian language
வடிகால்	drenaj qiling	sanitary
வடிவ	shakllangan	shape
வடிவங்களில்	shakllar	shapes
வடிவங்களை	shakllar	shapes
வடிவங்கள்	formatlar	shapes
வடிவத்திலும்	shakl	shapes
வடிவத்தில்	shaklida	shape
வடிவத்தை	shakl	shape
வடிவமாக	shakllantirish uchun	shapes
வடிவமாகும்	shakl	symbol
வடிவமான	shakl	by the shape
வடிவமும்	shakl	shape
வடிவமைக்கப்பட்ட	loyihalashtirilgan	designed to
வடிவமைத்த	loyihalashtirilgan	making
வடிவமைத்து	dizayn	design
வடிவமைப்பு	dizayn	design
வடிவம்	shakl	design
வடிவிலான	shakllangan	by the shape of
வடிவில்	shakl	in that shape
வடை	köfte	food
வட்ட	dumaloq	circle
வட்டத்தின்	davra	in circle
வட்டத்தில்	davra ichida	in circle
வட்டப்	davra	circle
வட்டப்பாதையில்	orbital	orbit
வட்டமான	dumaloq	circle
வட்டம்	davra	circle
வட்டார	mintaqaviy	regional
வட்டி	qiziqish	interest
வட்டு	disk	disk
வணக்கப்	ibodat	welcome
வணக்கம்	salom	wishing
வணங்கி	ibodat;	and worshiping
வணிக	biznes	commercial
வணிகக்	biznes	business
வணிகத்தில்	biznes	in business
வணிகப்	biznes	business
வணிகம்	biznes	commerce or trade
வணிகர்	savdogar	businessman
வண்டல்	cho&#39;kindilar	sediment
வண்ண	rangi	color
வண்ணம்	rangi	color
வதம்	qotillik	annihilated
வது	th	2nd
வத்திக்கான்	vatikan	vatican
வந்த	the	come
வந்ததால்	kelmoqda	come of
வந்தது	tashrif buyurdi	came
வந்தன	ajablanarlisi	there were
வந்தனர்	maui	came
வந்தவர்கள்	odamlar	descent
வந்தாச்சு	yetib keldi	has come
வந்தான்	keldi	he came
வந்தார்	keldi	came
வந்தாலும்	garchi	even if comes
வந்தால்	agar	coming to
வந்தாள்	u	she came
வந்திருக்கிறது	bo&#39;lgan	has come from
வந்து	kelinglar	coming
வந்துள்ளது	mana	occurrence
வந்துள்ளன	mana	run
வந்துள்ளனர்	bor	have come
வன	o&#39;rmon	forestry
வன்னி	vanni	vanni tree
வன்னியர்	vanniyar	vannier
வன்மி	hadron	strong photonic
வன்முறை	shafqatsiz	violence
வம்ச	sulolasi	dynasty
வம்சத்தின்	sulolasi	dynasty
வம்சம்	sulolasi	dynasty
வம்சாவழித்	fuqarolar	vamcavalit
வயதான	qarish	old
வயதிலேயே	yoshi	kids stage
வயதில்	yoshida	in age
வயது	yoshi	age
வயதுக்கு	yoshi	age
வயலின்	skripka	violin
வயிறு	oshqozon	stomach
வயிற்றில்	oshqozon	in stomach
வர	kelinglar	cycle
வரம்	boon	wish
வரலாம்	xush kelibsiz	may come
வரலாறு	tarix	history
வரலாறும்	tarix	history
வரலாற்றின்	tarix	historical
வரலாற்றில்	tarix	history
வரலாற்று	tarix	historical
வரலாற்றுக்	tarix	historic
வரலாற்றுக்கு	tarix	history
வரலாற்றுச்	tarix	historical
வரலாற்றையும்	tarix	in cloud history
வரவில்லை	kelmadi	didnt come
வரவு	hisoblangan	economic status
வரவேற்பு	qabul	welcome
வராமல்	forestall	not affect
வரி	chiziq	line
வரிசை	satr	order, line
வரிசைப்படி	buyurtma	in the order
வரிசையில்	satr	quie
வருக	xush kelibsiz	welcome back
வருகின்ற	the	forthcoming
வருகின்றனர்	sizlar	coming
வருகிறது	bu	coming to
வருகிறார்	bu	he is coming
வருகிறார்கள்	kelmoqda	coming
வருகை	tashrif	entry
வருக்கம்	varukkam	race
வருங்கால	istiqbolli	future
வருட	yil	year
வருடங்களாக	yillar davomida	yearly
வருடங்களில்	yillar ichida	in the years
வருடங்களுக்கு	yillar	years
வருடத்திற்கு	yil	per year
வருடத்தில்	yilda	in year
வருடந்தோறும்	har yili	yearly
வருடமும்	yil	years
வருடம்	yil	year
வருடாந்திர	har yili	yearly
வருதலும்	boshlandi	become
வருதல்	kelish	become
வருமான	daromadlar	income
வருமானத்தில்	daromadda	income
வருமானம்	daromad	income
வருமாறு	tashrif	comeforth
வரும்	kelmoqda	forth coming
வரும்போது	qachon kelsa	when it comes
வருவதற்கு	kelmoqda	before the victory
வருவதாலும்	oqim	because of coming
வருவதால்	agar bo&#39;lsa	coming from
வருவது	kelgusi	coming
வருவாயில்	daromadlar	in revenue
வருவாய்	daromad	income
வருஷம்	yil	year
வரை	yuqoriga	upto
வரைக்கும்	yuqoriga	till
வரைதல்	chizmalar	drawaing
வரைந்த	chizilgan	draw
வரைபடங்கள்	chizmalar	pictures
வரைபடத்தில்	xaritada	on the map
வரைபடம்	xarita	map
வரையப்படும்	chizilgan	drawn
வரையப்பட்ட	chizilgan	map
வரையறுக்கப்படுகிறது	belgilangan	having limited or defined
வரையறுக்கப்பட்ட	cheklangan	defined
வரையறுக்கிறது	belgilaydi	determining
வரையறை	ta&#39;rif	map
வரையறைகள்	ta&#39;riflar	limitations
வரையான	yuqoriga	during that period
வரையிலான	yuqoriga	till that
வரையிலும்	tayyor	upto that
வரையில்	ichida	limit
வரையும்	chizish	upto
வரைவிலக்கணங்கள்	formulalar	definitions
வரைவிலக்கணம்	ta&#39;rif	definition
வரைவு	qoralama	on of the principle of something about
வர்க்க	sinf	class
வர்க்கம்	sinf	people group
வர்த்தக	biznes	trade
வர்த்தகப்	biznes	market
வர்த்தகம்	biznes	business
வர்ம	varma	varma
வறட்சி	qurg&#39;oqchilik	draught
வறுமை	qashshoqlik	poorness
வறுமையில்	qashshoqlikda	in poor
வலது	to&#39;g&#39;ri	right
வலம்	to&#39;g&#39;ri	clockwise
வலயம்	zona	zone
வலி	og&#39;riq	pain
வலிமை	kuch	strength
வலிமையான	kuchli	strong
வலியுறுத்தி	ta&#39;kidlamoq	compal
வலியுறுத்தினார்	stress	enforce
வலியுறுத்தும்	qattiq turing	insist
வலு	kuch	strong
வலுவான	kuchli	strongly
வலை	internet	web
வலைச்	internet	web
வலைத்தளம்	veb-sayt	website
வலைப்	internet	net
வலைப்பக்கம்	veb-sahifa	webpage
வலைப்பதிவு	blog	blog
வலைப்பதிவுகள்	bloglar	blogs
வலைப்பூ	blog	blog
வலையமைப்பில்	tarmoq	formation
வலையமைப்பு	tarmoq	computer networking
வலையமைப்புகள்	tarmoqlar	network
வலையின்	internet	internet
வலையில்	internetda	internet
வல்லது	mumkin	good
வல்லமை	quvvat	stronger
வல்லவன்	vallavan	a talented
வல்லவை	-qabul qilaman	better
வல்லுநர்	professional	professional
வல்வில்	walda	valvil
வள	resurslar	fertile
வளங்களை	resurslar	wealth
வளங்கள்	manbalar	resources
வளமான	hosildor	prosper
வளம்	resurslar	resource
வளர	o&#39;sish	grow up
வளரும்	o&#39;sish	growing
வளர்	oziqlantiring	develop
வளர்கின்றன	o&#39;sish	growth
வளர்க்க	rivojlaning	develop
வளர்க்கப்படுகின்றன	yetishtirilgan	growing
வளர்க்கும்	rivojlantirmoq	developing
வளர்சிதை	metabolizm	growth variations
வளர்சிதைமாற்றம்	metabolizm	metabolic changes
வளர்ச்சிக்	o&#39;sish	development
வளர்ச்சிக்கு	o&#39;sish	growth
வளர்ச்சிப்	o&#39;sish	development
வளர்ச்சியடைந்த	ishlab chiqilgan	developed
வளர்ச்சியடைந்தது	grew	developed
வளர்ச்சியடைந்து	o&#39;sish	grown
வளர்ச்சியின்	rivojlanishi	development of
வளர்ச்சியில்	o&#39;sish	growth
வளர்ச்சியைக்	o&#39;sish	growth
வளர்ச்சியையும்	o&#39;sish	growth
வளர்த்த	munosabatlar	raised
வளர்த்தனர்	olmoqda	they brought up
வளர்ந்த	ishlab chiqilgan	grown up
வளர்ந்தது	grew	grown
வளர்ந்தார்	grew	growing
வளர்ந்து	yetishtirilgan	grown
வளர்ப்பு	madaniyat	rearing
வளாகம்	kompleks	complex
வளி	aerobik	gas
வளிமங்களின்	gazlardan	atomosphere
வளிமங்கள்	gazlar	gases
வளிமண்டல	atmosfera	atmosphere
வளிமண்டலத்தின்	atmosfera	atmosphere of
வளிமண்டலத்தில்	atmosfera	earth's surface
வளிமண்டலம்	atmosfera	atmosphere
வளிமம்	qayta tiklandi	carbonic anhydride
வளை	rampa	curve
வளைகுடா	ko&#39;rfaz	than katch
வளையம்	ring	rings
வளையல்	xiralashish	bangles
வளையாபதி	valaiyapati	a tamil epic
வளைவு	egri chiziq	turning
வள்ளலார்	jonli qidiruv	vallalar
வள்ளல்	xayriyachi	a generous person
வள்ளி	valli	valli
வள்ளுவர்	valluvar	thiruvalluvar
வழக்கத்திற்கு	an&#39;anaviy emas	usually
வழக்கத்தில்	amaliy	by custom
வழக்கமாக	odatda	customary
வழக்கமாகும்	an&#39;ana	a customary
வழக்கமான	shaxsiy	regular
வழக்கமும்	shaxsiy	culture
வழக்கம்	odatda	usually
வழக்கில்	agarda	case
வழக்கு	ish	case
வழக்குகள்	ishlar	cases
வழக்கும்	ish	a way of life
வழங்க	taklif	share
வழங்கப்படுகின்றது	taqdim etilgan	issue
வழங்கப்படுகிறது	taqdim etilgan	offered
வழங்கப்படும்	beriladi	provided
வழங்கப்பட்ட	berilgan	granted
வழங்கப்பட்டது	berilgan	was given
வழங்கப்பட்டு	taqdim etilgan	given
வழங்கி	a	provide
வழங்கினார்	taqdim etilgan	distributed
வழங்கிய	taqdim etilgan	give
வழங்கியது	taqdim etilgan	provided
வழங்குகின்றது	beradi	giving
வழங்குகின்றன	taklif	provide
வழங்குகிறது	takliflar	giving
வழங்குதல்	ta&#39;minlash	distributed
வழங்கும்	taklif	giving
வழங்குவது	taqdim etilgan	provided by
வழிகள்	yo&#39;llari	ways
வழிகாட்டி	qo&#39;llanma	guide
வழிபடும்	ziyoratgoh	prayerful
வழிபாடு	ibodat	praying
வழிமுறை	ko&#39;rsatma	protocol
வழிமுறைகளை	ko&#39;rsatmalar	following
வழிமுறைகளையும்	usullari	followers
வழிமுறைகள்	ko&#39;rsatmalar	ways
வழியாக	orqali	way
வழியாகத்தான்	orqali	through
வழியாகப்	orqali	by way of
வழியில்	yulda	on the way
வழியே	orqali	by the way
வழிவகுக்கிறது	qo&#39;rg&#39;oshinlar	leading to
வழிவகுத்தது	etakchi	given a route
வவுனியா	vavuniya	it
வா	kelinglar	come
வாகன	transport vositasi	vehicles
வாகனங்கள்	avtomobillar	vehicles
வாகனம்	transport vositasi	vehicle
வாக்களிப்பில்	ovoz berish	vote
வாக்கிய	hukm	words
வாக்கியம்	hukm	sentence
வாக்கில்	muallif:	during the reign
வாக்கு	ovoz bering	vote
வாக்குகளை	ovozlar	vote
வாக்குகள்	ovozlar	votes
வாக்குரிமை	ovozlar	voting right or franchise
வாக்கெடுப்பு	ovoz berish	census
வாங்க	xarid qiling	buy
வாங்கி	sotib oldi	to get
வாங்கிய	xarid qilingan	bought by
வாங்குதல்	xarid qilish	buy
வாங்கும்	xarid qilish	to purchase or to get
வாசகர்	o&#39;quvchi	reader
வாசகர்கள்	o&#39;quvchilar	viewers
வாசம்	uy-joy	smell
வாசல்	daraja	enterance , a gateway
வாசிப்பு	o&#39;qish	to pronunce
வாட்	vatt	watt
வாட்டர்	suv	water
வாதங்கள்	dalillar	argue
வாதம்	dalil	arguement
வாதிடுகின்றனர்	bahslashing	to argue
வாத்தியார்	o&#39;qituvchi	teacher
வாந்தி	kusish	vomit
வான	kamalak	space
வானம்	osmon	sky
வானவன்	vanavan	a person of kingly nature
வானியற்	vaniyar	meterological
வானியற்பியல்	astrofizika	astrophysics
வானியல்	astronomiya	astronomy
வானிலை	ob-havo	climate
வானில்	osmonda	in the sky
வானூர்தி	aviatsiya	aeroplane
வானூர்திகள்	xavfsizlik	airplane
வானொலி	radio	radio
வானொலிக்	radio	radop
வான்	havo	sky
வான்புலிகளின்	vanpulikal	aerial tigers
வான்புலிகள்	vanpulikal	aircraft
வாம்பைர்	vampire	vambayaer
வாயிலாக	orqali	by way of
வாயில்	og&#39;iz	in mouth
வாயில்கள்	darvozalar	entrance
வாயு	gazsimon	air
வாயுக்கள்	gazlar	gases
வாய்	og&#39;iz	mouth
வாய்ந்த	qimmatli	better
வாய்ந்தது	ta&#39;sirchan	is
வாய்ப்பு	imkoniyat	chances
வாய்ப்புகள்	imkoniyatlar	chances
வாய்ப்புக்கள்	istiqbollar	chances
வாய்ப்பும்	imkoniyat	oppertunity
வாய்ப்புள்ளது	moyil	chance's are there
வாய்ப்பை	taklif	chances
வாய்மொழி	og&#39;zaki	by orally
வார	haftada	weekly
வாரம்	hafta	week
வாரிசாக	qo&#39;shilish	heirs
வாரியாக	dono	by department wise
வாரியாகவோ	variyakavo	by
வார்த்தை	so‘z	sentance
வார்த்தைகள்	kalit so&#39;zlar	words
வார்த்தையானது	so&#39;z	the word
வார்த்தையின்	so&#39;z	word
வால்	dum	tail
வால்ட்	vault	walt
வால்மீகி	valmiki	poet valmiki
வால்மீன்கள்	kometalar	comets
வாள்	qilich	a long knife
வாழ	yashamoq	live
வாழிடங்கள்	yashash joyi	habitats
வாழும்	yashash	living
வாழை	banan	banana leaves
வாழைப்பழம்	banan	banana
வாழ்	yashash joyi	life
வாழ்க	yashasin	live long
வாழ்கின்றன	jonli	living
வாழ்கின்றனர்	jonli	live
வாழ்க்கை	hayot	life
வாழ்க்கைக்	tarjimai hol	life
வாழ்க்கைச்	tarjimai hol	life
வாழ்க்கைத்	yashash	life
வாழ்க்கையின்	hayotning	life
வாழ்க்கையில்	yashash	in their life
வாழ்க்கையும்	hayot	life
வாழ்க்கையை	hayot	life
வாழ்த்து	salomlashish	greetings
வாழ்நாளில்	hayot paytida	in life time
வாழ்நாள்	hayot paytida	lifetime
வாழ்ந்த	yashadi	live
வாழ்ந்தனர்	yashadi	had lived
வாழ்ந்தவர்	yashadi	lived
வாழ்ந்தார்	yashadi	lived
வாழ்ந்து	yashadi	living
வாழ்வினச்	yashash	living
வாழ்வின்	hayotning	life
வாழ்வியல்	hayot	life
வாழ்வில்	hayotda	in the life time
வாழ்வு	hayot	life
வாஷிங்டன்	vashington	washington dc
வாஸ்து	vastu	vasthu
வி	v	v , a letter
விகடன்	siqish	vikatan
விகிதங்கள்	stavkalar	ratio
விகிதத்தில்	muvofiq ravishda	ratio
விகிதம்	baholash	percentage
விகிதவியல்	vikitaviyal	stoichiometry
விக்கி	wiki	wiki
விக்கிகள்	vikikitob	wikis
விக்கிபீடியா	vikipediya	wikipedia
விக்கிப்பீடியா	vikipediya	wikipedia
விக்கிப்பீடியாவின்	vikipediya	wikepedia
விக்கிப்பீடியாவில்	vikipediya	wikipedia
விக்கிப்பீடியாவை	vikipediya	anger
விக்கிமீடியா	vikipediya	wikimedia
விக்கிரம	wickremaarachchi	vikrama
விக்சனரி	so‘z	a type of dictionary
விக்டோரியா	viktoriya	victoria (name)
விக்ரம்	vikram	vikram
விசாகம்	vikakam	visakam
விசாரணை	tekshiruv	enquiry
விசுவாச	imon	loyal
விசை	kalit	force
விசைகள்	tugmalar	speeds
விசைப்பலகை	klaviatura	an instrument
விசையால்	kuch bilan	forcing
விசையின்	kalit	of force
விஜயநகர	vijayanagar	vijayanagara
விஜயம்	tashrif	tour
விஜய்	vijay	vijay
விஞ்ஞான	ilm	science
விஞ்ஞானம்	ilm	science
விஞ்ஞானிகள்	olimlar	scientists
விட	ko&#39;proq	better than
விடக்	kamroq	better than
விடப்	kamroq	better than
விடப்பட்ட	yo&#39;qolgan	left
விடயங்களில்	muammolarda	matters
விடயங்களை	muammolar	evidence
விடயங்கள்	elementlar	matters
விடயமாக	masalan	matter
விடயம்	mavzu	vidayam
விடலாம்	mumkin	giveup
விடவும்	ketish	leave
விடாமல்	qabul qilish	letting
விடுகதை	topishmoq	riddles
விடுகின்றன	buzilishlar	leaving
விடுதலை	bo&#39;shatish	independence
விடுதலைக்கு	bo&#39;shatish uchun	rebuplic
விடுதலைக்குப்	bo&#39;shatish	liberation
விடுதலைப்	ozodlik	release
விடுதலைப்புலிகள்	yo&#39;lbarslar	liberation tigers
விடுதல்	optiklar	realesing
விடுத்த	shikoyat qilish	released
விடுத்தனர்	berilgan sana	have laid down
விடுபடு	qochish	escape, relieving
விடுமுறை	bayram	holiday
விடும்	oladi	will go
விடை	javob bering	answer
விட்ட	ega	succeeded
விட்டது	bor	confirmed
விட்டன	bor	have
விட்டனர்	bor	not followed
விட்டம்	diametr	diameter
விட்டார்	bor	left the contest
விட்டார்கள்	bor	left with
விட்டு	ketish	leave
விட்டுச்	ketish	leave that
விட்டுப்	qayerdan	leave
விண்	yuki	atmosphere
விண்கலம்	shuttle	satellite
விண்கல்	meteorit	asteroids
விண்டோஸ்	windows	windows
விண்ணில்	osmon	in sky
விண்ணோடி	astronavt	astronomer
விண்மீன்	burjlar	star
விண்மீன்கள்	yulduzli	asteroids
விண்வெளி	bo&#39;shliq	atmosphere
விண்வெளித்	bo&#39;shliq	aeronatics
வித	yaxshi	something
விதத்தில்	the	by way of
விதமாக	kimga	in that way
விதம்	qanday	style
விதி	maqola	rule
விதிகளின்	qoidalari	as per the principles
விதிகளை	qoidalar	rules
விதிகள்	qoidalar	rulse
விதிமுறைகள்	qoidalar	rules
விதிவிலக்காக	istisno	special case
விதை	urug &#39;	seed
விதைகளை	urug&#39;lar	seeds
விதைகள்	urug&#39;lar	seeds
வித்திட்டது	urug&#39;langan	shows the way
வித்தியாசத்தில்	yon	difference
வித்தியாசமான	turli xil	different
வித்தியாசம்	farqi	difference
வித்தியாலயம்	kollej	vittiyalayam
வித்துமூடியிலி	gimnosperm	gymnospermae
விநாயகர்	ganesha	lord ganesha
விநியோகம்	tarqatish	distribution
விந்து	sperma	sperm
விந்துப்	sperma	sperm
வினை	reaktsiya qiling	reaction
வினைச்சொல்	fe&#39;l	verb
வின்	the	of
வின்சி	vinchi	vinci
வின்டோஸ்	windows	windows
விபச்சாரம்	fohishalik	sexual business
விபத்து	baxtsiz hodisa	accident
விமர்சனங்கள்	sharhlar	criticism
விமர்சனம்	sharh	comment
விமான	parvoz	aeroplane
