$ tỉ	$ અબજ	$ billion
sắn	કાસાવા	cassava (n.)
sắp	લગભગ	soon
sắt	લોખંડ	"(term should be ""sắt son"") constant (adj.)"
sẵn	ઉપલબ્ધ	available
sẹo	ડાઘ	scar
sẻ	કરશે	share
sẽ	કરશે	will
sọ	ખોપરી	brain
sọc	પટ્ટાઓ	stripe
sỏ	સેસી	oligarchy
sỏi	કાંકરી	gravel
số	નંબર	"(term should be ""số lượng"") quantity (n.)"
sốc	આઘાત લાગ્યો	shock
sống	જેમાં વસવાટ કરો છો	live
sốt	તાવ	fever
sồi	ઓક	oak
sổ	પુસ્તક	window
sớ	કરશે	document
sớm	જલ્દી	som
sờ	સ્પર્શ	touch
sỡ	ચૂકી	colorful
sợ	ભયભીત	afraid
sợi	યાર્ન	fibers
sục	જાકુઝી	"(term should be ""sôi sục"") to boil"
sụn	કોમલાસ્થિ	cartilage
sụp	પતન	collapse
sụt	મંદી	drop
sủa	છાલ	bright
sủi	તેજસ્વી	sparkling
sủng	પ્રભાવશાળી	favored
sứ	સિરામિક	embassy
sứa	જેલીફિશ	jellyfish (n.)
sức	તાકાત	strength
sứt	ચીપ્ડ	cleft
sừng	શિંગડા	sừng sững= huge
sử	ઇતિહાસ	"(term should be ""sử dụng"") to use (v.)"
sửa	સમારકામ	repair
sửng	આઘાત લાગ્યો	startling
sửu	બળદ	cow
sữa	દૂધ	milk
sự	આ	situation
ta	તા	us or our
tae	તાઈ	(proper noun) tae
tag	ટેગ	tag
tai	કાન	ear
taiji	તાઇજી	(proper noun) taiji
taipei	તાઈપેઈ	taipei
taiwan	તાઈવાન	taiwan
taj	તાજ	taj, as in taj mahal
tajikistan	તાજકીસ્તાન	tajikistan
tajima	તાજીમા	tajima
tajiri	તાજીરી	tajiri
takahashi	તકહાશી	(proper noun) takahashi
taklamakan	તકલામકન	taklamakan
tali	તાલ	thallium
taliban	તાલિબાન	taliban
talmud	ટેલમડ	talmud
tam	ટામ	three (n.)
tamoxifen	tamoxifen	tamoxifen
tanaka	તનાકા	tanaka
tang	શોક	funeral
tanh	માછલીયુક્ત	deserted
tankōbon	ટાંકીબōન	tankobon, as in a type of japanese literature
tanzania	તાંઝાનિયા	tanzania
tao	હું	(proper noun) tao, a chinese name
tarim	ટેરિમ	tarim
task	કાર્ય	task
tasman	તાસ્માન	tasman, as in abel tasman
tasmania	તસ્માનિયા	tasmania, a place
tau	ટau	tau
taxi	ટેક્સી	taxi
tay	હાથ	hand
taylor	ટેલર	taylor
tbt	ટીબીટી	tbt
tchad	tchad	tchad
tcm	ટીસીએમ	tcm
tcp	tcp	tcp
technical	તકનીકી	technical
ted	ટેડ	(proper noun) ted
teddy	ટેડી	teddy, as in teddy lupin, a character in the harry potter series
telecom	ટેલિકોમ	telecom
telekom	ટેલિકોમ	telekom
telex	ટેલિક્સ	telex
telnet	ટેલનેટ	telnet
tem	ટિકિટ	stamp
temple	મંદિર	temple
temujin	temujin	temujin
temur	તેમૂર	(proper noun) temur, as in temur oljeitu
tenxơ	કાર્ટેલ	tensor
teo	એટ્રોફિક	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	પ્રદેશો	territories
terry	ટેરી	terry
terumbu	terumbu	(proper noun) terumbu
tet	ટેટ	tet
texas	ટેક્સાસ	(proper noun) the state of texas
tgv	tgv	tgv
tha	બહાનું	to forgive (v.)
thai	ગર્ભવતી	pregnant
thailand	થાઇલેન્ડ	thailand
tham	લોભ	involved
thames	થેમ્સ	thames
than	ચારકોલ	coal
thang	સીડી	ladder
thanh	બાર	youth
thani	થેની	thani
thao	રમતો	sport
thau	પિત્તળ	a basin (n.)
thay	તેના બદલે	change
thcn	thcn	vocational school
thcs	thcs	secondary
thdq	thdq	thdq
thebes	thebes	thebes
their	તેમના	their
them	તેમને	plus
then	પછી	key
theo	અનુસાર	according to
theory	સિદ્ધાંત	thẻoy
theravada	થેરવાડા	theravada
theres	ત્યાં	there
theseus	થિયસ	theseus, the greek hero
thi	પરીક્ષા	competition (n.)
thich	ગમે છે	explanation
thien	thien	sky
third	ત્રીજું	thỉd
thiu	વાસી	buồn thiu= sad/boring
thiêm	થાઇમ	thiem
thiêng	પવિત્ર	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	ટીન	tin
thiến	ન્યુટ્ર	castrate
thiếp	કાર્ડ	concubine
thiết	સમૂહ	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	ટૂંકું	lack
thiềm	સિકલ	crescent
thiền	ધ્યાન	buddhist (adj.)
thiển	બતાવો	superficial
thiểu	સગીર	minimum
thiện	સારું	good
thiệp	કાર્ડ	intervene
thiệt	ખરેખર	damage
thiệu	પરિચય	"(term should be ""giới thiệu"") to introduce (v.)"
tho	થો	tho
thoa	ડબ	combination
thoai	થોઇ	gentle
thomas	થોમસ	thomas
thompson	થomમ્પસન	thompson
thong	વાહિયાત	(proper noun) thong, as in ang thong
those	તે	those
thoái	રીગ્રેસિવ	deterioration
thoán	અનુમાન	usurpation
thoáng	હવાયુક્ત	"(term should be ""thoáng qua"") to pass quickly"
thoát	બહાર નીકળો	drainage
thoại	ફોન	telephone
thoạt	પ્રથમ નજરમાં	just (adv.)
thoả	સોદો	compromise
thoải	આરામદાયક	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	ક્યારેક ક્યારેક	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	પ્રોમ્પ્ટ	suddenly
thpt	thpt	high school
thriller	રોમાંચક	thriller
thskts	થ્સ્કસ્ટ્સ	phd- architect
thua	ગુમાવો	defeat
thumb|các	અંગૂઠો | આ	thumb|many
thunderbolt	વીજળીનો અવાજ	thunderbolt
thung	ખીણ	valley
thuyên	વિસ્થાપન	a name
thuyết	સિદ્ધાંત	theory
thuyền	બોટ	boat
thuê	ભાડા માટે	employ
thuần	શુદ્ધ	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	સંઘર્ષ	support
thuận	ગુણ	favourable
thuật	કલા	term
thuế	કર	tax
thuốc	દવા	medicine (n.)
thuộc	સંબંધિત	belong
thuớc	પાણી	"(term should be ""kích thước"") dimensions of an object"
thuờng	સામાન્ય રીતે	usually
thuở	બાળપણ	period
thuỵ	થુ	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	થુ	water
thvn	thvn	vietnam television
thy	તારું	thy
thà	બદલે	honest
thành	કિલ્લો	"(term should be ""hình thành"") to take shape"
thày	શિક્ષક	teacher
thác	કાસ્કેડ	harvest
thách	પડકાર	challenge
thái	થાઇ	attitude
thám	ડિટેક્ટીવ	to spy (v.)
tháng	માસ	month (n.)
thánh	ધો	a holy person; a saint (n.)
tháo	દૂર કરો	"(term should be ""tháo chạy"") to run with abandon"
tháp	ટાવર	tower
thâm	.ંડા	penetrate
thâu	ટેપ કરેલ	to collect (v.)
thây	જુઓ	body
thãi	છી	superabundant
thèm	તૃષ્ણા	desire
thép	સ્ટીલ	steel
thét	ચીસો પાડી	shout
thê	આ	category
thêm	વધુ	more
thêu	ભાડુ	to embroider (v.)
thìa	ચમચી	spoon
thìn	પછી	(proper noun) thìn, the year of the dragon
thình	અચાનક	"(term should be ""thình lình"") suddenly"
thí	પ્રયોગો	(with word du) for example
thít	પાતળું	(proper noun) mân thít, a district in vietnam
thò	પોક્ડ	tho
thòi	ગેરલાભ	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	ડાંગર	grain (n.)
thói	આદત	a habit (n.)
thô	રફ	rough, old-fashioned
thôi	ચલ	only
thông	માહિતગાર	"(term should be ""thông thường"") usual (adj.)"
thù	ઝઘડો	"entire term should be ""ke thu""; means ""enemy"""
thùng	ડબ્બા	barrel
thùy	લોબ	thuy
thú	રસપ્રદ	"(should be ""thích thú"") pleasurable"
thúc	અંત	push
thúy	થુ	thuy
thăm	મુલાકાત	visit
thăng	બઢતી	helicopter
thơm	સુગંધિત	aromatic
thư	અક્ષરો	"(term should be ""ung thư"") cancer (n.)"
thưa	પ્રિય	sparse
thương	પ્રેમ	love
thước	શાસક	ruler
thường	ઘણી વાર	usually (adv.)
thưởng	પુરસ્કાર	to reward (v.)
thược	થડ	(proper noun) thược
thượng	અપર	upper
thạc	માસ્ટર	master
thạch	જેલી	rock or stone (n.)
thạnh	થેન્હ	thanh
thạo	નિષ્ણાત	fluent
thả	છોડો	"(term should be ""thả lỏng"") to let loose (v.)"
thải	કચરો	waste
thảm	કાર્પેટ	carpet or rug (n.)
thản	શાંત	calmly
thảo	સુંદર	"(term should be ""hội thảo"") a workshop (n.)"
thấp	ટૂંકું	low (adj.)
thấu	ઘૂસી	penetrate
thầm	શાંતિથી	"(term should be ""thì thầm"") to whisper (v.)"
thần	ભગવાન	"entire term should be ""tinh than""; means ""of the mind"""
thầy	શિક્ષક	teacher (n.)
thẩm	જૂરીઓ	osmotic/leak
thẫm	શ્યામ	dark
thận	કિડની	careful
thập	ક્રોસ	tens
thật	વાસ્તવિક	true (adj.)
thắm	પાંખડી	tham
thắn	પ્રમાણિકપણે	frank
thắng	જીત્યો	win
thắngthua	વિજેતા	win-lose
thắp	પ્રકાશ	light
thắt	ગૂંચ	tense
thằn	ગરોળી	"entire term should be ""than lan""; means ""lizard"""
thằng	ગાય	a derogatory term for a man (n.)
thẳm	.ંડા	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	સીધા	horizontal
thặng	સરપ્લસ	surplus
thẹn	શરમજનક	shameful
thẻ	કાર્ડ	card
thế	તેથી	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	સ્ટીલ	steel
thề	શપથ લેવો	swear
thềm	છાજલી	shelf
thể	હોઈ	maybe
thỉnh	આમંત્રિત	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	પ્રચલિત	prosperous
thịt	માંસ	meat (n.)
thọ	દીર્ધાયુષ્ય	phu tho
thọc	જબ	jab
thỏ	સસલું	rabbit
thỏa	કરાર	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	પિગ	a bar (n.)
thối	સડેલું	smelly
thốt	ઉચ્ચાર્યું	scream
thồ	પેક	to transport via horse (v.)
thổ	પૃથ્વી	"(term should be ""lãnh thổ"") territory (n.)"
thổi	તમાચો	blow
thớt	અદલાબદલી બોર્ડ	sparse
thời	સમય	period
thở	શ્વાસ	breathe
thợ	કામદાર	craftman
thụ	રીસેપ્ટર	"(term should be ""thụ thai"") to become pregnant"
thục	શુ	(proper noun) a vietnamese first name
thụt	ઇન્ડેન્ટેડ	clyster
thủ	પ્રાઇમ	masturbate
thủa	થુઆ	during childhood
thủng	છિદ્ર	having holes
thứ	વસ્તુઓ	no.
thức	જાગૃત	way
thừa	નિરર્થક	redundant
thừng	દોરડું	"(term should be ""thẳng thừng"") mercilessly"
thử	પ્રયત્ન કરવો	try
thửa	પાર્સલ	square
thự	વિલા	mansion
thực	વાસ્તવિક	perform
ti	ટિ	titov
tia	રે	ray
tiananmen	ટિયાનનમેન	tiananmen
tiara	મુગટ	tiara
tibet	તિબેટ	(proper noun) tibet
tigris	ટાઇગ્રિસ	tigris
tiliaceus	tiliaceus	hoa dam but
tim	હૃદય	heart
timor	ટિમોર	timor
timothy	ટિમોથી	timothy
tin	માને છે	believe
tinbắc	સંદેશ	file bac
tincầu	ટીન બ્રિજ	file bridge
tinh	ગ્રહ	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	સમાચાર	file river
tinthị	નવમી	file: town
tirol	tirol	tirol
tisdale	tisdale	tisdale
tish	ટિશ	(proper noun) tish
tissa	પેશી	(proper noun) tissa, as in moggaliputta tissa
tivi	ટેલિવિઝન	television
tizard	ગરોળી	(proper noun) tizard
tiên	પ્રથમ	first
tiêu	મરી	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	અફસોસ	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	ગૂફી	seize
tiến	ઉપર	operate
tiếng	ભાષા	language
tiết	સ્ત્રાવ	abstinence/intensity
tiếu	ગૂફી	"(should be ""đàm tiếu"") to sneer"
tiềm	સંભવિત	potential
tiền	પૈસા	money (n.)
tiều	છી	(proper noun) the name of a poet
tiểu	pee	tiểu sử= biography
tiễu	શ્રી લિયુ	patrol
tiệc	તહેવાર	party
tiệm	દુકાન	shop
tiện	અનુકૂળ	mean
tiệp	ઝેક	gustav franck
tiệt	વાહિયાત	sterilize
tncs	tncs	communist youth union
tngt	tngt	traffic accidents
tnhh	મર્યાદિત	limited
toang	તોંગ	fast
tobago	ટોબેગો	tobago
toei	toei	toei
tokugawa	ટોકુગાવા	tokugawa
tokyo	ટોક્યો	tokyo, the capital of japan
tokyopop	ટોક્યોપopપ	tokyopop
tomas	ટોમસ	(proper noun) tomas
tommy	ટોમી	tommy
tomoyo	ટોમોયો	tomoyo
tony	ટોની	tony
toonami	ટૂનામી	(proper noun) toonami
top	ટોચ	top
torino	ટોરીનો	torino, as in the italian city
toriyama	તોરીમા	(proper noun) toriyama
tottenham	ટી ટોટનહામ	tottenham
tourism	પ્રવાસન	tourism
tourist	પર્યટક	tourist
toyama	તોયમા	toyama
toyota	ટોયોટા	(proper noun) toyota
toà	કોર્ટ	office
toàn	સલામત	entire or whole (adj.)
toán	ગણિત	team
toát	સારું	to exude or emit, as in sweat (v.)
toạ	સંકલન	locate
toại	પર	satisfaction
toả	રેડિયેટ	spread
tp	ટીપી	city
tphcm	tphcm	ho chi minh city
tphồ	શહેર	city ho
tpvĩnh	શહેર	vinh city
tqlc	tqlc	marine
trafalgar	trafalgar	(proper noun) trafalgar
trafford	વેપારી	trafford in greater manchester
trai	મસલ	boy
trang	પાનું	a page (n.)
tranh	ચિત્રો	to compete (v.)
trao	સોંપી દીધું	reward
trau	trau	polish
tre	વાંસ	bamboo (n.)
treo	અટકી	hang
tri	ત્રિ	tri
tribune	ટ્રિબ્યુન	a name
trinh	કુમારિકા	"(should be ""trinh bạch"") virtuous"
trinidad	ત્રિનિદાદ	trinidad
trinity	ત્રૈક્ય	trinity
tristan	ટ્રિસ્ટન	tristan
triết	ફિલસૂફી	philosophy
triền	ટ્રાયન	"(should be ""triền miên"") endless"
triều	ભરતી	court
triện	સીલ	stamp
triệt	સંપૂર્ણ રીતે	completely
triệu	મિલિયન	a million
tro	રાખ	ashes
troia	ટ્રોઆ	troy
trondheim	ટ્રondન્ડહેમ	trondheim
trong	માં	inside (adv.)
true	સાચું	true
truman	ટ્રુમmanન	(proper noun) truman
trung	મધ્ય	"(term should be ""trung gian"") agent (n.)"
trungnhật	પ્રામાણિકતા	china-japan
truong	સાચી	truong
truyên	ટ્રુયેન	story
truyện	વાર્તા	story
truân	truân	arduous
truất	અપમાનકારક	cancel
truởng	મુખ્ય	leader (n.)
truỵ	જૂઠું બોલો	depraved
trà	ચા	tea (n.)
tràm	કજુપુટ	melaleuca
tràng	કોલોન	"entire term should be ""truc trang""; means ""rectum"""
trào	વિસ્ફોટ	movement
trác	ટ્રેક	trac
trách	દોષ	blame
trái	ડાબી	against
trán	કપાળ	forehead
tráng	કોટેડ	to coat (v.)
tránh	ટાળો	to avoid (v.)
tráo	કપટથી	tráo trở= liar/betrayal/treacherous
tráp	બ .ક્સ	casket
trát	વોરંટ	pile
trâm	બ્રોચ	a type of elegant hairpin (n.)
trân	શ્રેષ્ઠ શુભેચ્છા	respect
trâu	ભેંસ	a last name
trãi	વેરવિખેર	trai
trèo	ચ .ી	climb
trên	પર	above
trình	સબમિટ	process
trí	મન	intellectual
trích	અવતરણ	to extract (v.)
trò	યુક્તિ	role
tròn	ગોળ	rounding
trói	જોડાણ	tie
trôi	વહી રહ્યું છે	afloat
trông	દેખાય છે	look
trùm	બોસ	cover
trùng	એકરુપ	"(should be ""tinh trùng"") sperm"
trùy	ટ્રુય	something to with monk
trú	બોર્ડિંગ	residence
trúc	વાંસ	structure
trăm	સો	hundred
trăn	અજગર	"(term should be ""trăn trở"") to ponder (v.)"
trăng	ચંદ્ર	moon
trĩ	હેમોરહોઇડ્સ	hemorrhoids
trũng	ડૂબી ગયો	medium
trơ	જડ	bare
trơn	લપસણો	slippery (adj.)
trư	ટ્રુ	a pig (n.)
trưa	બપોર	noon (n.)
trưng	વિનંતી	symbolic
trưngcông	પ્રદર્શિત	truongcong
trương	ટ્રુઓંગ	policy
trước	પહેલાં	front
trước 	પહેલાં	front
trướng	વિસ્તરણ	expand
trườn	ક્રોલ	crawl
trường	શાળા	case
trượng	કેડ્યુસિયસ	a unit of length used in vietnam equal to 4 meters (n.)
trượt	સ્લાઇડ કરવા માટે	slide
trạch	ટ્રેચ	ze
trại	શિબિર	camp
trạm	સ્ટેશન	station
trạng	શરત	situation
trạo	તાઓ	trao
trả	ચૂકવણી	to return
trải	કવર	spread
trảm	કાસ્કેટો	beheaded
trảo	machetes	trao
trấn	નગર	town
trấu	ચોખાની ભૂકી	rice skin
trầm	.ંડા	depression
trần	એકદમ	tran
trầu	સોપારી	trầu
trầy	ખંજવાળી	scratch
trẩy	બાઉન્સ	pilgrimage
trẫm	હું છું	i
trận	મેચ	battle
trật	અવ્યવસ્થિત	order
trắc	બાયોમેટ્રિક્સ	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	સફેદ	white
trặc	હિચક	"entire phrase is ""truc trac""; means ""problem"""
trẻ	યુવાન	youth
trễ	અંતમાં	late
trệ	સ્થિર	bamboo
trị	સારવાર	cure
trịnh	ઝિગઝેગ	trịnh, a vietnamese last name
trọ	ધર્મશાળા	motel
trọn	ભરેલું	whole
trọng	મહત્વપૂર્ણ	serious
trỏ	પોઇંટર્સ	index
trối	અંતિમ	last words
trốn	છુપાવો	to hide
trống	ખાલી	in
trồi	ઉભરતા	to emerge (v.)
trồng	વધવા	plant
trổ	બતાવો	to burst open or display
trỗi	ઉદભવ	rise
trội	પ્રબળ	better
trộm	ચોરો	theft
trớn	વહાલ	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	ભગવાન	sun
trợ	આધાર	support
trụ	ઓફિસ	universe
trục	અક્ષ	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	નગ્ન	"(term should be ""trơ trụi"") bare (adj.)"
trứ	ટ્રુ	famous
trứng	ઇંડા	egg
trừ	બાદબાકી	except
trừng	ઝગઝગતું	punish
trừu	ઘેટાં	abstract
trữ	સંગ્રહ	reserve
trực	ફરજ પર	direct
ts	ટી.એસ.	phd
tt	ટીટી	news
tua	તંબુ	fringe
tucker	ટકર	tucker, an english last name
tudor	ટ્યુડર	(proper noun) tudor, as in the tudor family
tukhachevsky	તુખાચેસ્કી	(proper noun) tukhachevsky
tulip	ટ્યૂલિપ	tulip
tum	ટમ	tum
tung	ટssસ	release
tupolev	ટ્યુપોલેવ	tupolev, as in alexei tupolev
tuscan	ટસ્કન	(proper noun) tuscan
tutsi	તુત્સી	(proper noun) tutsi
tuvalu	તુવાલુ	(proper noun) tuvalu, a polynesian island nation
tuy	જોકે	however
tuyên	જાહેર કરો	"(should be ""tuyên ngôn"") a declaration"
tuyết	બરફ	snow (n.)
tuyền	tuyen	tuyen
tuyển	ભરતી	recruit
tuyệt	મહાન	excellent (adj.)
tuân	પાળવું	comply
tuông	ફ્લશ	jealous
tuý	તુયý	drug
tuần	અઠવાડિયું	week
tuế	મિનોઝ	years
tuệ	ડહાપણ	intelligence
tuốc	લૂંટવું	turbine
tuổi	વર્ષ જુનું	age
tuộc	ઓક્ટોપસ	octopus
tuột	કાપલી	slip
tuỳ	વૈકલ્પિક	depend
tv	ટેલિવિઝન	tv
tvb	ટીવીબી	tvb
twin	જોડિયા	twin
twitter	twitter	twitter
ty	ty	company
type	પ્રકાર	type
typhon	ટાઇફન	typhon
tà	દુષ્ટ	we
tài	નસીબ	talent (n.)
tàn	રાખ	dying
tàng	સંગ્રહાલય	"(should be ""bảo tàng"") a museum"
tành	તન્હ	shatter
tàu	વહાણ	ship
tá	ડઝન	"(term should be ""thiếu tá"") major (n.)"
tách	કપ	to separate
tái	ફરી	return
tám	આઠ	eight
tán	છત્ર	support
tánh	તન્હ	life
táp	નળ	to lap at (v.)
táu	દોષિત	ashton
tâm	કેન્દ્ર	tâm
tâu	મારા ભગવાન	peach
tây	પશ્ચિમ	western
tâynam	વેસ્ટનમ	"(should be ""tây-nam"") southwest"
tã	ડાયપર	diaper
tét	ચીસો	tet
tê	સુન્ન	numb
tên	નામ	name (n.)
tì	બરોળ	to lean on (v.)
tìm	શોધો	find
tìmdiệt	શોધ	find-kill
tình	પ્રેમ	sex
tía	જાંબલી	dad
tích	ઉત્પાદન	"(term should be ""tích cực"") to be zealous (adv.)"
tím	વાયોલેટ	purple
tín	ક્રેડિટ્સ	"(entire term should be ""tín dụng"") credit"
tít	હેડલાઇન	"(term should be ""tít mù"") very far away (adv.)"
tò	જિજ્ .ાસા	curious
tòa	કોર્ટ	a court
tòi	સામગ્રી	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	ટોંગ	tòng, a last name
tóm	કમ્પેન્ડિયમ	summary
tô	બાઉલ	car
tôi	હું	i
tôm	ઝીંગા	shrimp
tôn	લહેરિયું	venerate
tông	કાર્ડબોર્ડ	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	જેલ	prison
tùng	ફાજલ	tung
tùy	વૈકલ્પિક	depend on
túc	પર્યાપ્તતા	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	હેન્ડબેગ	pocket
túm	પડાવી લેવું	catch
túng	બેડોળ	confuse
túp	ઝૂંપડું	hut
túy	દવા	"(term should be ""thuần túy"") pure (adj.)"
tý	ઉંદર	mouse, as in year of the mouse
tăm	ટૂથપીક	"(term should be ""tiếng tăm"") reputation"
tăng	વધારો	increase
tĩnh	સ્થિર	calm
tơi	હું	ragged
tư	માંથી	posture
tưng	અસ્થિર	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	તાજી	fresh
tương	સમાન	"(term should be ""tương tự"") to be similar to"
tước	છીનવી લેવું	title (n.)
tưới	પ્રાણીઓની પાણી પીવાની	irrigation
tướng	સામાન્ય	prime minister (thu tuong)
tường	દિવાલ	"a common vietnamese first name; means ""wall"""
tạ	પટ્ટી	weight
tạc	શિલ્પ	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	માં	survival
tạm	કામચલાઉ	temporary
tạo	બનાવો	create
tạp	સામયિક	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	વર્ણન	describe
tản	લુપ્તતા	disperse
tảng	પ્લેટફોર્મ	platform
tấc	ઇંચ	inch
tấm	પ્લેટો	mirror
tấn	ટન	tan
tấp	ખેંચાય	crowded
tất	મોજાં	all
tấu	વાદ્ય	tau
tầm	રમતો	range or extent (n.)
tần	આવર્તન	"(term should be ""tần số"") frequency (n.)"
tầng	ફ્લોર	layer
tầu	ટ્રેન	ship
tẩm	ગર્ભિત	soak
tẩy	ઇરેઝર	to bleach
tận	અંત	dedicated
tật	અપંગતા	disease
tắc	સ્વીચો	priciple
tắm	શાવર	bathing
tắt	બંધ કરો	initial
tặc	હેકરો	"(term should be ""hải tặc"") a pirate (n.)"
tặng	દાન કરો	donate
tẻ	drab	lẻ tẻ= scattered
tết	ટેટ	(proper noun) the vietnamese new year
tếxã	આર્થિક રીતે	economy - society
tề	ક્વિ	tidy
tể	મિસ્ટર	lord
tệ	ખરાબ	bad
tệp	ફાઇલ	file
tỉa	ટ્રીમ	"(term should be ""bắn tỉa"") to snipe"
tỉnh	પ્રાંતીય	province
tị	ઈર્ષ્યા	refugee
tịch	રાષ્ટ્રપતિ	"(""chủ tịch"") president or chairman"
tọa	સંકલન	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	વ્યક્ત કરેલ	to
tỏa	રેડિયેટ	radiate
tỏi	લસણ	garlic
tốc	ગતિ	speed
tốn	કિંમત	to cost (v.)
tống	એસ્કોર્ટ	dispose
tốp	જૂથ	top
tốt	સારું	good
tồi	ખરાબ	bad
tồn	અસ્તિત્વમાં છે	exist
tổn	નુકસાન	damage
tổng	કુલ	president
tộc	કુળ	"(term should be ""dân tộc"") a race or people"
tội	પાપ	crime
tột	આત્યંતિક	extreme
tớ	મને	servant
tới	આગળ	to the point
tờ	ચાદર	paper/document
tởm	ઘૃણાસ્પદ	disgusting
tục	અપવિત્ર	"(term should be ""tập tục"") customs or practices"
tụy	સ્વાદુપિંડ	"(term should be ""tận tụy"") devoted (adj.)"
tủ	મંત્રીમંડળ	shelf
tủi	ખરાબ	humiliated
tủy	મજ્જા	spine
tức	ત્વરિત	i.e.
từ	માંથી	from
từng	ક્યારેય	each
tử	મૃત્યુ	lion (su tu)
tửu	દારૂ સહનશીલતા	wine
tự	સ્વ	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	શીર્ષક	lean
tựu	સિદ્ધિઓ	achievement
tỵ	સાપ	the han name for the year of the snake, according to the chinese zodiac
tỷ	અબજ	billion
u	યુ	tumor
ua	યુએ	ua
uae	uae	uae
ubuntu	ઉબુન્ટુ	ubuntu
uc	uc	uc
uchiha	uchiha	uchiha
uefa	યુએફએ	uefa
uh	ઉહ	uh
uk	યુકે	uk
ukiyoe	ukiyoe	ukiyoe
ukraina	યુક્રેના	ukraine
ulsan	ulsan	ulsan
umm	અમ	umm
un	અન	(proper noun) un, as in chung un chan of korea
und	અન	und
under	હેઠળ	under
unesco	યુનેસ્કો	unesco
ung	સડેલું	cancer
unicorn	શૃંગાશ્વ	unicorn
unit	એકમ	unit
unix	યુનિક્સ	unix
up	યુપીએસ	up
ural	યુરલ	ural, as in the ural mountains
urani	યુરેનિયમ	uranium
uri	uri	uri, a former political party in south korea
uruguay	ઉરુગુય	uruguay
usagi	usagi	usagi
usb	યુએસબી	usb
uss	યુએસ	uss
utah	ઉતાહ	utah
utrecht	utrecht	(proper noun) utrecht
uy	uy	"(term should be ""uy lực"") power (n.)"
uyghur	uyghur	(proper noun) uyghur
uygur	યુગુર	uygur
uyên	yયenન	scholarly
uyển	વ્યક્તિત્વ	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	ઉઝબેકિસ્તાન	uzbekistan
uông	યુઓંગ	uong
uất	uất	busy
uốn	કર્લિંગ	to curl (v.)
uống	પીવા માટે	to drink
uổng	વ્યર્થ	vain
v	વી	v
va	va	collide
vaccine	રસી	vaccine
vai	ખભા	shoulder
valencia	વેલેન્સિયા	valencia
valentine	વેલેન્ટાઇન	valentine
valley	ખીણ	valley
van	વાલ્વ	"(term should be ""van xin"") to beg (v.)"
vanessa	વેનેસા	vanessa
vargas	વર્ગાસ	(proper noun) vargas
vasari	વસારી	vasari
vay	ઉધાર	borrow
vectơ	વેક્ટર	vector
ven	સાથે	"(term should be ""ven biển"") coastal (adj.)"
vendôme	વિક્રેતા	vendome
venezia	વેનેઝિયા	venice
venus	શુક્ર	venus
verdun	ક્રમમાં	verdun
vermont	વર્મોન્ટ	vermont
verona	વેરોના	(proper noun) the city of verona
versailles	વર્સેલ્સ	(proper noun) versailles
vhs	vhs	vhs
vi	કારણ કે	behavior
viagra	વાયગ્રા	viagra
victor	વિજેતા	(proper noun) victor
victoria	વિક્ટોરિયા	victoria, a province of australia
vienna	વિયેના	(proper noun) vienna, austria
viet	વિએટ	vietnamese
vietnam	વિયેટનામ	vietnam
viettel	વિએટેલ	viettel
viii	viii	eighth
vijaya	વિજયા	(proper noun) vijaya
viking	વાઇકિંગ	viking
villa	વિલા	villa
villeneuve	villeneuve	(proper noun) villeneuve, a french last name
vinagame	વિનાગમે	vinagame
vinashin	વિનાશિન	vinashin
vince	વિન્સ	(proper noun) vince, as in vince mcmahon
vincennes	વિન્સ્નેસ	vincennes
vincent	વિન્સેન્ટ	vincent
vinpearl	વિનપર્લ	vinepeal
viqr	viqr	viqr
virginia	વર્જિનિયા	(proper noun) virginia, as in the state
