$	dollar təşkil edib	a sign of doller
વપરાશકર્તા	i̇stifadəçi	consumer
વપરાશકર્તાઓ	i̇stifadəçilər	users
વપરાશકર્તાઓએ	i̇stifadəçilər	by consumers
વપરાશકર્તાઓને	i̇stifadəçilər	to consumer
વપરાશકર્તાને	i̇stifadəçiyə	to the consumer
વપરાશકારો	i̇stifadəçilər	users
વપરાશને	giriş	usage
વપરાશમાં	i̇stifadə olunur	in use
વફાદાર	sadiq	loyal
વફાદારી	sadiqlik	faith
વય	yaş	age
વયના	yaşlandı	age of
વયે	yaş	at the age
વરદાન	nemət	favour of blessing
વરસ	i̇l	year
વરસાદ	yağış	rain
વરસાદની	yağışın	rainy
વરાળ	buxar	vapor
વરિષ્ઠ	baş	senior
વર્ક	i̇şləyin	work
વર્ગ	sinif	class
વર્ગના	sinifdən	of
વર્ગને	sinif	class
વર્ગમાં	sinifdə	category
વર્ગીકરણ	təsnifat	distribution
વર્ગીકૃત	təsniflər	classified
વર્ગો	dərslər	classes
વર્ચસ્વ	üstünlük	control
વર્ચ્યુઅલ	virtual	virtual
વર્જિન	bakirə	virgin
વર્ઝન	versiya	version
વર્ઝનમાં	versiyada	version
વર્ડ	söz	word [in english]
વર્ણ	yarış	castes
વર્ણન	təsvir	description
વર્ણનો	təsvirlər	discription
વર્ણમાળા	əlifba	alphabet
વર્ણવવામાં	təsvir edilmişdir	describe,
વર્ણવી	təsvir edilmişdir	explained
વર્ણવે	təsvir edir	explain
વર્ણવ્યા	təsvir edilmişdir	as described
વર્તણૂંક	davranış	behave
વર્તન	davranış	behaviour
વર્તમાન	cari	present
વર્તમાનમાં	hal hazırda	at present
વર્તુળ	dairə	circle
વર્તુળાકાર	dairəvi	circular
વર્તુળો	dairələr	circles
વર્લ્ડ	dünya	world
વર્ષ	i̇l	year
વર્ષથી	i̇llər	since a year
વર્ષના	i̇lin	year
વર્ષનાં	i̇lin	years
વર્ષની	i̇lin	ot the year
વર્ષનું	i̇lin	of a year
વર્ષનો	i̇lin	year's
વર્ષમાં	i̇ldə	in the year, during the year
વર્ષા	yağış	rain
વર્ષે	i̇l	that year
વર્ષો	i̇llər	years
વર્ષોં	i̇llər	years
વર્ષોથી	i̇llər keçdi	since years
વર્ષોમાં	i̇llər keçdi	in the years
વલણ	münasibət	trend
વલયમાં	üzükdə	ring
વલસાડ	valsad	valsad
વલ્લભ	vallabh	vallabh
વલ્લભભાઈ	vallabhbhai	vallabhbhai
વલ્લભભાઈએ	vallabhbhai	by vallabhbhai
વળગી	yapışdırın	to adhere
વળગે	əlavələr	be entwined
વળતર	kompensasiya	reward
વળવા	görüşmək	to meet with
વળાંક	dön	turn
વળી	həmçinin	in addition
વળે	dönür	turns
વળ્યું	döndü	moved
વશ	vaş	surrender
વસંત	bahar	autumn
વસતા	yaşayır	living
વસતિ	əhali	population
વસતી	əhali	population
વસતીના	əhalinin	population
વસતીનું	əhalinin	of population
વસતીને	əhali	to population
વસતીમાં	əhalidə	in population
વસવાટ	yaşayır	reside
વસાહત	qəsəbə	colony
વસાહતો	qəsəbələr	colonies
વસી	vasi	lived
વસે	yaşayışlı	living
વસેલ	vasel	located
વસેલા	məskunlaşdı	settled
વસેલું	məskunlaşdı	situated
વસ્તી	əhali	population,
વસ્તીગણતરી	siyahıyaalma	census
વસ્તીના	əhalinin	population
વસ્તીની	əhalinin	of population
વસ્તીને	əhaliyə	of population
વસ્તીમાં	əhalidə	in the population
વસ્તુ	şey	thing
વસ્તુઓ	şeylər	things / stuff
વસ્તુઓની	i̇şlərdən	things
વસ્તુઓને	şeylər	things
વસ્તુઓનો	i̇şlərdən	things
વસ્તુની	əşyanın	of thing
વસ્તુને	şey	thing
વસ્તુનો	əşyanın	of thing
વસ્ત્ર	geyin	cloth
વસ્ત્રો	geyin	cloth
વસ્યા	məskunlaşdı	settled
વહ	wah	that [hindi - urdu word]
વહન	aparmaq	carriage
વહાણ	gəmi	ship
વહાણો	gəmilər	ships / vessels
વહિવટી	i̇nzibati	administrative
વહી	wahi	flown
વહીવટ	i̇darəetmə	management
વહીવટી	i̇nzibati	adminstrative
વહીવટીતંત્ર	i̇darəetmə	administration
વહે	axınlar	flow
વહેંચણી	paylaşma	distribution
વહેંચવામાં	paylaşdı	disbursed
વહેંચાઇ	paylaşdı	divided
વહેંચાઈ	paylaşdı	distributed
વહેંચાયેલા	paylaşdı	distributed, widespread
વહેંચાયેલી	paylaşdı	distributed
વહેંચાયેલું	paylaşdı	distributed
વહેંચી	paylaşdı	devide
વહેંચે	səhmlər	distributing
વહેતા	axır	float
વહેતી	axır	flowing
વહેલી	erkən	early
વાંકાનેર	wankaner	wankaner
વાંચતા	oxu	read
વાંચન	oxu	reading
વાંચી	oxuyun	read
વાંચે	oxuyur	read
વાંચો	oxu	read
વાંચ્યું	oxuyun	read
વાંસદા	vansada	vansda
વાઇડ	geniş	wide
વાઇસ	vitse	vice [president]
વાઈડ	geniş	wide
વાઈરસ	virus	virus
વાઈરસના	virusun	of viruses
વાઈરસની	viruslardan	virus's
વાઈરસને	virus	to the virus
વાક્ય	xətt	sentence,
વાક્યમાં	xətdə	in sentance
વાક્યરચના	sintaksis	phrase
વાક્યરચનામાં	sintaksisdə	in creating a sentance
વાગ્યે	at	at 3.08 pm
વાઘ	pələng	tiger
વાઘણ	pələng	tigress
વાઘના	pələngin	tiger
વાઘની	pələngin	of the tiger
વાઘનું	pələngin	tiger
વાઘને	pələngə	tiger
વાચક	oxucu	reader
વાચકો	oxucular	readers
વાચન	oxu	read
વાટ	gözləmək	way
વાટાઘાટો	danışıqlar	settlement
વાડી	wadi	farm house
વાણિજ્ય	ticarət	commerce
વાણિજ્યિક	kommersiya	commercial
વાણી	nitq	speech
વાત	danışın	matter
વાતચીત	söhbət	talkings
વાતથી	danışıqdan	from the matter
વાતની	danışın	of matter
વાતને	danışır	of talks
વાતનો	danışır	speach
વાતાવરણ	atmosfer	environment
વાતાવરણના	atmosferdən	of the atmosphere
વાતાવરણની	atmosfer	of atmosphere
વાતાવરણને	atmosferə	to atmosphere
વાતાવરણમાં	atmosferdə	in atmosphere
વાતાવરણીય	atmosfer	atmospheric
વાતો	danışın	tale
વાદળ	bulud	cloud
વાદળો	buludlar	clouds
વાનગી	yemək	dish
વાનગીઓ	tərifləri	delicacies
વાનર	meymun	monkey
વાપરવા	i̇stifadə etmək	to use
વાપરવામાં	i̇stifadə olunur	use
વાપરી	i̇stifadə olunur	used
વાપરીને	istifadə olunur	using
વાપરે	i̇stifadə edir	used
વાપી	vapi	oblong well
વામન	cırtdan	dwarf
વાય	y	y
વાયરલેસ	simsiz	wireless
વાયરસ	virus	virus
વાયુ	hava	aero / air
વાયુઓ	qazlar	air
વાયુમંડળ	atmosfer	atmosphere
વાર	times	day
વારંવાર	tez-tez	repeatedly,
વારસો	vərəsəlik	one kind of gift
વારાણસી	varanasi	varanasi
વાર્તા	hekayə	story
વાર્તાઓ	hekayələr	stories
વાર્તાઓમાં	hekayələrdə	in the stories
વાર્તાલાપ	söhbət	communication
વાર્ષિક	i̇llik	yearly
વાલી	gözətçi	vali
વાલે	vale	going to be [hindi - urdu word]
વાલ્મિકી	valmiki	valmiki
વાલ્મીકિ	valmiki	the valmikis
વાળ	saçlar	hair
વાળવા	dönmək	to divert
વાળા	əcaib	vala
વાળી	i̇lə	having
વાળુ	tüklü	having
વાળું	i̇lə	with
વાળો	buruq	having
વાવ	heyrət! vay	small well
વાવડી	wawdi	small well
વાવેતર	əkin	sowing / cultivation
વાસ	vaas	residence
વાસણ	mesaj	vessel
વાસણા	şəhvət	vasna
વાસના	şəhvət	lust
વાસ્કો	vasko	vasco
વાસ્તવમાં	əslində	in real
વાસ્તવિક	real	in reality
વાસ્તવિકતા	reallıq	reality
વાસ્તુ	vastu	architecture
વાસ્તુકળા	memarlıq	vastu shastra
વાસ્તુકાર	memar	architect
વાહક	daşıyıcı	carrier
વાહન	nəqliyyat vasitələri	vehicle
વાહનવ્યવહાર	nəqliyyat	transportation
વાહનો	nəqliyyat vasitələri	vehicles
વિકટ	vikat	calamity
વિકલ્પ	seçim	alternative
વિકલ્પો	seçimlər	alternatives
વિકસતા	i̇nkişaf edir	developing
વિકસાવવામાં	i̇nkişaf etmişdir	developed
વિકસાવી	i̇nkişaf etmişdir	developed
વિકસાવ્યા	i̇nkişaf etmişdir	developed
વિકસિત	i̇nkişaf etmişdir	developed
વિકસી	təkamül	developed
વિકસ્યા	təkamül	developed
વિકસ્યો	təkamül	developed
વિકાસ	i̇nkişaf	development
વિકાસના	i̇nkişafın	development
વિકાસની	i̇nkişafın	of development
વિકાસને	i̇nkişaf	of growth
વિકાસનો	i̇nkişafın	of the progress
વિકાસમાં	i̇nkişafda	development
વિકાસશીલ	i̇nkişaf edir	develping
વિકિ	wiki	wiki
વિકિપીડીયાએ	vikipediya	by wikipedia
વિકિમીડિયા	vikimedia	wikimedia
વિકિસોર્સ	vikisitat	wikisource
વિકીમેપિયા	vikimapiya	wikimapia
વિકેટ	wiket	wicket
વિક્ટોરિયા	viktoriya	victoria
વિક્રમ	vikram	vikram
વિક્ષનરી	vikipediya	victionary
વિક્ષેપ	kəsilmə	discontinuity
વિખૂટા	şəxsi	different
વિખ્યાત	məşhur	famous
વિગત	ətraflı məlumat	information
વિગતવાર	ətraflı	detailed
વિગતો	ətraflı məlumat	facts
વિગેરે	və s.	etc.
વિચરણ	səpələnmək	travel
વિચાર	fikir	thought
વિચારણા	nəzərə alın	thought process
વિચારધારા	i̇deologiya	thinking
વિચારને	fikir	thought
વિચારનો	düşüncə	of thinking
વિચારસરણી	düşünür	thinking
વિચારી	düşünür	after thinking
વિચારે	düşünür	think
વિચારો	düşün	thinking
વિચારોની	fikirlərdən	thinking
વિચારોને	düşüncələr	thinking
વિચિત્ર	fantastik	different
વિચિત્રવિર્ય	ekzotik	name
વિચી	viçy	vichi
વિજય	qələbə	win
વિજયનગર	vijayanagar	vijay nagar
વિજયી	qələbə	victorious
વિજેતા	qalib	winner
વિજેતાઓ	qalib gələnlər	winner
વિજ્ઞાન	elm	science (વિજ્ઞાન)
વિજ્ઞાનના	elmin	of the science
વિજ્ઞાનની	elmin	science's
વિજ્ઞાનને	elmə	science
વિજ્ઞાનમાં	elmdə	science
વિજ્ઞાની	elm adamı	scientist
વિજ્ઞાનીઓ	elm adamları	scientists
વિઠ્ઠલભાઈ	vitthalbhai	viththalbhai
વિડિઓ	video	video
વિડિઓની	videonun	video
વિડિઓને	videoya	video's
વિડિઓમાં	videoda	in video
વિડીઓ	video	video
વિડીયો	video	video
વિતરણ	dağılım	distribution
વિથ	i̇lə	with
વિદાય	vida	exit
વિદુર	vidura	vidur
વિદેશ	xaricdə	foreign country
વિદેશમાં	xaricdə	in foreign
વિદેશી	xarici	foreign
વિદ્યા	vidya	lore
વિદ્યાર્થી	tələbə	student
વિદ્યાર્થીઓ	tələbələr	students
વિદ્યાર્થીઓએ	tələbələr	students
વિદ્યાર્થીઓને	tələbələr	students
વિદ્યાલય	məktəb	school
વિદ્યુત	elektrik	electricity
વિદ્યુતચુંબકીય	elektromaqnit	elector magnetic
વિદ્રોહ	üsyan	revolt
વિદ્વાન	alim	learned
વિદ્વાનો	alimlər	wisemen / well learned
વિદ્વાનોએ	alimlər	scholars
વિધવા	dul qadın	widow
વિધાન	bəyanat	statement
વિધાનસભા	məclis	legislature
વિધાનસભાની	qanunvericilikdən	parliament
વિધિ	ritual	process
વિધી	ritual	process / method
વિનંતિ	i̇stək	request
વિનંતી	i̇stək	request
વિના	olmadan	without
વિનાના	olmadan	without
વિનાની	olmadan	without
વિનાનો	olmadan	without
વિનાયક	üzüm	vinayak [temple]
વિનાશ	məhv	destruct/demonlish
વિનાશક	dağıdıcı	destroyer,
વિનિમય	mübadilə	exchange
વિનિયોગ	mənimsəmə	to include
વિનોદ	yumor	comedy / fun
વિન્ડોઝ	windows	windows
વિપરિત	əksinə	opposite
વિપરીત	əksinə	opposite
વિપુલ	bolluq	plentiful
વિભાગ	bölmə	department/section
વિભાગના	kafedranın	division
વિભાગનું	kafedranın	department
વિભાગમાં	bölmədə	section
વિભાગો	bölmələr	divisions
વિભાગોમાં	bölmələr	in the divisions
વિભાજન	ayrılmaq	division
વિભાજિત	ayrılmaq	cleft
વિભાજીત	bölündü	divided
વિભાવના	konsepsiya	confusion
વિભિન્ન	fərqlidir	different
વિમાન	təyyarə	aircraft
વિમાનમથક	hava limanı	airport
વિમાનમાં	təyyarədə	(in) plane
વિમાનો	təyyarələr	aircraft
વિમુખ	dəstəkli	away
વિયેના	vyana	vienna
વિરાટ	böyük	great
વિરાણી	virani	virani
વિરામ	fasilə verin	recess/rest/stop
વિરુદ્ધ	vs.	versus
વિરુદ્ધમાં	əksinə	in opposition
વિરુધ્ધ	vs.	versus
વિરૂદ્ધ	qarşı	opposite / against
વિરોધ	etiraz	oppose
વિરોધમાં	etiraz edir	in opposition
વિરોધાભાસ	paradoks	paradox
વિરોધી	anti	opposite
વિરોધીઓ	müxaliflər	opponants
વિલણીકરણ	birləşmə	destruction
વિલિયમ	william	william
વિલીન	solğun	dissolved
વિવધ	müxtəlif	different
વિવરણ	təsvir	commentary
વિવશ	vivalar	helpless
વિવાદ	mübahisə	dispute
વિવાદાસ્પદ	mübahisəli	controversial
વિવાદો	mübahisələr	controversies
વિવાહ	evlilik	marriage
વિવિધ	çeşitli	different
વિવિધતા	müxtəliflik	differences
વિવિધતાને	müxtəliflik	of variety
વિવેક	i̇stifadəsizlik	courtesy
વિવેકાનંદ	vivekananda	vivekananda
વિવેકાનંદના	vivekananda	vivekanand's
વિવેકાનંદે	vivekananda	by vivekanda
વિવેચક	tənqidçi	critic
વિવેચકોએ	tənqidçilər	by the critics
વિવેચન	tənqid	criticism
વિવેચનાત્મક	tənqidi	criticism
વિશાલ	böyük	broad
વિશાળ	böyük	large
વિશિષ્ટ	ekskluziv	peculiar/special
વિશિષ્ટતા	unikallıq	peculiarity
વિશે	haqqında	about
વિશેના	haqqında	about
વિશેની	haqqında	about
વિશેનું	haqqında	about
વિશેષ	xüsusi	special
વિશેષક	xüsusi	adjectives
વિશેષણ	sifət	adjective
વિશેષતા	i̇xtisası	speciality
વિશ્લેષણ	təhlil	analysis
વિશ્વ	dünya	world
વિશ્વના	dünyanın	world
વિશ્વનાં	dünyanın	world
વિશ્વનાથ	vişvanat	vishwanath, name of indian
વિશ્વની	dünyanın	of world
વિશ્વનું	dünyanın	of world
વિશ્વને	dünyaya	world's
વિશ્વનો	dünyanın	world's
વિશ્વભરની	dünya miqyasında	worldwide
વિશ્વભરમાં	dünya miqyasında	worldwide
વિશ્વમાં	dünyada	world
વિશ્વયુદ્ધ	ikinci dünya müharibəsi	world war
વિશ્વયુદ્ધમાં	ii dünya müharibəsində	in the world war
વિશ્વવિદ્યાલય	universitet	university
વિશ્વવ્યાપી	dünya miqyasında	worldwide
વિશ્વામિત્ર	vişvamitra	visvamitra
વિશ્વાસ	güvən	faith
વિષય	mövzu	subject
વિષયક	tematik	of subject
વિષયમાં	mövzusunda	in the subject
વિષયવસ્તુ	məzmun	subject-matter
વિષયો	mövzular	subjects
વિષયોની	fənlərdən	of the subjects
વિષયોને	fənlər	to subjects
વિષે	haqqında	about
વિષેની	haqqında	about
વિષ્ણુ	vişnu	vishnu
વિષ્ણુએ	vişnu	by vishnu
વિષ્ણુના	vişnunun	vishnu (hindu god)
વિષ્ણુનાં	vişnunun	vishnu's
વિષ્ણુને	vişnuya	to vishnu
વિષ્ણુનો	vişnunun	name
વિસં	vs.	vikram samvat [indian calendar]
વિસનગર	visnagar	visnagar
વિસર્જન	dağıtma	immersion
વિસામો	nəfəs alın	stoppage
વિસાવદર	visavadar	visavadar
વિસ્તરણ	genişləndirmə	amalysis
વિસ્તરણને	genişləndirmə	to the expansion
વિસ્તરિત	genişlənmişdir	wide
વિસ્તરેલી	genişlənmişdir	covered
વિસ્તાર	sahə	region
વિસ્તારના	sahədən	region's
વિસ્તારની	sahədən	of the area
વિસ્તારને	sahə	region
વિસ્તારમાં	bölgədə	in area
વિસ્તારમાંથી	sahədən	from an area
વિસ્તારો	sahələr	regions / areas
વિસ્તારોની	sahələr	of the areas
વિસ્તારોને	sahələr	to areas
વિસ્તારોમાં	sahələr	in the areas
વિસ્તૃત	genişlənmişdir	broad
વિસ્ફોટ	partlayış	blast
વિસ્ફોટો	partlayışlar	explosion / blow up
વિહાર	vihar	vihar
વી	v.	v
વીઓઆઈપી	voip	voip
વીજ	elektrik enerjisi	electricity
વીજળી	elektrik enerjisi	electricity
વીજળીના	elektrik enerjisindən	electricity
વીડિયો	video	video
વીર	veer	brave
વીર્ય	semen	semen
વીસ	i̇yirmi	twenty
વીસમી	i̇yirminci	twentieth
વૃક્ષ	ağac	tree
વૃક્ષો	ağaclar	trees
વૃત્તિ	instinkt	instinct
વૃદ્ધિ	artım	increase
વૃહત	genişdir	vruhat
વૅલેન્શિયા	valensiya	valencia
વે	yol	way
વેગ	sürətlənmə	velocity
વેચાણ	satılır	sales
વેતન	əmək haqqı	wage
વેદ	vedalar	"surnam ""ved"""
વેદના	əzab çəkir	pain
વેદવતી	vedavati	vedvatu
વેદવ્યાસ	vedavyas	ved vyas
વેદાંત	vedanta	vedant
વેદિક	vedik	vedic
વેનિસ	venesiya	venice
વેપાર	ticarət	commerce
વેપારમાં	ticarətdə	in business
વેપારી	tacir	businessman
વેપારીઓ	tacirlər	traders
વેબ	veb	web
વેબકેમ	vebkamera	webcam
વેબના	i̇nternetdən	web's
વેબની	i̇nternetdən	web's
વેબસાઇટ	veb sayt	website
વેબસાઈટ	veb sayt	website
વેર	i̇ntiqam	vengeance
વેરાવળ	veraval	veraval city
વેલ્શ	uels	welsh
વેલ્સ	uels	wales
વેળાવદર	zaman fasiləsi	place name
વેવ	dalğa	wave
વેસ્ટ	qərb	west
વેસ્લી	uesli	wesley, name of man in english,
વૈકલ્પિક	i̇steğe bağlıdır	alternative
વૈકુંઠ	vaikuntha	"holy place name ""vainkuth"""
વૈજ્ઞાનિક	elmi	scientist
વૈજ્ઞાનિકો	elm adamları	scientist
વૈજ્ઞાનિકોએ	elm adamları	sciencetist
વૈજ્ઞાનીક	elm adamı	science
વૈદિક	vedik	vedic
વૈભવી	dəbdəbəli	splander
વૈવિધ્ય	çeşitli	diversity
વૈવિધ્યતા	müxtəliflik	differentiation
વૈવિધ્યસભર	çeşitli	custom quality
વૈશ્ય	vaişya	vaishya
વૈશ્વિક	qlobal	global
વૈશ્વિકરણ	qloballaşma	globalization
વૈશ્વિકરણના	qloballaşmanın	of globalization
વૈશ્વિકરણની	qloballaşmanın	of globalization
વૈશ્વિકરણે	qloballaşma	due to globalization
વૈષ્ણવ	vaişnava	vaishnav
વોઈસ	səs	voice,
વોઝ	vos	was
વોટર	su	water
વોન	vaughn	wan
વોર	müharibə	war
વોર્નિંગ	xəbərdarlıq	warning
વોર્મિંગ	i̇sti	warming
વોર્મિંગની	i̇sti	warming's
વોર્મિંગને	i̇sti	due to warming
વોર્મિંગમાં	i̇stiləşmədə	in worming
વોલ	divar	wall
વોલ્કેનિક	vulkanik	volcanic
વોલ્કેનો	vulkan	volcano
વોલ્ડેમોર્ટ	voldemort	voldemort
વોલ્ડેમોર્ટના	voldemortdan	of voldemort
વોલ્ડેમોર્ટનો	voldemortdan	woldmort's
વોલ્સ	divarlar	wolls
વોલ્સમાં	uelsdə	in wales
વોશિંગ્ટન	vaşinqton	washington
વ્યંજન	samitlər	consonants
વ્યંજનો	samitlər	vowels
વ્યકત	i̇fadə etdi	express
વ્યકિત	şəxs	person
વ્યકિતઓ	şəxslər	persons
વ્યક્ત	i̇fadə etdi	express
વ્યક્તિ	şəxs	person
વ્યક્તિએ	şəxsən	by the person
વ્યક્તિઓ	fərdi şəxslər	persons
વ્યક્તિઓનાં	fərdlərdən	of the persons
વ્યક્તિઓની	fərdlərdən	of the persons
વ્યક્તિઓને	fərdi şəxslər	persons
વ્યક્તિગત	şəxsi	personal
વ્યક્તિત્વ	şəxsiyyət	person
વ્યક્તિત્વની	şəxsiyyətin	of personality
વ્યક્તિના	şəxsin	personal
વ્યક્તિની	şəxsin	person
વ્યક્તિનું	şəxsin	of person
વ્યક્તિને	şəxs	to person,
વ્યક્તિમાં	şəxsən	in person
વ્યવસાય	biznes	business
વ્યવસાયમાં	i̇şdə	in profession
વ્યવસાયિક	peşəkar	professional
વ્યવસાયી	peşəkar	professional
વ્યવસાયીક	peşəkar	services
વ્યવસ્થા	aranjıman	management
વ્યવસ્થાઓ	aranjımanlar	arrangements
વ્યવસ્થાના	sistemin	of the arrangement
વ્યવસ્થાની	sistemin	of the arrangement
વ્યવસ્થાને	sistemə	(to) system
વ્યવસ્થામાં	sistemdə	management
વ્યવસ્થિત	mütəşəkkil	well organized
વ્યવહાર	əməliyyat	behaviour
વ્યવહારુ	praktik	practical
વ્યસ્ત	məşğul	busy
વ્યાકરણ	qrammatika	grammar
વ્યાખ્યા	tərif	defination
વ્યાખ્યાઓ	təriflər	definations
વ્યાખ્યાયિત	müəyyən edilmişdir	defined
વ્યાપ	tarazlıq	broad
વ્યાપક	genişdir	widespread
વ્યાપકપણે	geniş şəkildə	majority
વ્યાપાર	biznes	business
વ્યાપારના	i̇şin	of business
વ્યાપારિક	kommersiya	professional
વ્યાપારી	kommersiya	merchant
વ્યાવસાયિક	peşəkar	professional
વ્યાસ	diametr	vyas
વ્યાસે	diametr	by vyas
વ્યુત્પત્તિ	etimoloji	etymology
વ્યુત્પત્તિશાસ્ત્ર	etimoloji	derivatives
વ્યૂ	bax	view
વ્યૂહાત્મક	strateji	strategic
વ્રત	kirayə verilir	decisions
વ્હાઇટ	ağ	white
શંકર	şankar	shanker
શંકરાચાર્ય	şankaraçərya	shankaracharya
શંકરે	şankar	by shanker
શંકા	şübhə	suspact
શંકાસ્પદ	şübhəli	suspected
શંખ	conch	conch
શક	şübhə	to suspect [in hindi]
શકતા	bacarmaq	can
શકતી	bacarmaq	cuold
શકતું	bacarmaq	cannot
શકતો	bacarmaq	could
શકય	mümkündür	possible
શકવા	bacarmaq	to be able to
શકશે	olacaq	will be
શકાતા	bacarmaq	could
શકાતી	ola bilər	to abel
શકાતો	bilməz	could be
શકાય	ola bilər	could be
શકાયું	edə bilər	could
શકાયો	edə bilər	could
શકાશે	ola bilər	can
શકિત	güc	energy
શકી	edə bilər	could
શકીએ	bacarmaq	we can
શકું	bacarmaq	am able to
શકુની	şakuni	shakuni
શકે	edə bilər	happens
શકો	bacarmaq	you can
શક્તિ	güc	energy
શક્તિઓ	səlahiyyətlər	energies
શક્તિના	hakimiyyətin	strength's
શક્તિશાળી	güclüdür	powerful
શક્ય	mümkündür	possible
શક્યતઃ	mümkündür	possibly
શક્યતા	mümkündür	possibility
શક્યા	edə bilər	maybe
શક્યું	edə bilər	could
શક્યો	edə bilər	may be
શતક	əsr	century
શત્રુ	düşmən	enemy
શનિ	oturdu.	saturn
શનિવાર	şənbə	saturday
શપથ	andı	oath
શબ્દ	söz	word
શબ્દકોષ	lüğət	dictionary
શબ્દના	sözün	of the words
શબ્દની	sözün	of words
શબ્દનું	sözün	of the word
શબ્દને	sözə	word
શબ્દનો	sözlərdən	word's
શબ્દભંડોળ	lüğət	word reserve
શબ્દભંડોળમાં	söz lüğətində	in vocabulary
શબ્દમાં	sözlə	in word
શબ્દો	sözlər	words
શબ્દોના	sözlərdən	word's
શબ્દોનાં	sözlərdən	word's
શબ્દોની	sözlərdən	word's
શબ્દોનું	sözlərdən	of words
શબ્દોને	sözlər	to words
શબ્દોનો	sözlərdən	of the words
શબ્દોમાં	sözlə	words
શરણ	sığınacaq	shelter
શરણાગતિ	təslim olun	surrender
શરણાર્થીઓની	qaçqınların	of refugees
શરત	vəziyyəti	bet
શરતે	şərtlə	on condition
શરતો	şərtlər	terms
શરદ	payız	sharad
શરીર	bədən	body
શરીરના	bədənin	of the body
શરીરની	bədənin	body
શરીરને	bədənə	body
શરીરનો	bədənin	of the body
શરીરમાં	bədəndə	in body
શરીરવિજ્ઞાનઔષધી	fiziologiya	medicine
શરુ	başlanğıc	start
શરુઆત	başlanğıc	stasting
શરુઆતમાં	başlanğıcda	in starting
શરૂ	başlamaq	started
શરૂઆત	başlanğıc	beginning
શરૂઆતથી	sıfırdan	from beginning, from starting,
શરૂઆતના	erkən	in starting
શરૂઆતની	başlayanlar	inception / starting
શરૂઆતનું	başlayan	starts
શરૂઆતનો	başlayanlar	initially
શરૂઆતમાં	başlanğıcda	in the beginning
શરૃ	başlamaq	started
શર્મા	şarma	sharma
શર્મિષ્ઠા	şarmiştə	sharmishtha
શલ્ય	cərrahiyyə	shalya
શસ્ત્ર	silah	weapon
શસ્ત્રક્રિયા	cərrahiyyə	surgery
શસ્ત્રનો	silahlardan	of weapon
શસ્ત્રો	silahlar	weapons
શહર	şəhər	city
શહીદ	şəhid	martyred
શહેર	şəhər	city
શહેરથી	şəhərdən	city
શહેરના	şəhərin	city
શહેરનાં	şəhərin	of city
શહેરની	şəhərin	city
શહેરનું	şəhərin	of city
શહેરને	şəhərə	city
શહેરનો	şəhərin	city
શહેરમાં	şəhərdə	in city
શહેરી	şəhər	urban
શહેરો	şəhərlər	cities
શહેરોમાં	şəhərlərdə	in the cities
શા	niyə	what
શાંત	sakit	serene
શાંતનુ	sakitləş	shantanu
શાંતિ	barış	peace
શાંતિમય	dinc	silence
શાક	tərəvəz	vegetable
શાકાહારી	vegetarian	vegetarian
શાખા	filial	branch
શાખાઓ	filiallar	branches
શાખાની	filial	of the department
શાન્તનુ	sakitləş	shantanu
શાપ	lənət	curse
શામળદાસ	şamaldas	shamaldas
શામિલ	daxildir	to include
શાયર	shire	poet
શારદા	şarda	sharda
શારિરીક	fiziki	physical
શારીરિક	fiziki	physically
શાળા	məktəb	school
શાળાઓ	məktəblər	schools
શાળાઓમાં	məktəblərdə	in schools
શાળાના	məktəbin	school
શાળામાં	məktəbdə	in school
શાશ્વત	əbədi	eternal
શાસક	hökmdar	ruler
શાસકો	hökmdarlar	ruler
શાસન	qayda	rulling
શાસનકાળ	hökmranlıq edin	during the reign
શાસનના	rejimin	governance/admin
શાસનમાં	rejimdə	in the reign of
શાસિત	i̇darə olunur	centralized
શાસ્ત્ર	kitab	science
શાસ્ત્રાર્થ	müqəddəs kitab	meaning of the shastra
શાસ્ત્રી	şastri	shastri
શાસ્ત્રીઓ	yazıçılar	knowledge
શાસ્ત્રીય	klassik	classical
શાસ્ત્રો	ayələr	volume
શાહ	şah	shah
શાહજહાં	şahcahan	shah jahan
શાહજહાંએ	şah cahan	by shajhan
શાહજહાંની	şah cahan	of shahjahan
શાહી	mürəkkəb	royal
શિકાગો	çikaqo	chicago
શિકાર	ovçuluq	suffered
શિકારની	ovçuluq	prey's
શિકારી	ovçu	wild
શિક્ષક	müəllim	teacher
શિક્ષણ	təhsil	education
શિક્ષણના	təhsilin	of the education
શિક્ષણની	təhsilin	education
શિક્ષા	cəza	education
શિક્ષાપત્રી	sikshapatri	siksapatri
શિક્ષિત	təhsilli	educated
શિખ	sıx	shikh
શિખર	zirvəsi	top
શિખરો	zirvələr	peaks
શિમલા	şimla	shimla
શિયા	şiə	shiya
શિયાળામાં	qışda	in winter
શિયાળુ	qış	winter
શિયાળો	qış	winter
શિલાલેખ	yazı	stone carving
શિલ્પ	heykəl	sculpture
શિવ	şiva	shiv (hindu god)
શિવજી	şivaji	shivji
શિવાજી	şivaji	shivaji
શિવાલયમાં	şivalayada	in the temple of shiva.
શિષ્ય	şagird	disciple
શિષ્યો	şagirdlər	disciples
શી	şi	shi
શીખ	sıx	shikh
શીખતા	öyrənmək	teaching / learning
શીખો	öyrən	cast name
શીખ્યા	öyrənilib	learned
