$	dollarni tashkil etadi	dollarsign
taaltalen	tillar tillari	languages
tabak	tamaki	tabaco
tabel	jadval	table
taboe	taqiq	taboo
tachtig	sakson	eighty
tachtigjarige	sakkizoyoqli	eigthy years
tactiek	taktika	tactic
tafel	jadval	table
taiwan	tayvan	taiwan
tak	filiali	branch
take	olmoq	take
taken	vazifalar	responsibilities
takken	filiallari	branches
tal	juda ko&#39;p	amount
talen	tillari	languages
talent	iste&#39;dod	talent
talenten	iste&#39;dodlar	talents
talloze	son-sanoqsiz	numerous
talrijke	juda ko&#39;p	numerous
tamelijk	odilona	rather
tanden	tishlar	teeth
tank	tank	tank
tanks	tanklar	tanks
tante	xolasi	aunt
tanzania	tanzaniya	tanzania
tarief	darajasi	rate
tarwe	bug&#39;doy	wheat
taxi	kabina	taxi
taxis	taksilar	taxi services
taxonomie	taksonomiyasi	taxonomy
taylor	taylor	taylor
taíno	taíno	taíno people
tbc	sil kasalligi	tbc
te	ga	too
team	jamoasi	team
teams	jamoalar	teams
techniek	texnik	technique
technieken	texnikalar	techniques
technisch	texnik	technical
technische	texnik	technical
technologie	texnologiya	technology
technologische	texnologik	technological
teek	shomil	tick
teen	oyoq barmog&#39;i	tiener (1st sentence) toe (2nd sentence)
tegelijk	xuddi shu paytni o&#39;zida	simultaneously
tegelijkertijd	xuddi shu paytni o&#39;zida	at the same time
tegen	qarshi	against
tegengestelde	qarama-qarshi	contradict
tegenhanger	marjon	counterpart
tegenover	qarama-qarshi	contradict
tegenovergestelde	qarama-qarshi	contradiction
tegenstand	muxolifat	opposition
tegenstander	raqib	opponent
tegenstanders	raqiblar	opponents
tegenstelling	aksincha	opposition
tegenstellingen	qarama-qarshiliklar	differences
tegenwoordig	shu kunlarda	nowadays
tegenwoordige	hozirgi	present
teheran	tehan	tehran
teken	belgisi	draw
tekende	imzolangan	drew
tekenen	chizmoq	appear
tekening	chizish	drawings
tekeningen	chizmalar	drawings
tekens	belgilar	characters
tekort	etishmovchilik	shortcomings
tekst	matn	text
teksten	matnlar	texts
tel	tel	tel.
telde	hisoblangan	"in this context you do not translate with ""counts"", you just say ""is"" or ""has"""
telefoon	telefon	phone
telefoonnummer	telefon raqami	phone number
telefoons	telefonlar	phones
telegraaf	telegraf	telegraph
telescoop	teleskop	telescope
teleurgesteld	ko&#39;ngli qolgan	disappointed
televisie	televizor	television
televisiefilm	televizion film	tv-movie
televisieprogramma	televizion dastur	television show
televisieserie	televizion seriyalar	television
televisieseries	televizion seriyalar	soaps
television	televizor	televisie
telkens	har safar	every time
tell	aytib bering	tell
tellen	hisoblash	count
telling	hisoblash	count
telt	hisoblaydi	count
tempel	ma&#39;bad	temple
tempeliers	ritsarlar	knight templars
tempels	ibodatxonalar	temples
temperaturen	harorati	temperatures
temperatuur	harorat	temparature
tempo	sur&#39;ati	pace
ten	o‘n	at
tenach	tenach	tanakh
tendens	trend	trend
teneinde	qilish uchun	at the end
tenen	oyoq barmoqlari	toes
tenerife	tenerife	tenerife
tenminste	kamida	at least
tennessee	tennessi shtati	tennessee
tenslotte	va oxirgi, lekin juda muhim emas	eventually
tentoonstelling	ko&#39;rgazma	exhibition
tentoonstellingen	ko&#39;rgazmalar	exhibitions
tenue	forma	outfit
tenzij	bo&#39;lmasa	unless
tepel	nipel	nipple
tepels	nipellar	nipples
ter	ter	to
terecht	adolatli	rightly
terechtgekomen	tugadi	end up
terechtkomen	bilan tugamoq; yakun topmoq	end up
terlouw	terlouw	terlouw (proper noun - surname)
term	muddatli	term
termen	shartlari	terms
termijn	muddatli	term
terminal	terminal	terminal
terminologie	terminologiya	terminology
terra	terra	earth (in this context it refers to the name terra australis)
terrein	yer	field
terreinen	joylar	fields
terreur	terror	terror
territoria	hududlar	territories
territoriale	hududiy	territorial
territorium	hududi	territory
terrorisme	terrorizm	terrorism
terroristische	terrorchi	terrorist
terry	terri	terry
terug	orqaga	back
teruggaat	orqaga qaytadi	goes back
teruggetrokken	qaytarib olingan	withdrawn
teruggevonden	tuzalib ketdi	found
terugkeer	qaytish	return
terugkeren	qaytish	return
terugkerende	qaytish	returning
terugkomen	qaytib keladi	return
terugtrekken	chekinmoq	draw back
terwijl	vaqt	while
tesla	tesla	tesla
test	sinov	test
testament	irodasi	testament
testen	sinash uchun	test
testpiet	testpiet	test pete
tests	sinovlar	tests
teveel	juda ko&#39;p	too many
tevens	shuningdek	also
tevergeefs	bekordan bekorga	in vain
tevoorschijn	tashqariga chiq	come forth
tevoren	oldindan	before
tevreden	mamnun	satisfied
texas	texas	texas
texel	tekstel	texel
text	matn	text
textiel	to&#39;qimachilik	textile
textielindustrie	to&#39;qimachilik sanoati	textile industry
tezamen	birga	together
tfrac	tfrac	tfrac
thai	tay	thai
thailand	tailand	thailand
thaise	tay	thai
than	dan ko&#39;proq	than
thans	hozir	at present
that	bu	dat
thats	bu	that's
theater	teatr	theater
theaters	teatrlar	theatres
thee	choy	tea
thema	mavzu	theme
themas	mavzular	themes
theo	teo	theo
theodosius	teodosius	theodosius (proper noun, first name)
theologie	ilohiyot	theology
theologische	diniy	theological
theoloog	ilohiyotshunos	theologian
theoretisch	nazariy jihatdan	theoretical
theoretische	nazariy	theoretical
theorie	nazariya	theory
theorieën	nazariyalar	theories
theory	nazariya	<english word> theory
therapie	terapiya	therapy
there	mana	there
thing	narsa	gebeurtenis
think	o&#39;ylab ko&#39;ring	think
this	bu	this
thomas	tomas	thomas
thora	torah	torah
thriller	triller	thriller
thuis	uy	at home
thuisbasis	uy bazasi	home
thuishaven	uy porti	home port
thuiswedstrijden	uy o&#39;yinlari	home game
thumb|de	bosh barmoq | de	thumb/the
thumb|een	bosh barmoq | a	thumb|one
thumb|het	bosh barmoq | u	thumb it
thumb|left|de	bosh barmog&#39;i | chap | de	thumb / left / the
thumb|left|px|de	bosh barmog&#39;i | chap | px | de	thumb
thumb|links|px|de	bosh barmog&#39;i | chap | px | de	thumb links px de
thumb|px|	bosh barmog&#39;i | px |	thumb
thumb|px|de	bosh barmoq | px | de	thumb px de
thumb|px|een	bosh barmoq | px | a	thumb pixel one
thumb|px|het	bosh barmoq | px | it	thumb[px]the
thumb|px|right|de	bosh barmoq | px | o&#39;ng | de	thumb px right de
thumb|rechts|px|de	bosh barmog&#39;i | o&#39;ng | px | de	thumb
thumb|rechts|px|het	bosh barmog&#39;i | o&#39;ng | px | it	thumb|right|px|it
thumb|right|de	bosh barmog&#39;i | o&#39;ng | de	thumb right the
thumb|right|px|de	bosh barmog&#39;i | o&#39;ng | px | de	thumb
thumb|right|px|het	bosh barmog&#39;i | o&#39;ng | px | it	thumb right px het
tibet	tibet	tibet
tibetaans	tibet	tibetan
tibetaanse	tibetan	tibetan
tien	o‘n	ten
tiende	o&#39;ninchi	tenth
tienduizenden	o&#39;n minglab	tens of thousands
tieners	o&#39;spirinlar	teens
tientallen	o&#39;nlab	dozens of
tijd	vaqt	time
tijde	vaqt	at the time
tijdelijk	vaqtincha	temporarily
tijdelijke	vaqtincha	temporal
tijden	marta	times
tijdens	vaqt	during
tijdgenoten	zamondoshlari	contemporaries
tijdje	vaqt	a while
tijdlijn	vaqt jadvalini	timeline
tijdperk	davri	era
tijdschrift	jurnal	magazine
tijdschriften	jurnallar	magazines
tijdstip	kunning vaqti	time
tijger	yo&#39;lbars	tiger
tijgers	yo&#39;lbarslar	tigers
tilburg	tilburg	tilburg
till	qadar	till
tillend	ko&#39;tarish	tillend
tim	tim	tim
timberlake	o&#39;tin	timberlake
time	vaqt	time
timeaxis	vaqtaksis	timeaxis
times	marta	times
tin	qalay	tin
tina	tina	tina
tinnitus	tinnitus	tinnitus
titanic	titanik	titanic
titel	sarlavha	title
titels	unvonlari	titles
titelsong	sarlavha qo&#39;shig&#39;i	title-song
titiaan	titian	titian (name)
titus	titus	titus
tm	tm	up to and including
tmf	tmf	tmf
to	ga	to
toch	ammo	still
tocht	tur	tour
toe	ga	to
toedoen	qilmoq	action
toegang	kirish	access
toegankelijk	kirish mumkin	accessible
toegediend	boshqariladi	administered
toegekend	berilgan	awarded
toegelaten	ruxsat berilgan	admitted/accepted
toegenomen	oshdi	increase
toegepast	qo&#39;llaniladi	applied
toegepaste	qo&#39;llaniladi	applied
toegeschreven	atalgan	attributed
toegestaan	ruxsat berilgan	permitted
toegevoegd	qo&#39;shildi	add
toegewezen	tayinlangan	assigned
toekomst	kelajak	future
toekomstige	kelajak	future
toen	keyin	then
toenadering	yaqinlashish	approach
toenam	ko&#39;tarildi	increased
toename	o&#39;sish	increase
toeneemt	ortadi	increases
toenemen	o&#39;sish	increase
toenemende	ortib bormoqda	growing
toenmalig	keyin	then
toenmalige	avvalgi	then
toentertijd	vaqtida	in those days
toepassen	topshirmoq	apply
toepassing	dastur	application
toepassingen	ilovalar	applications
toerisme	turizm	tourism
toeristen	sayyohlar	tourists
toeristische	sayyoh	tourist
toernooi	turniri	tournament
toernooien	musobaqalar	tournaments
toeschouwers	tomoshabinlar	spectators
toespraak	nutq	speech
toespraken	nutqlar	speeches
toestand	holat	situation
toestel	moslama	plane
toestellen	qurilmalar	crafts
toestemming	ruxsat	permission
toetanchamon	tutankhamun	tutanchamon
toetreding	qo&#39;shilish	acces/ joining
toeval	tasodif	by accident
toevallig	tasodifan	by accident
toevoegen	qo&#39;shish	add
toevoeging	qo&#39;shimcha	addition
toezicht	nazorat	supervision
tokio	tokyo	tokyo
tol	yo&#39;l uchun haq	toll
tolerantie	bag&#39;rikenglik	tolerance
tom	tom	tom
tome	menga	tome
tommy	tommy	tommy
ton	tonna	ton
toneel	teatr	stage
toneelstuk	o&#39;ynash	play
tonen	shou	to show
tong	til	tongue
tony	tony	tony
toon	shou	tone
toonde	ko&#39;rsatdi	showed
toont	namoyishlari	shows
toor	toor	office
top	tepasida	top
topografie	topografiya	topography
toppen	kurtaklari	summits
topscorer	eng yaxshi to&#39;purar	top player
toren	minora	tower
torens	minoralar	towers
toronto	toronto	toronto
torres	torres	torres
tot	gacha	to
totaal	jami	total
totale	jami	total
totdat	gacha	till
tournee	tur	tour
tournees	turlar	tours
tov	ga bog&#39;liq	in relation to
tower	minora	tower
towers	minoralar	towers
town	shahar	stad
tracht	harakat qilib ko&#39;ring	attempts
trachtte	harakat qildi	attempted
track	trek	track
trad	trad	performed
trade	savdo	trade
traden	savdo	acted
traditie	an&#39;ana	tradition
tradities	urf-odatlari	traditions
traditioneel	an&#39;anaviy	traditional
traditionele	an&#39;anaviy	traditional
trainen	poezd	to train
trainer	murabbiy	trainer
trainers	murabbiylar	trainers
training	o&#39;qitish	training
trams	tramvaylar	trams
transfer	o&#39;tkazish	transfer
transfervrij	bepul pul o&#39;tkazish	transfer free
transport	tashish	transport
trap	zinapoyalar	stairs
traumatische	shikast etkazadigan	traumatic
treden	qadamlar	stepping
tree	daraxt	tree
treedt	qadamlar	shall enter into
treffen	urdi	hit
treft	xitlar	will
trein	poezd	train
treinen	poezdlar	trains
treinstation	temir yo&#39;l stansiyasi	railway station
trek	torting	popular
trekken	tortmoq	to pull / excentricities
trekt	tortadi	pulls
trillingen	tebranishlar	tremors
trilogie	trilogiya	trilogy
trio	trio	threesome
trivia	mayda-chuyda narsalar	trivia
troepen	qo&#39;shinlar	troops
trof	urdi	found
troje	troy	troy
trok	tortdi	pulled
trokken	tortdi	moved
troon	taxt	throne
tropisch	tropik	tropical
tropische	tropik	tropical
tros	shamlardan	tros
trots	mag&#39;rurlik	proud
trouw	sodiq	"""trouw"" (fidelity/ honesty)"
trouwde	uylangan	married
trouwe	sodiq	loyal
trouwen	uylaning	marry
trouwens	undan tashqari	moreover
true	rost	true
tsaar	podshoh	tsar
tsjechisch	chexiya	czech
tsjechische	chex	czech
tsjechië	chexiya respublikasi	czechia
tsjechoslowakije	chexoslovakiya	czechoslovakia
tsjernobyl	chernobil	tsjernobyl
tsunami	tsunami	tsunami
tu	tu	tu (latin!) - you
tuberculose	sil kasalligi	tuberculosis
tuin	bog &#39;	garden
tuinen	bog&#39;lar	gardens
tunesië	tunisiya	tunisia
tunnel	tunnel	tunnel
tunnels	tunnellar	tunnels
turken	turklar	turks (people from turkey)
turkije	kurka	turkey
turks	turkcha	turkish
turkse	turkcha	turkish
turner	gimnast	turner
tussen	orasida	between
tv	televizor	tv
twaalf	o&#39;n ikki	twelve
twaalfde	o&#39;n ikkinchi	12th
twee	ikkita	two
tweede	ikkinchi	second
tweeling	egizak	twins
tweelingen	egizaklar	twins
tweemaal	ikki marta	twice
tweetal	ikkita	two
tweeën	ikkitadan	twain
twente	yigirma	twente
twijfel	shubha	doubt
twilight	alacakaranlık	twilight
twin	egizak	twin
twintig	yigirma	twenty
twintigste	yigirmanchi	twentieth
twitter	twitter	twitter
two	ikkita	two
type	turi	type
typen	yozish	type
types	turlari	santiago
typisch	tipik	typical
typische	tipik	typical
u	siz	you
uit	dan	out
uitblijven	uzoqroq turing	failing to / failure
uitbraak	avj olish	outbreach
uitbreiden	kengaytirish uchun	to expand
uitbreiding	kengaytma	expansion
uitbreidingen	kengaytmalar	expansions
uitbreken	qutilib chiqishga urinmoq; tarqamoq	outbreak
uitbrengen	olib chiqing	cast
uitdaging	qiyinchilik	challenge
uitdrukkelijk	ochiqchasiga	explicit
uitdrukking	ifoda	expression
uitdrukkingen	iboralar	expressions
uiteen	alohida	apart
uiteenlopende	rang-barang	different
uiteenvallen	yiqilib tushmoq	collapse
uiteinde	oxiri	end
uiteindelijk	oxirida	eventually
uiteindelijke	yakuniy	final
uiten	ifoda eting	express
uiteraard	albatta	naturally
uiterlijk	tashqi ko&#39;rinishi	appearence
uiterlijke	tashqi tomondan	pageant
uitermate	nihoyatda	extremely
uiterst	nihoyatda	extremely
uiterste	haddan tashqari	extreme
uitg	tahrirlangan	"publishing company (short for: ""uitgeverij"")"
uitgaan	tashqariga chiqish	go out
uitgaansleven	tungi hayot	nightlife
uitgaat	chiqadi	takes as point of departure
uitgangspunt	boshlang&#39;ich nuqtasi	starting point
uitgave	nashr	edition
uitgaven	xarajatlar	expenditure
uitgebracht	ozod qilindi	released
uitgebrachte	ozod qilindi	released
uitgebreid	keng	extensive
uitgebreide	keng	extensive
uitgedrukt	ifoda etdi	expressed
uitgegaan	chiqib ketdi	assumed
uitgegeven	berilgan sana	issued
uitgegroeid	o&#39;sgan	developed
uitgekomen	haqiqatga aylanmoq	released
uitgelegd	tushuntirdi	explained
uitgenodigd	taklif qilingan	invited
uitgeoefend	ta&#39;sir qildi	exerted
uitgeput	charchagan	exhausted
uitgereikt	mukofotlandi	awarded
uitgeroeid	yo&#39;q qilindi	destroyed
uitgeroepen	deb e&#39;lon qildi	declared
uitgerust	jihozlangan	equiped - 1st sentence, rested - 3rd sentence, equiped - 4th sentence.
uitgeschakeld	o&#39;chirilgan	disabled
uitgesloten	chiqarib tashlandi	excluted
uitgesproken	talaffuz qilinadi	explicitly
uitgesteld	qoldirildi	postponed
uitgestorven	yo&#39;q bo&#39;lib ketgan	extinct
uitgestrekte	keng	extended
uitgeverij	nashriyot uyi	publisher
uitgevoerd	qatl qilindi	performed
uitgevonden	ixtiro qildi	invented
uitgewerkt	ishlab chiqilgan	developed
uitgezonden	eshittirish	broadcast
uitgezonderd	bundan mustasno	excepted
uitgroeien	o&#39;sadi	grow out
uiting	nutq	expression
uitingen	iboralar	expressions
uitkomen	lyuk	to lead out
uitkomst	natija	outcome
uitkwam	amalga oshdi	released
uitleg	tushuntirish	explanation
uitmaakt	muhim	being (part of)
uitmaken	sindirish; ayrilish; to&#39;xtatish	constitute
uitoefenen	mashq	to practice
uitrusting	uskunalar	equipment
uitslag	toshma	result
uitsluitend	faqat	exclusively
uitsluiting	chiqarish	exclusion
uitspraak	bayonot	judgment
uitspraken	talaffuz	statements
uitspreken	talaffuz	pronounce
uitstek	ustunlik	pre-eminently
uitstekend	a&#39;lo	excellent
uitstekende	a&#39;lo	excellent
uitstraling	tashqi ko&#39;rinishi	appearance
uitte	aytdi	expressed
uitvaart	dafn marosimi	ceremony
uitverkocht	sotib bo&#39;lingan	used up
uitvinder	ixtirochi	inventer
uitvinding	kashfiyot	invention
uitvindingen	ixtirolar	inventions
uitvoer	chiqish	export
uitvoeren	amalga oshirmoq	conduct
uitvoerende	ijrochi	executive
uitvoering	ishlash	implementation
uitvoeringen	spektakllar	performances
uitwendige	tashqi	external
uitwerking	ishlab chiqish	development
uitwisseling	almashish	exchange
uitzending	eshittirish	broadcast
uitzendingen	ko&#39;rsatuvlar	broadcasts
uitzicht	ko&#39;rinish	view
uitzondering	istisno	exception
uitzonderingen	istisnolar	exceptions
uitzonderlijk	favqulodda	exceptionally
uitzonderlijke	favqulodda	unique
uk	uk	united kingdom
ulcerosa	oshqozon yarasi	ulcerative
ultieme	yakuniy	ultimate
un	un	un
und	und	und
under	ostida	onder
underground	er osti	underground
unesco	unesco	unesco
unie	birlashma	union
uniek	noyob	unique
unieke	noyob	unique
uniform	forma	uniform
union	birlashma	union
united	birlashgan	united
unityear	birdamlik	unit year
universal	universal	universal
universeel	universal	universal
universele	universal	universal
universitair	universitet	academic
universitaire	universitet	university
universiteit	universitet	university
universiteiten	universitetlar	universities
university	universitet	university
universum	koinot	universe
up	yuqoriga	"""up"" as in ""up-town"" does not exist in dutch"
upper	yuqori	upper
uren	soat	hours
urine	siydik	urine
uruguay	urugvay	uruguay
us	biz	united states
usa	aqsh	usa
usb	usb	usb
uss	uss	uss
ussr	ussr	old sovjet political government
ut	ut	university twente
utc	utc	utc
utc+	utc +	utc +
utrecht	utrecht	utrecht
utrechtse	utrechtse	utrecht
uur	soat	hour
uw	sizning	your
v	v	v
vaag	noaniq	vague
vaak	tez-tez	often
vaardigheden	ko&#39;nikmalar	skills
vaart	tezlik	speed
vaatziekten	qon tomir kasalliklari	vascular diseases
vacant	bo&#39;sh	vacant
vaccin	emlash	vaccine
vaccinatie	emlash	vaccination
vacht	palto	coat
vacuüm	vakuum	vacuum
vader	otasi	father
vaderland	ona yurt	homeland
vaders	otalar	fathers
vagant	bema&#39;ni	extravagant
vagina	qin	vagina
vaginale	qin	vaginal
vak	maydon	section
vakbonden	kasaba uyushmalari	unions
vaker	yanada tez-tez	more often
val	tushish	fall
valencia	valensiya	valencia
vallei	vodiysi	valley
valleien	vodiylari	valleys
vallen	tushish	to fall
valley	vodiysi	valley
valse	yolg&#39;on	false
valt	tushadi	comes - in these particular sentences
valuergb	qadrlash	rgb value
van	dan	of
vanaf	dan	from
vandaag	bugun	today
vandaan	dan	"come ( always in connection with another word: ""vandaan komen"": come from"
vandaar	shu sababli	on that account
vanessa	vanessa	vanessa
vangen	tutib olmoq	catch
vanouds	qadimgi	traditionally
vanuit	dan	out of
vanwege	sababli	because of
vanzelf	o&#39;zi tomonidan	as a matter of course
vanzelfsprekend	tabiiy ravishda	obvious
varen	yelkan	to navigate
variant	variant	variant
varianten	variantlar	variaties
variatie	o&#39;zgaruvchanlik	variation
variaties	o&#39;zgarishlari	variaties
varieert	o&#39;zgaradi	varies
variëren	farq qilmoq	vary
variërend	o&#39;zgaruvchan	varying
variëteiten	navlari	variations
varkens	cho&#39;chqalar	pigs
varkensgriep	cho&#39;chqa grippi	swine-flu
vast	sobit	solid
vaste	sobit	solid
vasteland	materik	mainland
vasten	ro&#39;za tutish	fasting
vastgehouden	o&#39;tkazildi	held
vastgelegd	ushlandi	defined
vastgesteld	tashkil etilgan	located
vasthouden	ushlamoq	to hold on to
vaststellen	aniqlang	identify
vat	bochka	barrel
vaticaan	vatikan	vatican
vaticaans	vatikan	vatican
vaticaanstad	vatikan shahri	vatican city
vb	masalan	eg
vchr	b.c	b.c.
vecht	jang	vecht (proper name - river - 2nd and 4th sentence), fight (6th sentence)
vechten	jang	to fight
vee	qoramol	cattle
veel	juda ko&#39;p	many
veelal	tez-tez	often,  e.g.: the products are often sweets...etc.
veelgebruikte	keng tarqalgan	commonly used
veelvuldig	tez-tez	multiple
veen	torf	veen
veertien	o&#39;n to&#39;rt	fourteen
veertiende	o&#39;n to&#39;rtinchi	fourteenth
veertig	qirq	forty
veeteelt	chorvachilik	livestock farming
vegas	vegas	vegas
vegetatie	o&#39;simlik	vegetation
veilig	xavfsiz	safe
veilige	xavfsiz	safe
veiligheid	xavfsizlik	security
veiligheidsraad	xavfsizlik kengashi	security council
veld	maydon	field
velde	maydon	velde - proper noun - surname
velden	maydonlar	fields
veldtocht	kampaniyasi	campaign
veldzuring	shovul	dock
vele	juda ko&#39;p	many
velen	juda ko&#39;p	many <referring to people>
veluwe	veluwe	veluwe
venetië	venetsiya	venice (place)
venezuela	venesuela	venezuela (proper noun - country)
venlo	venlo	seattle
venus	venera	venus
ver	uzoq	far
veranderd	o&#39;zgartirildi	changed
veranderde	o&#39;zgartirildi	changed
veranderden	o&#39;zgartirildi	changed
veranderen	o&#39;zgartirish	to change
verandering	o&#39;zgartirish	change
veranderingen	o&#39;zgaradi	changes
verandert	o&#39;zgaradi	changes
verantwoordelijk	javobgar	responsible
verantwoordelijkheden	majburiyatlar	responsibilities
verantwoordelijkheid	javobgarlik	responsibility
verantwoording	hisobdorlik	responsiblity
verband	bandaj	connection
verbannen	taqiqlangan	to expel
verbeelding	xayol	imagination
verbergen	yashirish	hide
verbeterd	yaxshilandi	improved
verbeterde	yaxshilandi	improved
verbeteren	yaxshilang	improve
verbetering	takomillashtirish	improvement
verbeteringen	takomillashtirish	improvements
verbieden	man qilmoq	prohibit
verbinden	ulanish uchun	link
verbinding	havola	connection
verbindingen	ulanishlar	connections
verbindt	ulanadi	binds
verbleef	qoldi	stayed
verblijf	yashash joyi	residence
verblijven	turmoq	staying - 1st sentence, stay - 3rd and 5th sentence
verbod	taqiq	prohibition
verboden	taqiqlangan	forbidden
verbond	ahd	covenant
verbonden	ulangan	connected
verbood	taqiqlangan	forbid
verborgen	yashirin	hidden
verbouwd	qayta qurilgan	rebuilt
verbrand	yondi	burned
verbranden	yoqmoq	incinerate
verbranding	yonish	burn
verbroken	singan	terminated
verdacht	shubhali	suspicious
verdedigd	himoya qildi	defended
verdedigde	himoya qildi	defended
verdedigen	himoya qilish	defend
verdediger	himoyachisi	defender
verdedigers	himoyachilar	defenders
verdediging	mudofaa	defence
verdeeld	bo&#39;lingan	divided
verdeeldheid	bo&#39;linish	division
verdelen	bo&#39;lmoq	divided
verdeling	tarqatish	distribution
verder	keyingi	further
verdere	keyingi	further
verdiende	loyiq	earned
verdienen	ishlab topmoq	earn
verdieping	qavat	floor
verdiepingen	qavatlar	deepenings
verdoving	behushlik	anesthetic
verdrag	kelishuv	treaty
verdragen	bardosh bermoq	treaties
verdreven	haydab chiqarildi	expelled
verdriet	qayg&#39;u	sorrow/ sadness
verdrijven	quvmoq	to expel
verdrongen	qatag&#39;on qilingan	repressed
verduren	bardosh bermoq	endure
verdween	ko&#39;zdan yo&#39;qoldi	disappeared
verdwenen	ko&#39;zdan yo&#39;qoldi	disappeared
verdwijnen	g&#39;oyib bo&#39;lmoq	disappear
verdwijnt	yo&#39;qoladi	disappears
vereerd	sharafli	honored
vereist	zarur	required
vereiste	talab qilinadi	required
veren	tuklar	feathers
verenigd	birlashgan	united
verenigde	birlashgan	united
verenigen	birlashmoq	to unite
vereniging	uyushma	union
verenigingen	uyushmalar	associations
verering	sig&#39;inish	worshipping
verf	bo&#39;yamoq	paint
verfilming	filmga moslashish	filming
vergadering	uchrashuv	meeting
vergaderingen	uchrashuvlar	meetings
vergeleken	taqqoslandi	compared
vergelijk	solishtiring	compare
vergelijkbaar	taqqoslanadigan	comparable
vergelijkbare	taqqoslanadigan	comparable
vergelijken	solishtiring	compare
vergelijking	taqqoslash	(in) comparison
vergelijkingen	taqqoslash	equations
vergeten	unutmoq	forget
vergezeld	hamrohlik qildi	accompanied
vergilius	virgil	virgil
vergroot	ortadi	increase
vergroten	kattalashtirish	to expand
verhaal	hikoya	story
verhaallijn	hikoya chizig&#39;i	storyline
verhaallijnen	hikoyalar	storylines
verhalen	hikoyalar	story
verhemelte	tanglay	canopy
verheven	yuksaldi	exalted
verhogen	oshirish	increase
verhoging	balandlik	increase
verhoogd	oshdi	increased
verhoogde	oshdi	increased
verhoogt	ortadi	put up
verhouding	nisbati	ratio
verhoudingen	munosabatlar	relationships
verhuisde	ko&#39;chib	moved
verhuizen	uzoqlashmoq	to move
verjaardag	tug&#39;ilgan kun	birthday
verkeer	transport	traffic
verkeerd	noto&#39;g&#39;ri	wrong
verkeerde	noto&#39;g&#39;ri	wrong
verkiezing	saylov	election
verkiezingen	saylovlar	elections
verklaard	e&#39;lon qilindi	declared
verklaarde	aytilgan	declared
verklaart	tushuntiradi	explains
verklaren	e&#39;lon qilmoq	explain
verklaring	bayonot	statement
verklaringen	tushuntirishlar	statements
verkocht	sotilgan	sold
verkochte	sotilgan	sold
verkoop	sotish	sales
verkoopcijfers	savdo ko&#39;rsatkichlari	salenumbers
verkopen	sotmoq	sell
verkopende	sotish	selling
verkoper	sotuvchi	salesman
verkozen	saylangan	chosen
verkrachting	zo&#39;rlash	rape
verkreeg	olingan	obtained
verkregen	olingan	obtained
verkrijgbaar	mavjud	available
verkrijgen	erishmoq	obtain
verlaat	barglari	leaves
verlangen	istak	desire
verlaten	qoldiring	to leave
verleden	o&#39;tgan	past
verleend	berilgan	granted
verleende	berilgan	granted
verlenen	grant	to grant
verlengd	uzaytirildi	prolonged
verlengde	uzaytirildi	continuation (1st sentence), extended (4th sentence)
verlicht	yoritilgan	enlighten
verlichting	yoritish	enlightment
verliefd	sevib qolgan	fell in love
verliep	ketdi	went
verlies	yo&#39;qotish	loss
verliest	yo&#39;qotish	loses
verliet	chapga	left
verlieten	chapga	left
verliezen	yoqotish	losses
verloop	kursi	course
verloopt	muddati tugaydi	expires
verloor	yo&#39;qolgan	lost
verlopen	muddati tugagan	run (5th sentence), are (8th sentence), ran (9th sentence)
verloren	yo&#39;qolgan	lost
verlossing	najot	salvation
verluidt	xabar berishicha	reportedly
vermeden	oldini olish	avoided
vermeende	taxmin qilinmoqda	alleged
vermeer	o&#39;sish	multiply
vermeld	zikr	mentioned
vermelden	zikr	mention
vermelding	zikr	mention
vermeldt	eslatib o&#39;tilgan	mentions
vermenigvuldigen	ko&#39;paytiring	multiply
vermijden	oldini olish	avoid
verminderd	kamaygan	decreased
verminderde	kamaygan	decreased
verminderen	kamaytirish	decrease
vermindering	kamaytirish	reduction
vermindert	kamayadi	reduces
vermoed	shubhali	suspected
vermoedelijk	ehtimol	probably
vermoeden	shubhali	suspicion
vermoedt	shubhali	suspects
vermoeidheid	charchoq	fatigue
vermogen	quvvat	ability
vermoord	o&#39;ldirilgan	murdered
vermoorden	qotillik	murder
vernietigd	yo&#39;q qilindi	destroyed
vernietiging	yo&#39;q qilish	destruction
vernietigingskamp	qirg&#39;in lageri	extermination camp
vernietigingskampen	qirg&#39;in lageri	extermination camps
vernieuwende	innovatsion	renewed
vernieuwing	yangilanish	renewal
vernoemd	nomlangan	named
verona	verona	verona
verondersteld	taxmin qilinmoqda	assumed
veronderstelde	taxmin qilinmoqda	assumed
veronderstelling	taxmin	assumption
veronica	veronika	veronica
veroordeeld	sudlangan	convicted
veroordeelde	mahkum	convicted
veroordeling	ishonch	condemnation
veroorzaakt	sabablari	caused
veroorzaakte	sabab bo&#39;ldi	caused
veroorzaken	sabab	cause
verouderde	eskirgan	outdated
veroverd	fath qildi	conquered
veroverde	fath qildi	conquered
veroverden	fath qildi	conquered
veroveren	zabt etmoq	conquer
verovering	zabt etish	conquest
veroveringen	fathlar	conquers
verpakking	qadoqlash	packaging
verplaatsen	ko&#39;chirish	move
verplaatst	ko&#39;chib	moved
verplicht	majburiy	required
verplichte	majburiy	mandatory
verplichting	majburiyat	obligation
verplichtingen	majburiyatlar	obligations
verrassend	ajablantiradigan	surprisingly
