$	dollar təşkil edib	american dollar symbol
புரிந்துகொள்ள	başa düşmək	to be understood
புருஷ	kişi	god of vasthu
புருஷன்	ər	husband
புரோப்பிலீன்	propilen	proplin
புரோமித்தியம்	prometium	promethium
புற	xarici	outer
புறஊதா	ultraviyole	ultra violet
புறணி	astarlı	cortex
புறநகர்	şəhərətrafı	bye pass
புறநானூறு	purananuru	tamil poem
புறப்பட்ட	ayrılmaq	get started
புறப்பொருள்	məqsəd	outer activities
புறம்	buna baxmayaraq	side
புறம்பாக	i̇stisna olmaqla	illegally
புறா	göyərçin	pigeon
புறொக்ஸி	vəkil	proxy
புற்றணுக்கள்	onkogenlər	like dna
புற்று	xərçəng	cancer
புற்றுநோய்	xərçəng	cancer
புற்றுநோய்க்கான	xərçəng üçün	for the cancer
புற்றுநோய்க்கு	xərçəng	for cancer
புற்றுப்பண்பு	zərərli	tumours
புலன்	sense	sensory
புலப்படும்	görünəndir	visible
புலமை	təqaüd	proficiency
புலம்	sahə	sect
புலம்பெயர்ந்த	qürbətçi	to migrate
புலவர்	şair	poet
புலி	pələng	tiger
புலிகளிடம்	pələnglər	from tigers
புலிகளுக்கு	pələnglər	ltte
புலிகளும்	pələnglər	tigers
புலிகளை	pələnglər	tigers
புலிகளைக்	pələnglər	tigers
புலியானது	pələng	tiger
புலியின்	pələngin	tiger
புலியை	pələng	tiger
புல்	ot	grass
புல்வெளி	çəmənlik	lawn
புளுடூத்	bluetooth	blue tooth
புளுட்டோ	pluton	fluto
புளூட்டோ	pluton	pluto
புளோரிடா	florida	florida
புள்ளி	nöqtə	statistics
புள்ளிகளில்	xallar	points
புள்ளிகளை	xallar	dots
புள்ளிகள்	xallar	points
புள்ளிக்	ləkəli	dot
புள்ளியியல்	statistika	status
புள்ளிவிவரங்கள்	rəqəmlər	statistics
புள்ளிவிவரம்	statistika	statistics
புழக்கத்தில்	dövriyyə	public
புழுக்கள்	qurdlar	worms
புவி	yer	earth
புவியமைப்பு	coğrafiyası	world status
புவியின்	yerin	earth's
புவியியற்	coğrafi	geographic
புவியியலின்	coğrafiya	of geography
புவியியல்	coğrafiya	geographic
புவியில்	yer üzündə	in the earth
புவியை	yer	earth
புஷ்	buş	bush
பூ	çiçək	flower
பூகோள	qlobal	relating to geography
பூக்கள்	çiçəklər	flowers
பூக்கும்	çiçəklənmə	flowering
பூங்கா	park	park
பூங்காக்கள்	parklar	park
பூங்காவின்	park	park's
பூங்காவில்	park	park
பூசை	təkrarlamaq	pooja
பூச்சிகள்	həşəratlar	insects
பூச்சிக்கொல்லிகள்	pestisidlər	pesticide
பூச்சிய	sıfır	nothing
பூச்சியுண்ணி	pucciyunni	insect eating
பூஜை	puja	ritual
பூஞ்சை	göbələklər	fungus
பூட்டான்	butan	country
பூனை	pişik	cats
பூப்பெய்திய	puppeytiya	puppeytiya
பூமி	yer	earth
பூமிக்கு	yerə	down to earth
பூமியின்	yer	in the earth
பூமியிலிருந்து	yerdən	from the earth
பூமியில்	yer	in the earth
பூமியை	yer	earth
பூமியைச்	yer	the earth
பூரட்டாதி	purattati	a naksatra in tamil horoscope
பூரான்	centipede	centipede
பூர்டோ	puerto	burdo
பூர்த்தி	doldurun	to complete
பூர்வ	erkən	charge
பூர்வமாக	elan etməklə	with rights
பூர்வீக	doğma	traditional
பூவே	poove	flower
பெங்களூரின்	bangalore	bangaloru
பெங்களூரில்	bangalorada	it is a name of bangalore city
பெங்களூரு	bangalore	bangalore
பெடரல்	federal	federal
பெட்டி	qutu	box
பெட்டியில்	qutuda	compartment
பெட்ரோலிய	neft	petroleum
பெட்ரோலியம்	neft	petrollium
பெண்	qız	girl
பெண்களின்	qadınlar	ladies
பெண்களில்	qadınlarda	women
பெண்களுக்கான	qadınlar üçün	for women
பெண்களுக்கு	qadınlar üçün	women
பெண்களும்	qadınlar	woman
பெண்களை	qadınlar	ladies
பெண்கள்	qadınlar	ladies or women
பெண்ணின்	qadın	female
பெண்ணியம்	feminizm	illegal action on woman
பெண்ணும்	qadın	girl
பெண்ணை	qadın	girl
பென்	ben	ben
பென்சைல்	benzil	phensyl
பெப்ரவரி	fevral	february
பெம்ஃபெரைடீ	pemhperaiti	pempheridae a fish family
பெயரளவு	nominal	namely
பெயராக	adı ilə	in the name of
பெயராகும்	adı	name
பெயரான	adı	name of
பெயரால்	adı ilə	in the name of
பெயரிடப்பட்ட	adlandirilib	named
பெயரிட்டார்	adlandirilib	named
பெயரின்	adı	name
பெயரில்	adı ilə	in the name of
பெயரும்	adı	name
பெயரெச்சம்	i̇ştirak	grammer
பெயரே	namussuz	name
பெயரை	adı	name
பெயரைக்	adı	having the name
பெயரையும்	adı	name
பெயர்	adı	name
பெயர்களால்	adlarla	names
பெயர்களில்	adlar	in the names
பெயர்களும்	adlar	names of
பெயர்கள்	adlar	names
பெயர்க்	ad etiketləri	namely
பெய்யும்	daha ağırdır	rains
பெரிதாக	böyüdülmüşdür	bigger
பெரிதும்	daha çox	greatly
பெரிய	əla	big , large
பெரியகுளம்	periakulam	periyakulama ,place in madurai district
பெரியதாகும்	daha böyük	large
பெரியது	daha böyük	biggest
பெரியதும்	genişdir	biggest
பெரியாரின்	-j	a tamil freedom fighter or reformer periyar
பெரியார்	periyar	periyar
பெரு	peru	huge
பெருகி	çarpın	growing
பெருக்கல்	çarpın	multiplication
பெருக்கும்	təkrarlayın	increase
பெருங்	holokost	big one
பெருங்கடலின்	okeanın	of ocean
பெருங்கடல்	okean	ocean
பெருங்கடல்களின்	okeanlar	in the ocean
பெருங்குடல்	kolon	large intestine
பெருஞ்	əla	great
பெருஞ்சுவர்	böyük divar	greatwall
பெருந்	genişdir	big
பெருந்தலைவர்	əla	big
பெருமளவிலான	genişdir	in larger amount
பெருமளவில்	vəhşi	maximum
பெருமளவு	genişdir	in large scale
பெருமாள்	perumal	perumal
பெருமூளைப்	serebral	brain
பெருமை	şöhrət	honour
பெருமையை	qürur	proudness
பெரும்	əla	great
பெரும்பகுதி	çox şey	most parts of
பெரும்பகுதியை	çox şey	many places
பெரும்பான்மை	əksəriyyət	majority
பெரும்பான்மையாக	əksəriyyət üçün	majority
பெரும்பான்மையான	ən çox	majority
பெரும்பான்மையானோர்	ən çox	majority
பெரும்பான்மையினராக	üstünlük	majority
பெரும்பாலானவர்கள்	ən çox	majority
பெரும்பாலானவை	ən çox	of majority
பெரும்பாலானோர்	ən çox	more all
பெரும்பாலும்	tez-tez	maximam
பெருவாரியான	saysız	majority
பெருவுடையார்	peruvutaiyar	big temple in thanjavur
பெர்முடா	bermuda	permuda
பெர்லின்	berlin	berlin
பெர்ள்	perl	perl
பெற	get	want
பெறப்பட்ட	alinib	obtained
பெறப்பட்டது	alinib	got
பெறமுடியும்	ala bilər	can get
பெறலாம்	get	can be had
பெறவில்லை	alınmadı	do not get
பெறவும்	get	receive
பெறாத	i̇ntuitivdir	not getting
பெறுகின்றது	alır	getting
பெறுகிறது	almaq	gettingplace
பெறுதல்	almaq	receive
பெறுமதி	dəyər	values
பெறுமானம்	dəyər	huge
பெறும்	alın	having
பெறுவதற்காக	almaq üçün	to get
பெறுவதற்கு	çıxarış	to get
பெறுவது	almaq	to get
பெற்ற	alinib	receive
பெற்றதாகும்	qazandı	got
பெற்றது	alinib	was
பெற்றன	alinib	got
பெற்றனர்	alinib	they got
பெற்றவர்	alıcı	the recipient
பெற்றவர்கள்	alıcılar	people who got
பெற்றவை	alinib	have
பெற்றான்	alinib	got from
பெற்றார்	alinib	he received
பெற்றிருக்கின்றன	var	got the shape
பெற்றிருக்கிறது	aldı	has
பெற்றிருக்கும்	təchiz olunmuşdur	containing
பெற்றிருந்தது	oldu	capitalize
பெற்றிருந்தனர்	oldu	had
பெற்று	get	got
பெற்றுக்	alinib	receive
பெற்றுத்	qazandı	got
பெற்றுள்ள	alinib	recieve
பெற்றுள்ளன	var	has the
பெற்றுள்ளனர்	alinib	received
பெற்றுள்ளார்	var	received
பெற்றோர்	valideynlər	parents
பெல்	zəng	alexander graham bell
பெல்ஜியம்	belçika	belgium
பெளத்தம்	buddizm	buddhists, a religion
பேகம்	başlayın	begum , islam name
பேசப்படுகிறது	danışıq	spoken
பேசப்படும்	danışıq	spoken
பேசப்பட்டு	danışıq	speaking
பேசாதே	danışma	dont talk
பேசிய	danışan	spoken
பேசும்	danışan	talks
பேசுவோர்	danışan	speakers
பேச்சு	nitq	speech
பேச்சுக்கள்	danışıqlar	speeches
பேச்சுவார்த்தை	razılaşdırılıb	conference/meeting
பேச்சுவார்த்தைகள்	danışıqlar	discussions
பேணி	qayğılandı	protect
பேன்	bane	louse
பேய்	heyif	ghost
பேரரசன்	i̇mperator	the king the great
பேரரசர்	i̇mperator	emperor
பேரரசாக	i̇mperiya	the empire
பேரரசின்	i̇mperiya	big kingdom
பேரரசு	i̇mperiya	empire
பேரரசுகள்	i̇mperiyalar	great kingdoms
பேரரசுவாதம்	i̇mperializm	imperialism
பேரரசை	i̇mperiya	great kingdom
பேரலைகள்	dalğalar	ocean tides
பேரழிவு	fəlakət	mass destruction
பேரழிவுகள்	fəlakətlər	destroy
பேரவை	konfrans	legislative
பேரா	bera	professor
பேராசிரியர்	professor	professor
பேரினம்	cins	genus
பேரியம்	bariy	barium
பேரில்	yandır	in their name
பேருக்கு	xalq	per person
பேருந்து	avtobus	bus
பேருந்துகள்	avtobuslar	buses
பேர்	daha çox	numbers
பேஸ்	tempi	face
பேஸ்பால்	beysbol	baseball
பை	tort	bag
பைசா	pisa	paise of indian currency
பையன்	guy	boy
பைராம்	bayram	bairam
பொங்கல்	pongal	pongal celebration in tamil nadu
பொண்டாட்டி	arvad	wife
பொண்ணு	qız	girl
பொதி	qablaşdırma	packet
பொது	ümumi	public
பொதுக்	ümumi	public
பொதுச்	ümumi	public
பொதுத்	ümumi	general
பொதுநலவாய	birlik	commonwealth
பொதுப்	başlıq	comon
பொதுமக்களின்	mülki şəxslərdən	public
பொதுமக்களுக்கு	xalqa	public
பொதுமக்களும்	vətəndaşlar	the public and
பொதுமக்கள்	xalqa	the general publics
பொதுவாக	ümumiyyətlə	generally
பொதுவாகக்	ümumiyyətlə	generally
பொதுவாகப்	ümumiyyətlə	in genral
பொதுவான	ümumi	commonly or in general
பொதுவுடமை	kommunizm	communism
பொதுவுடமைக்	kommunist	liberal
பொதுவுடைமை	kommunizm	democratic
பொத்தான்	düymə	buttons
பொன்	qızıl	gold
பொன்சாய்	bonsai	bonsai
பொன்னியின்	ponniyinselvan	ponniyin
பொம்மை	oyuncaq	toy
பொருட்களின்	mallar	things
பொருட்களில்	məhsullar	having that
பொருட்களும்	əşyalar	things
பொருட்களை	əşyalar	things
பொருட்களைக்	obyektlər	things
பொருட்களையும்	şeylər	things
பொருட்கள்	mallar	things
பொருட்டு	sifarişdə	to awoid
பொருண்மை	kütləvi	mass
பொருண்மைகள்	i̇ddiaçılar	masses
பொருத்த	uyğun	on
பொருத்தமான	tapıldı	appropriate
பொருத்தமானது	uyğun	very suitable
பொருத்தம்	uyğun	matching
பொருத்தி	uyğun	fit
பொருத்திக்	tətbiq	fix
பொருத்து	uyğun	depending on the
பொருந்தி	uyğunluq	fix
பொருந்தும்	uyğun	fix
பொருளாக	mövzu	object
பொருளாகும்	məna	material
பொருளாதார	i̇qtisadi	economy
பொருளாதாரக்	i̇qtisadi	economic policies
பொருளாதாரச்	i̇qtisadi	economic
பொருளாதாரத்தின்	i̇qtisadiyyatın	of the economy
பொருளாதாரத்தில்	i̇qtisadiyyatda	economics
பொருளாதாரத்தை	i̇qtisadiyyat	economy
பொருளாதாரப்	i̇qtisadi	economical
பொருளின்	obyekt	thing
பொருளியலாளர்கள்	i̇qtisadçılar	economists
பொருளியல்	i̇qtisadiyyat	production
பொருளில்	əslində	of
பொருளும்	məna	thing
பொருளை	məna	thing
பொருள்	məna	product
பொருள்களும்	obyektlər	things
பொருள்களை	məhsullar	objects
பொருள்கள்	şeylər	things
பொருள்படும்	məna	meaning
பொறி	qızdırıcı	engine
பொறிகள்	mühərriklər	engine
பொறித்த	mühəndisdir	fried
பொறிமுறை	mexani̇kalar	mechanics
பொறியாளர்	mühəndis	engineer
பொறியியல்	mühəndislik	engineering
பொறுத்த	üçün	for the
பொறுத்தது	asılıdır	depends
பொறுத்தவரை	üçün	according to
பொறுத்து	asılı olaraq	conform
பொறுப்பில்	məsuliyyət	in charge
பொறுப்பை	məsuliyyət	responsibilities
பொறையன்	poraiyan	poraiyan
பொலினீசியா	polineziya	polynessia
பொழுது	nə vaxt	at that time
பொழுதுபோக்கு	əyləncə	hobby
பொழுதும்	nə vaxt	when
போ	gedin	go
போக	getmək	destroy
போகர்	poker	poker
போகிறது	gedir	going
போகும்	gedir	go
போக்கு	trend	a way
போக்குவரத்து	nəqliyyat	transports
போக்குவரத்துக்	nəqliyyat	transport
போக்கை	kurs	course
போட்டி	rəqabət	competition
போட்டிகளில்	müsabiqələrdə	competition
போட்டிகளை	müsabiqələr	matches
போட்டிகள்	müsabiqələr	competitions
போட்டியிட்ட	mübahisəli	participating
போட்டியில்	müsabiqə	game
போட்டியை	rəqabət	competition
போட்டு	qoy	to amend
போட்டுக்	tökülür	put
போதகர்	təlimatçı	preacher
போதனை	tədris	slogan
போதிசத்துவர்	bodhisattva	pothy sathuvar
போதிய	qeyri-adekvat	enough
போதிலும்	baxmayaraq	so that
போது	nə vaxt	while
போதுமான	yetər	enough
போதுமானதாக	yetər	sufficient
போதும்	yetər	enough
போதே	hami	when
போத்துக்கீசர்	pottukkicar	porttukiciyar
போன	i̇tkin	past
போனது	məhkumdur	gone up
போனாலும்	baxmayaraq	eventhough it is gone
போன்ற	kimi	likewise
போன்றது	kimi	like than
போன்றன	və s.	like that
போன்றனவும்	daxil edin	like that
போன்றவர்கள்	kimi	including that people
போன்றவற்றால்	və s.	towards
போன்றவற்றின்	və s.	there were
போன்றவற்றில்	və s.	thems
போன்றவற்றை	və s.	like that
போன்றவற்றைக்	məhsullar	like that
போன்றவற்றைப்	və s.	therealso
போன்றவற்றையும்	və s.	as
போன்றவை	və s	like that
போன்றவைகளை	a	all that
போன்றவையும்	və s.	that also
போன்று	kimi	like wise
போன்றே	kimi	like that
போன்றோரின்	və s.	that people also
போப்	papa	pop
போராடிய	döyüşdü	fight
போராட்ட	mübarizə	struggle
போராட்டங்கள்	mübarizələr	struggle
போராட்டத்தில்	mübarizə	in the struggle
போராட்டத்தை	mübarizə	struggle
போராட்டம்	mübarizə	ahimsa
போராளி	hərbçi	war man
போராளிகள்	döyüşçülər	warriors
போரிட்டு	mübarizə	battled
போரினால்	müharibə yolu ilə	war
போரின்	döyüşü	wars
போரில்	döyüşdə	in the war
போருக்கான	müharibəyə	for war
போருக்கு	müharibəyə	war
போருக்குப்	müharibə	war
போரை	müharibə	war
போர்	müharibə	war
போர்களின்	müharibələrin	war
போர்களில்	döyüşlər	in wars
போர்களும்	müharibələr	wars
போர்கள்	döyüşlər	wars
போர்க்	borg	war
போர்ச்சுகீசிய	portuqalca	portukese
போர்ட்	liman	port
போர்ட்-ஓ-பிரின்ஸ்	port-au-prince	port-au-prince
போற்றி	qayğılandı	pray
போல	kimi	as it is
போலக்	pollack	pollack
போலத்	kimi	like as
போலந்து	polşa	poland
போலன்றி	fərqli olaraq	likewise
போலப்	kimi	as
போலவும்	kimi	likewise
போலவே	kimi	like wise
போலீஸ்	polis	police
போலும்	səslər	than/compare
போஸ்	bose	bose
போஸ்ட்	yazı	post
பௌதிக	fiziki	buddhist
பௌதீக	fiziki	physical
பௌத்த	buddist	buddhism
பௌத்தம்	buddizm	soul
பௌர்ணமி	bütöv ay	full moon
ப்ளூஸ்	blues	blues
மகசூல்	gəlir	production
மகத்தான	əla	important
மகனான	oğul	son
மகனும்	oğul	his son also
மகனே	oğul	son
மகன்	oğul	son
மகன்கள்	oğulları	sons
மகம்	maham	magam
மகரந்த	polen	pollen
மகரந்தக்காவி	makarantakkavi	pollen
மகரந்தங்களை	polen	sperm
மகரந்தங்கள்	polen	flowers
மகரந்தச்	polen	stamen
மகரந்தம்	polen	pollen
மகளிர்	qadınlar	women
மகள்	qızım	daughter
மகா	əla	big one
மகாகவி	şair	scholar
மகாதேவன்	mahadevan	mahadevan
மகாத்மா	mahatma	mahatma gandhi
மகான்	makan	great
மகாபாரதத்தின்	mahabharata	magabaratham
மகாபாரதம்	mahabharata	mahabharat
மகாராட்டிரம்	maharaştra	maharastra
மகாலட்சுமி	mahalakşmi	maha lakshmi
மகால்	mahal	mahal
மகாவம்சம்	mahavansa	mahavamsam
மகிந்த	mahinda	elected
மகிந்தன்	mahindan	mahindhan
மக்களடர்த்தி	sıx məskunlaşdığı	density of population
மக்களவை	ls	parliament
மக்களவைத்	ls	lok sabha election
மக்களாட்சி	demokrati̇ya	democratic
மக்களாட்சிக்	demokratik	democracy
மக்களால்	xalq	people
மக்களிடம்	xalq	among the people
மக்களிடையே	əhali	in people
மக்களில்	i̇nsanlarda	people
மக்களுக்காக	xalq üçün	for people
மக்களுக்கு	xalq	for people
மக்களுக்கும்	xalq	to the people
மக்களுடன்	i̇nsanlarla	with people
மக்களுடைய	xalq	people's
மக்களும்	xalq	people
மக்களே	xalq	people
மக்களை	xalq	people
மக்களைக்	xalq	peoples
மக்களைப்	xalq	for the people
மக்களையும்	xalq	for the people
மக்கள்	xalq	people
மக்கள்தொகை	əhali	populations
மக்கள்தொகையின்	əhalinin	population control
மக்கள்தொகையில்	əhali	human population
மக்காச்சோளம்	qarğıdalı	maize
மக்காலு	makalu	makalu a   name
மங்கல	evfemizm	sanitory
மசோதா	bill	law and order
மச்சு	rafters	machu
மஞ்சள்	sarı	turmeric
மடங்கு	qatlanın	times
மடல்	çırpın	letter
மட்ட	səviyyə	level
மட்டக்களப்பு	batticaloa	mattakillappu a town in sri lanka
மட்டத்திலிருந்து	yuxarıda	from ground
மட்டத்தில்	səviyyədə	at the level of
மட்டில்	sarımda	only one
மட்டுமல்ல	yalnız deyil	not only
மட்டுமல்லாது	yalnız deyil	not only
மட்டுமல்லாமல்	yalnız deyil	not only this
மட்டுமின்றி	yalnız deyil	only
மட்டுமில்லாமல்	yalnız deyil	not only
மட்டுமே	yalnız	only
மட்டும்	yalnız	only
மட்டும்தான்	yalnız	only
மட்டை	bat	bat
மண	evlilik	wed
மணத்தல்	manattal	married
மணந்தார்	ailəlidir	married
மணந்து	ailəlidir	marrie
மணம்	lavanda	married
மணற்கல்	qum daşı	sandstone
மணல்	qum	sand
மணி	saatlar	time
மணிக்கு	at	at the
மணித்துளி	mikrosekund	minits
மணிமேகலை	manimekhalai	manimekalai a tamil girl name
மண்	torpaq	soil
மண்டபங்கள்	zal	buildings
மண்டபத்தில்	zal	mandapam
மண்டபம்	zal	hall
மண்டலங்களின்	zonalar	state
மண்டலங்களில்	zonalarda	regions
மண்டலங்களுக்கு	kantonlar	regional wise
மண்டலங்களும்	bölgələr	regions
மண்டலங்கள்	zonalar	regions
மண்டலத்தின்	zona	zone
மண்டலத்தில்	zona	regions
மண்டலத்தை	zona	regional
மண்டலப்	regional	regional
மண்டலமும்	zona	layer
மண்டலம்	zona	region
மண்டேலா	mandela	mandela bridge
மண்டை	kəllə	head
மண்ணியல்	geomaqnit	pedology
மண்ணை	torpaq	soil
மண்முனை	manmunai	end
மத	dini	religion
மதக்	dini	religious
மதங்கள்	dinlər	religion
மதச்சார்பற்ற	dünyəvi	secular
மதத்தின்	dinin	religion
மதத்தில்	dində	in the religion
மதத்தை	din	religion
மதமும்	din	religion
மதம்	din	religion
மதராசு	mədrəsə	madras
மதராஸ்	mədrəsə	madras
மதர்	ana	mother
மதிப்பீடு	qiymətləndirmə	estimation
மதிப்பீடுகள்	reytinqlər	rating
மதிப்பீட்டு	qiymətləndirmə	valuation
மதிப்பு	hörmət edin	respect
மதிப்புகளை	dəyərlər	values
மதிப்புகள்	dəyərlər	values
மதிப்புக்	dəyər	value added
மதிப்பை	dəyər	value
மதிய	nahar	after noon
மதியிறுக்கம்	otizm	matiyirakkam
மது	şərab	liquor
மதுரை	maduray	madurai
மதுரைக்	maduray	madurai's
மதுரைக்கு	maduray	madurai
மதுரைத்	maturait	madurai
மதுரையில்	madurayda	in madurai(city)
மதுரையை	maduray	madurai
மத்திய	orta	central
மத்தியதரைக்	aralıq dənizi	mediterranean
மத்தியப்	madhya	centrally
மத்தியிலும்	rəğmən	among
மத்தியில்	arasında	central
மத்தேயு	matta	mathew
மந்திர	sehrli	manthra
மன	mana	heart
மனசு	ürək	mind
மனதில்	fikrində	in mind
மனதை	ürək	mind
மனநல	psixiatriya	psychiatry
மனம்	ağıl	very much liked
மனித	i̇nsan	human
மனிதக்	i̇nsan	humanly
மனிதனால்	adam	by human
மனிதனின்	kişi	of human
மனிதனும்	adam	human and
மனிதன்	adam	a man
மனிதப்	i̇nsan	human's
மனிதரின்	kişilər	human
மனிதரில்	i̇nsanlarda	in person
மனிதருக்கு	i̇nsanlara	for the humans
மனிதர்	adam	human
மனிதர்களால்	i̇nsanlar tərəfindən	by the human
மனிதர்களின்	kişilər	humans
மனிதர்களில்	i̇nsanlarda	among the humans
மனிதர்களுக்கு	i̇nsanlara	for the people
மனிதர்களுக்கும்	i̇nsanlara	human beings
மனிதர்களும்	i̇nsanlar	human
மனிதர்களை	kişilər	humans
மனிதர்கள்	xalq	human
மனு	ərizə	application
மனைகள்	süjetlər	houses
மனைவி	arvad	wife
மனைவிகள்	arvadlar	wives
மனைவியின்	arvadı	wife's
மனைவியும்	arvad	his wife
மனோ	mano	mind
மனோதத்துவ	psixoloji	psychological
மன்னனாக	kral	by the king
மன்னனான	kral	kings
மன்னனின்	kralın	king
மன்னனை	kral	king
மன்னராட்சி	şahzadə	monarch
மன்னர்	kral	king
மன்னர்களின்	krallar	kings
மன்னர்களை	krallar	kings
மன்னர்கள்	krallar	kings
மன்னா	manna	king
மன்னார்	mannar	mannar bay
மன்மோகன்	manmohan	manmohan
மன்றங்கள்	forumlar	associations
மன்றத்தில்	forum	association
மன்றம்	vəqf	association
மயில்	peacock	peacock
மர	taxta	wood
மரக்கறி	tərəvəz	vegetable
மரக்கறிகள்	tərəvəz	charcoal
மரங்களின்	ağaclar	trees
மரங்களும்	ağaclar	trees
மரங்களை	ağaclar	trees
மரங்கள்	ağaclar	trees
மரண	ölüm	deadly
மரணத்தின்	ölüm	death
மரணத்திற்கு	ölüm	death
மரணத்திற்குப்	ölüm	for death
மரணத்தை	ölüm	deadly
மரணம்	ölüm	death
மரத்தின்	ağac	tree
மரபகராதி	genom	a genetic code
மரபணு	gen	gentic material
மரபணுக்கள்	genlər	genes
மரபான	ənənəvi	traditonal
மரபினர்	qəbilə	old age
மரபின்	konvensiya	ancestral line
மரபியல்	genetika	gene
மரபில்	ənənəyə görə	sectarians
மரபு	şərti	culture
மரபுகளில்	ənənələr	traditional
மரபுகள்	ənənələr	ethics
மரபுக்	ənənəvi	arts
மரபுவழி	şəcərə	heridity
மரபை	ənənə	tradition
மரபைச்	qəlyanaltılar	traditional
மரமது	maramatu	referred to king
மரம்	taxta	tree
மராத்தி	marathi	marati
மராந்தாசியே	marantaciye	plant
மரியா	mariya	mary, maria
மரியாதை	nəzakət	respect
மருதம்	marutam	marudhan
மருதூர்	marutur	maruthur a place
மருத்துவ	tibbi	medicinal
மருத்துவக்	tibbi	medicine
மருத்துவத்	tibbi	medicinial
மருத்துவத்தின்	medikal olaraq	medicine
மருத்துவப்	dərman	medical
மருத்துவமனை	klinikalar	hospital
மருத்துவமனைகள்	xəstəxanalar	hospitals
மருத்துவமனையில்	xəstəxana	in hospital
மருத்துவம்	tibbi	medicines
மருத்துவரின்	doktorun	doctor
மருத்துவர்	doktor	doctor
மருத்துவர்கள்	həkimlər	doctors
மருந்து	əczaxanalar	medicine
மருந்துகள்	narkotik	medicines
மருமகள்	qardaşqızı	daughter in law
மருளூமத்தை	marulumattai	cockleburs
மருவி	maruvi	based
மருவிய	keçid	destroy
மறவர்	maravar	a community in tamilnadu
மறு	yenidən	rework
மறுக்கப்பட்ட	mübahisəli	rejected
மறுசீரமைப்பு	bərpa	renaissance
மறுத்தார்	rədd edildi	denied
மறுத்து	rədd edildi	oppose
மறுபக்கம்	çevrilmə tərəfində	behind
மறுபடியும்	yenidən	again
மறுப்பு	i̇mtina	objection
மறுமலர்ச்சி	i̇ntibah	renaissance
மறை	gizləyin	conceal
மறைந்த	gec	late
மறைந்து	yoxa çıxır	hidden
மறைமுக	dolayı	indirect
மறைமுகமாக	güman ki	indirect
மறையீட்டியல்	kriptovalyutası	suspence keep
மறைவு	kor	excavating
மறைவுக்குப்	ölüm	death
மற்ற	digərləri	other
மற்றது	digərləri	other
மற்றவர்கள்	digərləri	neighbours
மற்றவை	digərləri	balance
மற்றுமொரு	və	alternate
மற்றும்	və	and
மற்றைய	digərləri	other
மற்றொன்று	başqası	another one
மற்றொரு	başqası	another
மற்றோர்	başqası	another person
மலபார்	malabar	malabar
மலம்	nəcis	fecal
மலரின்	çiçək	flowers
மலர்	çiçək	book
மலர்களின்	çiçək	flowers
மலர்களில்	çiçəklər	flowers
மலர்கள்	çiçəklər	flowers
மலாக்கா	malakka	malacca
மலாய்	malay	malasian
மலேசிய	malayziya	malaysia
மலேசியா	malayziya	malaysia (it is a country)
மலேரியா	malyariya	maleria
மலை	dağ	mountains
மலைகளின்	dağlar	mountains
மலைகளில்	dağlarda	mountains
மலைகள்	dağlar	mountians
மலைத்தொடர்	dağlar	mountains
மலைத்தொடர்கள்	dağlar	mountese
மலைப்	dağlı	mountains
மலையமான்	malaiyaman	malayaman a king
மலையாள	malayalam	malayalam film industry
மலையின்	dağ	mountain
மலையில்	dağ	mountains
மழை	duş	rain
மழையால்	yağışla	by rain
மவுண்ட்	mt	mount
மவோரி	mavori	mavori
மஹால்	mahal	mahal
மா	ma	a sections of people
மாஃப்பியா	mafiya	mafia
மாகாண	i̇l	regional
மாகாணங்கள்	əyalətlər	states
மாகாணத்	əyalət	province
மாகாணத்தின்	əyalət	province of
மாகாணத்தில்	əyalət	in the ground
மாகாணம்	əyalət	corporation
மாசடைதல்	çirklənmə	polluted
மாசி	fevral	april
மாசு	çirklənmə	pollution
மாடு	i̇nək	cow
மாட்டேன்	olmayacaq	do not
மாணவர்	tələbələr	student
மாணவர்களின்	şagirdlər	in students
மாணவர்கள்	tələbələr	student
மாணிக்கம்	gem	blood-red colored gem stone
மாண்டரின்	mandarin	mandarin
மாத	aylıq	monthly
மாதங்களில்	aylar	monthly
மாதங்கள்	aylar	months
மாதத்தின்	ayın	of the month
மாதத்தில்	ayda	in the month
மாதப்	aylıq	month
மாதம்	ay	month of
மாதவிடாய்	menopoz	mensus
மாதவியின்	madhavi-nin	madhavi a tamil girl name
மாதவிலக்கு	premenstrüel sindrom	mensus
மாதிரிகளை	nümunələr	sampies
மாதிரிகள்	nümunələr	models
மாதிரியான	xeyirli	a
மாதிரியானது	model	model
மாதிரியை	layihə	samples
மாத்திரமே	yalnız	solely
மாத்திரம்	yalnız	alone
மாத்திரைகள்	tabletlər	tablets or pills
மாநகர	bələdiyyə	city
மாநகரங்கள்	şəhərlər	metropolitan
மாநகரப்	metropolitan	corporations
மாநகரம்	şəhər	corporation
மாநகராட்சி	korporasiya	corporation
மாநகரின்	şəhəri	corporation
மாநகர்	şəhər	city
மாநாடு	konfrans	conference
மாநாட்டில்	konfrans	conference
மாநில	dövlət	state
மாநிலங்களின்	dövlətlər	states
மாநிலங்களில்	dövlətlər	states
மாநிலங்களுக்கு	dövlətlər	states
மாநிலங்களும்	dövlətlər	states
மாநிலங்களை	dövlətlər	states
மாநிலங்கள்	dövlətlər	states
மாநிலத்	dövlət	state
மாநிலத்தின்	dövlət	states
மாநிலத்திலுள்ள	dövlətdə	from the states
