$ tỉ	$ miliardo	$ billion
mp	mp	mp
ms	ms	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	acquista	buy
much	molto	much
muhammad	maometto	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	mun	a vietnamese name
munich	monaco	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	tutto	a large number; thousands (adj.)
muối	sale	salt
muốn	vorrei	want
muống	ipomea	"(term should be ""rau muống"") water spinach (n.)"
muồi	maturità	ripe
muỗi	zanzara	mosquito
muỗng	cucchiaio	spoon
muội	fuliggine	confusion
muộn	in ritardo	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	myspace	(proper noun) myspace
mà	ma	also
mài	macinazione	tomorrow
màn	schermo	curtain (n.)
mành	persiane	a bamboo screen (n.)
mào	creste	a comb or crest, as in the body part of a bird
màu	colore	color
mày	voi	sew
má	madre	cheek
mác	votazione	a name (marx)
mách	suggerimenti	tell
máclênin	maclenin	marxist-leninist
mái	tetto	"entire term should be ""thoai mai""; means ""comfortable"""
mát	fresco	cool
máu	sangue	blood
máy	la macchina	a machine (n.)
mâm	vassoio	tray
mân	lucido	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	contraddizioni	contradiction
mây	nuvoloso	cloud
mã	codici	"(term should be ""la mã"") roman (adj.)"
mãi	per sempre	forever (adv.)
mãimại	maimai	commerce
mãn	compiacimento	satisfy
mãnh	manh	intense
mão	corona	cat
mè	sesamo	sesame
mèo	gatti	cat (n.)
mé	bordo	a border
méo	distorsione	alter
mép	bordo	edge
mét	metri	meter
mênh	immensità	vast
mêtan	metano	methane
mì	tagliatelle	wheat
mình	suo	me
mía	canna	sugar cane (n.)
mò	curioso	to grope (v.)
mòn	logoro	trail
móc	gancio	"(term should be ""máy móc"") machinery (n.)"
món	piatto	dish
mô	tessuto	mo
môi	labbro	lip
môn	soggetti	anus
mông	culo	mongolia
mônôxít	monossido	monoxide
môt	impareggiabile	"(term should be ""một"") one (n.)"
môtô	moto	motorcycle
mù	cieco	mu
mùa	stagione	season
mùi	l&#39;odore	smell
múa	ballare	dance
mút	suzione	to suck (v.)
münchen	monaco	(proper noun) munchen
măng	germogli di bambù	bamboo shoot (n.)
mĩ	mi	america
mũ	cappello	cap
mũi	naso	nose
mơ	albicocche	vague
mơn	mon	caress
mưa	pioggia	rain
mưu	personale	"(should be ""tham mưu"") advisors"
mươi	cinquanta	tens
mương	drain	ditch
mướn	affittare	hire
mướt	serico	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	borrow	borrow
mượt	lisciare	glossy (adj.)
mạc	tenda	"(should be ""mộc mạc"") simple or natural"
mạch	circuito	vessel
mại	commercio	commerce
mạn	romantico	romantic
mạnh	forte	strong
mạo	aspetto	"(should be ""mạo hiểm"") to brave danger"
mạt	grinta	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	grave	tomb or grave (n.)
mải	mai	absorbedly
mảng	piastra	genre
mảnh	pezzi	piece
mất	perso	lose
mấu	linea	key
mấy	pochi	any
mầm	germe	kindergarten
mầu	mistero	color
mẩu	pezzi	piece
mận	prugna	plum
mập	corpulento	fat
mật	assicurato	intimate
mậu	commercio	mau
mắc	soffrire	get
mắm	salsa di pesce	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	per fortuna	"(term should be ""may mắn"") fortunate (adj.)"
mắng	rimproverò	scold
mắt	occhio	eye
mặc	abbigliamento	wear
mặn	sale	salt
mặt	faccia	face
mẹ	madre	mother (n.)
mẹo	suggerimenti	trick
mẻ	zero	cool
mẽ	forte	strong
mến	caro	to adore or like greatly (v.)
mề	ventriglio	locket
mềm	morbido	soft
mệnh	par	revolution
mệt	malato	tired
mỉ	dettagliato	meticulous
mỉa	sarcasmo	ironic
mỉm	sorridente	smile
mịch	mich	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	lisciare	smooth
mịt	spesso	dim
mọc	crescere	to grow (v.)
mọi	tutto	every
mọn	minore	lowly
mỏ	fattura	mine
mỏi	fatica	tired (adj.)
mỏng	sottile	thin
mốc	ammuffito	border
mối	termiti	relationship
mốt	moda	fashion or style (n.)
mồ	sudore	"(term should be ""mồ hôi"") sweat (n.)"
mồi	cava	bait (n.)
mổ	chirurgia	to dissect or perform surgery (v.)
mỗi	ogni	every
mộ	tomba	admire
mộc	carpenteria	simple
mộng	sognare	dream
một	uno	one
mới	nuovo	new (adj.)
mờ	opaco	dim
mời	invitare	invite
mở	aperto	open
mỡ	grasso	fat or grease (n.)
mục	l&#39;oggetto	purpose
mụn	acne	pimple
mức	livelli	level
mứt	marmellata	preserve
mừng	benvenuto	to be happy
mửa	vomito	to vomit (v.)
mực	inchiostro	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	grano	noodles (n.)
mỹ	bene	america
mỹcông	mycong	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	cervo	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	a sud	male
nambắc	nambac	nambac
namibia	namibia	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	follicolo	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	canino	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleone	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoleone	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	sodio	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarra	navarre
nay	presente	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	ancora	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	rete	net
netbook	netbook	netbook
netscape	netscape	netscape
networks	reti	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	neverland	neverland
newcastle	newcastle	newcastle
newspaper	giornale	newspaper
newton	newton	newton
newtons	newton	(proper noun) newton's
next	prossimo	next
nga	russia	russia
ngai	trono	crown
ngang	trasversale	horizontal
ngao	mollusco	clam (n.)
ngay	proprio ora	even
nghe	ascoltare	hear
nghinh	nghinh	welcome
nghiêm	gravemente	serious
nghiêng	inclinato	inclined
nghiêu	efa	nghiêu, a vietnamese name
nghiền	mulino	crush
nghiễm	automaticamente	serious
nghiệm	esperienza	experiment
nghiện	dipendenza	addiction
nghiệp	industria	karma/ sự nghiệp=career
nghiệt	grave	adverse
nghành	industria	faculty
nghèo	povero	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	leoni	nghe khuong
nghênh	benvenuto	support
nghìn	mille	thousand
nghĩ	pensare	think
nghĩa	significato	meaning
nghẽn	congestione	jam
nghếch	nghếch	stupid
nghề	occupazione	career
nghệquận	nghequan	art district
nghỉ	vacanza	relaxation
nghị	conferenza	think
ngo	delicato	ngo
ngoan	bravo ragazzo	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	gustoso	delicious
ngoài	fuori	outside of
ngoại	scambio	external
ngoạn	mozzafiato	spectacular
ngoặc	parentesi	bracket
ngoặt	punto di svolta	landmark
ngu	sciocco	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	originale	reason
nguyền	maledire	curse
nguyện	voto	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	quarto	moon
nguôi	calmante	fade away
nguồn	fonte	source
nguời	persona	people
nguỵ	nguy	camouflage
ngà	avorio	russian
ngàn	mille	thousand
ngàng	arrivo	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	ramo	sector
ngào	dolce	sweet
ngày	giorno	day
ngách	vicolo	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	stordito	chinese ethnic group living in the vietnamese highlands near the china border
ngán	annoiato	to be tired of
ngáng	spreader	stop
ngát	infiorata	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bancario	money
ngây	senza espressione	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	coriandolo	coriander
ngó	sguardo	to look (v.)
ngói	piastrella	tile or shingle
ngón	dito	a finger (n.)
ngót	restringimento	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	discorso	manifesto
ngông	oca	eccentric
ngõ	corsia	lane
ngùi	feelingly	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	scomparto	prevent
ngũ	sonno	rank
ngơ	cieco	ignored (adj.)
ngơi	affari	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	pescatori	fishermen
ngưng	cessare	stop
ngưu	bulls	buffalo
ngươi	te	an ancient form of address equivalent to thou or thee (n.)
người	persone	people
ngưỡng	soglia	religious
ngược	retromarcia	opposite
ngạc	piacevolmente	surprise
ngạch	quota	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	riva destra	bank
ngạnh	barbiglio	self-willed
ngạo	presuntuoso	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	asfittico	stuffy
ngấm	percolare	draw
ngất	svenimenti	unconscious
ngầm	implicito	underground
ngần	timido	hesitate
ngẩn	sciocco	froze
ngẫm	ngam	think
ngẫu	casuale	ngẫu nhiên= random
ngậm	idratato	keep
ngập	allagato	flood
ngắm	contemplare	to contemplate or look admiringly at something (v.)
ngắn	breve	short
ngặt	rigoroso	strict
ngọ	mezzogiorno	horse
ngọc	gemma	pearl
ngọn	top	top
ngọt	dolce	sweet (adj.)
ngồi	sit	sit
ngộ	trattamento	ngo
ngột	inaspettatamente	sudden
ngớ	sciocco	silly
ngời	brillantemente	bright
ngỡ	pensiero	surprised
ngợi	lode	praise
ngợm	cattivo	naughty
ngục	inferno	dungeon
ngụm	sorseggiare	sip
ngụy	burattino	puppet
ngủ	a dormire	sleep
ngủi	vissuto	"(should be ""ngắn ngủi"") short-lived"
ngứa	pizzicore	itchy
ngừ	tonno	tuna
ngừa	preventivo	prevent
ngừng	cessare	to cease (v.)
ngửa	a faccia in su	supine
ngửi	odore	to smell
ngữ	lingua	term
ngự	seduto	defend
ngựa	cavallo	horse
ngực	petto	chest
nha	nha	dental
nhakẻ	nhake	nha-ke
nham	lava	"(actual term is ""dung nham"") lava"
nhan	intitolato	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	incenso	incense
nhanh	veloce	fast
nhat	nhat	nhat
nhen	acceso	rekindle
nhi	bambini	junior
nhiên	corso	tuy nhiên= however
nhiêu	molto	how many
nhiều	molti	numerous
nhiễm	infezione	infect
nhiễu	interferenza	noise
nhiệm	responsabilità	task
nhiệt	calore	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	necessità	demand
nhuận	profitto	leap year
nhuệ	elite	elite
nhuộm	tintura	dye
nhàn	senza fretta	leisure
nhàng	dolce	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	impastare	to fall headlong
nhác	pigro	coward
nhái	contraffazione	illegal copy
nhánh	ramo	branch
nháp	dama	draft
nháy	batter	to flash or blink (v.)
nhâm	sorseggiare	leap
nhã	elegantemente	"(term should be ""thanh nhã"") elegant"
nhãn	etichette	"(term should be ""gán nhãn"") to affix a label"
nhét	mettere	put
nhì	secondo	second (adj.)
nhìn	sguardo	to look (v.)
nhí	ragazzi	children
nhím	monello	porcupine
nhòm	binocolo	to peep (v.)
nhóc	bambino	brat
nhóm	gruppo	group (n.)
nhô	sporgenza	emerge
nhôm	alluminio	aluminum (n.)
nhúng	tuffo	embed
nhút	timido	shy
nhăn	rugosa	wrinkle
nhĩ	atriale	turkey
nhũ	emulsioni	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	corruzione	bribery
nhơn	bontà	nhon
như	come	like
nhưng	ma	but
nhương	espellere	(proper noun) vietnamese first name
nhường	ceduto	yield
nhưỡng	suoli	soil
nhược	debolezza	weak
nhượng	concessioni	concession
nhạ	nha	nha
nhạc	musica	music
nhạn	rondini	bird
nhạo	divertimento	ridicule
nhạt	pallido	light
nhạy	sensibilità	sensitive
nhảy	ballare	jump
nhấc	sollevato	lift
nhấm	nham	rodent
nhấn	stampa	to press (v.)
nhất	di più	most
nhầm	confuso	misunderstand
nhầy	viscoso	glutinous
nhẫn	anelli	patient
nhậm	assunzione	inaugurate
nhập	importazione	penetrate
nhậu	nhau	drink
nhậy	sensibilità	sensitive
nhắc	richiesto	to remind (v.)
nhắm	mirando	aim
nhắn	il messaggio	message
nhằm	a	for the purpose of (adv.)
nhẵn	lisciare	smooth
nhặt	raccolto	pickup
nhẹ	luce	light
nhẹn	mobilità	nhanh nhẹn= fast/nimble
nhị	ii	sensitive
nhịn	digiuno	fasting
nhọ	nho	smear
nhọn	appuntito	sharp (adj.)
nhỏ	piccolo	small
nhỏ|cây	piccolo | albero	small|tree
nhỏ|một	piccolo | uno	small | one
nhỏ|phải|	piccola | destra |	small|right
nhỏ|phải|px|	piccolo | a destra | px |	small | have | px |
nhỏ|phải|px|bức	piccola | destra | px | foto	grape / fade / px / buc
nhỏ|phải|px|cây	piccolo | a destra | px | albero	px spicy grape fade
nhỏ|phải|px|khu	piccola | destra | px | zona	small|right|px|area
nhỏ|phải|px|michael	piccolo | a destra | px | michael	small|right|px|michael
nhỏ|phải|px|máy	piccola | destra | px | macchina	small | right|px|machine
nhỏ|phải|px|một	piccolo | a destra | px | uno	small|right|px|one
nhỏ|phải|px|quân	piccolo | a destra | px | forza	small|right|px|army
nhỏ|px|	piccolo | px |	small
nhỏ|px|các	piccolo | px | il	small
nhỏ|px|phải|kiến	piccolo | px | destra | ant	small | px | right | patience
nhỏ|quân	piccola | forza	small|army
nhỏ|trái|px|máy	piccola | sinistra | px | macchina	small|left|px|plane
nhỏ|tượng	piccole statue	small|statue
nhốt	rinchiuso	confine
nhồi	ripieno	cram
nhổ	coraggio	uproot
nhộn	pop	busy
nhớ	da ricordare	remember
nhớt	viscoso	viscid
nhờ	grazie	by
nhờn	unto	multiplication
nhở	avvertenze	remind
nhụ	usp	nhu
nhục	umiliata	shame
nhủ	come	needs
nhức	dolore	pain
nhứt	nhut	first (n.)
nhừ	gelatina	tender
những	il	the
nhựa	plastica	plastic
nhựt	domenica	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicea	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nichel	nickel
niken	nichel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	zero	nile
nile	nilo	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	sicurezza	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	azoto	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	giovane	youth
niết	passaggio	nirvana
niềm	convinzione	trust
niệm	anniversario	concept
niệu	urinario	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noè	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	noi	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	giovane	mountain
nonpenetrative	nonpenetrative	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	normanno	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	norvegia	norway
nou	nou	nou
novak	novak	novak
now	ora	now
nowc	nowc	nowc
noãn	ovulo	ovule
nsnd	artista del popolo	people's artist
nst	nst	chromosome
nubia	nubia	nubia
number	numero	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	alimentazione	feed
nuối	nuối	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	rondine	to swallow (v.)
nuớc	acqua	water
nxb	editore	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	insistere	pleading
nàn	lamentarsi	poor
nành	soia	soy
nào	andiamo	would
này	questo	this
ná	fionda	a crossbow (n.)
nách	ascella	underarm (n.)
náo	tumulto	riot
nát	schiacciato	ruin
náu	rifugio	hide
nâng	sollevamento	raise
nâu	marrone	brown
nã	ricercato	to track down (v.)
não	cervello	brain
né	evade	dodge
ném	buttare	to throw (v.)
nén	compressa	compress
nét	colpi	feature
nê	guinea	ne
nên	qualora	should or ought to
nêu	dichiarato	mention
nòi	gara	race
nòng	barile	barrel
nói	diciamo	to say or speak (v.)
nón	cappello	cone
nóng	caldo	hot
nô	schiavitù	slave
nôbita	nobita	nobita
nôi	culla	cradle
nôm	nom	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	vomito	vomit
nông	superficiale	farmer
nõn	pelato	peeled
nùng	nung	nung
núm	manopola	nipple
núp	terra	hide
nút	nodo	button
năm	anno	year
năn	contrizione	"(term should be ""ăn năn"") remorse (n.)"
năng	potere	"(term should be ""khả năng"") ability (n.)"
nơi	posto	a place
nơtrino	neutrino	neutrino
nước	paese	country
nước 	paese	water
nướng	griglia	grill
nǎm	nǎm	year
nạ	maschere	mask
nạc	magro	lean (adj.)
nại	reclami	complain
nạn	vittime	a disaster (n.)
nạo	curetta	to scrape (v.)
nạp	caricato	tribute
nản	sfiduciato	depressed
nảy	rimbalzo	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	pioli	a hiccup (n.)
nấp	nascondiglio	hide
nấu	cuoco	cook
nấy	anzi	this
nần	debiti	debt
nầy	questo	this
nẩy	rimbalzo	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n sole	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	più trafficato	busy
nắm	hold	to grasp or hold (v.)
nắng	soleggiato	sunlight
nắp	coperchio	a lid or cover (n.)
nằm	collocato	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonimia	heavy
nặn	modellismo	mould
nặng	pesante	heavy
nẻo	destini	turn
nếm	gusto	taste
nến	candela	candle
nếp	piega	sticky rice (n.)
nếu	se	if (adv.)
nề	muratura	severe
nể	rispettabile	respect
nện	calpestio	ram
nỉ	feltro	beg
nịnh	adulazione	flatter
nọ	l&#39;altro	the other
nọc	trampolo	tadpole
nỏ	longbow	a crossbow (n.)
nối	collegamento	connection
nốt	note	to finish off (v.)
nồi	pentola	pot
nồm	monsone	humid (adj.)
nồng	concentrazione	heavy
nổ	esplosivo	explode
nổi	bene	nổi tiếng= famous
nỗ	sforzi	affort
nỗi	che	state
nộ	ira	anger
nội	interno	on the paternal side (adj.)
nộn	cappello	non
nộp	presentata	submit
nới	rilassati	ease
nở	fioritura	bloom
nỡ	cuore a	do you have a heart to
nợ	dovere	debt
nụy	nudo	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	sughero	a kind of bamboo (n.)
nứt	cracked	to crack
nửa	mezzo	haft
nữa	un altro	moreover
oahu	oahu	(proper noun) oahu
oai	terrore	heroic
oakland	oakland	oakland
oan	oan	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	ottobre	(proper noun) october
oda	oda	oda
oder	oder	oder
odyssey	odissea	odyssey, as in the odyssey, homer's epic
oecd	ocse	oecd
officer	ufficiale	officer
officers	ufficiali	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olimpo	olympus
om	brasato	to simmer
omar	omar	a name
ong	ong	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	organista	organ
oricon	oricon	oricon
origin	origine	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossezia	(proper noun) ossetia
oswald	oswald	oswald
other	altro	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	ottomano	(proper noun) ottoman, as in the ottoman empire
outstanding	eccezionale	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	ossigeno	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	risentimento	"(term should be ""oán than"") to complain or whine"
oát	watt	a watt (n.)
oản	in assestamento	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestina	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	padella	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	brossura	paperback
papua	papua	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	parco	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	patriota	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	coetanei	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	centesimo	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	perry	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	persiano	persian
peru	perù	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	vice direttore	associate professor
pha	mix	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	freno	expose
phao	galleggiante	float
phaolô	paul	st. paul, the apostle
pharaoh	faraone	pharaoh
pharaon	faraoni	pharaoh
phay	fresatura	mill
phe	partito	faction
phen	phen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	filippine	(proper noun) philippines
phillip	phillip	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	olefine	coffee filter
phineas	phineas	(proper noun) phineas
phiên	girare	trial
phiêu	adventures	adventurous
phiếm	merda	gossip
phiến	lama	"(should be ""nha phiến"") opium"
phiện	oppio	opium
phiệt	magnate	militarism
phnom	phnom	phnom
phnôm	phnum	phnôm pênh= phnom penh(cambodia's capital)
pho	formaggio	part of a person's name, rat-pho, or ratford
phoenix	fenice	(proper noun) phoenix
phong	stanza	movement
php	php	php
phrygian	frigia	phrygian
phu	elaborato	"(term should be ""phu nhân"") wife (n.)"
phui	rivelazione	expose
phun	soffio	to spray or spit (v.)
phà	traghetto	ferry
phàm	filisteo	superhuman
phàn	lamentarsi	complain
phá	rottura	destroy
phác	terapia	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	battito	manner (n.)
phái	setta	a party
phán	negoziati	judge
pháo	fuochi d&#39;artificio	artillery
pháp	francia	method
phát	rilascio	develop
phèn	allume	alum
phèo	pheo	organs
phép	permesso	permit
phê	caffè	"(term should be ""phê bình"") to criticize (v.)"
phêrô	pietro	peter
phì	obesità	non-
phình	aneurisma	bulge
phí	gratis	non-
phía	il	side
phích	termos	a flask (n.)
phím	chiavi	key
phò	professionista	"(term should be ""phò mã"") a prince consort"
phòng	stanza	office
phó	affare	second
phóng	varo	to launch (v.)
phô	città	display
phôi	embrioni	embryo
phông	font	font
phùng	soffio	phung
phúc	felicità	good fortune (n.)
phúclộc	phucloc	phuc-loc
phún	sputtering	"(term should be ""lún phún"") sparse (adj.)"
phúng	iperbolico	satire
phút	minuto	a minute (n.)
phăn	phan	phan
phăng	phang	knock
phương	il	direction
phước	benedizioni	luck
phường	reparto	ward
phượng	fenice	phoenix
phạn	sanscrito	sanskrit
phạt	punire	punish
phả	genealogia	pedigree
phải	destra	must
phải 	destra	right
phản	reazione	reaction
phảng	sottilmente	subtle
phần	parte	part
phẩm	è	food
phẩy	virgola	a comma
phẫn	indignazione	wrathful
phẫu	chirurgia	surgery
phận	reparto	part
phật	budda	buddhist
phẳng	aereo	flat (adj.)
phế	rifiuti	dismiss
phết	spalmabile	to spread or smear (v.)
phỉ	nocciola	defame
phỏng	intervista	interview
phố	strada	city
phối	coordinatore	coordinate
phốt	settico	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	soffio	to swell (v.)
phổ	popolare	popular
phổi	polmone	lung
phộng	arachidi	peanut
phới	mot	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	pho	pho
phục	s	convincing
phụng	culto	worship
phụt	espulsore	minute
phủ	governo	government
phức	multiplo	complex
picchu	picchu	a name
piccolo	ottavino	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	luccio	pike
pin	cella	battery
pinlus	pinlus	pinlus
pioneer	pioniere	pioneer
pipes	tubi	pipes
pisa	pisa	a name
piston	pistone	piston
pitch	intonazione	pitch
pius	pio	pius
plaaf	plaaf	plaaf
plan	piano	plan
plasma	plasma	plasma
plate	piastra	plate
plato	platone	plato
platon	platon	platon
player	giocatore	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocene	pleistocen
plus	più	plus
pluto	plutone	pluto
pm	pm	pm
pmu	pmu	pmu
po	po	po
pokémon	pokémon	pokemon
pol	pol	pol
poland	polonia	poland
pollack	pollack	a name
pollux	polluce	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	pentola	pot
potsdam	potsdam	(proper noun) potsdam
potter	vasaio	(proper noun) potter, as in harry potter
pour	versare	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	premier	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
