$ tỉ	$ พันล้าน	$ billion
sá	sá	road
sách	หนังสือ	list
sái	ทำให้คลาดเคลื่อน	sai
sám	ความเสียใจ	penitent
sáng	สดใส	light
sánh	เปรียบเทียบ	compare
sáo	ขลุ่ย	flute
sáp	ขี้ผึ้ง	merger
sát	ใกล้	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	หก	six
sâm	โสมจีน	sam
sân	ลาน	"(should be ""sân khấu"") a stage"
sâu	ลึก	deep
sã	sã	flippant
sãi	เขมรกรม	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	แสง	clay
sê	อนุกรม	sepon
sêri	อนุกรม	series
sêu	seu	seu tet
sính	รัก	betrothal gifts
síp	ประเทศไซปรัส	cyprus
sít	อย่างหวุดหวิด	close
sò	หอย	oyster
sòng	คาสิโน	casino
sóc	กระรอก	"(should be ""sóc trăng"") a vietnamese town"
sói	หมาป่า	wolf
sóng	คลื่น	wave
sót	ข้อบกพร่อง	to miss (v.)
sô	ช็อคโกแลต	than
sôi	การต้ม	vibrant
sông	แม่น้ำ	river
sùng	หนอน	cult
sú	เสือดำ	a type of mangrove (n.)
súc	ปศุสัตว์	animal
sún	ดวงอาทิตย์	sun
súng	ปืน	gun
súp	ซุป	source
sút	การถ่ายภาพ	reduce
săn	การล่าสัตว์	to hunt
sơn	ทาสี	a mountain
sư	ศาสตราจารย์	lion
sưa	ไขมันต่ำ	filled with
sưng	บวม	swell
sưu	เฉลียง	collection
sương	น้ำค้าง	dew (n.)
sướng	สรรเสริญ	high
sườn	ด้าน	slope
sưởi	เครื่องทำความร้อน	heat
sạch	สะอาด	clean
sạn	โรงแรม	hotel
sảm	ฟ้าร้อง	sam
sản	คือ	reproductive
sảng	ความคุ้มคลั่ง	sonorous
sảnh	ล็อบบี้	a hall, as in the rock and roll hall of fame
sấm	ฟ้าร้อง	ginseng
sấu	จระเข้	crocodile
sấy	เครื่องเป่า	dry
sầm	slammed	crowded
sầu	ความเศร้าโศก	sad
sẩn	มีเลือดคั่ง	coarseness
sẫm	มืด	dark
sập	ล่มสลาย	destroy
sắm	ซื้อ	shopping
sắn	มันสำปะหลัง	cassava (n.)
sắp	เกี่ยวกับ	soon
sắt	เหล็ก	"(term should be ""sắt son"") constant (adj.)"
sẵn	ใช้ได้	available
sẹo	แผลเป็น	scar
sẻ	หุ้น	share
sẽ	จะ	will
sọ	กะโหลกศีรษะ	brain
sọc	เป็นริ้ว	stripe
sỏ	คณาธิปไตย	oligarchy
sỏi	กรวด	gravel
số	จำนวน	"(term should be ""số lượng"") quantity (n.)"
sốc	ช็อก	shock
sống	สด	live
sốt	อุณหภูมิ	fever
sồi	โอ๊ก	oak
sổ	การลงทะเบียน	window
sớ	พื้นผิว	document
sớm	ตอนต้น	som
sờ	สัมผัส	touch
sỡ	technicolor	colorful
sợ	กลัว	afraid
sợi	ไฟเบอร์	fibers
sục	จากุซซี่	"(term should be ""sôi sục"") to boil"
sụn	กระดูกอ่อน	cartilage
sụp	ล่มสลาย	collapse
sụt	การสูญเสีย	drop
sủa	เปลือกไม้	bright
sủi	ต้นไม้ชนิดหนึ่ง	sparkling
sủng	ของขวัญ	favored
sứ	เครื่องลายคราม	embassy
sứa	แมงกะพรุน	jellyfish (n.)
sức	สุขภาพ	strength
sứt	แหว่ง	cleft
sừng	เขา	sừng sững= huge
sử	ประวัติศาสตร์	"(term should be ""sử dụng"") to use (v.)"
sửa	ซ่อมแซม	repair
sửng	อกสั่นขวัญหาย	startling
sửu	ภาพมายา	cow
sữa	นม	milk
sự		situation
ta	มัน	us or our
tae	tae	(proper noun) tae
tag	แท็ก	tag
tai	หู	ear
taiji	taiji	(proper noun) taiji
taipei	ไทเป	taipei
taiwan	ไต้หวัน	taiwan
taj	ทัชมาฮาล	taj, as in taj mahal
tajikistan	ทาจิกิสถาน	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	ทากาฮาชิ	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	แทลเลียม	thallium
taliban	ตอลิบาน	taliban
talmud	มุด	talmud
tam	สามเหลี่ยม	three (n.)
tamoxifen	tamoxifen	tamoxifen
tanaka	ทานากะ	tanaka
tang	การไว้ทุกข์	funeral
tanh	คาว	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	ประเทศแทนซาเนีย	tanzania
tao	ผม	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	งาน	task
tasman	แทสมัน	tasman, as in abel tasman
tasmania	แทสมาเนีย	tasmania, a place
tau	เอกภาพ	tau
taxi	รถแท็กซี่	taxi
tay	มือ	hand
taylor	เทย์เลอร์	taylor
tbt	tbt	tbt
tchad	สาธารณรัฐชาด	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	วิชาการ	technical
ted	เท็ด	(proper noun) ted
teddy	ตุ๊กตา	teddy, as in teddy lupin, a character in the harry potter series
telecom	โทรคมนาคม	telecom
telekom	telekom	telekom
telex	เครื่องโทรสาร	telex
telnet	telnet	telnet
tem	แสตมป์	stamp
temple	วัด	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	เมตริกซ์	tensor
teo	ฝ่อ	atrophy
terengganu	ตรังกานู	(proper noun) terengganu
territories	ดินแดน	territories
terry	เทอร์รี่	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	เท็กซัส	(proper noun) the state of texas
tgv	tgv	tgv
tha	แก้ตัว	to forgive (v.)
thai	ไทย	pregnant
thailand	ประเทศไทย	thailand
tham	สละ	involved
thames	แม่น้ำเทมส์	thames
than	ถ่าน	coal
thang	กระได	ladder
thanh	บาร์	youth
thani	อุดรธานี	thani
thao	กีฬา	sport
thau	ทองเหลือง	a basin (n.)
thay	ค่อนข้าง	change
thcn	thcn	vocational school
thcs	thcs	secondary
thdq	ร็อค	thdq
thebes	ธีบส์	thebes
their	chung	their
them	ที่เพิ่ม	plus
then	เอเธนส์	key
theo	ปฏิบัติตาม	according to
theory	ทฤษฎี	thẻoy
theravada	เถรวาท	theravada
theres	เอาใจใส่	there
theseus	เธเซอุส	theseus, the greek hero
thi	การสอบ	competition (n.)
thich	thich	explanation
thien	thien	sky
third	ที่สาม	thỉd
thiu	ค้าง	buồn thiu= sad/boring
thiêm	เทียม	thiem
thiêng	ศักดิ์สิทธิ์	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	ดีบุก	tin
thiến	ไม่มีเพศ	castrate
thiếp	นามบัตร	concubine
thiết	สิ่งอำนวยความสะดวก	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	สั้น	lack
thiềm	thiem	crescent
thiền	การทำสมาธิ	buddhist (adj.)
thiển	สั้น	superficial
thiểu	น้อยที่สุด	minimum
thiện	เป็นมิตร	good
thiệp	บัตรอวยพร	intervene
thiệt	จริง	damage
thiệu	แนะนำ	"(term should be ""giới thiệu"") to introduce (v.)"
tho	สรรพสินค้าใหญ่	tho
thoa	ฟอง	combination
thoai	การกลิ้ง	gentle
thomas	โทมัส	thomas
thompson	ธ อมป์สัน	thompson
thong	ลวดหนัง	(proper noun) thong, as in ang thong
those	những	those
thoái	เลิก	deterioration
thoán	thoan	usurpation
thoáng	อากาศถ่ายเทสะดวก	"(term should be ""thoáng qua"") to pass quickly"
thoát	ทางออก	drainage
thoại	โทรศัพท์	telephone
thoạt	ได้อย่างรวดเร็วก่อน	just (adv.)
thoả	ตกลง	compromise
thoải	สบาย	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	เป็นครั้งคราว	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	คอท้องเสีย	suddenly
thpt	thpt	high school
thriller	ผู้ทำให้ตื่นเต้นเร้าใจ	thriller
thskts	thskts	phd- architect
thua	สูญหาย	defeat
thumb|các	นิ้วหัวแม่มือ |	thumb|many
thunderbolt	สายฟ้า	thunderbolt
thung	ทุ่ง	valley
thuyên	การกำจัด	a name
thuyết	ทฤษฎี	theory
thuyền	เรือ	boat
thuê	เช่า	employ
thuần	บริสุทธิ์	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	ความขัดแย้ง	support
thuận	สะดวก	favourable
thuật	ศิลปะ	term
thuế	ภาษี	tax
thuốc	ยาเสพติด	medicine (n.)
thuộc	ของ	belong
thuớc	ยาเสพติด	"(term should be ""kích thước"") dimensions of an object"
thuờng	มักจะ	usually
thuở	หนุ่ม	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	น้ำ	water
thvn	thvn	vietnam television
thy	ของเจ้า	thy
thà	จะค่อนข้าง	honest
thành	ความสำเร็จ	"(term should be ""hình thành"") to take shape"
thày	ครู	teacher
thác	น้ำตก	harvest
thách	ท้าทาย	challenge
thái	สถานะ	attitude
thám	นักสืบ	to spy (v.)
tháng	เดือน	month (n.)
thánh	นักบุญ	a holy person; a saint (n.)
tháo	ลบ	"(term should be ""tháo chạy"") to run with abandon"
tháp	หอคอย	tower
thâm	ลึก	penetrate
thâu	รวบรวม	to collect (v.)
thây	ดู	body
thãi	เมืองแส	superabundant
thèm	ความอยาก	desire
thép	เหล็ก	steel
thét	เทศ	shout
thê	มาร์ธา	category
thêm	ขึ้น	more
thêu	เย็บปักถักร้อย	to embroider (v.)
thìa	ช้อน	spoon
thìn	บาง	(proper noun) thìn, the year of the dragon
thình	ทันใดนั้น	"(term should be ""thình lình"") suddenly"
thí	ผู้เข้าแข่งขัน	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	การผสาน	tho
thòi	ที่ด้อยโอกาส	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	ข้าวเปลือก	grain (n.)
thói	นิสัย	a habit (n.)
thô	หยาบ	rough, old-fashioned
thôi	มาเลย	only
thông	ข้อมูล	"(term should be ""thông thường"") usual (adj.)"
thù	อาฆาต	"entire term should be ""ke thu""; means ""enemy"""
thùng	ลัง	barrel
thùy	กลีบ	thuy
thú	น่าสนใจ	"(should be ""thích thú"") pleasurable"
thúc	ปลาย	push
thúy	thuy	thuy
thăm	เยือน	visit
thăng	ขึ้นไป	helicopter
thơm	มีกลิ่นหอม	aromatic
thư	จดหมาย	"(term should be ""ung thư"") cancer (n.)"
thưa	คุณชาย	sparse
thương	ความรัก	love
thước	ขนาด	ruler
thường	มักจะ	usually (adv.)
thưởng	โบนัส	to reward (v.)
thược	thược	(proper noun) thược
thượng	บนชั้นดาดฟ้า	upper
thạc	ปริญญาโท	master
thạch	วุ้น	rock or stone (n.)
thạnh	thạnh	thanh
thạo	ผู้เชี่ยวชาญ	fluent
thả	หล่น	"(term should be ""thả lỏng"") to let loose (v.)"
thải	เสีย	waste
thảm	พรม	carpet or rug (n.)
thản	ความสะดวก	calmly
thảo	โรงงาน	"(term should be ""hội thảo"") a workshop (n.)"
thấp	ต่ำ	low (adj.)
thấu	เลนส์	penetrate
thầm	เงียบ	"(term should be ""thì thầm"") to whisper (v.)"
thần	พระเจ้า	"entire term should be ""tinh than""; means ""of the mind"""
thầy	ครู	teacher (n.)
thẩm	มีอำนาจ	osmotic/leak
thẫm	มืด	dark
thận	ไต	careful
thập	การชุมนุม	tens
thật	จริง	true (adj.)
thắm	กลีบดอกไม้	tham
thắn	เถรตรง	frank
thắng	เหนือกว่า	win
thắngthua	thangthua	win-lose
thắp	ไฟ	light
thắt	ผูกขึ้น	tense
thằn	จิ้งจก	"entire term should be ""than lan""; means ""lizard"""
thằng	คนที่แต่งตัวประหลาด	a derogatory term for a man (n.)
thẳm	เหว	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	ตรง	horizontal
thặng	ส่วนเกิน	surplus
thẹn	คำพูดวางโต	shameful
thẻ	บัตร	card
thế	อย่างไร	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	มัด	steel
thề	สาบานเลย	swear
thềm	หิ้ง	shelf
thể	สามารถ	maybe
thỉnh	เชิญ	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	ความเจริญ	prosperous
thịt	เนื้อ	meat (n.)
thọ	ชีวิต	phu tho
thọc	แรงผลักดัน	jab
thỏ	กระต่าย	rabbit
thỏa	จัดการ	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	แท่ง	a bar (n.)
thối	เน่า	smelly
thốt	โพล่ง	scream
thồ	แพ็ค	to transport via horse (v.)
thổ	ซ่อง	"(term should be ""lãnh thổ"") territory (n.)"
thổi	ที่จะระเบิด	blow
thớt	เขียง	sparse
thời	เวลา	period
thở	หายใจ	breathe
thợ	ช่างฝีมือ	craftman
thụ	ตัวรับ	"(term should be ""thụ thai"") to become pregnant"
thục	อิสระ	(proper noun) a vietnamese first name
thụt	ท่อสวนทวาร	clyster
thủ	สำคัญ	masturbate
thủa	แปลง	during childhood
thủng	การเจาะ	having holes
thứ	ชนิด	no.
thức	ปลุก	way
thừa	ส่วนเกิน	redundant
thừng	เชือก	"(term should be ""thẳng thừng"") mercilessly"
thử	ความพยายาม	try
thửa	แปลง	square
thự	วิลล่า	mansion
thực	จริง	perform
ti	ti	titov
tia	รังสี	ray
tiananmen	เทียนอันเหมิ	tiananmen
tiara	รัดเกล้า	tiara
tibet	ประเทศธิเบต	(proper noun) tibet
tigris	ไทกริส	tigris
tiliaceus	tiliaceus	hoa dam but
tim	หัวใจ	heart
timor	ติมอร์	timor
timothy	ทิโมธี	timothy
tin	เชื่อ	believe
tinbắc	tinbac	file bac
tincầu	สะพานดีบุก	file bridge
tinh	กลั่น	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinnha	folder: house
tinsông	tinsong	file river
tinthị	tinthi	file: town
tirol	ทิโรล	tirol
tisdale	ทิสเดล	tisdale
tish	ทิช	(proper noun) tish
tissa	tissa	(proper noun) tissa, as in moggaliputta tissa
tivi	โทรทัศน์	television
tizard	เซอร์ด	(proper noun) tizard
tiên	เป็นครั้งแรก	first
tiêu	พริกไทย	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	ขอโทษ	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	usurping	seize
tiến	ความคืบหน้า	operate
tiếng	ชั่วโมง	language
tiết	ขึ้น	abstinence/intensity
tiếu	โง่	"(should be ""đàm tiếu"") to sneer"
tiềm	ที่อาจเกิดขึ้น	potential
tiền	เงิน	money (n.)
tiều	tieu	(proper noun) the name of a poet
tiểu	เบื้องต้น	tiểu sử= biography
tiễu	นายหลิว	patrol
tiệc	งานฉลอง	party
tiệm	ร้านขายของ	shop
tiện	ความสะดวกสบาย	mean
tiệp	สถานที่น่าสนใจ	gustav franck
tiệt	sterilizers	sterilize
tncs	หนุ่ม	communist youth union
tngt	การเกิดอุบัติเหตุ	traffic accidents
tnhh	จำกัด	limited
toang	กว้าง	fast
tobago	โตเบโก	tobago
toei	คลองเตย	toei
tokugawa	งาวะ	tokugawa
tokyo	โตเกียว	tokyo, the capital of japan
tokyopop	tokyopop	tokyopop
tomas	โทมัส	(proper noun) tomas
tommy	tommy	tommy
tomoyo	โทโมโยะ	tomoyo
tony	tony	tony
toonami	toonami	(proper noun) toonami
top	ด้านบน	top
torino	โตริโน่	torino, as in the italian city
toriyama	โทริยามะ	(proper noun) toriyama
tottenham	ท็อตแนม	tottenham
tourism	การท่องเที่ยว	tourism
tourist	นักท่องเที่ยว	tourist
toyama	โทะยะมะ	toyama
toyota	โตโยต้า	(proper noun) toyota
toà	ศาล	office
toàn	เต็ม	entire or whole (adj.)
toán	การบัญชี	team
toát	exudes	to exude or emit, as in sweat (v.)
toạ	ภายใน	locate
toại	ความพึงพอใจ	satisfaction
toả	แผ่	spread
tp	tp	city
tphcm	tphcm	ho chi minh city
tphồ	tpho	city ho
tpvĩnh	tpvinh	vinh city
tqlc	พรรคนาวิกโยธิน	marine
trafalgar	trafalgar	(proper noun) trafalgar
trafford	trafford	trafford in greater manchester
trai	หอยกาบ	boy
trang	หน้า	a page (n.)
tranh	ภาพวาด	to compete (v.)
trao	หารือ	reward
trau	ปรับปรุง	polish
tre	ไม้ไผ่	bamboo (n.)
treo	แขวน	hang
tri	ไตร	tri
tribune	เจ้าหน้าที่คุ้มครองประชาชน	a name
trinh	s	"(should be ""trinh bạch"") virtuous"
trinidad	ตรินิแดด	trinidad
trinity	กลุ่มที่มี 3 คน	trinity
tristan	อุโมงค์	tristan
triết	ปรัชญา	philosophy
triền	เนินเขา	"(should be ""triền miên"") endless"
triều	ราชวงศ์	court
triện	แสตมป์	stamp
triệt	อย่างถี่ถ้วน	completely
triệu	ล้าน	a million
tro	เถ้า	ashes
troia	troia	troy
trondheim	ทรอนไฮม์	trondheim
trong	ใน	inside (adv.)
true	จริง	true
truman	ทรูแมน	(proper noun) truman
trung	ปานกลาง	"(term should be ""trung gian"") agent (n.)"
trungnhật	trungnhat	china-japan
truong	truong	truong
truyên	การส่งผ่าน	story
truyện	เรื่องราว	story
truân	ความทุกข์	arduous
truất	ตัด	cancel
truởng	ส่วนหัว	leader (n.)
truỵ	truỵ	depraved
trà	ชา	tea (n.)
tràm	เสม็ด	melaleuca
tràng	ปลายลำไส้ใหญ่	"entire term should be ""truc trang""; means ""rectum"""
trào	การเคลื่อนไหว	movement
trác	zhuo	trac
trách	การรับผิดชอบ	blame
trái	ซ้าย	against
trán	หน้าผาก	forehead
tráng	เคลือบ	to coat (v.)
tránh	หลีกเลี่ยงการ	to avoid (v.)
tráo	การตีสองหน้า	tráo trở= liar/betrayal/treacherous
tráp	seabream	casket
trát	หมาย	pile
trâm	เข็มกลัด	a type of elegant hairpin (n.)
trân	ขอแสดงความนับถือ	respect
trâu	ควาย	a last name
trãi	เกลื่อน	trai
trèo	ปีนขึ้นไป	climb
trên	บน	above
trình		process
trí	ใจ	intellectual
trích	สารสกัด	to extract (v.)
trò	เกม	role
tròn	รอบ	rounding
trói	ผูกขึ้น	tie
trôi	ลอยลำ	afloat
trông	รูปลักษณ์	look
trùm	ที่คลุมด้วยผ้า	cover
trùng	ความซ้ำซ้อน	"(should be ""tinh trùng"") sperm"
trùy	truy	something to with monk
trú	เข้าพัก	residence
trúc	โครงสร้าง	structure
trăm	ร้อย	hundred
trăn	หลาม	"(term should be ""trăn trở"") to ponder (v.)"
trăng	ดวงจันทร์	moon
trĩ	ริดสีดวงทวาร	hemorrhoids
trũng	จม	medium
trơ	เฉื่อย	bare
trơn	ลื่น	slippery (adj.)
trư	โรงเรียน	a pig (n.)
trưa	เที่ยง	noon (n.)
trưng	การลงประชามติ	symbolic
trưngcông	trungcong	truongcong
trương	นโยบาย	policy
trước	ก่อนที่	front
trước 	ก่อนที่	front
trướng	การเป่าลมเข้า	expand
trườn	คลาน	crawl
trường	โรงเรียน	case
trượng	knobstick	a unit of length used in vietnam equal to 4 meters (n.)
trượt	เหิน	slide
trạch	trach	ze
trại	ค่าย	camp
trạm	สถานี	station
trạng	สภาพ	situation
trạo	trao	trao
trả	การจ่ายเงิน	to return
trải	กระจาย	spread
trảm	beheaded	beheaded
trảo	หารือ	trao
trấn	ตัวเมือง	town
trấu	แกลบ	rice skin
trầm	ลึก	depression
trần	เปลือย	tran
trầu	พลู	trầu
trầy	รอยขีดข่วน	scratch
trẩy	แสวงบุญ	pilgrimage
trẫm	ฉันคือ	i
trận	การแข่งขัน	battle
trật	พลาด	order
trắc	การตรวจสอบ	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	ขาว	white
trặc	ปัญหา	"entire phrase is ""truc trac""; means ""problem"""
trẻ	หนุ่มสาว	youth
trễ	จะสาย	late
trệ	ความล่าช้า	bamboo
trị	การรักษา	cure
trịnh	พิธีการ	trịnh, a vietnamese last name
trọ	ที่พัก	motel
trọn	ทั้งหมด	whole
trọng	น้ำหนัก	serious
trỏ	การชี้	index
trối	สวรรค์	last words
trốn	ซ่อน	to hide
trống	กลอง	in
trồi	ยื่นออกมา	to emerge (v.)
trồng	ปลูก	plant
trổ	หมี	to burst open or display
trỗi	ภาวะฉุกเฉิน	rise
trội	สันทัด	better
trộm	โจรกรรม	theft
trớn	โมเมนตัม	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	สวรรค์	sun
trợ	การเข้าถึง	support
trụ	เสา	universe
trục	แกน	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	เปลือยกาย	"(term should be ""trơ trụi"") bare (adj.)"
trứ	tru	famous
trứng	ไข่	egg
trừ	ลบ	except
trừng	ลงโทษ	punish
trừu	แกะ	abstract
trữ	สำรอง	reserve
trực	ในการปฏิบัติหน้าที่	direct
ts	ทีเอส	phd
tt	tt	news
tua	กิ่งก้านสาขา	fringe
tucker	ทักเกอร์	tucker, an english last name
tudor	ทิวดอร์	(proper noun) tudor, as in the tudor family
tukhachevsky	tukhachevsky	(proper noun) tukhachevsky
tulip	ดอกทิวลิป	tulip
tum	tum	tum
tung	เปิดตัว	release
tupolev	ตูโปเลฟ	tupolev, as in alexei tupolev
tuscan	ทัสคานี	(proper noun) tuscan
tutsi	tutsi	(proper noun) tutsi
tuvalu	ตูวาลู	(proper noun) tuvalu, a polynesian island nation
tuy	แม้	however
tuyên	รัฐ	"(should be ""tuyên ngôn"") a declaration"
tuyết	หิมะ	snow (n.)
tuyền	tuyền	tuyen
tuyển	เลือก	recruit
tuyệt	ยิ่งใหญ่	excellent (adj.)
tuân	การปฏิบัติตาม	comply
tuông	อิจฉา	jealous
tuý	ยาเสพติด	drug
tuần	สัปดาห์	week
tuế	ปลา	years
tuệ	คุณสมบัติ	intelligence
tuốc	กังหัน	turbine
tuổi	อายุ	age
tuộc	ปลาหมึก	octopus
tuột	ลื่นหลุด	slip
tuỳ	การปรับแต่ง	depend
tv	โทรทัศน์	tv
tvb	tvb	tvb
twin	คู่	twin
twitter	พูดเบาและรวดเร็ว	twitter
ty	บริษัท	company
type	ชนิด	type
typhon	ฟอน	typhon
tà	เบี่ยงเบน	we
tài	ผู้ใช้งาน	talent (n.)
tàn	พิการ	dying
tàng	พิพิธภัณฑ์	"(should be ""bảo tàng"") a museum"
tành	เวที	shatter
tàu	เรือ	ship
tá	โหล	"(term should be ""thiếu tá"") major (n.)"
tách	ถ้วย	to separate
tái	อีกครั้ง	return
tám	แปด	eight
tán	กระจาย	support
tánh	ธรรมชาติ	life
táp	ตัก	to lap at (v.)
táu	เรือ	ashton
tâm	ศูนย์	tâm
tâu	พระเจ้าของฉัน	peach
tây	ทิศตะวันตก	western
tâynam	taynam	"(should be ""tây-nam"") southwest"
tã	ผ้าอ้อม	diaper
tét	tet	tet
tê	มึน	numb
tên	ชื่อ	name (n.)
tì	วาง	to lean on (v.)
tìm	ขอ	find
tìmdiệt	timdiet	find-kill
tình	ความรัก	sex
tía	สีม่วง	dad
tích	แบบบูรณาการ	"(term should be ""tích cực"") to be zealous (adv.)"
tím	สีม่วง	purple
tín	เครดิต	"(entire term should be ""tín dụng"") credit"
tít	พาดหัว	"(term should be ""tít mù"") very far away (adv.)"
tò	อยากรู้อยากเห็น	curious
tòa	ศาล	a court
tòi	สิ่ง	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	catechumens	tòng, a last name
tóm	ย่อ	summary
tô	รถ	car
tôi	ผม	i
tôm	กุ้ง	shrimp
tôn	เคร่งศาสนา	venerate
tông	กระดาษแข็ง	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	คุก	prison
tùng	สำรอง	tung
tùy	ประเพณี	depend on
túc	ความพอเพียง	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	กระเป๋า	pocket
túm	จับ	catch
túng	ในความต้องการ	confuse
túp	ปอย	hut
túy	ที่ได้รับ	"(term should be ""thuần túy"") pure (adj.)"
tý	เกินไป	mouse, as in year of the mouse
tăm	ไม้จิ้มฟัน	"(term should be ""tiếng tăm"") reputation"
tăng	เพิ่มขึ้น	increase
tĩnh	คงที่	calm
tơi	ไปยัง	ragged
tư	การลงทุน	posture
tưng	ตุง	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	สด	fresh
tương	สัมพัทธ์	"(term should be ""tương tự"") to be similar to"
tước	ดยุค	title (n.)
tưới	ชลประทาน	irrigation
tướng	รัฐมนตรี	prime minister (thu tuong)
tường	ผนัง	"a common vietnamese first name; means ""wall"""
tạ	ยกน้ำหนัก	weight
tạc	แกะสลัก	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	ที่	survival
tạm	ชั่วคราว	temporary
tạo	สร้าง	create
tạp	ซับซ้อน	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	ลักษณะ	describe
tản	หม้อน้ำ	disperse
tảng	มูลนิธิ	platform
tấc	อย่างหวุดหวิด	inch
tấm	แผ่น	mirror
tấn	ตัน	tan
tấp	ดึงมากกว่า	crowded
tất	ทั้งหมด	all
tấu	เอกภาพ	tau
tầm	เกมส์	range or extent (n.)
tần	ความถี่	"(term should be ""tần số"") frequency (n.)"
tầng	ชั้น	layer
tầu	เรือ	ship
tẩm	ชุบ	soak
tẩy	ลบ	to bleach
tận	เอา	dedicated
tật	ที่จอดรถ	disease
tắc	สวิทช์	priciple
tắm	อาบน้ำ	bathing
tắt	ปิดสวิตช์	initial
tặc	จี้	"(term should be ""hải tặc"") a pirate (n.)"
tặng	บริจาค	donate
tẻ	น่าเบื่อ	lẻ tẻ= scattered
tết	ถัก	(proper noun) the vietnamese new year
tếxã	texa	economy - society
tề	เรียบร้อย	tidy
tể	ช่วยให้	lord
tệ	เงินตรา	bad
tệp	ไฟล์	file
tỉa	ตัดแต่ง	"(term should be ""bắn tỉa"") to snipe"
tỉnh	จังหวัด	province
tị	ผู้ลี้ภัย	refugee
tịch	ประธาน	"(""chủ tịch"") president or chairman"
tọa	พิกัด	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	แสดง	to
tỏa	เปล่งปลั่ง	radiate
tỏi	กระเทียม	garlic
tốc	ทางด่วน	speed
tốn	การบริโภค	to cost (v.)
tống	ทำหน้าที่	dispose
tốp	กลุ่ม	top
tốt	ดี	good
tồi	ผิด	bad
tồn	ยังไม่มีข้อความ	exist
tổn	การสูญเสีย	damage
tổng	ทั้งหมด	president
tộc	ชาติพันธุ์	"(term should be ""dân tộc"") a race or people"
tội	บาป	crime
tột	สุดขีด	extreme
tớ	ผม	servant
tới	มา	to the point
tờ	แผ่น	paper/document
tởm	เกลียด	disgusting
tục	ต่อ	"(term should be ""tập tục"") customs or practices"
tụy	ตับอ่อน	"(term should be ""tận tụy"") devoted (adj.)"
tủ	หน้าอก	shelf
tủi	สงสาร	humiliated
tủy	ไขกระดูก	spine
tức	ข่าว	i.e.
từ	จาก	from
từng	แต่ละ	each
tử	ความตาย	lion (su tu)
tửu	ไวน์	wine
tự	ตนเอง	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	ที่นั่ง	lean
tựu	ความสำเร็จ	achievement
tỵ	ผู้ลี้ภัย	the han name for the year of the snake, according to the chinese zodiac
tỷ	พันล้าน	billion
u	ยู	tumor
ua	ua	ua
uae	ยูเออี	uae
ubuntu	อูบุนตู	ubuntu
uc	uc	uc
uchiha	อุจิวะ	uchiha
uefa	ยูฟ่า	uefa
uh	เอ่อ	uh
uk	สหราชอาณาจักร	uk
ukiyoe	ภาพอุกิโยะ	ukiyoe
ukraina	ยูเครน	ukraine
ulsan	อุลซาน	ulsan
umm	อืมม	umm
un	องค์การสหประชาชาติ	(proper noun) un, as in chung un chan of korea
und	คาดไม่ถึง	und
under	อันเดอร์	under
unesco	ยูเนสโก	unesco
ung	เน่าเสีย	cancer
unicorn	ตัวยูนิคอน	unicorn
unit	หน่วย	unit
unix	ยูนิกซ์	unix
up	ยูพีเอส	up
ural	อูราล	ural, as in the ural mountains
urani	ยูเรเนียม	uranium
uri	uri	uri, a former political party in south korea
uruguay	อุรุกวัย	uruguay
