$ tỉ	milliarden dollar	$ billion
morocco	marokko	morocco
morris	morris	morris
morrison	morrison	(proper noun) morrison
morse	morse	(proper noun) morse, as in morse code
moscow	moskau	moscow
mosin	mosin	mosin
moskva	moskva	moscow
motown	motown	motown
mourinho	mourinho	mourinho
movie	film	movie
mozambique	mozambique	(proper noun) mozambique
mozart	mozart	(proper noun) mozart, as in the composer
mp	mp	mp
ms	ms	metre per second
msdos	msdos	ms-dos
mtv	mtv	mtv
mu	mu	pubis
mua	kaufen	buy
much	viel	much
muhammad	muhammad	(proper noun) muhammad, as in muhammad ali
mumbai	mumbai	mumbai
mun	ebenholz	a vietnamese name
munich	münchen	(proper noun) munich
murdoch	murdoch	murdoch
muromachi	muromachi	(proper noun) muromachi
murphy	murphy	murphy
murray	murray	(proper noun) murray, as in dr. conrad murray
mustang	mustang	mustang, as in the f-51 mustang
muta	muta	a name
muôn	wollen	a large number; thousands (adj.)
muối	salz	salt
muốn	würde gerne	want
muống	löffel	"(term should be ""rau muống"") water spinach (n.)"
muồi	spät	ripe
muỗi	mücke	mosquito
muỗng	löffel	spoon
muội	schwester	confusion
muộn	spät	late (adv.)
myanma	myanmar	the country of myanmar
myanmar	myanmar	(proper noun) myanmar
myspace	myspace	(proper noun) myspace
mà	das	also
mài	schleifen	tomorrow
màn	vorhang	curtain (n.)
mành	jalousien	a bamboo screen (n.)
mào	wappen	a comb or crest, as in the body part of a bird
màu	farbe	color
mày	du	sew
má	wangen	cheek
mác	etikett	a name (marx)
mách	tipps	tell
máclênin	marxelenin	marxist-leninist
mái	dach	"entire term should be ""thoai mai""; means ""comfortable"""
mát	cool	cool
máu	blut	blood
máy	die maschine	a machine (n.)
mâm	tablett	tray
mân	rosenkranz	"entire term should be ""man viet""; a country of ancient asia that now corresponds to a province in southern china"
mâu	widersprüchlich	contradiction
mây	wolke	cloud
mã	code	"(term should be ""la mã"") roman (adj.)"
mãi	für immer	forever (adv.)
mãimại	code	commerce
mãn	selbstgefällig	satisfy
mãnh	stark	intense
mão	kronen	cat
mè	sesam	sesame
mèo	katze	cat (n.)
mé	mé	a border
méo	verzerrt	alter
mép	kante	edge
mét	meter	meter
mênh	riesig	vast
mêtan	methan	methane
mì	nudeln	wheat
mình	dich selbst	me
mía	zuckerrohr	sugar cane (n.)
mò	fummelte	to grope (v.)
mòn	abgenutzt	trail
móc	haken	"(term should be ""máy móc"") machinery (n.)"
món	essen	dish
mô	gewebe	mo
môi	lippen	lip
môn	themen	anus
mông	gesäß	mongolia
mônôxít	monoxid	monoxide
môt	eins	"(term should be ""một"") one (n.)"
môtô	motorrad	motorcycle
mù	blind	mu
mùa	jahreszeit	season
mùi	der geruch	smell
múa	tanzen	dance
mút	saugen	to suck (v.)
münchen	münchen	(proper noun) munchen
măng	bambussprossen	bamboo shoot (n.)
mĩ	amerika	america
mũ	kappen	cap
mũi	nase	nose
mơ	träume	vague
mơn	pfoten	caress
mưa	regen	rain
mưu	list	"(should be ""tham mưu"") advisors"
mươi	fünfzig	tens
mương	graben	ditch
mướn	mieten	hire
mướt	glatt	smooth (adj.)
mường	muong	(proper noun) mường, a minority people in vietnam (n.)
mượn	ausgeliehen	borrow
mượt	glatt	glossy (adj.)
mạc	wüste	"(should be ""mộc mạc"") simple or natural"
mạch	schaltung	vessel
mại	handel	commerce
mạn	seite	romantic
mạnh	stark	strong
mạo	artikel	"(should be ""mạo hiểm"") to brave danger"
mạt	milben	"(term should be ""lê mạt"") the ending or decline of something (adj.)"
mả	gräber	tomb or grave (n.)
mải	beschäftigt	absorbedly
mảng	array	genre
mảnh	stück	piece
mất	verloren	lose
mấu	registerkarte	key
mấy	wenige	any
mầm	keim	kindergarten
mầu	farbe	color
mẩu	stück	piece
mận	pflaumen	plum
mập	fett	fat
mật	schatz	intimate
mậu	handel	mau
mắc	teuer	get
mắm	fischsauce	"(term should be ""nước mắm"") fish sauce (n.)"
mắn	glück	"(term should be ""may mắn"") fortunate (adj.)"
mắng	schimpfen	scold
mắt	augen	eye
mặc	tragen	wear
mặn	salzig	salt
mặt	gesicht	face
mẹ	mama	mother (n.)
mẹo	tipps	trick
mẻ	charge	cool
mẽ	stark	strong
mến	liebes	to adore or like greatly (v.)
mề	muskelmagen	locket
mềm	weich	soft
mệnh	abs	revolution
mệt	müde	tired
mỉ	akribisch	meticulous
mỉa	ironie	ironic
mỉm	lächeln	smile
mịch	scheiße	"(term should be ""tịch mịch"") quiet (adj.)"
mịn	glatt	smooth
mịt	schnüffeln	dim
mọc	wächst	to grow (v.)
mọi	jeder	every
mọn	kleinlich	lowly
mỏ	minen	mine
mỏi	müde	tired (adj.)
mỏng	dünn	thin
mốc	muffig	border
mối	termite	relationship
mốt	modeerscheinung	fashion or style (n.)
mồ	grab	"(term should be ""mồ hôi"") sweat (n.)"
mồi	köder	bait (n.)
mổ	chirurgie	to dissect or perform surgery (v.)
mỗi	jeweils	every
mộ	grab	admire
mộc	zimmerei	simple
mộng	träume	dream
một	eins	one
mới	neu	new (adj.)
mờ	verschwommen	dim
mời	eingeladen	invite
mở	offen	open
mỡ	fett	fat or grease (n.)
mục	der artikel	purpose
mụn	akne	pimple
mức	niveau	level
mứt	marmelade	preserve
mừng	freut mich	to be happy
mửa	erbrechen	to vomit (v.)
mực	tinte	"(term should be ""chuẩn mực"") standard (n.)"
mỳ	nudeln	noodles (n.)
mỹ	gut	america
mỹcông	amerika	my private
na	na	"(term should be ""na uy"") the country of norway"
naadam	naadam	naadam
nacional	nacional	nacional
nagant	nagant	nagant
nagar	nagar	nagar, as in champa po nagar
nagasaki	nagasaki	(proper noun) the city of nagasaki, japan
nagoya	nagoya	a name
nagumo	nagumo	nagumo
nai	hirsche	a deer
nairobi	nairobi	nairobi, a city in kenya (n.)
nakajima	nakajima	a japanese name
nalbandian	nalbandian	a name
nam	männlich	male
nambắc	norden	nambac
namibia	namibia	namibia
namnam	namnam	male-male
namno	namno	nammo
nancy	nancy	nancy, as in nancy pelosi
nang	follikel	"(term should be ""cẩm nang"") a handbook (n.)"
nanh	reißzähne	fang
nano	nano	nano
naomi	naomi	naomi, as in model naomi campbell
napoleon	napoleon	(proper noun) napoleon
napoli	napoli	(proper noun) napoli
napoléon	napoléon	napoleon
nara	nara	nara
nasa	nasa	(proper noun) nasa
nat	nat	nat
nathan	nathan	nathan
natri	natrium	sodium
nauru	nauru	a name
nava	nava	nava
navarre	navarre	navarre
nay	jetzt	this (adj.)
needham	needham	needham
nelson	nelson	(proper noun) nelson, as in nelson mandela
neo	anker	"(term should be ""mỏ neo"") an anchor (n.)"
neon	neon	neon
nepal	nepal	nepal
nepomuk	nepomuk	a name
nessie	nessie	(noun) nessie, the nickname of the loch ness monster
net	netto	net
netbook	netbook	netbook
netscape	netzlandschaft	netscape
networks	netzwerke	networks
neumann	neumann	(proper noun) neumann
neutrino	neutrino	neutrino
nevada	nevada	nevada
neverland	nimmerland	neverland
newcastle	newcastle	newcastle
newspaper	zeitung	newspaper
newton	newton	newton
newtons	newton	(proper noun) newton's
next	als nächstes	next
nga	russland	russia
ngai	thron	crown
ngang	horizontal	horizontal
ngao	muschel	clam (n.)
ngay	gerade jetzt	even
nghe	hören	hear
nghinh	nghinh	welcome
nghiêm	streng	serious
nghiêng	geneigt	inclined
nghiêu	nghieu	nghiêu, a vietnamese name
nghiền	zerquetscht	crush
nghiễm	mitleid	serious
nghiệm	erfahrung	experiment
nghiện	süchtig	addiction
nghiệp	karma	karma/ sự nghiệp=career
nghiệt	grimmig	adverse
nghành	industrie	faculty
nghèo	arm	poor
nghé	nghe	to glance out of the corner of one's eye (v.)
nghê	nghe	nghe khuong
nghênh	willkommen	support
nghìn	tausend	thousand
nghĩ	dachte	think
nghĩa	bedeutung	meaning
nghẽn	überlastung	jam
nghếch	laut	stupid
nghề	beruf	career
nghệquận	kunst	art district
nghỉ	pause	relaxation
nghị	empfehlungen	think
ngo	zierlich	ngo
ngoan	guter junge	good
ngoc	ngoc	"(term should be ""ngọc"") gem (n.)"
ngon	lecker	delicious
ngoài	auseinander	outside of
ngoại	fremd	external
ngoạn	atemberaubend	spectacular
ngoặc	klammern	bracket
ngoặt	wendepunkt	landmark
ngu	dumm	stupid
ngung	ngung	(proper noun) a vietnamese first name
nguyen	nguyen	nguyen
nguyên	original	reason
nguyền	fluch	curse
nguyện	gelübde	"(term should be ""mãn nguyện"") to be satisfied (adj.)"
nguyệt	mond	moon
nguôi	beruhigend	fade away
nguồn	quelle	source
nguời	menschen	people
nguỵ	dummköpfe	camouflage
ngà	elfenbein	russian
ngàn	tausend	thousand
ngàng	ngàng	"(term should be ""ngỡ ngàng"") to be at fault (adj.)"
ngành	industrie	sector
ngào	süß	sweet
ngày	tag	day
ngách	nische	"entire term should be ""ngoc ngach""; means ""a small, out-of-the-way road"""
ngái	dumm	chinese ethnic group living in the vietnamese highlands near the china border
ngán	gelangweilt	to be tired of
ngáng	ngáng	stop
ngát	ohnmacht	"(term should be ""ngát hương"") fragrant (adj.)"
ngân	bank	money
ngây	leer	"(term should be ""ngây ngất"") to be in ecstasy"
ngãi	ngai	ngai
ngò	koriander	coriander
ngó	schau	to look (v.)
ngói	fliese	tile or shingle
ngón	finger	a finger (n.)
ngót	schrumpfung	"(term should be ""rau ngót"") also called sweet leaf, a type of leafy vegetable used to make soup (n.)"
ngôn	sprache	manifesto
ngông	gans	eccentric
ngõ	spur	lane
ngùi	riechen	sad
ngút	ngut	"entire term is ""ngut troi""; means ""sky-high"""
ngăn	fach	prevent
ngũ	fünf	rank
ngơ	ignoriert	ignored (adj.)
ngơi	ruhe	"(term should be ""nghỉ ngơi"") to rest (v.)"
ngư	fischer	fishermen
ngưng	hör auf	stop
ngưu	ox	buffalo
ngươi	du	an ancient form of address equivalent to thou or thee (n.)
người	menschen	people
ngưỡng	schwelle	religious
ngược	rückwärts	opposite
ngạc	überrascht	surprise
ngạch	rang	"(term should be ""kim ngạch"") turn-over (n.)"
ngạn	bank	bank
ngạnh	widerhaken	self-willed
ngạo	arrogant	"(term should be ""ngạo ngược"") insolent (adj.)"
ngạt	erstickung	stuffy
ngấm	infundiert	draw
ngất	ohnmacht	unconscious
ngầm	unterirdisch	underground
ngần	zögern sie	hesitate
ngẩn	verblüfft	froze
ngẫm	nachdenken	think
ngẫu	zufällig	ngẫu nhiên= random
ngậm	lutschtabletten	keep
ngập	überflutet	flood
ngắm	zuschauen	to contemplate or look admiringly at something (v.)
ngắn	kurz	short
ngặt	eng	strict
ngọ	mittag	horse
ngọc	perle	pearl
ngọn	spitzen	top
ngọt	süß	sweet (adj.)
ngồi	sitzen	sit
ngộ	erleuchtung	ngo
ngột	abrupt	sudden
ngớ	dumm	silly
ngời	menschen	bright
ngỡ	dachte	surprised
ngợi	lob	praise
ngợm	ungezogen	naughty
ngục	verlies	dungeon
ngụm	schluck	sip
ngụy	wei	puppet
ngủ	schlafen	sleep
ngủi	kurz	"(should be ""ngắn ngủi"") short-lived"
ngứa	juckreiz	itchy
ngừ	thunfisch	tuna
ngừa	verhindern	prevent
ngừng	hör auf	to cease (v.)
ngửa	offen	supine
ngửi	riechen	to smell
ngữ	rede	term
ngự	wohnen	defend
ngựa	pferde	horse
ngực	brust	chest
nha	zahnarzt	dental
nhakẻ	kind	nha-ke
nham	lava	"(actual term is ""dung nham"") lava"
nhan	nhan	"(term should be ""dung nhan"") countenance or facial appearance (n.)"
nhang	weihrauch	incense
nhanh	schnell	fast
nhat	nhat	nhat
nhen	neu entfacht	rekindle
nhi	kinder	junior
nhiên	natürlich	tuy nhiên= however
nhiêu	viel	how many
nhiều	viel	numerous
nhiễm	infiziert	infect
nhiễu	lärm	noise
nhiệm	pflicht	task
nhiệt	hitze	heat
nhk	nhk	nhk
nhs	nhs	nhs
nhu	wie	demand
nhuận	gewinn	leap year
nhuệ	nhue	elite
nhuộm	gefärbt	dye
nhàn	leerlauf	leisure
nhàng	sanft	"(term should be ""nhẹ nhàng"") gentle (adj.)"
nhào	kneten	to fall headlong
nhác	schlaff	coward
nhái	klone	illegal copy
nhánh	zweig	branch
nháp	entwurf	draft
nháy	blinkt	to flash or blink (v.)
nhâm	eintauchen	leap
nhã	geschmackvoll	"(term should be ""thanh nhã"") elegant"
nhãn	etikett	"(term should be ""gán nhãn"") to affix a label"
nhét	versteckt	put
nhì	zweitens	second (adj.)
nhìn	schau	to look (v.)
nhí	geschwätz	children
nhím	igel	porcupine
nhòm	schau	to peep (v.)
nhóc	kind	brat
nhóm	gruppe	group (n.)
nhô	hervorstehend	emerge
nhôm	aluminium	aluminum (n.)
nhúng	eingebettet	embed
nhút	schüchtern	shy
nhăn	faltig	wrinkle
nhĩ	atrial	turkey
nhũ	emulsion	"(term should be ""thạch nhũ"") stalactite (n.)"
nhũng	korruption	bribery
nhơn	multiplizieren	nhon
như	wie	like
nhưng	aber	but
nhương	speichel	(proper noun) vietnamese first name
nhường	ausbeute	yield
nhưỡng	fettig	soil
nhược	schwäche	weak
nhượng	zugeständnisse	concession
nhạ	nhạ	nha
nhạc	musik	music
nhạn	schlucken	bird
nhạo	verspotten	ridicule
nhạt	blass	light
nhạy	empfindlich	sensitive
nhảy	tanzen	jump
nhấc	heben	lift
nhấm	nippen	rodent
nhấn	drücken	to press (v.)
nhất	am meisten	most
nhầm	falsch	misunderstand
nhầy	schleimig	glutinous
nhẫn	ringe	patient
nhậm	gestempelt	inaugurate
nhập	eingeben	penetrate
nhậu	trinken	drink
nhậy	empfindlich	sensitive
nhắc	eingabeaufforderung	to remind (v.)
nhắm	zielen	aim
nhắn	die nachricht	message
nhằm	zielen	for the purpose of (adv.)
nhẵn	glatt	smooth
nhặt	abgeholt	pickup
nhẹ	licht	light
nhẹn	agil	nhanh nhẹn= fast/nimble
nhị	staubblatt	sensitive
nhịn	sich enthalten	fasting
nhọ	verschmiert	smear
nhọn	spitz	sharp (adj.)
nhỏ	klein	small
nhỏ|cây	kleiner baum	small|tree
nhỏ|một	klein | eins	small | one
nhỏ|phải|	klein | rechts |	small|right
nhỏ|phải|px|	klein | rechts | px |	small | have | px |
nhỏ|phải|px|bức	kleine | rechte | px | bilder	grape / fade / px / buc
nhỏ|phải|px|cây	kleiner | rechter | px | baum	px spicy grape fade
nhỏ|phải|px|khu	kleine | rechte | px | zone	small|right|px|area
nhỏ|phải|px|michael	klein | rechts | px | michael	small|right|px|michael
nhỏ|phải|px|máy	kleine | rechte | px | maschine	small | right|px|machine
nhỏ|phải|px|một	klein | rechts | px | eins	small|right|px|one
nhỏ|phải|px|quân	klein | rechts | px | kraft	small|right|px|army
nhỏ|px|	klein | px |	small
nhỏ|px|các	klein | px | the	small
nhỏ|px|phải|kiến	kleine | px | rechte | ameise	small | px | right | patience
nhỏ|quân	kleine kraft	small|army
nhỏ|trái|px|máy	kleine | linke | px | maschine	small|left|px|plane
nhỏ|tượng	kleine statuen	small|statue
nhốt	eingesperrt	confine
nhồi	vollgestopft	cram
nhổ	spucken	uproot
nhộn	komisch	busy
nhớ	sich erinnern	remember
nhớt	viskos	viscid
nhờ	danke	by
nhờn	fettig	multiplication
nhở	erinnern	remind
nhụ	prise	nhu
nhục	gedemütigt	shame
nhủ	erinnerungen	needs
nhức	schmerzen	pain
nhứt	zuerst	first (n.)
nhừ	wie	tender
những	diese	the
nhựa	kunststoff	plastic
nhựt	nhut	"like the word ""nhật""; meaning ""sun"" (n.)"
ni	ni	nun
nia	nia	a flat basket (n.)
nicaea	nicaea	nicaea
nicaragua	nicaragua	(proper noun) nicaragua
niccolò	niccolò	(proper noun) niccolo, as in writer niccolo machiavelli
nicolas	nicolas	(proper noun) nicolas, as in nicolas sarkozy
niels	niels	(proper noun) niels
nigeria	nigeria	nigeria
nikel	nikel	nickel
niken	nickel	nickel
nikita	nikita	(proper noun) nikita, a first name
nikko	nikko	(proper noun) nikko
nikolai	nikolai	nikolai
nikolayevich	nikolayevich	nikolayevich
nil	null	nile
nile	nil	(proper noun) the river nile
nimitz	nimitz	(proper noun) nimitz, as in the ship uss nimitz
nin	nin	nin
ninh	sicherheit	ninh, as in bắc ninh
nintendo	nintendo	(proper noun) nintendo, the game company
nippon	nippon	nippon
nitơ	stickstoff	nitrogen (n.)
nixon	nixon	(proper noun) nixon, as in former president richard nixon
niên	jahr	youth
niết	niet	nirvana
niềm	vergnügen	trust
niệm	achtsamkeit	concept
niệu	diurese	urinary
nj	nj	nj
nlf	nlf	nlf
nm	nm	nano-meters
noah	noah	(proper noun) noah
nobel	nobel	nobel
nobita	nobita	nobita
noel	noel	(proper noun) noel
noi	sagen	imitate
nokia	nokia	(proper noun) nokia, as in the nokia corporation
nol	nol	nol
nom	nom	look after
non	jung	mountain
nonpenetrative	nicht durchdringend	nonpenetrative
norfolk	norfolk	norfolk
norge	norge	norge
norma	norma	(proper noun) norma, a female first name
norman	norman	norman
normandie	normandie	normandile
northrop	northrop	northrop, as in the northrop f-5 freedom fighter
norton	norton	norton
norway	norwegen	norway
nou	nein	nou
novak	novak	novak
now	jetzt	now
nowc	nowc	nowc
noãn	eizelle	ovule
nsnd	nsnd	people's artist
nst	nst	chromosome
nubia	nubien	nubia
number	nummer	number
nupedia	nupedia	a name
nusa	nusa	nusa
nuôi	füttern	feed
nuối	schlucken	"(term should be ""tiếc nuối"") to regret (v.)"
nuốt	schlucken	to swallow (v.)
nuớc	wasser	water
nxb	nxb	publisher
nynorsk	nynorsk	nynorsk
nà	nà	na
nài	darauf bestehen	pleading
nàn	beschwerte sich	poor
nành	soja	soy
nào	komm schon	would
này	das	this
ná	ná	a crossbow (n.)
nách	achselhöhlen	underarm (n.)
náo	aufruhr	riot
nát	zerquetscht	ruin
náu	verstecken	hide
nâng	heben	raise
nâu	braun	brown
nã	nã	to track down (v.)
não	gehirn	brain
né	vermeiden	dodge
ném	werfen	to throw (v.)
nén	komprimiert	compress
nét	schlaganfälle	feature
nê	ne	ne
nên	sollte	should or ought to
nêu	angegeben	mention
nòi	rennen	race
nòng	fass	barrel
nói	sagte	to say or speak (v.)
nón	hüte	cone
nóng	heiß	hot
nô	sklave	slave
nôbita	tobita	nobita
nôi	krippe	cradle
nôm	nein	ancient vietnamese script that borrowed heavily from han chinese characters
nôn	erbrechen	vomit
nông	flach	farmer
nõn	schälen	peeled
nùng	nung	nung
núm	knopf	nipple
núp	abdeckung	hide
nút	taste	button
năm	jahr	year
năn	reuig	"(term should be ""ăn năn"") remorse (n.)"
năng	macht	"(term should be ""khả năng"") ability (n.)"
nơi	ort	a place
nơtrino	neutino	neutrino
nước	wasser	country
nước 	wasser	water
nướng	gebacken	grill
nǎm	nǎm	year
nạ	maske	mask
nạc	schlank	lean (adj.)
nại	sich beschweren	complain
nạn	not	a disaster (n.)
nạo	kürettage	to scrape (v.)
nạp	geladen	tribute
nản	entmutigt	depressed
nảy	hüpfen	"(term should be ""nảy sinh"") to give rise to (v.)"
nấc	schluckauf	a hiccup (n.)
nấp	verstecken	hide
nấu	kochen	cook
nấy	das	this
nần	stupsen	debt
nầy	das	this
nẩy	hüpfen	"(term should be ""nảy nở"") to sprout or start growing (v.)"
nẫu	n sonne	"(""giọng nẫu"") a vietnamese accent commonly found in cities such as phú yên"
nậm	nam	"(term should be ""nậm rốm"") the name of a river in vietnam (proper noun)"
nập	heiß	busy
nắm	greifen	to grasp or hold (v.)
nắng	sonnig	sunlight
nắp	deckel	a lid or cover (n.)
nằm	lügen	to lie (v.)
nẵng	nang	"(term should be ""Đà nẵng"") a city in central vietnam"
nặc	anonym	heavy
nặn	drücken	mould
nặng	schwer	heavy
nẻo	ein anderer	turn
nếm	verkostung	taste
nến	kerzen	candle
nếp	klebrig	sticky rice (n.)
nếu	wenn	if (adv.)
nề	mauerwerk	severe
nể	respekt	respect
nện	stampfen	ram
nỉ	fühlte	beg
nịnh	flacher	flatter
nọ	der andere	the other
nọc	gift	tadpole
nỏ	armbrust	a crossbow (n.)
nối	verbunden	connection
nốt	hinweis	to finish off (v.)
nồi	topf	pot
nồm	nacken	humid (adj.)
nồng	konzentration	heavy
nổ	explodieren	explode
nổi	schwebend	nổi tiếng= famous
nỗ	versuch	affort
nỗi	das	state
nộ	zorn	anger
nội	intern	on the paternal side (adj.)
nộn	füllung	non
nộp	abgelegt	submit
nới	lockern	ease
nở	blühen	bloom
nỡ	herzhaft	do you have a heart to
nợ	schulden	debt
nụy	stempel	"(term should be ""nụy nhân"") the vietnamesized han term depicting the japanese"
nứa	kork	a kind of bamboo (n.)
nứt	geknackt	to crack
nửa	halb	haft
nữa	mehr	moreover
oahu	oahu	(proper noun) oahu
oai	angst	heroic
oakland	oakland	oakland
oan	ungerechtigkeit	injustice
oanh	oanh	(with word liet) glorious
obama	obama	obama
oblast	oblast	(proper noun) oblast, as in tomsk oblast
oc	oc	oc
october	oktober	(proper noun) october
oda	oda	oda
oder	oder	oder
odyssey	odyssee	odyssey, as in the odyssey, homer's epic
oecd	oecd	oecd
officer	offizier	officer
officers	offiziere	officers
ohkawa	ohkawa	ohkawa
okhotsk	okhotsk	okhotsk
oliver	oliver	oliver
olivier	olivier	olivier
olympus	olympus	olympus
om	om	to simmer
omar	omar	a name
ong	biene	bee
ontario	ontario	ontario
oort	oort	oort
oprah	oprah	(proper noun) oprah, as in oprah winfrey
organ	orgel	organ
oricon	oricon	oricon
origin	herkunft	origin
orion	orion	(proper noun) orion, the hunter
orleans	orleans	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oscar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	ossetien	(proper noun) ossetia
oswald	oswald	oswald
other	andere	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	ottomane	(proper noun) ottoman, as in the ottoman empire
outstanding	hervorragend	xuat sac
owen	owen	(proper noun) owen, as in michael owen
oxford	oxford	oxford
oxy	sauerstoff	oxygen
ozawa	ozawa	(proper noun) ozawa, as in maria ozawa
oán	ressentiments	"(term should be ""oán than"") to complain or whine"
oát	watt	a watt (n.)
oản	oàn	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pakistan	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palästina	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	pfanne	pan, as in peter pan
panama	panama	panama
panamax	panamax	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	panthera	(proper noun) panthera, a genus of felines
panthéon	panthéon	a name
paolo	paolo	paolo
paperback	taschenbuch	paperback
papua	papua	papua
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	park	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrick	patrick
patriot	patriot	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	gleichaltrige	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsylvania	pennsylvania
penny	penny	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	perry	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	pershing	pershing
persian	persisch	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	gemischt	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	bremse	expose
phao	float	float
phaolô	paul	st. paul, the apostle
pharaoh	pharao	pharaoh
pharaon	pharaon	pharaoh
phay	fräsen	mill
phe	fraktion	faction
phen	phen	time
phil	phil	(proper noun) phil, a first name
philip	philip	philip
philippe	philippe	philippe
philippines	philippinen	(proper noun) philippines
phillip	phillips	(proper noun) phillip
phillips	phillips	philips
philosophiae	philosophiae	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	filter	coffee filter
phineas	phineas	(proper noun) phineas
phiên	sitzung	trial
phiêu	abenteuer	adventurous
phiếm	klatsch	gossip
phiến	klinge	"(should be ""nha phiến"") opium"
phiện	opium	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	phönix	(proper noun) phoenix
phong	zimmer	movement
php	php	php
phrygian	phrygisch	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	aufgedeckt	expose
phun	sprühen	to spray or spit (v.)
phà	fähre	ferry
phàm	sterblich	superhuman
phàn	sich beschweren	complain
phá	brechen	destroy
phác	skizze	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	schlagen	manner (n.)
phái	sekte	a party
phán	richter	judge
pháo	kanone	artillery
pháp	frankreich	method
phát	sendung	develop
phèn	alaun	alum
phèo	phèo	organs
phép	erlaubt	permit
phê	kaffee	"(term should be ""phê bình"") to criticize (v.)"
phêrô	peter	peter
phì	hypertrophie	non-
phình	ausbuchtung	bulge
phí	aufladen	non-
phía	seite	side
phích	thermoskanne	a flask (n.)
phím	schlüssel	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	zimmer	office
phó	stellvertreter	second
phóng	reporter	to launch (v.)
phô	stadt	display
phôi	barren	embryo
phông	schriftart	font
phùng	puff	phung
phúc	gesegnet	good fortune (n.)
phúclộc	gesegnet	phuc-loc
phún	penner	"(term should be ""lún phún"") sparse (adj.)"
phúng	mitleid	satire
phút	minute	a minute (n.)
phăn	bund	phan
phăng	phang	knock
phương	phuong	direction
phước	segen	luck
phường	station	ward
phượng	phönix	phoenix
phạn	sanskrit	sanskrit
phạt	strafe	punish
phả	stammbaum	pedigree
phải	ja	must
phải 	ja	right
phản	zähler	reaction
phảng	flach	subtle
phần	abschnitt	part
phẩm	produkte	food
phẩy	komma	a comma
phẫn	empört	wrathful
phẫu	chirurgie	surgery
phận	schicksal	part
phật	buddha	buddhist
phẳng	flach	flat (adj.)
phế	schrott	dismiss
phết	verbreiten	to spread or smear (v.)
phỉ	hasel	defame
phỏng	brennen	interview
phố	straße	city
phối	koordinieren	coordinate
phốt	phosphate	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	aufgeblasen	to swell (v.)
phổ	spektrum	popular
phổi	lungen	lung
phộng	erdnüsse	peanut
phới	float	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	pho	pho
phục	bekleidung	convincing
phụng	servieren	worship
phụt	puff	minute
phủ	abgedeckt	government
phức	komplex	complex
picchu	picchu	a name
piccolo	piccolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	hecht	pike
pin	stift	battery
pinlus	pinlus	pinlus
pioneer	pionier	pioneer
pipes	rohre	pipes
pisa	pisa	a name
piston	kolben	piston
pitch	tonhöhe	pitch
pius	pius	pius
plaaf	plaaf	plaaf
plan	planen	plan
plasma	plasma	plasma
plate	platte	plate
plato	plato	plato
platon	platon	platon
player	spieler	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistozän	pleistocen
plus	plus	plus
pluto	pluto	pluto
pm	uhr	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	polen	poland
pollack	pollack	a name
pollux	pollux	a name
