$ tỉ	billion பில்லியன்	$ billion
tiềm	சாத்தியமான	potential
tiền	பணம்	money (n.)
tiều	மலம்	(proper noun) the name of a poet
tiểu	சிறுநீர் கழித்தல்	tiểu sử= biography
tiễu	திரு லியு	patrol
tiệc	விருந்து	party
tiệm	கடை	shop
tiện	வசதியானது	mean
tiệp	செக்	gustav franck
tiệt	செக்ஸ்	sterilize
tncs	tncs	communist youth union
tngt	tngt	traffic accidents
tnhh	வரையறுக்கப்பட்டவை	limited
toang	toang	fast
tobago	டொபாகோ	tobago
toei	toei	toei
tokugawa	tokugawa	tokugawa
tokyo	டோக்கியோ	tokyo, the capital of japan
tokyopop	டோக்கியோபாப்	tokyopop
tomas	டோமாக்கள்	(proper noun) tomas
tommy	டாமி	tommy
tomoyo	tomoyo	tomoyo
tony	டோனி	tony
toonami	டூனாமி	(proper noun) toonami
top	மேல்	top
torino	டொரினோ	torino, as in the italian city
toriyama	டோரியமா	(proper noun) toriyama
tottenham	டோட்டன்ஹாம்	tottenham
tourism	சுற்றுலா	tourism
tourist	சுற்றுலா	tourist
toyama	டோயாமா	toyama
toyota	டொயோட்டா	(proper noun) toyota
toà	நீதிமன்றம்	office
toàn	பாதுகாப்பானது	entire or whole (adj.)
toán	கணிதம்	team
toát	நல்ல	to exude or emit, as in sweat (v.)
toạ	ஆய அச்சுகள்	locate
toại	இல்	satisfaction
toả	கதிர்வீச்சு	spread
tp	tp	city
tphcm	tphcm	ho chi minh city
tphồ	நகரம்	city ho
tpvĩnh	நகரம்	vinh city
tqlc	tqlc	marine
trafalgar	trafalgar	(proper noun) trafalgar
trafford	டிராஃபோர்ட்	trafford in greater manchester
trai	மஸ்ஸல்ஸ்	boy
trang	பக்கம்	a page (n.)
tranh	படங்கள்	to compete (v.)
trao	ஒப்படைத்தார்	reward
trau	trau	polish
tre	மூங்கில்	bamboo (n.)
treo	செயலிழக்க	hang
tri	tri	tri
tribune	ட்ரிப்யூன்	a name
trinh	கன்னி	"(should be ""trinh bạch"") virtuous"
trinidad	டிரினிடாட்	trinidad
trinity	திரித்துவம்	trinity
tristan	டிரிஸ்தான்	tristan
triết	தத்துவம்	philosophy
triền	ட்ரைன்	"(should be ""triền miên"") endless"
triều	அலை	court
triện	முத்திரை	stamp
triệt	முழுமையாக	completely
triệu	மில்லியன்	a million
tro	சாம்பல்	ashes
troia	ட்ரோயா	troy
trondheim	ட்ரோண்ட்ஹெய்ம்	trondheim
trong	இல்	inside (adv.)
true	உண்மை	true
truman	ட்ரூமன்	(proper noun) truman
trung	நடுத்தர	"(term should be ""trung gian"") agent (n.)"
trungnhật	நேர்மை	china-japan
truong	truong	truong
truyên	ட்ரூயென்	story
truyện	கதை	story
truân	truân	arduous
truất	எதிர்ப்பாளர்கள்	cancel
truởng	தலைமை	leader (n.)
truỵ	பொய்	depraved
trà	தேநீர்	tea (n.)
tràm	cajuput	melaleuca
tràng	பெருங்குடல்	"entire term should be ""truc trang""; means ""rectum"""
trào	வெடிப்பு	movement
trác	ட்ராக்	trac
trách	பழி	blame
trái	இடது	against
trán	நெற்றியில்	forehead
tráng	பூசப்பட்ட	to coat (v.)
tránh	தவிர்க்கவும்	to avoid (v.)
tráo	மோசடி	tráo trở= liar/betrayal/treacherous
tráp	பெட்டி	casket
trát	வாரண்ட்	pile
trâm	ப்ரூச்	a type of elegant hairpin (n.)
trân	வாழ்த்துக்கள்	respect
trâu	எருமை	a last name
trãi	சிதறடிக்கப்பட்டது	trai
trèo	ஏறு	climb
trên	ஆன்	above
trình	சமர்ப்பிக்கவும்	process
trí	மனம்	intellectual
trích	பகுதி	to extract (v.)
trò	தந்திரம்	role
tròn	சுற்று	rounding
trói	கட்டப்பட்டது	tie
trôi	சறுக்கல்	afloat
trông	தெரிகிறது	look
trùm	முதலாளி	cover
trùng	ஒத்துப்போகிறது	"(should be ""tinh trùng"") sperm"
trùy	ட்ரூய்	something to with monk
trú	போர்டிங்	residence
trúc	மூங்கில்	structure
trăm	நூறு	hundred
trăn	பைதான்	"(term should be ""trăn trở"") to ponder (v.)"
trăng	நிலா	moon
trĩ	மூல நோய்	hemorrhoids
trũng	மூழ்கியது	medium
trơ	செயலற்ற	bare
trơn	வழுக்கும்	slippery (adj.)
trư	ட்ரூ	a pig (n.)
trưa	நண்பகல்	noon (n.)
trưng	கோரிக்கை	symbolic
trưngcông	காட்சிக்கு வைக்கப்பட்டுள்ளது	truongcong
trương	ட்ரூங்	policy
trước	முன்	front
trước 	முன்	front
trướng	விரிவாக்கம்	expand
trườn	வலம்	crawl
trường	பள்ளி	case
trượng	காடுசியஸ்	a unit of length used in vietnam equal to 4 meters (n.)
trượt	சரிய	slide
trạch	ட்ராச்	ze
trại	முகாம்	camp
trạm	நிலையம்	station
trạng	நிலை	situation
trạo	தாவோ	trao
trả	செலுத்த	to return
trải	கவர்	spread
trảm	cajuput	beheaded
trảo	machetes	trao
trấn	நகரம்	town
trấu	உமி	rice skin
trầm	ஆழமான	depression
trần	வெற்று	tran
trầu	வெற்றிலை	trầu
trầy	கீறப்பட்டது	scratch
trẩy	பவுன்ஸ்	pilgrimage
trẫm	நான்	i
trận	போட்டி	battle
trật	இடமாற்றம் செய்யப்பட்டது	order
trắc	பயோமெட்ரிக்ஸ்	"(term should be ""trắc ẩn"") to have pity (adj.)"
trắng	வெள்ளை	white
trặc	விக்கல்	"entire phrase is ""truc trac""; means ""problem"""
trẻ	இளம்	youth
trễ	தாமதமாக	late
trệ	தேங்கி நிற்கும்	bamboo
trị	சிகிச்சை	cure
trịnh	ஜிக்ஜாக்	trịnh, a vietnamese last name
trọ	சத்திரம்	motel
trọn	முழு	whole
trọng	முக்கியமான	serious
trỏ	சுட்டிகள்	index
trối	இறுதி	last words
trốn	மறை	to hide
trống	காலியாக	in
trồi	வளர்ந்து வருகிறது	to emerge (v.)
trồng	வளர	plant
trổ	காட்டு	to burst open or display
trỗi	தோற்றம்	rise
trội	ஆதிக்கம் செலுத்தும்	better
trộm	திருடர்கள்	theft
trớn	caress	"(term should be ""mơn trớn"") to fondle or caress (v.)"
trời	இறைவன்	sun
trợ	ஆதரவு	support
trụ	அலுவலகம்	universe
trục	அச்சு	"(term should be ""khu trục"") fighter, in reference to planes (adj.)"
trụi	நிர்வாணமாக	"(term should be ""trơ trụi"") bare (adj.)"
trứ	ட்ரூ	famous
trứng	முட்டை	egg
trừ	கழித்தல்	except
trừng	கண்ணை கூசும்	punish
trừu	ஆடுகள்	abstract
trữ	சேமிப்பு	reserve
trực	கடமையில்	direct
ts	ts	phd
tt	tt	news
tua	கூடாரம்	fringe
tucker	டக்கர்	tucker, an english last name
tudor	டியூடர்	(proper noun) tudor, as in the tudor family
tukhachevsky	tukhachevsky	(proper noun) tukhachevsky
tulip	துலிப்	tulip
tum	டம்	tum
tung	டாஸ்	release
tupolev	tupolev	tupolev, as in alexei tupolev
tuscan	டஸ்கன்	(proper noun) tuscan
tutsi	துட்ஸி	(proper noun) tutsi
tuvalu	tuvalu	(proper noun) tuvalu, a polynesian island nation
tuy	எனினும்	however
tuyên	அறிவிக்கவும்	"(should be ""tuyên ngôn"") a declaration"
tuyết	பனி	snow (n.)
tuyền	tuyen	tuyen
tuyển	ஆட்சேர்ப்பு	recruit
tuyệt	நன்று	excellent (adj.)
tuân	கீழ்ப்படியுங்கள்	comply
tuông	பறிப்பு	jealous
tuý	துயோ	drug
tuần	வாரம்	week
tuế	minnows	years
tuệ	ஞானம்	intelligence
tuốc	பறித்தல்	turbine
tuổi	ஒரு வயது	age
tuộc	ஆக்டோபஸ்	octopus
tuột	நழுவ	slip
tuỳ	விரும்பினால்	depend
tv	தொலைக்காட்சி	tv
tvb	தொலைக்காட்சி	tvb
twin	இரட்டை	twin
twitter	ட்விட்டர்	twitter
ty	ty	company
type	வகை	type
typhon	சூறாவளி	typhon
tà	தீமை	we
tài	அதிர்ஷ்டம்	talent (n.)
tàn	சாம்பல்	dying
tàng	அருங்காட்சியகம்	"(should be ""bảo tàng"") a museum"
tành	தன்	shatter
tàu	கப்பல்	ship
tá	டஜன்	"(term should be ""thiếu tá"") major (n.)"
tách	கோப்பை	to separate
tái	மறு	return
tám	எட்டு	eight
tán	விதானம்	support
tánh	தன்	life
táp	தட்டவும்	to lap at (v.)
táu	குற்ற உணர்வு	ashton
tâm	மையம்	tâm
tâu	என் கடவுளே	peach
tây	மேற்கு	western
tâynam	மேற்குநாம்	"(should be ""tây-nam"") southwest"
tã	டயப்பர்கள்	diaper
tét	அலறல்	tet
tê	உணர்ச்சியற்ற	numb
tên	பெயர்	name (n.)
tì	மண்ணீரல்	to lean on (v.)
tìm	கண்டுபிடி	find
tìmdiệt	தேடல்	find-kill
tình	காதல்	sex
tía	ஊதா	dad
tích	தயாரிப்பு	"(term should be ""tích cực"") to be zealous (adv.)"
tím	வயலட்	purple
tín	வரவு	"(entire term should be ""tín dụng"") credit"
tít	தலைப்பு	"(term should be ""tít mù"") very far away (adv.)"
tò	ஆர்வம்	curious
tòa	நீதிமன்றம்	a court
tòi	பொருள்	"(term should be ""tìm tòi"") to search doggedly for something (v.)"
tòng	டோங்	tòng, a last name
tóm	கூட்டு	summary
tô	கிண்ணம்	car
tôi	நான்	i
tôm	இறால்	shrimp
tôn	நெளி	venerate
tông	அட்டை	tông, as in lê thánh tông; first name of an ancient vietnamese emperor
tù	சிறையில்	prison
tùng	உதிரி	tung
tùy	விரும்பினால்	depend on
túc	போதுமான அளவு	"(term should be ""bổ túc"") to give a refresher course (v.)"
túi	கைப்பை	pocket
túm	பிடுங்க	catch
túng	விகாரமான	confuse
túp	குடிசை	hut
túy	மருந்து	"(term should be ""thuần túy"") pure (adj.)"
tý	எலி	mouse, as in year of the mouse
tăm	பற்பசை	"(term should be ""tiếng tăm"") reputation"
tăng	அதிகரி	increase
tĩnh	நிலையான	calm
tơi	நான்	ragged
tư	இருந்து	posture
tưng	நடுங்கும்	"(term should be ""tưng bừng"") joyously (adv.)"
tươi	புதியது	fresh
tương	ஒத்த	"(term should be ""tương tự"") to be similar to"
tước	நீக்குதல்	title (n.)
tưới	நீர்ப்பாசனம்	irrigation
tướng	பொது	prime minister (thu tuong)
tường	சுவர்	"a common vietnamese first name; means ""wall"""
tạ	பார்பெல்	weight
tạc	சிற்பம்	"(term should be ""oanh tạc"") to bomb from the air (v.)"
tại	இல்	survival
tạm	தற்காலிக	temporary
tạo	உருவாக்கு	create
tạp	பத்திரிகை	"(should be ""hỗn tạp"") a jumble or mish-mash"
tả	விளக்கம்	describe
tản	சிதறல்	disperse
tảng	நடைமேடை	platform
tấc	அங்குலம்	inch
tấm	தட்டுகள்	mirror
tấn	டன்	tan
tấp	இழுக்கப்பட்டது	crowded
tất	சாக்ஸ்	all
tấu	கருவி	tau
tầm	விளையாட்டுகள்	range or extent (n.)
tần	அதிர்வெண்	"(term should be ""tần số"") frequency (n.)"
tầng	தரை	layer
tầu	தொடர்வண்டி	ship
tẩm	செறிவூட்டப்பட்ட	soak
tẩy	அழிப்பான்	to bleach
tận	முடிவு	dedicated
tật	இயலாமை	disease
tắc	சுவிட்சுகள்	priciple
tắm	மழை	bathing
tắt	அணைக்க	initial
tặc	ஹேக்கர்கள்	"(term should be ""hải tặc"") a pirate (n.)"
tặng	நன்கொடை	donate
tẻ	drab	lẻ tẻ= scattered
tết	டெட்	(proper noun) the vietnamese new year
tếxã	பொருளாதார ரீதியாக	economy - society
tề	குய்	tidy
tể	மிஸ்டர்	lord
tệ	மோசமான	bad
tệp	கோப்பு	file
tỉa	டிரிம்	"(term should be ""bắn tỉa"") to snipe"
tỉnh	மாகாணம்	province
tị	பொறாமை	refugee
tịch	ஜனாதிபதி	"(""chủ tịch"") president or chairman"
tọa	ஆய அச்சுகள்	"(term should be ""chủ toạ"") chairman (n.)"
tỏ	வெளிப்படுத்தப்பட்டது	to
tỏa	கதிர்வீச்சு	radiate
tỏi	பூண்டு	garlic
tốc	வேகம்	speed
tốn	செலவு	to cost (v.)
tống	துணை	dispose
tốp	குழு	top
tốt	நல்ல	good
tồi	மோசமான	bad
tồn	உள்ளன	exist
tổn	காயப்படுத்துகிறது	damage
tổng	மொத்தம்	president
tộc	குலம்	"(term should be ""dân tộc"") a race or people"
tội	பாவம்	crime
tột	தீவிர	extreme
tớ	என்னை	servant
tới	அடுத்தது	to the point
tờ	தாள்	paper/document
tởm	அருவருப்பானது	disgusting
tục	கேவலமான	"(term should be ""tập tục"") customs or practices"
tụy	கணையம்	"(term should be ""tận tụy"") devoted (adj.)"
tủ	பெட்டிகளும்	shelf
tủi	மோசமான	humiliated
tủy	மஜ்ஜை	spine
tức	உடனடி	i.e.
từ	இருந்து	from
từng	எப்போதும்	each
tử	இறப்பு	lion (su tu)
tửu	ஆல்கஹால் சகிப்புத்தன்மை	wine
tự	சுய	"(term should be ""tương tự"") like or similar to (adv.)"
tựa	தலைப்பு	lean
tựu	சாதனைகள்	achievement
tỵ	பாம்பு	the han name for the year of the snake, according to the chinese zodiac
tỷ	பில்லியன்	billion
u	u	tumor
ua	ua	ua
uae	uae	uae
ubuntu	உபுண்டு	ubuntu
uc	uc	uc
uchiha	uchiha	uchiha
uefa	uefa	uefa
uh	இம்	uh
uk	இங்கிலாந்து	uk
ukiyoe	ukiyoe	ukiyoe
ukraina	உக்ரைனா	ukraine
ulsan	உல்சன்	ulsan
umm	umm	umm
un	ஐ.நா.	(proper noun) un, as in chung un chan of korea
und	und	und
under	கீழ்	under
unesco	unesco	unesco
ung	அழுகிய	cancer
unicorn	யூனிகார்ன்	unicorn
unit	அலகு	unit
unix	யூனிக்ஸ்	unix
up	யு பி எஸ்	up
ural	யூரல்	ural, as in the ural mountains
urani	யுரேனியம்	uranium
uri	யூரி	uri, a former political party in south korea
uruguay	உருகுவே	uruguay
usagi	usagi	usagi
usb	usb	usb
uss	uss	uss
utah	உட்டா	utah
utrecht	utrecht	(proper noun) utrecht
uy	uy	"(term should be ""uy lực"") power (n.)"
uyghur	uyghur	(proper noun) uyghur
uygur	uygur	uygur
uyên	யுயென்	scholarly
uyển	சொற்பொழிவு	"(term should be ""uyển chuyển"") flexible (adj.)"
uzbekistan	உஸ்பெகிஸ்தான்	uzbekistan
uông	உங்	uong
uất	uất	busy
uốn	கர்லிங்	to curl (v.)
uống	குடிக்க	to drink
uổng	வீணடிக்கிறது	vain
v	v	v
va	va	collide
vaccine	தடுப்பூசி	vaccine
vai	தோள்பட்டை	shoulder
valencia	வலென்சியா	valencia
valentine	காதலர்	valentine
valley	பள்ளத்தாக்கு	valley
van	அடைப்பான்	"(term should be ""van xin"") to beg (v.)"
vanessa	வனேசா	vanessa
vargas	வர்காஸ்	(proper noun) vargas
vasari	வசரி	vasari
vay	கடன் வாங்க	borrow
vectơ	திசையன்	vector
ven	உடன்	"(term should be ""ven biển"") coastal (adj.)"
vendôme	வென்டேம்	vendome
venezia	வெனீசியா	venice
venus	வெள்ளி	venus
verdun	வெர்டூன்	verdun
vermont	வெர்மான்ட்	vermont
verona	வெரோனா	(proper noun) the city of verona
versailles	வெர்சாய்ஸ்	(proper noun) versailles
vhs	vhs	vhs
vi	ஏனெனில்	behavior
viagra	வயக்ரா	viagra
victor	வெற்றியாளர்	(proper noun) victor
victoria	விக்டோரியா	victoria, a province of australia
vienna	வியன்னா	(proper noun) vienna, austria
viet	viet	vietnamese
vietnam	வியட்நாம்	vietnam
viettel	viettel	viettel
viii	viii	eighth
vijaya	விஜயா	(proper noun) vijaya
viking	வைக்கிங்	viking
villa	வில்லா	villa
villeneuve	villeneuve	(proper noun) villeneuve, a french last name
vinagame	வினகமே	vinagame
vinashin	வினாஷின்	vinashin
vince	வின்ஸ்	(proper noun) vince, as in vince mcmahon
vincennes	vincennes	vincennes
vincent	வின்சென்ட்	vincent
vinpearl	vinpearl	vinepeal
viqr	viqr	viqr
virginia	வர்ஜீனியா	(proper noun) virginia, as in the state
virus	வைரஸ்	virus
virút	வைரஸ்	virus
vissarionovich	விஸ்ஸாரியோனோவிச்	vissarionovich
vista	விஸ்டா	vista, as in windows vista
vitamin	வைட்டமின்	vitamin
vitruvius	விட்ரூவியஸ்	vitruvius
viz	அதாவது	(proper noun) viz
viêm	வீக்கம்	inflammation
viên	மாத்திரைகள்	member
viêng	வியாங்	vientiane
viêt	எழுதுதல்	vietnam
viếng	வருகை	visit
viết	எழுதுங்கள்	write
việc	வேலை	thing
viện	நிறுவனம்	institute
việt	வியட்நாம்	viet
việtmường	வியட்நாமிய முவாங்	muong
việtnga	vietnga	vietnam-russia
việttrung	வியட்ரங்	vietnam-china
vn	வி.என்	vietnam
vnexpress	vnexpress	(proper noun) vnexpress
vni	vni	vni
vo	vo	"(term should be ""tròn vo"") perfectly round (adj.)"
voi	யானைகள்	elephant
voip	voip	voip
voldemort	voldemort	(proper noun) voldemort, the villain from the harry potter series
von	வான்	compare
vonfram	மின்னிழைமம்	wolfram
vong	உயிரிழப்புகள்	injured
voyager	வோயேஜர்	voyager
voọc	langurs	a langur (n.)
vtc	vtc	vtc
vu	vu	"entire phrase is ""vu cao""; means ""to accuse wrongly"""
vua	ராஜா	king
vui	வேடிக்கை	happy
vulcan	வல்கன்	vulcan
vuông	சதுரம்	square
vuốt	நகம்	stroke
vv	முதலியன	etc.
vy	vy	vy
vyacheslav	vyacheslav	vyacheslav
và	மற்றும்	and
vài	சில	several
vàm	vm	the mouth of a rivulet (n.)
vàng	மஞ்சள்	gold
vành	விளிம்பு	coronary
vào	அதனுள்	into
vá	இணைப்பு	patchy
vác	சுமந்து	to shoulder (v.)
vách	சுவர்	wall
vái	ஆம்	some
ván	பிளாங்	game
váng	கறை	film
váy	உடை	skirt
vân	விரைவில்	"(term should be ""vân vân"") et cetera"
vây	துடுப்பு	encircle
vã	விரைந்தது	rush
vãi	மலம்	to release
vãn	வேன்	save
vè	சிறுநீர் கழித்தல்	to glance slyly (v.)
vé	டிக்கெட்	ticket
vét	அகழி	plunder
vê	பற்றி	tremolo
vì	ஏனெனில்	because
ví	பணப்பை	example
vía	பணப்பை	soul
vít	திருகு	screw
vò	நொறுங்கியது	jar
vòi	குழாய்	tap
vòm	கூரை	upper jaw
vòng	மோதிரம்	around
vó	ஹூஹூ	hooves
vóc	அளவு	"(should be ""vóc sương"") dew-like or delicate"
vô	இல்லை	"(term should be ""vô số"") countless (adj.)"
vôi	சுண்ணாம்பு	limestone
võ	தற்காப்பு	martial arts (n.)
võng	காம்பால்	hammock
vùi	புதைக்கப்பட்டது	"(term should be ""chôn vùi"") to bury or keep secret (v.)"
vùng	பகுதி	region
vú	மார்பக	breast (n.)
vút	உயரும்	"entire term should be ""cong vut""; extreme curling"
văn	இலக்கியம்	culture
văng	ஸ்பிளாஸ்	a name
vĩ	நன்று	"(term should be ""vĩ đại"") great (adj.)"
vĩnh	நிரந்தரமாக	ving
vũ	vu	armed
vũng	குட்டை	vung
vơ	உதவியற்ற	lost
vơi	உடன்	ullage
vưu	vưu	"actual term is ""xi vưu""; proper noun; name of a leader of a people in chinese legend"
vươn	அடைய	reach
vương	ராஜா	kingdom
vướng	சிக்கிக்கொண்டது	"(term should be ""vướng víu"") to become involved in (v.)"
vườn	தோட்டம்	garden
vượn	குரங்குகள்	gibbon
vượt	பாஸ்	to overcome
vạ	அதனால்	unfortunate problem
vạc	cauldron	cauldron
vạch	மதுக்கூடம்	bar
vại	ஜாடி	jar
vạn	பத்தாயிரம்	thousand
vạng	அந்தி	twilight
vả	அத்தி	hard
vải	துணி	fabric
vảy	செதில்கள்	scale
vấn	ஆலோசனை	vấn đề= problem
vấp	முறிந்தது	stumble
vất	தூக்கி எறியுங்கள்	hard
vần	ரைம்	spell
vầng	ஒளிவட்டம்	moon (vang trang)
vẩn	இன்னும்	wander
vẩy	செதில்களாக	scale
vẫn	இன்னும்	still
vẫy	அசைப்பதன்	wave
vận	அதிர்ஷ்டம்	active
vắc	தடுப்பூசி	vaccine
vắcxin	தடுப்பூசி	vaccine
vắn	குறுகிய	short
vắng	இல்லை	absent
vặn	திருகு	to twist (v.)
vặt	விளம்பரங்கள்	odd
vẹn	நேர்மை	complete
vẹt	கிளிகள்	parrots
vẽ	ஓவியம்	draw
vết	இணைப்பு	wound
vểnh	பெர்ச்	warping
vệ	பாதுகாப்பு	"(term should be ""bảo vệ"") to defend (v.)"
vệt	கோடுகள்	streak
vỉa	seams	"(term should be ""vỉa hè"") sidewalk"
vịnh	பே	bay
vịt	வாத்து	duck
vọng	நம்பிக்கை	"(term should be ""hy vọng"") hope (n.)"
vọt	வானளாவ	to spurt out (v.)
vỏ	பட்டை	shell
vồ	ம ul ல்	"(term should be ""gạch vồ"") a type of brick"
vỗ	பேட்	to clap
vội	அவசரம்	hurriedly (adv.)
vớ	சாக்ஸ்	"(term should be ""vớ vẩn"") silly (adj.)"
với	உடன்	to
vớt	மீன்	salvage
vờ	பாசாங்கு	"(term should be ""giả vờ"") to pretend (v.)"
vời	நன்று	wonderful
vở	நோட்புக்	"(term should be ""vở kịch"") a play"
vỡ	உடைந்த	break
vợ	மனைவி	wife
vụn	சீவல்கள்	debris
vụng	விகாரமான	covert
vứt	தூக்கி எறியுங்கள்	throw away
vừa	பொருத்தம்	just (adv.)
vừng	எள்	sesame (n.)
vững	நிறுவனம்	firm (adj.)
vực	புலம்	place
vựng	சொல்லகராதி	"(term should be ""từ vựng"") regional vocabulary (n.)"
vỹ	அதனால்	majestic
w	w	w
wa	வா	wa
walt	வால்ட்	(proper noun) walt, as in walt disney
walter	வால்டர்	walter
walther	வால்டர்	walther
wan	wan	wan
wang	வாங்	wang
wankel	wankel	(proper noun) wankel
wanna	வேண்டும்	wanna
warren	வாரன்	a name
warsaw	வார்சா	warsaw
warszawa	வார்சாவா	(proper noun) warsaw
washington	வாஷிங்டன்	(proper noun) washington
wat	வாட்	(proper noun) wat, as in angkor wat, the temple in cambodia
watergate	வாட்டர்கேட்	watergate
waterloo	வாட்டர்லூ	(proper noun) waterloo
waters	நீர்	waters
wayne	வேன்	wayne
wcdma	wcdma	w-cdma
weasley	வெஸ்லி	weasley, as in ron weasley in the harry potter series
weblog	வலைப்பதிவு	weblog
webmail	வெப்மெயில்	ưebmail
weimar	வீமர்	(proper noun) weimar
wellington	வெலிங்டன்	wellington
wells	கிணறுகள்	wells, as in author orson wells
welsh	welsh	(proper noun) welsh, as in the welsh language
wembley	வெம்ப்லி	wembley, as in wembley stadium
werner	வெர்னர்	werner
westermarck	வெஸ்டர்மார்க்	westermarck
western	மேற்கு	western
westlife	மேற்கு வாழ்க்கை	westlife
westview	மேற்கு பார்வை	westview, as in westview press
wheeler	சக்கர வாகனம்	a name
widener	அகலப்படுத்துபவர்	widener
wien	wien	wien
wiener	வீனர்	wiener
wifi	வைஃபை	wi-fi, a technology term
wiki	விக்கி	wiki
wikia	விக்கியா	a name
wikibooks	விக்கிபுக்ஸ்	(proper noun) wikibooks
wikimapia	விக்கிமபியா	wikimapia
wikimedia	விக்கிமீடியா	wikimedia
wikitravel	விக்கிட்ராவெல்	a name
wild	காட்டு	wild
wilder	வைல்டர்	(proper noun) wilder, as in billy wilder
wiley	விலே	wiley
willard	வில்லார்ட்	willard
wimbledon	விம்பிள்டன்	wimbledon
windows	ஜன்னல்கள்	windows
winer	வெற்றியாளர்	winer
wisconsin	விஸ்கான்சின்	(proper noun) wisconsin
within	உள்ளே	within
without	இல்லாமல்	without
wolfgang	ஓநாய்	wolfgang
won	வென்றது	won
wong	வோங்	wong
woodrow	வூட்ரோ	woodrow
woods	வூட்ஸ்	(proper noun) woods, as in tiger woods
would	என்று	would
wrestling	மல்யுத்தம்	wrestling
wright	ரைட்	a name
wu	வு	wu
wushu	wushu	wushu, a type of martial art
wwf	wwf	wwf
xa	இதுவரை	ancient
xang	xang	"(term should be ""lan xang"") name of an ancient country in southeast asia"
xanh	நீலம்	green
xao	மந்தமான	xôn xao = chatting
xay	அரைக்கவும்	grind
xe	கார்	a car (n.)
xem	பார்க்க	watch
xen	xen	to insert (v.)
xhcn	xhcn	social republic
xi	xi	xi
xiii	xiii	eighth
xin	தயவு செய்து	please
xinh	அழகு	beautiful
xiv	xiv	fourteenth
xiêm	சியாமிஸ்	(proper noun) xiêm, or siam
xiên	சாய்ந்த	oblique
xiêu	xiao	soften
xiếc	சர்க்கஸ்	circus
xiết	இறுக்கு	to twist tightly (v.)
xiềng	திண்ணைகள்	chain
xo	xo	spring
xoa	தேய்க்கவும்	massage
xoay	திரும்பவும்	turn
xong	நிறைவேற்றப்பட்டது	completed
xoàng	சாதாரணமான	mediocre
xoá	அழி	delete
xoáy	எடி	vortex
xoắn	முறுக்கப்பட்ட	coiled
xu	நாணயம்	trend
xua	அகற்ற	dispel
xuan	xuan	"(term should be ""xuân"") a common vietnamese middle or first name; means ""the season of spring"""
xui	துரதிர்ஷ்டவசமான	incite
xuka	xuka	xuka
xum	ஆடம்பரமான	a name
xuyên	குத்துதல்	frequently
xuyến	வளையல்கள்	manage
xuân	வசந்த	spring
xuâncông	வசந்த	xuan public
xuôi	சுத்தமாக	down
xuất	ஏற்றுமதி	ejaculate
xuấtnhập	ஏற்றுமதி இறக்குமதி	import/export
xuống	கீழ்	down
xuồng	கேனோ	boat
xv	xv	fifteenth
xvi	xvi	xvi
xvii	xvii	xvii
xx	xx	xx
xy	xy	cylinder
xài	செலவு	use
xào	வறுக்கவும்	stir fry
xách	கைப்பை	to carry by the handle (v.)
xám	சாம்பல்	ustox
xán	வறுத்த	"(term should be ""xán lạn"") bright (adj.)"
xáo	இடையூறு	chaos
xát	தேய்த்தல்	touch
xâm	பச்சை குத்தப்பட்டது	invasion
xâu	லேசான கயிறு	string
xây	கட்ட	build
xã	கம்யூன்	society
xãy	சிக்கலான	occur
xèo	xèo	xeo
xé	கண்ணீர்	tear
xén	பயிர்	"(term should be ""biếu xén"") to gift (v.)"
xéo	பக்கவாட்டு	diagonally (adv.)
xét	கருத்தில் கொள்ளுங்கள்	examine
xê	நகர்வு	"(term should be ""bánh xu xê"") a type of vietnamese cake"
xêkô	சுனியோ	xeko
xì	குசு	scandal
xìu	குசு	to become flaccid (v.)
xí	தொழிற்சாலை	factory (xi nghiep)
xít	கண்கவர்	nazi
xíu	சிறியது	small
xòe	பரவுகிறது	spread
xóa	அழிக்கவும்	clear
xói	அரிப்பு	erode
xóm	பக்கத்து	village
xót	கருணை	mercy
xô	திண்ணை	soviet
xôi	குலைந்த அரிசி	pierce
xôn	அசை	tumultuous
xông	விரைந்தது	rush
xôphần	வாளி பிரிவு	soviet-poland
xôviết	சோவியத் ஒன்றியம்	soviet
xù	சிதைந்தது	gigantic
xú	முரட்டுத்தனமாக	xu
xúc	தொடர்பு	touch
xúi	தூண்ட	induce
xăm	பச்சை	"(term should be ""xa xăm"") far away (adj.)"
xăng	பெட்ரோல்	gasoline
xơ	ஃபைபர்	xo
xưa	பழையது	old
xưng	ஒப்புதல் வாக்குமூலம்	"(should be ""tự xưng"") self-proclaimed"
xương	எலும்பு	bone (n.)
xước	கீறப்பட்டது	scratch
xướng	கூட்டாக பாடுதல்	provoke
xưởng	பணிமனை	workshop
xạ	கதிர்வீச்சு	"(term should be ""phản xạ"") to reflect"
xả	வெளியேற்றம்	release
xảo	வஞ்சகமுள்ள	detailed
xảy	ஏற்படும்	happen
xấp	தோராயமாக	approximate
xấu	மோசமான	bad
xẩm	ஷாகி	a type of traditional vietnamese singing
xẩy	ஏற்படும்	occur
xắt	பகடை	cut
xẻo	துரதிர்ஷ்டவசமான	cut off
xếp	மடிந்தது	rank
xỉ	கசடு	approximately
xỉa	floss	to pick (v.)
xỉu	மயக்கம்	to faint
xốc	அதிர்ச்சி	to lift up (v.)
xốp	மெத்து	porous
xổ	ரேஃபிள்	rush into
xộn	குழப்பமான	messy
