$	dollarni tashkil etadi	a sign of doller
વચ્ચેનો	orasida	middle
વજન	og&#39;irligi	weight
વટાવ્યો	ortdi	crossed
વડ	vod	vada / banyan (tree)
વડતાલ	vadtal	vadtal
વડનગર	vadnagar	vadnagar
વડનગરમાં	vadnagarda	in vadnagar
વડા	boshliq	prime
વડાપ્રધાન	bosh vazir	prime minister
વડીલો	oqsoqollar	elders
વડું	boshliq	head
વડે	muallif:	with
વડોદરા	vadodara	vadodara
વડોદરાના	vadodara	baroda
વઢવાણ	zeb berish	vadhwan
વણસી	eng yomoni	worsened
વણાયેલી	to&#39;qilgan	wrapped
વતન	ona shahri	country
વતની	tubsiz	native
વતનીઓ	mahalliy shaxslar	natives
વતી	nomidan	on behalf
વદ	vad	vad
વધ	o&#39;ldirmoq	kill
વધતા	ko&#39;tarilish	increasing
વધતી	o&#39;sib borayotgan	increasing
વધતુ	ko‘paymoqda	increasing
વધતું	ko&#39;tarilish	increasing
વધતો	ko‘paymoqda	increase
વધવા	o&#39;sish uchun	increase
વધશે	o&#39;sadi	increase
વધારવા	o&#39;sish	increasing
વધારા	qo&#39;shimcha	increace
વધારાના	qo&#39;shimcha	extra, more
વધારાની	qo&#39;shimcha	excess
વધારાને	qo&#39;shimcha	increase
વધારાનો	qo&#39;shimcha	extra
વધારામાં	qo&#39;shimcha	in addition
વધારી	kattalashdi	increased
વધારે	ko&#39;proq	more then, greaterthen
વધારો	o&#39;sish	increase
વધી	kattalashdi	go ahead / increase
વધીને	kattalashdi	progress
વધુ	ko&#39;proq	excess
વધુને	borgan sari	more and
વધુમાં	qo&#39;shimcha	in addition
વધે	ko&#39;taradi	increases
વધ્યું	kattalashdi	spread/demanded
વધ્યો	kattalashdi	increased
વન	o&#39;rmon	forest
વનડે	odi	one day
વનમાં	o&#39;rmonda	in forest
વનરાજ	vanraj	forest king / vanraj
વનવાસ	surgun	exile
વનસ્પતિ	vegetatsiya	vegetable
વન્ય	yovvoyi	wild
વન્યજીવો	yovvoyi hayot	wildlife
વપરાતા	ishlatilgan	being used
વપરાતી	ishlatilgan	use
વપરાતો	ishlatilgan	in use
વપરાય	ishlatilgan	use
વપરાયો	ishlatilgan	consumed
વપરાશ	kirish	usage
વપરાશકર્તા	foydalanuvchi	consumer
વપરાશકર્તાઓ	foydalanuvchilar	users
વપરાશકર્તાઓએ	foydalanuvchilar	by consumers
વપરાશકર્તાઓને	foydalanuvchilar	to consumer
વપરાશકર્તાને	foydalanuvchi uchun	to the consumer
વપરાશકારો	foydalanuvchilar	users
વપરાશને	kirish	usage
વપરાશમાં	ishlatilmoqda	in use
વફાદાર	sodiq	loyal
વફાદારી	sadoqat	faith
વય	yoshi	age
વયના	qarigan	age of
વયે	yoshi	at the age
વરદાન	barakali	favour of blessing
વરસ	yil	year
વરસાદ	yomg&#39;ir	rain
વરસાદની	yomg&#39;irning	rainy
વરાળ	bug &#39;	vapor
વરિષ્ઠ	katta	senior
વર્ક	ishlash	work
વર્ગ	sinf	class
વર્ગના	sinfdan	of
વર્ગને	sinfga	class
વર્ગમાં	sinfda	category
વર્ગીકરણ	tasniflash	distribution
વર્ગીકૃત	tasniflangan	classified
વર્ગો	sinflar	classes
વર્ચસ્વ	hukmronlik	control
વર્ચ્યુઅલ	virtual	virtual
વર્જિન	bokira	virgin
વર્ઝન	versiya	version
વર્ઝનમાં	versiyada	version
વર્ડ	so‘z	word [in english]
વર્ણ	irqi	castes
વર્ણન	ta&#39;rif	description
વર્ણનો	ta&#39;riflar	discription
વર્ણમાળા	alifbo	alphabet
વર્ણવવામાં	ta’riflangan	describe,
વર્ણવી	ta’riflangan	explained
વર્ણવે	ta&#39;riflaydi	explain
વર્ણવ્યા	ta’riflangan	as described
વર્તણૂંક	xulq-atvor	behave
વર્તન	xulq-atvor	behaviour
વર્તમાન	hozirgi	present
વર્તમાનમાં	hozirda	at present
વર્તુળ	davra	circle
વર્તુળાકાર	doira	circular
વર્તુળો	davralar	circles
વર્લ્ડ	dunyo	world
વર્ષ	yil	year
વર્ષથી	yillar	since a year
વર્ષના	yilning	year
વર્ષનાં	yilning	years
વર્ષની	yilning	ot the year
વર્ષનું	yilning	of a year
વર્ષનો	yilning	year's
વર્ષમાં	yilda	in the year, during the year
વર્ષા	yomg&#39;ir	rain
વર્ષે	yil	that year
વર્ષો	yillar	years
વર્ષોં	yillar	years
વર્ષોથી	yillar davomida	since years
વર્ષોમાં	yillar davomida	in the years
વલણ	munosabat	trend
વલયમાં	ringda	ring
વલસાડ	valsad	valsad
વલ્લભ	vallabh	vallabh
વલ્લભભાઈ	vallabxayxay	vallabhbhai
વલ્લભભાઈએ	vallabxayxay	by vallabhbhai
વળગી	stik	to adhere
વળગે	xavotirga tushgan	be entwined
વળતર	kompensatsiya	reward
વળવા	uchrashish uchun	to meet with
વળાંક	buriling	turn
વળી	shuningdek	in addition
વળે	burilishlar	turns
વળ્યું	yoqildi	moved
વશ	subjugatsiya	surrender
વસંત	bahor	autumn
વસતા	yashash	living
વસતિ	aholisi	population
વસતી	aholisi	population
વસતીના	aholining	population
વસતીનું	aholining	of population
વસતીને	aholisi	to population
વસતીમાં	aholida	in population
વસવાટ	yashash	reside
વસાહત	hisob-kitob	colony
વસાહતો	aholi punktlari	colonies
વસી	vasi	lived
વસે	yashagan	living
વસેલ	vasel	located
વસેલા	o&#39;rnatilgan	settled
વસેલું	o&#39;rnatilgan	situated
વસ્તી	aholisi	population,
વસ્તીગણતરી	ro&#39;yxatga olish	census
વસ્તીના	aholining	population
વસ્તીની	aholining	of population
વસ્તીને	aholiga	of population
વસ્તીમાં	aholida	in the population
વસ્તુ	thing	thing
વસ્તુઓ	narsalar	things / stuff
વસ્તુઓની	narsalar haqida	things
વસ્તુઓને	narsalar	things
વસ્તુઓનો	narsalar haqida	things
વસ્તુની	narsadan	of thing
વસ્તુને	thing	thing
વસ્તુનો	narsadan	of thing
વસ્ત્ર	kiyin	cloth
વસ્ત્રો	kiying	cloth
વસ્યા	o&#39;rnatilgan	settled
વહ	vah	that [hindi - urdu word]
વહન	olib yurmoq	carriage
વહાણ	kema	ship
વહાણો	kemalar	ships / vessels
વહિવટી	ma&#39;muriy	administrative
વહી	vaxi	flown
વહીવટ	ma&#39;muriyat	management
વહીવટી	ma&#39;muriy	adminstrative
વહીવટીતંત્ર	ma&#39;muriyat	administration
વહે	oqimlar	flow
વહેંચણી	ulashish	distribution
વહેંચવામાં	birgalikda	disbursed
વહેંચાઇ	birgalikda	divided
વહેંચાઈ	birgalikda	distributed
વહેંચાયેલા	birgalikda	distributed, widespread
વહેંચાયેલી	birgalikda	distributed
વહેંચાયેલું	birgalikda	distributed
વહેંચી	birgalikda	devide
વહેંચે	ulushlar	distributing
વહેતા	oqim	float
વહેતી	oqim	flowing
વહેલી	erta	early
વાંકાનેર	vankaner	wankaner
વાંચતા	o&#39;qish	read
વાંચન	o&#39;qish	reading
વાંચી	o&#39;qing	read
વાંચે	o&#39;qiydi	read
વાંચો	o&#39;qing	read
વાંચ્યું	o&#39;qing	read
વાંસદા	vansada	vansda
વાઇડ	keng	wide
વાઇસ	o&#39;rinbosari	vice [president]
વાઈડ	keng	wide
વાઈરસ	virus	virus
વાઈરસના	virusning	of viruses
વાઈરસની	viruslardan	virus's
વાઈરસને	virus	to the virus
વાક્ય	chiziq	sentence,
વાક્યમાં	mos ravishda	in sentance
વાક્યરચના	sintaksis	phrase
વાક્યરચનામાં	sintaksisda	in creating a sentance
વાગ્યે	da	at 3.08 pm
વાઘ	yo&#39;lbars	tiger
વાઘણ	yo&#39;lbars	tigress
વાઘના	yo&#39;lbarsning	tiger
વાઘની	yo&#39;lbarsning	of the tiger
વાઘનું	yo&#39;lbarsning	tiger
વાઘને	yo&#39;lbarsga	tiger
વાચક	o&#39;quvchi	reader
વાચકો	o&#39;quvchilar	readers
વાચન	o&#39;qish	read
વાટ	kutmoq	way
વાટાઘાટો	muzokaralar	settlement
વાડી	wadi	farm house
વાણિજ્ય	savdo	commerce
વાણિજ્યિક	tijorat	commercial
વાણી	nutq	speech
વાત	gaplashing	matter
વાતચીત	suhbat	talkings
વાતથી	gapirishdan	from the matter
વાતની	gaplashing	of matter
વાતને	gapirish	of talks
વાતનો	gapirish	speach
વાતાવરણ	atmosfera	environment
વાતાવરણના	atmosfera haqida	of the atmosphere
વાતાવરણની	atmosfera	of atmosphere
વાતાવરણને	atmosferaga	to atmosphere
વાતાવરણમાં	atmosferada	in atmosphere
વાતાવરણીય	atmosfera	atmospheric
વાતો	gaplashing	tale
વાદળ	bulut	cloud
વાદળો	bulutlar	clouds
વાનગી	ovqat	dish
વાનગીઓ	retseptlar	delicacies
વાનર	maymun	monkey
વાપરવા	foydalanish uchun	to use
વાપરવામાં	ishlatilgan	use
વાપરી	ishlatilgan	used
વાપરીને	foydalanish	using
વાપરે	foydalanadi	used
વાપી	vapi	oblong well
વામન	mitti	dwarf
વાય	y	y
વાયરલેસ	simsiz	wireless
વાયરસ	virus	virus
વાયુ	havo	aero / air
વાયુઓ	gazlar	air
વાયુમંડળ	atmosfera	atmosphere
વાર	vaqtlar	day
વારંવાર	ko&#39;pincha	repeatedly,
વારસો	meros	one kind of gift
વારાણસી	varanasi	varanasi
વાર્તા	hikoya	story
વાર્તાઓ	hikoyalar	stories
વાર્તાઓમાં	hikoyalarda	in the stories
વાર્તાલાપ	suhbat	communication
વાર્ષિક	yillik	yearly
વાલી	vasiy	vali
વાલે	vale	going to be [hindi - urdu word]
વાલ્મિકી	valmiki	valmiki
વાલ્મીકિ	valmiki	the valmikis
વાળ	soch	hair
વાળવા	burilish uchun	to divert
વાળા	dasht	vala
વાળી	bilan	having
વાળુ	sochli	having
વાળું	bilan	with
વાળો	jingalak	having
વાવ	qoyil	small well
વાવડી	wawdi	small well
વાવેતર	ekish	sowing / cultivation
વાસ	vaas	residence
વાસણ	xabarlar	vessel
વાસણા	shahvoniylik	vasna
વાસના	shahvoniylik	lust
વાસ્કો	vasko	vasco
વાસ્તવમાં	aslida	in real
વાસ્તવિક	haqiqiy	in reality
વાસ્તવિકતા	haqiqat	reality
વાસ્તુ	vastu	architecture
વાસ્તુકળા	arxitektura	vastu shastra
વાસ્તુકાર	me&#39;mor	architect
વાહક	tashuvchi	carrier
વાહન	transport vositasi	vehicle
વાહનવ્યવહાર	tashish	transportation
વાહનો	avtomobillar	vehicles
વિકટ	vikat	calamity
વિકલ્પ	variant	alternative
વિકલ્પો	tanlovlar	alternatives
વિકસતા	rivojlanmoqda	developing
વિકસાવવામાં	ishlab chiqilgan	developed
વિકસાવી	ishlab chiqilgan	developed
વિકસાવ્યા	ishlab chiqilgan	developed
વિકસિત	ishlab chiqilgan	developed
વિકસી	rivojlandi	developed
વિકસ્યા	rivojlandi	developed
વિકસ્યો	rivojlandi	developed
વિકાસ	rivojlanish	development
વિકાસના	rivojlanish	development
વિકાસની	rivojlanish	of development
વિકાસને	rivojlanish	of growth
વિકાસનો	rivojlanish	of the progress
વિકાસમાં	rivojlanish jarayonida	development
વિકાસશીલ	rivojlanmoqda	develping
વિકિ	wiki	wiki
વિકિપીડીયાએ	vikipediya	by wikipedia
વિકિમીડિયા	vikipediya	wikimedia
વિકિસોર્સ	vikipediya	wikisource
વિકીમેપિયા	vikimapiya	wikimapia
વિકેટ	viket	wicket
વિક્ટોરિયા	viktoriya	victoria
વિક્રમ	vikram	vikram
વિક્ષનરી	vikilug&#39;at	victionary
વિક્ષેપ	buzilish	discontinuity
વિખૂટા	ajratilgan	different
વિખ્યાત	mashhur	famous
વિગત	tafsilotlar	information
વિગતવાર	batafsil	detailed
વિગતો	tafsilotlar	facts
વિગેરે	va boshqalar.	etc.
વિચરણ	tarash	travel
વિચાર	fikr	thought
વિચારણા	ko&#39;rib chiqish	thought process
વિચારધારા	mafkura	thinking
વિચારને	fikr	thought
વિચારનો	fikrlar haqida	of thinking
વિચારસરણી	fikrlash	thinking
વિચારી	fikrlash	after thinking
વિચારે	fikrlar	think
વિચારો	o&#39;ylab ko&#39;ring	thinking
વિચારોની	fikrlar	thinking
વિચારોને	fikrlar	thinking
વિચિત્ર	fantastik	different
વિચિત્રવિર્ય	ekzotik	name
વિચી	vichy	vichi
વિજય	g&#39;alaba	win
વિજયનગર	vijayanagar	vijay nagar
વિજયી	g&#39;olib	victorious
વિજેતા	g&#39;olib	winner
વિજેતાઓ	g&#39;oliblar	winner
વિજ્ઞાન	ilm	science (વિજ્ઞાન)
વિજ્ઞાનના	ilm-fan haqida	of the science
વિજ્ઞાનની	ilm-fan haqida	science's
વિજ્ઞાનને	ilmga	science
વિજ્ઞાનમાં	ilmda	science
વિજ્ઞાની	olim	scientist
વિજ્ઞાનીઓ	olimlar	scientists
વિઠ્ઠલભાઈ	vitthalbhai	viththalbhai
વિડિઓ	video	video
વિડિઓની	videoning	video
વિડિઓને	videoga	video's
વિડિઓમાં	videoda	in video
વિડીઓ	video	video
વિડીયો	video	video
વિતરણ	tarqatish	distribution
વિથ	bilan	with
વિદાય	vidolashuv	exit
વિદુર	vidura	vidur
વિદેશ	chet elda	foreign country
વિદેશમાં	chet elda	in foreign
વિદેશી	xorijiy	foreign
વિદ્યા	vidya	lore
વિદ્યાર્થી	talaba	student
વિદ્યાર્થીઓ	talabalar	students
વિદ્યાર્થીઓએ	talabalar	students
વિદ્યાર્થીઓને	talabalar	students
વિદ્યાલય	maktab	school
વિદ્યુત	elektr	electricity
વિદ્યુતચુંબકીય	elektromagnit	elector magnetic
વિદ્રોહ	isyon	revolt
વિદ્વાન	olim	learned
વિદ્વાનો	olimlar	wisemen / well learned
વિદ્વાનોએ	olimlar	scholars
વિધવા	beva ayol	widow
વિધાન	bayonot	statement
વિધાનસભા	majlis	legislature
વિધાનસભાની	qonun chiqaruvchi	parliament
વિધિ	ritual	process
વિધી	ritual	process / method
વિનંતિ	talab	request
વિનંતી	talab	request
વિના	usiz	without
વિનાના	usiz	without
વિનાની	usiz	without
વિનાનો	usiz	without
વિનાયક	vinayak	vinayak [temple]
વિનાશ	vayronagarchilik	destruct/demonlish
વિનાશક	buzuq	destroyer,
વિનિમય	birja	exchange
વિનિયોગ	tasdiqlash	to include
વિનોદ	hazil	comedy / fun
વિન્ડોઝ	windows	windows
વિપરિત	aksincha	opposite
વિપરીત	aksincha	opposite
વિપુલ	mo&#39;l-ko&#39;l	plentiful
વિભાગ	bo&#39;lim	department/section
વિભાગના	kafedra xodimlari	division
વિભાગનું	kafedra xodimlari	department
વિભાગમાં	bo&#39;limda	section
વિભાગો	bo&#39;limlar	divisions
વિભાગોમાં	bo&#39;limlar	in the divisions
વિભાજન	split	division
વિભાજિત	split	cleft
વિભાજીત	bo&#39;lingan	divided
વિભાવના	kontseptsiya	confusion
વિભિન્ન	turli xil	different
વિમાન	samolyot	aircraft
વિમાનમથક	aeroport	airport
વિમાનમાં	samolyotda	(in) plane
વિમાનો	samolyotlar	aircraft
વિમુખ	shoshilib	away
વિયેના	vena	vienna
વિરાટ	katta	great
વિરાણી	virani	virani
વિરામ	to&#39;xtatish	recess/rest/stop
વિરુદ્ધ	va boshqalar	versus
વિરુદ્ધમાં	aksincha	in opposition
વિરુધ્ધ	va boshqalar	versus
વિરૂદ્ધ	qarama qarshi	opposite / against
વિરોધ	protest	oppose
વિરોધમાં	qarshilikda	in opposition
વિરોધાભાસ	paradoks	paradox
વિરોધી	anti	opposite
વિરોધીઓ	muxoliflar	opponants
વિલણીકરણ	birlashtirish	destruction
વિલિયમ	uilyam	william
વિલીન	xiralashish	dissolved
વિવધ	turli xil	different
વિવરણ	ta&#39;rif	commentary
વિવશ	vivalar	helpless
વિવાદ	qarama-qarshilik	dispute
વિવાદાસ્પદ	ziddiyatli	controversial
વિવાદો	qarama-qarshiliklar	controversies
વિવાહ	nikoh	marriage
વિવિધ	turli xil	different
વિવિધતા	xilma-xillik	differences
વિવિધતાને	xilma-xillik	of variety
વિવેક	xafagarchilik	courtesy
વિવેકાનંદ	vivekananda	vivekananda
વિવેકાનંદના	vivekananda	vivekanand's
વિવેકાનંદે	vivekananda	by vivekanda
વિવેચક	tanqidchi	critic
વિવેચકોએ	tanqidchilar	by the critics
વિવેચન	tanqid	criticism
વિવેચનાત્મક	tanqidiy	criticism
વિશાલ	katta	broad
વિશાળ	katta	large
વિશિષ્ટ	eksklyuziv	peculiar/special
વિશિષ્ટતા	o&#39;ziga xoslik	peculiarity
વિશે	haqida	about
વિશેના	haqida	about
વિશેની	haqida	about
વિશેનું	haqida	about
વિશેષ	maxsus	special
વિશેષક	maxsus	adjectives
વિશેષણ	sifat	adjective
વિશેષતા	mutaxassisligi	speciality
વિશ્લેષણ	tahlil	analysis
વિશ્વ	dunyo	world
વિશ્વના	dunyo	world
વિશ્વનાં	dunyo	world
વિશ્વનાથ	vishvanat	vishwanath, name of indian
વિશ્વની	dunyo	of world
વિશ્વનું	dunyo	of world
વિશ્વને	dunyoga	world's
વિશ્વનો	dunyo	world's
વિશ્વભરની	dunyo bo&#39;ylab	worldwide
વિશ્વભરમાં	dunyo bo&#39;ylab	worldwide
વિશ્વમાં	dunyoda	world
વિશ્વયુદ્ધ	ikkinchi jahon urushi	world war
વિશ્વયુદ્ધમાં	ikkinchi jahon urushida	in the world war
વિશ્વવિદ્યાલય	universitet	university
વિશ્વવ્યાપી	dunyo bo&#39;ylab	worldwide
વિશ્વામિત્ર	vishvamitra	visvamitra
વિશ્વાસ	ishonch	faith
વિષય	mavzu	subject
વિષયક	tematik	of subject
વિષયમાં	mavzusida	in the subject
વિષયવસ્તુ	tarkibi	subject-matter
વિષયો	mavzular	subjects
વિષયોની	fanlardan	of the subjects
વિષયોને	mavzular	to subjects
વિષે	haqida	about
વિષેની	haqida	about
વિષ્ણુ	vishnu	vishnu
વિષ્ણુએ	vishnu	by vishnu
વિષ્ણુના	vishnudan	vishnu (hindu god)
વિષ્ણુનાં	vishnudan	vishnu's
વિષ્ણુને	vishnuga	to vishnu
વિષ્ણુનો	vishnudan	name
વિસં	vs.	vikram samvat [indian calendar]
વિસનગર	visnagar	visnagar
વિસર્જન	eritish	immersion
વિસામો	nafas oling	stoppage
વિસાવદર	visavadar	visavadar
વિસ્તરણ	kengayish	amalysis
વિસ્તરણને	kengayish	to the expansion
વિસ્તરિત	kengaytirilgan	wide
વિસ્તરેલી	kengaytirilgan	covered
વિસ્તાર	maydon	region
વિસ્તારના	hududning	region's
વિસ્તારની	hududning	of the area
વિસ્તારને	maydon	region
વિસ્તારમાં	hududda	in area
વિસ્તારમાંથી	maydondan	from an area
વિસ્તારો	maydonlar	regions / areas
વિસ્તારોની	maydonlar	of the areas
વિસ્તારોને	maydonlar	to areas
વિસ્તારોમાં	maydonlar	in the areas
વિસ્તૃત	kengaytirilgan	broad
વિસ્ફોટ	portlash	blast
વિસ્ફોટો	portlashlar	explosion / blow up
વિહાર	vihar	vihar
વી	v.	v
વીઓઆઈપી	voip	voip
વીજ	elektr	electricity
વીજળી	elektr	electricity
વીજળીના	elektr energiyasi	electricity
વીડિયો	video	video
વીર	veer	brave
વીર્ય	urug &#39;	semen
વીસ	yigirma	twenty
વીસમી	yigirmanchi	twentieth
વૃક્ષ	daraxt	tree
વૃક્ષો	daraxtlar	trees
વૃત્તિ	instinkt	instinct
વૃદ્ધિ	o&#39;sish	increase
વૃહત	katta	vruhat
વૅલેન્શિયા	valensiya	valencia
વે	yo&#39;l	way
વેગ	tezlashtirish	velocity
વેચાણ	sotish	sales
વેતન	ish haqi	wage
વેદ	vedalar	"surnam ""ved"""
વેદના	azob-uqubatlar	pain
વેદવતી	vedavati	vedvatu
વેદવ્યાસ	vedavyalar	ved vyas
વેદાંત	vedanta	vedant
વેદિક	vedik	vedic
વેનિસ	venetsiya	venice
વેપાર	savdo	commerce
વેપારમાં	savdo sohasida	in business
વેપારી	savdogar	businessman
વેપારીઓ	savdogarlar	traders
વેબ	internet	web
વેબકેમ	vebkamera	webcam
વેબના	internetdan	web's
વેબની	internetdan	web's
વેબસાઇટ	veb-sayt	website
વેબસાઈટ	veb-sayt	website
વેર	qasos	vengeance
વેરાવળ	veraval	veraval city
વેલ્શ	uels	welsh
વેલ્સ	uels	wales
વેળાવદર	vaqt oralig&#39;i	place name
વેવ	to&#39;lqin	wave
વેસ્ટ	g&#39;arbiy	west
વેસ્લી	uesli	wesley, name of man in english,
વૈકલ્પિક	ixtiyoriy	alternative
વૈકુંઠ	vaikunta	"holy place name ""vainkuth"""
વૈજ્ઞાનિક	ilmiy	scientist
વૈજ્ઞાનિકો	olimlar	scientist
વૈજ્ઞાનિકોએ	olimlar	sciencetist
વૈજ્ઞાનીક	olim	science
વૈદિક	vedik	vedic
વૈભવી	hashamatli	splander
વૈવિધ્ય	turli xil	diversity
વૈવિધ્યતા	xilma-xillik	differentiation
વૈવિધ્યસભર	turli xil	custom quality
વૈશ્ય	vaishya	vaishya
વૈશ્વિક	global	global
વૈશ્વિકરણ	globalizatsiya	globalization
વૈશ્વિકરણના	globalizatsiya haqida	of globalization
વૈશ્વિકરણની	globalizatsiya haqida	of globalization
વૈશ્વિકરણે	globalizatsiya	due to globalization
વૈષ્ણવ	vaishnava	vaishnav
વોઈસ	ovoz	voice,
વોઝ	ovoz	was
વોટર	suv	water
વોન	vaun	wan
વોર	urush	war
વોર્નિંગ	ogohlantirish	warning
વોર્મિંગ	issiq	warming
વોર્મિંગની	issiq	warming's
વોર્મિંગને	issiq	due to warming
વોર્મિંગમાં	issiqlikda	in worming
વોલ	devor	wall
વોલ્કેનિક	vulkanik	volcanic
વોલ્કેનો	vulkan	volcano
વોલ્ડેમોર્ટ	voldemort	voldemort
વોલ્ડેમોર્ટના	voldemortdan	of voldemort
વોલ્ડેમોર્ટનો	voldemortdan	woldmort's
વોલ્સ	devorlari	wolls
વોલ્સમાં	uelsda	in wales
વોશિંગ્ટન	vashington	washington
વ્યંજન	undosh undoshlar	consonants
વ્યંજનો	undosh undoshlar	vowels
વ્યકત	ifoda etilgan	express
વ્યકિત	shaxs	person
વ્યકિતઓ	shaxslar	persons
વ્યક્ત	ifoda etilgan	express
વ્યક્તિ	shaxs	person
વ્યક્તિએ	shaxsan	by the person
વ્યક્તિઓ	jismoniy shaxslar	persons
વ્યક્તિઓનાં	jismoniy shaxslar	of the persons
વ્યક્તિઓની	jismoniy shaxslar	of the persons
વ્યક્તિઓને	jismoniy shaxslar	persons
વ્યક્તિગત	shaxsiy	personal
વ્યક્તિત્વ	shaxs	person
વ્યક્તિત્વની	shaxsiyat haqida	of personality
વ્યક્તિના	shaxsning	personal
વ્યક્તિની	shaxsning	person
વ્યક્તિનું	shaxsning	of person
વ્યક્તિને	shaxs	to person,
વ્યક્તિમાં	shaxsan	in person
વ્યવસાય	biznes	business
વ્યવસાયમાં	ishda	in profession
વ્યવસાયિક	professional	professional
વ્યવસાયી	professional	professional
વ્યવસાયીક	professional	services
વ્યવસ્થા	tartibga solish	management
વ્યવસ્થાઓ	tartiblar	arrangements
વ્યવસ્થાના	tizimning	of the arrangement
વ્યવસ્થાની	tizimning	of the arrangement
વ્યવસ્થાને	tizimga	(to) system
વ્યવસ્થામાં	tizimda	management
વ્યવસ્થિત	uyushgan	well organized
વ્યવહાર	bitim	behaviour
વ્યવહારુ	amaliy	practical
વ્યસ્ત	band	busy
વ્યાકરણ	grammatika	grammar
વ્યાખ્યા	ta&#39;rif	defination
વ્યાખ્યાઓ	ta&#39;riflar	definations
વ્યાખ્યાયિત	belgilangan	defined
વ્યાપ	tarqalishi	broad
વ્યાપક	keng	widespread
વ્યાપકપણે	keng	majority
વ્યાપાર	biznes	business
વ્યાપારના	ish haqida	of business
વ્યાપારિક	tijorat	professional
વ્યાપારી	tijorat	merchant
વ્યાવસાયિક	professional	professional
વ્યાસ	diametr	vyas
વ્યાસે	diametr	by vyas
વ્યુત્પત્તિ	etimologiya	etymology
વ્યુત્પત્તિશાસ્ત્ર	etimologiya	derivatives
વ્યૂ	ko&#39;rinish	view
વ્યૂહાત્મક	strategik	strategic
વ્રત	qabul qilingan	decisions
વ્હાઇટ	oq rang	white
શંકર	shankar	shanker
શંકરાચાર્ય	shankaracharyo	shankaracharya
શંકરે	shankar	by shanker
શંકા	shubha	suspact
શંકાસ્પદ	shubhali	suspected
શંખ	konch	conch
શક	shubha	to suspect [in hindi]
શકતા	mumkin	can
શકતી	mumkin	cuold
શકતું	mumkin	cannot
શકતો	mumkin	could
શકય	mumkin	possible
શકવા	qodir bo&#39;lish	to be able to
શકશે	qodir bo&#39;ladi	will be
શકાતા	mumkin	could
શકાતી	bolishi mumkin	to abel
શકાતો	mumkin emas	could be
શકાય	bolishi mumkin	could be
શકાયું	mumkin	could
શકાયો	mumkin	could
શકાશે	bolishi mumkin	can
શકિત	quvvat	energy
શકી	mumkin	could
શકીએ	mumkin	we can
શકું	mumkin	am able to
શકુની	shakuni	shakuni
શકે	mumkin	happens
શકો	mumkin	you can
શક્તિ	quvvat	energy
શક્તિઓ	vakolatlar	energies
શક્તિના	kuch	strength's
શક્તિશાળી	kuchli	powerful
શક્ય	mumkin	possible
શક્યતઃ	ehtimol	possibly
શક્યતા	imkoniyat	possibility
શક્યા	mumkin	maybe
શક્યું	mumkin	could
શક્યો	mumkin	may be
શતક	asr	century
શત્રુ	dushman	enemy
શનિ	shanba	saturn
શનિવાર	shanba	saturday
શપથ	qasam	oath
શબ્દ	so‘z	word
શબ્દકોષ	lug&#39;at	dictionary
શબ્દના	so&#39;zdan	of the words
શબ્દની	so&#39;zdan	of words
શબ્દનું	so&#39;zdan	of the word
શબ્દને	so&#39;zga	word
શબ્દનો	so&#39;zlardan	word's
શબ્દભંડોળ	lug&#39;at	word reserve
શબ્દભંડોળમાં	lug&#39;atda	in vocabulary
શબ્દમાં	so&#39;z bilan aytganda	in word
શબ્દો	so&#39;zlar	words
શબ્દોના	so&#39;zlardan	word's
શબ્દોનાં	so&#39;zlardan	word's
શબ્દોની	so&#39;zlardan	word's
શબ્દોનું	so&#39;zlardan	of words
શબ્દોને	so&#39;zlar	to words
શબ્દોનો	so&#39;zlardan	of the words
શબ્દોમાં	so&#39;z bilan aytganda	words
શરણ	boshpana	shelter
શરણાગતિ	taslim bo&#39;lish	surrender
શરણાર્થીઓની	qochqinlar to&#39;g&#39;risida	of refugees
શરત	ahvoli	bet
શરતે	shart bilan	on condition
શરતો	shartlar	terms
શરદ	kuz	sharad
શરીર	tanasi	body
શરીરના	tananing	of the body
શરીરની	tananing	body
શરીરને	tanaga	body
શરીરનો	tananing	of the body
શરીરમાં	tanada	in body
શરીરવિજ્ઞાનઔષધી	fiziologiya	medicine
શરુ	boshlanishi	start
શરુઆત	boshlanishi	stasting
શરુઆતમાં	boshida	in starting
શરૂ	boshlang	started
શરૂઆત	boshlanishi	beginning
શરૂઆતથી	boshidan	from beginning, from starting,
શરૂઆતના	erta	in starting
શરૂઆતની	yangi boshlanuvchilar	inception / starting
શરૂઆતનું	boshlang&#39;ich	starts
શરૂઆતનો	yangi boshlanuvchilar	initially
શરૂઆતમાં	boshida	in the beginning
શરૃ	boshlang	started
શર્મા	sharma	sharma
શર્મિષ્ઠા	sharmishta	sharmishtha
શલ્ય	jarrohlik	shalya
શસ્ત્ર	qurol	weapon
શસ્ત્રક્રિયા	jarrohlik	surgery
શસ્ત્રનો	qurol haqida	of weapon
શસ્ત્રો	qurollar	weapons
શહર	shahar	city
શહીદ	shahid	martyred
શહેર	shahar	city
શહેરથી	shahardan	city
શહેરના	shaharning	city
શહેરનાં	shaharning	of city
શહેરની	shaharning	city
શહેરનું	shaharning	of city
શહેરને	shaharga	city
શહેરનો	shaharning	city
શહેરમાં	shaharda	in city
શહેરી	shahar	urban
શહેરો	shaharlar	cities
શહેરોમાં	shaharlarda	in the cities
